,Symbol,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat
127,CGAU,0.87,-0.2,1.18,5.94,0.65,16.21,
128,CHD,0.38,0.16,3.23,13.77,0.84,4.81,0.03
129,CHRA,,,,,,,
130,CIB,,,,,,,
131,CIEN,0.86,0.14,3.15,18.85,0.96,3.93,0.03
132,CIO,,,,,,,
133,CIT,,,,,,,
134,CIXX,,,,,,,
135,CLF,2.22,0.12,5.37,7.99,0.73,2.52,0.13
136,CLPR,0.99,-0.05,-0.1,0.78,0.48,2.07,0.01
137,CLR,3.2,0.1,4.66,18.22,0.14,5.87,0.17
138,CLW,1.26,0.0,3.19,29.25,0.91,3.82,0.04
139,CMA,1.52,0.34,5.54,56.55,0.81,2.22,0.03
140,CMI,1.05,0.1,18.74,54.77,0.84,2.34,0.02
141,CMP,1.6,-0.09,2.21,5.48,0.9,3.89,0.04
142,CNI,0.61,0.33,5.29,30.62,0.8,2.07,
143,CNK,2.47,-1.36,0.7,3.3,0.94,7.28,0.36
144,CNM,,0.02,0.96,6.92,0.8,2.43,0.04
145,CNP,0.97,0.12,1.4,12.03,0.92,2.37,0.03
146,CNX,1.42,-0.19,1.51,18.92,0.93,6.7,0.16
147,COE,-0.73,0.02,3.59,-39.83,0.91,0.47,
148,COG,-0.05,0.17,2.44,5.75,0.5,4.3,0.11
149,COLD,0.25,-0.03,0.21,14.79,1.09,2.98,0.03
150,COMP,,-0.05,-0.65,2.73,0.6,2.5,0.02
151,COTY,2.52,-0.04,0.33,3.73,0.28,1.8,0.04
152,CP,0.66,0.39,3.46,14.2,0.82,10.86,0.09
153,CPA,1.56,-0.56,3.9,28.45,1.3,17.05,0.1
154,CPE,3.17,-0.92,12.94,16.36,0.83,3.5,0.2
155,CPK,,,,,,,
156,CPNG,,-0.07,-0.4,1.61,0.86,5.26,0.07
157,CRK,1.3,-0.32,2.31,4.07,0.3,1.15,0.1
158,CS,1.58,0.01,1.57,18.07,0.04,2.03,
159,CSAN,1.1,0.13,,22.1,0.01,9.57,
160,CSLT,1.84,-0.05,0.02,0.78,0.75,8.77,0.06
161,CTS,0.74,-0.07,1.97,14.13,0.92,3.55,0.02
162,CTT,1.34,-0.05,-0.26,2.63,0.77,3.69,0.01
163,CUBE,,,,,,,
164,CVA,,,,,,,
165,CWK,,,,,,,
166,CXW,1.3,-0.06,0.9,10.7,0.85,8.01,0.07
167,CYH,1.86,0.03,1.1,-12.41,0.81,2.97,0.04
168,DAO,,-0.47,-0.57,-5.82,0.71,1.54,
169,DASH,,-0.14,-0.71,13.69,0.93,4.44,0.07
170,DB,,0.09,1.51,29.34,0.38,4.86,0.01
171,DBI,2.51,-0.04,1.36,4.26,0.87,3.99,0.18
172,DCI,1.38,0.1,2.91,9.1,0.83,1.37,0.01
173,DCP,3.36,0.03,2.77,23.6,0.32,6.92,0.04
174,DD,1.27,0.28,4.94,51.23,0.74,2.74,0.02
175,DEI,,,,,,,
176,DESP,,,,,,,
177,DFIN,,,,,,,
178,DFS,1.8,0.43,13.12,44.96,0.87,3.84,0.02
179,DLNG,,,,,,,
180,DM,,-2.2,-0.23,3.69,0.5,5.42,0.14
181,DOC,0.78,0.16,0.36,12.51,0.92,5.2,0.06
182,DOLE,,0.01,1.56,1.4,0.12,1.27,0.01
183,DOV,1.39,0.12,8.17,27.03,0.86,1.65,0.01
184,DOW,1.71,0.11,6.3,22.23,0.7,2.33,0.02
185,DPZ,0.52,0.11,15.44,-112.88,0.98,2.59,0.05
186,DQ,0.74,0.38,9.32,14.87,0.56,1.96,
187,DRH,,,,,,,
188,DTE,0.66,0.06,5.94,44.22,0.71,1.82,0.01
189,DTM,,,,,,,
190,DUK,0.28,0.12,5.47,60.04,0.64,2.01,0.01
191,DVA,,0.08,9.69,11.14,0.9,3.86,0.04
192,EB,3.08,-1.18,-0.46,1.86,1.1,16.64,0.15
193,EBS,1.02,0.18,5.17,28.75,0.87,7.79,0.07
194,EC,,,,,,,
195,ECC           ,,,,,,,
196,ECL,1.02,0.09,5.99,24.21,0.87,2.22,0.01
197,EDR,,-0.12,1.24,4.36,0.95,7.74,0.04
198,EDU,0.89,0.08,0.39,2.91,0.79,2.43,
199,EFX,1.43,0.15,8.8,29.01,0.93,3.79,0.02
200,EGHT,1.15,-0.3,0.19,1.42,1.0,21.74,0.21
201,EGP,,,,,,,
202,EIX,0.62,0.06,4.64,37.34,0.9,2.72,0.02
203,ELAN,0.83,-0.16,1.27,16.87,1.02,2.62,0.02
204,EME,,,,,,,
205,ENLC,3.2,-0.04,0.16,2.82,0.85,4.13,0.05
206,ENR,,,,,,,
207,ENV,,,,,,,
208,EPC,,,,,,,
209,EPR,1.81,-0.22,1.65,35.47,0.82,4.28,0.04
210,EQR,,0.44,1.31,28.33,0.93,3.51,0.02
211,ERJ,0.9,-0.03,0.33,75.56,0.39,2.17,
212,ES,0.37,0.13,4.09,41.65,0.8,2.49,0.01
213,ESNT,,,,,,,
214,ESRT,1.14,-0.01,0.14,6.09,0.99,7.27,0.09
215,ESS,0.74,0.27,5.06,91.59,0.98,3.81,0.02
216,ESTE,2.76,-0.12,1.44,9.41,0.69,3.12,0.03
217,ETD,,,,,,,
218,EVRG,0.42,0.15,3.52,39.19,0.88,1.6,0.01
219,EVTC,,,,,,,
220,EXK,1.34,0.22,0.26,1.41,0.31,1.5,
221,FBC,1.64,0.3,6.09,50.04,0.95,4.26,0.04
222,FBK,,,,,,,
223,FCF,,0.35,1.24,11.69,0.71,4.48,0.03
224,FCPT,,,,,,,
225,FCX,2.09,0.18,3.34,9.0,0.78,1.17,0.02
226,FE,0.27,0.1,2.59,13.65,0.84,5.14,0.03
227,FLOW,,,,,,,
228,FLR,2.86,-0.02,0.78,10.72,0.87,4.93,0.1
229,FLS,,0.04,1.95,13.54,0.97,3.98,0.04
230,FMX,,,,,,,
231,FN,,,,,,,
232,FNV,0.52,0.55,3.56,30.35,0.79,4.26,
233,FOR,,,,,,,
234,FOUR,,-0.05,1.2,5.39,1.02,8.39,0.2
235,FPI,0.89,0.12,0.12,9.51,0.42,1.8,0.03
236,FRC,1.1,0.29,8.17,66.44,0.97,3.36,0.01
237,FRO,0.25,0.06,11.4,8.16,0.27,3.48,0.07
238,FRT,1.15,0.18,2.07,29.96,0.97,7.43,0.05
239,FSK,1.64,2.12,2.54,26.84,0.31,1.12,0.01
240,FSM,1.07,0.17,0.71,4.16,0.32,2.48,
241,FSR,,0,-0.96,3.75,0.44,6.59,0.29
242,FTI,2.17,0.01,0.18,7.76,0.94,2.13,0.03
243,FTS,,,,,,,
244,FTV,1.2,0.34,3.01,25.68,0.93,2.77,0.02
245,FVRR,1.88,-0.16,0.55,9.52,0.48,5.35,0.1
246,GCO,,,,,,,
247,GDOT,1.0,0.02,2.74,19.54,0.96,9.31,0.07
248,GE,1.05,-0.0,4.03,34.12,0.65,1.4,0.01
249,GEF,1.08,0.06,6.05,29.84,0.86,5.3,
250,GEL,2.47,-0.1,0.66,5.47,0.68,2.03,0.02
251,GEO,0.73,0.06,1.14,8.24,0.81,11.69,0.33
252,GFI,0.63,0.23,0.24,4.4,0.35,1.98,
253,GGB,1.15,0.13,0.78,21.06,0.25,0.61,
254,GGG,,,,,,,
255,GHL,,,,,,,
256,GIB,,,,,,,
257,GIC,,,,,,,
258,GIS,0.5,0.13,3.92,15.99,0.78,4.23,0.03
259,GL,,0.15,8.37,84.5,0.77,2.2,0.01
260,GMED,,,,,,,
261,GMS,,,,,,,
262,GNL,1.13,0.01,0.16,16.49,0.7,2.41,0.03
263,GOLF,,,,,,,
264,GOOS,1.52,0.07,1.45,4.93,0.99,5.07,0.07
265,GPC,1.1,0.04,7.17,22.34,0.8,2.79,0.01
266,GPK,,,,,,,
267,GPMT,,,,,,,
268,GPOR,,,,,,,
269,GPS,1.64,0.05,2.48,8.03,0.57,3.25,0.14
270,GSK,0.39,0.13,3.08,6.16,0.13,4.17,
271,GTY,,,,,,,
272,GWB,,,,,,,
273,GWRE,,,,,,,
274,GWW,1.23,0.07,22.57,35.87,0.73,3.46,0.02
275,HCC,1.12,-0.09,4.76,13.58,0.89,2.95,0.07
276,HEI,,,,,,,
277,HEP,,,,,,,
278,HFC,1.7,0.01,3.22,33.89,0.88,3.55,0.04
279,HGV,,,,,,,
280,HII,0.99,0.08,14.91,51.42,0.87,3.07,0.02
281,HIMS,,-0.37,-0.16,1.52,0.56,3.02,0.06
282,HLT,1.23,-0.17,4.22,-5.08,0.99,3.7,0.03
283,HLX,3.27,-0.05,-0.31,11.12,0.94,4.22,0.06
284,HOG,1.49,0.11,3.48,15.17,0.98,11.21,0.11
285,HP,2.19,-0.28,-1.27,27.88,0.94,4.71,0.08
286,HPP,,,,,,,
287,HPQ,1.04,0.07,4.02,-3.42,0.84,6.09,0.05
288,HR,,,,,,,
289,HRB,0.86,0.19,2.79,2.13,0.9,9.41,0.09
290,HRC,,,,,,,
291,HSY,0.37,0.17,7.44,10.99,0.77,3.29,0.02
292,HTA,0.6,0.11,0.44,14.17,1.0,5.36,0.09
293,HTH,,,,,,,
294,HUYA,0.81,0.08,0.34,43.17,0.96,3.37,
295,HVT,,0.09,4.46,15.88,0.93,13.79,0.19
296,HYLN,,0,-0.95,3.52,0.26,7.82,0.21
297,HZO,1.72,0.07,6.9,26.14,1.05,10.77,0.2
298,IAG,0.84,0.05,0.18,5.28,0.61,1.33,
299,IBM,1.18,0.06,11.37,24.78,0.58,6.03,0.03
300,IDA,0.51,0.18,5,51.6,0.81,6.11,0.03
301,IFS,0.89,0.42,3.69,80.33,0.28,2.18,0.0
302,INFY,0.61,0.19,0.79,2.25,0.19,1.62,
303,ING,2.11,0.24,1,14.4,0.04,1.74,
304,INT,,,,,,,
305,IP,,0.08,5.14,24.72,0.84,3.11,0.03
306,IPG,,0.08,2.58,7.41,1.04,4.98,0.05
307,IPI,2.11,0.06,2.72,33.99,0.37,2.09,0.03
308,IRM,0.85,0.14,1.64,3.96,0.81,19.26,0.14
309,IT,1.57,0.13,6.69,6.27,0.94,2.38,0.02
310,ITUB,0.99,0.25,0.58,14.66,0.25,0.73,
311,ITW,1.12,0.19,9.31,11.18,0.8,4.13,0.01
312,IVC,1.07,-0.04,-0.27,8.02,1.23,11.63,0.32
313,IVZ,1.25,0.21,2.7,32.55,0.83,1.22,0.02
314,JBGS,,,,,,,
315,JBT,1.56,0.06,5.68,21.59,1.04,6.07,0.05
316,JELD,,,,,,,
317,JLL,1.34,0.07,16.1,113.58,1.0,5.27,0.03
318,JNPR,0.84,0.03,1.96,13.53,0.97,6.45,0.06
319,K,0.62,0.09,4.18,9.86,0.88,8.73,0.06
320,KAI,,,,,,,
321,KAR,1.19,0.04,0.85,12.6,1.07,5.05,0.11
322,KEX,,,,,,,
323,KEY,1.46,0.34,1.99,16.77,0.84,2.98,0.03
324,KL,0.53,0.33,,19.82,0.64,1.93,
325,KMPR,0.74,0.05,5.35,67.67,0.74,2.69,0.01
326,KMT,,,,,,,
327,KOF,,,,,,,
328,KRC,0.84,0.72,2.1,46.77,1.07,7.72,0.05
329,KSS,2.22,0.04,5.91,34.34,0.97,4.82,0.12
330,KSU,1.07,0.03,9.74,42.87,0.83,3.4,0.03
331,KW,,,,,,,
332,KWR,1.48,0.09,8.64,76.9,0.79,33.29,0.12
333,LBRT,2.9,-0.08,0.35,6.62,0.54,5.04,0.08
334,LC,1.89,-0.18,0.92,7.73,0.81,2.19,0.04
335,LDI,,0.42,1.82,4.06,0.13,1.35,0.04
336,LEG,1.48,0.09,3.13,11.51,0.76,9.61,0.06
337,LEN,1.52,0.16,14.45,66.73,0.96,3.02,0.03
338,LFC,1.03,0.07,0.49,83.4,0.01,3.8,
339,LICY,,0,-0.13,0.97,0.27,1.99,
340,LMND,,-1.88,-3.89,17.9,0.34,11.18,0.35
341,LNC,2.15,0.07,11.66,115.0,0.79,3.15,0.02
342,LNN,,,,,,,
343,LPG,1.34,0.29,1.89,23.18,0.76,4.86,0.09
344,LTHM,2.16,-0.03,0.4,4.93,0.97,8.64,0.21
345,LVS,1.48,-0.23,1.07,2.75,0.38,1.03,0.04
346,LXP,,,,,,,
347,LYB,1.52,0.12,15.41,31.46,0.71,2.53,0.02
348,LYG,1.42,0.32,0,0.0,0.02,0.33,
349,LYV,1.28,-1.15,0.62,-4.25,0.74,5.87,0.09
350,LZB,,,,,,,
351,M,2.09,0.02,3.33,10.16,0.89,3.3,0.22
352,MAA,,,,,,,
353,MAIN,1.47,1.27,2.54,23.42,0.19,6.5,0.03
354,MANU,0.84,-0.19,2.15,1.67,1.02,1.2,0.05
355,MAS,1.31,0.07,4.08,-0.62,0.98,3.94,0.04
356,MATX,0.95,0.14,7.96,26.99,0.86,4.55,0.04
357,MAXR,1.32,0.0,1.02,17.94,0.8,7.25,0.07
358,MBT,1.02,0.13,0.99,4.22,0.28,0.96,
359,MC,,0.26,4.52,8.27,0.95,2.47,0.01
360,MCW,,,,,,,
361,MDC,1.44,0.11,9.97,33.03,0.76,3.04,0.03
362,MFA,1.74,0.77,0.48,5.73,0.64,2.49,0.02
363,MFC,1.26,0.13,2.85,25.34,0.57,2.6,
364,MFGP,,,,,,,
365,MGM,2.39,-0.19,0.75,12.7,0.65,1.59,0.04
366,MGP,,,,,,,
367,MHK,1.55,0.09,16.25,127.01,0.79,2.51,0.03
368,MIC,1.59,-0.93,-0.13,10.42,0.92,0.77,0.07
369,MLM,0.67,0.17,14.22,98.17,0.94,1.56,0.01
370,MLNK,,0.07,0.31,-0.24,0.52,1.84,0.03
371,MMC,0.93,0.14,6.7,19.26,0.92,2.79,0.01
372,MMM,0.98,0.17,10.48,25.09,0.69,3.47,0.02
373,MMP,1.11,0.36,4.22,10.32,0.58,7.12,0.04
374,MMS,,,,,,,
375,MNR,,,,,,,
376,MOD,,,,,,,
377,MPLN,,-0.46,0.18,3.56,0.92,4.62,0.06
378,MRK,0.42,0.11,6.94,13.14,0.75,1.06,0.01
379,MSA,,,,,,,
380,MSCI,0.96,0.36,11.07,-4.46,0.93,2.68,0.01
381,MSM,1.01,0.07,5.9,20.75,0.94,2.66,0.03
382,MSP,,,,,,,
383,MTB,1.12,0.31,11.73,122.6,0.87,5.18,0.04
384,MTH,1.74,0.11,21.87,69.81,0.99,4.25,0.05
385,MTN,1.24,0.07,9.8,39.45,0.97,2.33,0.03
386,MTW,,,,,,,
387,MTX,,,,,,,
388,MUR,3.05,-0.35,2.6,25.13,0.83,5.79,0.11
389,MUSA,,,,,,,
390,MWA,,,,,,,
391,MYTE,,,,,,,
392,NAT,0.52,-0.46,0,3.55,0.31,1.6,0.03
393,NBHC,,,,,,,
394,NCLH,2.72,0,0.4,10.05,0.56,3.88,0.15
395,NEP,0.74,0.22,2.22,30.29,0.85,7.52,0.04
396,NETI,,,,,,,
397,NEWR,0.9,-0.35,-0.08,5.41,0.88,11.19,0.09
398,NFG,0.7,0.08,4.91,22.06,0.75,5.93,0.03
399,NJR,0.53,0.09,2.27,17.46,0.75,3.74,0.02
400,NLS,1.65,0.13,1.1,6.39,0.76,6.76,0.17
401,NLSN,,,,,,,
402,NMR,0.84,0.05,,885.42,0.01,4.18,
403,NOK,,-0.08,0.4,2.89,0.08,1.7,
404,NS,2.51,0.02,1.27,3.94,0.59,6.84,0.04
405,NSC,1.28,0.27,13.68,57.07,0.77,2.3,0.01
406,NUE,1.45,0.16,16.65,46.97,0.84,2.02,0.03
407,NUS,1.24,0.08,4.17,18.28,0.87,5.35,0.06
408,NVO,0.28,0.34,3.35,28.49,0.08,2.9,
409,NVR,1.04,0.13,403.42,858.9,0.86,2.18,0.01
410,NVRO,,,,,,,
411,NVS,0.55,0.19,6.77,25.38,0.1,2.58,
412,NVTA,1.83,-0.8,-2.34,13.07,0.86,11.3,0.14
413,NWG,1.52,0.19,,7.58,0.01,0.46,
414,NWN,,,,,,,
415,NX,,,,,,,
416,NXRT,,,,,,,
417,NYCB,1.01,0.48,1.43,13.9,0.64,8.51,0.11
418,OC,,,,,,,
419,OCFT,,-0.34,-0.32,11.51,0.19,1.91,
420,OGE,0.68,0.12,2.15,18.19,0.65,1.95,0.01
421,OGS,,,,,,,
422,OHI,0.97,0.23,1.73,16.89,0.72,4.17,0.06
423,OI,1.74,0.01,1.94,3.63,0.95,4.34,0.04
424,OII,3.4,-0.06,0.34,5.58,0.9,1.93,0.03
425,OIS,3.81,-0.13,-0.25,11.76,0.93,3.72,0.05
426,OMC,0.92,0.1,6.45,15.43,0.94,9.03,0.08
427,OMI,0.31,0.02,3.26,11.25,0.96,7.5,0.11
428,ORA,0.35,0.1,1.96,32.59,0.87,13.06,0.1
429,ORAN,0.31,0.03,1.16,11.25,0.01,2.01,
430,ORCL,0.78,0.34,5.16,-0.56,0.47,2.31,0.02
431,ORI,0.88,0.18,2.37,22.6,0.76,1.61,0.01
432,ORN,,-0.0,0.36,5.04,0.69,1.37,0.01
433,OWL,,,,,,,
434,OXY,2.34,-0.24,2.2,9.08,0.7,1.78,0.06
435,PAC,,,,,,,
436,PARR,,,,,,,
437,PATH,,-0.52,-0.03,3.7,0.56,2.1,0.06
438,PB,,,,,,,
439,PBA,1.74,-0.04,2.11,21.32,0.62,1.86,
440,PBH,,,,,,,
441,PBI,2.62,0.0,0.52,0.31,0.7,4.11,0.08
442,PCG,1.32,0.04,1.11,10.85,0.75,3.9,0.06
443,PEAK,,,,,,,
444,PEB,,,,,,,
445,PFE,0.69,0.24,32.87,12.51,0.68,2.21,0.01
446,PFS,,,,,,,
447,PG,0.42,0.18,6.37,18.7,0.66,2.02,0.01
448,PGR,0.49,0.09,4.91,31.72,0.85,4.12,0.02
449,PGTI,,,,,,,
450,PHG,0.66,0.19,2.26,13.1,0.08,1.23,
451,PII,,0.07,10.14,19.87,0.88,5.88,0.09
452,PING,0.97,-0.12,0.34,8.86,0.82,8.51,0.14
453,PINS,1.25,0.07,1.39,3.9,0.78,2.59,0.03
454,PK,2.21,-1.18,0,19.43,0.97,4.74,0.07
455,PKI,1.11,0.24,6.34,37.85,0.97,3.83,0.03
456,PKX,1.0,0.06,15.24,154565.84,0.04,1.5,
457,PLNT,1.22,0.06,1.61,-8.18,1.04,4.73,0.06
458,PMT,1.11,0.32,2.02,20.87,0.72,5.37,0.05
459,PNC,1.34,0.31,13.93,133,0.84,3.97,0.02
460,PNR,1.14,0.14,3.72,14.13,0.95,5.52,0.04
461,POR,,,,,,,
462,PPL,0.77,-0.16,1.63,19.43,0.66,2.02,0.01
463,PRA,,,,,,,
464,PRGO,1.05,-0.07,2.88,41.25,0.88,2.75,0.05
465,PRI,,,,,,,
466,PRLB,1.66,0.09,2.05,29.97,0.99,6.56,0.19
467,PRO,,,,,,,
468,PSA,0.17,0.48,8.72,27.86,0.81,3.4,0.02
469,PSN,,,,,,,
470,PSX,1.64,-0.02,6.1,41.44,0.71,2.29,0.02
471,PSXP,1.13,0.49,4.07,8.0,0.17,10.08,0.06
472,PUK,,,,,,,
473,PVH,,,,,,,
474,QGEN,,,,,,,
475,QUOT,0.99,-0.12,-0.07,2.55,0.84,2.66,0.04
476,R,1.9,0.03,8.78,44.97,0.91,3.02,0.03
477,RACE,0.9,0.21,4.7,10.35,0.41,5.21,0.07
478,RBA,,,,,,,
479,RBLX,,-0.27,-0.67,0.92,0.81,3.49,0.08
480,RCI,0.35,0.11,3.48,20.85,0.69,7.8,
481,RCL,2.7,0,0.68,30.95,0.74,4.07,0.06
482,REVG,,,,,,,
483,REZI,2.63,0.04,2.1,14.59,0.97,4.22,0.02
484,RF,1.48,0.38,2.03,17.75,0.77,2.13,0.02
485,RFP,3.31,0.1,4.23,17.51,0.88,3.13,0.04
486,RGA,,,,,,,
487,RGS,2.89,-0.27,0.12,0.48,0.79,1.43,0.33
488,RHI,1.57,0.09,5.26,11.43,0.92,4.72,0.03
489,RHP,,,,,,,
490,RIO,0.62,0.32,4.21,32.74,0.09,2.99,
491,RL,1.49,0.03,8.01,36.92,0.99,3.91,0.06
492,RLGY,,0.04,2.97,18.21,1.1,9.73,0.18
493,RLI,0.39,0.24,3.52,27.46,0.83,8.15,0.03
494,RM,,,,,,,
495,RMAX,,,,,,,
496,RMD,0.34,0.15,6.7,19.81,0.68,1.58,0.01
497,RMO,,9.24,-1.04,2.36,0.28,6.03,0.26
498,ROK,1.4,0.23,10.24,19.56,0.83,6.08,0.03
499,ROL,0.58,0.15,0.74,2.24,0.41,7.82,0.04
500,RPM,0.94,0.07,4.53,13.79,0.79,2.61,0.01
501,RPT,,,,,,,
502,RRC,2.32,-0.16,3.32,4.92,0.95,4.34,0.15
503,RSG,0.72,0.11,4.45,27.54,0.94,1.67,0.01
504,SAFE,-0.31,0.36,1.72,26.56,0.32,10.8,0.06
505,SAM,0.74,0.05,17.21,84.69,0.88,3.19,0.14
506,SAN,1.72,0.16,0.47,4.93,0.02,1.31,
507,SAND          ,,,,,,,
508,SAP,0.95,0.21,6.11,29.83,0.05,3.54,
