,Symbol,Name,Buy,Analyst
111,CAE,CAE Inc. Ordinary Shares,1,Buy
112,CAG,ConAgra Brands Inc. Common Stock,1,Buy
113,CAH,Cardinal Health Inc. Common Stock,1,Buy
114,CAL,Caleres Inc. Common Stock,1,Buy
115,CALX,Calix Inc Common Stock,1,Buy
116,CARR,Carrier Global Corporation Common Stock ,1,Buy
117,CAT,Caterpillar Inc. Common Stock,1,Buy
118,CBD,Companhia Brasileira de Distribuicao American Depsitary Shares; each representing one Common Share,1,Buy
119,CC,Chemours Company (The) Common Stock,1,Buy
120,CCCS,CCC Intelligent Solutions Holdings Inc. Common Stock,1,Buy
121,CCJ,Cameco Corporation Common Stock,1,Buy
122,CCL,Carnival Corporation Common Stock,1,Buy
123,CDAY,Ceridian HCM Holding Inc. Common Stock,1,Buy
124,CDE,Coeur Mining Inc. Common Stock,1,Buy
125,CDR,Cedar Realty Trust Inc. Common Stock,1,Buy
126,CEQP,Crestwood Equity Partners LP,1,Buy
127,CGAU,Centerra Gold Inc. Common Shares,1,Buy
128,CHD,Church & Dwight Company Inc. Common Stock,1,Buy
129,CHRA,Charah Solutions Inc. Common Stock,1,Buy
130,CIB,BanColombia S.A. Common Stock,1,Buy
131,CIEN,Ciena Corporation Common Stock,1,Buy
132,CIO,City Office REIT Inc. Common Stock,1,Buy
133,CIT,CIT Group Inc (DEL) Common Stock,1,Buy
134,CIXX,CI Financial Corp. Common Shares,1,Buy
135,CLF,Cleveland-Cliffs Inc. Common Stock,1,Buy
136,CLPR,Clipper Realty Inc. Common Stock,1,Buy
137,CLR,Continental Resources Inc. Common Stock,1,Buy
138,CLW,Clearwater Paper Corporation Common Stock,1,Buy
139,CMA,Comerica Incorporated Common Stock,1,Buy
140,CMI,Cummins Inc. Common Stock,1,Buy
141,CMP,Compass Minerals Intl Inc Common Stock,1,Buy
142,CNI,Canadian National Railway Company Common Stock,1,Buy
143,CNK,Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock,1,Buy
144,CNM,Core & Main Inc. Class A Common Stock,1,Buy
145,CNP,CenterPoint Energy Inc (Holding Co) Common Stock,1,Buy
146,CNX,CNX Resources Corporation Common Stock,1,Buy
147,COE,China Online Education Group American depositary shares each representing 15 Class A ordinary shares,1,Buy
148,COG,Cabot Oil & Gas Corporation Common Stock,1,Buy
149,COLD,Americold Realty Trust Common Shares,1,Buy
150,COMP,Compass Inc. Class A Common Stock,1,Buy
151,COTY,Coty Inc. Class A Common Stock,1,Buy
152,CP,Canadian Pacific Railway Limited Common Stock,1,Buy
153,CPA,Copa Holdings S.A. Copa Holdings S.A. Class A Common Stock,1,Buy
154,CPE,Callon Petroleum Company Common Stock,1,Buy
155,CPK,Chesapeake Utilities Corporation Common Stock,1,Buy
156,CPNG,Coupang Inc. Class A Common Stock,1,Buy
157,CRK,Comstock Resources Inc. Common Stock,1,Buy
158,CS,Credit Suisse Group American Depositary Shares,1,Buy
159,CSAN,Cosan S.A. ADS,1,Buy
160,CSLT,Castlight Health Inc. Class B Common Stock,1,Buy
161,CTS,CTS Corporation Common Stock,1,Buy
162,CTT,CatchMark Timber Trust Inc. Class A Common Stock,1,Buy
163,CUBE,CubeSmart Common Shares,1,Buy
164,CVA,Covanta Holding Corporation Common Stock,1,Buy
165,CWK,Cushman & Wakefield plc Ordinary Shares,1,Buy
166,CXW,CoreCivic Inc. Common Stock,1,Buy
167,CYH,Community Health Systems Inc. Common Stock,1,Buy
168,DAO,Youdao Inc. American Depositary Shares each representing one Class A Ordinary Share,1,Buy
169,DASH,DoorDash Inc. Class A Common Stock,1,Buy
170,DB,Deutsche Bank AG Common Stock,1,Buy
171,DBI,Designer Brands Inc. Class A Common Stock,1,Buy
172,DCI,Donaldson Company Inc. Common Stock,1,Buy
173,DCP,DCP Midstream  LP Common Units ,1,Buy
174,DD,DuPont de Nemours Inc. Common Stock,1,Buy
175,DEI,Douglas Emmett Inc. Common Stock,1,Buy
176,DESP,Despegar.com Corp. Ordinary Shares,1,Buy
177,DFIN,Donnelley Financial Solutions Inc. Common Stock ,1,Buy
178,DFS,Discover Financial Services Common Stock,1,Buy
179,DLNG,Dynagas LNG Partners LP Common Units,1,Buy
180,DM,Desktop Metal Inc. Class A Common Stock,1,Buy
181,DOC,Physicians Realty Trust Common Shares of Beneficial Interest,1,Buy
182,DOLE,Dole plc Ordinary Shares,1,Buy
183,DOV,Dover Corporation Common Stock,1,Buy
184,DOW,Dow Inc. Common Stock ,1,Buy
185,DPZ,Domino's Pizza Inc Common Stock,1,Buy
186,DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,1,Buy
187,DRH,Diamondrock Hospitality Company Common Stock,1,Buy
188,DTE,DTE Energy Company Common Stock,1,Buy
189,DTM,DT Midstream Inc. Common Stock ,1,Buy
190,DUK,Duke Energy Corporation (Holding Company) Common Stock,1,Buy
191,DVA,DaVita Inc. Common Stock,1,Buy
192,EB,Eventbrite Inc. Class A Common Stock,1,Buy
193,EBS,Emergent Biosolutions Inc. Common Stock,1,Buy
194,EC,Ecopetrol S.A. American Depositary Shares,1,Buy
195,ECC           ,Eagle Point Credit Company Inc. Common Stock,1,Buy
196,ECL,Ecolab Inc. Common Stock,1,Buy
197,EDR,Endeavor Group Holdings Inc. Class A Common Stock,1,Buy
198,EDU,New Oriental Education & Technology Group Inc. Sponsored ADR representing 1 Ordinary Share (Cayman Islands),1,Buy
199,EFX,Equifax Inc. Common Stock,1,Buy
200,EGHT,8x8 Inc Common Stock,1,Buy
201,EGP,EastGroup Properties Inc. Common Stock,1,Buy
202,EIX,Edison International Common Stock,1,Buy
203,ELAN,Elanco Animal Health Incorporated Common Stock,1,Buy
204,EME,EMCOR Group Inc. Common Stock,1,Buy
205,ENLC,EnLink Midstream LLC Common Units representing Limited Partner Interests,1,Buy
206,ENR,Energizer Holdings Inc. Common Stock,1,Buy
207,ENV,Envestnet Inc Common Stock,1,Buy
208,EPC,Edgewell Personal Care Company Common Stock,1,Buy
209,EPR,EPR Properties Common Stock,1,Buy
210,EQR,Equity Residential Common Shares of Beneficial Interest,1,Buy
211,ERJ,Embraer S.A. Common Stock,1,Buy
212,ES,Eversource Energy (D/B/A) Common Stock,1,Buy
213,ESNT,Essent Group Ltd. Common Shares,1,Buy
214,ESRT,Empire State Realty Trust Inc. Class A Common Stock,1,Buy
215,ESS,Essex Property Trust Inc. Common Stock,1,Buy
216,ESTE,Earthstone Energy Inc. Class A Common Stock,1,Buy
217,ETD,Ethan Allen Interiors Inc. Common Stock,1,Buy
218,EVRG,Evergy Inc. Common Stock,1,Buy
219,EVTC,Evertec Inc. Common Stock,1,Buy
220,EXK,Endeavour Silver Corporation Ordinary Shares (Canada),1,Buy
221,FBC,Flagstar Bancorp Inc. Common Stock,1,Buy
222,FBK,FB Financial Corporation Common Stock,1,Buy
223,FCF,First Commonwealth Financial Corporation Common Stock,1,Buy
224,FCPT,Four Corners Property Trust Inc. Common Stock,1,Buy
225,FCX,Freeport-McMoRan Inc. Common Stock,1,Buy
226,FE,FirstEnergy Corp. Common Stock,1,Buy
227,FLOW,SPX FLOW Inc. Common Stock,1,Buy
228,FLR,Fluor Corporation Common Stock,1,Buy
229,FLS,Flowserve Corporation Common Stock,1,Buy
230,FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,1,Buy
231,FN,Fabrinet Ordinary Shares,1,Buy
232,FNV,Franco-Nevada Corporation,1,Buy
233,FOR,Forestar Group Inc Common Stock ,1,Buy
234,FOUR,Shift4 Payments Inc. Class A Common Stock,1,Buy
235,FPI,Farmland Partners Inc. Common Stock,1,Buy
236,FRC,FIRST REPUBLIC BANK Common Stock,1,Buy
237,FRO,Frontline Ltd. Ordinary Shares,1,Buy
238,FRT,Federal Realty Investment Trust Common Stock,1,Buy
239,FSK,FS KKR Capital Corp. Common Stock,1,Buy
240,FSM,Fortuna Silver Mines Inc Ordinary Shares (Canada),1,Buy
241,FSR,Fisker Inc. Class A Common Stock,1,Buy
242,FTI,TechnipFMC plc Ordinary Share,1,Buy
243,FTS,Fortis Inc. Common Shares,1,Buy
244,FTV,Fortive Corporation Common Stock ,1,Buy
245,FVRR,Fiverr International Ltd. Ordinary Shares no par value,1,Buy
246,GCO,Genesco Inc. Common Stock,1,Buy
247,GDOT,Green Dot Corporation Class A Common Stock $0.001 par value,1,Buy
248,GE,General Electric Company Common Stock,1,Buy
249,GEF,Greif Inc. Class A Common Stock,1,Buy
250,GEL,Genesis Energy L.P. Common Units,1,Buy
251,GEO,Geo Group Inc (The) REIT,1,Buy
252,GFI,Gold Fields Limited American Depositary Shares,1,Buy
253,GGB,Gerdau S.A. Common Stock,1,Buy
254,GGG,Graco Inc. Common Stock,1,Buy
255,GHL,Greenhill & Co. Inc. Common Stock,1,Buy
256,GIB,CGI Inc. Common Stock,1,Buy
257,GIC,Global Industrial Company Common Stock,1,Buy
258,GIS,General Mills Inc. Common Stock,1,Buy
259,GL,Globe Life Inc. Common Stock,1,Buy
260,GMED,Globus Medical Inc. Class A Common Stock,1,Buy
261,GMS,GMS Inc. Common Stock,1,Buy
262,GNL,Global Net Lease Inc. Common Stock,1,Buy
263,GOLF,Acushnet Holdings Corp. Common Stock,1,Buy
264,GOOS,Canada Goose Holdings Inc. Subordinate Voting Shares,1,Buy
265,GPC,Genuine Parts Company Common Stock,1,Buy
266,GPK,Graphic Packaging Holding Company,1,Buy
267,GPMT,Granite Point Mortgage Trust Inc. Common Stock,1,Buy
268,GPOR,Gulfport Energy Corporation Common Shares,1,Buy
269,GPS,Gap Inc. (The) Common Stock,1,Buy
270,GSK,GlaxoSmithKline PLC Common Stock,1,Buy
271,GTY,Getty Realty Corporation Common Stock,1,Buy
272,GWB,Great Western Bancorp Inc. Common Stock,1,Buy
273,GWRE,Guidewire Software Inc. Common Stock,1,Buy
274,GWW,W.W. Grainger Inc. Common Stock,1,Buy
275,HCC,Warrior Met Coal Inc. Common Stock,1,Buy
276,HEI,Heico Corporation Common Stock,1,Buy
277,HEP,Holly Energy Partners L.P. Common Stock,1,Buy
278,HFC,HollyFrontier Corporation Common Stock,1,Buy
279,HGV,Hilton Grand Vacations Inc. Common Stock ,1,Buy
280,HII,Huntington Ingalls Industries Inc. Common Stock,1,Buy
281,HIMS,Hims & Hers Health Inc. Class A Common Stock,1,Buy
282,HLT,Hilton Worldwide Holdings Inc. Common Stock ,1,Buy
283,HLX,Helix Energy Solutions Group Inc. Common Stock,1,Buy
284,HOG,Harley-Davidson Inc. Common Stock,1,Buy
285,HP,Helmerich & Payne Inc. Common Stock,1,Buy
286,HPP,Hudson Pacific Properties Inc. Common Stock,1,Buy
287,HPQ,HP Inc. Common Stock,1,Buy
288,HR,Healthcare Realty Trust Incorporated Common Stock,1,Buy
289,HRB,H&R Block Inc. Common Stock,1,Buy
290,HRC,Hill-Rom Holdings Inc Common Stock,1,Buy
291,HSY,The Hershey Company Common Stock,1,Buy
292,HTA,Healthcare Trust of America Inc. Class A Common Stock,1,Buy
293,HTH,Hilltop Holdings Inc.,1,Buy
294,HUYA,HUYA Inc. American depositary shares each  representing one Class A ordinary share,1,Buy
295,HVT,Haverty Furniture Companies Inc. Common Stock,1,Buy
296,HYLN,Hyliion Holdings Corp. Class A Common Stock,1,Buy
297,HZO,MarineMax Inc.  (FL) Common Stock,1,Buy
298,IAG,Iamgold Corporation Ordinary Shares,1,Buy
299,IBM,International Business Machines Corporation Common Stock,1,Buy
300,IDA,IDACORP Inc. Common Stock,1,Buy
301,IFS,Intercorp Financial Services Inc. Common Shares,1,Buy
302,INFY,Infosys Limited American Depositary Shares,1,Buy
303,ING,ING Group N.V. Common Stock,1,Buy
304,INT,World Fuel Services Corporation Common Stock,1,Buy
305,IP,International Paper Company Common Stock,1,Buy
306,IPG,Interpublic Group of Companies Inc. (The) Common Stock,1,Buy
307,IPI,Intrepid Potash Inc Common Stock,1,Buy
308,IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,1,Buy
309,IT,Gartner Inc. Common Stock,1,Buy
310,ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),1,Buy
311,ITW,Illinois Tool Works Inc. Common Stock,1,Buy
312,IVC,Invacare Corporation Common Stock,1,Buy
313,IVZ,Invesco Ltd Common Stock,1,Buy
314,JBGS,JBG SMITH Properties Common Shares ,1,Buy
315,JBT,John Bean Technologies Corporation Common Stock,1,Buy
316,JELD,JELD-WEN Holding Inc. Common Stock,1,Buy
317,JLL,Jones Lang LaSalle Incorporated Common Stock,1,Buy
318,JNPR,Juniper Networks Inc. Common Stock,1,Buy
319,K,Kellogg Company Common Stock,1,Buy
320,KAI,Kadant Inc Common Stock,1,Buy
321,KAR,KAR Auction Services Inc Common Stock,1,Buy
322,KEX,Kirby Corporation Common Stock,1,Buy
323,KEY,KeyCorp Common Stock,1,Buy
324,KL,Kirkland Lake Gold Ltd. Common Shares,1,Buy
325,KMPR,Kemper Corporation,1,Buy
326,KMT,Kennametal Inc. Common Stock,1,Buy
327,KOF,Coca Cola Femsa S.A.B. de C.V.  American Depositary Shares each representing 10 Units (each Unit consists of 3 Series B Shares and 5 Series L Shares),1,Buy
328,KRC,Kilroy Realty Corporation Common Stock,1,Buy
329,KSS,Kohl's Corporation Common Stock,1,Buy
330,KSU,Kansas City Southern Common Stock,1,Buy
331,KW,Kennedy-Wilson Holdings Inc. Common Stock,1,Buy
332,KWR,Quaker Chemical Corporation Common Stock,1,Buy
333,LBRT,Liberty Oilfield Services Inc. Class A Common Stock,1,Buy
334,LC,LendingClub Corporation Common Stock,1,Buy
335,LDI,loanDepot Inc. Class A Common Stock,1,Buy
336,LEG,Leggett & Platt Incorporated Common Stock,1,Buy
337,LEN,Lennar Corporation Class A Common Stock,1,Buy
338,LFC,China Life Insurance Company Limited American Depositary Shares,1,Buy
339,LICY,Li-Cycle Holdings Corp. Common Shares,1,Buy
340,LMND,Lemonade Inc. Common Stock,1,Buy
341,LNC,Lincoln National Corporation Common Stock,1,Buy
342,LNN,Lindsay Corporation Common Stock,1,Buy
343,LPG,Dorian LPG Ltd. Common Stock,1,Buy
344,LTHM,Livent Corporation Common Stock,1,Buy
345,LVS,Las Vegas Sands Corp. Common Stock,1,Buy
346,LXP,Lexington Realty Trust Common Stock,1,Buy
347,LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),1,Buy
348,LYG,Lloyds Banking Group Plc American Depositary Shares,1,Buy
349,LYV,Live Nation Entertainment Inc. Common Stock,1,Buy
350,LZB,La-Z-Boy Incorporated Common Stock,1,Buy
351,M,Macy's Inc Common Stock,1,Buy
352,MAA,Mid-America Apartment Communities Inc. Common Stock,1,Buy
353,MAIN,Main Street Capital Corporation Common Stock,1,Buy
354,MANU,Manchester United Ltd. Class A Ordinary Shares,1,Buy
355,MAS,Masco Corporation Common Stock,1,Buy
356,MATX,Matson Inc. Common Stock,1,Buy
357,MAXR,Maxar Technologies Inc.,1,Buy
358,MBT,Mobile TeleSystems PJSC,1,Buy
359,MC,Moelis & Company Class A Common Stock,1,Buy
360,MCW,Mister Car Wash Inc. Common Stock,1,Buy
361,MDC,M.D.C. Holdings Inc. Common Stock,1,Buy
362,MFA,MFA Financial Inc.,1,Buy
363,MFC,Manulife Financial Corporation Common Stock,1,Buy
364,MFGP,Micro Focus Intl PLC ADS each representing One Ord Sh,1,Buy
365,MGM,MGM Resorts International Common Stock,1,Buy
366,MGP,MGM Growth Properties LLC Class A common shares representing limited liability company interests,1,Buy
367,MHK,Mohawk Industries Inc. Common Stock,1,Buy
368,MIC,Macquarie Infrastructure Corporation Common Stock,1,Buy
369,MLM,Martin Marietta Materials Inc. Common Stock,1,Buy
370,MLNK,MeridianLink Inc. Common Stock,1,Buy
371,MMC,Marsh & McLennan Companies Inc. Common Stock,1,Buy
372,MMM,3M Company Common Stock,1,Buy
373,MMP,Magellan Midstream Partners L.P. Limited Partnership,1,Buy
374,MMS,Maximus Inc. Common Stock,1,Buy
375,MNR,Monmouth Real Estate Investment Corporation Class A Common Stock,1,Buy
376,MOD,Modine Manufacturing Company Common Stock,1,Buy
377,MPLN,MultiPlan Corporation Class A Common Stock,1,Buy
378,MRK,Merck & Company Inc. Common Stock (new),1,Buy
379,MSA,MSA Safety Incorporated Common Stock,1,Buy
380,MSCI,MSCI Inc Common Stock,1,Buy
381,MSM,MSC Industrial Direct Company Inc. Common Stock,1,Buy
382,MSP,Datto Holding Corp. Common Stock,1,Buy
383,MTB,M&T Bank Corporation Common Stock,1,Buy
384,MTH,Meritage Homes Corporation Common Stock,1,Buy
385,MTN,Vail Resorts Inc. Common Stock,1,Buy
386,MTW,Manitowoc Company Inc. (The) Common Stock,1,Buy
387,MTX,Minerals Technologies Inc. Common Stock,1,Buy
388,MUR,Murphy Oil Corporation Common Stock,1,Buy
389,MUSA,Murphy USA Inc. Common Stock,1,Buy
390,MWA,MUELLER WATER PRODUCTS Common Stock,1,Buy
391,MYTE,MYT Netherlands Parent B.V. American Depositary Shares each representing one Ordinary Share,1,Buy
392,NAT,Nordic American Tankers Limited Common Stock,1,Buy
393,NBHC,National Bank Holdings Corporation Common Stock,1,Buy
394,NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares,1,Buy
395,NEP,NextEra Energy Partners LP Common Units representing limited partner interests,1,Buy
396,NETI,Eneti Inc. Common Stock,1,Buy
397,NEWR,New Relic Inc. Common Stock,1,Buy
398,NFG,National Fuel Gas Company Common Stock,1,Buy
399,NJR,NewJersey Resources Corporation Common Stock,1,Buy
400,NLS,Nautilus Inc. Common Stock,1,Buy
401,NLSN,Nielsen N.V. Ordinary Shares,1,Buy
402,NMR,Nomura Holdings Inc ADR American Depositary Shares,1,Buy
403,NOK,Nokia Corporation Sponsored American Depositary Shares,1,Buy
404,NS,Nustar Energy L.P.  Common Units,1,Buy
405,NSC,Norfolk Southern Corporation Common Stock,1,Buy
406,NUE,Nucor Corporation Common Stock,1,Buy
407,NUS,Nu Skin Enterprises Inc. Common Stock,1,Buy
408,NVO,Novo Nordisk A/S Common Stock,1,Buy
409,NVR,NVR Inc. Common Stock,1,Buy
410,NVRO,Nevro Corp. Common Stock,1,Buy
411,NVS,Novartis AG Common Stock,1,Buy
412,NVTA,Invitae Corporation Common Stock,1,Buy
413,NWG,NatWest Group plc American Depositary Shares,1,Buy
414,NWN,Northwest Natural Holding Company Common Stock,1,Buy
415,NX,Quanex Building Products Corporation Common Stock,1,Buy
416,NXRT,NexPoint Residential Trust Inc. Common Stock,1,Buy
417,NYCB,New York Community Bancorp Inc. Common Stock,1,Buy
418,OC,Owens Corning Inc Common Stock New,1,Buy
419,OCFT,OneConnect Financial Technology Co. Ltd. American Depositary Shares each representing three ordinary shares,1,Buy
420,OGE,OGE Energy Corp Common Stock,1,Buy
421,OGS,ONE Gas Inc. Common Stock,1,Buy
422,OHI,Omega Healthcare Investors Inc. Common Stock,1,Buy
423,OI,O-I Glass Inc. Common Stock,1,Buy
424,OII,Oceaneering International Inc. Common Stock,1,Buy
425,OIS,Oil States International Inc. Common Stock,1,Buy
426,OMC,Omnicom Group Inc. Common Stock,1,Buy
427,OMI,Owens & Minor Inc. Common Stock,1,Buy
428,ORA,Ormat Technologies Inc. Common Stock,1,Buy
429,ORAN,Orange,1,Buy
430,ORCL,Oracle Corporation Common Stock,1,Buy
431,ORI,Old Republic International Corporation Common Stock,1,Buy
432,ORN,Orion Group Holdings Inc. Common,1,Buy
433,OWL,Blue Owl Capital Inc. Class A Common Stock,1,Buy
434,OXY,Occidental Petroleum Corporation Common Stock,1,Buy
435,PAC,Grupo Aeroportuario Del Pacifico S.A. B. de C.V. Grupo Aeroportuario Del Pacifico S.A. de C.V. (each representing 10 Series B shares),1,Buy
436,PARR,Par Pacific Holdings Inc.  Common Stock,1,Buy
437,PATH,UiPath Inc. Class A Common Stock,1,Buy
438,PB,Prosperity Bancshares Inc. Common Stock,1,Buy
439,PBA,Pembina Pipeline Corp. Ordinary Shares (Canada),1,Buy
440,PBH,Prestige Consumer Healthcare Inc. Common Stock,1,Buy
441,PBI,Pitney Bowes Inc. Common Stock,1,Buy
442,PCG,Pacific Gas & Electric Co. Common Stock,1,Buy
443,PEAK,Healthpeak Properties Inc. Common Stock,1,Buy
444,PEB,Pebblebrook Hotel Trust Common Shares of Beneficial Interest,1,Buy
445,PFE,Pfizer Inc. Common Stock,1,Buy
446,PFS,Provident Financial Services Inc Common Stock,1,Buy
447,PG,Procter & Gamble Company (The) Common Stock,1,Buy
448,PGR,Progressive Corporation (The) Common Stock,1,Buy
449,PGTI,PGT Innovations Inc.,1,Buy
450,PHG,Koninklijke Philips N.V. NY Registry Shares,1,Buy
451,PII,Polaris Inc. Common Stock,1,Buy
452,PING,Ping Identity Holding Corp. Common Stock,1,Buy
453,PINS,Pinterest Inc. Class A Common Stock,1,Buy
454,PK,Park Hotels & Resorts Inc. Common Stock ,1,Buy
