,Symbol,Name,Buy,Analyst,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat
29,ALSN,Allison Transmission Holdings Inc. Common Stock,1,Buy,1.164301,0.16253,5.11,6.831,1.0541999,4.64,0.048899997
30,ALV,Autoliv Inc. Common Stock,1,Buy,1.799126,0.062119998,8.13,29.724,0.47296003,3.47,0.0154
31,AMCR,Amcor plc Ordinary Shares,1,Buy,0.441277,0.07301,0.84,3.103,0.41301998,8.41,0.0327
32,AMK,AssetMark Financial Holdings Inc. Common Stock,1,Buy,1.149096,-0.00043000001,1.69,13.044,0.27956,2.24,0.0159
33,AMPY,Amplify Energy Corp. Common Stock,1,Buy,5.487264,-0.41974,1.75,-2.3,0.33218,2.57,0.0275
34,AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,1,Buy,1.282439,0.00448,0.91,2.32,0.6912,3.23,0.0448
35,AMWL,American Well Corporation Class A Common Stock,1,Buy,,-0.79086995,-0.69,4.838,0.50099,5.58,0.0704
36,AN,AutoNation Inc. Common Stock,1,Buy,1.608078,0.039809998,13.31,39.063,0.82874,5.41,0.141
37,AON,Aon plc Class A Ordinary Shares (Ireland),1,Buy,0.868449,0.17778999,12.91,19.778,1.0612,6.36,0.05
38,AOS,A.O. Smith Corporation Common Stock,1,Buy,1.046943,0.13691,3.22,11.41,0.95453,7.22,0.0398
39,APTS,Preferred Apartment Communities Inc. Common Stock,1,Buy,1.219432,0.0272,-2.06,26.525,0.50804,2.24,0.0159
40,AQN,Algonquin Power & Utilities Corp. Common Shares,1,Buy,0.179282,0.3335,,8.08,0.52447,9.35,
41,AQUA,Evoqua Water Technologies Corp. Common Stock,1,Buy,1.898904,0.039330002,0.84,4.523,1.05262,3.17,0.024300002
42,ARCH,Arch Resources Inc. Class A Common Stock,1,Buy,1.104644,-0.16328,13.57,20.827,1.20879,9.92,0.2476
43,ARGO,Argo Group International Holdings Ltd.,1,Buy,0.948144,0.03638,4.46,50.337,0.91832,2.56,0.0074
44,ARLO,Arlo Technologies Inc. Common Stock,1,Buy,1.764195,-0.16422,-0.03,1.384,0.69573,5.34,0.0622
45,ARMK,Aramark Common Stock,1,Buy,1.946506,-0.02446,1.76,10.525,1.06121,5.57,0.0462
46,ARNC,Arconic Corporation Common Stock ,1,Buy,,-0.06831,2.96,14.67,0.99669,7.68,0.060599998
47,AROC,Archrock Inc. Common Stock,1,Buy,2.196506,0.04528,0.37,5.932,0.8126,4.68,0.0327
48,ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock,1,Buy,0.907133,0.20136999,10.56,1106.58,0.25796,8.65,
49,ATC,Atotech Limited Common Shares,1,Buy,,-0.00598,0.86,4.534,0.96919996,1.04,0.024400001
50,ATCO,Atlas Corp. Common Shares,1,Buy,1.114082,0.14623,1.5,15.016,0.70545,9.1,0.0795
51,ATGE,Adtalem Global Education Inc. Common Stock,1,Buy,1.170305,0.06914,5.11,26.416,1.03861,6.66,0.0454
52,ATH,Athene Holding Ltd. Class A Common Shares,1,Buy,1.678571,0.16613,9.19,104.252,0.87821,6.98,0.045300003
53,ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.,1,Buy,0.45524,0.4025,4.23,174.316,0.57281,2.75,
54,ATR,AptarGroup Inc. Common Stock,1,Buy,0.659934,0.08274,4.38,30.141,0.90712,3.45,0.010199999
55,ATTO,Atento S.A. Ordinary Shares,1,Buy,1.772379,-0.03797,1.99,3.066,0.72383004,0.13,0.00029999999
56,ATUS,Altice USA Inc. Class A Common Stock,1,Buy,1.085235,0.08004,2.39,-2.842,0.54061,8.05,0.18020001
57,AU,AngloGold Ashanti Limited Common Stock,1,Buy,0.116195,0.20185,1.69,9.141,0.32072,1.82,
58,AUD,Audacy Common Stock,1,Buy,1.810589,-0.17604,0.88,4.444,0.55347,8.77,0.060599998
59,AVA,Avista Corporation Common Stock,1,Buy,0.610807,0.106800005,2.18,29.712,0.8518,5.36,0.039300002
60,AVB,AvalonBay Communities Inc. Common Stock,1,Buy,0.949235,0.47707,3.49,78.259,0.93671995,4.61,0.0194
61,AVNS,Avanos Medical Inc. Common Stock,1,Buy,0.906113,0.0032499998,1.59,26.95,0.94195,2.19,0.024600001
62,AVY,Avery Dennison Corporation Common Stock,1,Buy,1.009825,0.093389995,9.56,20.537,0.90370005,1.42,0.0078
63,AWK,American Water Works Company Inc. Common Stock,1,Buy,0.231986,0.19259001,4.61,36.861,0.87518996,2.38,0.0107
64,AXL,American Axle & Manufacturing Holdings Inc. Common Stock,1,Buy,2.495633,0.03737,2.25,3.868,0.93252,4.42,0.056999996
65,AXP,American Express Company Common Stock,1,Buy,1.271834,0.18424,9.39,32.004,0.87221,2.73,0.0146
66,AXS,Axis Capital Holdings Limited Common Stock,1,Buy,0.897379,0.05785,5.44,57.095,0.95318,2.39,0.010299999
67,AXTA,Axalta Coating Systems Ltd. Common Shares,1,Buy,1.474456,0.022160001,2.29,5.839,1.02087,1.34,0.025
68,AYI,Acuity Brands Inc. ,1,Buy,1.627756,0.083909996,9.65,54.681,1.03028,3.77,0.0594
69,AYX,Alteryx Inc. Class A Common Stock,1,Buy,0.702571,-0.109069996,0.44,6.731,0.79794997,3.34,0.048499998
70,B,Barnes Group Inc. Common Stock,1,Buy,1.230895,0.06516,2.48,26.68,0.89091,3.06,0.0104
71,BAK,Braskem SA ADR,1,Buy,0.89986,-0.00799,1.7,1.082,0.02705,1.35,
72,BBY,Best Buy Co. Inc. Common Stock,1,Buy,1.547826,0.04438,8.48,16.605,0.81791,3.31,0.0348
73,BCC,Boise Cascade L.L.C. Common Stock,1,Buy,2.004366,0.07929,3.96,21.703,0.95566005,2.45,0.0327
74,BCE,BCE Inc. Common Stock,1,Buy,0.326029,0.13034001,2.88,19.924,0.48044,3.49,
75,BCH,Banco De Chile Banco De Chile ADS,1,Buy,0.396551,0.34267,1.87,10.0,0.010620001,7.15,
76,BDN,Brandywine Realty Trust Common Stock,1,Buy,1.173014,0.64545995,0.14,10.382,1.06499,4.07,0.09819999
77,BDX,Becton Dickinson and Company Common Stock,1,Buy,0.768013,0.09826,13.11,85.359,0.87789,2.64,0.013200001
78,BE,Bloom Energy Corporation Class A Common Stock,1,Buy,3.504787,-0.12806,0.2,0.035,0.69585,6.46,0.1204
79,BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),1,Buy,,0.06025,,,0.30937,1.34,
80,BEP,Brookfield Renewable Partners L.P. ,1,Buy,0.643137,-0.10779,0.34,17.292,0.63755,3.22,0.0034
81,BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares ,1,Buy,,-0.68601996,,,0.77745,4.54,
82,BEST,BEST Inc. American Depositary Shares each representing one Class A Ordinary Share,1,Buy,0.567792,-0.07498,0.07,2.995,0.25864,4.81,
83,BFAM,Bright Horizons Family Solutions Inc. Common Stock,1,Buy,0.846195,0.00242,4.07,21.582,0.99727,1.81,0.0231
84,BFS,Saul Centers Inc. Common Stock,1,Buy,1.124798,0.17879999,3.25,10.892,0.46710998,4.69,0.0123000005
85,BG,Bunge Limited Bunge Limited,1,Buy,0.646584,0.03926,6.97,42.1,0.92644,2.51,0.0234
86,BHLB,Berkshire Hills Bancorp Inc. Common Stock,1,Buy,1.260892,0.18804,1.3,23.336,0.81777,5.55,0.053200003
87,BKD,Brookdale Senior Living Inc. Common Stock,1,Buy,1.853804,-0.14111,-0.98,3.742,0.94858,7.3,0.0673
88,BKU,BankUnited Inc. Common Stock,1,Buy,1.400435,0.37857,3.55,32.83,1.03034,3.02,0.0313
89,BLL,Ball Corporation Common Stock,1,Buy,0.469978,0.06808,4.04,10.643,0.84799004,4.94,0.0354
90,BNED,Barnes & Noble Education Inc Common Stock,1,Buy,2.670252,-0.09191,-0.47,6.698,0.74106,2.93,0.055
91,BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,1,Buy,0.842866,0.2969,5.89,54.342,0.56205004,4.12,
92,BOX,Box Inc. Class A Common Stock,1,Buy,1.414055,-0.19759001,0.99,0.139,0.84293,5.75,0.0888
93,BP,BP p.l.c. Common Stock,1,Buy,0.896237,0.04375,3.01,22.452,0.09073,1.0,
94,BR,Broadridge Financial Solutions Inc.Common Stock,1,Buy,0.87663,0.107130006,6.26,13.713,0.8958,3.73,0.0187
95,BRC,Brady Corporation Common Stock,1,Buy,0.832426,0.11861,3.06,18.278,0.86600995,3.31,0.0171
96,BRMK,Broadmark Realty Capital Inc. Common Stock,1,Buy,,0.73379,,,0.51117,5.47,0.0325
97,BRO,Brown & Brown Inc. Common Stock,1,Buy,0.679891,0.19347,2.12,13.586,0.71984,3.81,0.0128
98,BRT,BRT Apartments Corp. (MD) Common Stock,1,Buy,0.626086,-0.82718,-0.62,9.699,0.47002998,2.15,0.0119
99,BRX,Brixmor Property Group Inc. Common Stock,1,Buy,1.668478,0.10827,0.67,8.996,0.99706,6.29,0.0506
100,BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,1,Buy,0.916105,0.29531,0.86,28.12,0.06545,2.19,
101,BSIG,BrightSphere Investment Group Inc. Common Stock,1,Buy,1.805676,1.1264,2.57,4.167,1.01963,3.29,0.0249
102,BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,1,Buy,0.723905,0.24115999,3.97,27.35,0.05619,1.13,
103,BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),1,Buy,1.429854,0.11209,3.61,34.491,0.04474,3.84,
104,BV,BrightView Holdings Inc. Common Stock,1,Buy,1.452125,0.00538,1.29,12.212,0.97615,8.79,0.0461
105,BXMT,Blackstone Mortgage Trust Inc. Common Stock,1,Buy,1.368477,0.75251997,2.48,26.41,0.60577,5.04,0.039100002
106,BXP,Boston Properties Inc. Common Stock,1,Buy,1.239913,0.11491,3.02,37.006,1.01856,7.55,0.0448
107,BY,Byline Bancorp Inc. Common Stock,1,Buy,1.422425,0.27747,1.41,20.272,0.40333998,2.97,0.017
108,BZH,Beazer Homes USA Inc. Common Stock,1,Buy,2.083378,0.043530002,3.38,21.134,0.76615,3.89,0.0651
109,CABO,Cable One Inc. Common Stock,1,Buy,0.523471,0.24476999,56.18,265.245,0.90082,6.66,0.059899997
110,CADE,Cadence Bancorporation Class A Common Stock,1,Buy,1.871489,0.46251,1.73,16.781,0.94685996,4.31,0.0438
111,CAE,CAE Inc. Ordinary Shares,1,Buy,2.141176,0.034479998,0.95,9.839,0.67627996,5.42,
112,CAG,ConAgra Brands Inc. Common Stock,1,Buy,0.821739,0.10148,2.63,17.193,0.86245,5.25,0.041500002
113,CAH,Cardinal Health Inc. Common Stock,1,Buy,1.067778,0.0037599998,6.19,6.151,0.87389,1.76,0.019
114,CAL,Caleres Inc. Common Stock,1,Buy,2.688586,-0.03694,2.5,5.298,0.89178,2.95,0.061300002
115,CALX,Calix Inc Common Stock,1,Buy,1.563586,0.10146,1.16,5.007,0.80891,4.36,0.045300003
116,CARR,Carrier Global Corporation Common Stock ,1,Buy,,0.12648,,,0.86811996,1.85,0.0108
117,CAT,Caterpillar Inc. Common Stock,1,Buy,0.916304,0.07991,12.01,30.256,0.70301,1.82,0.011
118,CBD,Companhia Brasileira de Distribuicao American Depsitary Shares; each representing one Common Share,1,Buy,0.823937,0.046919998,0.31,52.247,0.08465,0.99,
119,CC,Chemours Company (The) Common Stock,1,Buy,2.136462,0.04521,3.95,5.137,0.78142,8.81,0.0517
120,CCCS,CCC Intelligent Solutions Holdings Inc. Common Stock,1,Buy,,,,,,,
121,CCJ,Cameco Corporation Common Stock,1,Buy,0.818061,-0.02228,0.44,12.511,0.66002,2.1,
122,CCL,Carnival Corporation Common Stock,1,Buy,2.307692,0.0,0.24,17.503,0.52603,1.93,0.0999
123,CDAY,Ceridian HCM Holding Inc. Common Stock,1,Buy,1.381082,-0.069180004,0.58,14.5,1.03968,10.78,0.0784
124,CDE,Coeur Mining Inc. Common Stock,1,Buy,1.776761,0.08336,0.42,2.959,0.71886003,1.85,0.026500002
125,CDR,Cedar Realty Trust Inc. Common Stock,1,Buy,1.605978,0.01806,-0.65,24.707,0.55855,3.29,0.0152
126,CEQP,Crestwood Equity Partners LP,1,Buy,3.548144,-0.027139999,1.24,10.435,0.40994,3.86,0.041199997
127,CGAU,Centerra Gold Inc. Common Shares,1,Buy,0.859477,-0.20247999,,,0.65465,31.55,
128,CHD,Church & Dwight Company Inc. Common Stock,1,Buy,0.393222,0.1596,3.27,13.098,0.89043,4.55,0.0249
129,CHRA,Charah Solutions Inc. Common Stock,1,Buy,0.355392,-0.18396,-0.1,0.662,0.87843,1.33,0.0186
130,CIB,BanColombia S.A. Common Stock,1,Buy,1.121004,0.05723,3.41,,0.32988,4.2,
131,CIEN,Ciena Corporation Common Stock,1,Buy,0.832705,0.107700005,3.22,17.38,0.96059,4.47,0.024
132,CIO,City Office REIT Inc. Common Stock,1,Buy,1.596557,0.33465,-0.13,7.989,0.75311,1.45,0.0081
133,CIT,CIT Group Inc (DEL) Common Stock,1,Buy,1.542764,0.23356001,4.22,53.406,0.95853996,6.33,0.0548
134,CIXX,CI Financial Corp. Common Shares,1,Buy,1.437254,0.20069,,,0.58617,7.06,
135,CLF,Cleveland-Cliffs Inc. Common Stock,1,Buy,2.301414,0.067329995,1.64,4.786,0.66283995,1.5,0.1024
136,CLPR,Clipper Realty Inc. Common Stock,1,Buy,0.999048,-0.06104,0.05,2.201,0.62048,2.8,0.0185
137,CLR,Continental Resources Inc. Common Stock,1,Buy,3.322282,-0.054629996,1.89,17.508,0.14380999,5.45,0.1559
138,CLW,Clearwater Paper Corporation Common Stock,1,Buy,1.37816,0.00253,2.28,32.143,0.89046997,6.29,0.055999998
139,CMA,Comerica Incorporated Common Stock,1,Buy,1.607853,0.33787,5.29,55.579,0.80370003,2.41,0.0253
140,CMI,Cummins Inc. Common Stock,1,Buy,1.053493,0.095240004,18.66,55.464,0.84134,2.82,0.022
141,CMP,Compass Minerals Intl Inc Common Stock,1,Buy,1.631004,-0.08698,3.05,11.396,0.90082,4.1,0.0311
142,CNI,Canadian National Railway Company Common Stock,1,Buy,0.608233,0.28271,5.44,28.067,0.79739,6.87,
143,CNK,Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock,1,Buy,2.591304,-2.97788,0.74,4.382,0.91968,7.23,0.2978
144,CNM,Core & Main Inc. Class A Common Stock,1,Buy,,0.021300001,,,0.79420996,0.01,0.0002
145,CNP,CenterPoint Energy Inc (Holding Co) Common Stock,1,Buy,0.980895,0.11739001,1.45,10.855,0.95505995,4.69,0.042600002
146,CNX,CNX Resources Corporation Common Stock,1,Buy,1.534696,-0.18664,1.06,20.477,0.93016,7.12,0.1358
147,COE,China Online Education Group American depositary shares each representing 15 Class A ordinary shares,1,Buy,-0.779561,0.048070002,0.7,-40.351,0.95275,0.82,
148,COG,Cabot Oil & Gas Corporation Common Stock,1,Buy,0.142549,0.1674,1.47,5.773,1.02559,5.53,0.096099995
149,COLD,Americold Realty Trust Common Shares,1,Buy,0.147892,-0.0062599997,0.6,14.671,1.09113,4.57,0.041500002
150,COMP,Compass Inc. Class A Common Stock,1,Buy,,-0.08302,,,0.45266,8.85,0.0328
151,COTY,Coty Inc. Class A Common Stock,1,Buy,2.498655,-0.18934,0.19,3.867,0.50678,3.21,0.0365
152,CP,Canadian Pacific Railway Limited Common Stock,1,Buy,0.702827,0.34579,18.38,59.01,0.83228993,6.63,0.0178
153,CPA,Copa Holdings S.A. Copa Holdings S.A. Class A Common Stock,1,Buy,1.667914,-2.02457,4.77,30.192,1.21427,10.47,0.12109999
154,CPE,Callon Petroleum Company Common Stock,1,Buy,3.51802,-0.92157996,11.0,16.639,0.78727996,5.25,0.2141
155,CPK,Chesapeake Utilities Corporation Common Stock,1,Buy,0.369565,0.14626001,4.89,39.92,0.76799005,5.57,0.0232
156,CPNG,Coupang Inc. Class A Common Stock,1,Buy,,-0.04829,,,0.83950996,9.44,0.0866
157,CRK,Comstock Resources Inc. Common Stock,1,Buy,1.800932,-0.23496,0.83,4.862,0.20033,2.54,0.1699
158,CS,Credit Suisse Group American Depositary Shares,1,Buy,1.580246,0.01066,1.07,18.862,0.027460001,3.15,
159,CSAN,Cosan S.A. ADS,1,Buy,1.153846,0.13241,,,0.00863,7.32,
160,CSLT,Castlight Health Inc. Class B Common Stock,1,Buy,1.857988,-0.04921,0.02,0.787,0.74224,3.09,0.059
161,CTS,CTS Corporation Common Stock,1,Buy,0.713819,0.09538,1.79,13.469,0.94928,2.46,0.015800001
162,CTT,CatchMark Timber Trust Inc. Class A Common Stock,1,Buy,1.404518,-0.05056,-0.16,2.807,0.77277,3.37,0.0150999995
163,CUBE,CubeSmart Common Shares,1,Buy,0.276931,0.24052,0.9,9.368,1.0,3.27,0.0166
164,CVA,Covanta Holding Corporation Common Stock,1,Buy,1.416304,0.0031,0.24,2.181,0.87477,3.52,0.0239
165,CWK,Cushman & Wakefield plc Ordinary Shares,1,Buy,1.511318,-0.0232,1.54,4.961,0.75781,4.86,0.0423
166,CXW,CoreCivic Inc. Common Stock,1,Buy,1.317374,-0.059120003,0.97,10.534,0.85525,8.4,0.0867
167,CYH,Community Health Systems Inc. Common Stock,1,Buy,1.950802,0.036429998,0.79,-13.229,0.83584,1.75,0.044899996
168,DAO,Youdao Inc. American Depositary Shares each representing one Class A Ordinary Share,1,Buy,,-0.48138002,,,0.64792,2.34,
169,DASH,DoorDash Inc. Class A Common Stock,1,Buy,,-0.15974,,,0.88528,4.71,0.0717
170,DB,Deutsche Bank AG Common Stock,1,Buy,1.416252,0.061729997,1.48,30.011,0.34192002,2.78,0.0063
171,DBI,Designer Brands Inc. Class A Common Stock,1,Buy,2.587412,-0.10421,1.24,3.607,0.87191004,6.28,0.17930001
172,DCI,Donaldson Company Inc. Common Stock,1,Buy,1.334588,0.09884,2.68,9.172,0.82158,3.67,0.012
173,DCP,DCP Midstream  LP Common Units ,1,Buy,3.479347,0.04053,2.43,24.213,0.32119998,7.62,0.0539
174,DD,DuPont de Nemours Inc. Common Stock,1,Buy,1.275655,0.27913,4.41,51.097,0.73577005,2.89,0.0137
175,DEI,Douglas Emmett Inc. Common Stock,1,Buy,0.850523,0.05678,0.43,13.889,1.00307,6.38,0.0634
176,DESP,Despegar.com Corp. Ordinary Shares,1,Buy,2.555463,-1.53822,-0.08,0.586,0.62377,2.56,0.0183
177,DFIN,Donnelley Financial Solutions Inc. Common Stock ,1,Buy,2.153688,0.00566,2.75,8.214,0.92767996,2.51,0.0324
178,DFS,Discover Financial Services Common Stock,1,Buy,1.832065,0.34794,11.71,39.674,0.87531,2.62,0.0171
179,DLNG,Dynagas LNG Partners LP Common Units,1,Buy,1.952662,0.31531,0.73,5.885,0.20031,0.31,0.0011
180,DM,Desktop Metal Inc. Class A Common Stock,1,Buy,,-2.92315,-0.19,3.722,0.4295,6.81,0.1301
181,DOC,Physicians Realty Trust Common Shares of Beneficial Interest,1,Buy,0.779475,0.15531999,0.38,12.53,0.90871,4.27,0.0365
182,DOLE,Dole plc Ordinary Shares,1,Buy,,,,,,,
183,DOV,Dover Corporation Common Stock,1,Buy,1.370087,0.11842,7.6,24.312,0.86587,1.7,0.0101
184,DOW,Dow Inc. Common Stock ,1,Buy,1.720707,0.08884,5.48,18.746,0.69096,2.84,0.0139999995
185,DPZ,Domino's Pizza Inc Common Stock,1,Buy,0.47762,0.111829996,14.93,-83.365,0.99386,4.31,0.0544
186,DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,1,Buy,0.753804,0.23488002,8.05,11.585,0.62001,3.04,
187,DRH,Diamondrock Hospitality Company Common Stock,1,Buy,1.937227,-1.55427,0.14,7.314,1.08181,5.48,0.0588
188,DTE,DTE Energy Company Common Stock,1,Buy,,0.097720005,7.26,64.792,0.75714,1.8,0.0164
189,DTM,DT Midstream Inc. Common Stock ,1,Buy,,0.38724998,,,0.15729,1.4,
190,DUK,Duke Energy Corporation (Holding Company) Common Stock,1,Buy,0.250545,0.124960005,5.45,59.821,0.63765,2.7,0.0089
191,DVA,DaVita Inc. Common Stock,1,Buy,1.274341,0.07467,9.6,11.656,0.90279996,3.7,0.036
192,EB,Eventbrite Inc. Class A Common Stock,1,Buy,3.102713,-1.92514,-0.54,1.96,0.9557,7.66,0.1543
193,EBS,Emergent Biosolutions Inc. Common Stock,1,Buy,0.979869,0.22703,5.11,28.41,0.85835,4.27,0.0829
194,EC,Ecopetrol S.A. American Depositary Shares,1,Buy,1.067197,0.13003,1.49,8.82,0.01699,5.53,
195,ECC           ,Eagle Point Credit Company Inc. Common Stock,1,Buy,1.207423,3.20717,1.18,11.178,0.26594,0.75,0.0044
196,ECL,Ecolab Inc. Common Stock,1,Buy,1.00753,0.086619996,6.15,22.006,0.86582,2.6,0.0097
197,EDR,Endeavor Group Holdings Inc. Class A Common Stock,1,Buy,,-0.18608,,1.052,0.74434,1.13,0.013099999
198,EDU,New Oriental Education & Technology Group Inc. Sponsored ADR representing 1 Ordinary Share (Cayman Islands),1,Buy,0.944021,0.10175,0.44,2.909,0.86841005,1.96,
199,EFX,Equifax Inc. Common Stock,1,Buy,1.425764,0.15529001,8.38,27.264,0.92920995,5.45,0.024300002
200,EGHT,8x8 Inc Common Stock,1,Buy,1.15008,-0.29985002,0.19,1.471,0.99738,17.09,0.2192
201,EGP,EastGroup Properties Inc. Common Stock,1,Buy,0.721739,0.3019,2.9,32.96,0.94403,4.31,0.026600001
202,EIX,Edison International Common Stock,1,Buy,0.611619,0.0579,4.72,37.121,0.90856004,2.45,0.015700001
203,ELAN,Elanco Animal Health Incorporated Common Stock,1,Buy,0.851098,-0.14832,1.31,17.96,1.01966,2.44,0.019299999
204,EME,EMCOR Group Inc. Common Stock,1,Buy,1.240478,0.016139999,7.11,38.735,0.96545,2.4,0.0128999995
205,ENLC,EnLink Midstream LLC Common Units representing Limited Partner Interests,1,Buy,3.458848,-0.03615,0.05,2.944,0.8386,3.62,0.0325
206,ENR,Energizer Holdings Inc. Common Stock,1,Buy,1.21834,0.00868,3.75,5.038,0.90946996,6.89,0.0857
207,ENV,Envestnet Inc Common Stock,1,Buy,1.300543,0.01867,2.33,16.803,1.04145,5.82,0.046
208,EPC,Edgewell Personal Care Company Common Stock,1,Buy,0.996195,0.029749999,3.03,26.956,1.01572,5.99,0.097600006
209,EPR,EPR Properties Common Stock,1,Buy,1.855836,-0.21620001,1.51,35.237,0.8542,3.59,0.0435
210,EQR,Equity Residential Common Shares of Beneficial Interest,1,Buy,0.793797,0.29532,0.89,27.56,0.94045997,3.62,0.0255
211,ERJ,Embraer S.A. Common Stock,1,Buy,0.826147,-0.13334,0.22,83.344,0.41533002,1.6,
212,ES,Eversource Energy (D/B/A) Common Stock,1,Buy,0.324781,0.1311,4.09,41.444,0.80403,3.19,0.0138
213,ESNT,Essent Group Ltd. Common Shares,1,Buy,1.321506,0.55564,6.07,34.358,0.98146003,2.7,0.0164
214,ESRT,Empire State Realty Trust Inc. Class A Common Stock,1,Buy,1.169213,-0.00815,0.23,6.113,0.99100995,10.44,0.1094
215,ESS,Essex Property Trust Inc. Common Stock,1,Buy,0.750403,0.26903,4.29,92.697,0.98010004,2.88,0.0167
216,ESTE,Earthstone Energy Inc. Class A Common Stock,1,Buy,3.0,-0.09373,0.55,11.366,0.79693,2.15,0.0379
217,ETD,Ethan Allen Interiors Inc. Common Stock,1,Buy,,,,,,,
218,EVRG,Evergy Inc. Common Stock,1,Buy,0.379366,0.14512,3.5,38.795,0.87986,1.94,0.0123000005
219,EVTC,Evertec Inc. Common Stock,1,Buy,0.980096,0.27073,2.53,4.948,0.86723,5.11,0.0269
220,EXK,Endeavour Silver Corporation Ordinary Shares (Canada),1,Buy,1.322875,0.21996,0.19,1.007,0.30669,2.35,
221,FBC,Flagstar Bancorp Inc. Common Stock,1,Buy,1.70251,0.31288,5.62,44.699,0.96589,4.41,0.040999997
222,FBK,FB Financial Corporation Common Stock,1,Buy,1.20441,0.22999,2.93,28.081,0.65239996,5.3,0.026800001
