,Symbol,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat
101,BSIG,1.81,1.13,2.57,4.17,1.02,3.29,0.02
102,BTI,0.72,0.24,3.97,27.35,0.06,1.13,
103,BUD,1.43,0.11,3.61,34.49,0.04,3.84,
104,BV,1.41,0.01,1.29,12.21,0.97,8.56,0.05
105,BXMT,1.37,0.75,2.48,26.41,0.61,5.04,0.04
106,BXP,1.24,0.11,3.02,37.01,1.02,7.55,0.04
107,BY,1.42,0.28,1.41,20.27,0.4,2.97,0.02
108,BZH,2.08,0.04,3.38,21.13,0.77,3.89,0.07
109,CABO,0.6,0.24,56.18,265.25,0.89,5.42,0.06
110,CADE,1.87,0.46,1.73,16.78,0.95,4.31,0.04
111,CAE,2.11,0.03,0.95,9.84,0.68,7.32,
112,CAG,0.82,0.1,2.63,17.19,0.86,5.25,0.04
113,CAH,1.07,0.0,6.19,6.15,0.87,1.76,0.02
114,CAL,2.64,-0.01,2.5,5.3,0.92,4,0.09
115,CALX,,0.36,1.16,5.01,0.81,5.57,0.05
116,CARR,,0.13,,,0.87,1.85,0.01
117,CAT,0.92,0.08,12.01,30.26,0.7,1.82,0.01
118,CBD,0.82,0.05,0.31,52.25,0.08,0.99,
119,CC,2.14,0.05,3.95,5.14,0.78,8.81,0.05
120,CCCS,,,,,,,
121,CCJ,0.82,-0.02,0.44,12.51,0.66,2.1,
122,CCL,2.31,0,0.24,17.5,0.53,1.93,0.1
123,CDAY,1.38,-0.07,0.58,14.5,1.04,10.78,0.08
124,CDE,1.78,0.08,0.42,2.96,0.72,1.85,0.03
125,CDR,1.61,0.02,-0.65,24.71,0.56,3.29,0.02
126,CEQP,3.55,-0.03,1.24,10.44,0.41,3.86,0.04
127,CGAU,0.86,-0.2,,,0.65,31.55,
128,CHD,0.38,0.16,3.27,13.1,0.89,4.3,0.03
129,CHRA,0.36,-0.18,-0.1,0.66,0.88,1.33,0.02
130,CIB,1.03,0.17,3.41,,0.27,7.27,
131,CIEN,0.83,0.11,3.22,17.38,0.96,4.47,0.02
132,CIO,1.6,0.33,-0.13,7.99,0.75,1.45,0.01
133,CIT,1.54,0.23,4.22,53.41,0.96,6.33,0.05
134,CIXX,1.41,0.2,,,0.59,5.98,
135,CLF,2.22,0.07,1.64,4.79,0.73,2.2,0.1
136,CLPR,0.99,-0.05,0.05,2.2,0.48,2.07,0.01
137,CLR,3.32,-0.05,1.89,17.51,0.14,5.45,0.16
138,CLW,1.38,0.0,2.28,32.14,0.89,6.29,0.06
139,CMA,1.61,0.34,5.29,55.58,0.8,2.41,0.03
140,CMI,1.05,0.1,18.66,55.46,0.84,2.82,0.02
141,CMP,1.63,-0.09,3.05,11.4,0.9,3.73,0.03
142,CNI,0.61,0.33,5.44,28.07,0.8,1.27,
143,CNK,2.47,-1.36,0.74,4.38,0.94,6.81,0.34
144,CNM,,0.02,,,0.79,0.01,0.0
145,CNP,0.97,0.12,1.45,10.86,0.92,2.37,0.03
146,CNX,1.53,-0.19,1.06,20.48,0.93,7.12,0.14
147,COE,-0.73,0.02,0.7,-40.35,0.91,0.47,
148,COG,0.14,0.17,1.47,5.77,1.03,5.53,0.1
149,COLD,0.25,-0.03,0.6,14.67,1.1,7.77,0.06
150,COMP,,-0.05,,,0.59,5.15,0.03
151,COTY,2.51,-0.04,0.19,3.87,0.33,1.12,0.03
152,CP,0.66,0.41,18.38,59.01,0.82,6.49,0.06
153,CPA,1.56,-0.56,4.77,30.19,1.23,17.05,0.1
154,CPE,3.52,-0.92,11,16.64,0.79,5.25,0.21
155,CPK,0.37,0.15,4.89,39.92,0.77,5.57,0.02
156,CPNG,,-0.05,,,0.84,9.44,0.09
157,CRK,1.8,-0.23,0.83,4.86,0.2,2.54,0.17
158,CS,1.58,0.01,1.07,18.86,0.03,3.15,
159,CSAN,1.1,0.13,,,0.01,9.57,
160,CSLT,1.86,-0.05,0.02,0.79,0.74,3.09,0.06
161,CTS,0.74,0.08,1.79,13.47,0.93,3.32,0.02
162,CTT,1.4,-0.05,-0.16,2.81,0.77,3.37,0.02
163,CUBE,0.34,0.24,0.9,9.37,0.99,2.71,0.02
164,CVA,1.42,0.0,0.24,2.18,0.87,3.52,0.02
165,CWK,1.51,-0.02,1.54,4.96,0.76,4.86,0.04
166,CXW,1.31,-0.06,0.97,10.53,0.86,10.04,0.08
167,CYH,1.95,0.04,0.79,-13.23,0.84,1.75,0.04
168,DAO,,-0.48,,,0.65,2.34,
169,DASH,,-0.14,,,0.92,3.51,0.07
170,DB,1.42,0.06,1.48,30.01,0.34,2.78,0.01
171,DBI,2.59,-0.1,1.24,3.61,0.87,6.28,0.18
172,DCI,1.33,0.1,2.68,9.17,0.82,3.67,0.01
173,DCP,3.48,0.04,2.43,24.21,0.32,7.62,0.05
174,DD,1.28,0.28,4.41,51.1,0.74,2.89,0.01
175,DEI,0.85,0.06,0.43,13.89,0.98,11.66,0.08
176,DESP,2.44,-0.77,-0.08,0.59,0.56,1.46,0.02
177,DFIN,2.15,0.01,2.75,8.21,0.93,2.51,0.03
178,DFS,1.83,0.45,11.71,39.67,0.88,4.55,0.02
179,DLNG,1.95,0.32,0.73,5.88,0.2,0.31,0.0
180,DM,,-2.92,-0.19,3.72,0.43,6.81,0.13
181,DOC,0.78,0.16,0.38,12.53,0.92,4.82,0.05
182,DOLE,,,,,,,
183,DOV,1.39,0.12,7.6,24.31,0.86,1.65,0.01
184,DOW,1.72,0.09,5.48,18.75,0.69,2.84,0.01
185,DPZ,0.48,0.11,14.93,-83.36,0.99,4.31,0.05
186,DQ,0.75,0.23,8.05,11.59,0.62,3.04,
187,DRH,1.94,-1.55,0.14,7.31,1.08,5.48,0.06
188,DTE,0.63,0.1,7.26,64.79,0.74,2.78,0.02
189,DTM,,0.39,,,0.16,1.4,
190,DUK,0.28,0.12,5.45,59.82,0.64,2.56,0.01
191,DVA,1.31,0.07,9.6,11.66,0.9,4.01,0.04
192,EB,3.1,-1.93,-0.54,1.96,0.96,7.66,0.15
193,EBS,0.98,0.23,5.11,28.41,0.86,4.27,0.08
194,EC,1.07,0.13,1.49,8.82,0.02,5.53,
195,ECC           ,1.21,3.21,1.18,11.18,0.27,0.75,0.0
196,ECL,1.01,0.09,6.15,22.01,0.87,2.6,0.01
197,EDR,,-0.19,,1.05,0.74,1.13,0.01
198,EDU,0.94,0.1,0.44,2.91,0.87,1.96,
199,EFX,1.43,0.16,8.38,27.26,0.93,3.79,0.02
200,EGHT,1.15,-0.3,0.19,1.47,1.0,17.09,0.22
201,EGP,0.72,0.3,2.9,32.96,0.94,4.31,0.03
202,EIX,0.62,0.06,4.72,37.12,0.91,2.99,0.02
203,ELAN,0.83,-0.16,1.31,17.96,1.04,2.49,0.02
204,EME,1.24,0.02,7.11,38.73,0.97,2.4,0.01
205,ENLC,3.46,-0.04,0.05,2.94,0.84,3.62,0.03
206,ENR,1.22,0.01,3.75,5.04,0.91,6.89,0.09
207,ENV,1.3,0.02,2.33,16.8,1.04,5.82,0.05
208,EPC,1.0,0.05,3.03,26.96,0.96,8.7,0.1
209,EPR,1.86,-0.22,1.51,35.24,0.85,3.59,0.04
210,EQR,0.79,0.3,0.89,27.56,0.94,3.62,0.03
211,ERJ,0.83,-0.13,0.22,83.34,0.42,1.6,
212,ES,0.32,0.13,4.09,41.44,0.8,3.19,0.01
213,ESNT,1.32,0.56,6.07,34.36,0.98,2.87,0.02
214,ESRT,1.17,-0.01,0.23,6.11,0.99,10.44,0.11
215,ESS,0.75,0.27,4.29,92.7,0.98,2.88,0.02
216,ESTE,2.76,-0.12,0.55,11.37,0.69,3.12,0.03
217,ETD,,,,,,,
218,EVRG,0.38,0.15,3.5,38.8,0.88,1.94,0.01
219,EVTC,0.98,0.27,2.53,4.95,0.87,5.11,0.03
220,EXK,1.32,0.22,0.19,1.01,0.31,2.35,
221,FBC,1.7,0.31,5.62,44.7,0.97,4.41,0.04
222,FBK,1.2,0.23,2.93,28.08,0.65,5.3,0.03
223,FCF,1.13,0.32,1.21,11.33,0.7,4.13,0.03
224,FCPT,0.89,0.44,1.19,11.14,0.91,3.04,0.03
225,FCX,2.08,0.15,3.58,7.46,0.79,1.41,0.02
226,FE,0.23,0.13,2.6,13.53,0.84,6.24,0.04
227,FLOW,1.82,0.04,2.99,24.43,0.98,1.65,0.03
228,FLR,2.96,-0.02,1.21,6.96,0.78,3,0.09
229,FLS,1.78,0.03,1.92,13.14,0.96,2.64,0.03
230,FMX,0.53,-0.01,3.45,656.98,0.36,1.96,
231,FN,1.02,0.08,5.06,29.11,1.05,2.41,0.02
232,FNV,0.49,0.55,1.15,29.33,0.79,6.91,
233,FOR,2.01,0.07,2.43,19.21,0.33,4.14,0.03
234,FOUR,,-0.06,,,1.02,6.1,0.14
235,FPI,0.91,0.12,0.05,9.53,0.42,2.97,0.02
236,FRC,1.11,0.3,7.74,61.26,0.97,3.99,0.01
237,FRO,0.43,0.06,0.99,8.15,0.26,3.26,0.03
238,FRT,1.17,0.18,1.69,30.03,0.99,6.12,0.05
239,FSK,1.66,0.81,2.47,26.03,0.13,2.71,0.02
240,FSM,1.06,0.17,0.33,4.07,0.27,2.14,
241,FSR,,0,,,0.44,6.65,0.3
242,FTI,2.34,0.01,0.19,8.12,0.91,1.85,0.02
243,FTS,0.05,0.14,2.61,36.53,0.57,4.75,
244,FTV,1.22,0.34,2.85,26.61,0.93,3.26,0.02
245,FVRR,,-0.08,-0.55,4.82,0.5,2.62,0.05
246,GCO,2.24,0.04,5.31,38.66,0.95,5.01,0.05
247,GDOT,0.99,0.02,2.69,18.82,0.96,9.98,0.06
248,GE,1.05,-0.03,0.52,3.83,0.66,1.29,0.01
249,GEF,1.1,0.05,4.26,24.84,0.89,8.2,
250,GEL,2.69,-0.26,0.55,6.11,0.67,4.83,0.04
251,GEO,0.71,0.06,1.64,7.86,0.79,10.43,0.53
252,GFI,0.6,0.23,0.3,4.15,0.35,1.16,
253,GGB,1.16,0.13,0.87,20.2,0.33,1.54,
254,GGG,0.59,0.24,2.63,8.16,0.87,3.67,0.01
255,GHL,0.92,0.16,1.82,4.17,0.63,10.25,0.07
256,GIB,0.99,0.11,3.54,26.65,0.7,6.26,
257,GIC,0.78,0.07,,,0.3,3.02,0.02
258,GIS,0.56,0.13,3.71,14.53,0.79,5.91,0.04
259,GL,1.13,0.16,7.61,67.43,0.77,1.58,0.01
260,GMED,1.02,0.13,2.15,15.11,0.9,3.19,0.02
261,GMS,2.08,0.04,3.9,17.76,1.01,4.04,0.04
262,GNL,1.15,0.01,0.06,17.0,0.7,1.97,0.02
263,GOLF,0.79,0.12,2.1,14.12,0.51,21.49,0.09
264,GOOS,1.5,0.08,0.64,5.43,0.97,5.78,0.08
265,GPC,1.1,0.05,6.44,23.01,0.8,2.79,0.01
266,GPK,1.23,0.04,1.57,5.39,1.01,1.16,0.01
267,GPMT,1.54,0.3,1.04,16.92,0.67,3.31,0.02
268,GPOR,5.52,-1.25,,-1.79,0.56,10.97,
269,GPS,1.61,0.05,2.19,7.44,0.57,2.09,0.08
270,GSK,0.4,0.16,3.07,5.94,0.13,4.81,
271,GTY,0.84,0.51,1.25,15.34,0.72,5.8,0.03
272,GWB,1.32,0.35,2.8,19.85,1.02,4.64,0.03
273,GWRE,1.32,-0.04,0.11,18.69,1.04,6.31,0.05
274,GWW,1.22,0.07,22.67,34.85,0.73,3.2,0.02
275,HCC,1.15,-0.1,1.86,13.64,0.98,2.5,0.05
276,HEI,1.27,0.15,2.7,15.72,0.71,5.42,0.03
277,HEP,1.09,0.37,2.08,3.85,0.3,3.28,0.02
278,HFC,1.77,0.01,3.43,32.77,0.88,3.6,0.04
279,HGV,2.3,-0.33,3.39,4.31,1.0,10.23,0.08
280,HII,1.0,0.08,14.55,49.11,0.87,3.26,0.02
281,HIMS,,-0.37,,,0.56,2.54,0.06
282,HLT,1.3,-0.65,4.07,-5.83,0.99,4.47,0.03
283,HLX,3.27,-0.05,-0.23,11.33,0.94,4.22,0.06
284,HOG,1.5,0.1,3.33,12.86,0.98,13.56,0.11
285,HP,2.27,-0.28,-1.38,28.58,0.94,8.33,0.1
286,HPP,0.93,-0.01,0.11,22.71,0.98,7.28,0.05
287,HPQ,1.02,0.07,3.58,-2.8,0.81,4.54,0.04
288,HR,0.57,0.18,0.29,13.97,0.99,5.59,0.05
289,HRB,0.86,0.17,2.82,-2.91,0.9,6.43,0.08
290,HRC,0.6,0.08,6.38,27.7,0.88,0.8,0.02
291,HSY,0.36,0.17,7.28,10.9,0.77,3.45,0.02
292,HTA,0.6,0.08,0.43,14.3,1.02,9.57,0.08
293,HTH,1.09,0.24,2.62,29.41,0.67,5.35,0.08
294,HUYA,0.75,0.08,0.95,42.72,1.16,7.97,
295,HVT,1.55,0.09,3.9,14.81,0.93,10.88,0.17
296,HYLN,,0,,,0.23,6.91,0.2
297,HZO,1.81,0.07,5.7,23.62,1.0,7.04,0.26
298,IAG,0.95,0.08,0.14,5.26,0.63,1.58,
299,IBM,1.21,0.07,12.05,23.94,0.58,7.92,0.03
300,IDA,0.51,0.18,4.95,50.86,0.81,5.07,0.03
301,IFS,0.89,0.42,3.93,,0.28,2.18,0.0
302,INFY,0.6,0.19,0.77,2.46,0.18,3.15,
303,ING,2.11,0.24,1,14.1,0.04,1.67,
304,INT,1.25,0.01,2.36,30.68,0.96,4.45,0.03
305,IP,1.05,0.05,5.37,19.81,0.84,4.69,0.03
306,IPG,1.06,0.09,2.35,7.31,1.04,5.15,0.05
307,IPI,2.14,-0.11,0.78,32.69,0.38,1.33,0.03
308,IRM,0.82,0.08,1.43,3.94,0.81,14.52,0.17
309,IT,1.61,0.13,6.23,10.24,0.94,3.19,0.02
310,ITUB,0.98,0.25,0.56,15.06,0.24,0.59,
311,ITW,1.1,0.17,9.32,10.37,0.8,4.34,0.01
312,IVC,0.87,-0.04,0.11,8.12,1.23,12.68,0.31
313,IVZ,1.28,0.2,2.96,22.84,0.83,2.25,0.02
314,JBGS,0.9,-0.21,-0.6,24.13,0.96,2.32,0.01
315,JBT,1.59,0.06,5.49,21.18,1.04,7.21,0.06
316,JELD,2.5,0.03,2.41,9.76,1.15,5.88,0.04
317,JLL,1.39,0.07,13.26,109.54,1.0,3.55,0.03
318,JNPR,0.83,0.04,1.89,13.53,0.97,5.93,0.07
319,K,0.66,0.09,4.2,9.22,0.88,10.52,0.08
320,KAI,1.32,0.1,6.78,43.41,1.03,4.81,0.02
321,KAR,1.21,0.04,1.09,12.72,1.13,8.81,0.13
322,KEX,1.47,0.04,2.46,51.35,0.97,4.89,0.03
323,KEY,1.54,0.33,1.97,16.18,0.89,2,0.01
324,KL,0.53,0.33,,19.2,0.63,1.49,
325,KMPR,0.74,0.05,6.66,66.74,0.74,3.61,0.01
326,KMT,2.07,0.01,1.6,15.25,1.04,7.47,0.07
327,KOF,0.86,0.06,3.24,516.13,0.52,3.53,
328,KRC,0.86,0.71,1.69,46.87,1.06,4.32,0.05
329,KSS,2.19,0.04,4.87,32.59,0.97,3.45,0.08
330,KSU,1.09,0.05,10.48,46.63,0.86,3.46,0.04
331,KW,1.15,0.75,-0.02,9.38,0.81,4.24,0.02
332,KWR,1.47,0.07,8.25,73.97,0.8,32.21,0.13
333,LBRT,3.16,-0.14,0.51,7.12,0.49,6.09,0.06
334,LC,1.79,-0.46,0.23,7.54,0.85,2.32,0.05
335,LDI,,0.42,2.61,4.78,0.19,0.61,0.02
336,LEG,1.5,0.07,3.04,10.93,0.76,7.27,0.05
337,LEN,1.49,0.14,13.69,63.38,0.97,3.36,0.04
338,LFC,1.05,0.07,0.49,82.75,0.01,1.85,
339,LICY,,,,,,,
340,LMND,,-1.47,,,0.33,3.81,0.2
341,LNC,2.21,0.07,10.9,102.5,0.8,2.87,0.03
342,LNN,0.33,0.09,4.94,29.25,0.94,3.21,0.02
343,LPG,1.33,0.29,2.64,22.82,0.75,5.4,0.08
344,LTHM,2.16,-0.06,0.35,3.65,0.93,7.62,0.2
345,LVS,1.49,-0.58,2.43,3.5,0.4,3.03,0.04
346,LXP,0.64,0.76,0.13,6.8,1.05,15.55,0.17
347,LYB,1.53,0.12,13.54,26.32,0.79,2.76,0.02
348,LYG,1.48,0.18,0,0.0,0.01,0.74,
349,LYV,1.33,-1.15,0.78,-3.41,0.74,5.42,0.08
350,LZB,1.09,0.06,3.21,17.05,0.99,5.22,0.07
351,M,2.12,-0.01,2.09,8.58,0.84,2.48,0.18
352,MAA,0.65,0.24,2.6,50.74,0.93,4.57,0.03
353,MAIN,1.51,1.27,2.43,22.65,0.19,6.7,0.03
354,MANU,0.9,-0.04,13.97,2.33,0.92,4.55,0.09
355,MAS,1.35,0.1,3.96,-0.07,0.95,4.72,0.04
356,MATX,0.98,0.11,4.71,23.69,0.87,6.87,0.04
357,MAXR,1.34,0.0,4.99,17.38,0.75,5.45,0.09
358,MBT,1.09,0.12,1.05,52.09,0.29,0.85,
359,MC,1.24,0.24,3.27,7.85,0.95,3.35,0.02
360,MCW,,,,,,,
361,MDC,1.45,0.1,9.43,31.52,0.76,4.55,0.04
362,MFA,1.77,0.77,0.43,5.7,0.64,3.3,0.02
363,MFC,1.27,0.13,2.21,24.6,0.57,3.31,
364,MFGP,2.52,-0.73,,9.6,0.14,2.29,
365,MGM,2.45,-0.19,0.18,12.82,0.66,2.14,0.03
366,MGP,0.81,0.21,1.38,19.35,0.96,3.67,0.02
367,MHK,1.55,0.09,14.65,121.83,0.79,3.91,0.03
368,MIC,1.64,-1.12,0.87,10.26,0.9,2.84,0.09
369,MLM,0.63,0.17,13.03,94.55,0.95,2.12,0.01
370,MLNK,,,,,,,
371,MMC,0.9,0.13,6.14,18.54,0.9,3.08,0.01
372,MMM,0.95,0.17,10.59,23.74,0.69,5.88,0.02
373,MMP,1.07,0.34,4.11,10.32,0.65,6.87,0.04
374,MMS,0.8,0.07,4.51,22.29,0.98,4.39,0.02
375,MNR,0.79,0.54,0.33,5.87,0.65,1.64,0.02
376,MOD,2.79,-0.12,1.81,6.76,0.93,3.42,0.02
377,MPLN,,-0.46,,,0.92,7.34,0.07
378,MRK,0.42,0.11,6.68,10.64,0.75,1.85,0.01
379,MSA,0.9,0.08,5.56,20.71,0.81,18.12,0.04
380,MSCI,0.96,0.38,10.81,-5.84,0.93,2.73,0.01
381,MSM,1.02,0.06,5.27,19.89,0.94,3.64,0.05
382,MSP,,0.08,,,0.87,16.76,0.15
383,MTB,1.2,0.3,11.91,118.11,0.87,5.1,0.04
384,MTH,1.7,0.1,17.27,65.44,0.98,5.92,0.07
385,MTN,1.32,0.07,7.94,44.22,0.99,3.17,0.02
386,MTW,2.44,-0.01,1.04,18.61,0.74,2.73,0.04
387,MTX,1.45,0.08,5.17,43.11,0.97,3.02,0.01
388,MUR,3.23,-0.35,1.12,25.5,0.83,6.32,0.11
389,MUSA,0.99,0.03,9.03,28.99,0.88,7.15,0.06
390,MWA,1.3,0.07,0.67,4.22,0.98,5.03,0.03
391,MYTE,,-0.02,,,0.56,11.62,
392,NAT,0.62,-0.05,0.17,3.77,0.31,2.3,0.03
393,NBHC,0.97,0.32,2.58,27.09,1.0,5.86,0.03
394,NCLH,2.81,0,0.37,11.83,0.55,3.38,0.14
395,NEP,0.73,0.26,1.99,32.31,0.88,5.68,0.04
396,NETI,1.25,-2.3,,,0.16,3.38,0.02
397,NEWR,0.86,-0.29,-0.04,6.49,0.93,7.64,0.09
398,NFG,0.74,0.08,4.42,23.02,0.75,7.57,0.03
399,NJR,0.53,0.09,2.26,17.66,0.75,3.74,0.02
400,NLS,1.65,0.13,1.87,5.05,0.75,5.27,0.18
401,NLSN,1.43,0.11,1.72,8.3,1.03,5.69,0.08
402,NMR,0.86,0.05,,879.79,0.01,1.98,
403,NOK,0.57,-0.1,0.31,2.43,0.07,0.68,
404,NS,2.57,0.02,1.35,4.04,0.59,6.67,0.04
405,NSC,1.3,0.24,13.05,58.52,0.76,2.41,0.01
406,NUE,1.38,0.12,6.93,38.25,0.8,1.51,0.02
407,NUS,1.19,0.07,4.28,17.57,0.83,5.32,0.07
408,NVO,0.27,0.34,3.32,25.33,0.08,2.71,
409,NVR,1.02,0.13,366.72,837.04,0.86,3.06,0.02
410,NVRO,0.99,-0.23,-1.29,11.23,1.09,8.85,0.14
411,NVS,0.52,0.17,6.62,22.5,0.1,2.76,
412,NVTA,1.9,-1.92,-2.2,12.03,0.82,7.18,0.16
413,NWG,1.66,-0.01,,,0.01,0.82,
414,NWN,0.45,0.11,2.63,30.54,0.73,5.74,0.03
415,NX,1.67,0.06,1.71,11.4,0.99,9.79,0.06
416,NXRT,0.98,0.05,-0.88,16.85,0.81,3.15,0.02
417,NYCB,1.06,0.47,1.42,13.53,0.64,9.34,0.12
418,OC,1.55,0.12,8.5,37.66,0.98,4.17,0.03
419,OCFT,,-0.34,-0.52,,0.19,1.53,
420,OGE,0.66,0.12,2.19,18.16,0.65,2.82,0.01
