,Recent headlines and conversations for MDT,Polarity
38,"According to FactSet data, MDT stock has received different ratings from Financial Analysts. Recently, MDT’s stock has been recommended as BUY from 18 and 1 given OVERWEIGHT rating for the company. 6 issued rating as a HOLD.0 said as SELL recommendations and 0 suggested UNDERWEIGHT rating. The shares have been given a mean Overweight rating keeping in view the consensus of 25 Analysts.",0.6248
39,Pushhhhh!!!!Puuusssshhhhh!!!!!Puuushhhhhh!!!!! You tird,0.3544
40,"No guts, no glory;)And that's all I have to say about that...",-0.4892
41,$102 tatget is conservative now for MDT following acquisition,0.5873
42,MDT is about to dip with the market. I'm staying the course. I am glad my capital is in a Dividend Aristocrat. This too will pass.,0.6972
43,"Strong insider buying in MDT in the last few days (since earnings). This breakout is clearly just starting. Fresh Insider buys, new highs on higher volume. Long.",0.9672
44,"Is it just me or does the Zacks article wreak of idiocy. ""MDT sinks"" ???? Really? I'm quickly losing respect for Zacks.",0.6058
45,MDT is down 5.03% to 87.79,-0.2462
46,"Summary of history of MDT ventilators:1913: Puritan Bennett entered the medical gas industry.[1][2]1940: Founder Ray Bennett invented a mechanical ventilator as an alternative to the iron lung machine.[3]1995: Nellcor acquired Puritan Bennett. The newly expanded company was renamed Nellcor Puritan Bennett.[4]1997: Nellcor Puritan Bennett became a part of Mallinckrodt, a medical products company with product lines in respiratory care, diagnostic imaging and analgesic pharmaceuticals.1998: Puritan-Bennett Aero Systems (PBASCO[2]) was sold to BE Aerospace Inc.[5][6]2000: Tyco International acquired Mallinckrodt to become a Tyco Healthcare company.[7][8]2007: Covidien spun off from Tyco International[9] and inherited Puritan Bennett along with other Tyco Healthcare Brands.[10]2015: Medtronic acquires Covidien and inherit all brands including Puritan Bennett.[11]",0.9782
47,"What a piece of krap stock, down 15% ytd, while companies like tndm, up 100%. I would dump this dog, sales growth drives stocks.",0.7521
48,MDT has been weak in the last year and has been outperformed by J&J & Stryker for example. MDT's Operating margin has lagged behind guidance from MDT. We'll see shortly how profitable they were in Q2. Seems to me that the Q1 2015 to Q1 2016 revenue comparison with an extra selling week in Q1 2015 hurt the stock. So it seems to me that the Q2 2015 to Q2 2016 should have a better headline revenue #. The COV acquisition integration should result in a higher growth rate of MDT's Operating Margin. http://finance.yahoo.com/chart/JNJ#eyJjb21wYXJpc29ucyI6Ik1EVCxTWUsiLCJjb21wYXJpc29uc0NvbG9ycyI6IiMxYWM1NjcsI2YwMTI2ZiIsImNvbXBhcmlzb25zR2hvc3RpbmciOiIwLDAiLCJjb21wYXJpc29uc1dpZHRocyI6IjEsMSIsIm11bHRpQ29sb3JMaW5lIjpmYWxzZSwiYm9sbGluZ2VyVXBwZXJDb2xvciI6IiNlMjAwODEiLCJib2xsaW5nZXJMb3dlckNvbG9yIjoiIzk1NTJmZiIsIm1maUxpbmVDb2xvciI6IiM0NWUzZmYiLCJtYWNkRGl2ZXJnZW5jZUNvbG9yIjoiI2ZmN2IxMiIsIm1hY2RNYWNkQ29sb3IiOiIjNzg3ZDgyIiwibWFjZFNpZ25hbENvbG9yIjoiIzAwMDAwMCIsInJzaUxpbmVDb2xvciI6IiNmZmI3MDAiLCJzdG9jaEtMaW5lQ29sb3IiOiIjZmZiNzAwIiwic3RvY2hETGluZUNvbG9yIjoiIzQ1ZTNmZiIsInJhbmdlIjoiMXkifQ%3D%3D,0.7323
49,One thing I don't understand someone is that you spend million of dollars to buy houses. You spend hundred of thousands to buy cars. You spend ten of thousands to send your kids to college. And you spend thousand of dollar to buy brand name bags. But you don't want to spend any money on your health to see your doctor or buy drug to keep you healthy. Why?It would all be meaningless if you don't have your health so think about this.,0.9168
50,Wonder why the big price drop today. Seems like the ol' sell-the-news adage has a harsh effect today if nobody has any info on anything bad happening.,-0.0935
51,"I am diabetic and Medtronic raises my sugar than any thing. First of all the new product G670 and new Guardian Sensor(3) are not what they claimed. Additionally you wait for a good 10 minutes to speak to someone, who holds you responsible for not saving their malfunction product in order to replace it for you. When you ask for supervisor, they keep you waiting for extra 6-7 minutes to locate one.This afternoon I spoke to a someone named ( TIm Basquez), he was obnoxious rude and he end up not solving my complain. Which is my sensor should last for 6-7 days, by the 4th or 5th it dies",0.9116
52,https://seekingalpha.com/news/3492235-medtronic-readies-rival-surgical-robot-intuitives-da-vinci#email_link,0.0
53,Big price drops seem to be more prevalent by the day. What is wrong with this company? Are people not getting enough pace makers?,0.1688
54,Medtronic is down 6.31% to 92.81,-0.2462
55,"Medtronic PLC (MDT) to Post Q2 2017 Earnings of $1.10 Per Share, Jefferies Group ForecastsNovember 13th, 2016 - By Scott Moore - 0 comments Medtronic PLC logoMedtronic PLC (NYSE:MDT) – Investment analysts at Jefferies Group lowered their Q2 2017 EPS estimates for shares of Medtronic PLC in a research note issued on Wednesday. Jefferies Group analyst R. Denhoy now expects that the firm will post earnings of $1.10 per share for the quarter, down from their prior forecast of $1.14. Jefferies Group currently has a “Buy” rating and a $93.00 target price on the stock. Jefferies Group also issued estimates for Medtronic PLC’s FY2017 earnings at $4.65 EPS. MDT has been the topic of several other reports. Needham & Company LLC increased their target price on Medtronic PLC from $93.00 to $95.00 and gave the stock a “buy” rating in a report on Thursday, August 25th. Vetr raised Medtronic PLC from a “buy” rating to a “strong-buy” rating and set a $94.55 target price on the stock in a report on Tuesday, October 11th. Cowen and Company set a $94.00 target price on Medtronic PLC and gave the stock a “buy” rating in a report on Tuesday, August 23rd. Credit Suisse Group AG reissued an “outperform” rating and set a $92.00 target price on shares of Medtronic PLC in a report on Thursday, August 25th. Finally, Zacks Investment Research lowered Medtronic PLC from a “buy” rating to a “hold” rating in a report on Friday. Six equities research analysts have rated the stock with a hold rating, eighteen have given a buy rating and one has assigned a strong buy rating to the company. The company presently has an average rating of “Buy” and an average price target of $90.",0.9957
56,"The current Zacks blurb about Medtronic has an equity rating for MDT shares of #4 Sell. I have seen them flip from sell to hold to sell 3 times in a week. Their current rating shows up in the Kiplinger article about 25 stock to hold long term:""MedtronicSymbol: MDTMarket cap: $104 billionDividend yield: 2.2%Analysts’ opinions: 12 strong buy, 1 buy, 8 hold, 0 underperform, 1 sell""I'm long so it's good to see Zacks is odd man out.",0.926
57,"Some of the wires use alarming tag lines to get clicks. There is one on MDT's Yahoo news feed about DHS notice -- the article blows the issue way out of proportion because you have to be near someone with the intent to kill them -- no actual problems so far and it looks like a software fix can make it even more of a remote possibility:""DHS warns on Medtronic implanted defibrillator vulnerabilityMar. 22, 2019 10:07 AM ET|About: Medtronic plc (MDT)|By: Douglas W. House, SA News Editor The U.S. Department of Homeland Security (DHS) issues an advisory to citizens with Medtronic's (MDT -0.6%) implantable defibrillators to keep their monitors and programmers updated and in sight due to the risk of cyber attack by hackers.About 20 of the company's devices are vulnerable, including 16 implantable defibrillators, because they do not employ formal authentication or authorization protections.The risk appears small since a would-be attacker must be physically near the device to alter its settings.Medtronic is discouraging patients from plugging USB drives or other unauthorized accessories into the products.""",-0.8537
58,"It’s time to accumulate shares this is the future, IBD projects 3000% growth going forward, $MDT could buyouts in the future",0.8093
59,TMD skyrocketing due to possible buyout by Medtronic! Look into it folks...good money to be made....,0.1662
60,This usually takes a few days to wake up. Expecting a ride to $125 very soon,0.6739
61,MDT reached a 52 Week low at 81.93,-0.1464
62,The only thing negative Omar said on Cramer's segment was that they had to advise analysts about some tax issues that MDT is still contesting with the IRS. It would seem that has to be a big open question about MDT's tax returns. The case involves transfer pricing from Puerto Rico operations. MDT won in Fed Tax Court but lost last year on an IRS appeal. I guess the issue is how much it will take to settle the case. I think this started with the 2006 return so nothing to do with the 2015 inversion. The Q & A session from the JPM conference is on MDT's investor page but I haven't listened yet.,0.9398
63,Down with the market!!,-0.3607
64,"Will MDT buy MAZOR Robotics ?Growth At Mazor Robotics After Medtronic DealNov.10.16 | About: Mazor Robotics (MZOR) Christian MygindChristian Mygind Follow Long/short equity, long-term horizon, medium-term horizon, research analystSend MessageSummary•Mazor Robotics has taken huge steps toward dominating spine and brain robotic surgical equipment.•With Medtronic as its future strong development and distribution partner, market underestimates just how many Mazor systems will be sold in 2017 and onwards.•Highly likely that Medtronic buys out Mazor Robotics. Introduction and catalyst thesisFor more than a decade and a half, the market in surgical robotics has effectively belonged to Intuitive Surgical (NASDAQ:ISRG). When ISRG introduced its daVinci surgical robot in 1999, it never looked back and in 2015 held almost a 60% market share of the USD 4.2bn surgical robotics market.Mazor Robotics (NASDAQ:MZOR), has an excellent peer reviewed surgical system, growing installed base and a very strong distribution partner in Medtronic (NYSE:MDT). Not only will MZOR take some business from ISRG down the road, but at the moment, has its hands full with creating a dominating position in spine surgeries. And in a 22% a year growing market, just being present with an EU/FDA approved product, bodes very well for MZOR.Ultimately, I argue that MZOR will eventually be bought out - and who better to do that than their distribution partner MDT, which also just happens to be the master of bolt-on acquisitions in the medical technology sphere.Current consensus estimates underestimates the growth trajectory and my discounted cash flow valuation points to a fair value of 31 per share (42% upside). Add historical buyout premiums in the medical technology sphere of 30-50% to my target price.",0.9949
65,Medtronic is down 4.94% to 91.60,-0.2462
66,"Thank you Motley Fool. $$$ for us.One quality stock that isn't among the most popular list on Robinhood is Medtronic (NYSE:MDT). Fewer than 12,000 Robinhood users are holding shares of the Dividend Aristocrat. Despite paying a dividend yield of 2.5% (more than the S&P 500 average of 2%) and raising its payouts for more than four decades in a row, the healthcare stock hasn't attracted much interest from Robinhood investors. But that makes the boring old dividend stock an attractive buy for income investors -- it's not volatile and not on retail investors' radars.With profits in nine straight quarters and Medtronic selling various medical products, it's a safe investment to hold for the long term. It's down 19% so far in 2020 while the S&P has fallen by a more modest 4%.But a lot of that bearishness can likely be attributed to COVID-19. Dealing with the pandemic has been a priority for hospitals and that's resulted in the deferral of many medical procedures, which has hampered Medtronic's sales. The Irish company released its fourth-quarter results on May 21, which showed sales were down 26% year over year. However, Medtronic was still able to post a profit of $646 million, showing a lot of resiliency during a very difficult time for the healthcare industry.The key takeaway from all this is that investors should avoid chasing stocks that are popular on Robinhood and instead do their own due diligence when deciding on which companies to invest in. Buying a stock because it's hot is an easy way to add a lot of volatility to your portfolio. And odds are that isn't going to be a great strategy as the economy is in a recession and the world is dealing with a pandemic -- which could suggest that another market crash may not be too far away.Now's a time to exercise caution and stick with safe stocks like Medtronic that can help get your portfolio through this adversity.",0.9962
67,https://youtu.be/mW86hnfm8M4MNKD BUY THE STOCK AND THANK ME LATER,0.8476
68,"I filed an amended tax return for 2015 because I made a mistake in the choice I made on the Certificate of Treatment of Merger Consideration, I chose Dividend. This was a mistake as I was unable to deduct my cost basis. The IRS told me to get a corrected 1099 and they would allow me to deduct my cost basis and cut me a check. I called investor relations and they washed there hands of it and Told me to call Wells Fargo. I called Wells Fargo to get a corrected 1099",-0.1568
69,I give up figuring out this stock!,0.5762
70,The ventilator boom will push this back towards $85,0.1434
71,"This is a gadget style medical company, kinda like hardware, for computers and software to run it. My question is where are the hardware parts made China, if so are the subjected to recent tariff issues?",0.7905
72,The J&J news should push MDT a bit higher. The open question is how quickly MDT will be able to safely ramp up pump and especially sensor production. Given MDT's statements about sensors it sounds like they will have sensor manufacturing capacity built up either calendar Q4 '17 or Q1 '18. So while it's good news for MDT it will take a while for revenue to ramp up.,0.9759
73,Great read about a few stocks in the healthcare sector http://bit.ly/2DIInQl,0.8119
74,This is also the third week of the month where options don't expire on Friday. Those options expire today.,0.1043
75,Time for me to short,-0.4688
76,"This does not seem such a big deal except the loss of high level talent. Maybe MDT has a history of losing talent or this fellow was on track to be the next CFO. I do not know the story line.07:13 AM EST, 01/07/2019 (MT Newswires) -- Insulet (PODD) said it named Wayde McMillan Executive Vice President and Chief Financial Officer, effective March 1, succeeding Michael Levitz.Most recently, McMillan served as Chief Financial Officer and Vice President of Finance of the Minimally Invasive Therapies Group at Medtronic (MDT).It also said it is reaffiriming its previously announced Q4 and FY revenue guidance, which were outlined in its Q318 earnings announcement.",0.9664
77,"I'm an MD and own Medtronic shares. Do you know the criteria for ICD (Implantable Cardioverter Defibrillator) Placement? - Prior heart attack or (moderate to severe) symptoms of heart failure + decreased function of the left ventricle (on heart ultrasound).- Alternatively: Prior ventricular fibrillation / tachycardia due to irreversible cause.In my daily practice, I see a huge undersupply of patients who meet those criteria. Guess over the next years, there might be an increase in sales of those products due to better supply, ageing population, and sales in emerging markets.",0.9355
78,ABT is the up and coming medical device co. Their non-device businesses are cash cows supporting new equipment/device advancements. The market cap shows it. MDT is dead money until they get innovated products that catch investor’s eye.,0.7787
79,I find this all too interesting. It's as if nobody really wants to make money.,0.5193
80,For a healthcare company that sells ventilators this is acting like a pile!,0.7341
81,Soft guidance FY20 the issue causing $5.50 drop...,0.0149
82,MDT is up 4.98% to $94.87,0.1818
83,January through March of every year usually a good time for all medical equipment and drug companies because it is the flu season. And the rain and cold weather will get you. Trust me. MDT 's pps will be very good. So is their earnings.,0.9184
84,The fact that this is not trading at a high shows Wall Street KNOWS this entire issue is being handled poorlyDoctors and hospitals have people dying without supplies,0.5681
85,https://www.bloomberg.com/news/articles/2018-11-26/lax-oversight-blamed-for-medical-device-injuries-in-global-study,0.0
86,https://seekingalpha.com/news/3582829-medtronic-to-ramp-up-diabetes-r-and-d-on-337m-blackstone-investment?utm_medium=email&utm_source=seeking_alpha&mail_subject=mdt-medtronic-to-ramp-up-diabetes-r-d-on-337m-blackstone-investment&utm_campaign=rta-stock-news&utm_content=link-3,0.0
87,"One company I seriously think you can own and not worry about through anything, set it and forget it",-0.0439
88,This stock just sits there doing nothing. a little up a little down. i'm thinking boston scientific is better.,0.8339
89,"Mike Williams is an absolute joke! Big Mike how is #ASXC performing? You know nothing and have been a short here #TMDI since $.70 with same dumb talking points... never offer anything of actual substance. I am long and up very big... didn’t sell a single share at $3.46 because that is pennies from where this will be in the near future ... #MDT is the largest med device company in the world, and TMDI has a development agreement with them... it’s only a matter of time... GLTA buy and hold",0.9684
90,"Ever since this company located to Ireland and forced tax payers to pay capital gains on their shares and reissue stock, this company SUCKS. I emailed them then and told them what a terrible decision that was for long term shareholders and now the stock is dropping like a rock.",0.7245
91,"Bill, do you see another split anytime soon? Maybe around $100 share price again?",0.6235
92,UK NHS testing their cancer camera capsules on patients. If it goes well boom,-0.0416
93,Don't get in MDT yet. Today's 10 yr. U.S. Treasury rates just go down.Money from U.S. Stock Market will flow into U.S. Treasury market.U.S. Dollar will continue strengthen due to higher yield of U.S. Treasury.Wait for my direction.,0.0817
94,don't worry guys it's my fault I bought in today at 78 so I could watch it drop,-0.1106
95,stocka splita multi bueno,-0.2995
96,"Comments from another forum about the stent study...Unbelievably Stupid Conclusion- A tiny study with only 200 patients- the only outcome they studied was duration of exercise time. - they only watched the patients for 6 weeks. - there was also a 50% increase in major bleeding in the placebo group (3 vs 2). - there was a 4% incidence of major pressure wire complication in placebo group (4 of 98 patients), compared to none in the Stent group- Chest Pain was not even mentioned in the study. - They didn’t study important outcomes such as how many had subsequent heart attacks or duration of survival, which patients actually care about.Well, you say, the study was too small to for us to assess the downsides of placebo. That’s correct!This study is too small to make ANY practice-changing decisions. Most of the major cardiology studies of the past included 10,000+ patients. Small studies are highly susceptible to random error and bias. Better designed studies may prove that placebo is as good or better than stenting, but this study does nothing to support that claim. Also, don’t count on a bigger, better follow up trial because it took 3.5 years to recruit a measly 200 patients.Be skeptical about the sensational media headlines (To be fair: you should also be skeptical of my assessment, too). It’s your life.",0.9869
97,Any technicians know the next level of resistance?,0.3091
98,"All optimistic news from MDT for many months, yet stock price languishes. WHY ?10:01 am ET *Medtronic Reports Received FDA Clearance of New Lower Porfile HawkOne 6F Benzinga",0.7899
99,I will be a cheerleader of MDT's pps from now on.Thanks for promoting Joe in Mainland China.,0.8464
100,Activity Reported By SEC: Medtronic Plc (MDT) Shareholder Massachusetts Financial Services Company Has Increased Stake by $80.01 Million !,0.7858
101,He bought the vents fromChina ? they probably came with more CV,0.7038
102,Medtronic is down 5.03% to 87.79,-0.2462
103,i bought this because of mazor,0.0023
104,MDT is down 5.87% to 75.50,-0.2462
105,P/E is 19MDT not so long ago left America for a tax havenWhy is MDT worth risking $ on?,0.1734
106,mazor deal closed,-0.1487
107,I am so excite. My brother Joe is coming to U.S.A. today.I hope he got what he wishing for this trip.,0.922
108,I now have a very strong sixth sense that the reason why I was given very good sixth senses and still not profit from my sixth senses is because God wants me to know there is after life and karma exist in this world. Not wanting me to use my sixth senses making people money. Therefore I will stop sharing my sixth senses with all of you. Just make sure you know that there is God and after life and karma. Okay.,0.9749
109,"why a delayed price on MDT? once again, screwing the retail investor...",-0.2325
110,MDT is down 9.76% to 80.15,-0.2462
111,"MDT may drift along with the market, barring any exceptional news good or bad....until the new soft tissue robotic system is unveiled - from the Q4 transcript:""In MITG, we continue to make great progress with our soft tissue robotics program, and we’re now preparing for our initial launch in FY 2020, consistent with our commentary over the last several quarters. Our initial launch activities will occur outside the U.S. and support our clinical and regulatory strategies in geographies around the globe. I know everyone is anxious to see the robot, and for competitive reasons, we’ve obviously kept this program close to the vest. The good news is that we plan to host an analyst event this Fall to show the robot. We’re in the process of working on dates, and as soon as we get everything confirmed, we’ll be sure to send the analysts an invitation.""",0.9749
112,I bought a tiny amount this am,0.1971
113,GNMK FDA approval!!!! $20 +,0.6614
114,Now that elon musk is coming in the play MDT will skyrocket,0.7874
115,Great news MDT!,0.7011
116,"Medtronic was upgraded by Goldman Sachs today to overweight, with a $140 price target.",-0.2459
117,Hello? This stock beat earnings. Where are the buyers? Doesn't deserve to go down. Deserves to go up. Up on earnings per share and up on revenue.,0.816
118,Beat earnings and buying out companies to keep growing. Great company. https://finance.yahoo.com/news/medtronic-moves-step-ahead-mazor-130901946.html,0.885
119,"One study in England for patients with stable angina showed no benefit form coronary stenting at six weeks whereas hundreds of studies involving patients with a broad spectrum of coronary artery disease have shown that intervention is unequivocally superior to medical therapy and stents are unequivocally better than balloon angioplasty alone. To make the impact on MDT even more ridiculous, the facts are that coronary stents represent at best about 10% of the total company revenue.",0.9787
120,"Question: I trade on E*trade and on there is says the dividend is .50 cents, but on here and when I calculate it the dividend is $2, so which is it?",0.5944
121,"Now the people that sold yesterday, because they were scared of earnings can jump back in and make $$$$$$$$$.",0.0165
122,why would mdt be down when they are stealing a state of the art company,-0.6046
123,Anyone out there? Seems like a smart move to buy this company and maybe Stryker and HRC. Lots of beds needed with lots of equipment for ICUs throughout the world?,0.8752
124,POTUS just announced names of ventilator suppliers including MDT. Excellent,0.6234
125,Is MDT getting ready to acquire FIT after AAPL teams wit Aetna?,0.737
126,What do people think about Medtronic’s recent $40 million investment in Titan Medical and its robotics patents? Sure looks like the initial move towards an acquisition.,0.9102
127,It was a good report. The GAAP EPS being up so much at +22% yoy is probably due to debt refinance charges last year -- the costs to call the old debt and costs of replacement debt are excluded from operating EPS - like the $1.31 just reported but they are an expense against GAAP EPS. MDT needs to get revenue growth up to get a bigger P/E. They do expect 4%+ revenue growth for Q3 - Q4. Hopefully that momentum will carry into next yr.,0.8129
128,I realy like mdt I owned mazor I was disappointed that mdt bought mazor but now that it's done mdt is right,-0.0081
129,Just found out that MDT got alerted by https://shr.link/Beststockalerts. Seems bullish,0.2118
130,A video about the Mazor X Spine system - scroll down a little:https://mazorrobotics.com/en-us/product-portfolio/mazor-x/mazorx-how-it-works,-0.274
131,"I can't believe the volatility on this stock. It was due for a pullback , but it went too far today. Tomorrow will be another story.",0.6828
132,https://seekingalpha.com/news/3591285-medtronic-to-acquire-medicrea?utm_medium=email&utm_source=seeking_alpha&mail_subject=mdt-medtronic-to-acquire-medicrea&utm_campaign=rta-stock-news&utm_content=link-3,0.0
133,"Thank you SAM for the update revenues RX growth accelerates to new high every week, Imagine what the Diabetes community as Dr Busch said hundreds of patients are now in Vascepa, total explosions in sales Could jump 1000% , Like $DXCM and $TNDM and also $MDT , wow $AMRN rocket to $300 in 3 years",0.9839
134,Last quarter ex-div was on 3/21. Kinda surprised not to see the 2Q dividend announcement yet? 90 days from 3/21 is a week away.,0.7249
135,does this run as of late have something to do with the CEO's comments regarding Parkinsons and the cure Medtronics is bringing to market within a year?? He made these comments at the biotech conference in San Francisco last week while talking with Jim Cramer......,0.9058
136,"Derek, you're my new gf. I trully thank you:)",0.4571
