,Recent headlines and conversations for SBUX,Polarity
25,"Another Kenneth Kristmas Karol___________________________________Bitty’s dreamin’ of a new stun gunJust like the one he used to ownbut the parking lot did glisten‘cause BittyBit was pissin’somewhere in his chinos zoneKenny’s dreamin’ of a big can of macewith directions written big and bold“Don’t spray yourself in the face”,You can win that parking lot raceEven though you’re a geezer and you’re old.Dums is dreamin’ of a new Marlborough teeTo wear under his biker coatDums thinks he's such a tough guyBut really such a small fryWho’s absolutely in love with a goatKenneth’s dreamin’ of a red-hot pokerAnd of cylindrical objects tooYou should be so scared gettin’when Kenneth starts to threatenBut really, what’s Kenneth gonna do?Bitty’s dreamin’ of his next rest stop rendevoushis last one, well he didn’t make a fussThe only problem for our Bitty, and maybe that's why he's been so pissyIs it’s a bitch getting out there on the bus.",0.9489
26,no china worries... goldman sachs failed.,-0.5344
27,SBUX reached an all time high at 80.79,0.3228
28,"Univ. of Hamberg study: $2.80 Pike's Grande, with free gold card refill, provides 12 hours of ""hit."" Unparalleled value.",0.7679
29,Working class shrinking=SBUX crashing,0.0929
30,Political nonsense brings them to a 52 week low. Stick to coffee,-0.6314
31,Epican One Year Anniversary party tonight in Jamaica Look for #3 Dispensary OPEN very soon!!! Valleyfield video update DELIVEREDI’d look for HAMILTON video update soon.....and only TIME till Hamilton Phase THREE finished and planted........which is more insane ??? $BYND at $240 or $SBUX at $96 and Starbucks WILL HAVE CBD when FDA removes the traffic stop in CBD Please SELL all your shares .....I need some more!!!!,0.9018
32,"Anyone who is not buying SBUX under $50 is a fool, and time will show that to be true. Not saying to go all in right now, but you better start building a position now and keep adding to it every .50-.75 drop. This is free money!",0.9355
33,I got up at 6.30 on my off day because my wife wanted starbucks.,0.5382
34,I dont like these 1000 reserve stores. Looks to me like a big loss to me,0.5317
35,This could be a sign for what’s to come with all companies financial reporting. Have to see how Starbucks trades through out the coming days now.,0.5542
36,$100 coming soon,0.0548
37,So 400 years of racial divisions are all going to be fixed in a 1 hour meeting at the end of the day. Unbelievable!,0.244
38,I have a feeling that Amazon is going to buy Starbucks soon !,0.4693
39,IF U ARE STRONG SHORT IT,0.065
40,"Ahhh I could taste that fresh brewed Starbucks coffee now,,",0.2728
41,"Opening a store for ASL. But where's the store for the tranny crowd??? I mean, let's take PC to the next level, right?",-0.2865
42,"coffee beans arabica rising fast , Starbucks will just make more money if they make margins.",0.6343
43,"their major competitor in CHINA, Luckin Coffee is under sales fraud investigation— this stock will fly!!!",-0.4086
44,Recession on the way. People are frugal. They want to save money. No need to go to Starbucks and pay 5 dollars for coffee.,-0.0938
45,Starbucks comming to North Korea? The Trumpster will get it done. ( I hope),0.4691
46,"Anyone not getting the Starbux website correctly using Firefox web browser? I just started getting this problem today,5/4/19.",0.4222
47,this stock is 500% too expensive...get it?,0.2572
48,Read the anti Starbucks comments from five months ago some are hilarious.,0.353
49,"guess.. the next morning after earnings , my guess 53.50",0.1812
50,Do you think it can hit 200$ by the end of the year?,0.086
51,Looks like some profit taking today. I expect this will bounce back nicely between now and year's end.,0.8517
52,I’ll jump in for 200 shares at 88.81,0.456
53,"Hanging on to SBUX and my other holdings because the market will rebound at some point. But it's so ironic that after today's action, SBUX is back to where it was a year ago. A year of gains wiped out.",0.6153
54,No worries SBUX will be up big today many buyers coming on the way,-0.3891
55,Starbucks sales and earnings beat expectations https://finance.yahoo.com/news/starbucks-q1-earnings-results-210728284.html,0.3018
56,Starbucks posts loss. Who hasn't?,-0.2867
57,$MCD coffee and service better than $SBUX and comparable to $DNKN,0.5487
58,"I do not post on these boards because frankly I believe it is a waste of keystrokes. However, as a shareholder the comments by the CEO about hiring a bunch of refugees sparked my interest in reviewing the comments on this board. I have been sitting in a Starbucks in Arizona for the last 90 minutes and there hasn't been a single minute where someone hasn't been in line waiting for their ""overpriced"" coffee. I will continue to hold my shares and buy from the shares from those that boycott. I have learned over a long investment horizon that consumers have very short memories.",0.8879
59,"I am amazed that this stock is staying at this price ahead of the earnings report on 4/28. With a huge percentage of the stores not even opened for the past month, it has to take a pretty big toll.",0.9145
60,"It looks like a stock split is a mixed bag , not really having that much effecthttps://www.schaeffersresearch.com/content/analysis/2020/08/12/how-stocks-tend-to-perform-after-stock-splitsand remember today you can buy 1 sh or in some brokerage accounts even fractionsin the old days shares were bought in 100 s blocks and we used fractions like 1/4 or 1/2 for prices",0.8059
61,Acquisition coming? Why the big move today?,0.5912
62,"Update on the post yesterday where I mentioned BCCI the CBD infused coffee company that is advertising at the Super Bowl,the Grammy Awards,61 NASCAR races and the NFL games. It is up over 30% with 12 times normal volume. I hope some of you took advantage.",0.9446
63,"Tax loss selling here should Drive this down this next week. Why lose money, buy DNKN",-0.5681
64,good earning ...sales rises .....wooow ..,0.4332
65,WOW nice drop.Dunkin up,0.8429
66,Miss Menneth has her pet goat Leroy and Kored has his pet black swan Lynn. Well he was supposed to anyway. The four time Super Bowl champ was a no show on Friday Sept. 30 and still hasn't been seen. HAHAHAHAHAHAHAHAHAHAHA!!!!!!,0.9453
67,"So pretty much, down everywhere but price is at pre covid price.",0.6233
68,Way overpriced,-0.0105
69,wow dnkn plummeted yesterday and sbux was up a penny.,0.7248
70,people will still buy Starbucks even if there is a recession,-0.2441
71, BEEN HOLDING ALL SUMMER!,0.396
72,I suggest you check out AMD it is the next apple taking huge market share from both intel and nvidia.AMD is in a duopoly Witt Both intel and nvidia and while the market cap of intel is 240 billion and nvidia 160 Billion tiny AMD who is crushing intel as the ceo has even admitted it and sold all the shares he was allowed to sell search for it.AMD market cap just 15 Billion they will quickly become 30 Billion a fraction of the 2 companies they are in sole completion with and beating badly Read this article from investors business daily about what AMD has announced at computex and how it has a 27 dollar price target. You will make big gains as AMD is going to follow nvidias trajectory from 2 years ago and you will make much more than you ever will in Sbux read this from investors business daily not my words “AMD Stock Nears Buy Point On Trade Show Announcements”,0.7093
73,See u in $60's in three weeks,-0.081
74,I’ve been to Starbucks I’ve seen the promised bathrooms And maybe not in my lifetime But one day we’re going to get there!,0.7151
75,when does this stock split?last time was around 100,0.1537
76,Sell above $80,0.3874
77,"LK coffee sales very good are good news for sbux, because China tradition was drinking tea,LK low prices coffee can get more customers from drinking tea people,these peoples will indirectly to sbux, because sbux coffee better than LK coffee,please see these:Motorola Nokia and others build cellphone market for aapl and Samsung, Yahoo and others build search engine for Google, these companies have been death, why death???because iPhone better than them,Google better than them too,so LK low price coffee will get more customers for sbux, because sbux coffee better than LK coffee, low price coffee can boost China coffee market strong growth, so sbux doesn't need discount it's coffee price to get more customers, and save a lot of money,because LK low price coffee can more customers for sbux,so LK sales very good was good news to buy sbux, sbux target price $150, because China coffee market strong growth now.LK will bury himself after China coffee market have peaked as Motorola Nokia Yahoo and others.",0.9938
78,closing more than half its China stores and only down 1% in after hours? really? that seems crazy to me,-0.4559
79,easy money. since it's obvious they will push it to $100,0.376
80,Strong support at $40,0.7161
81,"Where are you bitty dums? Marching around Trump Tower? Are you calling for violence? Be careful out there little fella.Unlike you, these cops are pretty good at directing the pepper spray where they want it to go.",0.7889
82,Down $6 in AH????,-0.4731
83,"WTRH is becoming the best pandemic stock. Bars and restaurants are ordered to close again due to outbreaks. WTRH is the only online food (including grocery and liquor) delivery company publicly listed now. People stay at home, work from home, and order food from home. WTRH will help these restaurants to deliver food. $DENN $SBUX $DRI $CAKE $MCD $RRGB $DNKN",0.9703
84,$SBUX Maintains Morgan Stanley Equal-Weight USD 91 » USD 98Target Raised by Telsey Advisory Group Market Perform USD 90 » USD 94,-0.5202
85,"If this closes below 73 tomorrow which I suspect it will, im back in. Then next week we will be green boys",-0.3795
86,How many Starbucks are located inside Target Stores anyone know ?https://stocknews.com/news/tgt-misses-eps-estimates-by-0-06-revenues-in-line/,-0.037
87,i use my white privilege to never buy starbucks.,0.5382
88,Pricing power through and through,0.603
89,wooooow great er .......thanx god i jumped in at 83 .......alll beats ......in usa ..china and international,0.8795
90,"When the questions get tough, reach for a Starbucks, it helps!",0.1764
91,"bit more room to drop imo, then i’ll look for an entry",-0.1887
92,i absolutely love this company and have held it since 2015 but anybody paying this price is insane. 200 P/E,-0.2745
93,New ALL-TIME HIGH today???,0.8284
94,"Watch Out All You Gentlemen_________________________BittyBit’s fetish is gentlemen,much to our dismay,He posts about his fetishesnearly every dayWith Leroy lurking under the bedto somehow prove that he’s not gayO tidings of discomfort and K-joy,Discomfort, K-Joy,O tidings of discomfort and K-joy!From Grimmy our resident feebAn Admiral in his mindA yacht captain, a stock shorterAn admirer of a good behindHow that under beds that he does lurkto prove that he’s not gayHunters and soccer players bewareBetter bewareHunters and soccer players beware""Fear not, then,"" said the BittyBitfrom the deck of Grimmy’s boatThis day I’ll banish you from the boardJust me and my pet goat,But Bitty’s in no real big hurryBut when confronted he will scurryLike a light-frightened roachThen he’ll post some quotes from his Life CoachHis Life CoachThen he’ll post some quotes from his Life Coach",0.912
95,Obviously this company is prejudice or they would not need training.,-0.288
96,Market correction is looming and folks are out of jobs to afford $5 coffee.It’s a buy in the 50 .IMO,0.2211
97,"A Kenny Kristmas Klassic...........poetry.............'Twas the day before trading, and all through the boardsA DumDum was stirring, he was gonna make hoardsHis posts were laid out, all in caps it was daredWe’ll soon have a peek at how Kenneth fared.Bitty panicked all right and told all his TDThrew it all into LEH, for superiority,It’s been years and years for that surly old muttTD still hasn’t had that dividend cutNow we’ve all come to know that Bitty’s just a fakerLamenting the Pallies with his ammunition-makerHyprocrisy’s the norm, cold as a freezerthat’s Docta Dums, our resident nutty old geezerGreed and avarice rule, he’s quick to God BlessJNUG at 26, “SAFE TO BUY???” “YES!!!”Kenny had a quick trip, off the shltter,when his HL crashed, along with his GLTR.He appears quite so sudden, it’s awfully quick,but Kenneth is still just the same old limp dlckRanting and raving and spitting up too,Pounding the !!!!! key, until he turns blue.""On JNUG, Curse SBUX”, Kenny spreads the newsBitty’s always shown that he hate the JewsOn Bitty’s waxy ears, the arguments fall deafBut Bitty supports the Pallie supressing IDFGoats, Boyx in the Hood and cylindrical objects,are only a few of Kenny’s favorite subjects,When he’s flustered and hided, can’t get to the topIt’s on to the bus, and off to the rest stop.And whether you prod him with goats or with muttonIt’s predicable and easy to push the Kenny button.And when all out a sudden, his posts go down southIts victory he claims “I SHUT HIS MOUTH!!!!!!”Bitty yaps a lot, he makes such a racket,clad as he is in Chinos and jacket;His weapons of choice are mace and a stun gun,and his favorite subject you know is man bum.His eyes – they were beady, his ears were all waxyHad to take the bus, couldn’t afford a taxi!When all of a sudden, across the parking lot he flewKenny had bit off just too much to chew;A puddle of urine anyone could watch,As it gradually stained his unwashed old crotchAcross the parking lot, safe in the grassBellowing loudly, “I’LL KICK YOUR @SS!!!!!!”Off and on on the boards, when the bruises are healed,for our little masochist we keep our eyes peeled.Coming off all tough, beady eyes and bald head“Ol Docta Dums, he aint nuthin’ to dread.Wont’ defend his actions, his posts or his workKenneth is our special little jerk,Sitting there scheming, finger in his nose,And giving a nod, up the SBUX he roseHe sprang to his keyboard, and then he just vanishedKenneth once again, the DumDum’s self- banished.But I heard him exclaim, ere he drove out of sight,""I’’M THE SUPERIOR PERSON!!!! I KNOW I’M RIGHT!!!!”",0.9894
98,I’m bullish on Sbux this year but this is definitely due for a decent pull back in the short term.,0.4129
99,This has been happening a lot on Yahoo EOD. Fidelity shows big drop and return in AH> It's actually at 88.86.,-0.0584
100,Goldman looking to manipulate options prices,-0.2624
101,"Grimmikins, I didn't forget you. Here's your carol. ""Hark, the sterile sissy King""______________________________________________________________Hark! I can hear Grimmikins brayHe’s off to Shop-Rite todaytoo late for that plan to abortWon’t talk about that Costco shortHark, the sterile sissy KingY'know for Joey he's got a thingHark, the sterile sissy KingLoitering in Dunkin' and oglingLiving on his yacht in FranceDonut stains on his sailor pantsHanging out at Dunkin’ every dayY’know he makes his Mommy payGrimmikins posts from the MediterraneanNot realizing it’s his Mom’s tub he’s inPosting posts that really suckPlaying with his rubber duckHark, the sterile sissy KingY'know for Joey he's got a thingHark, the sterile sissy KingLoitering in Dunkin' and oglingGrimbelina’s adored hunters all his lifeClaims he’s “doing: everyone’s wifeIf you wanna see a strange man a-skulkin’Just hop on over to your local Dunkin’That’s the story of our fibber KingJust one more resident ding-a-lingNo good comebacks, so he’ll sit and stewAnd then just post he’s richer “then” you.Hark, the sterile sissy KingY'know for Joey he's got a thingHark, the sterile sissy KingLoitering in Dunkin' and ogling",0.9492
102,Starbucks is a bloated stock should be worth $42,-0.0828
103,"People aren't going to go back into stores for a long time. And stores will drive thru have long lines with many people just not willing to wait for what seems forever to get a coffee pick up. Sweden never closed their movie theaters, but they're deserted, no one in sight, just like SBUX stores will be upon reopening. Short right here @ $77.10",0.2725
104,Nervous about earnings,-0.1476
105,oh hell no! it's going up.,-0.7492
106,Would anyone like to enlighten me on how this went from 93 to 96 within a day after reporting an awful 2020 outlook? Just curious as to how that happens.,0.7541
107,Seems logical to me. Flight to quality $SBUX down and $GE is up.,-0.0435
108,"Once again, tiny Kenneth demonstrates how small he is by trying to drown out other voices. Too bad little fella. Damage is already done and you're just making yourself look worse.",-0.8479
109,"SBUX was priced for perfection, competition is on the way .Making good coffee is really not like refining gasoline or mining silver",0.7794
110,BOYCOTT Starbucks. Enough is enough.https://www.newsweek.com/dumpstarbucks-starbucks-tempe-police-officers-leave-kicked-out-safety-customer-complaint-1447890,-0.4401
111,Fourbucks big news: investing in robot restaurants. Soon we will all be pushing all the buttons for a machine to make and deliver our $5 coffee!https://www.bizjournals.com/sanfrancisco/news/2019/07/22/eatsa-brightloom-rebrand-restaurant-sf-starbucks.html?ana=yahoo&yptr=yahoo,0.1788
112,This will now be a bait to get free money at all fast food and drink shops. They all better be prepared for a massive amount of copy cats.,0.7484
113,All my money is elsewhere *facepalm*,-0.1772
114,"why are people complaining about the price of the coffee in store?let's be real here, the majority don't own shares in the company who shop there, let them buy the coffee and you take their money.after all you bought the shares for the money....right?it's investing, not get rich quick!",0.8208
115,Auto buy button was pushed by institutions.,0.1677
116,no more reccession ..economy booming again ..christmas close ..buy buy buy,0.173
117,My prediction is earnings miss. Starbucks executives are busy in multi-culti meetings.,0.0624
118,just think you can buy AAPL right now for 123 and SBUX is at 108 ?there is no comparing state of the art tech to a fancy coffee shop,0.568
119,Guys. I believe SBUX is a good buy at 70 dollars.. That's where my technical analysis sits since I have been doing it since march 24 approx to today,0.6585
120,AHHHHHH back under $60.What do ya think about thatjoey punk the loser. costblodiving faster. ha ha hahah hew,0.0172
121,"More often than not, the daily chart looks like a ski slope. I have a feeling that if SBUX only meets expectations or misses by a penney, it'll get brutalized..",0.5217
122,Most of the people bought put and now they are scared because of loosing $$big time,-0.3306
123,sbuxPrice/Cash Flow (Most Recent Quarter) 30.81Book Value -6.72 yes that is a negative numberPrice/Sales (Most Recent Quarter) 4.51 wow for a company that sells coffee ???EPS Growth (Last Qrtr vs. Same Qrtr Prior Year) -28.38% again that's negativenot to mention all the sales and revenue lost in the midwest power outages,0.8759
124,Whose watching the CEO on CNBC? watch the interview.,0.621
125,"JC Penny, a huge success? Let's hope it's not contagious",0.857
126,Schultz left because of the anti-semitism threat he gave big monies to the israeli defense and his loyalties were questioned,0.0458
127,So SBUX is going to do a buy back and expects the government to pay their laidoff employees? NO WAY !!!!,-0.6996
128,MY GIFT IS UNDER THE CHRISTMAS TREE!!!!!!!!!!!!!!!!!! WRAPPED IN RED RIBBON!!!!!!!!!!!!!!! SO STATES LEROY!!!!!!!!!!!!!,0.5839
129,"The chart looks bad, what happened?",-0.4254
130,"will hit $100 EOY mark my words, every prediction of mine has been spot on.",0.3829
131,https://www.quora.com/How-do-illegal-immigrants-illegally-vote-during-presidential-elections$bac $wmt $aapl $sbux,0.0
132,"Let's face it, you don't like yourself, little man. Have a cup o coffee, makes you feel better.",0.4246
133,seems like an over-reaction to me. I could see a 4-6% drop,0.0945
134,Starbucks to roll out delivery at nearly one quarter of US stores in early 2019 https://finance.yahoo.com/news/starbucks-roll-delivery-nearly-one-quarter-us-stores-early-2019-193352684.html,0.595
135,Nestle will bring us to the next level,0.1926
136,"The two clowns that inspired this latest round of PC/SJW by Schultz/Starbutts, must be laughing their FAO! This is the most blatant example of corporate pandering I have ever seen.",0.6782
137,"For those in the restaurant space willing to take a little risk, check out BFI (Burger Fi), a rapidly growing burger chain in Florida and Saudi Arabia. Great reviews, they handled COVID well (kept revenues flat) by expanding to delivery and more takeout, and are poised for growth (see their press releases). No dividend however. But a multi year play on a well run restaurant company.$BFI $DRI $EAT $SBUX $MCD $WEN $CMG",0.9638
138,It's pretty quiet here today. no group therapy session today?,0.8536
139,CNBC says Buy buy buy!,0.6508
140,Let's see...8% beat on EPS - 40% run up in stock (plus 6% after hours). This is truly a joke. One hicup in the economy and comps go down 10%. I think this is a bit long in the tooth. Good luck longs.,0.932
141,starstruck is finished - every homeless dude in the country will eventually find out about the free accommodations at starbucks - flooded with the homeless you can then add illegals who known they will never call the COPS- after that how about drug dealers knowing it's a no COP zone- skin heads might also try to invade one just for fun- add to it how about a BLM invasion -- everyone welcome to the new homeless shelters where the old ones would hassle you for drug use-- the new starbucks shelter will never question you-- how about those felons who are on the lam -- won't find anyone calling the COPS so you can rest up there---I am going to hang out there myself and hope they throw me out so I can start legal action and get some of those star buck$- they are right it is about race- but not the kind they are thinking of-- a RACE to the bottom is it,0.9829
142,"Starbuck's , Is On It's Way Back Up To , $80.00 , Climb Aboard , Before It Hit's , $100.00 , Has One Safe , Great Dividend's ,",0.9048
143,"10oz coffee prices:sbux $2.4dnkn: $2.47/11: $2.4same prices,LK maybe bankruptcy, because LK lost too much money,",-0.345
144,Anyone think a 2 for 1 split will be happening in the low 100s?,-0.2198
145,Oh no. The sky is falling on SBUX!,0.2268
146,Will we test 20dollar again this year,-0.1267
147,MYSTERY DEEPENS AS TO DISAPPERANCE OF MORELAND'S BROOMSTICK!!! INQUIRING MINDS STATE THAT IS THE ONLY QUESTION!!!,-0.4041
148,Big positive news coming soon,0.6892
149,Move move move,0.2289
150,Wait three months you will be able to buy Starbucks at low 50s; good company long term however,0.7899
151,Might as well sell this stock ! not very many people like the new rewards program! most loyal customers will be alienated,0.904
152,"Starbucks longs....great brand and will go up when recovery takes hold. I have you seen the epic short squeeze on GameStop, AMC and Michael’s Craft Stores? I like MIK because 30% of market cap is short and scrambling and company is over delivering on top and bottom line with only a 12 Price to Earnings.....fun to watch the shorts try to cover. Do your own due diligence but think Michael’s could easily double next few days!",0.8389
153,"OK, my last time to starbucks, went to the restroom and a poor homeless guy was washing out his shorts in the sink and he said the free coffee they gave him caused him to get the runs. He also said the open bathrooms are great for washing up and doing his laundry.",0.8896
154,"There must be a thousand Starbucks stores in Las Vegas, they are everywhere, in grocery stores, too. And they seem to always be busy. I still see new ones springing up. One area they look for expansion is Europe. We hear about Asian expansion all the time but I did not see a lot of stores in Spain and Italy other than a large store at the Barcelona airport.",0.217
155,Starbucks is feeling the pain when business activity comes to a sudden halt. They are not in the minority as countless industries and companies are sharing a similar fate. There is no reason to avoid buying this stock if you like it like I do. Just buy small amounts and buy small amounts of other companies that have been decimated. Who would even consider Royal Carribean cruiselines. I would and even though I'm down 900 dollars on 45 shares I'm thinking of adding another 10 to 15 after today's pummeling. The ships maybe moored but they will sail again. You need to think this way.,0.7637
156,hmm they saying this under pressure for some reason but lines at the drive through are 3x longer than before covid,0.31
157,"When life is rosy, I am happy to pay five bucks for a cup of coffee. But in a depression, fifty cents is too much. Their business model is no longer viable. Not today, not next year.",-0.5957
158,They came out with this statement so that when earnings come out it will be a massive beat.,0.6101
159,I'll have a Venti water with my name on it & a pocket full of napkins,0.663
160,You see movement out of Growth into Growth and Income...that means SBUX,0.7546
161,what's the price target at?,-0.0156
162,Starbucks now offering delivery in SF! Instead of $8 coffees now with delivery fees it will be $15-20 coffees... YAY!!! ,0.9606
163,Best no to mix politics and business Howard. I personally have save hundreds if not thousands on Starbucks coffee since the immigration comments. I'm just one example and I bet there are thousands.,0.9257
164,Dow Jones is up 20% in the past 2 months. What more is there to gain for the bulls at this point in the short term?,0.2531
165,is this a good entry point?,0.4836
166,"I would buy a couple hundred shares at 80 , keep selling it people I want in",0.5156
167,Institutional investors love this stock. They will continue to add more in 2020 because EPS growth is inevitable,0.8262
168,"Can someone tell me why this stock isn’t moving at all? SBUX is the biggest thing in coffee right now, drive through lines are crazy, every mobile order counter is slammed every morning, and with the cold coming about hot drinks should be on the rise!",0.8329
169,we buy our espresso from puerto rico and perk it at home. it is so good. not everybody has the time or wants to wait for their morning fix. I could never justify spending $5 a day on a coffee but I guess there are many who do. for now i'm long...,0.8504
170,"sbux by my house ofcourse in CA, is a new homeless hang out, nowhere to sit.",0.3143
171,It's time to show Starbucks what half of the voters of this country can do! boycott,0.1538
172,Better than expected quarterly results and the stock is down! What’s going on,0.4961
173,$85 end of week,-0.0065
174,Why is sbux getting nailed today? I couldn’t find any news.,0.2746
175,If this stock ever goes below 100$ it’s basically a shopping spree time,0.495
176,Down today,-0.1684
177,AMZN should buy SBUX and start selling on amazon :),0.6895
178,"Poor guidance, low growth and a high forward multipleTastes like burnt coffeeATRS",0.069
179,"Four months from now SBUX will be in the $20's. They're estimating a 47 cent loss per share this upcoming quarter report, and estimating breakeven next quarter and a 45 cent profit seven months from now. With a P/E of 24 and a ttm EPS of .64, figure it out. SBUX will be back to $90, but it will take 3 years.",0.7716
180,buy these dips,0.1424
181,2 downgrades so far today,-0.0933
182,Cramer says it’s a buy!,0.253
183,Beautiful company. Pure bliss. 90 coming soon,0.8362
184,80 by next earnings. All aboard,0.0932
185,drive thru will b open ...online delivery will sky rocket ....china soon will open .sbux is a amazing stock ..keep buying,0.9405
186,"Double dip recession forming due to covid, get out of stocks!!!",0.4456
187,Credit downgraded. Timber,-0.3736
188,One year chart and the stock is up 21 cents,0.6001
189,The CEO should have never played politics with the brand name,0.6878
190,Went to my local coffee house todayCoffee smells good and roasted on premises by local people not done by a corporate giantFresh locally produced bakery not from a factory frozen and trucked by semis to warehouses.Owner thanks Schultz says business up a third since he went off on our presidentThis is in a very upscale pro Trump areaThis is why the stock is crashing Going to short some more now,0.8592
191,"If you bought SBUX at 71 earlier this year then I understand your selling it today. But I am not. For who, in their right mind would sell SBUX before the holydays seasons? The same goes for AMZN. Ghassan",0.5136
192,Kevin just sold all my sbux,0.1236
193,"Somebody said SBUX will convert unprofitable stores into restaurants, offering breakfast and lunch.Ok, so SBUX is going after Darden? Well I got an idea, this really won't cost anything. Stop the political tweet and just serve your #$%$ coffee. Maybe, just maybe, SBUX would be able to win some back.I'd still like to believe in SBUX, I will give it a chance by selling a put here, capitalize on your fear and hopefully ride this up.",0.9596
194,Here it comes... Brokeback Mountain,-0.048
195,Nestle deal a bad idea! People drink Starbucks as a form of identity. Look what happened to Craftsman after it was allowed to be sold in stores other than Sears....let alone look at Sears...Starbucks is beginning to be too common. People want a different “expensive” coffee....,-0.5642
196,This is only the beginning . CEO left now CFO = RED FLAG=$30 or less,0.0269
197,https://www.businessinsider.com/coca-cola-buys-costa-coffee-2018-8,0.0
198,Starbucks is down 4.97% to 72.40,-0.2462
199,SBUX is down 6.66% to 55.05,-0.2462
200,Starbucks drive thru's are all very crowded.,-0.0678
201,Buy and hold. Period. You will have doubled your investment in 2 yrs.,0.45
202,"Management at Starbucks must be asleep at the wheel. They let Panera slip through their fingers and now Costa, both of which would have vastly improved their food offerings not to mention their geographic footprint. Good grief!.",0.7452
203,Blonde blend tastes best. Its the Master Blend.,0.6343
204,"Well, my little cucumber-patch Whack-a-mole, you're still posting your idiocies so I'll assume that it's neither.Wanna talk about your JNUG recommendation at $21+? Nah, didn't think so. How about HL? Post some mano-a-mano stuff, you're good at that, my little Ked-shod parking lot sprinter.",0.826
205,Ackman sold tons of shares of this to buy dominos Pizza.,0.3978
206,Buying opportunity,0.5993
207,$75 before open on Monday..... then slide to $70?,-0.4082
208,Sold my positon. Jump into MFA. Shorts wall BROKEN. Already 35 gonna be 100 % gainer !!,0.3876
209,"Any market correction and 68.9 in in play, wait for itlolGood luck gamblers",0.5748
210,"Majority of Starbucks locations are still closed (I.e malls, shopping centers) a lot of high traffic areas, plus a lot of people aren’t working right now and aren’t getting their coffee, sure lines may be long at some but that doesn’t mean much. I expect them to be short on earnings tommorow and the price to drop, it will eventually come back",-0.0352
211,Wish the CEO would stay out of politics end of story!,0.7233
212,I like 90. 90 is a nice round number. 100 is even better. Do I hear 120 in a year?,0.8193
213,"This is an opportunity for SBUX to lock up all interiors. This will lock out all the water drinking bums, unemployed and fake employed. K. SBUX has a big advantage over other retailers; it has a drive-thru business. Customers don't care how they get their caffein and sugar drug fix. What do they care if they et te drug from an arm out of a little window. And, people will be living in their car more and more all the time because of their smart phones. This all a win win. The employees will be happy to put the 1"" chain and padlock on the front door . No more cleaning up the bathrooms after slobs and homeless. No more having to be nicey nice to everybody, because there will not anybody in there. Only happy drive thru customers happy in their cars. K ? Fleet.",0.9784
214,pretty cool this stock drops the same day SBUX announces wage increases sigh,0.7606
215,"It is surprising this stock doesn't do better, based on the fact that at any given moment when I drive past a Starbucks drive through, there are at least 8 cars happily waiting to spend $4 on a cup of hot brown water. The markup / profit on that must be hyperbolic.",0.929
216,SBUX is borrowing money to pay dividends - Moodys cut's SBUX ratings...,-0.097
217,Last chance to get in before rallying past $60,0.2538
218,Hunter Biden's Laptop was found at a NY city abortion clinic .,0.162
219,Off a dollar for what?,-0.025
220,Almost a 100% gain from the bottom of last year. Unbelievable for a large corporation like SBUX.,0.7905
221,"Over 50% of Starbucks coffee shops are not selling enough product to cover their overhead and yet the shares are trading over 100 X of the last 4 quarters earnings , a real joke on wall street, Booyah to all clowns, bobbleheads, and jungle bunnies of wall street.",0.7559
222,Costco $188,0.0
