,Recent headlines and conversations for LOW,Polarity
98,"Sept 29, 2020Lowe's Companies Inc. on Tuesday said it will restart a previously suspended share repurchase program, which it temporarily suspended earlier this year as a result of the impact of the Covid-19 pandemic.The retailer said there is currently $8.7 billion remaining under the program's authorization. *Get some chips and buy the dip!",-0.1487
99,OK GUYS WE BROUGHT LOWES DOWNTO ITS KNEES,0.3443
100,Lowe's is going nowhere fast. Two things to help it move are increase dividend yield and stock split. They need to stop worrying about management boss check.,0.7328
101,COVERING BECAUSE SHORT SQUEEZE MIGHT COME NEVER KNOW,-0.2793
102,Should i sell or hold on to it?,0.147
103,Housing boom is just getting started. Lowe?s has the best service and assortments compared to its competitors. Decent balance sheet and reducing share count. Also one of the most over looked points. The last housing boom 2002-2007 construction quality was complete #$%$ these houses are nearing 20 years old and will need many updates and repairs!! Great long term hold!,0.9622
104,"HD same store sales fell as well, how are those Trump tariff taxes working out? wait till 25% tariff earnings cause a recession.....gonna be a blast",0.7495
105,Why is Low's stock price is sort of muted while the market is going up.,0.7575
106,LOWES NOT GOING ON TV RED ON CRAMER SHOW IM BUYING 300K SHARES TOTAL,0.6157
107,"check Zillow housing report, see what the report forecast the market which is slowing down",-0.1334
108,Is Lowe’s closing stores as well?,0.0621
109,HOME DEPOT ABOUT GO GREEN TOO,0.378
110,HD is what he knows! but he does not know consumer retail like JC,0.8395
111,Lowe's will go the way of K-Mart and Sears and RiteAid. There is no reason for Lowe's to exist.,-0.1324
112,What an overreaction,-0.1454
113,New board blocks impersonation...5 stars,0.0053
114,"yowzah, up >36% in < 5 months since last buy, plus one div and another coming ! Summer div increase should be mid-teens %, to ~.55, or $2.10 yearly... conservatively. Like the 4 for $10 potted vegetable plants, I buy LOW low to grow..",0.8199
115,"Be sure you are BOYCOTTING AMAZON. Amazon is a cancer that is trying to take all the retail dollars. Even though Amazon is not shippng 2 x 4's, it can ship tools, etc. BOYCOTT AMAZON. Don't be so naive as to think one little purchase won't hurt. Cancer spreads fast and Amazon is a cancer.",0.5824
116,jpm the dividend gets issued april 20th 60 cent a share 300 shares that's around 165$,0.6248
117,Where did Joe go?,0.5823
118,OKAY WILL IM GOING TO COVER 500K MORE SHARES THAT GIVES ME OVER MILLION IN PROFIT THANK U LOWES,0.809
119,Looking pretty steady to me.,0.7657
120,Shorts are in control now and I thought with all the Chines Tariff invest in American companies to be safe.,0.5192
121,Why is anyone selling below $78?,-0.1904
122,hmmmm...article says paying bonuses... you dont pay bonuses unless your making really good profit!!!!next ER will be amazing...,0.874
123,"stores restricting employee work hours, slowed hiring, walk the store, empty during the week! Housing strong, but people are done with their current home improvements. Last quarter reflected customers pulling forward in house jobs. Look for OK sales for 3rd but a weak 4th quarter forecast. Stock buy point 130-140. Lowes Employee",0.7442
124,lets check back with oppenheimer when this baby is 190 to 200 ridiculous downgrade lowes store are humming and busy stay tuned.....,0.1151
125,"The Military discount is now as low as one penny per transaction. Not kidding. Lowe's still promotes the discount as 10%, but they actually rebate almost nothing. Quite a big lie.Talk to anyone at a store register.",0.7663
126,Unbelievable gains made today on my DIS calls. I will be buying more of the LOW January 2020 Calls if we get another dip tomorrow! Earnings next week ,0.691
127,"Take it from a JCP investor casualty. Marvin Ellison is a terrible CEO. He nearly ruined HD, It has taken over a year and we’re still not recovered at JCP from his lunacy, and now you guys ended up with him. Bad customer service by firing everybody is penny wise and pound foolish. I really hate him for what he did to what was a recovering company.",-0.9001
128,Citi upgrade with a target price of 112.,0.1932
129,Food and shelter will always be needed. You will ALWAYS need a loews. Best stock to own right now!!,0.835
130,Damn we’re down. Don’t panic buy more.,-0.754
131,Going much higher folks. Like I said before big money involved here. Don’t fight the trend.,0.5084
132,"Higher rates in September , not so good for housing ...",0.6599
133,Wow Lowes seems to be closing it on Home Depot quickly.￼,0.6136
134,Here’s the way I see it. Ellison emptied JCP warehouses at blowout prices below cost and the SSS went up and the Bottom line was massacred. Now I see the same thing at Lowe’s. I came on here months back and said as much. Have you seen JCP stock lately?? Know what to look for in a CEO and especially where he came from and what he is about................ace,0.7492
135,chad is a wacko.. thumbs up if you agree,0.5587
136,m,0.0
137,"Wake up and smell the bear trap! Every time bears get trapped in this thing. Stop selling at bottoms, idiots!",-0.8115
138,Nice day to buy a dip!,0.6891
139,what were these fools doing,-0.4647
140,Have you seen the promotions they have been running at Lowe's since the beginning of the year. They simply have gone with the plan of BUYING the customers from HD and getting them into their stores. That will only last so long before they diluted their margin.,0.8609
141,Have you ever seen the Dow Down 2000 in one day? Please save this!,0.7264
142,"Lowes has the best and most ready available disaster relief supply chain network from the manufacturers to provide electricity generators that fema will have to buy asap in Florida. Better than Home Depot. Lowes is comperable but much better than Home Depot in that supply chain. Both companies however will do fine this quarter. . The home is the largest single family asset and continuing and progressive repairs will be made to all the damaged property. They may write checks directly from the Federal budget to restore homes instead of buying trailers that are more costly for thousands of residents. LOWES will hit $100 easily. The spending will be enourmous by the federal government. Insurance will pay for new roofs. Roofs, drywall,flooring, paint, windows, dehumidifiers, A/C and heating equipment, hot water tanks all will be needed. And contracts with suppliers is gauranteed profit for Lowes. Customers can't buy direct from manufacturers. We hope and pray that all in the damaged areas are made whole. Even it costs the entire country a contribution. Tax cuts will have to wait now.",0.9832
143,lows is up,-0.017
144,DPW is up 5% happy trading,0.6957
145,"This is a keeper!I admire those in here who've been in this for a long time.Looking at the charts, I think a breakout is about to happen.",0.9029
146,GO TO A STORE THAT SPECIALIS IN APPLIANCE TOOK A MONTH TO GET A STOVE DELIVERED ON SUNDAY NIGHT AT ; 6;30 KNOW ONE CARES BOTTOM OF WORK POOL,0.7757
147,"Just spent 7 months working at LOW and was shocked at lack of professionalism in our store's management team. Plus, their technology is a disaster. They are still using DOS for their pricing and inventory control applications. Employees were stuck doing IRPs with pencil and paper. Scheduling is largely done with a roulette wheel - making everyone mad. If you're smart, at least have a stop loss on this stock.",-0.8003
148,"WSM housing is back and LOW is just fine. Nothing goes straight up BUY on dips welcome to WS. I guess some got in last qtr and are very upset we sold them shares and will be buying those shares back around 76 I'm buying or I'll wait. LGIH,WY,,APOG,BBY,USG. JOBS JOBS JOBS=== Drill baby drill 100,000 a yr not bad for a kid out of high school or joint the Military and learn discipline.",0.9537
149,"sells his shares down to the price he wants to drive it too,. people panic and sell,. house buys back shares at a lower price and is sitting pretty.....course doesnt really win until cashes in,. OR does it again.........nerve racking for others",0.415
150,Why is this stock down twice what the overall market is?,0.077
151,buybacks happening yet?,-0.0177
152,Home depot hours of business 6am to 6pm. it will effect future earnings. Now Lowe's doesn't need to change the it time to copy. it's time to winn over their customer. FYI.,0.6681
153,stay short !!!!!!!!!!!!!!!!!!!!!!!!!!!markets are done........................... Permanent RECESSION if BIDEN gets in !,-0.8366
154,"6 downthumbs for my last post regarding the fact that buyback window closed meaning they can’t buyback their shares which was driving this higher. Why sheeples? You just want me to pump and dump fake news? Come on, at least engage in some counter arguments and discord.",-0.2381
155,hi my name is Ganlin. if you click on my name you will see I'm a Yahoo chat board troll. I troll many stocks bashing them all day. I have no money to Invest so all I can do is troll and bash.,0.7877
156,I can't believe people were buying stocks when all this going on...this will go to 35,0.1682
157,He went to Yahoos main office and swabbed the computer floors . Wet mop got tangled in Yahoos server and shorted it out. My ID was changed and the screen doesn't look the same as yesterday. It'll never be the same .,0.7856
158,Vanguard/Blackrock are toxic to stock performance;,-0.5418
159,as a realistic view when you go in stores now people holding few items in line. summer it was pallets and carts full. take profits. or write calls,0.8528
160,SORRY SHORTS ITS ABOUT TO JUMP,0.3063
161,It has been an amazing 28 year ride! Thank you LOWES....,0.8535
162,The Walmart business model isn't working for Lowes.,0.2186
163,SEKK SELL,0.0704
164,I am seeing more Craftsman tools in Lowe’s. Are they going to get rid of the kobalt tool line?,-0.1014
165,"Interactive Brokers pay me 1.2% annual interest on the cash from my shorted shares, so it doesn’t cost me anything to short except for the maintenance margin. This thing will not last until the next earnings when reality sets in.",0.4158
166,all elections related. snatching this big bargain next week,0.3123
167,"This is one of the worst service oriented companies. Their installation services and customer service are an utter joke. They work with contractors that are negligent, and not even qualified to do the projects they are paid for. Flaky, incompetent and negligent with the appliances, granite or product paid to install. Lowe’s simply moves you around from one department to another for an endless period of time, if you file for a resolution. It’s a joke to see this at over 100.",0.5888
168,Up on no volume......................dang.,-0.0926
169,"$LOW Downside Puts Trade for $363K could be a BULL selling puts.A block trade of 3,153 14-Oct-16 71 Puts changed hands at 10:22 AM for $1.15 per contract, with the market at $1.12 - $1.17. The stock is currently 0.6% above $71. Open Interest was 12, suggesting that a new position is being established. https://marketchameleon.com/Overview/LOW/OptionSummary",0.1898
170,"CONGRATS IF UP LOADED UP ON THE JANUARY 2020 CALLS LAST MONTH, WHEN THEY WERE DIRT CHEAP! Massive gains already made before earnings, and now after earnings. Got to love it!",0.9619
171,good support @93. i sold at the high looking to jump in again. retail got killed yesterday ...s+p 2600 will be a bear to break thru. alot of resistance,-0.0321
172,The markets don't like company selling their stock and use proceeds for corporate purposes.,-0.2337
173,Time for AMZN to come and grab LOW to fill their Home/improvement area.,-0.403
174,Most of you don't realize that the shelves are bare. No pressure treated wood. No decking. No accessories in outside garden. Not much coming in from China.How do you sell what you don't have? No ETA on anything.,-0.7458
175,"How many retail companies have been forced to close in Canada? BIG, TGT, WMT, now LOW. Wish these guys could learn from each other. There are not enough customers in Canada to support large chain retail operations.",0.7635
176,"down $6 + Lowe's Stock Rises on Robust Earnings. Its Outlook Was Upbeat. -- Barrons.com9:07 am ET February 24, 2021 (Dow Jones) Print",0.2717
177,"My guess: this may become a BULL TRAP... look on HD., much better in everything. I went short at 93.8 let's see what happens",-0.2098
178,"Wow, bought quite a few calls and this puppy is gonna go up into earnings.",0.7154
179,CFO is putting company in a highly leveraged situation - not good.,0.4888
180,CEO BETTER GET THIS INTO GREEN FAST,0.4798
181,How I feel trying to dollar cost average into $LOW.,0.008
182,why did ellison not when the stock was 118. he knew what was going to happen. this will ho down more,0.4064
183,Bank of America/Merrill lynch raised 12 month price to $212. Want to write some covered calls for the premium but don’t want them called away. Where do you see price after next earnings report?,0.6386
184,"Lowes has alot of changes in the works, this stock will go to 80-90 a share soon enough. #$%$ depot is heading downward, lowes has a higher customer count and average ticket",0.4048
185,Time to clean Lowe's sheets after today...wth,0.367
186,"John S and Kayak..so, i went to lowes here in Houston. talked to "" old timer"" been with lowes for 8 years...he said... sales have been up since covid started.. which we all suspected.. but then, walked away from him to go get a breaker, found 2 employees pulling "" top stock"", i asked "" hows inventory holdin up?""... without hesitation one employee says... not good at all. tbe second employee was little more upbeat with "" as well as can be expected"""".so, i agree that sales are ginna be good to finish this quarter, maybe?... with this information and knowlege of supply chain issues due to covid, i sold my shares yedterday..ginna put into roku!",0.9761
187,did the ceo close all those stores just so he can keep getting paid his huge salary for nothing over paid ceo and stores suk..,0.6213
188,This is a temporary dip which should be taken advantage of. LOW is not a wildly overvalued stock. These are inflation concerns which will subside quickly. Every stock is down today. The short case on LOW is still incredibly weak. Short this at your own peril. When this is $300 you'll be on the streets begging for pocket change.,-0.918
189,Why such a low book value? Do they not own a lot of the real estate their stores are on?,0.481
190,$low tick up!,-0.157
191,Can we see $130 today guys,0.1264
192,Lowes has send 400 trucks to Florida this week,0.5296
193,Hello there. The markets are shaky right now and a crash could be imminent. Do you know where to put your cash? go to (http://Multistockalerts.com).,-0.3199
194,100K SHARE COVER HERE IT GOES BIG ONE,0.4626
195,"JCP long here ... Haha! Marvin Ellison ... the dude is an absolute Trainwreck. I did fine and got my money and got out in time, but this guy will absolutely destroy Lowe's ... make no mistake about it. RUN AS FAST AS YOU CAN ..... GET EVERY DOLLAR YOU CAN .... AND GET OUT NOW!!!!!",0.9343
196,COVER YOUR PROFIT I DDID MADE 1 MILLION NO JOKE,0.4505
197,$LOW Downgrades KeyBanc Sector Weight,-0.2812
198,2 of the 3 top suppliers to Lowes are chinese - Shenzhen Jiawei and Hangzhou. I'm wondering to what extent tariffs are affecting profitablilty.,0.2054
199,IM COVERING ALL MY SHORTS NOW,0.2938
200,"Consider: LOW is up 116% in one year, nearly double the return of both HD and S&P500.. not too shabby %^)",0.3463
201,IM TRYING COVER AT GOOD PRICES,0.5129
202,HE WILL KEEP IT AROUND THERE,0.1439
203,People long on this #$%$ stock; ever try to order anything from Lowe's? Ever look at Yelp reviews?,0.8258
204,Added more Friday to Roth..,0.0626
205,"LOWE's last stock split was in 2006. Up until then, LOWE's stock had split about every 4.5 years. Was the best kept secret in America where you could retire from LOWE's after fifteen years a millionaire. I'm talking about store employees. I know the business structure has changed but was wanting a estimate of when you think their stock will split again.",0.8915
206,What is Lowes going to do with all those Orchard Supply stores that were closed and are they losing money on that deal?,-0.2751
207,BUY HD let lowes come down,0.2094
208,"$148 - $149 is a steal for long term investors. They missed by a penny as to EPS. As with HD with a Covid-19 cure , Wall Street is indicating that those who shopped LOWS will no longer shop in those numbers. But in the long run retailer shoppers will return and shop LOWS not to mention the holidays are here and many will shop LOWS..",0.9344
209,Bubble #$%$ ruining the game,-0.3803
210,GOING TO $66 RANGE,-0.3941
211,Something doesn’t make sense when looking at their balance sheet. Why did they go out and get a billion dollar line of credit for 12 months. Sounds like mismanagement or needed cash. Sell some stock at historic levels. Additionally they just sold bonds too.,0.7477
212,sell sell sell to drop price and buy on cheaper before they blow away earnings!!,0.5975
213,I am new to this bb and see it is of little value.I had asked questions regarding earnings and comparison to HD and they were ignored.Pie eyed optimists give ignorant posts.It is what it is.Good luck,0.5925
214,"Peeps will be selling into the close, typical to sell into the long weekend?",0.4415
215,What the hell is wrong with LOW,-0.8828
216,"Interesting- the DE's all came out from under the rocks to comment when LOW price dropped to the low $80's this time. Before they had come out in the low $70's. Now we're back to the mid 80's. We saw another Amazon scare drop, the first which I used to buy in at $71.30 after a great Q2 report. So now it's up >18.5% in 3 months, plus a dividend. Not too shabby...",0.722
217,$93.5 will not last very long,0.3824
218,GOOD JOB SELL SELL SELL,0.5816
219,Ready for Wednesday. $170 at least!,0.4117
220,Is anyone adding near this $97 level? Looks like a good entry point.,0.8164
221,Let's see if the new CEO does the same thing as he did to JCP...Crash it to the ground.,0.3585
222,"I do more shopping at Home Depot than Lowe's due to the proximity of the store, but what I do like about Lowe's is that it seems that they carry more products that are made in the USA, which I have bought at Lowe's.Both are great american companies. I'm not invested in neither.",0.9418
223,"Please, someone buy buy buy so I can sell sell sell!",0.7553
224,Why is LOW down 5% this morning 7/20/17,-0.5387
225,CANT COVER BETTER RPICE THAN THIS,-0.2239
226,similar footprint to HD but only makes 40% of HD net income,0.3091
227,it needs to be above $155ish after hours or pre-market $155 tomorrow !! support is 155ish and it tested new Lowe's at $152ish this thing can go to $133 but I'm still bullish,0.7263
228,LOW is up 7.63% to 69.98,-0.2771
229,LOW on CNBC as I type. Should open higher.,0.2155
230,Disappointed Lowe's seems a friendlier store than HD and at half the price with a great dividend which is coming due with ex div. date July 24.Retail sucks and it seems this stock is a sleeper.,0.7782
231,Just reccomended as a buy today on CNBC.,0.6068
232,need to check out MIK people staying home doing crafts for winter covid stay home,0.7208
233,MARKET MAKE WILL PLAY WITH IT AROUND HERE MARKET MAKER HE IS A JERK PLAYING TAKE THIS P AND DOWN SO MUCH,0.0128
234,"I suspect the LOW shorts in this discussion are the same person with multiple aliases. Only an idiot could look at LOW right now and say it's going to 0. With the housing market boom still in its infancy companies like Lowe's, Home Depot, and Sherwin Williams have almost zero downside risk as investments. Any dip should be bought. All 3 of these companies will trade at much higher prices several years from now and that's really not up for debate. Only an asteroid hitting the US and killing off a huge portion of its population or some other natural disaster on that scale would be the only reason the housing stocks wouldn't explode much higher. Given that an event like that has such a remote chance of happening it is suicide to be a short in the home builders and building supply retailers at this point in time.",-0.5207
235,Our local Lowe’s has revamped the tool world area. It was nice to see a large display of Craftsman tools.,0.4562
236,WHILE MARKET UP HE IS STUPID,-0.1497
237,Really thought this would jump more with how this quarter performed...selling and moving elsewhere. Too slow for me. Good luck to the rest of you,0.9192
238,Same store sales of 28%......this trend will continue through most of 2021 at least as people direct investment to their home.......great inflation hedge at low valuation!,0.3683
239,Existing home sales surge nearly 21% in June – the highest monthly gain on recordGreat news for this quater and the next!!,0.8662
240,LOW is up 5.77% to 90.70,-0.2771
241,Hahaha this POS is going down,0.4064
242,My LOW shares are now up >46% in 5 months. Not too shabby! This should be a two-fer within 2 years from Aug.'17 buy. Plus dividends increasing yearly > inflation. It's a keeper..,0.5159
243,"No way Lowes should be where it’s at. Dog $hKT earnings report, closing stores is the only thing that made this pop. Old JCPenny leaders as execs going to make this company tank",-0.2449
244,Why are there always illegal aliens loitering around at Home Depot and not at lowes?,-0.2383
245,Any predictions on when this stock will be back in the 80s? 6 months? A year?,0.3471
246,selling into earnings on retails biggest run in years... yeah good strategy  Don't say i didn't warn you.,0.715
247,^^^TABLE IS SET FOR A TAKEOVER.^^^$LOW VALUATION = COMPELLING$23 BILLION CASH = 27% OF CURRENT VALUATION MANY PHASE 2 AND 3 PENDING APPROVALS NEXT 12 MINTHS FILGOTINIB WILL LIKELY BE APPROVED IN 2 MONTHSNASAL SPRAY REMDESIVIR DATA TO BE RELEASED ANY MOMENT.,0.0726
248,MANY SHORTS THEY COVERING RIGHT NOW,0.1343
249,"Lowes Q4 results beat predictions. This stock will head right back to 180, possibly higher. People will be buying springtime items soon, and economy is opening. Ignore the Lowes stockmongers.",-0.0103
250,U BETTER BUY SO MAKE YOUR AVERAGE BETTTER NOW U MORONS,0.4282
251,I have a buddy who is a store manager at a Lowes here in Northern VA. He said that Marvin E came to his store and ran a checkout counter for over an hour and then took the time to speak to every associate on duty that day. Guy is an incredible manager and LOW will thrive under his leadership. Buying more on any pullback.,0.5695
252,LOWES IS MUCH CHEAPER THAN HOME DEPOT IN SHARES I MUCH RATHER BUY LOWES HERE AT THIS PRICE ITS SUMMER TIME THIS THING WILL GO TO 130 AND HIGHER,0.936
253,"Debt is too much, corona risk, everybody touch on everything it's a disaster waiting to happen. Holding out on this one.",-0.5095
254,same pattern. every. single. day. gap up in the morning. dip. bullish rise. then sell off at the end of the day to trade the same or slightly above where the previous day close was. same annoying pattern over and over.,0.0338
255,Greatest stock ever.... Never going to go down.... even on a bad day the stock rallies to positive territory after being down >$1!!! Going to mortgage the house and buy more!!!! $200 here we come!!! Wait..... isn't that what I'm supposed to do?!?! What could possibly go wrong?!?! Low volume exponential move.... closed the gap....Someone is getting ready to dump...... Look out below!!!,0.6783
256,I expect Lowe's to make a substantial dividend increase announcement at end of month.,0.6078
257,Got in at $79..... woohoooooo,-0.0464
258,Solid business model!,0.1746
259,Are we not getting a dividend boost this year?,0.5612
260,$90 by Christmas,0.2635
261,home depot is over pricecwaych it fall next quarter,-0.0542
