,Recent headlines and conversations for PAYC,Polarity
65,Lol totally makes sense that a 100% domestic business sells off +5% on China fears. The market is stupid sometimes.,-0.3972
66,wow up $11 now dowm. forecast must stink,0.3797
67,Need to watch the open today. If it breaks $100 that is not good.,0.4236
68,"08/16/2019 Paycom Ranks No. 6 on Fortune’s 100 Fastest-Growing Companies ListPaycom is the highest-ranking software company on this year's list with Q2 revenues up 31% .....Nothing seems to have changed, and if true, is drop in price really warranted?",0.5349
69,"PAYC market cap 14 Billion, ADP market cap 73 Billion. Management came from ADP. Imo easy double.",-0.1776
70,It’s a buy at 115.36 if breaks out with good volume,0.5956
71,Paycom Software is down 5.22% to 383.91,-0.2752
72,I bet this on its way to $300+. Good ole technical analysis says so. I'm a long but this is probably going to happen sooner rather than later.,0.7595
73,They came in at 49 cents per share. Zacks estimate was for 54 cents per share,0.6952
74,are they going to beat today...surely someone must know something,0.3961
75,Top in on these valuations are beyond stretched to be kind u have no edge putting capital blindly up here $payc $pcty,0.553
76,wow..thank God I didn't sell yesterday...unbelievable...maybe everyone should stay silent,0.3441
77,Is paycom a good buy,0.53
78,Somebody has bought it at 347... What a pity.,-0.2885
79,Mr. Twillio we are trying to have an adult conversation. 2400 post means your a little troll living in mommy's basement. Get 9ff the computer before your parents get home,0.4794
80,"For this stock to go up this much, it better be taking major market share from Paychex and ADP.",0.7991
81,PAYC just might be the fad stock of today. You can make a lot of money on these fad stocks but know when to dump it. It is NOT a buy and hold.,0.5592
82,shorts r getting fried. $110 next week,0.1148
83,"It seems a buying opportunity. I attended a Paycom executive's presentation yesterday to his former HS about his life journey. He remained optimistic for the company's future, at least for the next five years, despite some tough challenges in maintaining the revenue growth at a rapid clip.",0.9169
84,trading 101,0.0815
85,These topped wake up $pcty $payc,0.4054
86,I am still trying to figure out what the big deal is with this company. Unless massive amounts of businesses are switching over from ADP and Paychex to Paycom. Is this what is happening? They are leaving the big boys in droves to go to Paycom? Will ADP and Paychex be out of business soon?,0.6917
87,PAYC reached an all time high at 229.70,0.3228
88,exact same stock behavior like after er last time,0.6507
89,Shorts....Its not going down...Give up.....,0.0485
90,PAYC is down 5.07% to 224.52,-0.2462
91,come on short squeeze. $110 here we come,-0.3378
92,not even a new post on earnings day..no guidance...I'm sold...before it happens,0.2465
93,Great results.,0.6249
94,Buying on the dip. Too good of a company not to. This company will be at 400 soon if I had to guess.,0.7896
95,History of massive selling on earnpump better dellvrebuy after highway robbers get done,0.0719
96,PAYC is up 6.38% to 243.20,0.1818
97,"Here is what Cooper Investors has to say about Paycom Software, Inc. in their investor letter:""Paycom was sold because the business is experiencing a very significant share price appreciation in a short period. We bought this great company earlier in 2020, however Value Latencies appear exhausted – to highlight this point Paycom now trades on 27x Sales.”",0.876
98,should be 400 by summer 2020,0.0486
99,Overvalued and over bloated stock. Fair value is likely around 50 for this name.,0.0143
100,Why is it down on these earnings?,-0.0797
101,"This is just another payroll company. Nothing new. PAYX and ADP have been around forever. Tons of other payroll companies out there. Why this is even $290 is beyond me, let alone $342 at one point. This is a $150 stock.",0.3892
102,My guess for the 4th quarter Revenue is =<324.36M$. Best of luck to everyone. I think this one may be going higher after the results.,0.8939
103,Surprising so few shares of this company change hands. Been in 3 months and has gone up almost 100 a share,0.7566
104,$125 + by close thursday. window dressing and this has huge growth potential ans high short interest!,0.7394
105,Bull run is likely over for SHOP. Let's see if it can hold onto these critical support level soon.,0.8157
106,Was hoping to hold at $300. Looks like $290 instead - we need to hold that for certain.,0.7821
107,Why the haircut?,-0.2346
108,PAYC is down 5.14% to 216.97,-0.2462
109,Good luck everyone!,0.7556
110,AH trading: someone got a steal at $387.87 as the current Ask is $439.44,0.1245
111,PAYC reached a new All Time High at 161.57,0.3954
112,Great earnings pop after some healthy downdrafts prior to earnings...,0.8207
113,Not surprised to see a bit of a slow down here. Huge day yesterday,0.1184
114,someone want to buy PAYC?,0.2971
115,Massive job losses and the entire country shutdown for 2 months. This is going to hurt. Millions of customers lost for PAYC. amazing company but they have no control right now. Scary times for PAYC shareholders.,-0.8087
116,"Teresa, I need to listen to you everyday, to remember why not to sell.",0.3468
117,Bought more and call options riding the momentum higher. Buy and be rewarded!,0.7036
118,PAYC is among rule 40 elite stocks; Target $450 with 45% upside potential!Aggressive buy!,0.6886
119,Free falling .....,0.4019
120,PAYC is down 4.91% to 211.01,-0.2462
121,"Shoulda sold into yesterday’s strength, was asleep at the wheel after a big run up on this one.",0.7836
122,Wow. This was on my watch list and after earnings it declined ... knew it would bounce up. Long ...,0.8842
123,PAYC reached an all time high at 330.31,0.3228
124,PAYC reached an all time high at 342.00,0.3228
125,This could be the greatest one-day explosion ever! Search for THESTOCKDORK,0.8492
126,PAYC reached an all time high at 282.97,0.3228
127,bear raided to absurdly!,-0.3596
128,Paycom Software reached an all time high at 454.58,0.2951
129,"Happy, happy, happy",0.9022
130,never mind. quixk head fake,-0.4589
131,Hello there. The markets are shaky right now and a crash could be imminent. Do you know where to put your cash? Learn now at thestock-dork .,-0.1075
132,Why the drop,-0.2502
133,These guys will keep taking accounts from ADP and Paychex. Bring these two companies to their knees begging for mercy.,0.5047
134,PAYC is up 9.50% to 199.13,0.1818
135,"Up, Up, and Away!!!",0.5202
136,PAYC offers HR services and payroll...like so many other companies. Let's run this stock up from $20 to $180 within 2 years. Makes sense. NOT. This will settle in at $80 within a year.,0.6983
137,ummm why the drop?,-0.1333
138,"Well I was sad at first, but bought more at $197, so I will take a break even day",-0.501
139,An absolute steal at 399. PAYC is undervalued right now. This company is changing the way employees do their jobs. Anyone who is bearish is absolutely clueless.,-0.8013
140,Paycom Software reached an all time high at 406.64,0.2951
141,Exactly the same after hours behavior like the last report. 400 by summer,0.3641
142,Paycom Software reached an all time high at 383.66,0.2951
143,solid move and trend line!,0.5821
144,good earnings. beat 1Q2020 when things were jamming. Next quarter's beat will look unbelievable.,0.731
145,PAYC will rally to $ 242.00 by today's close!!!,-0.4259
146,PAYC is down 6.91% to 300.22,-0.2462
147,I got in at 336 is it still worth it to hold on :/,-0.0967
148,PAYC is up 4.92% to 88.67,0.1818
149,Up $11+ after hours...,0.1284
150,Another stellar Q here,0.1945
151,Anytime the share price drops below $300 IMO is a chance to load up on more shares. This will be at $400 once the rally gets going again.,0.8172
152,PAYC target price is $183,0.0069
153,PAYC reached an all time high at $170.00,0.3228
154,This stock should open tomorrow 203---210 per share!!!,0.6554
155,TIMBER,-0.4871
156,Love this stock,0.7217
157,Good value at $85 for long-term growth investors.,0.7968
158,$PAYC Target Raised by Stifel Nicolaus Buy USD 405 » USD 465,-0.293
159,ID SELL THIS #$%$ NOW. WAY OVERPRICED. GET YOUR MONEY OUT,0.8964
160,What is going on today? Stock down 5% after great earnings report!,0.7531
161,how come nobody post here...this is a good stock,0.5885
162,"So yall would buy a stock where they only have a 60 billion market share huh? PAYC, by stock price is already at 5 billion, how much more of the market share do you think it can get with all the other companies? Seems like a bad bet, and I don't see them in a position to go into other market shares at this point. If they were to do that, they will be taking some hits in short term.",0.8985
163,PAYC is over priced at present and is due for a pull back of 15%. After that it is my prediction it will resume an upward trend after the next quarters earnings. If you are long term hold on and you will be rewarded. If you are in a break even or profit sell half and average down on the dip before earnings..,0.9427
164,PAYC reached an all time high at 291.73,0.3228
165,Absolutely killed it !!!!! Sixty plus $.,-0.602
166,Beat and raised. What's not to like? It will rise.,0.4832
167,"85$++ easy tomorrow, strong earnings!!!",0.8129
168,PAYC reached a new All Time High at 140.08,0.3954
169,Bought this stock at the market floor of the pandemic...am quite pleased with my return so far. Analysts are too bearish on this stock. It is revolutionizing business and deserves more love. Am predicting a return to the $300s and then into the $400s.,0.7564
170,Everybody relax. Not exactly a lot of conviction in this selloff (<200k shares traded this morning)...A few profit takers who probably should be in something else anyway.,0.8651
171,Paycom Software is down 5.38% to 360.27,-0.2752
172,Almost 300+ Onward and upwards!,0.5423
173,"not down 15 to 20%... including today (low = -10%, ~~~$288), 'only' about -15% total for the two days... last time PAYC went thru a 'disastrous' fall was -10% on 9/10/2019... you coulda bought shares for ~~~$205... today PAYC is ~~~$292...y'all make the call... FWIW, I'm long for the foreseeable future... here, Paycom is the hottest in the port, and i see no reason to pull up stakes now... (thinking about the balancing thing, but haven't pulled the trigger yet.)",0.7483
174,"We gotta hold dome support here, this could be buying opportunity of a lifetime.",0.8046
175,I have no idea why the stock is getting hammered but it is killing me,-0.7931
176,Great company with massive growth. This should go up like AMZN.,0.8906
177,Time to short this over inflated pig. 52 week high.... Why?????,-0.7424
178,PAYC will be destroyed once all these companies go out of business. I’m looking to buy around $110,-0.3569
179,PAYC is up 4.95% to 214.51,0.1818
180,Gonna soar if labor market recovers $payc $ wday,0.1351
181,"PAYC's balance sheet shows ""other current assets"" of $700mm for latest year, $660mm for previous year, $460mm for year before that. Anyone have any idea of what these ""other current assets"" are? There are slightly larger offsetting ""other current liabilities"". These numbers dwarf everything else, so it seems strange to show them under ""other"" categorization.",0.4447
182,This stock should be it's own business school class.. gets knocked down and just right back up to 330 plus. might as well be 400 next week. beyond weird. Never heard of this company until a few months ago from tracking the stock. I've been in the tech industry 25 years. Bizarre.,0.8636
183,High growth value and technicals went bullish on high flyer techs. Rough month. Earnings call next Tuesday. We’ll see what happens...,0.9052
184,PAYC is up 8.97% to 115.78,0.1818
185,Paycom Software is down 4.95% to 392.55,-0.2752
186,Hey Joseph - posting bad opinions on yahoo isn’t going to cover your shorts!,-0.3343
187,PAYC is down 5.97% to $123.93,-0.2462
188,PAYC is down 9.74% to 163.60,-0.2462
189,must be bad,-0.5593
190,Did anyone here own this at ipo?,0.1847
191,Where are the Haters?,-0.5071
192,"Seen my first Paycom commercial lastnight. First one I seen since I've been following this company. Crazy how a stock that most people have never even heard of is doing so well. Everyone knows who paypal is and that stock is half of what paycom is. Whatever the case may be, kudos to all who were smart enough to hop on board.",0.9417
193,"2,000% gain in 5 years. I am speechless with the lack of coverage on this company. holy sh. PE 99 and no slowing down.",0.2816
194,Paycom Software is down 5.53% to 343.00,-0.2752
195,A great company but the stock is massively overvalued right now! Should be able to buy it back in 6 months at $100 less!,0.7802
196,All the payroll companies are down today,-0.5103
197,Paycom Software is down 5.09% to 429.21,-0.2752
198,My PAYC Share Price Guess is that it will be $400+ by the end of 2020. Best of luck to all the longs!,0.8749
199,"Major, major trend break by institutions selling. Next level of support is 163.50, which will be hit by end of year. Watch and learn.",0.6815
200,Up $15.41 AH. Anybody know whats pushing it higher?,0.6515
201,why dropped all of a sudden this morning,-0.1973
202,Pay com to join S& p 500..Up after hours on the news,0.2189
203,Best stock ever,0.7227
204,PAYC reached an all time high at 218.96,0.3228
205,Has anyone tried to use the blue interactive chart feature to compare another stock. Does not work .How do you contact yahoo to complain?,0.4477
206,Buying opportunity here,0.5753
207,I guess this company will put ADP and Paychex out of business. Nice.,0.6224
208,How low is this going to go??,-0.3391
209,"Still trying to figure out what the big deal is with this company. Competition is ADP, Paychex, Paylocity, and about ten other companies that do payroll and HR.",0.3316
210,"PAYC has had a very good run, time to take profits. Remember the saying ""pigs get rich, hogs get slaughtered""",0.888
211,$102 - we need to hold the $100 level IMO.,0.4801
212,Bought more PAYC today. I am wary of buying too many stocks right now but in the cases of the ones where I am at big losses I don't hesitate at the opportunity to dramatically lower my cost basis. I believe PAYC is a sound company that is on sale for those who want to get rich off it. Buy while you can.,0.9172
213,Payc will be at 128 by year end,-0.1099
214,Paycom Software reached an all time high at 349.67,0.2951
215,this move isnt scientific or rocket science. just simply a growth company in right space...with low float and high short interest. also they r buying back shares on any amd every dip.,0.9402
216,Great report. 225 in 60 days,0.6783
217,Great earnings call. Exciting new initiatives that will continue to add value to the PAYC payroll solution.,0.8979
218,Buy it on every drop.,-0.1232
219,I should sell this stock just because nobody posts,0.4014
220,I cut this dead horse. Out!``` PAYC BEARISH ```,-0.9217
221,This is BS low volume and they just yank the stock.,0.2482
222,Good report,0.5468
223,PAYC reached an all time high at 305.38,0.3228
224,Look at PAYC rock!!! GO PAYC GO!!!,0.4307
225,"Zacks said they don't like us, so I bought more. Hope we don't do a ""PCTY""!! Good luck all.",0.4732
226,"Scary stock. This thing moves a lot when it moves, very dangerous.",-0.6332
227,Back too $100. Big gap to fill. Will cover then.,-0.0289
228,"more and more people do business on the Internet which utilize Paycom services., Aloha. from Hawaii. Howard",0.5057
229,PAYC is up 7.86% to 211.69,0.1818
230,"From CEO on earnings call last night: “In fact, Q2 was our best quarter ever from a new business sales perspective by a large margin, and we will continue to spend aggressively on advertising throughout Q3 and Q4 above the Q2 levels as we deliver our value proposition to our massive target market. With less than 5% of the total addressable market already captured, we have a long way to go.”",0.9425
231,Paycom Software is up 5.85% to 410.81,0.1509
232,Buying the dip. 500 is coming next.,0.4818
233,It might end up at 199 for the day,0.2385
234,Feels like we've found a bottom this week...expecting good things over the next few months.,0.5002
235,PAYC is rising!!! Big earnings today!!!,0.7788
236,haters had a great day with Paycom.,0.309
237,$135 coming.,0.0537
238,Use theBounce to sell folks dont be sucked in,-0.3228
239,Paycom Software is up 11.42% to 263.71,0.1509
240,"I'm just asking if there's any chance that PAYC will have a stock split, of any kind, in the future? Any thoughts on this?",0.8327
241,Here comes $ 315.00!!! GO PAYC GO!!!,-0.5883
242,Why this stock going down.,0.0083
243,Low and lower ha,-0.2034
244,"Paycom (PAYC) Posts Impressive Q4 Earnings, Revenueshttps://finance.yahoo.com/news/paycom-payc-posts-impressive-q4-232911882.html",0.5604
245,Down 1.77 ah on E*TRADE,0.0305
246,PAYC is up 4.91% to 88.65,0.1818
247,"John, find another free service.",0.5203
248,The scenarios are quite interesting at current levels for PAYC. https://winningpicks1.blogspot.com/ alerted a new stock just now. going to check it out.,0.6272
249,PAYC is up 4.93% to 112.06,0.1818
250,PAYC is down 4.97% to 267.37,-0.2462
251,PAYC is up 6.93% to 205.29,0.1818
252,Going down down down. Get out now!!! Before it is too late.,-0.696
253,I've always admired the PAYC leadership team. II bought an ITM money call today and obviously I'm quite happy with it now. In so can someone explain how it keeps going up with such a high valuation?,0.9507
254,"Despite three downgrades this morning, it's holding up, great sign!Paycom Software Cut to Underperform From Neutral by Credit Suisse04/23/2020 07:45:00 AMPaycom Software Cut to Underweight From Neutral by JP Morgan04/23/2020 05:24:00 AMJP Morgan Downgrades Paycom Software to Underweight, Announces $200 Price Target",0.7549
255,"If one reads the earnings call transcript, they discuss the shift of approximately $8 million in revenue from Q1 to Q3 because of the number of banking Wednesdays (the day they process most) (one less in Q1, one more in Q3). For the algos to cause a selloff based on a softer Q1 revenue number was pretty ridiculous. The analysts will recognize this and there should be a reflection in the stock price over the next days and weeks.",0.8952
256,this company will see $220 soon. Larger institutions will get involved due to Strong earnings & Growth. Gotta Love it!!!,0.8964
257,"I would think that, with the new tax laws and all the new features and complications, it should be a bonanza for PAYC and the industry as a whole, for at least the first year, probably a couple of years. I may be wrong because I don't see any bonanza reflected in the share price of PAYC.",0.1388
258,"My guess is that PAYC is due for a pullback in the short-run. Yo you should really check out awesomeSTO-CKS, they seem on point with their stocks.",0.7032
259,This is going to take out 500. I warned shorts to cover. Now it’s too late.,-0.2734
260,Backed up the truck today and loaded. 350 is dirt cheap compared to where PAYC traded at the highs. When the news is company specific I'll worry. Until then every dip is a chance to get richer.,0.8217
261,Paycom Software is down 6.65% to 285.00,-0.2752
262,kinda disappointed,-0.4767
263,"Paycom Software (NYSE:PAYC) shares slide 3% AH following Q3 earnings beats with 12% Y/Y revenue growth to $196.53M and soft Q4 guidance (Note: I'd say ""in-line"" guidance).Q3 gross margin was 84.9% vs. the 84.7% consensus and 85.3% in last year's quarter.For the current quarter, PAYC guides revenue of $212-214M (consensus: $212M) and adjusted EBITDA of $76-78M (consensus: $75.4M).Related: PAYC and peer Ceridian (NYSE:CDAY) were recently upgraded at RBC and JPMorgan on positive industry checks and improving macro conditions.",0.9456
264,good buying opportunity?,0.7782
265,I have a feeling PAYC will see a pullback now. What yall think? awe*some*stocks just allerted a new stock - it beats having to dig online yourself for new stock ideas.,0.7908
266,PAYC right now is at a premium regardless of the anticipated growth potential,0.55
267,"Just 7% down, why not 9 or 10. Give me a break.",-0.2813
268,Will wait to drop. Then buy some,-0.0493
269,Paycom Software is down 5.11% to 379.69,-0.2752
270,This hurt so much that I laugh so hard,-0.0194
271,"Could be another down day (11-20) due to the entire market (especially techs) dropping ahead of the holiday (IMO). If we see 100, it might be time to buy.",0.3808
272,Last week they celebrated 20th anniversary party with employees,0.7734
273,Paycom Software reached an all time high at 365.78,0.2951
274,ULTI bought out for $11b. Looks like it's going to help prop up PAYC today. BTW why is this board dead?,0.1223
275,Analyst Actions: Needham Adjusts Price Target on Paycom Software to $490 From $455Maintains Buy Rating,0.2848
276,PAYC is down -6.79% to 104.94,-0.2462
277,"Beautiful uptrend, healthy stock showing ups and downs.",0.8833
278,Paycom Software is up 5.38% to 389.00,0.1509
279,Going back to $160 again? Sigh,0.1095
280,I wanted to grab a few shares of payc couple months ago. but it was running to fast . I may get my chance this week. so I will . numb. 1. on watch list . hopeful bottom is close .. how many 1000 point down days are justified . think we had enough,0.8935
281,"What would be the takeover price for the stock, would someone share any insights please?",0.8326
282,Paycom Software is down 5.39% to 366.11,-0.2752
283,PAYC delivers once again!,0.228
284,"wow! this board is full of awesome stocks robot replies. Never thought that robot #$%$ was real. very obvious here. for the humans reading this, PAYC is a beast. hold long.",0.9517
285,76.1% earnings growth in 3 years.. What’s your opinion? Paycom Software $PAYC https://simplywall.st/NYSE:PAYC/paycom-software,0.3892
286,Whoa!! Y does it dropping ah? I didn't see any news or downgrade.,0.3289
287,PAYC reached an all time high at 205.32,0.3228
288,PAYC is up 9.28% to 180.32,0.1818
289,Wo w,0.0
290,PAYC is down 4.93% to 210.00,-0.2462
291,Wow did everyone go into a coma?. Board is so quiet,0.7919
292,"Well, the P/E ratio was ridiculously high. That's reason enough for the stock to drop.",-0.2377
293,lol,0.4215
294,Analysts and research firms got this stock wrong big time. They were all saying to hold it in the lower 200s. I bought a ton of shares in the lower 200s and am sitting pretty today. This stock is revolutionizing business and is a game changer. Shorts beware and get out while you can.,0.8745
295,PAYC is down 5.41% to $139.61,-0.2462
296,I'm in at the closing with 100 shares ???,0.174
297,wow!,0.6239
298,Got pulled down with other SaS companies...no need to panic.,-0.5291
299,120 here we come.,0.0098
300,"A question for anyone on this board. Is there a way to tell how many of the traded volume for the day are attributed to short covering, and how many short shares remain outstanding (up to the minute)? Please help !",0.6608
301,Will it go down to $299,-0.3177
302,"Shares have been on a massive run since late last year. Addition to S&P 500 was additional quick boost. Lots of profit taking, but If you are long term and not a trader, you should be fine.",0.9357
303,PAYC reached an all time high at 223.32,0.3228
304,any upgrades? price hikes,0.1079
305,PAYC is one of my favorite stocks and it is one of the rare stocks I have that are not in the red today (along with my. INMD stock). Definitely holding onto PAYC for the long run.,0.9363
306,Paycom Software is up 5.99% to 388.17,0.1509
307,A lot of competition in HRM softwares right now.,-0.0857
308,PAYC is up 5.27% to 252.11,0.1818
309,why is it dropping?,0.0498
310,Short,-0.4864
311,it's time to jump in PAYC FVE $343 Per MORNINGSTAR,0.3229
312,400 plus coming back to a theater near you very soon.,0.581
313,PAYC hasn't fully recovered compared to many other similar enterprise cloud based applications; thoughts? I suppose a good portion of their smaller to medium sized clientele may be impacted by the pandemic?,0.5947
314,Great company and terrific earning projections. Buy on all dips.,0.8407
315,And there we go. One week later and we're back on track.,0.5052
316,I just went through the numbers and everything is up and cant see why is is down? I'm new so if you know why please educate me. Ty,0.7565
317,"Tue 8/4/2020 3:33 PMAccount: xxxx-2590 Your Day Sell to close order for 3 PAYC Aug 21 '20 $300 Call at a limit price of $8.3 was executed at $8.3. For details, see order #23245 on the Orders page.Lucky me only took $ 89 loss.",0.6738
318,Today again a down day. Shall I plunge in and buy small number of shares. Any suggestions? Would appreciate.,0.37
319,what time does this piece of #$%$ report earnings,0.346
320,"Wow, $GRUB just got DRUBBED. It did go parabolic last year. $PAYC, $TWLO are likely next to get drubbed this time next year.",0.5886
321,I'm so confused why is this down the earning was really good,-0.0558
322,Dead meat.Moving into SQ,-0.6503
323,PAYC will be up big today!!!,0.4675
324,New 52 week low today?? What is going on - market is up 200.,0.241
325,It’s very simple. This stock keeps skyrocketing and it went higher than it should of for the numbers it posted this quarter. That’s why it’s down today. Still a great company that makes $$$$ and I am not selling,0.805
326,"Nice ""beat""..... well maybe.",0.6644
327,Down 30% in less than a month. WOW.,0.5877
328,"Major PROFIT TAKING in the SAS sector..... SHOP, COUP, .....etcmaybe ......... look out below time",0.8113
329,Wow...PAYC is way ahead of itself. This is a $100 stock at best right now. Enjoy the correction when it comes...and it will.,0.7219
330,Industry out of favor it seems. Need to hold $200.,0.6665
331,"Big beat in EPS of. 86 vs. 77, beat. in revenue by $3m. Guidence Q1 $281m vs $289m, however 2020 whole year beats by $8m. Should be good tomorrow.",0.5043
332,Withdrawing full-year 2020 guidance.,0.0288
333,All in before earning,-0.0449
334,haters ABOUND on Wall Street!,-0.4737
335,PAYC is up 9.19% to 230.00,0.1818
336,Tomorrow will bring the higher target price,0.0728
337,Still quite happy with this stock - especially my $94 cost basis! Go paycom!,0.7662
338,Staying long and far-sighted on this company with great prospects--in it for years as long as nothing really bad happens. Trying to time the market dips and gains doesn't work for me.,0.8968
339,Crazy 50% movie in a month. Wow shorts clobbered on this name. Never short momentum that has high growth as valuation doesn't matter for these names.,0.5694
340,"bunch of upgrades so should be good Analyst Actions: Needham Raises Price Target on Paycom Software to $372 From $280, Reiterates Buy Rating",0.6818
341,Why this payc does not move up like others?,0.6091
342,Excellent,0.5719
343,with a PE of 100 what could go wrong?!,0.3672
344,PAYC is up 6.26% to 133.82,0.1818
345,I was Itching to start buying this back.... good signal from management,0.6852
346,https://www.fool.com/investing/2018/06/29/3-important-things-to-keep-in-mind-during-a-stock.aspx,0.0
347,just bought 10shares of PAYC @ $328. Thanks PAYC HEEEE HAW!,0.5544
348,You can learn a little from victory; you can learn everything from defeat.,0.6553
349,PAYC is down 5.21% to 172.33,-0.2462
350,PAYC reached an all time high at 244.96,0.3228
351,Payc will go down more when it comes to the quarter results,-0.2807
352,thank God I got a response ...I thought I was the only guy that owned this..lol,0.6721
353,Guess that was a wrong move. People got out before hours i should have know. Leaked,-0.3357
354,WOW! Anybody know what’s going on?,0.726
