,Recent headlines and conversations for NFLX,Polarity
63,I sold my remaining shares around $520. My take is we all know Netflix is doing great and will likely post a great quarter. The problem is their outlook will be compared against 2020. While I think 2021 will be a strong year for nflx I think people will focus on comparisons to 2020 sub adds. I’m guessing it probably sells off on earnings. If it does so I will look to get back In.,0.8214
64,It’s Looking to make 370.00 today. Today she will rise.,0.2871
65,"If we open over 275, good chance we hit 280. Hope we can hold the lead..Good luck to everyone!",0.8749
66,market major correction on trade wars and White House turmoil no stock is safe especially Netflix the ultimate momentum stock,-0.6986
67,Netflix has 42 of the top 100 shows (TV series and movies). When they get past 75 of the top 100 shows they will start raising prices by 20% every year.,0.431
68,The only thing that matters is that netflix is crushing the competition and gaining market share.,0.4305
69,Impeccable timing. https://youtu.be/RPU_u3TWvbk,-0.0108
70,"I think Apple parked all that cash , buy Netflix ",0.2413
71,And just bought 10 more $520 call options for tomorrow dirt cheap! bam!,0.6043
72,"Anybody knows of a site where we can read and post serious messages on stocks? Most people on the yahoo boards sound like 15 years old. I am looking where we can exchange with people interested in sharing ideas, news, data.... Not sure a site like this even exists.....",0.9269
73,Could Netflix split again??,0.262
74,"As long as we close in green, I'll be gracious",0.7698
75,Go ahead and sell.. it’s just gonna rise.. this is AH.,0.3926
76,Just incredible...not expected at all by the market. Amazing figures....I was expecting something good but not that good!,0.8491
77,http://nypost.com/2021/01/20/bill-clinton-appears-to-fall-asleep-during-bidens-inaugural/,0.0
78,I just bought hundred shares at closing YES ,0.6135
79,Streaming services are losing a lot of money. Licensing to Netflix pays more than streaming. We have seen a shift from cable TV to streaming and now we will see a shift from content producers streaming their own content to content producers licensing their content to Netflix.,0.3894
80,I will start a short position soon..,-0.3702
81,"I can't care less if you are a long or short. But if you use terms like ""We warned you OVER AND OVER"", and especially if you forgot how to turn of the caps-lock. I can't really take you seriously, go bother some other board.",-0.1426
82,Hey Maguire get writing a new book .I finished your last book at 3pm today.,0.3233
83,i am hoping Monday is good day for NFLx . but need to wait until 12.05pm . you will see big change at 12.50pm. and stock will hit atleast $ 433,0.6737
84,I think this is a great time to buy,0.7076
85,Time to buy...WSTIstrong buy now,0.1738
86,why do big companies announce earnings after hours?,0.4404
87,just added to position ;,0.2976
88,"NFLX puts the ""P"" in parabolic. This stock has not taken a breath since $185. I think it is funds who are buying to fill out positions. They know the stock will drop but are long term. This has got to be a short here.",0.169
89,Head & Shoulders pattern just formed in the three months chart.,0.0018
90,Small Fortunes are being made on this stock today (by being Long).,0.3887
91,every one who bought last and this week will sell after earnings.. 400 then sell to 300 again,0.2422
92,I called it 360 but went higher. The banks are really opening there wallets. Big blocks buys. Tomorrow another beautiful day. 380.00 easy,0.9131
93,"OMG, The sky is falling!!!",0.4259
94,"Netflixx to buy Viacom/CBS Netflix Should Buy ViacomCBS | About: ViacomCBS Inc. (VIAC), VIACA, NFLX, VIA, VIAB, Includes: AAPL, AMZN, BRK.A, BRK.B, DIS, FB, GOOG, GOOGL, TJune 2. 2020Paul Franke Paul FrankeContrarian, long/short equity, momentum, Deep Value(6,000 followers)SummaryThe Netflix business model is under competitive attack and risks becoming the next America Online boom/bust example of a changing technology landscape.Without free cash flow and a much larger library of media content, Netflix cannot win the coming streaming wars.Only a bold and masterful move by management to acquire a company like ViacomCBS will keep the Netflix stock quote around present levels.The Viacom-CBS business combination is almost complete and could be a long-term buy regardless of any Netflix moves.Netflix (NFLX) is in big trouble without a grand stroke of genius by management in coming months. I propose the company fix its two biggest competitive problems - the lack of both owned content and free cash generation - before it’s too late. Netflix’s middleman streaming business model between customers and media content assets will not cut it anymore. By acquiring the new ViacomCBS combined media enterprise as soon as possible, Netflix can turn lemons into lemonade. Purchasing a huge library of entertainment assets to broadcast over the internet, while immediately adding $3-5 billion in cash flow and earnings generation each year, would put the embattled Netflix stock quote back on track.Management at Netflix is rapidly coming to realize a stand-pat operating model of paying billions annually to create/rent streaming content, while its high subscription selling price per month is coming under attack by new competition, is a lose-lose proposition going into 2020. The only way forward is to make a bold move, specifically a transformative merger with an important media content owner.Sumner Redstone and his National Amusement entity hold about 79% voting control of the soon-to-be-merged CBS Corporation (CBS, CBS.A) and Viacom Inc. (VIAB, VIA). I think an all-stock Netflix deal to buy out ViacomCBS in late 2019 or early 2020 would be an ideal ending statement for his long career in entertainment ownership and production. Who wouldn’t want to become one of the largest shareholders in a reinvigorated, high-growth return Netflix? After subpar investment gains from his companies for several decades versus the media industry, a sellout to Netflix may prove to be his grandest and smartest achievement. Sometimes, the simplest answer is the best answer. Netflix’s board and management only have to negotiate with the Redstone family to work out a price.Below are graphs of some of the television/film content ViacomCBS owns.Source: CBS and Viacom Investor SlideshowDuring 2016, I outlined the argument on Seeking Alpha for Disney (DIS) to acquire Netflix when its quote was around $120 a share. The merger would have allowed Disney to quickly enter and basically control the world of streaming video/entertainment content all over the world. Apparently, Disney’s CEO, Bob Iger, did not like the steep entry fee back then, around $50 billion to buy out the premier global streaming company. Of course, feeling left behind a few years later, Mr. Iger decided to purchase $70 billion in Fox content assets, and will likely spend tens of billions more building out Disney’s streaming service about to begin in November.Now the big boys are all coming to play in Netflix’s backyard. Everyone is entering the streaming business and spending billions to become even bigger players. Disney+, Google’s Alphabet (GOOG, GOOGL) and YouTube, Apple (AAPL) TV, Amazon (AMZN) Prime, Facebook (FB) and AT&T (T) Time Warner have all announced media content investments or new spending sprees in the tens of billions to roll out greater streaming options for consumers globally. The competitive environment for Netflix could easily turn it into the America Online situation of the 1990s tech bubble peak. Basically, AOL grew at an astounding clip to become the largest and only truly functioning Microsoft Windows (MSFT)-compatible online access company for U.S. consumers between 1993 and 1999. Then, competition and a changing Internet access landscape showed up and ran AOL into the ground. Could Netflix suffer the same fate? I have openly wondered about Netflix’s business fortunes past 2019, and have been short the stock off and on this year.Netflix is Expensive, ViacomCBS is CheapThe argument for an all-stock deal, where Netflix just mints new shares to hand out to Sumner (and a few others) for ownership of ViacomCBS, is compelling right now. CBS and Viacom are late to the game in streaming, planning to spend future cash flow and earnings to catch up. Why not join forces with the world’s largest streaming service, filling your business model void overnight, while helping Netflix to plug its major gaps? Talk about a win-w",0.9988
95,"Oh boy, margin calls kick in on Monday.",0.2111
96,CLASSIC shakedown,-0.5297
97,am hoping that nflx will beat ER bcz targets are lower this time,0.6737
98,The hits keep on coming! The best value in entertainment by a mile.https://www.youtube.com/watch?v=Fo3yRLLrXQA,0.882
99,The 7 Best Robinhood Stocks To Buy Right Now Check out https://youtu.be/CH81M3zF_9c,0.765
100,Here we go.... Nice Beat!,0.5908
101,Keep holding!!! Been holding since 240$,0.7723
102,The higher it goes the larger it will fall. Worth no more than 30 bucks with disney coming on. Massive Balloon waiting to burst.,-0.2445
103,Good news leaking out. People want IN!,0.5723
104,Need more Susan Rice,0.2377
105,Movement this morning is identical to how it was in the first 3 minutes of trading yesterday. We all know how that ended by the end of the day. Don't get too excited.,-0.1295
106,lucky I not sell it thus morning,0.5037
107,"*Warning to shareholders* There is a huge boycott campaign starting against Netflix, thousands have already cancelled today, check evidence on Twitter, FacebookLong term prospects are not good, the subscription base is cratering and this company is burning cash.You've been warned",0.7135
108,#FB #AMZN #BABA #NFLX.. Enough said!! Long and solid!  Tomorrow will be a great day!,0.8719
109,Very good news. Netflix is hiring Colin Kaepernick .He will be paid 25 mln and will be a member of the board with Susan Rice..I am buying in the morning,0.7075
110,"I applaud those who bought calls and/or stock ahead of earnings. I played it somewhat safe and deployed a $525/$540 call spread. So my upside is capped at $540. Still, it was minimal risk for what will be a nice return tomorrow.",0.9179
111,"was there for the break through 100, then 200, then 300, now 337 will stay there as it breaks through 500 and beyond.",-0.2166
112,"$375,00 $385.00 Good Luck Netflix FAMILY!!!!!!!!!!!!",0.7946
113,Tomorrow easy $40.00 pop. This going to run so fast up that the banks aren’t going to have time to get in at a low price. Buy early I LOVE NETFLIX,0.8851
114,kiss green,0.4511
115,Could see 375 before earnings... buy buy buy run it up...,0.5418
116,wow...today's gain alone almost equals all of 2017 revenues. Complete insanity---,0.1575
117,breaking: J.P. Morgan reiterates Overweight and price target of $535 on Netflix amid stable trendshttps://seekingalpha.com/news/3582065-j-p-morgan-reiterates-overweight-on-netflix-amid-stable-trends?utm_medium=email&utm_source=seeking_alpha&mail_subject=nflx-j-p-morgan-reiterates-overweight-on-netflix-amid-stable-trends&utm_campaign=rta-stock-news&utm_content=link-3,-0.0427
118,"What can happen to stock in weeks, look at $TSLA. It traded 365 on Monday and now 300. Only difference between Tesla and Netflix is, it pumped by CEO v/s Analyst. 5000/month which consider impossible 3 month Ago, Elon make it happen (Even while temporary) yet stock gone down 20% with sell on News.If anyone think this stock can't go 350, They will soon learn very expensive lessons.",0.7215
119,wild.to is the next netflix. buy now while its still penny,0.4283
120,Who anas hurts?,-0.4514
121,Classic pump of an overpriced stock! Who knows when it will stop.,-0.2886
122,"I say again: NFLX is the only game in town right now/ TSLA needs pause; BYND for next week ER, so AMZN/GOOGL/AAPL/....Target $650 if this bull market keeps chugging up!",0.7023
123,400 next month.,0.0337
124,I think I might drink a 40 of vodka before the market opens tomorrow. Things usually don’t hurt as bad when you’re hammered.,-0.7342
125,"NBC Universal, which owns the rights to The Office, is pulling the popular sitcom from Netflix in favor of its own SVOD service, Peacock, due to launch next year. AT&T (T) - Get Report WarnerMedia-owned Friends is also leaving Netflix soon, and will instead run on HBO Max. Both programs will disappear from Netflix at the end of next year.",0.8848
126,I bet those shorted amzn is shorting Netflix now . .,0.2512
127,"If you compare $NFLX and $AMZN against $GOOGL, $NVDA, $FB then you will realize how smart move this is.$GOOGL, $NVDA and $FB all about same growth rate. Only thing different is those generate lot of profit v/s $AMZN and $NFLX actually have negative cash flow. $FB and $GOOGL actually trading discounted Forward PE just 2 year out than S&P 500 overall.So why NFLX keep going all time high vs other not.two reason.1.> NFLX and AMZN ceo/management active pumping stock price. Other are not. Something that fan club love.2.> Big player know it's way inflated. They love it. They pushing trend follower to these two and other such stocks. While reduce them from quality companies. They are very successful I think.So what might happen next.We don't know when this happen, it all depend on how strong retail interest remain and how much further Margin /debt used by retail investors, What is limit before big player exit long position and what is limit when they dump everything & go actually short. But my prediction this will happen. AMZN and GOOGL right now have $425 difference. I think in year or so this likely <$200, Could be negative.Same with NFLX, it likely trade lower than $NVDA (Also might $FB) in year out. If you can handle temporary paper loss.I recomend go long on $GOOGL & $FB, $NVDAGo short on $AMZN and $NFLX. I think you will not regret strategy year out. You likely profit limited to 10%-15% but again risk is limited.",0.9547
128,"What a great stock, Netflix payed my mortgage for a few years now. Keep it going Netflix!",0.8177
129,What I can say is: WOW,0.7023
130,Nice and green today!,0.5646
131,Shorts mist be ecstatic as they get to short at higher and higher prices!,0.5521
132,NFLX will reach $ 275 by this Friday! Do not miss this buying opportunity.,0.6376
133,"Of any option out here, I feel more comfortable shorting nflx. Even Cramer said it was overbought. Brake downs past few days signal something real bad is gonna happen soon. In fact the pump news cycle confirms this. They are desperate to get some room to get out above 260",0.5627
134,"400 soon !! All shorties, thanks for your purchase to push share price much higher.",0.8179
135,Tomorrow it’s looking really good. I’m telling you all it’s going to get better from here on out. There is no reason to be back 400.00 plus by the end of the month. I love Netflix and loves me back,0.9516
136,Why this stock is going down? With strong subscriber growth? Yes Disney is coming with the streaming however it shouldn’t affect that much. Netflix is time to rise!!,0.8676
137,"if stays above 364, then there will be hope for coming back.",0.695
138,GREAT year ... NFLX up 67.11 %....,0.7635
139,"Sell Netflix, Buy Viacom CBS!!",0.3352
140,NFLX buying AMC..? Interesting news especially with shorts stretched at over 60% short on AMC..((((((((( BOOM ))))))))),0.6086
141,"India's annual income per person is about $620, half of that of South Africaranked at about 100th among 130 countriesso the number is misleadingeverything is dirty cheap therenot too much money can be made there",0.0098
142,"dont listen to cramer ...listen to ur research,,,:-)",0.3982
143,295 today?,0.0783
144,"Disney planning big, will be in every country. Baba going big too, will be international",0.4378
145,$400 by mid day tomorrow,0.0464
146,nobody disputes the fact that Netflix is a great company with great service globally. The problem is that it needs to be trading at a reasonable value of 25 to 30 times eaenings which is about $100 per share. Apple is a great global company and it trades at a PE of 19. That's all..,0.9528
147, bears,0.0
148,I’m wondering if I should sell some of my $NFLX shares and buy more IQ. Thoughts?,0.6034
149,it'll get US$400 before friday! :D,0.6935
150,Get in now why red... this will be green eod and fly 5% by eod tomorrow,0.2139
151,Why is she down,0.0248
152,remember the short sellers and haters at 325. Lol it went back up to 386. I see a recovery before earnings next week and if they meet earnings and subscriber numbers it will hit new highs,-0.0748
153,With shortage of vaccines-netflix will continue to climb world wide.,-0.0296
154,7 min to open.... Let the game start.,0.1002
155,BUY NOW! Thank me next week.,0.7186
156,"Furthermore, Loop Capital analyst Rob Sanderson pointed out that Netflix could be close to free cash-flow positive this year due to the massive industry-wide production halts due to the COVID-19 outbreak.“Given the industry production shutdown, we estimate NFLX will spend $2.5B less this year, and be close to free cash flow positive. With the largest library and the entire industry shut down, we think NFLX will spend less while expanding its competitive edge,” Sanderson said in a note April 17.",0.9392
157,can we make 360 next hour?,0.1314
158,"Extremely high PE...bubble waiting to pop. Mounting competition with better access to capital. $NFLX will be priced out of the market by competitors. I bought long $290 puts, free money.",0.8746
159,"Could you please tell me where are the shorts? Oh wait they are hiding. Well, let them stay in their caves lol",0.7503
160,Open price tomorrow?$335+,0.009
161,This is a repeat of year 2000 dot com bubble,-0.0365
162,"Netflix will have a blowout earnings report, should be around 440 after that.",0.2858
163,Well what did ppl expect?! It was trading above avg target already...,0.7784
164,Good job NFLX. Worst market fall and you closed green. Hope markets recover tomorrow. 285 easy this week.,0.3414
165,500 steady in few weeks,0.5203
166,I wonder if this could recover to 370 today,0.1121
167,nothing like a buying discount,0.6832
168,"Once millenials start to learn how to use a COMPUTER, not an iphone, they will learn that ALL of this content can be downloaded for FREE Lol",0.8443
169,"Notice no front page Yahoo articles bragging about Netflix and Cramer never even went there, another concern",-0.0356
170,1/24/18- Netflix stock price target raised to $330 at BTIG,0.1856
171,I heard NFLX is gonna introduce infant twerking......Biden loves this stuff,0.7547
172,Big reversal pre market...from up 3 to down 1. Yikes,0.1319
173,300 was actually a bullish call. Everyone and his mother knows this thing is going down much farther than 300.,0.287
174,Does EPS mean anything these days?,0.0993
175,This countries in TROUBLE?????????????,-0.2559
176,back to $450 folks,0.0529
177,IQ the better deal.Like Netflix from 5 years ago.,0.4795
178,Last chance to get on the train!,0.4046
179,Just stopped in to point and laugh at the numerous shorts that claimed it was dropping to $250,0.5104
180,easy money just bought 530 shares. earnings will be great and up. Ty for the discount.,0.928
181,just finished watching season 2 of Ozark. Great series. if NFLX continues to make content like this no reason why the stock can't rise to 400.,0.7705
182,NFLX going higher and buying AMRN rocket Upside,0.7603
183,BUY BUY BUY BUY,0.4734
184,Closing 375!!,-0.3786
185,needs a BIG week next week,0.3532
186,"Reality is there’s only a handful of super market caps growth stocks that the biggest institutional investors can buy. NFLX has crossed that threshold at 200bn mkt cap - after a pause, it will move to 300bn cap (particularly with CV lurking around) simply bc there’s no competitor in this space except AMZN which everyone owns. Trade on mkt cap not on daily price.",-0.3523
187,I like Roku very much but seems like buying it @ $95 is like buying $NFLX @ $420... I'll just sit on the sidelines and wait.,0.9447
188,"From seeking alpha: ""all this cr*p about the prior product from a start-up, not the commercialized product - the outcome of that spending - $EOSE currently has.Did you know that the initial products from many start-ups aren't perfect? I mean, $nflx used to MAIL DVDs. Crazy, right?This short report is laughable . And this ice berg #$%$ firm will get sued to pieces.""",-0.4323
189,"Earnings run coming this week, might hit 440!",0.4616
190,"Lovely discount - panic sell, back up tomorrow :) thanks guys",0.8489
191,Going to 50 - 70,-0.0046
192,Wonder what Baldy Jim Cramer will have to say about his least favorite FANG stock tonight!,0.6651
193,Trading used to be such a frustrating experience for me. The losses mounted up until I discovered the winning service over at (http://Thetraderguide.com) check them out today.,0.1602
194,Shotr NFLX now.,0.0264
195,Dow future up 400 + today no one can stop Netflix to fly $600 + Dow close today 1500 + point just wait,0.2765
196,I believe the stock will pop up nice after the report to (let some people out) and then sell off. It looks like it is set up for that.,0.8876
197,$AMZN $AMC $NFLX ,0.0
198,a stock that missed top and bottom is buy or selllll?,0.0274
199,A new hit series or lack of one is the difference between beating or missing subscriber guidance. The Witcher should provide Netflix with a big beat this Tuesday.,-0.568
200,I am short from 290 levels will I ever see this price,-0.4143
201,‘Big Bang Theory’ Co-Creator Bill Prady Inks Netflix First-Look Dealhttps://variety.com/2020/tv/news/big-bang-theory-co-creator-bill-prady-netflix-first-look-deal-1203469448/,0.1899
202,NFLX: show us green today...we deserve it.,0.185
203,"37 million new subscribers to end the year. Shares up by 48% over the past 12 months, that led to its revenue rising to $25 billion. The No. 1 streaming service company definitely not slowing down.And because of the pandemic, we saw a big shift to streaming, making an opportunity for growth and a more healthy and intensified competition between other streaming giants. https://zyne.com/stock/NFLX",0.9298
204,"Netflix Has 'Insurmountable' Lead: Credit Suisse UBS just downgraded the Netflix Still, he raised his price target for Netflix to $425 a share. Its international revenues have increased at a CAGR (compound annual growth rate) of 14.2% in the last five quarters. The company’s domestic CAGR in the same period stood at 5.5%, which indicates that the company’s international growth is outpacing its domestic revenue growth. Netflix’s Domestic Revenue Segment: Double-Digit Growth",0.9608
205,290 by Friday.,0.0812
206,just thinking about - what if they had beat on subscriber count? It would have been over 450 today. Cord-cutting is real..Netflix will be the big player no matter what,0.3701
207,thank you short.,-0.0916
208,"Assuming Netflix makes a whopping $10 per share in earnings when it reaches its growth plateau in 5 years and at that time trades at a PE which is close to that of Apple's PE which is at 19. Then it will be only worth $190 per share. So, I ask myself, do I buy a stock at $330 today when it will be worth $190 in 5 years, or do I short it at $330 and buy it back at $190?? Invest wisely, not emotionally...",0.9529
209,lets see on friday its gonna be a rocket,0.4449
210,Might end green today lol !!!,0.6365
211,I can't imagine anyone buying this stock at this price.,0.0253
212,I'm using my ( SOLD & SHORTED @ $380 )Profits to go Long on NIO. The Chinese Tesla,0.6283
213,"The hits just keep on coming, Amy Adams Thriller ‘The Woman in the Window’ Heading to Netflix from Disney-Foxhttps://collider.com/amy-adams-the-woman-in-the-window-netflix/",0.4678
214,Look at the 6 month chart. Similar drop offs from March 9th thru April 2nd and April 17th thru April 25th. Bounced back with a vengeance.,0.2083
215,Daytraders: placing a trailing stop on this stock what is the magic number in order to protect your gains ? Just bought 300 shares but I think it is high and it may retrace. Market is very volatile,0.6741
216,so .any upgrades coming soon dont sell this is 600 dollar stock,0.3648
217,You put Obama on Netflix and I’ll cancel my subscription and never watch Netflix again.,0.0497
218,"Just because I finally bought Netflix streaming, doesn't mean the price should be up 12%",0.2933
219,Wow.. good thing i only own 10 shares,0.7222
220,Two things I know about the short game:1) you have to absolutely unequivocally believe in what you are doing and stick with it2) have the resources to weather the storm.I’m short this stock and I’m going nowhere,-0.4665
221,"You can no longer invest or trade Netflix, it's just gambling.",0.2181
222,Too the moon,0.1373
223,"Just follow the analysts who pump NFLX - they were never wrong... ever. They have it all figured out in their spreadsheets so while Netflix is burning $2 billion per year, the spreadsheets guarantee a huge return!",0.8086
224,"I like your passion man/girl, whatever.",0.7026
225,"MSFT much safer, little competition, next high flyer, the cloud will increase this business and stock over 50%. Little or no downside. FB still getting high growth. GOOG and AAPL also safe . Tesla, I would not touch.",0.8884
226,This could be the next $NFLX,0.0028
227,Two more PT upgrades today. Total of 6 since yesterday,0.021
228,The road to $400 begins with one green day.,0.2697
229,Nice- sold right into the close.,0.3386
230,Below 525 by Friday,-0.1328
231,"I do not post often, first of all. anyone posting Netflix is not a buy, has obviously shorted the stock. Netflix is a Buy, unless you woke up and thought the sky is falling.",0.7893
232,Would be very nice if Netflix continues this momentum today. If it continues to outpace the market it will hit green quicker,0.4045
233,"DIS is a strong and powerful company, but NFLX also.....NFLX could easily cut from 5 to 2 users for a single subscription......And push new subscribers to 300 millions.....",0.6281
234,So is subscribers really going to be this good to justify 120x earnings?,0.4053
235,$NFLX is up big right here.. what I am doing is taking profits... i am diversifying my funds into more lucrative small cap opportunities.... my #1 trade idea right now is.... https://www.tradingview.com/chart/ANFI/sKmH2SoX-ANFI-is-back-in-the-buy-zone-How-high-will-this-low-float-go/,0.2138
236,"The reason NFLX is worth much less (circa 40) is that Video is FREE .. think all the amazing free stuff on Youtube including university lectures!!!!. From X to Triple XXX, Sports, Movies on Prime (for those who want free PRIME shipping"", ETC. Netflix worth no more than $20 to $40. Even GE is a million times a better investment than NFLX.",0.986
237,"Are DLPN, CIDM and NETFLIX all related?? I heard DLPN is working with NETFLIX and CIDM might partner with DLPN??",0.6585
238,"Too much politics in their content. My entire family got off of it, so have my friends and I’m up next this weekend once my pc is set up",0.8381
239,Bridgerton is top of the top....Should bring some subscriber with Queen's Gambit big hit.....Strong buy,0.4306
240,Don't chase this. It's over until it drops. Better pricing in 5 days.,0.2291
241,What’s your opinion on next week price? Up or down?,0.1614
242,"Well I usually don't return for a victory lap, but I'll make an exception here. The analysts were falling all over themselves with upgrades and gushing over the price increase, and everything was baked into the stock. Except the earnings are mixed, meaning not good enough.",0.6716
243,"Anyone here remember when NFLX was twice Disney, now look  Disney is twice NFLX. See what happens when you have a CEO who is a far left LIBTARD",0.2977
244,What will happen to the shorts tomorrow?,0.0112
245,"Disney For Investors, Netflix For Speculators https://seekingalpha.com/article/4272985?source=ansh $DIS, $NFLX",-0.0042
246,Anybody holding lithium here (LAC)?,0.3433
