,Recent headlines and conversations for CI,Polarity
47,"Next resistance level is a long way off RESISTANCE ABOVE +7.6% at 179.8 ± 1.98 type double, strength 4 +11.2% at 185.8 ± 2.04 type double, strength 10 +15.4% at 192.7 ± 2.12 type double, strength 4",0.9701
48,"Healthcare stocks went up due to victory of Biden but I think Biden may have physical ability, memory and lack of energy. As time goes by you can see that Democrat Party will soon find another one to replace him before the Presidential election. That’s what I see.",0.9309
49,Dead money. Amazon here to stay,-0.5765
50,Big gainer today WOW !,0.8698
51,"fear too much, added more",-0.4606
52,"Thanks to all the sellers, I bought lot more than my original holdings, this kind of sell off happens only in US. Markets are rigged to the core. CI will see at least $170 soon. Sentiment: Strong Buy",0.7712
53,I love my company. Easy rise to $245 by Q2 end,0.8028
54,Riding the wave to $245 before Biden’s take over in house.,-0.5694
55,There should be no pullback today since earnings fromTSLA MSFT FB AAPL BA after hours and AMZN tomorrow. Check on dead stocks rebound due to coronavirus like DB CCL MGM DAL UAL....,0.2473
56,"Does Cigna know that two of its directors sit on the six-member U.S. Postal Service Board of Governors? Does it know that they are helping Trump to impede voting by mail as a means to steal the 2020 presidential election? Does the company understand the risk that this poses to its reputation? Is it time for investors to sell, for consumers to switch?",-0.6852
57,Beat!!,0.3387
58,"MCO HAVE MORE THAN DOUBLED SINCE 2015CVS HAS ""HALVED""",0.1292
59,Time for a bounce?,0.0497
60,"Just trying to analyze, any thoughts on how the new drug price executive order (if hoes in to effect) can impact health insurance providers?",0.7126
61,"i hope the crooks get cancer, that's all I can say",-0.3485
62,Chewy- Healthcare moving up this week in tandem I’m feeling better about Cigna’s chances of popping on earnings ( one direction or the other lol ),0.9383
63,CI Slowly going back up as expected.,0.0254
64,I am in. This is no brainer.,-0.1839
65,"just bought 1,000 shares. Hopefully, it reaches all times highs by earning date.",0.6686
66,"a while back cramer said at 176 it was a steal to buy,,,,interesting how thats the top",0.1203
67,Like I said . I’ve turned very bearish .,-0.4962
68,Almost a $20 price swing between the morning low ( dumping on news ) and the afternoon recovery . Wow .,0.5424
69,"hmmmmmmmmm at 186 cramer said this was an absolute buy,,,so why is he recommending stocks when they say he does not....well its still down 9 since his big buy rating",0.7194
70,POS,0.0
71,Cigna is an evil company and evil companies always go down. Always.,-0.8737
72,HEY LENNYdaDRIPCHIT-LOSER---check out how CI responded to the FACT that TRUMP CLEARED THE PBMSCI UP $5.00#$%$LOSER cvS/HIT is up 18 centsand WBA is UP .47hey CHITBOY- you are the posterchild of LOSER,0.6617
73,"Critical time, but I have to step in when CI is in red.",-0.5785
74,Bill Clinton calls Obamacare 'the craziest thing in the world'. Does this help Cigna and other health care providers?,0.7946
75,"Did they say 67 ""million"" or ""billion""? Is that a typo?",-0.1018
76,"This stock can’t catch a break, good news just sends it down",0.4103
77,"Now I have to believe that the market makers can move the mountain. They move CI over 5 points with only 600,000 shares.",0.5215
78,Cigna is up 9.93% to 208.04,0.1818
79,this stock going up today too,0.4653
80,This has become the laggard among the hmo stocksJust not today but every day. It’s down more on down days and up much less on up daysDoes Cigna only insure old people ? And ANTM only insure young people ?,0.7322
81,CI is down 4.90% to $183.82,-0.2462
82,Next catalyst is the late July ER . I can’t think of any reason why it won’t be a tremendously positive report .,0.8265
83,Generally agree on the health care sector—but take a look at the growth of UNH & especially Humana since last quarter —-Humana sp has crushed it about +25%. There’s no reason in my mind CIGNA can’t do the same. IMO CIGNA’s PBM side (Evernorth) has the best clinical products to contain client cost than any other. Barring an unforeseen Black Swan event (which is saying a lot these days) I would not be surprised to see 260’s by 3Q,0.9242
84,in a divided govt ( assuming republican at least retains senate) Healthcare is status quo no matter who is president. Very bullish for managed care cos that can keep jacking prices.,0.5069
85,sell the rally,-0.0378
86,"Value stock like CI is hard to find, low PE only 9, revenue growth is over 60% and 18% next year, earnings this quarter will be higher than last year more than 30%. I think it is the best value stock at this moment.",0.9491
87,My goodness this company is complete garbage.,0.3365
88,Seem like someone is buyiny up in the last few minutes with big vol.,0.7711
89,$CI Maintains BMO Capital Markets Outperform USD 300 » USD 315 Target Raised by Mizuho Securities Buy USD 264 » USD 290,-0.4023
90,CI holding up well,0.6611
91,"don't look good , CI get stuck",-0.4884
92,"IMO, nearing the bottom of the recent trading range",0.0664
93,Democratic win might affect these companies that offer private health insurance,0.7231
94,$16.09 a share is what a $6B sale to New York Life will contribute to cash to pay down debt / buy back shares as Cigna has indicated it wants to do,0.5343
95,A down day today will be it for me.,-0.1867
96,"I just buy a truck load of CI because I think MEDICAL FOR ALL is the BS that will not happen in the next 4 years. CI will report earnings Feb 6, the whisper number is very impressive. PE is around 11, so I think it is so cheap.",0.9551
97,Is it a bargain below 190?,-0.0004
98,I think we end this week at $209-$211 let’s see if I’m spot on or full of wishful thinking,0.4795
99,Curiously in the market recovery today Cigna was the strongest gainer out of the big 3 I follow which also includes UNH and HUM .,0.8385
100,Another new high !,0.4205
101,Cigna is down 4.94% to 169.48,-0.2462
102,Bernie does it again!!,0.1873
103,Warren and Bernie are out there to destroy America.,-0.2621
104,"TRAIN IS LEAVING FROM THE STATION. IF ANYBODY DOES NOT CATCH THIS RIDE, WILL BE SORRY. IT IS A GOOD RISK OFF BET FOR THIS MONTH. ALL THE BIG BOYS GAING UP THE HEALTH CARE SECTOR AND MAKE TONS OF MONEY.",0.915
105,#$%$?!? Where is the bottom on this thing? Down $700 mln in mkt cap just today ? let alone the billions since announcement.,-0.788
106,"MOH was up 8+ points, HUM is up 18+ points this morning. I hope CI will move up over 180 by tomorrow morning.",0.7173
107,"whats funny is Cranmer said on CNBC that at 176+ it was a BUY all the way,,,himmmm 169 now",0.7717
108,"Horrid company, horrid investment horrid management. Someone needs to be in a prison. They are in every way a pathetic joke.",-0.9185
109,Today kind of tells me that political uncertainty is in fact holding this stock back . Some profit taking is to be expected but today is substantial given the recent ER .,0.8873
110,@cigna is forcing its customers to go through via Delarosa when they file claims hoping they will eventually gI’ve up. I had several conversations with representatives and they told me it’s the policy of the company. No wonder @cigna is one of most hated companies both by customers and employees and that means that it’s doomed. This is Comcast all over again.,-0.7401
111,Down &30.00 a share in a couple of weeks. Wish I had my Express Scripts shares back. This company is GARBAGE !!!!!!!,0.6785
112,Cigna is up 6.04% to 174.19,0.1818
113,Do I hear $190-$195 this week ?,0.2302
114,"only Gods in this stock market are the FANG and Tesla, everything else is dog$hit. Its simple as that. Every day value stocks lose more value.",0.5372
115,"bounce into the end of the week, $170 at least",-0.0436
116,Strong sell,0.5534
117,"Why don't nobody makes a move on CI. Is it not cheap enough or still too early.? I don't wait, I buy now.",0.3239
118,CI is expensive. check IMUX breaking big after upgrade by analyst,0.0982
119,Going to go high tomorrow,0.2348
120,CI should buy Fitbit.,0.1905
121,"lol, this #$%$ will never get thru congress....just more grandstanding and option exp and end of month",0.7202
122,it's on the jump area,0.1802
123,somebody of some stature needs to come in and say yea we just bought 1mil shares at $165.,0.539
124,going up to 220 soon,0.1829
125,Some serious day trading going on here today.,0.2133
126,"When the $165 support level holds, uptrend movement will start later today or tomorrow.",0.8307
127,"CIGNA EARNINGS WERE UP 11%, NOT THE FAKE RESULTS POSTED!! CORDANI AND HIS EXECS TOOK OUT HUGE SHORT POSITIONS LAST WEEK, NOT REALIZING THAT BARRON'S WAS GOING TO PUBLISH AN ARTICLE SAYING CIGNA WAS WORTH 156 A SHARE AND 4 ANALYSTS UPGRADES CAUSED A WAVE OF BUYING PRESSURE ON CIGNA AND ALL THE HEALTHCARE STOCKS. BY THE WAY, J.P.MORGAN 'S TOP ANALYSTS SAYS BUY THESE HEALTHCARE STOCKS AND SELL CONSUMER STAPLES. ANYWAYS CIGNA HIT 148.99 A SHARE LAST WEEK, AND CORDANI PANICKED, BECAUSE HE HAD MILLIONS OF DOLLARS OF LOSSES ALONG WITH OTHER EXECS, SO THE DID EVERYTHING IN THEIR POWER TO CAUSE CIGNA TO FALL, LIKE WE ARE GOING TO BACK OUT OF ANTHEM MERGER, PAY 1.2 BILLION FINE, INSTEAD OF COLLECT 1.8 BILLION IN CASH FROM ANTHEM. NO CEO DOES THIS! NONE. THEN HE SAYS WE ARE GOING INTO CHICAGO WHERE ALL OUR COMPETITOR'S ARE PULLING OUT OF... TO SELL POLICIES THAT WILL LOSE MONEY. THEN TODAY ANNOUNCED FAKE EARNINGS, CIGNA IS A STROING BUY , AND ANTM KNOWS THEY WOULD BE A GREAT FIT. WE JUST NEED TO OUST CORDANI AFTER SELLING CIGNA OUT. WHERE'S THE HUGE STOCK BUYBACK FROM CIGNA, WHY DOESNT CIGNA RAISE THEIR DIVIDEND TO SOMETHING RESPECTABLE. THIS COMPANY HAS SALES OF 35 BILLION A YEAR . THIS IS A GIFT TO BUY CIGNA AT THESE PRICES.ANTM WILL PREVAIL IN LAWSUIT",0.9917
128,I’m looking at jumping in on CI. After some research I can’t tell What is bringing the stock price down. Any insight?,0.2862
129,"Shame on Cigna management. You don’t invite the devil in, no excuse https://www.google.com/amp/s/www.benefitspro.com/2020/04/07/the-amazon-trap/%3famp=1",-0.792
130,terrible that this is even in a big green day. Value is so dead right now its not even funny. Average target is over $200 and this couldn't stay above $180 to save its life.,0.2033
131,https://www.cigna.com/about-us/newsroom/news-and-views/press-releases/2020/new-york-life-completes-acquisition-of-cignas-group-life-and-disability-insurance-business,0.0
132,Support seen at $140's...,0.3967
133,Yea !!! Cleaned up this morning with $187.50 calls !!,0.5664
134,its hanging around flatline in a down day... just waiting for a value rally,-0.1985
135,"I think CI should be the winner after Medical For All dried down since last Dem. debate. The revenue is up this year over 70% because of ESPX. Bottom line is over 30%, and high teens next year. I can't not believe that CI still not fly even PE is around only 9.",0.7967
136,"Any clues why CI's stock went down, rather than up? The earnings call is nothing but positive, nothing about it that shouldn't send the stock way up. Their short interest was 1.44%, not particularly high. What's going on with the constant downward pressure on a stock that could be > 200 with all that's going on in that company?",0.9291
137,Just read a piece on the general lack of movement post earnings for many stocks in this earnings season due to numbers being all over the place . Hopefully we get the pop I have expected with Cigna - I have no doubt at all it’ll be a great quarter with excellent guidance . It’s under priced assuming the  doesn’t switch to Medicare for all in 2021 .,0.8386
138,Whats going on?,0.0273
139,CI reached a 52 Week high at 218.99,0.3561
140,"Here we go again, up to high to 169 and change coming, I'll feel slightly optimistic then it will return to 165",0.5687
141,Change the bloody name from OSCAR to something more appealing,-0.2423
142,"@TJ— Spring is in the air, with a coating of green pollen so thick when you hit it with the leaf blower it looks like a green sandstorm",0.4995
143,Bernie is !,0.0
144,CI should have the great quarter but I don't know that CI will have the same pattern like UNH or not. UNH beats both top and bottom line but going down.,0.5706
145,"If Bernie stays on this dumb ""Medicare for All"" track, he's going to make it more easy for Trump to be re-elected. Ha Ha. What a clown this Bernie is. Can't be stupider than this Bernie nut.",0.7519
146,Like watching paint dry today . This will move big when the market moves big . That’s pretty much where we are at .,0.743
147,CI is fundamentally cheap. I am a big bull on this name. This is one of just a handful of stocks out there right now that trade on fundamentals. I believe this company will continue its rise over the long haul.,0.9277
148,Cigna reached a 52 Week high at 227.25,0.3561
149,Kinda excited :),0.6597
150,This is so crazy to me. This is reacting as if Medicare for all has an 80 percent chance of happening. 1 percent chance this happens.,0.4519
151,https://finance.yahoo.com/news/cigna-1q-earnings-snapshot-101337369.html,0.0
152,the merger won't approved.,-0.3614
153,"someone selling puts to buy calls, bullish spread...just saw the news. Buying out to July",0.7046
154,big buy,0.2442
155,CI is up 4.97% to $186.85,0.1818
156,Hard not to buy below $200,-0.1391
157,Trading view shows after hours up 10 and yahoo shows down 5 ?,0.1117
158,locked in a bit of profit today... CS price target remains 260 but not sure if thats too optimistic,0.8665
159,can we close above 172 today? dollar a day for the next week wouldn't be to bad,0.6531
160,should be down 5% or so by morning,-0.1541
161,Where is the insider buying?,0.3758
162,Another awesome day !My favorite trading stock strikes again !,0.8359
163,"Well, then!",0.309
164,F Cigna. Woke gonna wild #$%$,0.0275
165,Great time to start or add to position,0.7866
166,Hello is anyone out there?,0.2625
167,"After Cordani tanked the Anthem deal, I didn't think he could take the company down any lower. Boy, was I wrong! Boy wonder turns to Boy Blunder......",-0.235
168,170 come on,0.0541
169,Today marks the third time I’ve caught a big run up on a Friday - big dollars  all three times I’ve missed a few other run ups on Mondays tho,0.5599
170,Just when it looked safe to dip your toes .....,0.6592
171,Lol @ the joke of a dividend,0.6638
172,CI is up 5.28% to 218.87,0.1818
173,only a day like 7-11 clean up this mess,0.6269
174,Why does this stock even have a divy? Too funny that a stock that trades over $100 has a few penny divy.,0.8967
175,This deal is not going to go through.,0.1568
176,"From Credit Suisse..........4Q a Penny Ahead of Cons: 4Q18 adjusted EPS of $2.46 came in a pennyahead of consensus. With the company now switching to a new segmentreporting structure, the company’s 4Q18 earnings and guidance foroperational metrics are not necessarily comparable to our estimates andconsensus. 4Q18 revenues (excluding the impact of transitioning clients)grew 29.3% Y/Y to $13.75 bln, reflecting a partial contribution from the ESRXdeal. Integrated Medical segment MLR at 80.9% improved 260 bps Y/Y.Integrated Medical EBIT was up 24% Y/Y to $643 mln. DCPs in IntegratedMedical were 40.7 days, down 2.9 days sequentially, and up 0.6 days Y/Y.■ 2019 EPS Outlook Tracks Expectations, with Potential for Upside asYear Progresses. CI expects its 2019 adjusted revenues to be $131.5-133.5bln. CI’s 2019 EPS outlook of $16.00-$16.50 bracketed our EPS estimate of$16.45. While the guidance was slightly below cons of $16.53, it did notinclude prior year development and was in-line with broader investorexpectations. In-line with its historical practice, Cigna’s 2019 outlook not onlyexcludes PYD but also any future capital deployment. In January 2019, CIrepurchased 1.1 mln shares of common stock for approximately $209 million.",0.9484
177,Close at 169 would be nice.,0.4034
178,"CI has just seen the last of the selling. Looks like a potential push higher is in store. Yo you should really check out https://winningpicks1.blogspot.com/, they seem on point with their stocks.",0.76
179,"I believe that the market makers are working on CI today. Every thing seems to suppress health care sector since they crushed UNH last week. For the long term investors they should have good time to pick the cherry this week. It depends on whether Fed chairman Jay Powell will cut the interest rate by how much. At the high season of the high tech earnings report, if they all come OK, I believe that the health care sector should reverse the trend.",0.9699
180,Extreme high volume traded this morning. Something will sure happen today.,0.5329
181,Going back up again. Hope lots of shorts were getting in today and holding so they push it back up fast when they have to cover.,0.8408
182,Hair cut !!,-0.3485
183,Down well over $20.00 a share in less than a month. $180 and I am out.,0.4299
184,I just pick some calsl for next week this morning. I just can't believe that CI is that cheap. I let you know that CI will beat the estimate by a mile.,0.7788
185,Loaded some up at 168.21,0.156
186,This is the video the DNC doesn't want you to see. The DNC has been pressuring YHOO to remove it:The two faces of Obama on Hillary.https://www.youtube.com/watch?v=JVS8-1KwS2c,-0.526
187,WHat value does express scripts add.,0.5394
188,Update : watching the market I’m seeing energy & healthcare sectors falling out of favor . Internet seems to have stolen the new year . While I still believe Cigna will see an earnings pop - I’m lowering the after ER range to $230-$250,0.7665
189,"lets remember that loser Cramer said at 176 this was an absolute buy,,, its 164 now,,,,cramer hosed all you that believe in him",0.0287
190,"Hi Cigna holders! Congrats on being shareholders in one of the hottest stocks over the past five years. I wonder if any of you lucky dogs know WHY your stock has been on fire for so long. Well, I'll tell you. When Obama-care came into being, they allowed the insurance companies to dictate the terms. What ensued was one of the bigger screw-jobs ever implemented on the American public. We all started paying a lot more for a lot less coverage, and WHAT A TRIUMPH FOR CIGNA, UNITED HEALTH CARE AND AETNA! Go ahead and check United and Aetna stock charts. Yep, same thing as Cigna - TO DA MOON! Enjoy the blood money while America gets it in the rectum.",0.9938
191,No hope or blind faith as I'm mostly a pessimist but I just have this strange feeling that this is going to take off to 182 to 187 range in next 3 weeks,-0.9194
192,"The market makers start to accumulate CI again, look at the volatile price of CI goes from positive and then negative. CI should go even higher today. I bet you that there are some big boys put big order for CI, that makes the market makers to short CI in order to get the weak hands to let go the stock.",0.6747
193,Holding up reasonably well the last 2 days considering the rest of the healthcare pack .,0.9571
194,CI going back up just like I said. technicals were hurting it.,0.298
195,As I said .... it’ll ride up strongly with the general market NOT on its own .,0.7995
196,CI may finally run bigly on earnings this week!,0.5071
197,"Big move on health care sector. UNH is close to buying point again. I like CI the most because it is so cheap under 180. Don't forget CI's high is 220, so CI has a long run way for tomorrow.",0.9285
198,Humana gets the golden goose award today . I should have been on that train instead of MA though I did ok,0.8151
199,All insurance companies were down today except CI. I wonder why?Maybe the good earnings is finally sinking in?,0.3566
200,Crickets here,-0.0452
201,This is going back to 200$ slowly. No question about it.,-0.5678
202,Any news on why Cigna is up 5% today on heavy volume?,0.3216
203,"I jumped in today a little while at around $153.45-$153.55, trying to take a quick day trade ride. No way this will stay THIS far down - gonna bounce a little. Even a dead cat bounces.",-0.5276
204,Check it out could be a real winner today on New Contract https://www.tradingview.com/chart/RLLVF/Z5vGeEqr-RLLVF-to-rally-on-Exclusivity-Agreement-with-SOS-Cannabis-Inc/,0.6341
205,Hoping this latest venture to $202 is a wall of support.,0.7495
206,We need more Lobbyist kickbacks. What is wrong with these guys? Don't they know how Wall Street and Washington work?,-0.6387
207,rang the register at 202.7.... can't stand the election news anymore... may come back in if drops further or if market corrects.,-0.1293
208,https://realmoney.thestreet.com/investing/cigna-has-made-a-huge-upside-breakout-15626634,0.0
209,"MOH and CNC are the most exposed, HUM could benefit The most impactful provisions from repeal would be the repeal of the individual exchanges, and Medicaid expansion. The companies most exposed to those provisions would be MOH (47% of EPS) and CNC at (40%). WCG (8%) and ANTM (6%) also have exposure. Finally, CVS’s Aetna subsidiary, CI, and UNH have limited exposure to the repeal of the ACA, with less than 2% of their earnings derived from ACA-related enrollment. Of note, these numbers are gross exposures, as there would be some offset from the repeal of the Health Insurer Fee (HIF)- 2% on average for diversified names. In fact, after factoring in the offset from the HIF, in our view diversified names would largely have a minimal impact and HUM may actually benefit from a repeal of the ACA given it has minimal ACA revenue and would benefit from a repeal of the HIF. Reform",-0.9558
210,Cigna to reimburse prostate cancer patients for Edap hifu robotic ultrasound prostate cancer treatment. see news story on Edapquote page,-0.7283
211,"I hold this one , $PTN more than any other and nothing in the hand, sold $CI it went to 200's, sold $AXSM went to 100's .",0.7497
212,Market up over 300 points and CI down. No confidence in Executive team by Wall Street. No shareholder value with terrible dividend. Too much operational redundancy between CI and Express Scripts. Very unfortunate.Am I missing anything?,-0.2131
213,Sold stock and bought puts.....went up way too fast. No way this continues up from $160 to $220? In ONLY 8 DAYS? Not gonna hang here for very long before it goes back down to test.,0.7334
214,managed care is getting smoked... why?,0.5204
215,getting 6+B in cash! Nice !,0.4545
216,"good report ,still down for two days",0.4154
217,Dropping quickly from the morning high. No end to pathetic !!,-0.6791
218,This will be back in the 180s within a few weeks. It’s at the bottom of the channel it’s been in lately. After that who knows when it will retest 200s.,-0.2565
219,"Some big boys want to buy CI real cheap. The market makers is doing the work, keep suppressing CI down even though there is no news on CI. I just keep an eye on it, let's see CNC reports earnings tomorrow first. I think it is a good stock to bet on this year. PE is under 12, which I think it is too cheap.",0.9506
220,here we go through that magic 170 mark... next step will be can it close above 170.,0.1989
221,"I have to admit, today hurts",-0.2405
222,CI reached a 52 Week high at 209.44,0.3561
223,"Look this is a no brained, with express scripts it can’t lose.",-0.5826
224,Who can buy CI this morning when it was down 6 points? I am so lucky to pick some at that price. CI will double the revenue Y/Y and earnings will surge because of ESPX. I have no doubt CI will beat the estimate.,0.8421
225,"all the big phar, are up",0.2611
226,Are you ready for the roll over? Lock in profits,0.4699
227,"Serious question . . . is Cigna run by complete morons, or just half #$%$ morons? It's down nearly 25% since it's 1/22 high.",-0.6001
228,Earnings beat and raised full year guidance. Very cheap stock - forward PE under 10. Seems this one has a lot more upside.,0.9043
229,@cigna walk it’s customers through via Delarosa when they file claims hoping they will eventually give up. @cigna is one of most hated companies both by customers and employees and exactly like Comcast it’s dommed to crash. There is limit to customers’ patience.,0.5575
230,With Walmart/Humana speculation (and news articles) Watch...CI.SP rise on Monday to $170K and on it's way to fill the gap to $190. With Amazon vulcherizing Retail...EBITDA is becoming scarce in the vertical and Healthcare in big retail makes total sense...draws customers in and makes them come back in an vertical Amazon can't ship in a box!,0.6517
231,Should of sold in the $190’s and moved on. This stock trades with no rhyme or reason. Could be up $5 tomorrow or down $5.,-0.0916
232,"With the earnings growth over 18 % and dividends 4 bucks, the pig will fly high over 250. Don't believe me, OK? Let wait until this Thursday when UNH reports earnings in early morning, it should pop another 10-15 points, leads the whole sector to another new high. After that, ANTM will confirm at the end of the month. It is the done deal that CI will get the chance to go even higher.",0.717
