,Recent headlines and conversations for GRUB,Polarity
28,"Too bad I didn't short this remake of 100 websites. Oooooooooohhh how original, do you mean I can actually order food from a website? How remarkable!!!!",0.7757
29,"Large holders of Grubhub to avoidPrice (T.Rowe) New Horizons FundVanguard Small-Cap Index Fund Vanguard Total Stock Market Index Fund Morgan Stanley Inst Fund Inc-Small Company Growth Port 1 Ivy Mid Cap Growth Fund iShares Russell 2000 ETF Janus Triton Fund 1,216,242 Lord Abbett Developing Growth Fund Price (T.Rowe) Small Cap Stock Fund College Retirement Equities Fund-Growth Account",0.9141
30,GRUB is headed for ten dollars,0.0102
31,$PIXY Shares buy back program plus Breakthrough Self-Delivery Platform... Here comes $GRUB,0.765
32,Moving averages are getting back in line w/dbl bottom next stop 78.75,-0.0742
33,Will be eating well tonight: Lobster and steak with excellent wine pairings.Grubbies will be lucky to afford any grub except maybe mac n cheese...,0.8867
34,I love seeing shorts burn!,0.7195
35,Why they take forever to close the deal? Come on,0.1355
36,"AppSwarm (SWRM) launches Delivery Swift.....along with groceries, pet supplies, etc they will also be involved in cannabis deliveries. Very small cap play, but if got few hundred bucks to gamble at .01 and it runs to .10+ it coudl be well worth it!",0.8841
37,abandon ship,-0.2344
38,It looks like this CEO wants GRUBHUB boycotted by over 1/2 the country. What a Fool!,-0.1579
39,GRUB & WTRH will also benefit BIG time,0.6494
40,GRUB reached a 52 Week low at 63.90,-0.1464
41,Don’t listen to to these idiots. This stock will close at a minimum of $70 tomorrow. Just sit tight. Someone else will also come along and offer more. Their sales have been escalating like crazy,0.6573
42,Will hit 70 today,-0.0282
43,"Insiders are buying a lot, you should do the same. Don't miss this opportunity!!!",0.8003
44,You have another chance to by low... it will go up after market,0.4047
45,"Still too expansive, it’s pennies liberal company",0.1372
46,"I said this after the last call, Maloney purposely set very low rev estimates after the last call to protect his $”@# , knowing full well he’d beat them. But in turn caused the stock to tank 40% after the call. He is a disgrace, and this is akin to fraud.",-0.8174
47,Target is $34,-0.0748
48,Up or down today?,0.01
49,it will never reach there.i think its just a manipulation of stock prices on fake announcements they are doing legal scam. they know somewhere this deal will fail or they will make it fail in the end . I do not think this deal a real thing other than scan. plus even of its true come on think deep why would uber buy GB of uber has uber eats? unless some monoply or scam on their minds however shortz could win huge regardless where things go ;). red market daily always nowadays all data bad now imagine one more negative from their sides too? things could go wrong any time and it will favor shorts.,-0.8113
50,CEO should resign. He is a liability.,-0.1649
51,"Once below $55, it will drop to $40s",-0.4154
52,"We go back, then forth. Yeah!",0.4476
53,"Going higher, naked shorts in big trouble. Mute all the noise",-0.1218
54,This thing is heading down on a day that should be gangbusters based on the news. No hope for this stock. Something is very amiss.,0.4794
55,short sellers are going to have fun and competition will harvest their biz,0.3253
56,Literally can’t understand how anyone could own this stock at this point. Never been so sue of anything as this being a $10-15 stock by years end as a best case.,0.8104
57,Rolled my position today free trade at this point short at 39 with Puts chart says it’s going lower we will see certainly is acting heavy,0.2133
58,What is going on here?,0.0158
59,Oops 31% haircut,-0.258
60,Wow :(,0.2263
61,Uber buying grub?,0.2731
62,"Please buy more stock like GRUB, that did not make profit and will never make profit. Look at the competitors of GRUB. I think when the dusk settles, GRUB may be taken by some bigger like UBER.",0.9327
63,this CEO scares me! he is literally an EVIL BULLYING person! i was not even aware such evil people felt comfortable bragging about how they discriminate and use their RICHES to hurt the poor workers,-0.9398
64,heard just eat offered grub hub a deal,0.2547
65,Uber eats isn't going to matter. It's customers are tied to it's app. Grubhub is for everyone. So if you have no need for Uber you don't have the app you don't access Uber eats. You do grubhub.,0.2023
66,The trading in this stock is absolutely nuts. The company cleverly issued a warning for the current quarter for a loss during its earning release and MD&a and yet retail investors chase this thing. I guess it's the The Street effect.,0.3772
67,Price upgrades have started; watch for more to follow.,0.2604
68,Bottoms in hope you shorts covered... lol,0.7329
69,Muted all the shorts now I see no posts. This board had nothing but shorts!!! Insanity!! You guys are fools,-0.8493
70,Let's go! Yeah!,0.4175
71,"Can explain the price acting ? even after the BOLD headlines on TD ?""*UPDATE: Grubhub Deal To Happen At $75.15/Share In Stock""It clearly sayd $75.15/share and its not moving !!",0.8353
72,pretty sure we will see a drop today but with all the corruption in the market it may keep going up sadly. fake news a d rumours to drive price up then they dump it on a week or 2 after a double or triple short squeeze . happe d to.me on twillo.damn stock keeps going up for. ithing after bad earnings miss,-0.7324
73,Got out with a small profits. I won’t touch this again.,0.5372
74,All Grub competitors serving free during Corona Virus days. This one is Ani-American run by CHINA?,0.8947
75,Cash plus share offering for Grubhub coming. Gets the offer to 7 billion,0.6896
76,"This is a broken company! Stock is definitely broken but this idea is broken also , I feel bad for the Longs , sometimes it’s better to face the music before more pain is occurred",-0.9297
77,"I got to short this stock because it goes up too much, there is no good reason at all at this moment to long this stock because it will never make money and keep losing market share to the competitors.DOOR DASH and UBER EATS keep taking away the customers from GRUB, GRUB will lose more money because it increases ads expense just in order to maintain the market share. UBER EATS is the favorite that the customers use the service.",0.8529
78,GRUB really needs to get this deal done one way or another.,0.3466
79,Always someone taking a dump after hours. Shorts covering after hours,-0.2084
80,"If UBER and LYFT are any indication, GRUB will end up around $53 today",0.0917
81,We can’t buy at $37.50 or I can’t,0.1455
82,This business is a commodity. Nothing special about it. Zero pricing power. Garbage.,0.7739
83,"Anybody (wtrh) can see at less than 220 million marketcap and many, many eyeballs from here and uber on waitr and the app downloads soaring that its only a matter of time till the buying demand forces the greedy market maker to take wtrh over 10. And when he does at 5 dollars, margin traders come in to party. We have already seen he likes to take it up fast with a surge to leave as many retail newbies out as possible. Over ten states already locked up with I assume another ten to be announced or implemented soon No deal means grub is confident they really have more than just a bright future. If deal does happen, retail traders will spot the mismatch in the price of wtrh shares. The marketcap makes it slightly obvious that the marketcap has to go to at least 1 billion or 9 dollars a share. Buying all the kopn, mnkd, wtrh, dkng,fb, I can here with obviously the most in wtrh, being so in need of a major suege.",0.9643
84,time to take profits?,0.4578
85,I am BULLISH that the deal will get made this week.,0.4247
86,"It is about time to go down, because GRUB loses money for every delivery. I don't know how it can operate the business, because it never expands the business fast enough to cover the cost. China DOOR DASH just keeps pushing the envelop every single day. It competes against GRUB. SO I THINK GRUB has no future.",-0.1509
87,No deal!!!!!,-0.5216
88,Litigation! What will happen to the deal or the price of the stock? I got out yesterday but still want to learn about this stuff,0.7358
89,"Just Eat Takeaway's (JET) closing price in EU on JUNE 09 (that's the date of reference price for $75/sh deal) was equivalent of approx USD$112 - so the ratio of JET/GRUB price is about 1.493 which is what GRUB price is expected to follow, minus arbitrage discount/premium. JET lost about 13% after news came out near the end of June 10 trading day, at current price equivalent of JET USD$97.04, so the equivalent price for GRUB w/b $97.04 / 1.493 = $65.00. Depending on what the arbitrageurs demand as discount, including currency USD/EU fluctuations (USD has been very weak lately, Euro strong) the GRUB price will losely follow that exchange, i.e. at 5% arb discount, GRUB price would be now at about $61.75.From now on, price of money-losing JET and USD/Euro exchange rate are more important than whatever GRUB does.",0.8739
90,Gruds deliver,-0.1314
91,i just did a dumb long and guess what it goes up lol.. god this thing is floating on clouds.,0.6107
92,"Told ya so....still time to get out before it gets back to a normal PE, like 10 dollars a share.",0.8003
93,"SWRM news out --> DeliverySwift to Establish Organic Growth Through Local Driver Relationships.....ticker symbol ""SWRM""",0.7295
94,It is oversold for dumb wrong reasons:,-0.7307
95,"I haven't reduced my GrubHub holding. I plan to add to my net long position when/if GrubHub goes down to $121/share in coming days. $121/share was the lowest level GrubHub has hit since the last earnings. I doubt that the next earnings release will counter the future potential communicated in the last earnings. Note: I use the term ""net long"" as I do have puts protecting my long position.",0.907
96,"Wow, this is really disgusting. Bunch of tech geeks and money grubbing venture capitalists create an app and then they sit in the cushy white collar offices and collect TWENTY FIVE PERCENT of each order? For sitting on your #$$ while other people work hard as hell!? Just disgusting. What a scam! This is the sharing economy, where mom and pops and average people have to ""share"" their income with rich elitists in silcon valley.",0.862
97,"@Westin_Bonaventure ... <->Shurtdown the app for California and fire the 120k contract drivers.<->Correction - they don't need to ""fire"" contract drivers... shutting down apps will leave them without rides, unless they decide to take matters in their own hands and try work with ""flagging"" by negotiating fees on their own - I don't know if it's legal in CA, without license / medallions or other such nonsense.Now, since the State of CA declared these gig workers ""employees"" they can all apply for unemployment insurance, which is going to hit CA double hard - less income from ""gig taxes"" and more expenses for higher unemployment.See how long that stupid AB5 (?) will last intact. Stupid laws should be punished by ""complying"" with them to their logical conclusion.Now, even if AB5 is rescinded or amended in a week or two, that really doesn't say much about long-term future of $UBER or $LYFT, the model is not really workable to make them profitable any time soon, and they will lose any advantage when autonomous vehicles come into our lives - they will be an unnecessary middleman - so certainly will be either out of ""mover"" business or modified at much lower valuations.But that's an argument for another day. The contractor / ""gig"" jobs are the way of the future, way of today really, and CA can't do anything about it.There are ways states may need to protect SOME workers, this is not the industry or the way to do this - when most gig workers have not asked for it - this is just a sop to the unions, who get the money without any real contributions to workers' well-being.",-0.559
98,Can someone make fresh buy at this price?,0.59
99,"Don't worry the central banks will kill our returns slowly as they go into negative interest rates and destroy the financial system completely forever... Thanks #AMZN, #AMD, #MDR, #AAPL, #MU, #TSLA, #UBER, #LYFT, #GRUB, #PTON, #BA",-0.7123
100,Only $64,0.108
101,Going to run up stay clear,0.6315
102,"Accumulating. MACD just went positive, MFI has been trending up and all technicals are indicating an upturn. Q1 #s are going to blow it out of the water. With new current reality we're living in, they are also a company that is going to be on the acquisition radar.",0.8987
103,So bad. Another day of torture,-0.7934
104,Half the naked shorts must cover before any positive news,0.6511
105,GRUB is up 8.23% to 38.42,0.1818
106,Yesterday a woman delivering GRUB was robbed when leaving a residence. She was shot in the leg and it shattered her femur. They believe the person ordered the food and possibly are connected. Speculation at this point. The three waited outside and demanded her phone. This is typical in South Dallas. I see this company failing... 25 bucks in the very near future,-0.4859
107,Haha shorts cover u idiots.,0.4712
108,Always make sure that company generates free cash flow - $200M generated at GRUB,0.7433
109,market melt up...cant wait for pullback lol :),0.7881
110,just imagine if they missed,-0.0427
111,jump out now. the deal off the table.,0.417
112,"Biggest Movers in the NASDAQ, NYSE, and OTCMarket ---> http://PennyStock101.org",0.0785
113,Amazon wasn’t even a top competitor in food delivery. The market share AMZN had in this space was very minimal; GRUB should be more concerned with Doordash & Uber eats.,0.6854
114,"Why are we dropping, did we miss?",-0.0571
115,this is so wild. welcome to the casino,0.5919
116,shares at 61 dollars offer and accepted,0.6287
117,Read the GrubHub CEO 26 September Twitter posting calling Trump voters stupid. This is not the conduct of someone who is tolerant of varying points of view. https://mobile.twitter.com/M3aloney/status/780566465808302080,0.2092
118,"Grub going much higher, and buying more AMRN",0.4432
119,"Who bought Grub yesterday, Tues, 3/7?",0.0608
120,Whats your thoughts for earnings tomorrow?,0.0948
121,This was $100 shares before . Now 52 week low.,0.1387
122,63 we are coming,0.0817
123,earnings report next week. this will fall back to $40 very quickly.,-0.0141
124,Please sue this company into the ground if you are employee.,0.096
125,"some guy named, Jim Chanos, - the the one trick pony - supposed predicter of enron, has made what might be called getting it right a second time, -hey guys, he was on vacation, those years,- by annoucing grub a short.",0.2176
126,Slowly longer puts will win and take a ton money out of this fake $60 stock lol. it's gonna be shortz wild dreams common sense lol,0.8658
127,"I am still not using grubworm services. And I never will. As your CEO hates Trump voters, despises all trump voters and treats us as #$%$ and hates us so much he would put us in a gas chamber and kill us. And neither are a lot of other people. It's the economy stupid.",-0.9288
128,"Volume 200,972Avg. Volume 4,084,834Look at it! PURE MANIPULATION!This stock is ready for a down fall.",0.3379
129,Tuesday ANOTHER 3 Points DOWN !!! At least...,-0.3939
130,Why is GRUB up?? Even the co buying them is down vs competitors now. Will I finally be able to get rid of mine at a small loss vs big one?,0.5956
131,Dead cat bounce today.,-0.6022
132,"This is the most split group on any yahoo mb.... half say it’s sinking and half say it’s going to the moon.... love it! Just a few days til we know the answer! Any real evidence, please stand up.",0.9312
133,Sharks  are circling. Grub has options. Take the best deal $$$$$$,0.6799
134,"So, an hour ago Yahoo still posted article saying $58. ha. What a joke.",0.7844
135,Watch for big break down in this stock when results come in showing people stop using their service because of the comments from ceo,-0.243
136,"Once shorts/naked fools, flippers, haters, politicians get out of this you will see positivity",-0.2436
137,u paying a driver less then minimum wage wake up and smell #$%$ stock price way over valued,0.6898
138,This is a growing industry. The sell off this morning was an overreaction. Go long!!,0.7414
139,Grab your $ and run from GRUB,0.3418
140,Tariffs? Lmao,0.5994
141,GRUB does not even earn per share and higher costs. Who orders from GRUB when they have UBER eats and DoorDash?,0.6854
142,Just bought some shares for the first time @ 42.44,0.4666
143,What is tomorrow high low,-0.0029
144,"Love the new commercials I’m seeing for Grub hub, should drive up sales",0.81
145,"I'm a grubhub driver in Contra Costa area near San Francisco, this company don't treat there driver pair, they don't follow the labor law. they grub the customers tips to the driver. they ask you to deliver food after your hours end. and if you don't accept the offer they minus the grubhub contribution. I bought share in this company but I'm selling it now.",0.0605
146,Way over sold.,-0.1164
147,Sold some @ 40.47,0.108
148,partnerships growing,0.1779
149,I have tried all food delivery options and grjb hub sucks. plain and simple,0.1873
150,"GRUB collapsing right now, patience will pay off on this Short Sell.",-0.6098
151,Doordash just raised another huge round of funding; hundreds of millions. I wonder why they keep needing/accepting funding if they’re growing so strongly and are supposedly already profitable? Have a feeling some good announcements coming soon from Grub. UberEats not growing in the US. They’re pretty much flatlining here; and Amazon going after them internationally...,0.9695
152,hi,0.0084
153,Chris just watch the close today. Someone trying to short based on market timing. Well they picked wrong stock lol. When they give up I see $120 quickly. They are struggling now to control price. Just trade it and make money. Skin the cat!,0.4577
154,I expect GRUB to reach $ 140 after reporting their 3rd quarter earnings at the end of October 2018.,0.1388
155,How are they going to make money delivering .79 tacos to millenials?,0.0791
156,Something get leaked or are they just goosing the options expiry?,-0.1372
157,will it comeback to 100 today ? any reasoning ?,0.378
158,Who is trying to buy GRUB? I would say Amazon ... good match with their Whole Foods acquisition,0.7847
159,Grub is worse than UberEats and doordash.,-0.4151
160,"News is out on the pickup tech; a few days later than expected, but great news. Solidly through the 56.40 resistance. Look for a test of the next major resistance of 59.02 shortly (there is also minor resistance at 57.80).",0.812
161,no deal,-0.198
162,Up 36%. Scam scam sham,-0.7695
163,"Fire Vik. The most ineffective, arrogant, self-promoting CEO in Silicon Valley, and that's saying alot as so many fall into this category. But Vik's incompetence is staggering. He's too old and out of touch with the rythm of the market.",-0.8442
164,The libtards are buying this crazy. BUT they can not buy me and half of the US. as a customer so in the long run the stock will fall,0.7577
165,Rebound time!,0.3337
166,"WS keeps trying to find reasons to hold money-losing market-share-losing GRUB at nosebleed levels. Rumors of possible potential buyout by AMZN... WMT... KR... seriously? Why not NYC Taxi Service?Just because it MIGHT make sense for UBER / UberEats to ACQUIRE / ELIMINATE A COMPETITOR IN ITS SPACE doesn't mean it make sense for large established companies to get into a new money-losing business just because they have a goods / grocery delivery system and have enough money to do it.AMZN could have built a much better and cheaper delivery platform than GRUB for a lot less than $6B + assumption of debt (> $650M) - they have their own cloud platform and coders up the wazoo (AWS has >60% of cloud market), their own delivery platform, including food delivery (Prime + Whole Food). But they gave it a go in the US, and gave up for very SIMPLE, but FUNDAMENTAL reasons :1. Barriers to entry are pretty low, so they would have to chase every small delivery system in prime locales.2. They couldn't be / become dominating #1, except in a few local markets, SO WHAT'S THE POINT?3. The system is inherently unscalable and so far relies too much on human labor, not automated.4. Even double-dipping by charging both the sellers and the end users, it's hard to make money, even with nominal expenses. GRUB has never had FCF positive year.5. The MOST IMPORTANT POINT is this : all food delivery systems (GRUB, UberEats, DoorDash, Postmates, Waitr, Tock, etc.) are MIDDLEMEN - they DON'T HAVE TOTAL CONTROL of any part of sales chain - what sellers do (access, pricing etc.), what end-users want/expect, what their ""gig"" workers do. They are in-betweens, while AMZN, WMT, KR delivery systems have warehousing (inventory control) -> phone/digital order -> controlled delivery -> (mostly) happy users.Why would any of them want to be IN THE MIDDLE, with no control of sales chain, in TIME-SENSITIVE LOW-MARGINS THIRD-PARTY FOOD DELIVERY BUSINESS with LOW BARRIERS TO ENTRY and no chance of dominance or PRICE LEVERAGE? Even worse, why would they have to pay so much for something they already have for the most part - full scale digital infrastructure and ""gig"" workers are mercenaries - all they need is an order app and maybe another decal on their windshield.Pizza chains and Asian restaurants have long had local delivery systems and mostly satisfied users, at reasonable price and and cost controls.If AMZN ever decides to get into this business in the US again (investment in UK's Deliveroo is different), it would also have to worry about ANTITRUST ISSUES if they become DOMINANT DUE TO INHERENT COST EFFICIENCIES (REUSABLE DIGITAL AND DELIVERY INFRASTRUCTURE) - they already have enough problems with politicos from both parties, on national and some local levels - it's a good ""business"" politically, beating up on a giant, be it WMT or AMZN. That may have been the primary reason why after tryout they decided to kill Amazon Restaurants in first place.",0.9979
167,Margin calls for the shorts going out tonight.,0.171
168,NO EARNINGS AND CUSTOMERS - BANKRUPTCY LOOMS,-0.5242
169,Anyone else looking at dumping this?,-0.2963
170,"Absolutely silly expensive at 52 a share. If they have a buyer, it's be a ""takeunder"" at 25-30 bucks a share and that's generous. As for the commenter on Walmart buying them, that's absurd. You are clearly lying, Walmart doesn't leak what they want to pay and then sit on the sidelines waiting for the price to rise.",0.9249
171,Wow,0.5859
172,How about it,0.0599
173,BOYCOTT GRUBHUB BECAUSE THEY ARE FOR VIOLENCE AND AGAINST DEMOCRACY. MATTHEW MALONEY IS THE CHIEF EXECUTIVE AND HE NEEDS TO BE THROWN OUT THE WINDOW AND BEATEN BADLY FOR BEING A TRAITOR TO THE COUNTRY AND A LIAR AND A THIEF. BOYCOTT GRUBHUM!!!!!!!!!,-0.9706
174,HAHAHAH SHORTED IT TOLD U GUYS SHORTED IT HAHAHAHA,0.4704
175,"NEVER spend a single $$ at Grub Hub...... I own the stock and am selling before it goes down further because the CEO's actions..... In fact, I'm selling it short......... We should organize to finance a shareholder suit against this idiot and his company, as well the employees he terminated for no cause and didn't vote for his candidate....Hey liberal, that is discrimination..",-0.4019
176,"Will this pop soon, not familiar with >25% gain in one day.",0.6637
177,Waiting for a bounce but might not come until Friday. Just add any new lows made,0.5607
178,Need to cover half these naked shorts,0.0816
179,Done deal per CNBC,0.5225
180,Malone wish you were more like Karl,0.6705
181,If Uber closed the deal would be 75$ but now at 70$ with Takeaway is fine with me . Better than bankruptcy,0.6784
182,Mr chino got his big pay day ..These crooks ..,0.1018
183,Insiders dumping. Check today’s filings.,0.1593
184,and you thought $58 shorts?ha.,0.0718
185,Massive Justified Short Attacks BUT; and EVEN BETTER ONE isMYOK Up 45% with huge gapAnother biotech nonsense climbCheck it out.,0.8802
186,Grubhub has less technical advantage than uber eats. Doesn’t have much of brand recognition either(not that it matters for those who can just switch app with finger clicks.)Plus uber eats give me more points/cash back on my credit cards LOL,0.9008
187,"Buy wtrh, smarter move by far. Kopn, mnkd, hrtx, nvta, teva, fb, dkng.",0.6383
188,"Phoney stock, phoney market. Everything about this stock blows, from its fake price movement to it's crummy business model. Can't wait to watch it crater over the next couple weeks. 1 trick pony in an increasingly crowded and competative space",-0.6664
189,GRUB and UBER deal news is to short squeeezzzUBER will file BK in 2023,-0.2066
190,RAD should be on Yahoo top gainer list too. It’s flying today.,0.827
191,I see it’s premarket,-0.0045
192,"almost every company has competition, what market share do they have",0.3732
193,Game over-deal is closing by end of June.,-0.2265
194,"If you’re looking for a short and sweet guide to the day’s biggest news, I recommend (http://Pick-stocks.com). They breakdown the most important pre-market news and it only takes a few minutes to read.",0.7287
195,After reading the story about this CEO asking employees to resign if they voted for Trump... this is one customer will never use this company for ANY service!,0.439
196,30% of shares in float are shorted. These guys knew and are set to make a lot of money.,0.4947
197,nice hit today,0.4648
198,SPECIAL  WARNINGTHESE SAME PUMPING ANALYSTS GAVE PCG a $33 Target when it was at $18 and at $25 they shorted the living daylights out of it knowing very well it was going to tank JUST LIKE THISBE VERY CAREFUL HERE. VERY PCG dropped 67% from the time the analysts pumped it. They do that you know,0.8575
199,Maloney the CEO made a bad call and now it is going viral.......not a good time with Uber Eats coming online all over the country! I will order from Uber and not SnubGrub,0.7389
200,"Seriously, what are they pricing in here? Shaky partnerships? The only sure thing is that they now have to share the pie with another 3 or 4 players who are deep pocketed and willing to live with thin marlins longer terms.This thing should be in the mid twenties not thirties...",0.7111
201,Watch for AMZN to acquire GRUB for $7.5-$8 billion,0.3753
202,GrubHub is up 5.05% to 79.65,0.1818
203,Hi everybody... anyone happen to know the most recent short % of shares outstanding?,0.5259
204,Squeeze of the century 100++,0.1163
205,"As much as I dislike the management team here, I suspect this bounces off the $37.50 mark back up",0.135
206,Anybody have fib projections how high this can go now?,0.3059
207,Back to mid. 70's by the end of the week.,0.0145
208,#$%$!!!!!!!!!!!!!!!!!!!!!,0.0
209,crushed,-0.4215
210,In @ 33.17,-0.0397
211,Crooks: you can drop with low volume. Open 10++ tomorrow morning. Good news,0.2789
212,"Grubhub should go high today regardless, it was king of stay at home sector",0.665
213,More money out of shorts pockets again. Should've covered in the $30s,0.1248
214,GRUBHUB NEED TO COPY UBER and start delivering PEOPLE! Yay heck yeah this will send the stock back to $100!!!,0.865
215,"The merger is for 0.671 shares of Just Eat’s undisturbed SP, which means Just Eat is obligates to pay that price, regardless of what happens the day after. Am I wrong?",-0.1831
216,Grubhub is dead Uber eats much more effective,-0.289
217,Where’s benjo price target 149 bahaha,0.0069
218,"wtrh Billionaire Tilman Fertita own 10 million shares, Billionaire Christian Leone owns $10 million shares, even Drew Brees owns a ton of shares. load, read news, new nasa director, 4.00 tomorrow, perfect day before a 3 day holiday weekend for the mm to run wtrh way up and leave a lot of new retail traders out that were scared out last 2 days.Just listed the Jan 2021 calls today.",0.9788
219,Watch full interview here at bottom https://www.google.com/amp/s/www.cnbc.com/amp/2019/04/04/grubhub-ceo-spending-aggressively-on-our-future-to-beat-competition.html,0.3255
220,sweet.. buy it up to 48 and my short order will fill....,0.1488
221,"When the stock is low, just buy it, hold it, and sell when it will go higher. That is trading. Bear or bull is just part of game.",0.3288
222,This violates Federal Labor Laws - call in the FBI,-0.6593
223,GRUB reached a new All Time High at 107.70,0.3954
224,This chat room is dead.....crickets.,0.1348
225,"The Wall Street Journal and New York Post reported Wednesday that Grubhub was considering a potential sale.Grubhub today said the food-delivery company isn’t for sale, pushing back against media reports that had sent its stock surging.These mixed messages are never good for a company like GRUB. Shows they are not confident in their strategy and busniess plan. A sign of desperation from a cut-throat business. Their only prayer is if Uber-eats spins off and merges with GRUB.",0.9431
226,You just lost a customer GRUB......never to be used again.,-0.2721
227,Good luck shorts....,0.7096
228,"big miss, gonna reflect it tomorrow",-0.0635
229,"sorry guys, hub is losing many business",-0.4439
230,deal with Dunkin doughnuts!,0.2251
231,Anyone know whats going on ?,0.0745
232,something about multiple websites? will this effect Grub stock ?,0.4085
233,"Grubhub has a huge pricing advantage compares to Doordash, even with the Dash Pass. One of the reasons I stopped using doordash.",0.4849
234,"LOOKS LIKE AMZN is NOT buying GRUB folks.... as mentioned, stock has dropped and will drop.... GRUB will simply have more competition now. IMO, Stock and NASDAQ will continue to trend down... anyone paying anything more than 35 for GRUB is paying for a PE of greater than 55 which is crazy.",0.9027
235,"It's not right that anti-American fat cats should be allowed to flaunt their intolerance and antiAmericanism with impunity. This country gave Matt Maloney the opportunity to make something of himself and he repays it by trying to force his prejudices on his employees. He should resign and free his company and employees from his baleful influence. In the meantime, lovers of freedom and self-determination should not do business with or invest in this company.",0.9441
236,Price must be 71 the way there holding Uber at 36,0.4683
237,The big short of 2016!!,-0.523
238,Told you when drivers started sampling the food the jig is over. GRUB is done. Adios. Find a way to secure the food in tamperproof containers. Told you so.,0.3224
239,"KEEP BUYING THIS HIGH PRICED RIDICULOUS P/E PIG ON THE WAY DOWN FOLKS! ONLY MAKING THE BUBBLE THAT'S GOING TO BURST WORSE, AND MAKING ME RICH. SHORT THE HELL OUT OF THIS IF YOU'RE SMART. -50% BY CHRISTMAS.",-0.8698
240,Damn Russians. Smh,-0.6124
241,These guys are scam artists. They offer coupons and then don't honor them when you place your order,-0.396
242,Who the hell even uses grub hub? Everyone I know uses Uber eats or door dash,-0.6826
243,"Remember, when these companies do an upgrade to buy, it is because they want to sell their stock to you, because they know more than you do.",0.7321
244,Holy moly. My July 57.50 calls jumped 60% in that last minute. Thanks Grub,0.3249
245,"oh boy i feel bad for people that are buying this on a speculation in the news.... never buy off that, we call that greed and that gets meet with this guy",0.1089
246,"i am afraid for our nation when CEOs can threaten and intimidate workers like this, with no repercussion! there must be federal and/or state laws that prevent such a hostile work environment? can some lawyers represent the workers who were abused by this evil, evil CEO? and try to make it right?",-0.929
247,"I agree with frank. I believe a deal will be done. If I were Grub, I'd take Uber's 6 billion and RUN. Careem got a sweet deal in March 2019 of 3.1 billion with 1.4 cash and 1.7 billion in convertible to shares due soon. I would guess they will want cash, not shares. And now Uber has written down the value of wholly owned Careem. This will be just another bad buy to be written down later. It's the high tech way to lose money.",0.8556
248,i can'y believe what I see AH. i knew this would go down but did not want to take the risk of the AH gambling... I lost today. tomorrow it will be another trading day. Hope it goes better.,0.8803
249,Wait I will throw in a LEMON LOLLY POP and 28.75 cash for your shares...….,0.1476
250,Any ID with GRUB ?,0.656
251,"Grubhub now linked to possible child sex trafficking ring run out of Comet Pizza in Washington, DC. #pizzagate",0.2631
252,Why it’s not shooting up???,-0.3265
253,"UPGRADES, UPGRADES, UPGRADES",0.0
254,Big deal. this sounds like pizza delivery 50+ years ago. Same idea in a new wrapper.,0.8034
255,Yeah! Let's go!,0.4175
