,Recent headlines and conversations for CMCSA,Polarity
33,"Today the Comcast homepage is not working. And then if it does show up, and you click for your email , it says something like bad upstream, or some such. I pay over thousand a year for Comcast. Yet it isn't worth a freaking dime if I can't get my email. And for days they have been badgering their customers for a back up plan if you forget your password. Hey Comcast, if you want to help, keep your site secure, and stop harassing us. Your liberal bias stinks, but you customer service reeks even more.",0.2697
34,Looking Good!,0.4926
35,what happened in 10 minutes crazy.,-0.3449
36,CMCSA is up 4.92% to 42.42,0.1818
37,Watch CNBC every day. Do they ever discuss any other stocks but the star of the day. Yesterday it was all Apple. Today its all Disney. AAXN is up 26% after earnings and they don't even mention it. Need some better producers over there.,0.8726
38,Test,-0.1245
39,"I'm looking for a class action lawy group. Someone willing to take on Comcast. Comcast customers continue to pay the regional sports fee. Its 8.75 a month in Double Play.At this time, waitresses cannot work and earn tips. Barbers cannot cut hair. Engineers cannot design.Millions and millions are out of work. And there is no sports. yet Brian Roberts, worth 1.71 BILLION, continues to charge unemployed customers for something they aren't even getting. You stink buddy boy.",0.7621
40,Andrea Mitchell needs to do her homework before doing anymore interviews. She's a liberal suckup who has no journalist conscious. She and Larry King should get married and move to a seniors home in Siberia.,0.6337
41,No posts today I guess everyone was happy with the outcome today.,0.6241
42,"got mines, I am out!",0.2201
43,Do your homework study Harmonic HLIT you will find Comcast is doing exactly that and is incorporating its technology in moving TV broadcasting to the cloud. Follow Comcast's lead they did the homework and are buying the solution and also investing in the company,0.9272
44,"Ive been shorting this turkey since it hit 46, i haven't been making much. However, the business model of thios company is morally corrupt. A large part of it involves scamming seniors who have been long time subscribers. Their infrastructure is inferior to thart of its competitors and its service is poor at best. Given its current model ten years this company will no longer exist as a cable or internet provider. It is going belly up. I hope to capitalize on its distress. Short for thge long run.",0.7281
45,Talk at end of day see where we end up and who has bragging rights,0.3453
46,"To boost the stock market, and fool ignorant people, Obama told Yellin to say the Fed might start buying stocks and bonds.No doubt in the future, the Fed will invest in a company, but only if it donated to the Foundation.Its all corrupt.",-0.4955
47,"Hey Comcast, why should I pay for fake news from cnn. Please take it off my cable channel lineup. I do not wish to have topay for such garbage.Attention all cnn advertisers, no one is watching cnn anymore. You are throwing your advertising money down the drain. No doubt cnn is lying to you about the number of people watching their channel, much like they lie to the American people.",0.4003
48,"Civic Engagement. 30,000 paid OFA protestors. Paid to fool people into thinking people actually believe in liberal ideas. Paid to shout down old ladies at town hall meetings. Paid to throw eggs at peaceful conservative rallies. Paid to burn Berkeley campus buildings. Civic engagement. No. Lies, violence, and intimidation. Liberals are really starting to ask for it.",-0.7058
49,"zero growth, PE is way higher than T and debt ratio is way higher than T and VZ.why not buy T or VZ.",0.6579
50,whole market analysis results are going to neuter the push today. that not really what I wanted,0.0304
51,"I hate Comcast so much, this is the last chance with Comcast. I should take my friends advice not to get Comcast.",0.2723
52,Q2 Post-paid phone net additions$TMUS +710k $CHTR + $CMCSA +389k$VZ +245k$T -23k$S +134k,0.0391
53,"Mike, still here brother everything is good just kept busy in the house today. Thanks",0.8187
54,Green,0.0406
55,Peltz a flea on Roberts lapel,0.0273
56,both parties and the Fed have destroyed capitalism prepare accordingly,-0.31
57,How long will CNBC allow that blowhard Larry Kudlow to infect the morning show?,0.7503
58,Yet more rate increases from these guys. every three months up they go.,0.2991
59,"The markets will most likely collapse sometime this year…Are you prepared? Google LionStockAlerts, they only alert short term trades that work in any market…Do this now before it’s too late.",-0.5467
60,All things considered- nice BEAT,0.6443
61,"Wasserman Shutlz , typical liberal hypocrite, steps down from DNC, after helping keep Bernie from running for president.Liberal voters should send their party a message, by leaving in droves, from the lying sacks who continue to stab them in theback by sending our jobs and money overseas on a daily basis.I'd say that unlike party leaders who have no morals and values, many voters do, and are sick and tired of the rigged system.I think Trump should consider creating a special position for Bernie, and tell everyone now. Like maybe a program to employ Black teens. And Bernie doesn' t have to say yes or no now, just have Trump make an offer. Make it during a debate.",0.7386
62,woo!!,0.5696
63,How many cable companies are left out there...anybody know the exact number?,0.1917
64,"Multi alias Dave has no money, no friends and no life. So he tries to ease his pain by bashing others. Just remember Dave, Rachel Maddow has more money than you could ever make. She could probably whip your candy *** in a fight too. She shop at Nieman Marcus, you shop at the dollar store. Sorry.",0.7524
65,"So sorry to hear about Brenda Buttner. I used to enjoy her stories on CNBC, before I stopped watching cnbc because of its move to the left several years ago. I remember she did a story one time wearing a leather biker jacket. I liked that she didn't have a bias, and was having fun doing her work. Its too bad people like Megyn and Rachel cannot learn to keep their own bigoted opinions to themselves, and just report the news, instead of putting their own narrow minded view on things.",0.9554
66,All about scale!,-0.1405
67,"Wow! One demented CONservative using at least 5 aliases to spread his garbage on a stock board. Dave, Berry, Magoo, Nancy, and the brand new Charlene. How many times did you vote for Dump in Wisconsin?",0.8549
68,"""new home construction jumps to 13 years high"" -Marketwatch. When you move in to a new house, what do you need ?",0.7131
69,Going to close in the RED..,-0.1317
70,Mike don't cut your wrists you hang in with me Brother.,0.594
71, NFL is now in panic mode as advertisers start pulling Ads for football games as attendance and TV ratings drop. Keep taking a knee overpaid black thugs see how that works out for you when your NFL career is over and you want a real job in corporate America. https://m.youtube.com/watch?v=NWWdIlpgKZo&itct=CBUQpDAYACITCKa5qPHeyNYCFQf2qgodtF8IyTIHYXV0b25hdkiN1fLU0YzwqH8%3D,0.4118
72,"It is disappointing that CMCSA declined yesterday while its peers finished in the green. It makes no sense. Everything that CHTR is, CMCSA has more of and its hitting on all cylinders. Everything that DIS has, CMCSA has similar assets but not as big. But both of those other companies stocks are booming.",0.6554
73,Anyone know any news what’s going onnnnnn,0.1787
74,"So let's see. Cable is apparently dying, but a pure cable play like CHTR has gone up over 2.5x from ~$200 to $580 in 5 yrs. CMCSA stock has gone up around $10 in the last 5 years. What gives??",0.8359
75,just have a plan if this is a bear market rally 200 day on the S&P is 2998,0.0274
76,my cable keeps going out. Wish comcast had people to help.,0.7008
77,$40 before the end of the year,-0.0489
78,let's all play Monopoly when someone lands on a property just go to the bank and they'll pay if they don't the FED will If the Fed don't the federal government will what a beautiful fantasy,0.8386
79,Recently listened to Cramer.... I don’t think his views on America is in touch anymore... Masks if you want... not a requirement... The rest of the country is not New York... For a Reason... we are responsible adults... keep government out of our freedoms as much as possible... Urban living has advantages and disadvantages .... remember what grandma said about... One Rotten Apple...,0.8916
80,"Mike, another day in Paradise have a safe and great weekend.",0.9296
81,go roku.....,-0.0011
82,"Look at the price your cable ISP is charging you and then look at the price and speed of Verizon Home 5G. Will $CMCSA keep their $180 billion dollar market cap when another company is offering more speed at half the price? I'm not sure if $VZ will be the winners of the 5G war, but it will be good to at least have competition in the high speed internet arena again.",0.8916
83,Brian Roberts MUST re evaluate MSNBC and its direction. Ratings are plummeting and Rachel Maddow is losing it. Please terminate her contract....FAST! Bedore we lose ALL our viewers,-0.7114
84,Dirty democrats Former vice President :JOE BIDEN'S SON IS A DRUG ADDICT AND HAVING AN AFFAIR WITH HIS DECEASED BROTHERS WIFE AND NOW TIM KAINE'S SON DOES THIS ? Democrats Santa Monia's hypocrites.https://www.yahoo.com/news/tim-kaine-son-arrested-trump-142625052.html,0.9494
85,"Holy Crust! worlds biggest media company, 87B in revenue in '17 !!!! wt?",0.503
86,I feel with Trump as President the market will continue higher. If dumb democrats stop blocking his tax cut plans the whole US economy would boom  again ,-0.8289
87,debt.. WSJ smells a debt debacle in the making here.. I'm out.,-0.147
88,Gotta respect the technicals,0.4659
89,"Attention all Comcast advertisers. Whenever I hear a Samantha bee ad, I turn the channel, and wait for 2 minutes, and then go back to the show. No one is watching the tube whenever that foul mouthed, big mouthed ingrate is on.",0.2755
90,Staying positive +0.9% in a deep red market day is a sign of strength to this stock for a recovery in the coming few day?,0.8427
91,"I like the idea of releasing people from the border into sanctuary cities. Since Comcast and Verizon profit immensely from millions of people looking for low paying jobs, they should at least pay their share of taxes to help feed and shelter everyone else who comes. Can you imagine the bus stop in philly being in front of the comcast building. Every 5 minutes, comcast workers would see the endless flow of people helping to keep their wages low, and taxes high. Maybe then they would act.",0.9384
92,NBC/MSNBC- what a joke and they wonder why they are called Fake News like CNN,0.588
93,agree!,0.4199
94,"If you need help Washington, just flash the Big O signal in the sky!!!",0.7816
95,PLEASE! Stevie go away because nobody cares about your political b.s. I say buy on the dip.,0.6317
96,"How about Comcast, helping to bring bigots like Steve Colbert right into my living room.His talk now is more hateful than a skinhead.The left, the party of peace and love and tolerance ?No, the people who hate free speech, and demonize you if you don't goosestep with them.",0.9435
97,Zero Russian collusion found on President Trump,-0.2801
98,Comcast stock is cheap where it is with peacock coming out and they already have millions in prerevenue for their ad space. They also own 1/3 of Hulu so I’m a buyer,0.7186
99,"Brian Roberts, CEO, of Comcast, should personally finance a Spike Lee, produced and directedmovie about the devastation of Tulsa Oklahoma's Black community by white brown shirts in 1921.Roberts, claims to be a liberal, as an American he must give a micro fraction of his enormouswealth to spell out Black Lives Matter. Any real American should be out raged by the treatmentof African American's. Stand up and be counted Brian Roberts, and other real American'swill stand up with you!",0.7219
100,You people at Comcast better start thinking up better names for your TV show guide list..https://www.vice.com/en_us/article/ywwv4m/teamsters-found-not-guilty-in-bizarre-top-chef-extortion-case,0.8467
101,"Mike, let's see what happens today, Have a great weekend and stay safe.",0.8686
102,"Most people at home watching cable TV. Sales on ads will be great for Comcast..don't believe the hype, most people will skip food or cut back other things to keep cable TV and internet on. If not the kids will drive them crazy, and every church, college and k-12 school need internet-based services.",0.8858
103,"Joe, I'm watching ""You Bet Your Life"" with Groucho Marx..",0.7353
104,"Wow, after listening to Jen Carfagno say the White House was holding up aid to Puerto Rico, I thought I was watching MSNBC.The truth is Jen, HUD delayed processing grants, due to widespread graft and fraud and theft of funds.Moments later, we see a clip of Bernie Sanders saying how the world will be worse off because of global warming, while every weather channel host flies to thunderstorms, hurricane, and snow storms, and helps contribute to global warming. Look in the mirror, and get your facts straight before you preach. and comcast, please look for another weather source.",0.9134
105,who bought at the top 44?,0.2153
106,I guess our President is a happy camper today since the only person he was afraid of was Bloomberg.,0.8532
107,"Mr. Magoo says- Fake bias dishonest FAKE NEWS lear from: Booker T. Washington who grew up in difficult circumstances but retained the vision of getting an education. Rather than feeling as a victim of difficult circumstances, he obtained an education and later went on to develop and grow a school in Tuskegee, AL with only minimal money and other resources. Instead of engaging in arguments and resentments, he chose to focus his energy on the vision of education. Among his many inspirational quotes is the one - “I shall allow no man to belittle my soul by making me hate him.”",0.8132
108,Added more. Way oversold,0.0365
109,"follow me. follow viacom, viacom down 17%. err. down comcast follow viacom",-0.4556
110,"How sad is it, that some people in the Black community feel they can silence the words of other Blacks. That they can humiliate them, embarrass them. outracize them, degrade them. The real racism of Blacks isn't by non- Blacks, its from within their own people. When will Blacks elect leaders who want their people to succeed, and not tote the line ? When will Black leaders be for Blkacks, and not against anything that isn't Black ? Yeah, years ago there was racism. But now, Blacks are being used and manipulated by their own pathetic leaders. For you see, the better off Blacks are, the less needed are these despicable race mongers who currently ""lead"" them.",-0.7959
111,Mike $4140 would be nice today,0.6212
112,Can you imagine a reporter asking Roosevelt after Pearl Harbor if his speech claiming we only had to fear fear itself if he was giving Americans false hope? Yeah me neither.,-0.2479
113,Why CMCSA rally today ? Any details?,0.1453
114,Going to hit the showers...,-0.0386
115,Any news ?,0.133
116,Anyone else waiting to buy at $30,0.1311
117,"Another comcast channel, with numerous audio interruptions.Months ago you couldn't stand watching BBC channels, with the sound going out over and over and over.That seems to be fixed. But tonight, REELZ is awful. Tried watching Jailhouse Rock with Elvis, at 5:15 on Saturday evening, and small, repetitive outages. I turned the volume up to listen to Viva Las Vegas moments earlier, but it too had audio problems. Somethings wrong with Comcast. They are cutting power to save money, or they have an rogue employee that I want to do horrible things to, or their feed stinks. Either way, the FCC gives them a license to broadcast, but that could be in trouble, if the FCC knew they charged by the month for access to every channel, then selectively cut power to boost profits. I have called REELZ to tell them they should get their money back from Comcast, and to get Comcast to refund the money they get from advertisers. The next step, if needed, will be to start sending audio of broadcasts to local governments all over their service area. They will be deeply disappointed that franchises they regulate, are not giving what their residents are paying for. Can you imagine the money comcast will have to spend sending people to every community they have customers in, to respond to this complaint.. It could ruin several quarters of profits, and more if the interruptions are deliberate.",0.3928
118,all biblical people sin is sin no matter right or left,-0.8621
119,"$CMCSA The markets will most likely collapse sometime this year…Are you prepared? Google LoinStockAlerts, they only alert short term trades that work in any market…Do this now before it’s too late.",-0.5467
120,When we go back to $42.00 ?,0.1171
121,fair value is $71-assets are beautiful,0.8225
122,Concast believes everything that comes out of china. Then passes it on as fact. Concast is morally corrupt and evil people,-0.4787
123,NBC made $250M on the Rio Olympics up from the $120M profit from the London games even though ratings were down $CMCSA,0.5009
124,"Fox to sell Sky stake to Comcast https://seekingalpha.com/news/3393110?source=ansh $FOX, $FOXA, $SKYAY, $CMCSA, $DIS",0.6721
125,Soldiers should be thinking about killing the enemy. Not thinking about which gender they will be tomorrow.,-0.7959
126,"Joe, your right..closed above $40..",0.7311
127,Disney stock headed south tomorrow. Canceling Roseanne Barr number 1# show over Valerie Jarrett Muslim Twitter tweet pretty stupid. The view says hate filled things about President Trump and his family every week that is far worse. Disney/ ABC hypocrisy.,-0.8454
128,"Joe Banner and current Eagles management are pretty upset with DeSean Jackson. Banner said if Jackson were ""white"", they'd be talking about cutting him. Thats racist Joe. Black or white, say something awful, and you should get cut. By the way Joe, it wouldn't help cutting Jackson. Many people figure he'll be on injured reserve by the 4th game of the season. Like Kapearnick, he lost his love of football years ago. The eagles need players who want to play, not make political statements. hey Lurie, find people who want to play.",0.9856
129,$CMCSA Target Raised by Benchmark Buy USD 65 » USD 70,-0.4879
130,CMCSA is up 6.13% to 36.03,0.1818
131,That was not a come firm offer plus something about British news they are very touchy about,0.8598
132,https://superstocktobuy.com/stock-under-50-dollars-to-buy-cmcsa-june-21-2019/,0.0
133,"Could we please stop with all of the garbage commentary and stick with chatter about the intended subject, that being Comcast.",0.2801
134,"Why did Washington University allow a known sexual predator, Bill Clinton, onto their campus ?",0.3261
135,"Everybody should relax, Disney is not going to allow Comcast to buy FOX.",0.6669
136,"Over bought, we are boycotting fake news for years",-0.6857
137,"Yes indeed a plurality of voters think Barack Obama is the worst president since World War II, a new Yahoo poll says.According to a Quinnipiac University poll released Wednesday, 33 percent of voters think the current president is the worst since 1945. I agree and Ronald Reagan was rated the best president since World War II.",-0.6339
138,"Get on board the options train! (CMCSA Option Expires Jan 15 '21 $55 Call) - last price = $1.22 - 4,588 Open Interest - I'm in @ $1 avg.",0.817
139,"The city of Brotherly Loved. Where Santa Claus was booed, and pelted with snow balls. A place where pro teams stink for decades, while owners reap billions in tax subsidies and new stadiums. A place where Black workers are replaced by lower cost immigrants at comcast and verizon. A place where election watchers were intimidated, abused, and physically assaulted. A place where massive voter fraud took place.Sadly, part of America deserves what is happening to it. When you cheat, steal, and assault people, you deserve everything that is going to happen.",-0.9696
140,"So now we have comcast advertising BET, a betting information thing, during prime time broadcasts of flyers and sizers games.No decent parent wants their 7 year old learning about gambling, until they are taught to spend their money wisely.Way to go comcast. shoving gambling in front of our vulnerable children. All of your commercials for gambling should be after 11:00 PM, and you should be required to give parental warnings if you are going to mention it. Do we have to pass a law, like we did for cigarettes ? WHat would be really cool is a class action lawsuit, where thousands of children tell a judge they first learned about gambling on comcast commercials. SO parents, you write down every time you see one of these commercials, maybe take a pic of it on your cell phone, and keep it in the drawer for future legal use.",0.9766
141,"This is at least 50% undervalued at this level. I can't say if the mood of investors will return fast or slow, nevertheless I imagine as unlikely that this will not touch 45 by end 2019.",0.0209
142,"Its 10 minutes into the debate. Donald is allowed to ask Hillary a question.He says ""Hillary, UN rules require that refugees created from fighting, be put intosafe zones. These safe zones are to be near their home country. They are to be defended by UN troops. Why did you and Obama choose to violate UNlaws, and refuse to create safe zones, and force people to flee to Europe ?If the US isn't going to follow existing world laws, why would anyone who wantsa one world government think you would force americans to follow world laws,when you refused yourself ?",0.3769
143,"Today my Comcast bill has been increased again, Comcast will never stop overcharging, they could take blood from the stone, hopefully technology will create other alternatives",0.4881
144,God forbid stock should stay green..,0.2025
145, NBC - Yet again more of NBC Trump bashing on nightly Fake News like every night since Trump was elected. I remember all the free passes bias liberal Fake News gave President Obama for 8 years. I remember Obama said ISIS was a JV team and contained one big lie. Not a word about his record deficit spending or the bad deal he made with Iran and giving Iran $Billions$. Then bias Fake News gave Obama and Democrats a free pass on the Nightmare called Obamacare. What a whopper lie Obama and Democrats told us about that. Shame on Fake News outlets NBC-MSNBC- ABC- CBS- CNN. I think 85% of the news by these outlets is bias and a pack of liberal lies. Now many reporters are always wanting guarantees on anything Trump proposes or passes. I never heard News reporters asking that once in 8- years at Obama press conferences. See why I don't buy anything the liberal media puts out on TV anymore. Clean up your act or soon nobody we watch your liberal bias news.,0.8846
146,"Gold star Navy Seal father refuses to meet with Trump, knows he's nothing but a phony. Trump tried to use his son death as a photo op. Despicable.",-0.3794
147,"Comcast continues to slither along the ground. After baiting hundreds of thousands of customers into midrange TV plans with popular channels, one by one, they are taking them off the midrange plans, and making it an option or more money to get. IE TMC and Starz. And if you want to downgrade, if you can stomach their sales people, and get them to do what you want, you have to pay a penalty. Isn't it bait and switch ? Shouldn't the price of the plan be reduced when the best content is removed, and some junk channel added ? If comcast had an ounce of decency, no one would ever sign up for dish or hughes, unless they lived in a remote area. The satellite companies thrive because comcast stinks, through and through. Investors, you don't have an inkling how bad comcast is, and the stock price could be 2 or 5 times what it is, if you demanded they listen and serve their customers, who make money for you.",0.8655
148,Liberal NBC news it is so great we have a successful business leader now president of the United States replacing incompetent lying Obama who divided the country and doubled the National Debt. To bad your girl Hillary suffered a crushing loss and is now wasting time making excuses and blaming Russia for losing. You need to pray for Mr. Trump because he has one big mess to clean up that Hillary and Obama made. Happy New Year in just 16 days we have a new president.,0.2015
149,"After days of violence and looting and burning, Gov Wolf finally sent the National Guard to Philly.He took an oath, to protect the citizens, and waits every time there is trouble.If he wants to change the country, he should do it legally, and without bloodshed and destruction.Not by letting dangerous looters destroy and torment innocent people. When you see how liberals treat citizens under freedom, imagine the horrible things they will do, and will allow to happen, under socialism.When your life stinks in the future, its your fault if you help put people with Anti American values in office.",0.7874
150,Content is king,-0.0758
151,So they beat the top and bottom line forecast and the stock still goes down??? #$%$..,0.3537
152,comcast & profitable company laid or ferlough alot of people. with subscription up & the new peacock channel plus less employees mean more earning. eps will be good and expect $60 now. upgrades on the stock,0.8963
153,"Comcast, step up and take your ownership responsibilities seriously. Fire all of your NBC News teams for LYING blatantly to the American public. Shame on you for letting them do what they have been doing for years now. Clean house. Or live in shame. That work they did with the Columbus shooting was intended to divide racial hatred where it was not even close to being such an issue, you seem to want racial turmoil perhaps for higher ratings.",-0.9224
154,Concast's NBC gets hit with a 2.8 billion dollars lawsuit. Hopefully more to come to the most corrupt company on the face of the earth,-0.2863
155,Today was a mediocre day..Tomorrow the sky will be falling again..,0.404
156,Comcast nearing the all time high again. Let's hope donnie Dump doesn't do anything dumb to crash the market.,0.2066
157,"Yeeeozaahhh!! Great quarter Comcast!!! 26% earnings increase 1/2 mil new high speed customers, Sky & streaming, & movies & theme parks & WOW!!",0.9653
158,"Comcast makes me go to their homepage to get my email. I might glance at some of the stories, but never read any, since comcast wants open borders to keep wages below a living wage for their thousands of sales reps. I just wanted to let the advertisers on their site to know I don't buy any products from companies that help comcast exploit workers in this country. By the way, they aren't just exploiting workers. Because they don't pay a living wage, many comcast employees get government assistance, and pay little or no taxes. This forces the government to help them, which is tax money out of your pocket. believe me, the amount of money you are making by comcast exploiting workers, is only a fraction of the reduced taxes you would pay if all employers paid a living wage.",0.9759
159,They might buy fox according to latest reports,0.2092
160," Looks like the democrats Party and the Dem Rat bias press have shot their wad. Too bad, they can't be prosecuted for their lies. All Fake News just like Trump said. http://www.breitbart.com/big-journalism/2017/06/07/james-comey-testimony-proves-trump-right-cnn-wrong/",0.2741
161,$32 to $48 range for last 4 years,-0.0857
162,Who took a #$%$ in the punch bowl?Down for what reason?,0.2799
163,"Joe, There's a family owned restaurant across the street from me here in Florida, So we do pick up to support her business...I'm thinking of a NY Strip tonight..",0.9338
164,Millennial's will be inheriting the debt and corruption of all politicians and central banks from the last 30 years.,-0.694
165,Joe..Still with us?,0.0477
166,"I have not seen Pets 2 yet, the reviews are strong but Box Office performance so far is unimpressive. Down over 54% from Pets 1 opening weekend.",0.3248
167,80% of stocks not participating in 5 week bear rally CMCSA is one of them,-0.1654
168,I’m liking the upward trend! Let’s head back to 40 territory please!,0.8262
169,What is ur view on Comcast? I am planning to buy but it's too high.,0.5188
170,Mike I have to disagree with you today I think we are going to end up GREEN.,0.3923
171,"Malcom Jenkins is crying cause he wants Jeffry Lurie to stand up to Jerry jones. No Malcom, you disrespectful crud, we want you to stand during the anthem, a song that honors people for their sacrifices, for your freedom.",0.7899
172,Mike up up and up $3.57 at 9:13 keep your fingers crossed.,0.6688
173,"msnbc is killing their viewers with fear porn causing suicides to spike among the few viewers they have left, they are doing it to help fight climate change.",-0.7611
174,"Joe, I'll be eating beans for a long time..Did my taxes today..",0.7868
175,"How many of you can recall years ago when Comcast was THE MOST HATED company in America?When we moved and had to go to an Xfinity store to get our modem and TV box, I told my wife, NO WAY am I doing that! I walked out saying how impressed I was with the efficiency and customer service. Unbelievable and now I own a few thousand shares of this company.",0.3225
176,"Mike, not today my friend, you have a great weekend and be careful.",0.9042
177,"CMCSA wants to get big in the media sector, the reason wanting to buy FOX.Am I right ?",0.3653
178,CNBC has leon cooperman co-hosting this morning....Cooperman was just indicted for insider trading. Trash TV,0.443
179,this board is whackeder than facebook.,0.2264
180,Let's not forget: The Ballpark shooter favorite news show was gay liberal angry MSNBC Rachel Maddow. She taught him to hate Republicans. Now Rachel denies having contact. https://m.youtube.com/watch?v=9f9z8WMj7e0&itct=CAsQpDAYByITCMTC_cv6x9QCFQp6qgod4igIPTIHcmVsYXRlZEj1lqiw653ojOQB,-0.7404
181,"Mike, back to back Green Days awesome!!!",0.8081
182,Verizon starting to leave Comcast in the dust. Whats up CMCSA what ya going to do about it?,0.2063
183,how many of you think Comcast is undervalued,0.0911
184,"Have no fear, mms will walk this down before liftoff, to cover and let their buds out too. Keep a sharp eye.",0.3081
185,"To all Trumpiests coming here to write biased comments about boycotting NBC and switch to Fox, guys do us a favour: go get a job, go get a beer, go wherever you want, just move from this FINANCIAL blog.",0.5303
186,Looks like market wants to go red..,0.3411
187,Joe Kernie's hippies attack the capital,0.0282
188,‘This is Disgusting!’ NBC Under Fire After Mocking War Veteran and GOP Candidate Dan CrenshawNBC and the LEFT WING MEDIA ARE TRASH !,-0.8919
189,"Turkey has 1.37% of the worlds GDP. It could leave the earth, and few people would batter an eye. They have been having trouble for a long time. Yet many ""news"" outlets blame the President for creating tis woes, and hurting the stock market. The truth is, every time a country hesitates on opening its markets, US companies are ramping up to replace that. So China, and Turkey, and Germany, keep stalling. We can make our own products. And the more we do make, the less money and influence you'll have over our politicians.",0.626
