,Recent headlines and conversations for PG,Polarity
44,"True, as RSI is <=30 these r algos that have already programmed to cycle out of value stocks like PG & into more growth & risky stocks due to cheap money ( low interest rates + QE + stimulus etc )..Value stock slike PG r the best place to be in right now, not to much beta ( volatilty ) but stable & growing,, Great point to get in , Will surely revert back to the mean of the Bollinger bands of 137+ in 2 to 3 weeks max...",0.9657
45,Get woke go broke,-0.4139
46,The Environmentalist that invaded P&G Headquarters a few years ago are winning. P&G is moving their product lines to the Left.,0.7124
47,"I am long PG and have held it since it was 85 dollars. PG raised growth guidance, finished a nice year, big buyback in store. What is causing this one to fall?",0.888
48,Another new high! I'm making money while others want to believe the PE is actually 84. You make me laugh.,0.8657
49,"The stock is priced at its pre-earnings amount now. If you THOUGHT it was a good buy then, you should buy it now that you actually KNOW it’s a good buy",0.8898
50,107 by friday,0.0812
51,"Valuator:I'm wondering if you are up to speed with PG.Why did you post: ""Is Buffett going to get KHC'd again?""",0.6098
52,And it begins,0.0332
53,Why is this TANKING?,-0.593
54,$92 closing,-0.25
55,We are all happy Ovomit is gone! I was tired of him bowing to heads of other nations! America bows to no one! Apparently ovomit never got the memo! Silly little girl he was!,0.7166
56,traditional wisdom is PG is a large cap growth stock with solid div yield. what is different on 2017?,0.5846
57,"Hasn't PG beaten analysts' estimates for the last 11 consecutive quarters?If there is a correction, won't money flow into consumer staples for some degree of safety?Shouldn't PG increase EPS by 7%+ for the next few years?",-0.3227
58,Why such a high PE ?,0.5202
59,Nice to see upgrades for a change. JPM raised PG to outperform target at $100 from $82.,0.5672
60,"Barclays bank wonders is PG still a dog after 12 years or is their it might be coming back? It is still a dog and for many years to come but lets ask the 2 experts Osulindrool, and his buddy wooglin3, with months of experience and days of knowing about PG, and best of all they think Lafley former CEO of PG was the best of all time they are 2 people that should know, just ask the they will tell you",0.9712
61,PG reached a 52 Week low at 99.81,-0.1464
62,1.42 at pre-market I guess it doesn’t look too good? Anyone knows anything about this?,0.6826
63,A good stainless disposable razor stays sharp for a year. Gillette blades rust out and go dull after one week.,0.2088
64,"Milton Glass, 88, who helped keep Gillette independent in corporate raider era.By J.M. Lawrence GLOBE CORRESPONDENT DECEMBER 09, 2017Milton Glass worked his way up from the 1950s assembly line at Gillette to the corporate boardroom, where he fended off two hostile takeover attempts in the 1980s as chief financial officer.Mr. Glass faced off first against corporate raider Ronald Perelman, and then a team of young investment bankers during an era when the greed-is-good ethos prevailed. A mild-mannered executive not prone to hyperbole, Mr. Glass explained the razor giant’s predicament in a 1987 interview. “We’re operating, frankly, under wartime conditions,” he told the Globe. “We have a sense of mission that won’t ease up for several years.”With his business skills and reputation for integrity, Mr. Glass helped the Boston-based company persuade shareholders to reject the lure of fast cash from corporate raiders. The fates of thousands of workers in Boston who depended on Gillette were at stake as Mr. Glass worked to stoke shareholder confidence.",0.8108
65,"Having PG since 1972, 2004 till now 13 years PG has gone no where, give it 4 more years it might reach 100. Maybe? If you ask wooglin he would tell you it is because Lafley is not at PG, the reason Really...........ya right,",0.3691
66,"So after one good quarter in years the board awarded the CEO and his minions a 25% pay raise, just maybe they should think about holding off on the raise since I thought these people were paid for results but I guess not at P&G. Maybe the board should have to explain their reasoning to share holders.",0.9378
67,130 after earnings,0.0227
68,pg is the worst of the worst ... its been dropping like a knife and u can never touch it....$140 was a month ago...today is hovering around 120 !!!!Shame on M.F CEO who cannot stop the sell offs nor can he start buying back its shares,-0.5416
69,https://www.marketwatch.com/story/aurora-cannabis-leads-sector-rally-on-news-its-hiring-hedge-fund-manager-nelson-peltz-as-adviser-2019-03-13?siteid=yhoof2&yptr=yahoo,0.0
70,Dollar Shave Club would like to thank P&G for their gain in customer's due to the stupid decision to enter into politics with their idiotic ad.,0.3796
71,looking for upswing maybe 4days out,0.274
72,Guaranteed red today. Bull trap!,-0.5175
73,PG makes most active trading...People are nuts,0.1027
74,Rise!!!,-0.2511
75,"I am more shocked by the sheer stupidity of insulting your only consumer. I don't think this will be a long term problem though. That is one of the GREAT things about men, we don't hold a grudge.",-0.0502
76,Does this POS ever close up?,0.1633
77,Are we seeing a flight to quality OR are we seeing bullish sentiment in this company?,-0.0037
78,going to 95 by December,0.0095
79,looks like a sell. total underappreciated for eps collapse.,-0.001
80,A vaccine for covid is a win for P&G along with the rest of the world. Buy on the dip and a little patience should pay off nicely.,0.9662
81,Charmin now fetching 11 bucks per roll.. time to long PG,0.5556
82,"So I heard that PG talking about CBD - that explains Peltz and ACB. That said, Talking is not the same as doing - I am not holding my breath waiting for an announcement.",0.7828
83,"UHOH!!!US birth rates hit record low and diaper, baby bottle companies are feeling the pinchhttps://finance.yahoo.com/news/us-birth-rates-hit-record-125100862.html",0.4313
84,"KO sale has been down 4 years.. W. B holds that long..Comparing PG to KO.. W. B should have held it. but It doesn't matter, PG haved reduced his share count",0.2012
85,pg===garbage==sell now for 30% drop!,-0.3072
86,Interesting how this reminds me of the late 90s and 2000. The PE hit 41 just before the price halved. Enjoy the ride!,0.8495
87,Moves slow but stable as a rock. I like it.,0.8923
88,I wonder when PG is going to split. Anymore Cheerleaders?,0.4591
89,"I bought this and am taking a loss atm but diversification is key, I can handle moderate loss to the share price and still not care.This is a work horse in terms of dividends, if you own this company for capital gains you are an idiot.PG will out live everyone reading this post. My children will enjoy the passive income from this titan. Short of a Canadian bank (BNS,TD, RY etc) I can think of no safer stock to own for the purpose of safe passive income when I retire.",0.9685
90,"Hi Fred and other friends,l am definitely a looser of PG and long time bag holder. This garbage goes up 0.001% and drops 3% U should avoid buying PG for sure or you will get stuck for the rest of your lifeHonestly, PG is the worst of the worst within its peers...",0.5111
91,Wow! I think this might break 100...,0.5415
92,Inseego insg benefiting from the new work from home and home schooling 4g / 5g hotspots,0.757
93,Bang on the eps report. PG is back growing.,0.5353
94,"I'm only buying Gillette from now on just to combat all you overly sensitive ""manly"" losers. O'Doyle rules!",-0.3993
95,Trump trying to goad Iran into war?,-0.5705
96,dividend hike will be 6%. same as last year. take it to the bank.,-0.1791
97,Rising with good volume. Stochastic oscillator and RSI go green. http://www.foxchart.com/share/798505613.png,0.8817
98,52 week high sellers are here.,0.2327
99,Elephant moved again :),0.4804
100,i sold all pg stocks run away! guy,0.3044
101,"So profit will decline because of a rise in commodity prices.... these prices rise for everyone, are we acting like pricing at the stores never go up? I guess I should be able to buy dish soap for a nickel then. If PG’s raw material costs go up everyone’s does, they may have more leverage to keep them lower.",0.8268
102,The euro vs dollar is now at $1.20. Will pg still use the excuse of exchange rates. That's wearing out.,-0.0947
103,is yahoo right with a p\e of 77?,0.1537
104,Opps wrong board... sorry.,-0.5267
105,"like this volatile market, hope Dow drops more in the near future.",0.6141
106,This stock will en up today,0.2892
107,"$90 closing. That will be something..$2.5 from previous all time high.. You can do it, we can help.",0.3051
108,"Did you get a 19% raise last year? Procter & Gamble Co. revealed today that chief financial officer Jon Moeller had his pay bumped by more than $1.5 million, or 19%, during the 2018-19 fiscal year that ended in June.",0.0089
109,"P&G continues to insult its customer base. In the long run, this is a negative for profits and stock price.",0.3934
110,Unilever seems to have a better product portfolio and better management.,0.8035
111,Consumer spending down third month in a row. Things are tightening.,-0.5986
112,soy boy cuck of a stock. garbage commercial for Gillette will sadly help Trump win when men become offended for being told to stop being masculine,0.2995
113,"Just read Nelson Peltz sold 2.148,127 shares over the last 3 days of October on behalf of his hedge fund worth nearly 267 million. Trian fund still owns about 32 million shares representing about 1.3% of P&G,s outstanding shares.Article states ""In addition, more than 2.09 million shares were disposed of by Peltz on Oct. 31 via a transfer to certain limited partners in connection with a lock-up period at a price of $124.51 """,0.9619
114,P&G beat on earnings and reached expected Revenue numbers. Stock is down in Pre-market trading. This makes no sense!!,0.2766
115,doesn't it cost a lot of money to split? I don't see why they would do this. I'm okay with this price point and continue to add shares.,0.7281
116,SELL SELL SELL *Jim Cramer Voice*,0.6393
117,"What happened to the simple ""last day to buy and get dividend"" post?Did the poster realize her folly?",0.5153
118,10 billions share buyback and 8 billions for dividend,0.6151
119,What the #$%$ earnings beats and it goes down. Something is very wrong,-0.5017
120,How many products from $PG can I use at the strip club I am going to buy? The past owner went #$%$ up and I am buying it from an estate. Lifestyle change but I expect strong cash flows.,0.7931
121,will we see $80 again by Xmas?,0.516
122,what just happened?,0.1404
123,"Got my wish....nice sell into the close.....TOP definitely being put in..........MACD line going to cross, Heck, you have BUDGET ISSUES in first week in December, TRADE talks end of November.......this is RIP to crash back to $90 easily!!!!!!!!!",0.7611
124,We all know that calling your voter base 'deplorable' doesn't win elections.Maybe it works in retail.,-0.3758
125,"did anybody see the after hour trading volume on Friday when it hit $79.92, so many over ten thousands volume hits. it's about turn around time.",0.3278
126,This is exactly the market where high quality stocks like PG thrives... No frills.... Just see this going GREEN and GREEN as the market goes RED and RED....Love this,0.6001
127,Still in a PG bull move cycle to 140.,-0.0815
128,Have calls a little nervous for earnings,-0.1744
129,The just announced three percent dividend hike announced today is peanuts. I have held this stock for over thirty years and just might sell it. They are cheapskates as far as stockholders are concerned but they certainly pay themselves very well.,0.7504
130,worst stock i ever bought this is crazy down every day,-0.7502
131,"I signed out, to see what the cat had been posting.I found this nugget:""...have not a clue but like posters to think they know what there (sic) talking about...""Yet another example how the U.S. educational system has failed those living in Appalachia.",0.3449
132,"If they are earning $1.43 a share and paying a dividend of $2.98 a share; they should be on verge of bankruptcy. (Now, you have to be really smart to see what's wrong with this picture.)",0.5833
133,Never buying Gillette razors or anything from P&G again. These globalists PC liberals need to burn in hell,-0.5705
134,Might be time to sell and take some profit,0.6139
135,Sell or hold ?,0.0576
136,"Actually, a pretty good day today.",0.7736
137,I will never buy ANY of their products again. I hope they go bankrupt.,0.1707
138,PG = Very nice Blue Chip dividend playing stock for everyone's portfolio.,0.7889
139,"Emotional people, like ""Owen"", will appreciate this:https://www.bizjournals.com/cincinnati/news/2019/08/01/exclusive-p-g-toxic-masculinity-ad-tops-115m-views.html?ana=yahoo&yptr=yahoo",0.6764
140,Pelz said rather rich than right. insight to fact almighty buck rules him...hence amoral. guess the Gillette ad reflects that influence. Taylor doesn't have a pair.,0.8099
141,PE too high. In fact all Consumer Staples are due for a nice pullback,0.8075
142,"I have held this stock for 20 years. Although the growth of capital would have been faster in tech companies, I am happy with the dividends.",0.7278
143,Looking for P&G to announce dividend increase next week.,0.6197
144,"Reminds me of an old Luther Ingram tuneIf having PG is wrong, I don't want to be right...",-0.5173
145,"There is an article out saying Costco just started selling their own brand of razors and blades at a 24% discount to Gillette. Also states that Harrys is going to be selling in 2200 Walmart stores the end of this month. P&G share of the razor business has slipped to around 56% from near 70% of the market when they purchased Gillette. Lets hope the BOD finally recognizes the company has so badly managed this brand they need to sell it off as they have made so many mistakes with Gillette it is beyond repairing customers desire to buy this brand, very sad.",0.9426
146,110 at close!,-0.1531
147,"Procter & Gamble (ticker: PG) is up 10.8% in 2020, while the Dow has gained 6.3%.Although P&G began the year with an earnings miss, it has delivered three strong reports since. The shares didn’t react much in April, as demand for cleaning products was hampered by concerns about a strong dollar and the uncertain outlook at the start of the pandemic.Yet the company has been raising its dividend while continuing share repurchases, and its July results showed that even economic uncertainty couldn’t dampen sales of its portfolio of premium cleaning products. The company turned in another strong quarter in October, as organic sales continued to shine.Naturally, 2021 will present a challenge for P&G, as the receding threat of the virus will take some focus off cleaning. Yet others argue that the standard for cleaning will permanently be higher post-pandemic, to the benefit of P&G and peers. In addition, P&G has historically had one of the higher organic growth rates in the staples industry. Those metrics will certainly fall a bit in 2021, but if it can continue to show that it’s resonating with consumers, the shares need not fade with Covid.Analysts seem fairly bullish about P&G. Of the 24 analysts tracked by FactSet, 62% have a Buy rating or the equivalent, while a third are Hold-rated and there is one bearish call. The average analyst price target is $153.05",0.9457
148,conference call says they will beat again,0.632
149,Lowest close since Sept 2015Low debtWill grow eps by 7%+Recession proof products4% (apprx) dividend yieldThis company will see the share price rise again,0.1257
150,P&G had pretty much gotten rid of their R&D in house and is simply focusing on marketing to sell either at white space or any place. It has gone back to their philosophy pre-1970s where you try to onvince people to buy your products instesad of asking people what they need and come out with a product....,0.8295
151,P.O.S.,0.0
152,Keeps dropping after 2 upgrades and earnings beat>MAKES NO SENSE!!,-0.6593
153,When is last time PG up 9% in a day..?I guess COSTCO make PG cheap..,0.3112
154,"Missed my chance in March at $98 dollars, been waiting for another chance to get in. Now lookin pretty good",0.8044
155,green soon,0.0417
156,Ouch!,-0.5801
157,is it time to sell and buy amazon,0.3986
158,New pick GET IN NOW $PG Will get a huge run once revenues from the newest campaign comes in!,0.7844
159,The last straw for me was when my Gillette blade rusted in the shower. Stainless steel blades were introduced in the 1950's. The Vikings carried stainless steel swords.,0.0428
160,David Taylor reminds me too much of Jeffrey Immelt. He needs replaced..,0.1894
161,"Buy at $103, hold til I die",-0.4925
162,"Trian Fund ' Identifies Numerous Material Data Errors, Calculation Errors and Misrepresentations in Recent Procter & Gamble Investor PresentationMight see some shorting today..noah I'm with you on MZOR . Robotic surgery is the way of the future. I once owned ISRG at $70, got bored and let it go and today it trades at over a thousand per share.I'm holding MZOR. It's gone from $20 to $50 in the last 12 months but this is just the beginning. They got noticed after Cramer talked them up a few months back on Mad Money.",-0.1538
163,It is funnie that JimCraper current market is not over valued... He turned around and bash a stocks with pe of 22...How many stocks out there with PE over 22?GawdShiat.,0.4772
164,Will the Board vote for a hefty dividend increase from the new lowered corporate tax rate of 21% or increase the share buybacks to prop up the PE ? seems with the 10 year treasury up to 2.75% announced today that the dividend needs a good boost. Lets just hope they don't vote to spend this on more fancy parking lot designs and social issues.,0.954
165,$200 in 6 month..,-0.0397
166,everyday this pig closes almost a buck lower when will the madness end!,-0.6607
167,DPW is up 5% happy trading,0.6957
168,I didn't see anything on 4 other sites,0.091
169,"PG stable but boring, KEM breaking out finally! for those interested",0.4819
170,Keith. it's more like Tesla than Mercedes right now.,0.4197
171,I BEAT OWN MORE F GOES 119 IS DONE FORGET ABOUT 119SHORT U WIN,0.8185
172,"Cc<a href=""http://www.animatedimages.org/cat-laughing-1309.htm""><img src=""http://www.animatedimages.org/data/media/1309/animated-laughing-image-0057.gif"" border=""0"" alt=""animated-laughing-image-0057""/></a>",0.0
173,Time to fly to 130s,0.1789
174,I guess this is falling because of slowing revenue growth and high premium from the fair value. Fair value is only around $118. 2020 revenue increase was only driven by the pandemic. But I still believe in this company and still own shares.,0.9038
175,110 by next week,0.0454
176,WATCH HOW MUCH I MAKE BY END OF DAY I SHORTED HERE,0.2709
177,"So, does a trade deal have an extra positive impact for P&G above the general lift to the market?",0.8125
178,"Spending money promoting men boinking men?? ok,, sold my shares today..",0.5609
179,"Enjoy Summer and 90 OIL = while Russians< Saudis - Iran, and all others will fill their coffers with that OIL $ to built more arms - Remember Saudis where heavily involved in 2001 9/11 tragedy - Saudis can't be trusted",-0.7877
180,Looking for pull back to 90.00,0.1562
181,Just how high can this baby climb if earnings are good AGAIN. PG is breaking new ground...,0.8507
182,New 52 Week High will happen today!!,0.4574
183,"A lot of the price going down at this point is due to technical analysis. When you have your 50 day moving average drop below your 200 day moving average ...bad things happen. The algos work in full force, traders and computers recognize this bearish sign....and the death cross selloff happens. There was a good article on Yahoo I referred to in a post a few days back.Expect this to drop even more still. I'm eyeing a buy in around $105-$115.",-0.4437
184,"screw p&g!! Will never buy their products again! A corporations goal is to increase shareholder value, which they have failed miserably. Get out of politics!!!!!",-0.3797
185,SRAX is 11 % high today,0.3078
186,Stg big will come in soon,0.0172
187,Whats going on with the low volume the last few days,-0.0996
188,Illinois strict gun laws yet another black angry fired employee goes on a shooting rampage and he should’ve never had a gun. http://www.townhallmail.com/pqcthgsyttcbhytybyhjsbrllvbllyvsddjgkhchfqlqvjf_uhpqpncwypfshnnygywwyy.html?a=&b=02%2F17%2F2019&c=e1b642d82c9b7a40d859e3e2f6063c2e&d=27593076,-0.9205
189,75 by years end then load the boat peeps,0.2532
190,What a gift. Pull back before earnings. Added another 100 shares.Sold a lot of BYND and bought PG.,0.6499
191,PG reached an all time high at 108.27,0.3228
192,"PG dropped below 84.92 making dividend 3.25%, getting close to buy. Waiting waiting...",-0.358
193,124$ after market lol,0.3601
194,"Has anyone seen adds onTV for Microban 24 ? This P&G product kills viruses , including human coronaviruses , on surfaces for 24 hours, when used as directed, yet I have seen nothing on TV about it?",0.1981
195,My new Harrys razor from Amazon just arrived.,0.4302
196,"Considering Elliot Wave and PG:PG is now in Wave 3, which is the longest. With Wave 1 a $20 move down, Feb 21-27, Wave 3 will likely exceed $20--maybe a drop to $103 (or lower).",-0.9313
197,UBIQ looks ready to run. Make sure to put UBIQ on your trading screen now and check out the news earlier today!,0.8424
198,",Seriously!",0.0
199,"good company stock goes down, junk company stock goes up, this is the new Norm !",0.581
200,Profit taking underway should see 124 by next week,0.5441
201,Charmin is selling for $100 for 12 rolls if you can find it.. white gold time to buy PG,0.2434
202,This will hit 100 By next week! and 105 by mid JAn,0.162
203,I TOLD U GUYS I TOLDU IT WONT GO UP U SAFE,-0.4428
204,Boycott Gillette!!!!,-0.5374
205,PG had massive sale in Costco last quarter. Now the customers are not going to buy the same stuff for another 6 months. Have to see how the earnings will be for the next two quarters. Bearish. This is one time good quarter.,0.2256
206,Capitulation going green,0.0351
207,this stock is useless should have sold th is pig at 93,-0.377
208,How low will we go???,-0.4367
209,When is the stock split coming?,0.386
210,86 after earnings,-0.3637
211,"This vile company has sowed the wind, now they will reap the whirlwind.",-0.5425
212,"Fascinating quote from Bloomberg article ""How Peltz Can Turn P&G's Tide"" (located below PG quote):""P&G hasn't bought a company since 2012. Its last big bet was in 2005, when its $57 billion acquisition of Gillette secured 60 percent of the razor market. It's worth noting that Unilever was able to scoop up 15 percent of the same market for just $1 billion last year with its purchase of Dollar Shave Club.""",0.9537
213,"I only reinvest dividends in my DRIP, but I’m not receiving my quarterly statements anymore. Is anyone on the MB still getting theirs ?",0.6489
214,Well... Whadya know! Who knew?,0.1477
215,Shocking decline today,-0.5261
216,100 day MA going down and getting ready to cross 200 day MA.,-0.2905
217,This is heaven during turbulent times...,0.5328
218,One of the best stocks to own in your portfolio. Resilient money machine!,0.8359
219,if it goes lower it won’t pass 68.. today was a good buying point. buy before you miss out,0.6153
220,"Really good technical analysis article on Yahoo regarding PG.The 200 and 50 day EMA are getting close to crossing...which is referred to as the death cross.If the 50 day avg at $133.61 drops below the 200 day avg of $131.69, then we should expect a large selloff to drop this stock even more.I'm looking for this to happen and buy once it drops as this is a excellent reputable company that will prevail in the long term.I think they have beat earnings estimates for the last 8 quarters or so.",0.9347
221,Fantastic numbers. P&G is in beast-mode in times like these. Very happy to hold shares in this amazing dividend king.,0.942
222,PG is flying. Going higher and higher.,0.3557
223,134 by next week.,0.0454
224,As I said PG nearly flat last 30 days,-0.0731
225,I have been pounding the table looking for a good place to park this cash and I finally found a website that send out income producing plays once a week. If you are like me and are interested in strong dividend plays just go to the-stockdork .,0.9615
226,Yahoo says pg is a buy does that tell you what not to buy !,0.5237
227,P/E ratio 65 and thats a bargain?,0.1399
228,going long PG...global products...increasing demand due to hygiene. all they need to do is buyout purrell or Lysol and wer'e in the kill zone....,-0.3805
229,Who opened the can of spam...............,0.0353
230,What a scam. They kill 26 cents per dollar and give nothing to share holders. Lmao,-0.3066
231,"For you gamers, the DJIA is an index of 30 stocks. PG, a component, has broken out as a safe haven stock with earnings. With interest rates falling the last decade, (40 years frankly)- technology, Internet, healthcare and FAANG stocks took in active capital. Rotation starting into late cycle and defensive stocks.Now PG is a safe haven, widows and orphan stock. Unilever, KMB, Colgate type stocks will join in. This is a major pivot.Tariffs not squeezing gains but adding to transportation costs. If PG ever can figure out millennials there will be $100 prints. By year's end?",0.8951
232,"Time to write off Gillette. The razor department is having a price war, and the competition is sharp.",-0.5936
233,Current PG pricing does not make sense. Same for JNJ. I think both will go up 5-7% in few weeks.Now that's peanut compare to daily move you get from stock like $AMZN but if you like safety you should invest here.,0.9
234,Any dividend increase news?,0.5185
235,PG is up 4.99% to 106.92,0.1818
236,Ex-doc on Friday - so .75-.80 reset expected today - all things considered continued accumulation,0.5775
237,"Brutal day for the market today, and I think the next couple of days will be a big tell for P&G. We're just on the edge of the 50 day moving average at $120.29. It's only broke through twice in the last year first time in Dec. '18 when it dipped below $90, and then May '19 dipping below $105. Both times the stock bounced back up. But I'm wondering if there's enough gas in the tank to bounce back this week. I'm gonna put some stop limits to take profits on some of my holding just in case. Don't want to get too greedy. What are you guys thinking?",0.6379
238,"with rising US $, how do they make it profitable in china once they converted rmb to usd",0.8481
239,Earnings b4 or after bell???,-0.143
240,PE Ratio (TTM) 79.94 ?,0.1645
241,"Good news bad news. Great year, good guidance. Poor macro economic report means flight to quality. Oh, my bad all good news for P&G longs.",0.4975
242,"Since the stock likes to flirt with $128 but holds up at $123, just keep writing covered calls at $128 at least 3 weeks out.",0.7327
243,close 126 today for ALLTIME HIGH,0.148
244,The day just started ! We will be up,0.3282
245,"Dividend Hunters Should Consider The Procter & Gamble Company (NYSE:PG), With A 3.45% Yieldhttps://finance.yahoo.com/news/dividend-hunters-consider-procter-gamble-114511080.html",0.3677
246,"Frontline tomorrow: ""Plastic Wars""After viewing, you'll have a very different perspective on plastic ""recycling"".",-0.102
247,90 by end of month,0.0101
248,"Nice to see PG up today. That reminds me, I meant to buy Tide when I went to Walmart a few minutes ago, but I will do it next time. Tide cleans better than any other detergent.",0.8567
249,Why is HB fuller Tanking ?,-0.4952
250,looks like all those Gillette boycotts are really taking hold lol lol,0.7383
251,Another all time high today?,0.3527
252,PEP reports pre-bell tomorrow and may direct movement in consumer staples. Looking at this one as it seems to be the analysts whipping boy imo.,0.7302
253,The 20-days SMA (simple moving average) fell below 200-days SMA and it looks like the 50-days will go below as well. Both the RSI and MACD looking weak. I would wait until these moving averages coil back close together with the 9-days SMA on top of the 20-days SMA on top of the 50-days before buying. Lower low begets lower low; don't try to change a falling knife. Try to buy at the very bottom could be costly.,-0.2538
254,Interesting read:https://www.msn.com/en-us/money/companies/pandg-promises-mega-factory-of-the-future-as-it-shuts-down-old-sites/ar-BBL2P6x?li=BBnbfcN,0.4019
255,PG is not as bad as the stock price shows today.,-0.1827
256,BUY BUY BUY!!,0.4845
257,Is PG undervalued guys? Anyone?,0.1022
258,This trash is so over valued pe should be at 13 expect huge loses the months to come as tech rebounds,0.3283
259,A split on the way???,0.2781
260,"Well let's see only 13 years yes right till pg broke the $90 a share,Wooglin is loving it. Buttt pg normally splits in 7 ears, and now he will tell you pg will split soon , and because Lafley put pg on the right track, butttt 13 years and no split till it hits 110 and that is maybe, today pg paid a div of 1percent. If. KC. Which did not have a great year pts paid 5 percent on its divnot to mention new team bought 8.6 million shares that is why pg up today, Lafely turn pg in to joke, a Wooglin will say it was him, with pg selling 100 companies and now having billions of dollars pays share holders nothing, as usual Wooglin and his brothers who own virtually nothing want to tell you all they know, which is NOTHING",0.9825
261,Global MELTDOWN thanks to TRUMP stupidity !,-0.65
262,What a day :),0.5113
263,This is a buy under $135,0.0951
264,110 after earnings,0.0227
265,Best stock to own in this environment. Steady as a rock.,0.9204
266,Do they buy Tide in China?,0.3832
267,I want to go on record as not giving two $&!+$ about a split. Don't care one way or the other. I thought I might add to the discussion on here.,0.5881
268,its devidend day,0.0733
269,What in the heck are you guys looking at,0.0347
270,"Yes sir, Taylor and his minions are really showing they deserved the 25% pay raise the board gave them last fall.",0.3903
271,Pure Storage is a dead money. I have possion in it and every time it crosses $17.30i sell it. Ark investment is in it. Cathie Wood is smart investor. It is mind juggling why $PSTG & $PG ARE DEAD stocks. While the rest of tech doing well.,0.4669
272,And they return shareholder value by buying back stock. That is where the divestiture proceeds are going. how about a 5th dividend once in a while?,0.7685
