,Recent headlines and conversations for PEP,Polarity
89,"CHASERS WILL BURN IN THIS STOCK BUBBLE!The US Stocks are EXTREMELY OVERVALUED and OVERBOUGHT!SELL ALL US Stocks in this TULIP MANIA BUBBLE! The Valuations are ABSURD and IMPOSSIBLE TO JUSTIFY!INFLATION IS SKYROCKETING as the FED continues to PUMP the Price of everything, stocks, oil, gold, home, land, commodities, utilities, food prices and everything!The World Economy is Collapsing, people are starving, but the US Market Makers are too busy in printing money and PUMPING the Stock prices Artificially to make insiders trillionaire without working!Enjoy Free Capital Gains in the US Stock Market while the Corporate Revenues are tanking and the Economy is Collapsing! US Stock Market is a “GET QUICK RICH” Scheme!Dow Jones Industrial Average (^DJI) was 17,000 in 2016, with better economic fundamentals and higher corporate earnings. However, thanks to the Collapsing Economy, Coronavirus Pandemic, Tanking Corporate revenues and earnings, Skyrocketing unemployment, Trade Wars, Record INFLATION levels, and Heavy Stock Dilutions, Dow Jones Industrial Average (^DJI) BUBBLE has almost Doubled! S&P 500 (^GSPC) was at 1600.00 with better fundamentals and higher corporate earnings in 2016. Now it is sitting at ABSURD 3800.00 with TERRIBLE Fundamentals, Collapsing Economy, HEAVIER Corporate and National Debt and way lower corporate revenues and earnings!The World Countries are refusing to accept the US Dollar as international reserve currency due to the HEAVY Dollar PRINTING!US Stocks are INSANELY OVERVALUED and OVERBOUGHT! US Stock Market is a MEGA BUBBLE right now!!!https://edition.cnn.com/2020/05/01/investing/stock-market-recession-coronavirus/index.html$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $ZM $XPEV $QS",-0.9898
90,I contacted investor relations and they tried to blame it on the way the media reported her comments,-0.1114
91,Paying out more in divy than they are earning. Sell.,0.6235
92,can someone explain why people invest in a very slow profit company like coke or Pepsi when there are so many other much more profitable companies? yes dividend is good but are we really here for a small dividend quarterly? I'm looking for solid investments but this stock is where it was last year practically. ty in advance to any experienced investors,0.9568
93,"Pepsi down to $127 today. This is not the time to panic, load up instead. Good solid stock with dividends. Buy and forget about it.",0.6066
94,Enjoyed a nice dividend check bump.,0.7903
95,"$TLRY has ONLY DEA ApprovalCoke has FOMOPepsi has FOMO$NBEV will be bought by somebody, rumor has $KO Coke and $PEP in FOMO Bidding warCoke paid 3.2 billion for $MNST 17%$NBEV may have $TLRY as a suitor",0.9447
96,"""Gary22 hours agowooglin is a big mouth with no fact""Some erroneously associate the basic math/operational exercise of a split as to having a meaningful and sustained (positive) impact on a company's valuation/share price. i say guilt by association.Gary would like some facts. I'm more than willing to oblige.INTC, after several splits, paid its last split 7/30/00Since 7/30/00Share return: (20.59%) Total Return: 18.12% S&P500 InformationTech Index: 76.96%PFE, after several splits, paid its last split 6/30/99Since 6/30/99Share return: (1.06%) Total Return: 82.85% S&P500 HealthCare Index: 264.80%HAIN paid its only split 12/29/14Since 12/29/14Share Return (TR): (48.71%) S&P400 Consumer Staples Index: 8.76%Source: Bloomberg terminalThe above disproves the hypothesis that ALL stock splits equate to continued positive returns.Why have companies that are ""over due"" for a split (based on history) NOT split their shares?Apparently the Board realizes the lack of the ""need"" to split shares?Heck, when I WAS young, I too though a stock split was a bonus. Then I realized that everyone owns the same amount of the company pre and post split. Spits occur AFTER shares have appreciated. A split simply recognizes shares have become ""expensive"", but we already knew that, right?While I'm neutral on splits, dividend increases are a REAL ECONOMIC event and I'll take them any day!",0.9418
97,Coke turning racist anti freedom is a great opportunity for PepsiCo to grab a big market share.,0.8627
98,PEP is down 5.90% to 122.10,-0.2462
99,"pepico up 5 from open! try to buy calls, missed",0.1437
100,PEP eps is going to be epic.,-0.0041
101,To new high $140 today,0.378
102,Run up till earnings...,0.3561
103,"From Center for Science in the Public Interest:""Consumers in Berkeley, California scored a major victory with the passage of the nation’s first healthy checkout policy requiring grocery stores to offer more nutritious food and beverages in the checkout aisle. The historic vote was taken by the Berkeley City Council last night. The action will build momentum for future efforts to improve the food retail environment across the country.""""The new policy, which applies to retailers with stores greater than 2,500 square feet, will exclude soda and candy from the checkout aisle in favor of fruit, vegetables, nuts, seeds, legumes, dairy, whole grains, and chewing gum and mints with no added sugars. Beverages in the checkout aisle must have no added sugars and no artificial sweeteners, and food items are restricted to no more than 5 grams of added sugars and 200 milligrams of sodium per serving.""",0.728
104,"As we head into beverage season/summertime Pep to increase advertising. Gotta love simple, straightforward business plan,",0.8573
105,SRAX is 15% high today,0.3078
106,Will sell some not all at $140.00 getting a bit steep.,0.0427
107,"All Pepsi has to do to beat coke badly is release a just pepsi, not thick but original with 8-10 times the caffeine sell it for 3 or 4 dollars, take market share from sbux and coke and mnst and red bulljjust caffeine in gatorade a start but Jolt cola would have made it forever if they had shelf space, more caffeine would have saved pepsi clear also.Ntec Nls nbrv 100 mill cap have callsbynd squeeze just beginning, teva irwd wve sldb sage good buys",0.9712
108,Check out Lisa Bouchelle's new CD....Great songs. Beautiful girl. I'm a big fan!,0.8887
109,individual ice crystals that grow while suspended in the atmosphere:I'm guessing you're ESL.Here's a bone:to is a prepositiontoo is an adverbDo you know what a preposition is?Do you know what an adverb is?Learn more and post less.TIA.P.S. You may never own PEP again!,0.3703
110,LOL Cramer was spot on with this yesterday,0.5853
111,Headed back up !!!!,0.4811
112,"Ugh. The second I bought while it sat at 139, it dumps more immediately.",-0.5686
113,I loved this stock and made a lot of money in it but Altria and Tyson foods are better priced and better growth companies in the consumer staple category. I will buy this at $95.,0.953
114,PEP/ACB.....joint venture,0.2044
115,"Maybe ""Gary"", Zeev and others will be interested in the following facts...While I have previously posted factual TOTAL RETURN figures for a few stocks, after they split (returns were sub par), I thought to myself, ""how did PEP perform, after its last split?""Let's go to the tape, courtesy of a subscription Bloomberg:PEP last paid a 2:1 split 5/28/98. I'll use this as the start date, since shares were ""cheaper"" starting that day.Total Return for PEP, S&P S&P500ConsumerStaplesIndex1 Y: 14.30% 28.65% 35.00%2 Y: 35.60% 69.36% 63.60%3 Y: 20.74% 103.69% 63.94%5 Y: 56.85% 104.74% 58.04%Obviously numbers don't lie. If splits are ""special, ""beneficial"" or simply something to ""desire"", PEP would have outperformed the market and its peer group, after it paid its split, right???Why / HOW on earth did PEP's shares UNDER PERFORM both the S & P 500 and its peer group, the S & P 500 Consumer Staples Index? Conclusion: Even though PEP's shares were ""cheaper"" after it split its shares, the alleged increase in retail demand for shares was trumped by others selling shares?There is something much more powerful that impacts a company's valuation, than simply whether it has X shares outstanding or 2X shares outstanding: FUNDAMENTALS!If a company does well, it's earnings will increase (over time) and its valuation will increase (share price).It's a pretty straight forward concept, assuming one can check their EMOTIONS at the door.Cheers!",0.995
116,I haven't seen PEP down this much in some time.,0.2932
117,if worried about. big big bubble hedge with tight stóps tó preserve capitol,0.0895
118,"Looking at the numbers, I see more value here than coke. Anyone else think differently?",0.5028
119,A lot of internal restructuring to hold up profits at the expense of the sales force. Not enough of organic growth and eventually this will catch up with them. Peoples eating habits are changing and PepsiCo is out of touch and therefore I am divesting my holdings. Just my opinion,0.5045
120,I bought 130.95. can I wait for 132 by next week@?,0.156
121,J-Lo will be performing at next superbowl with her 50 yo fat #$%$ and her cast of ex husbands.,0.5068
122,Do I win the title on this board for the highest buy-in price of PEP with an average of 136?,0.8329
123,PEP may close back to 110 for option expire tomorrow,0.1767
124,No reward for having a solid quarter. Hope this is not a harbinger of things to come,0.7544
125,Hahaha hedge funds pulling it down these guys should be arrested,-0.1172
126,Good earnings still not shooting up? What the heck?,0.4221
127,This market is so overbought I think it’s just a matter of time before there’s a major correction,-0.1092
128,This is sick. It should be going at 140 by now.,-0.4203
129,$2.49 to go !!!!,-0.2938
130,Wow I smell a special divy after q4,0.8347
131,"It won’t break in at 140. Maybe we should wait until Friday. Just like COST. First the dip then shoot up after earnings. Hold long. Don’t sell, u will regret it.",0.4014
132,Shorts and sellers burn in hell,-0.6295
133,"I have mentioned this before, I for one would like to see this stock split two for one and also raise their dividend to attract more smaller investors. This would be a win win for all the old and newer investors.",0.9634
134,Do you think people are hoarding food everywhere?,0.1926
135,"I am offended by the Quaker Oats branding and the use of a Quaker Gentleman as their logo! Pepsi change this branding immediately! LOL,LOL,LOLPepsi, you should not have caved on our Aunt. Over the years she has become part of our family and besides Mrs. Butterworth needs a worthy adversary.",0.5599
136,So PEP today is down $4 and they got an upgrade this AM from Guggenheim. From neutral to buy with a $134 target. Are people nuts?,-0.0804
137,Don't sell ... Buy!!!,-0.3535
138,They beat estimates and raised the dividend the dividend 15% (abiout 50 cents a year). And raised their forecast above consensus. So we are off 1% in pre-market? Pretty demanding market!,0.7709
139,Fed Reserve has so outdated that no clues what is going on in the World markets Thanks FED ..You are too late to lower the rate nowBall is rolling down the hillYou can not get in front of it,-0.9056
140,All Channels point up that’s why news out first 100 200 DMA buy....,0.1991
141,"The Pres. Elect. listed his ""personal"" favorite stocks in May of 2016 according to CNN:His top picks? Apple, Microsoft (MSFT, Tech30), Pepsi (PEP) and GE (GE)",0.6031
142,It's Hey let me tell you something it's the dictator of the United States that's causing all this #$%$.... You better damwell hope that we get a Democrat back in an office so we can all be friends again with all our allies.. And where is all this money coming in all this tariff that's going on where's the money... Show us the money dictator.....,0.9483
143,Don't worry idiots. Shorts will be covering soon. ,0.2139
144,Pepsi and all their products will not receive any of my hard earned dollars! Sponsors of the NFL must understand that we support love for country and flag above their profits. Good bye Pepsi - you will get no more of my $$$.,0.9449
145,Been seeing PEP on boycott lists all over the internet...I think it's run is done.,-0.2078
146,"Regarding the purchase of soda stream. As a twenty plus year holder of pepsi stock, i DO not see the vision in this purchase. Every store I go into I see the soda stream machines and refill canisters on markdown and closeout. Unless I missed something three point billion for this seems like a bad investment. I was not privy to any of the details, but on the surface from just an observation point, it appears to be a end of product life cycle purchase, and my guestimate is they paid 3 billion too much. That is how little I think of the product.",0.6998
147,Viva la PEP,-0.1201
148,"In at 102.6. If falls to under $90, will add more. Any fears of it dipping harder than that? Thoughts?",-0.6229
149,thankful for those cheap shares at 132.5 thanks sellers,0.8915
150,"CEO's have to stop taking political stands at the shareholders expense. I'm all in on the PEP boycott. They've lost 3 sales already from me, where I substituted other name brands products in lieu of PEP. This goes on till she steps down.",-0.6375
151,"It seems the whole consumer staples sector is suddenly completely out of favor, this is classic herding by investors. It is very hard to make money following the herd.",0.5632
152,"#PEP has been showing support at 117.12 and resistance at 122. RSI and Stochastic oscillator are triggering bullish signal, according to stoxline.",0.6933
153,"While you emotional posters are freaking out about FAKE ""news"", I'd thought I'd share some real news re PEP. (For some reason, my earlier post is nowhere to be found.)""Jury Convicts Man Who Tried To Use Cheetos In Fire""Dude attempted to torch his ex girlfriend's house (with her inside) and he ""tried to use Cheetos to accelerate the fire""All ended well; no injuries and Shemroy Williams was sentenced to 2.5 years for ""malicious destruction of property"".As far as boycotting PEP, I haven't consumed ANY soda in MONTHS, although I have eaten a few Fritos.",-0.8447
154,Anonymous is a person with too much time on his hands. Just posting hogwash.,0.2919
155,"I need to sell 100,000 more cases of Doritos per minute to get the shares back up. I hope the big corporate stores will give me half of the store space to accomplish this. Otherwise does anyone else have any suggestions? You know Frito-Lay is the heart of this company.",0.8934
156,AMRS said they are talking to the cola companies about using their zero calorie sweetener called Purecane which is safe for diabetics. I assume it includes Pepsi and Coke.,0.7183
157,SPLIT Already.!!!!!,0.539
158,"Will leftists never learn? Of course not they are really that stupid. Keep Indra, I'm boycotting Pepsi products. There is an alternative product for everything they sell. Love the free market!",0.7417
159,"I am hyped on sugar! Woohoo! I have Pepsi and Coke, stocks and cans.",0.7085
160,I'm another soda drinker no longer buying Coke - switched to Pepsi for the long term!!,0.6412
161,"Buy shares people! Push this stock higher! Today is last day to catch dividend tomorrow is Ex- I grabbed my shares today! Pepsi is going higher, an recouped the share price faster then Coke since the March sell off. The snacks are what gives them the edge over competition. If you invested 1000.00 in Pepsi in 2010, that same 1000 would be worth 2600-",0.935
162,"I tried to buy Pepico, earlier with a Call, the spreads are wide, so I only put my orders on the bid, missed this 3% move up, it's not too far from it's high. Buyer of a decent pullback as Ppl are just ordering tons of Pepico products",0.7981
163,When are they going to announce a 5-1 stock split? Very irresponsible of them not splitting the stock.,0.3927
164,"How do you know if you qualified for the dividend, I bought in yesterday..did I 'qualify'??",0.3903
165,Quick Question: Shouldn't I have received my dividend check in my mailbox by now.?? Anyone else missing it.??,-0.5368
166,"Lays chips sales down-----pumping lays on TV----ads , wont help------when number hit -?? the funds see the forward sales numbers --the funds sell----also--KO is pumping on TV , try to save a sinking ship , more ads the more you sink--- If SALE were great , No need for ads----see you at $88.00-----",0.9074
167,Slow price up zzzzzzz.,0.0132
168,"PEP is better than bonds or treasuries for long term holders who need income. Bonds are dead money. At least with PEP you get 3%. Also look at JNJ, PRU, TROW for good dividend income and mostly safe principal.",0.8627
169,"It's never too late to buy comfort food stocks... buy, buy, buy!",0.6187
170,"Who was the brain-dead fool that signed off on the RockStar deal? $3.8 plus that tax deal for RockStar. Junk food that makes you fat, gives you diabetes, and now a highly caffeinated drink largely used by kids who are hyper in nature. Not to mention Pepsi is the largest polluter of plastic around the world.",-0.0701
171,So tired of these so called diversity initiatives which are nothing but money wasting pits. Good job.,-0.0448
172,We're in a rare dip for PEP. Time to load up! Long $PEP,0.7983
173,"PEP, P/E too high. I like their products, but the stock is too expensive. P/E should be 15, given growth rate. It will, eventually, fall back to that.",0.4984
174,why is it going down so drastically right now,-0.4531
175,Let the Communist collapse of all great stocks begin!!!!,0.5162
176,"The one month, three month, six month, and one year charts are all ugly. There's no base in sight. That's the problem.Have to go to the five year chart to see it. Look at the base from August 1, 2014 to August 1, 2015. That's where the bottom and long term support should be.",0.7295
177,Down over $3 today? Buying opportunity? Anyone adding?,0.5271
178,Last day to get in before earnings tomorrow. It will reach 150 before u know it.,0.0933
179,"While the markets bounce up and down, others like me, keep sailing a steady ship.",0.8822
180,How can someone be a CEO and his or her concern is to stay through Corp politics rather than innovation? It’s pathetic,-0.0306
181,Too much G&A in the wrong places. Frito is the shinning star. Steven Williams is a true leader. Beverages broken.,-0.5332
182,"You hear a lot of folks talk about PEP spinning off Frito Lay, which would undoubtedly release some value in the shares. With that said, I'd much rather PEP sell off their non-DSD products which would mostly mean their Quaker products. Would bring in a nice chunk of cash and allow the company to focus on DSD only products. I can see PEP adding additional snack brands to the DSD arsenal, which to me would make a ton of sense. Full disclosure... I don't currently own PEP shares but will likely be starting a position soon. Just waiting to see where things level off. Good luck PEP longs...",0.9684
183,Gatorade has been blowing off the shelf in Walmart and Grocery warehouses,0.5598
184,Pearl Milling? Ugh... Guess we know whose 6 pack plastic holders are trapping the 's.,0.6673
185,is that a death cross on the daily pep chart?,-0.5627
186,Lays Potato Chips - I've owned PEP forever but now I am giving up on Lays Potato Chips. They make them way too thin and all you get is a bag of crumbs. They no longer have any taste. I won't waste my money any more. I'd rather have no chips than Lays Chips.,0.7647
187,Jack what are you on... We do know the United States is in debt thanks to they dictator in office now... But I sure hope you're wrong on everything... Because if it does happen again like 2000 I'll buy Back in....,0.8952
188,Short to about 127.50? Other than that bullish!,-0.1423
189,Wayyyy oversold here. All the fundamentals are in tact with a great earnings report to backit up. Trade it here back to the 140’s or hold for 5 years for 50-60 percent gain and a nice dividend yield along the way.,0.9465
