,Recent headlines and conversations for WMT,Polarity
44,"Adjusted for inflation, our country has now spent slightly more to save our country after the covid devastation than we spent to save our country after WWII but times like that require money to be spent to save ourselves. Just like after WWII when they raised the top tax rate on the very wealthy to over 91% to save our country, we need to do something similar now. Any wealthy person who loves this country may not like it but will be happy to pay it to save the country. After all, they have these vast amounts of money now because they were given so many special breaks that lead to their fortunes. Time to give some of that gift back.",0.9957
45,"Bought a $250 curved monitor for my new PC. I got home and opened it up.Not only was it cracked, it was a completely different monitor with the logo crossed out, tapped over, and had MSI written on it.I took it immediately to walmart, giving them a call as soon as it happened (within 45min) and told them what happened. They told me to bring it in.Then they accused me of putting a completely different monitor in it and trying to exchange it in... They refused me.Not only do I have proof that I sold all my PC #$%$ yesterday. I bought it #$%$ 2 hours ago!Apparently they are going to look into it ?Has anyone had a situation like this? I mean I know this type of thing happens all the time but they should have an SOP for this sort of situation.",0.6198
46,"""my feet have bone spurs""even that was a lie.......The way of the Bone Spurts:lie a way out of military service, brag about having his own doc to check 'dates' for vd",0.4973
47,"I believe Bob is an extremist who uses all forms of social media to spread his “QA” conspiracies, lies and falsehoods. Definitely not a WMT investor. Speaking of WMT, thoughts on the markets tomorrow?",-0.262
48,every time powell or januts speaks you can tell they are spinning the administration's line-- Januts slipped one time told the truth and got the word fast --she back tracked to the standard lie -- inflation transitory --- well they either lie or are incompetent- inflation only goes away by some action not denial -- if the powers that be deny the problem it will get worse --there is no magic here --either act or get run over -- this is the administration on suicide watch -- they will destroy themselves in a matter of months,-0.942
49,"Sterling, go whine someplace else please, this is a stock board so keep it that way.",0.1516
50,"Lindsey Graham wants to harness the ""dark side"" of bone spurs... jeez... lol ""There's something about [djt],"" said Graham. ""There's a dark side and there's some magic there. What I'm trying to do is harness the magic. """,-0.0181
51,SHEP. HERE............................ Penynostoc even said WMT would cut the dividend. I made the statement that I would give anyone $100 that day who posted on the board if WMT cut the dividend. I know WMT and anyone who has held it most of their life knows that WMT raises the dividend every year in April---EVERY YEAR. I knew I wouldn't have to pay off that bet!!! Next week WMT goes ex on the 18th and it will pay the first week of April. Life is good. Those dividends keep me in investing money!!!!I,0.9145
52,WMT payday next month. DRIP,0.1368
53,"SHEP. HERE......................... If the retail sales number is up so much because of the recent stimulus, would you want to be short a retailer that missed on earnings the last time and the same retailer gets 10% of the retail dollars in this country?",-0.2034
54,mark my words this board will be loaded with messages asking what went wrong over the next few weeks-- let me answer them in advance - you believe in magic thinking--that somehow counting cars in the parking lot will give you the answer --the truth is this-- the stock has been weakening for months and you refuse to see what is right before your eyes --there are none so blind as those who refuse to see,-0.6175
55,WMT flu is over............... put WMT on the slate for the long haul..........,0.1362
56,"SHEP. HERE...........................Happy Easter everyone. John 3 16 ........................................I hope everyone gets to spend family time today. When it is all said and done, family is most important and the past year has been everyone's nightmare. It hasn't all wound down yet, but is improving daily.",0.7701
57,"Apple will let ParIer back on the App Store729627 CNN Digital Expansion Washington DC 2020, Brian FungBy Brian Fung, CNN BusinessUpdated 10:32 AM ET, Mon April 19, 2021",0.7526
58,Lets hope a excellent retail sales report tomorrow makes Walmart stock soar. I think their is a good chance of it,0.9465
59,a close today below 136 and you can bet this thing will be in real trouble very fast,-0.5297
60,"TUESDAY IS DOUBLE POINTS DAY @ DUFFYS, RIGHT NOW I HAVE $ 657 IN REWARDS POINTS, I WANT TO SEE WHAT I HAVE AFTER 1 YEAR, I CAN REDEEM ANYTIME.",0.8633
61,"""if you havent been in this country for 325 years like my family, get out"" - texas democrat",0.6907
62,Nike's online sales surge https://www.cnbc.com/2018/09/07/nikes-online-sales-surge-in-days-after-kaepernick-ad-debut.html,0.4378
63,Ohio officials release more body cam video of fatal police shooting of Black teen and urge community to await the factsfacts interfere with the media/democrat narrative.,-0.7795
64,NOT GUILTY,-0.3842
65,"My kids were like Joe’s, they didn’t go to school in a “racial jungle” either.",0.4769
66,Invest in Joe and America IMOThe way to go!,0.6179
67,"“Tariffs Hurt the Heartland,”so says The group of more than 100 U.S. industry groups The business coalition includes groups representing some of the nation’s largest companies, including members of the National Retail Federation and the Retail Industry Leaders Association. Among groups to join are the American Petroleum Institute, which represents major oil companies like Exxon Mobil and Chevron, and the Retail Industry Leaders Association, which represents retail chains like Target and Autozone.",0.7588
68,Borrowing vast amounts of money and increasing our already staggering national debt to pay despicable people that refuse to back to work when their jobs are being offered back to them by their employers is disgusting and abhorrent.,-0.8876
69,"more border barrier was done before the loser, WAY MORE......[djt] added a total of ""80 miles of new barriers have been built where there were none before - that includes 47 miles of primary wall, and 33 miles of secondary wall built to reinforce the initial barrier.""",-0.7407
70,My SMG was $230 100 days ago. Look at the chart.,0.114
71,The estate of Dr Suess halted the publication of the books in question.Thanks.Duh.,0.5111
72,A tale of two WalMart employees:Pepino was fired for stealingMARIA is a multi-millionaire.,-0.399
73,"TrumpScumIn January, just over two weeks after she was sworn in, Senator Kelly Loeffler of Georgia was part of a private briefing on the coronavirus provided by administration officials, including Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases. That same day, according to The Daily Beast, she and her husband began to sell millions in stock, a process that continued over the next few weeks. They also made a purchase: between $100,000 and $250,000 worth of shares in a company that specializes in technology that helps people work remotely.",0.9309
74,$WMT will rise this week.,-0.0592
75,"A coronavirus outbreak among vaccinated players and staff has “rocked” the New York Yankees and attracted the attention of the CDC this week. So far, eight people, including shortstop Gleyber Torres, have tested positive more than 14 days after being fully vaccinated.",0.8735
76,Vermont has the least gun laws of any state and the least amount of gun vioIence.,-0.5164
77,"When you see +150% digital sales next Q , what was I thinking.",0.1597
78,this thing has failed to rally on every DOW spike-- internally very weak -- the only story you should believe is the current price -- all the other stuff is nonsense --the stock is weak believe your eyes,-0.7035
79,i think i will use some of my corporate earnings today to buy groceries. thankfully it wont cost me anything!,0.5762
80,investors seem to like Target more than Walmart...,0.3489
81,Tesla 3 Sales are soaring in areas suffering through the pipeline shutdown.,-0.011
82,"flush their toilets ""10 times, 15 times, as opposed to once.""he claimed, and also grandly opined "" I, alone can fix it""",-0.5145
83,WMT UP $2 yeaterday.....And DOWN $2 today. What changed with Walmart in one day? Or just the vagaries of the stock market?,0.6748
84,SHEP HERE...........people are so jealous of me and all the money I made in Walmart stocks.,-0.3801
85,"Oatly, maker of vegan dairy alternatives, could be worth $10 billion when it lists on the stock market this week, a barometer of changing consumer preferences.“We have a bold vision for a food system that’s better for people and the planet,” Oatly declared in its prospectusMaybe they make beer too?",0.887
86,Even Jake Tapper from CNN thought that so called press conference was a joke!,0.8124
87,". It turns out that Trump negotiated a terrible deal for himself on that very book: the ghostwriter received an unheard-of 50% of the advance fee, 50% of all subsequent earnings and equal billing on the cover. The writer, Tony Schwartz, didn’t even have to push Trump hard. “He basically just agreed,” he recalls.https://www.politico.com/magazine/story/2018/06/01/donald-trump-deals-negotiation-art-of-deal-218584",0.2708
88,There’s no migrant ‘surge’ at the U.S. southern border. Here’s the data.Evidence reveals the usual seasonal bump — plus some of the people who waited during the pandemic wapo,0.1321
89,Look for more bad information about the president who has been banished to Florida to come out. A US district judge has called the nondisclosure agreements that his campaign staff had to sign as null and void because it was too vague and not enforceable by law and was not reasonable.,0.6444
90,"SHEP. HERE.......................... Not about WMT, but the Houston player jumping over the shooter in the game was phenomenal. He totally cleared the guy. The announcers couldn't quit talking about it. WMT was open today. I don't know if this happened in any other areas, but our area was out of gas on Friday. There were only a couple of stations that had fuel. Sam's Club was out,too. They blamed it on the bad weather in Texas a few weeks ago. I cautioned my son who was out of town to be sure he filled up before driving home or otherwise, he might not get here.",0.9336
91,"No money for you!!!Pasquotank County District Attorney AndrewWomble said that statements made by Brown family attorney Chantel Cherry-Lassiter at a press conference earlier in the week about the video were ""painfully false."" She told reporters that Brown was already under fire, kept his hands on the wheel, avoided deputies and was trying to save his life as he drove away.",0.9151
92,Joe gave the eulogy for Robert Byrd.... a Grand,0.8326
93,Confirmed rumor: WMT executives took a tour of Fresh Direct recently..,0.7122
94,"I hope my good friend Pepino doesn't live in New York.NEW YORK - In an acceleration of efforts to reopen New York, Gov. Andrew Cuomo announced Monday the lifting of all of the state's capacity restrictions on May 19 in restaurants, concert halls, bars, museums and theaters - including Broadway.",0.9336
95,is harris still remodeling her house,-0.0592
96,Kenya Lamont Jenkins Jr.wow what a name. upstanding citizen to be sure,0.4513
97,I wouldn't doubt if it closes GREEN today and Lobstah love Green!,0.8389
98,"There is no need to raises taxes on anyone or any company. Stop sending free money to the liberal ghettos. Have those liberals finally get jobs and be a positive side on our economy for once.You see, not only would America be able to use that money for infrastructure upgrades but the democrap supporters would need to get a job and finally pay their faire share of taxes.",0.9035
99,WMT IS ALREADY OVERVALUEDAmzn is the place to be,0.2444
100,"“there’s no reason to be walking around with a mask.” Fauci’s remarks were made on March 8, 2020Those are",-0.3589
101,"David, for all your whining, do you know the difference in capital and capitol? I do own what I say I own and WMT is close to half of my portfolio and that is just because it has grown through the years and I do not want to pay the tax on it. Would you pay tax on it, if you had a cost basis of $2. I figure I am being smart using the money thrown off to buy some growth ones. You tend to insult me constantly but I am just an investor who is plugging along buying dividend payers and some growth ones. At the moment I am paused on buying stocks because I am afraid of the STEPPED UP BASIS GOING AWAY. If that happens, I will be giving away stocks from my account that my children can hold for income (even though their cost basis will be the same as mine). Now you can insult me all you want, but I am exactly who I say-- a retired teacher who has a multi million portfolio and I have dividend income of about 105k that grows yearly because of the aristocrats and my husband and I both have pensions and both collect SS. Now insult away. I love WMT and I will always shop there. I requested a book for Mother's Day but told one child, ""it is not to come from Amazon"" (WMT does have it).",0.9898
102,Why are gas prices up over 20% since Joe took office?,0.784
103,"JUST HAVE A FLAT TAX, % OF INCOME EARNED WEATHER U MADE $ 10 OR $ 10,000,000.",-0.3528
104,"Now, back to WMT. Thoughts on tomorrow’s trading?",0.1852
105,https://www.financial-planning.com/opinion/stock-market-performance-after-3-years-donald-trump-and-barack-obamaTrump vs. Obama — who had the best 3rd year stock market gains?Obama 78.6%Trump 52.2%,0.6425
106,I suspect rioting tonight regardless of reason Justice of any kind is not enough to assuage those who are driven with hatred of America,0.4027
107,"“You’re not a one-person show"": Pelosi unloads on ""The Squad"" in new biography",0.1092
108,"Well, rest assured if your bank accounts are going to be scrutinized, that will just be the beginning of the biggest government control of your life. It will make Russia look like kindergarten.",0.8734
109,"JB still hasn't held a news conference, 59 days and counting.....................................................................",-0.3763
110,"Defund the police? "" Other countries have narrowed their role and boosted other services.in most European countries, policing isn’t viewed primarily from a top-down, law-enforcement perspective, but rather as part of a bigger solution to social problems. “It’s not: There’s a problem, send the police. It’s: There’s a problem, let’s work together to find a solution,” she said. “Policing is seen as a small part of a bigger set of actors in terms of addressing social issues.”""",-0.7042
111,Let's go walmart stock .... 150 coming soon !!!,0.6035
112,A lot of money will be spent at WMT for Mother's Day and graduation this weekend. I will be making a trip there in a few minutes. Also Father's Day in June is another big day. Flowers are suppose to be in short supply this year so that means more money will be spent on other things.,-0.1121
113,"God bless America, God bless the stimulus package Going UP",0.8837
114,14-year-old boy among 4 killed in overnight shootings across Chicago,-0.6003
115,Bezos selling billions of AMZN stock in future tax preparation.,0.049
116,It doesn't look like we are going sub 100 today either.,-0.4559
117,"healthcare news > this ""memo""",0.4737
118,"If you buy dividend paying stocks (particularly from the Dividend Aristocrat list), you will have a rising income. It won't go up that much each year but eventually it totals up to be a good part of your income. We have been buying off the Aristocrat list for a long time and now our dividends are the bigger than our other income. We invest the dividends and pay the tax out of the other income.",0.9594
119,I love the board monitors. LOL,0.8499
120,I thought someone on this board said institutions were getting out of WMT.,0.3832
121,Entrepreneurs/Innovators: working working 24/7/365 is worth it knowing when I die my family will get nothing,-0.3211
122,WALMART EARNINGS HAVE BEEN BUMPED UP TO $1.23 VS. $ 1.21.,0.6617
123,Why are we and the world community for that matter not aggressively pursuing the investigation into the origin of this devastating deadly plague that was known to be intentionally unleashed upon the world community by the chinese. When they allowed international flights only to fly out of the epicenter city of Wuhan but despicably blocked all domestic travel in and out of that epicenter city to protect their own domestic population only.,0.6863
124,"thinking abiut dumping walmart this week, has gone nowhere",-0.0686
125,looking at the chart wmt closed at $152.79 on 11/30now $ 127.59.... that's a 16.5% decline,-0.3395
126,now you guys are in trouble you could not close above 136 now a weekly close below it opens the flood gates----------- stop hunting begins tomorrow ---,-0.5437
127,Has anyone EVER seen a democrat here post about something positive?,0.7078
128,The stimulus package will certainly assist low income families; that's a good thing. Translation: Those with low income generally shop at WMT. That's a good thing.,0.8532
129,"Jut the facts(CNN)The US Border Patrol has detained more than 11,000 unaccompanied migrant children between February 28 to March 20, according to preliminary government data reviewed by CNN, already eclipsing the number of minors apprehended in the full month of February.In recent weeks, the number of encounters of children crossing the US-Mexico border alone has continued to climb, overwhelming the government's resources that had already been under strain because of the coronavirus pandemic.In all of February, Border Patrol apprehended nearly 9,300 unaccompanied children at the US southern border, up from around 5,600 in January.",0.4231
130,TTD upgraded to buy at Truist after yesterday's selloff. Walmart has been working with this company.,0.374
131,"I guess the sheep don't know this is Walmart stock page , did I spell sheep right, or is it Shep ?.........like the little trumper he is , all he has is diversion .....................Walmart is not keeping up with population growth , Aldi's is setting up beside them , Lowes and Hd are already there , and have a better selection on many hard goods Walmart sells ...........Walmarts margins will decrease , and WAGES will be forced up ,",0.9025
132,ANY GUESS HOW LONG IT WILL BE BEFORE HOME DEPOT HITS $400 / SHARE.,0.9058
133,I bought a little more BABA today. I keep adding a little as I get dividends in my Roth because you don't get anything for holding a little cash. I keep hoping BABA will get some mojo again. I wish MA would resign and I think it would take off. Ma has angered the powers that be and I doubt it will get better.,0.7828
134,"And the ratings are down for professional sports as well, except baseball and hockey. No one want to see those people, even if it's free. lol DopesSunday’s Grammys settled for 8.8 million total viewers across multiple platforms. That tally is down a full 10 million viewers from last year’s telecast (18.8 million total viewers), and basically halves the annual CBS awards show’s previous record-low audience (16.9 million total viewers back in 2006).Last night’s primetime special, hosted by “The Daily Show’s” Trevor Noah (pictured above) had a 2.1 rating among adults 18-49, according to Nielsen. The prior low was set last year, when the Grammy Awards received a 5.4 rating in the key demo.",0.9653
135,Peloton stock shed $4 billion in market value in 1 day over treadmill debacle.,0.2483
136,"Blue light special on WMT. Everybody shops Walmart - why? Good prices and good selection and with online, pharmacy and fin tech aspects lots of upside potential",0.9355
137,"PRICE OF GAS KEEPS GOING UP, LAST WEEK I PAID $ 2.49/ GALLON TODAY $2.99/ GALLON.",0.6933
138,WMT 200 in 6-8 weeks,-0.0397
139,"WMT long term, NEVER short. DRIP (direct reinvest Plan) and forget. Simple!!",-0.2608
140,Walmart Canada hands out $120M in bonuses to employees !Leaving investors IN THE DARK !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0.4235
141,SHEP. HERE.............................. The 12th most valuable company in Africa is Massmart. WMT owns a big chuck of Massmart.,0.6725
142,"I wonder if Chauvin should give himself heart disease, COVID-19 and OD on meth and fentanyl to see if he can survive that too?",0.7588
143,"For those looking for a lottery ticket, keep an eye on 3x Semiconductor index SOXL. Down 12% today, I’m adding call options as it crashes. Semiconductor industry is a behemoth and the turn around will be epic",0.7004
144,feds must be searching rudy's place for ways to fix NYC,-0.2491
145,Tesla will no longer accept BitCoin payments.,0.2845
146,Anyone here attending any of the super spreader events in most major blue cities this week?,0.5027
147,SHEP. HERE.......................... I love this article from Motley Fool ---3 apocalypse proof stocks-- WMT COST and TGT. I guess Penynostoc didn't read that in time.,0.8529
148,FORMER WALMART EXECUTIVE MARC LORE AND ALEX RODRIGUEZ TO BUY N.B.A. MINNESOTA TIMBERWOLVES FOR 1.5 BILLION.,0.3629
149,"What's the big deal? This happens in my neighborhood every day. (CNN) Five unaccompanied migrant children, ranging from as young as 11 months to 7 years old, were encountered along the Texas-Mexico border Sunday, according to US Customs and Border Protection.",0.6927
150,"John/fritz, do you ever regret not getting your GED like Pepino does?",0.1024
151,Raising guidance will be the key to keeping the early gains today!!!,0.4609
152,"Me be laughing at Walmart employees. They want 15 dollar an hour. There are hundreds of thousands of immigrants coming over the border now. They will gladly work for two dollar an hour with no benefits. Does not take much intelligence to work at Walmart. Who you think Walmart would want 15 dollar an hour employee with benefits, or 2 dollar an hour employee with no benefits?",0.9566
153,"So is Seattle. They have a Facebook page called 'Seattle Looks Like #$%$ ' lolPortland is ?Sick and Tired? of Anarchist Violence, Destruction, Officials SayBrittany BernsteinTue, March 16, 2021Elected officials and community leaders in Portland, Ore., joined together on Monday in calling for an end to the violence, destruction, and intimidation by far-left anarchists who have spent nearly nine months wreaking havoc in the city amid ongoing protests against racism and police brutality.?The community is sick and tired of people engaging in criminal destruction and violence and doing it under the guise of some noble cause,? Mayor Ted Wheeler said during a news conference, according to the Associated Press.?I say to them today, ?Stop you are not helping, you are hurting black people,? added Gordly, the first Black woman to be elected to the Oregon State Senate.The Mark O. Hatfield Federal Courthouse was the site of nightly clashes between rioters and police last spring and the violence has again ramped up in recent weeks. Federal officers were stationed outside the building for much of the summer but were removed at the behest of local and state officials. Wheeler was forced to move out of his Portland apartment building after rioters set fire to the building?s lobby over the summer.The Department of Justice has reportedly paid more than $1.5 million to repair the damage done to the courthouse in the months of unrest, according to the Oregonian. City police spent almost $8 million responding to the riots, making over 900 arrests throughout 120 consecutive days of unrest.Fencing that surrounded the building was removed last week, but was later reinstalled on Sunday after protestors set fires, smashed windows and tagged the federal courthouse with spray paint.The fence went back up at the tail end of another destructive week for the city: rioters broke windows and tagged buildings downtown with anti-government and anti-police sentiments on Thursday. The next day, roughly 100 people paraded through the Pearl District, breaking windows and blocking the street.Very lucky! lol Dopes",-0.9904
154,"PENYSTOC, MADE MONEY IN WALMART STOCK TODAY, AND YOU ?",0.532
155,Prosecutors say he violated the NOBLE job of being a police officer.................RIGHT BEFORE THEY RETURN TO THEIR CALLS TO DEFUND POLICE AND INCITE RIOTS!,-0.5013
156,the reopening trade reminds me of the 35 times they were able to pump stocks on the same china trade news just before the crash-- eventually people figure it out--GET OUT,0.821
157,This is a stock where even insiders are buying. At a time when most other stocks are being dumped by insiders.,0.266
158,"Who here supports this? Feb. 2, 2021 at 6:00 a.m. EST SEATTLE — Some workers in Amazon’s Bessemer, Ala., warehouse complain that the company’s aggressive performance expectations leave them little time to take bathroom breaks.When they do get there, they face messaging from Amazon pressing its case against unionization, imploring them to vote against it when mail-in balloting begins Feb. 8.“Where will your dues go?” reads a flier posted on the door inside a bathroom stall.“They got right in your face when you’re using the stall,” said Darryl Richardson, a worker at the warehouse who supports unionization. Another pro-union worker who spoke on the condition of anonymity for fear of retribution said of Amazon’s toilet reading: “I feel like I’m getting harassed.”",-0.5875
159,"I went to wall mart store in my neighborhood 3 pm , was surprised to see vegetables shelves were empty? Sold out or something",0.5371
160,LETS GO HUSKIES,-0.0011
161,"Good fundamentals, International Reach, and now a yearly membership to increase customer engagement and spending. Going long!",0.8686
162,"SHEP. HERE.............................. Penynostoc, this is a warning--- GET OUT NOW before your losses grow. This won't be your last warning cause you don't listen anyway, but I will try!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",-0.409
163,Just another day in paradise!San Francisco TV reporter robbed of camera at gunpointThe San Francisco Police Department saw a $25 million budget cut,0.2782
164,"Alice Walton contributed over $350,000 to former Walmart employee Hillary Clintons campaign.",0.2073
165,"CDC: odds of being murdered in USA 1 in 18,989.odds of dying of heart disease at 1 in 517. (but gop pumps lies like “You won’t be safe in [ Joe's] America” , & does less than nothing on healthcare)",0.3501
166,"Texas Drops Virus Restrictions Amid a Wave of U.S. Reopenings(You know, because it's just the ""common cold, folks"")",-0.1771
167,He told you he would get you $15 an hour and forgive your student debt. All you had to do was vote for him.,0.6338
168,Experts estimate it would take $6 Trillion to upgrade our infrastructure. $2 T is a good compromise,0.5903
169,The reason WMT was able to increase profits dramatically is because they price-gouged their customers at every opportunity.,0.8149
170,"Raised guidance, T O O.",0.0288
171,"hey fritz i missed the number 1 rated news show on cable TV last night, can you let me know what he said? i know you were tuning in.....",0.565
172,the down side on this will accelerate to the point that institutions will be forced to dump in mass-- right now they are selling under cover of the market -- soon to be wide out in the open-- get out,-0.8226
