,Recent headlines and conversations for PYPL,Polarity
74,PayPal Joins Uber in Coalition to Address Barriers to COVID-19 Vaccine Equity,0.637
75,"Watch out, PayPal. Square just launched its own bank",0.6218
76,"Cramer's lightning round: You should own PayPal, don't trade it",0.2718
77,Why PayPal Stock Crashed Friday,0.4271
78,PayPal valuation eclipses Mastercard's amid boom in online shopping,0.6415
79,PayPal to acquire Curv as it bolsters crypto ambitions,0.5724
80,PayPal Holdings Stock Appears To Be Significantly Overvalued,0.1013
81,Paypal (PYPL) Gains As Market Dips: What You Should Know,0.6041
82,"Top Research Reports for PayPal, Wells Fargo & Lockheed Martin",0.6605
83,"PayPal Partners with CodeHouse, INROADS and National Association of Black Accountants to Mentor and Recruit Black and Diverse Talent",0.6466
84,"Thinking about trading options or stock in Nvidia, General Electric, Nio, EXACT Sciences, or Paypal?",0.6137
85,"Afterpay's Nick Molnar thinks millennials and Gen Z won't trust buy now, pay later products from the Commonwealth Bank and PayPal",-0.3947
86,"The Zacks Analyst Blog Highlights: PayPal, Wells Fargo, Lockheed Martin, Intuit and Equinix",0.4362
87,"PayPal Buys Curv to Expand Support for Cryptocurrencies, Digital Assets",0.745
88,1 Reason PayPal Holdings Can Keep Winning,0.6723
89,"PayPal Holdings Inc. stock rises Monday, outperforms market",0.5248
90,"Venmo vs. PayPal: Versatility, Costs, & Features",0.3448
91,"Forget PayPal, Now’s the Time to Buy Mastercard Stock",0.2568
92,PayPal (PYPL) Expands Interest-Free Pay in 4 Service to Australia,0.1269
93,PayPal (PYPL) Goes After 'Crypto-Curious' Customers,0.1095
94,"After 22 Years In Business, PayPal Is Still Just Getting Started",0.2168
95,PayPal and Just Capital are rolling out a worker wellness effort,-0.0346
96,"IBD 50 Stocks To Watch: PayPal Stock Finds Key Support, Offers Alternate Entry",0.7102
97,PayPal (PYPL) Boosts Cryptocurrency Initiatives With Curv Buyout,0.5671
98,PayPal CEO Dan Schulman outlines vision for super app future,0.9109
99,PayPal to Acquire Curv USA - English USA,0.7723
100,Why PayPal Stock Is Moving Higher Today,0.7265
101,PayPal Acquiring Cryptocurrency Security Company Curv,0.5057
102,PayPal: Next-Generation Digital Payment With Blockchain,0.3909
