,Recent headlines and conversations for HD,Polarity
28,https://www.macrotrends.net/stocks/charts/HD/home-depot/pe-ratio,0.0
29,cant believe this is staying above a 2% loss.,0.0606
30,"Home Depot stock headed to $200 in the booming President Trump US economy, thanks President Trump.",0.6675
31,Don't understand why HD wouldn't be making the come back that Lowe's is.,0.0706
32,Market Realists are PAID BASHERS!!! Scam Artists on every site! They Are Paid !!!!,-0.7026
33,Is HD going to plummet or skyrocket when they report earnings next week?,0.546
34,Several analysts lowered target today with the lowest @210 and highest @250. Don't see any sell ratings and Jefferies suggested buying on the dip! Just has to play out I guess.,0.7318
35,HD is overbought and RSI is at all time high. Stock will retrace back to $144 before buyers come in. Technical analysis is only we to go here. See you at $144.,0.7477
36,Keep buying loser because Cramer told you,-0.0996
37,Betting on America is the equivalent on betting on a company that respects its workers and pays a 1.50 dividend to its shareholders. Keep driving the price down on this stock I will just buy more!,0.727
38,it is going to$200 then split city 3for1,0.1821
39,"Hilarious. Maybe your hiring of billions and billions and billions of illegals is catching up to you. You mentally challenged Trumper mullets want to get rid of all illegals except the ones who work for The Depot. Obese white mullets who can't clean their own pool or mow their own lawn, but want to rid America of the Mexicans. I hope you bet it all at $209, losers.",0.2466
40,Good stock.,0.5646
41,"Does the scam even involve funds trading back and forth anymore, or is it just fake prints?",-0.5989
42,"Boycott HD and all other Georgia-based companies. There have to be consequences for its government's decisions. If you don't make a stand, you could be the next one to lose your rights. Make a difference.",-0.1837
43,Pump and dump the hallmark of the  If it looks like a bear  Smells like a bear  Acts like a bear  Feels like a bear  Then you know the rest don’t you ?Pump and dump is the hallmark of the bear  Are you learning anything yet ?Or are you as dumb as the treasury secretary  from Goldman ?,0.3242
44,"Ouch, looks like a while till we hit 300",-0.0836
45,"what the heck, down 7.50 after hours",-0.2923
46,"This stock is a sell on fundamentals. Fundamentally, the shelves are barren at three HDs I shop at so either the supply chain is disrupted, management is minimizing inventory build or they are intentionally creating supply shortages so they can conspire with the Feds mandate to let inflation run rampant. Either way this is now a major sell",0.7277
47,i bought 191..should i sell for loss?,-0.247
48,dropping like to hell...,0.3574
49,"Market sucked today, it’s been flat since the GOP took control.",-0.6077
50,hahahah.AIIah Akabar. HD iz support Trump. Jeff Bozos of Amazon iz support Hillary. AMZN soon wiII destroyed Home Depot an make Amrika a grate cuntree like lsIamik Republik of Pakistan..so Hillary suppoerturs iz win and Trump supporturs is loose....ahahahahahah...,0.8761
51,"Folks, today is just a bad day all around. We just need to hold and keep collecting that dividend. The share buybacks coming later this year will help boost share price.",0.8363
52,i have an options question. i have jan 2018 calls that are doing well. how close to the strike day do i hold the options if the stock continues to go up,0.347
53,good thing their on line sales are up there's no disputing their in store customer help is terrible.Then again it's no better at Lowes. Just saying.,0.488
54,New all-time @ 331+! Please do NOT split!!,0.8502
55,long,0.447
56,I’m feeling completely unsuccessful !,-0.3164
57,Flaps down in our dissension downward,-0.4801
58,Good time to buy I guess nobody else is. So I will.,0.5607
59,Hate this stock!!!!!!!!!!!!!!!,-0.6984
60,Can we see 172 today?,0.1264
61,It’s down because margin requirements were hiked for HD. Wall Street way of taking candy from baby,0.2679
62,hmmmmmmhttps://finance.yahoo.com/m/3026aac3-08c5-3d20-bc8b-3711aaf5720f/sherwin-williams-shares-fall.html,0.0
63,5 MORE BUSINESS DAYS TILL EARNINGS!,0.1378
64,Wake up the divi was raised from 4.12 to 5.44 per yr. Hardly a company struggling.,0.5888
65,YES YES COME DOWN BABY YES YES,0.8732
66,Construction companies should follow HD the uptrend...... Bird Construction is growing too..,0.2618
67,"Cashed in my calls. May go a little higher,but this move is un natural and there is way more down side risk than upside potential",0.4965
68,"Why do HD stores have a wait line and Lowe’s do not, seems to not have a lot of logic must be run by Democrats",0.4616
69,HD did the same thing on July 20 when it sold off erratically on big volume then went on to recoup the 10 points lost. I believe it's one or two big hedge funds and history will repeat itself. HD just reported their best quarter in company history. It's the Prima Donna of retail. 50 sma is 152.43. Enjoy the ride back up!,0.8933
70,Let them run it back up and sell the rip. Time has started to sell the rips. Home Depot is going to drop to under $152,0.7552
71,I think we see a bounce today.,0.1503
72,Any kind of a split would help stock go up .,0.7204
73,"Friday will tell the tail, will see how HD holds up!",-0.161
74,"lumber, and most materials in most of products they sell continue to rise, HD continues to pass along costs well in advance of their hedges....could go another 15 to 20 % into earnings,, then the sizzle / steak idea comes into play for a bit",0.4637
75,add more to my core holding,0.5846
76,"every stock.look at them all.big spikes.bagholders,get ready for the crash",-0.0741
77,Why is the price dropping,0.1069
78,if shares are repurchased can that lower company tax bill?,-0.0662
79,Traders will look for any reason to sell a stock. HD business has been holding up well against AMZN. A product that is sold by SHLD is now also going to sold by AMZN is a rational reason to sell HD. Really!,0.7956
80,"Is it THE HOME DEPOT or is it HOME DEPOT? I noticed on all the stores now it say's ""THE HOME DEPOT"".. Waz up with that?Lowes stores don't say...""THE LOWES"".. No it just says .. :'Lowes'.. K-Mart stores didn't say... ""THE K-MART' SO could someone tell me the reasoning behind the new signs saying ""THE HOME DEPOT""?",0.8664
81,for a downgrade and the way the market is today looks pretty good to me will be buyingore at these levels.,0.6093
82,"Looking like a good 3rd or 4th qtr short. The company reminds me of Federal bureacracy, bloated and stupid. Went to one Saturday and it was packed but the pitiful CS lost me after 3 hours of waiting. Lost a litlle time but kept 5 grand in my pocket so I want thank HD for there incompetence.",-0.676
83,Earnings miss 2.08 vs 2.25 expected,-0.1322
84,if you want to be anti-American and a liberal Nut Job go Support Nike,0.5286
85,This is an absolute dream to get HD at these prices!,0.6283
86,Getting impatient with the SP. The way things are going HD will soon be a value stock....,-0.256
87,Stores have been very busy ....... way over blown stock correction,-0.014
88,"No one buys big ticket appliances online. They want to look and feel prior to buying. Design, color, sizing, questions etc.This is overblown and once they realize Market Makers are buying call options like there is no tomorrow.",0.7574
89,"I own both HD and Low stocks although I originally bought 70% HD and 30% Low. Bought shortly after the lows of March.HDs low was 152 and has gained 88% to 286 while Low's ""low"" was 65 and has gained +160% more on its way to the current price of 170.People talk about Apple all day long, well Low has performed better than Apple since the lowest point in March.Truth is Low was and is still a lot smaller than HD so it can grow more. But careful with HD not being considered since the fundamentals are there and the earnings will once again be extraordinary. So the correction will happen and the price will correct itself upwards soon or later.My suggestion, buy both.",0.9336
90,Just bought 10 put contracts with $160 strikes,-0.1836
91,"Ed you are seriously wrong. HD has positioned itself as a high IT company and its online side is sky rocketing. It's ridiculous you complain because they increase wages? Sorry, HD has values and if you don't want to invest in that, then don't. And look out for probably another record breaking earnings as we wait to see what black friday/etc did. This stock is very under valued right now.",0.8093
92,I wish some one to tell Ford to be 100,0.7222
93,Home Depot $195 ++++ this week,0.3285
94,HD at the top of gainers in my 50 stock port on a down day.. not too shabby..,0.5914
95,A good company just don’t fight the FED. Let it go till interest rates peak.,0.3035
96,Let's Go Orange! Gotta love HD!! Long n Strong since 1993. Retirement @ $400!,0.9099
97,"HD stores has always been busy before these Hurricane and will continue to be busier after these Hurricane. Imagine that. Go Figure! If it breaks Friday's high, lookout!, strength and momentum will take it a lot higher! Strength and Momentum baby!",0.9183
98,Slow rise back after stupid analysis ( 55% record) trashed HD.,-0.7037
99,if you want to be part of something support Bernie Marcus and the Home Depot foundation's this is true Americans,0.8287
100,why would any democrat shop at home depot... insulting 1/2 your base and all of your workers isnt going to help their bottom line... stock is going to sink... unless the #$%$ is buying,0.7918
101,I wonder how the shorts are doing?,0.0836
102,time to load up folks,0.4458
103,"HD is exceptional in its response with customer satisfaction......It's marriage with RYOBI is becoming detrimental to its mission in that customer satisfaction. HD has dumped millions of RYOBI battery equipment and tools that simply fleece the HD customers with $100 failed batteries and chargers with both downtime expenses and failure after failure of ""defectively engineered battery systems"" and it appears to be an after purchase RYOBI Gold Mine. HD needs to threaten RYOBI to either honor a 24hr turnaround replacement on this dilemma that really should be taken up as a class action suit in the interest of the consumer. An example : Even the battery stock found on the HD shelves have reached such a charge rate of nearly 0 that they too reflect ""Defective"" when attempting to be charged, leading to another loss of $100 and travel and down time on the greedy RYOBI fleecing. Reviews initially reflect happy customers..... but they all later return disgruntled with the failed battery rate and the anguish of purchasing battery after battery with the same results. Time to ditch RYOBI by the trusted Home Depot before it begins to reflect on the bottom line. JLG",-0.6496
104,"OMG, this board is WAY too bullish, i'm shorting.",0.0126
105,"i left home depot 2 weeks ago , i am semi retired but might go back part time next year. all i can tell you is our sales were really good this half we have two for the year. this company is very healthy in my opinion . the shares they bought back several billion is another strong thing for this company. gl longs",0.9752
106,Stock market has gone up $10000 points since Trump took over from that last mess that was running things....crack pot Susan wants the dems to win the election just so she can start shorting the market.....what a creepy girl...,0.7545
107,Well...I think we can let go of Waters. Unless you're curious as to his Zulu time posts. I suspect a name change. Can't get rid of these rats.,0.2582
108,"All the news is good for hd for a few weeks , don't understand why it will not move up",0.588
109,"Back to 200 a share. The company has strong pro sales, and specialty departments are making housing upgrades smoother and complete. The buyback helped employees moral boost as well. Need to do that again!",0.8947
110,Market is crazy right now up is down and down is up. It will turn for the upside . Remember its only a paper loss unless you sell...,-0.438
111,Going for a new high...cover your shorts,0.1808
112,Why are there always H 2 0 backs loitering around in Home Depot parking lots?,0.2651
113,The ceo should have known that lowered guidance would not have gone over well. Tsk tsk,0.2816
114,Think will close GREEN. At least in the after hours.,-0.04
115,Charts setting up for a reversal down. Lock them profits in kids.,0.4763
116,Never had a doubt,-0.3389
117,Expect div in 1.18 - 1.22 range,-0.1157
118,"Some one was questioning about my crystal ball about a month ago. For that person, do you have any other questions.",0.46
119,HD is up 4.92% to 228.55,0.1818
120,"Why is Lowes down #$%$ today and Home Depot is up +$1.30? The reason why is that Home Depot keeps reinvesting in itself by improving the quality and efficiency of its stores, Plain and Simple.",0.8173
121,relax folks it isn't the first time HD reports and it drops 5%.,0.4746
122,this has a lot of retracement to go..,-0.1276
123,Bitcoin looking good today and moving.,0.7872
124,Free money. Buying this dip. Thank you HD,0.8498
125,What will HD and KO do about about that massive voter suppression in their home state? How can I buy their products much less invest in their companies with this atrocity going on?,0.5249
126,short is looking good should last for a few weeks.Cover for 15 and ride it back up after the market settles and the fed gives everyone a million dollars.,0.4239
127,Trump just slapped the middle class again with more tariffs.,0.2278
128,HD is down 12.02% to 180.95,-0.2462
129,HD220- the compounding of elements that helps fuel my early retirement... : P,0.5138
130,"Home depot Rug Maker Mowhawk red AH...Mohawk Industries, Inc. (MHK)NYSE - NYSE Delayed Price. Currency in USDAdd to watchlistQuote Lookup130.71-3.45 (-2.57%)At close: 4:02PM EDT128.25 -2.46 (-1.88%)",-0.3803
131,This stock just go down every day. Can not believe we are trading below $268. Market up again. I think it is crazy that the stock is down almost $25 from the highs. The stock has done very poorly since the announcement of higher compensation for associates. Maybe we need a bigger buyback and a dividend increase for shareholders. It seems the company forgot about shareholders and focus on employees and really hurt the owners of the company.,0.63
132,Looks as though the money mangers and ETF’s got all the full benefits of the buyback,0.771
133,overpriced,0.0
134,great gains since lows,0.7108
135,employees wage increase made all this mess,-0.1448
136,"HD, please do a split kit apple so I can buy more share.",0.7566
137,Will be back up dow is down,-0.0847
138,Why is The Home Oh Depot up today? Did they hire a new batch of illegals?,0.7853
139,https://www.fool.com/investing/2020/07/15/is-home-depot-stock-a-buy.aspxIs HD a buy? Yes.,0.4974
140,Never wrong to take a profit in a non tax account - think I will take some of the table and wait for a pull back. If the pull back doesn't happen Shame on me.,0.4744
141,"give it some time, use your own judgement on how you react to earnings beat, revenue beat, raised guidance.Be patient and most of all, these boards are made up of shorties.",0.869
142,"3:1 stock split coming along with record beats along all metrics. Stock will run to $300+. Managers at the Brewster, NY store and Danbury, CT store both said they have never seen the store(s) this busy from open to close. Long term stock holder!",0.9084
143,"HD has a cup with handle pattern, which traders see as bullish",0.6194
144,wow what a #$%$ today and Friday.,0.68
145,HD shorts about to get squeezed,0.1415
146,Rising rates bad for HD...sell before it hits 200.,0.0599
147,All the good news is out. Time to tank!!!,0.4754
148,"It amazes me that HD has dropped in price today after a superb earnings report before the opening bell. $3.05 eps and $30.46B in sales for the quarter ending 7/31, compared to analyst's expectations of $2.84 and $30B and a $2.25 eps for the same quarter last year. HD upped it's earnings estimates for the fiscal year (ending 1/31/19) to $9.42. The TRAILING annual earnings now are $8.66 giving HD a P/E of 22.3, about 10% less than the S&P 500 avg despite a greater than avg. growth rate and 2.1% div.I have a schedule for investments in 2019 and HD is on it, but I'm considering tightening my belt for a while and advancing that investment to now.I first bought HD last year @ $153.11 when I saw the housing market recovery picking up. From my personal experiences in the stores, I planned to buy Lowe's instead of Home Depot. But after a lot of research, I saw that Home Depot, the much larger chain, had durable competitive advantages in long-term contracts with builders and with the unique ability to ship very large pre-fab and other items. Lowe's increases its earnings almost entirely by building new stores. Home Depot does it by increasing same store sales more than new stores and same store sales increased over 8% over the last year.I plan to hold HD for decades if it holds on to those advantages.",0.9952
149,"HD is an example of an exceptionally well run company. great growth, great margins, few big issues. Long past the whacked out Bob Nardelli days. (voted worst CEO in U.S.) last three years has been a stellar performer.. A QUALITY holding.",0.9621
150,RSI>70,0.0
151,When will Home Depot announce ????We already have MULTIPLE $HD sites using $PLUG equipment,0.606
152,Lowe's will most likely bring hd down tomorrow. I'll be adding more on the dip. Look for 85- 83,-0.191
153,One of the best balance sheets and companies out there.. we can try to pick at bottom but even at this price-155- its a steal- and you can sleep at night.,0.3918
154,"HD driven down by traders who knew HD would report a blow out quarter. So, big rush today up and away.",0.5047
155,"A good time to start shorting the stock!During covid-19, HD was barely able to keep inventory in stock.As a former retail executive, I like to perform store visits and see first hand the fundamental core operations at work. I believe HD is expecting a slow down, as their support staff has been diminished.For the past year, HD could hide flaws and blame the pandemic (as long as they remained better than their competition). Now, their competition is improving; while HD is retracting services.If you want to see a perfect example, the BOT customer service may field extremely basic questions; it is only frustrating their customer base. Try to reach a human support on the phone - they insist you request a HD text to field basic questions (like the BOT) and promise to have someone call - but no call.Try calling to purchase product and hold product for pick-up (only offered for PRO service); HD tells you to order on line (and wait for a few days). Even with Self Check-out, lines to collect payment (albeit shorter due to fewer customer). I watched several customers walk out and not purchase items in their carts.Too many issues and no follow-up. Short this HD Stock.",0.9672
156,10% jump after the earning call ! Let’s go ,0.301
157,Second James is not first James.,0.066
158,"In 2020 the hyped up speculative plays added 1 trillion to Mkt value. Only 10% of those could retain sky high valuations! So with 900 billion coming off of those, 5 trillion that is coming in from sidelines and 1 trillion stimulus, money will flow in to real winners! Companies like HD, AMZN, GOOG, MSFT, AMD, VRTX,PFE,ACAD,WMT, would gain bigger piece of the Pie!",0.9661
159,Effing POS,0.0
160,"I bought HD in 1983 for my wife and me, her IRA, my IRA and my profit sharing plan. Stock splits and DRIP make me immune to day to day fluctuations. It is still the 800# gorilla in the room",0.9739
161,"OMG, this is hilarious. What would HD do without illegals and hurricanes. Just a silly hammer store.",0.3926
162,"The losers in the flooring department hate working for The Hoe Moe Depot.Endless complaints, long hours, no training, no back end support, no nothing.They beg me to come work at my company and I say, no way. You are the product of terrible upbringing. You have no knowledge, no experience, no real talent. Yeah, yougot EFFFED by The Depot, but that was your choice. You are now damaged loserswith no experience, and nothing to offer the population.",-0.6631
163,I think HD moves up along with LOW.,-0.2004
164,Good Company But stock is too rich . EPS 6.31 * 20 PE = 126. fair value EPS 6.31 * 17 PE = 107. Stock is too expensive even with some growth,0.977
165,COME DOWN BABY GO DOWN SHORTING MORE,-0.2098
166,"Bottom line is 1/3 of America has no savings and no job. Credit card leverage only goes so far. Yes, a boom during April...bored folks painting rooms and now landscaping...but that is short term. HD, the overall market and our fraudulent administration in for a rough year.",-0.5552
167,up. All home depots.its hard to find a parking spot.this stock won't go down,0.628
168,outstanding gains today,0.772
169,"don't know how HD can fill up all the shelf space without all the products that are under 300% tariffs on Trump's list. even so, how much higher would the price tags be? but with $29 B debts that HD us carrying on the rising interest rates, it's gonna be a problems for its earnings in the coming quarters.",0.881
170,"Like I said, Trump already told his buddies about Iran. They're out and he doesn't care. He already had a historic year under his belt and a phase 1 deal with china. Using the war will guarantee election because people are psychologically controlled to vote for a war time president. No war time president has ever lost. Good thing I bought puts and literally told everyone here to and no one listened. this is going to the ground.",-0.663
171,Lower rates helps home depot. Not that it needs it! Best of breed.,0.9102
172,Why does HD carry such an incredible amount of debt?,0.1184
173,we had a good day,0.491
174,"HD will announce something similar to Lowe’s, relax everyone...don’t u guys know this is a copycat world. I’m not worried, we will see $300.00 by year end",0.403
175,Will this stock rise in the near future?,0.2416
176,It seems for the last few months HD is just following the Dow. If the Dow moves up some HD follows. If the Dow moves down HD follows it down.HD had a great run at the end of 2017. I am not sure if we will see another run like that for a while. I have have HD stock since the late 80s. I still have every stock that I purchased in those years. I reinvest the dividends,0.9324
177,"Looks like the ride is coming to an end:""Housing starts slumped in September, slowing to an annualized pace of 1.201 million new projects. The pace of starts in August was 1.282 million, and economists had projected 1.216 million groundbreakings in September.Building permits, a precursor to starts, rose to an annualized rate of 1.241 million vs. 1.229 million in August. Economists had projected a larger increase, to 1.272 million.""",0.7881
178,"Just sold a raft of 220 strike puts at .68 expiring friday...so guys, just keep the shares above $220 for the next couple of days...thank you for your cooperation....",0.6513
179,Analysts expect 46% earnings growth in 3 years from $HD https://simplywall.st/NYSE:HD/home-depot,0.439
180,dalstred this thing is a dog,0.1037
181,"With only insider selling the past few months ($269--280), makes you wonder what management knows that we don't....Maybe they are thinking that employee pay raises will dilute EPS? I'm still bullish but wondering how long I can wait before putting my $ to better use....",0.9
182,"Price targets raised into 170's:Home Depot Inc (HD) Given a $171.00 Price Target at Credit Suisse ...https://www.americanbankingnews.com/.../home-depot-inc-hd-given-a-171-00-price-...4 hours ago - Home Depot Inc (NYSE:HD) has been given a $171.00 price objective by ... Inc. set a $178.00 price target on shares of Home Depot and gave the stock a “buy” ...Home Depot Inc (HD) Given a $175.00 Price Target at Robert W. Baird ...https://www.chaffeybreeze.com/.../home-depot-inc-hd-given-a-175-00-price-target-at...6 hours ago - The firm currently has a “buy” rating on the home improvement retailer's stock. Robert W. Baird's price target would indicate a potential upside of 13.44% from the ...Home Depot Inc (HD) Given a $178.00 Price Target by Oppenheimer ...https://baseballnewssource.com/.../home-depot...hd...price-target...analysts/1471541.h...6 hours ago - Home Depot Inc (NYSE:HD) has been given a $178.00 price target by stock analysts at Oppenheimer Holdings, Inc. in a research report issued on Tuesday.",0.9785
183,"In at $182 after earnings,,,, I’m happy, this is a long term hold with nice dividend. GL",0.9147
184,Price range- suggest entry?,0.0354
185,just saying that Home Depot has great management and Amazon will not hurt this co. People like to physically go to there stores! plus they have a great and growing online presence. As for next delivery they have lockers in place. I buy all of my appliances there! and if I do have a problem,0.9684
186,"Up >10% in < 1 month from latest buy, plus caught the divy.... not too shabby!",0.708
187,it's all good the whole market suffered this week if your a long we are still up over 100+since March,0.5267
188,"Don't remember where I read lt, but H.D. is headed for 160. based on relevent data. Oh! I remember now. That was from SEAKINGALFA.COM",0.1783
189,"LOOK for large BUYBACK to be announced as well directors buying shares and filing, a steal at these prices. over $250 before end of year, mgmt. too good",0.8383
190,HD is a short candidate. That's the reason why analysts are upgrading so they can offload to the sheep.,-0.5468
191,Lol greed cost you boy’s! I sold at perfect time,0.6629
192,MM driving it down to buy earnings ?,0.306
193,Finally some good profits shorting this garbage,0.7372
194,I'm sure there's some concern that the fantastic numbers they reported are unsustainable.,0.5315
195,housing crash next ... how HD?,-0.355
196,Bernie Marcus the true American his foundation donates billions and billions of dollars money that helps veterans and all type of illnesses a true American and American company Home Depot just because he backs President Trump the left the Democrats the angry mobs want to boycott Home Depot when this man has not even been part of Home Depot for 15 years is plain anti-American sickness,0.7499
197,"HD… Management just disclosed their registration with Federal Trade Commission of 16+ million shares of tender offering this afternoon, aggregate amount approximately a little over $2.3 billion. I am thinking management is very optimistic to close the Home Depot Supplies acquisition by the end of January 31st 2021. The HD balance sheet is solid with $13+ cash. Super long HD with juicy dividend. just added more to my position",0.9564
198,Big Joe is up over $60 per put contract since the call this morning and up massive on short interest. Thank you all for paying Big Joe so nicely! Enjoy your day.,0.9635
199,We have caught a bottom after good earnings ! Under 173!!!! How many investors can say that? Not many?,0.6015
200,I'd strongly advise taking some off the table here as this is extremely frothy. Priced for perfection going into earnings! Just sayin!,0.6938
201,https://seekingalpha.com/article/4370419-still-holding-home-depot-after-run,0.0
202,HD Supply deal had already closed before year ended and now the management is working on offering a 3 tranche notes financing.,-0.1679
203,Get out now(Home Depot and Lowes) before rising interest rates cut these guys in half.,0.7286
204,Huge buying opportunity right here. Load up 300 is coming soon.,0.8425
205,looks like this article may have spooked folks - good day in the market - taking some profits off the table and waiting for fed. Would love to see another downdraft like we just had in early Feb. to shake out more folks and to pick up some tech stocks a lot cheaper. This market is not looking healthy at the moment https://realmoney.thestreet.com/articles/02/20/2018/home-depot-disappoints-technicals-more-risk-possible?puc=CNBC&cm_ven=CNBC,0.9736
206,"checked chart241 is support, buy some here then wait",0.5851
207,hmmmmmmmmmmmhttps://www.ft.com/content/0e8232a8-1d78-328b-b89b-767e0a833fe3,0.0
208,I Remember when Fake News CNN - MSNBC- NBC- ABC- CBS- NYT- Washington Post all said this about President Trump the past 2+ years. 1. Trump would never be elected.2. They said if Trump was elected the stock market would crash.3. They said Trump would be impeached within the first three months of his presidency. 4. They said he would be impeached after Mueller found Russian collusion. And they wonder why President Trump and smart people call them Fake News now. You all lie to us daily or spin the real facts. Shame on all of you. Sorry if truth hurts but you earned the title as Fake News. $NYT $BA $HD $GE $CSCO $K $GM $F,-0.3846
209,This stock needs to split,0.3393
210,how does this hit a new ATH and have 50 percent of Avg Daily Vol but the boards have no activity. is the volume all bots just trading back and forth?,0.8533
211,yes the stock has taken a short term beating6 month chart up 46.05YTD up 50.24we will come back stronger to new highs,0.7439
212,Can HD correct sure all stocks do!! but at what pps? Bottom line is you pay a slight premium for a best of breed duoply stock in which you can sleep at night. because earnings are fairly predictable. Amazon is no threat to HD plus it is an American stock icon. I read from the initial ipo early investors made 10's of thousands percentage gains. Why because the business model works. Trump like the Company and he will be imo re-elected. So yes we can correct but long-term the pps imo will surely be higher. Netflix telsa are stocks you should imo short or the very high pe stocks which HD IS NOT!!,0.9894
213,"Buying today's dip should be a no brainer to anyone who thoroughly examined the quarter. That same store sales number was incredible. What's not to like here? Plus this is a COVID proof stock and even without COVID will do well. HD and LOW are consistent winners, and that's not about to change anytime soon.",0.916
214,No $178 price hit today. Yeah baby!! It's going back down after only hitting a high of $177.99!! Ha!!,0.7567
215,190 tomorrow,0.0024
216,the tail wags the dog. Small number of traders move the body. Buy now or regret,-0.3386
217,I see a dividend hike next earnings,0.0124
218,"Highly possible we'll see a slow steady decline after that ER miss and poor guidance, all the way up to the next ER...",0.07
219,"Amazon is a joke, they want to own everything, it's day is coming....",0.5931
220,RESTORATION HARDWARE IS TANKING !RH (RH) NYSE - Nasdaq Real Time Price. Currency in USD 66.32-4.07 (-5.77%)As of 3:38PM EDT. Market open.,-0.794
221,head fake today... new lows ahead.. We haven't seen the fallout or impact yet.. What is the next support after the 155 established today..?,-0.1895
222,outstanding day,0.6338
223,"Great price movements. It could end badly, but it appears HD will continue to run its course here.",0.4224
224,Looking forward to how many shares I will get this dividend.,0.3749
225,...just wait until earnings..We'll rebound...just out of favor for the short term...,0.1108
226,InvestorPlace was right on it . Barron’s was quite the opposite,-0.0068
227,"Wow, California fire situation, hurricanes and other various forms of destruction that happened or is happening. Everybody is running to home depot. The sales, it's going to be HUGE.",0.7233
228,need to go get my tiles. if im home for 2 weeks i can finish the basement bathroom.,0.4312
229,HD= THE HAMPTONS BBBY =THE UNEMPLOYMENT OFFICE!!!,-0.3945
230,"People acting like this thing is down 8% lol. People telling other they were wrong on a stock and they are losing their entire bank account when it is down 1% when they crushed earnings. Its comical. Wait until the upgrades come in from the ""Experts"".....",-0.1346
231,Solid company......great opportunity to get in,0.506
232,"Funny how people react to anything Amazon touches. Sears may actually sell more appliances this way, but not leaps and bounds better. Online is not a popular way to buy this kind of item. It's a major purchase for most people, and look and feel matter. Sears doesn't manufacture their own product, so there's little opportunity to differentiate. Whirlpool stock went down on this news, as well, even though they are the manufacturer of many Sears appliances.",0.9806
233,How many longs held through the drop to the $150’s,-0.3226
234,HD reached a new All Time High at 203.35,0.3954
235,Huge beat 195 close,0.4269
236,Doesn’t look like will be getting to 250 this year!!,0.3783
237,hi.,0.0084
238,NASDAQ and NYSE Intraday Profit Party... Get in and out quick! ---> Check out T0pMarketGalners.com,0.6524
239,Split the damn stock price already. No split since 99.,-0.0504
240,"Housing will come to a grinding halt. Higher taxes on everyone, including the Middle Class. Higher energy and material costs. china won.",0.8446
