,Recent headlines and conversations for ADBE,Polarity
75,"destroys earnings, beats revenue, and goes down AH ?????....that's like eating onions at lunch and ripping a fart at dinner that doesn't stink",0.5685
76,Analysts are expecting too much and not fully accounting for the slower growth in the estimates. I am seeing this scenario over and over. Beating numbers isn’t good enough,-0.3896
77,PT Raised to $145 from $115 by Wunderlich,-0.1558
78,no growth..,-0.296
79,ADBE reached an all time high at 308.98,0.3228
80,"guys old days when adobe growth was generated by adobe photoshop suite cloud are over. Now in order to grow Adobe should go on a market were there are a lot of competitors (SHOPIFY , GOOGLE ETC). So this stock reached his high limit and from here it will go slowly down",0.5901
81,Adobe should buy ROKU! Like NOW!,0.6757
82,"is there any chance earnings are not positive?I want to go all in £4,000 with this one",0.6467
83,PLEASE can someone tell me if I can buy. Or what is the right price to buy?,0.7149
84,1929 repeat,-0.0181
85,even raising guidance,0.0054
86,"if you know what you're doing as an investor or trader, don't sweat it. let the weak hands get out before making new HIGH. as time goes by, reality will set it. it's all in the numbers they just reported. noobs that don't know how to decipher those numbers will panick due to manipulation and sell off...",-0.2772
87,closing in the GREEN,-0.0833
88,Adobe is down 4.93% to 333.71,-0.2744
89,Avoid Amazon with an upgrade today just only +0.60% terrible.....overpriced,0.342
90,"I bought this stock today because it had the strongest BUY rating by , well pretty much every financial investor. so I did",0.8929
91,Adobe blows the doors off earnings. I say billion in profit.,0.4572
92,I expect at least 8$ jump after hours,0.1278
93,"No idea at all. I am in the region of this company and there is no negative information in this timeframe that I am aware of that resulted in this movement. I still believe there will be a strong beats on the ER, which is AH today.",0.4214
94,What is the long term profitability outlook on $CRM? Why do profits seem lower than other SAAS players like $ADBE,0.842
95,"Great shopping day. Picking up some cheap NVDA and $ADBE. $SNAP getting cheaper too, and I'm hammering it with more short selling because it's a worthless POS. Meanwhlie, $BOOM, $GOOS, and $MU are keeping my day's losses to a minimum. $FB selling off for no real reason. Perhaps it will take a few more weeks to hit $200.",0.3298
96,Warned u to get out zero bids zero momoTrapped longs with no liquidity $amzn $adbe $aapl,-0.482
97,weak movement so far,-0.2898
98,Excellent earnings and guidance by ADBE!!! GO ADBE GO!!!,0.6093
99,Never seen massive numbers and great earnings and a stock goes down $10 this is insane,0.4267
100,"Gonna crash, even with earning beat",-0.2106
101,2 pm pst,0.5431
102,"Garbage products, Garbage customer service, Garbage company.",-0.3789
103,"How much will ADBE fall tomorrow? My suggestion if management is smart enough to really think. I almost bought a new MacBook air pro but held off only to get pro logic to make music. What Adobe needs and must do Is make a tad simpler version like logic but with all new different sounds from Adobe. All the students at college think and say the same thing in my film classes, digital media courses, audio courses and in my coding software class. Adobe does not understand how much business in new student 20.00 subscription fees this would bring, plus students are dumping mac airs and going to newer lighter notebooks from msft. Can you imagine if Adobe big wig picked up the phone and called msft big wig, ...Let's both put money into this special collaboration project with a team of 40 of our guys and 40 of yours for 6 months to make our way better version of logic we will call Adosoft audio or Adobesoft. audition. Why because it will sell more new Microsoft laptops chosen over apple macbooks. That helps msft get buyers that feel forced to logic and final cut pro from mac. Two it helps adobe as the latest and greatest new app software out to make music. Adobe new high school and college subscriptions would skyrocket. Students talk and the new conversation for people making their own original songs would go from I'm buying the mac for logic and pro to. Forget those programs and the mac, Adobe teamed up the last six months with msft and completed a secret project called Adobesoft audition audio. It has 4 times the new choices as logic aapl takes their sweet time for a major update so they lost their old number 1 logic spot for good in six months from Adobe msft collaboration. Now the final way adobe sells more laptops for msft and msft who helped speed up what would have taken adbe a year in a half by themselves. So you go to the msft store, for 12 months they include the new adobe audition. Subscriptions and laptop sales skyrocket. Want to know the best part? All those new laptop buyers are learning adobe opposed to mac. Students don't like to learn the same thing twice. Regular business pro's that like microsofts new lighter long lasting battery life learned adobe audio and video editing instead of mac software. Now Adobe if msft says no, you call oracle, and go down the line not stopping until you are having a teleconference meeting with software engineers and musicians telling you what they like and how to make it simpler for them. Get everybody on the same page about the 6-8 month timeframe. Your jumping way out ahead of apple. Pass them while they are focused on apple tv and arcade with google arcade also on their heels. Print this out Adobe audition executive, take it to the boardroom and make it happen.Unleash the monster this stock could be again if you follow the steps exactly like this student wrote for your company for free. I cannot buy adbe stock till you do this. I'm in Nio before earnings Tuesday, bynd before my psychic abilities see a mcdonalds deal, roku because arms dealers always win and MAXR because the chart screams a short squeeze pop market maker induced right away to 15 before 21 a couple days later.",0.9994
104,"Traders are bidding it up, breaking above $314 here.... :-)",0.7417
105,Every option is worthless,-0.3763
106,They’re just shaking weak out of the tree.,-0.3825
107,This could be a beautiful afternoon. Or a very ugly one.We shall soon see...,0.28
108,"CHASERS WILL BURN IN THIS STOCK BUBBLE!The US Stocks are EXTREMELY OVERVALUED and OVERBOUGHT!SELL ALL US Stocks in this TULIP MANIA BUBBLE! The Valuations are ABSURD and IMPOSSIBLE TO JUSTIFY!INFLATION IS SKYROCKETING as the FED continues to PUMP the Price of everything, stocks, oil, gold, home, land, commodities, utilities, food prices and everything!The World Economy is Collapsing, people are starving, but the US Market Makers are too busy in printing money and PUMPING the Stock prices Artificially to make insiders trillionaire without working!Enjoy Free Capital Gains in the US Stock Market while the Corporate Revenues are tanking and the Economy is Collapsing! US Stock Market is a “GET QUICK RICH” Scheme!Dow Jones Industrial Average (^DJI) was 17,000 in 2016, with better economic fundamentals and higher corporate earnings. However, thanks to the Collapsing Economy, Coronavirus Pandemic, Tanking Corporate revenues and earnings, Skyrocketing unemployment, Trade Wars, Record INFLATION levels, and Heavy Stock Dilutions, Dow Jones Industrial Average (^DJI) BUBBLE has almost Doubled! S&P 500 (^GSPC) was at 1600.00 with better fundamentals and higher corporate earnings in 2016. Now it is sitting at ABSURD 3800.00 with TERRIBLE Fundamentals, Collapsing Economy, HEAVIER Corporate and National Debt and way lower corporate revenues and earnings!The World Countries are refusing to accept the US Dollar as international reserve currency due to the HEAVY Dollar PRINTING!US Stocks are INSANELY OVERVALUED and OVERBOUGHT! US Stock Market is a MEGA BUBBLE right now!!!https://edition.cnn.com/2020/05/01/investing/stock-market-recession-coronavirus/index.html$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $ZM $XPEV $QS",-0.9898
109,Can’t believe my option worked out. Adobe going on an interstellar cruise mission rn,0.7012
110,It missed period is going to get slaughter,-0.3841
111,The great picks don’t drop right in your lap every week unless you have the right access. The only place I know that gives winning access is (http://Fairstox.com). Get your access now.,0.7437
112,This is not just a blip on the radar folks. Those who have ever worked in video editing know full well that this is a true game changer. Watch ADBE soar as soon as the crowd figures it out: https://www.theverge.com/2020/5/18/21262371/adobe-premiere-pro-gpu-hardware-acceleration-support-video-encoding,0.9482
113,I bought this stock a couple of years ago at $82. Think I'll buy more.,0.3145
114,hardly meet with lot of manip...sell short,-0.5069
115,This stock is frustratingly stagnant. Price forecast seems like a dream. Fingers crossed.,0.1137
116,ADBE reached an all time high at 363.11,0.3228
117,premarket?,-0.0026
118,bought big just now,0.2442
119,ADBE is up 6.05% to $252.41,0.1818
120,See ya at $300,0.0061
121,And now for some bad news CJ:June 410 PUTS - will expire WORTHLESSJune 405 PUTS - will expire WORTHLESSJune 400 PUTS - will expire WORTHLESSJune 395 PUTS - will expire WORTHLESSJune 390 PUTS - will expire WORTHLESSJune 385 PUTS - will expire WORTHLESSJune 380 PUTS - will expire WORTHLESS...need I explain further?,-0.5753
122,bought up 250 up already ...so i see it at 260 to 270 before long,0.7018
123,average price target now almost $100 over the current price.. um w h a t,0.0196
124,Eddie ain't getting any at 260.,0.2727
125,What is it with this stock? Blow out results and increasing outlook and treads water to slightly down? I just don’t get it,0.3792
126,under $400 before year end....$350 by the time Biden gets thru screwing silicon valley,-0.1854
127,Excellent results but forecast 2021 is a little bit lower than earlier expected.,-0.1054
128,"I would like to pose a question to true long investors - apart from AMD which other stock is currently as close and powerful, past and present holding? I had $SHOP (Bought @ $95 three years ago, sold @ $625 this April) and currently own $ADBE (Bought @$132 - three years ago).",0.9395
129,"New ATH next week after upgrades!Buy this temporary dip, will be green at the end of the day!",0.8379
130,movement is pretty weak,0.1766
131,"If the world puts Covid in the rearview mirror, ADBE, over $1,000 in 18 months! Every new dollar falling to bottom line!",-0.6443
132,"earnings in two weeks, I imagine it will slow between now and then, hopefully not much of a pull back though",0.4859
133,"ADBE might close 185$ today, lots of pressure has been built up, plus the upgrade to target 217$. 185 close is VERY REASONABLE. who knows MM plays this for option expire today",0.8276
134,Starting after hours today you won't be able to by this stock for less than 180. Any hints at a beat will drive it even higher pre ER.,0.8378
135,"Thought, If Shopify is worth 70 billion, Magento has a chance to be worth a fortune if Adobe executes",0.5483
136,Cash in at open before it's too late.,-0.3524
137,Adobe is a bunch of Indians on all top positions and woke leftists with pierced bodies who are trying to convince us that Adobe is some sort of fun company with lots of creative ideas. HA three times. This company has a facade made in Photoshop and pretty toxic and rotten inside. Everything what Adobe touches turns to #$%$,0.8327
138,"solid business and growth , waiting for mid 300s to buy",0.5835
139,Lower the guidance(most important). Tomorrow will see $270 I am shorting this at $285.50.,-0.3706
140,Great ride. Sold today.,0.779
141,What’s going on this morning with Adobe,0.0901
142,What a beautiful closing figure ... 234.56$. Will sell at 345.67$,0.5807
143,Adobe glory Days are over !,0.5036
144,Fairly high volume today for ADBE,0.4357
145,"U shape ... if u bought in high, u bout to break even",0.2583
146,Here comes $ 330.,-0.0452
147,"Adobe tanking haha. 450, then 400, then 300. Target P/E 30. It's reality time folks... called here comes Biden.",-0.588
148,"Next rally cycle has begun, 5-day-bear-trap at 442.",-0.2391
149,"They raised the guidence 5% on EPS (which is by the way still in line with consensus) and just a bit on revenue.Now it's traiding 12 % up (was 8% lowest today).Where is the deal here ?I believe it's just an attemp of management to raise the stock befor earnings report, cause they feel that numbers won't impress the market. I'm shorting it.",0.6736
150,Horrible chart toppy zero bad priced inWhich is scary,-0.9206
151,"Check out ZI, this could be a Buy Out target by...ADBE, CRM, etc",0.6493
152,"djh is correct of course, and ADBE reports an hour after the bell today. I bought it.",0.111
153,Buy at $277,0.1266
154,Institutional investment pulled back from big tech out of fear. They'll be back.,0.3141
155,ADBE finally beating to its own drum again. This is gonna be great,0.4833
156,"Overstock reports thursday after the bell , look at sfly chart compared to OSTK and (lol they sell greeting cards) not a baby amazon I believe is going to give us a blowout # and rising revenue and guidancethat is both an earnings play and longterm hold in gaming CYOU and I like AAOI optical scanner company roku movie and tv streaming and fit (fitbit smartwatch)",0.965
157,"Sold ADBE at $323.73 for a very, very, VERY nice profit on 190 shares. In at $305.80, out two trading days later at $323.73. Oh yeah, that's the way, aha aha, I like it... :-) Currently Long 500 shares of HEI at $126.95, and she is looking nice and perky in the AH session. Earnings were very good and I think this stock will also rally up further tomorrow, perhaps to the $135 level, as my modest winning streak hopefully continues. :-) Good Luck to All! :-)",0.9948
158,Its a bunch of options #$%$ about to go worthless in a few hours...I'm not satisfied at all..but not selling. Needs to take out 190.,0.3095
159,This company preforming the worst among the tech companies! Today nasdaq above 100 points and adbe is only $5 up while other techs are $20 up!!I can't wait to sell,0.4485
160,Took time to mute all spam= nobody left on this board,0.1301
161,"wow, this stock is so cheap?~~~ gonna get some tmr finally price I can get in",0.797
162,"oh, jprourke1956, that's #$%$...nobody's listening to you. Triple bargain. Price discount, earnings beats, and unaffected by corona. You'll see in 45 minutes, ratface.",0.6531
163,U better get in folks,0.4195
164,Adobe is up 4.91% to 441.90,0.1518
165,hahaha you morons should've sold sell now and buy AAPL,0.5561
166,"Long stock, short call is a must this time.",0.2317
167,my current strategy is to buy until my cost basis is 500. I started buying tesla at 330 with the plan of adding up until my CB was 500 and that has worked very well thus far. Phil town and Warren b would call this the accumulation phase,0.9221
168,"Beat on every metric, share buyback announced, very good guidance...how is this not up 5%???",0.8496
169,it looks like earnings are out and ADBE has been halted. OMG!,0.2602
170,ADBE smashes sales revenues and earnings!!! GO ADBE GO!!!,-0.4984
171,shorted this tr_ash 321,0.1197
172,"Good article, including the Disclosure.",0.6291
173,"Collected from Nasdaq's website... Adobe raised its fiscal 2021 outlook and projects revenues of $15.45 billion, up from its previous guidance of $15.15 billion. It raised its adjusted EPS forecast to $11.85, up from its earlier projection of $11.20. Overall, the Street has a Strong Buy consensus rating on the stock based on 9 Buys and 1 Hold. The average analyst price target of $562 implies upside potential of over 22% to current levels.",0.9058
174,"If a non profit like Netflix is 250, ADBE is worht every bit of $270",0.6495
175,Some perspective Year to date 2 years and 3 years ADBE stock has performed slightly below amazon in price appreciation...HMMMMMMMMMMMMMStay long,0.61
176,"Nice movement today, especially considering trends in this sector. Been working in Graphics for over 30 years. Mostly as a Production Artist in Life Science Labeling. In the last decade I’ve transitioned￼ to Project Managing in the same space. Can’t wait to see what Adobe does with WorkFront. ￼HUGE upside when you consider what they can do for workflow management, proofing, approvals, metric reporting, their cloud, etc. — especially in the highly regulated Labeling and Ad/Promo environments. I’ve used many systems, WF is currently one, at this point you have to use more than one because WF can’t be validated￼, proofing tool sucks... I see them KILLING it! GLTA!￼",0.8711
177,"All you turkeys that quickly came on her screaming sell sell sell....Look already nearly made up any after hours losses. And call still to go tonight. Dont act off emotions with stocks or you'll lose your butt. Maybe up tonight. If not, looking for a pop tomorrow. They literally blew it out of the water.",0.1313
178,"This is very suspicious 25% YoY beat on ER, price action is flat, and absolutely no commentary on the strangeness of it all.",0.3108
179,CEO on CNBC now!!,0.6257
180,Abort mission !,0.0768
181,stay away fro this garbage laggard ADBE!,-0.2191
182,Sold my shares. Going after Fedex on Monday,0.2799
183,"Since last June, S&P is up 25pct and the Nas is up 50 pct. adbe is up two dollars. They killin it.",0.5378
184,Up $20 tomorrow! Excellent forward looking guidance for 2019!,0.7405
185,$2.05/share estimate was 1.91,0.0881
186,200 till xmas!,0.5594
187,"Pig==ADBE, you can never make any dime on it even if its fundamentals are solid. WS does not like it!",0.7233
188,That's crazy Andrew...the ER should beat with revenue and especially guidance.,0.5145
189,let me short this stock to see how it goes,-0.1747
190,Buy ADBE for great price! Increasing 15% ADBE! Hopefully low more!,0.8153
191,Buy more Adobe!!!!! It’s way too oversold,0.4569
192,Looks like the institutions are selling. They like to leave the small retail investors holding the bag...this will be down AH.,0.7643
193,Triple top should break out at least 10% over? asking for a friend.,0.6632
194,Too much funny business happening with this stock. No surprise at all if it goes back up $10 Monday. Ridiculous and probably illegal.,0.0585
195,Projection - Share price will drop to 486 before rising once more,0.6995
196,"What is interesting:« Creative-segment revenue was $1.96 billion, up 19%, while Document Cloud revenue was $375 million, up 22%.Adobe said it repurchased about 1.5 million shares in the quarter. »“Adobe delivered the best [third quarter] in our history in a challenging macroeconomic environment, demonstrating the global demand for our innovative solutions,” CEO Shantanu Narayen",0.9405
197,Look at ADBE rock!!! I cannot wait for their earnings report in June!!! GO ADBE GO!!!,0.5061
198,"Just an fyi, I’m a full stack web dev -their cloud based offerings and marketing tools, no one comes close.I’m hanging on to this one for a long time.",0.8124
199,"I think Abobe is mature enough and should be paying dividends at this point. Its a shame, that its not. Will wait setupped an alert at 150, even their I feel a bit bearish.",-0.4617
200,ADBE seen beating big time?,-0.3541
201,"Wow, what are the charts showing ?",0.5864
202,$270.00 by Thursday am.,0.0141
203,"ADBE being down only 2% and change after the run up it has had, and considering the market is currently in solid red, as it were, is pretty pretty good ! Gotta Say, Adobe is going higher, much much higher ,,,,,,",0.9016
204,looks like its good news?,0.7121
205,"Ultragenyx agrees to buy 2.4 million shares @ 10 dollars a share for ARCT. Collab. With option to buy 600,000 @16.00",0.7969
206,Adobe needs to mobilize it's army of digital artists and create the most fantastical metaverse the world has ever seen!,0.7244
207,"Still a bargain, adbe 1000 in a few years buy and hold.",0.3606
208,I just bought 100 more shares of ADBE at $ 473.00. ADBE will report exception sales and earnings growth next Tuesday!!! GO ADBE GO!!!,0.6717
209,stock seems quite high. I'll make a few phone calls #thebigshort,0.4622
210,Sell Short now,-0.4177
211,Will be above $260 tomorrow barring any stupid analyst downgrades.,-0.4402
212,https://finance.yahoo.com/news/adobe-bringing-platform-sensei-banking-040000531.html,0.0
213,$FB is the MOST UNDERVALUED and OVERSOLD stock in the US Market. Opportunities are endless! This cash cow has 43B in cash and has NO DEBT! BUY $FB with confidence. SELL BUBBLES like $AMZN $AAPL $MSFT $CRM $AMD $NVDA $TWLO $ADBE $CSCO $SHOP $SQ $BABA $BA $MMM $CAT $IBM $MU $AMAT,0.8338
214,earnings beat by 7%,0.2926
215,and down it goes. wow.,0.4521
216,"back n forth green n red idx these are great earings ,with raised guidance shes gonna soar",0.7665
217,Buying January $265 calls tomorrow,0.2752
218,255+ tomorrow,0.0024
219,"ADBE has crushed ER the past two quarters, the stock has moved sideways or down for months. Gets no respect. The ER, for ADBE, is not a catalyst. And this is especially true because GME, also goes tonight, will hog the spotlight. Given the fact that the market hates software right now, makes very concerned for the ER tonight. God forbid if they miss or come in light on the forecast.",0.7972
220,I wish to buy this stock throughout the whole year of 2019. Lower prices are welcome!,0.7287
221,This dip was huge buying opportunity.Easy 350+ by end of the year,0.6405
222,"all you had to do is sell at the open today. RIP Adobe, apple and peloton. each of them all peaked at the open.",0.6466
223,anyone saying they know what ADBE is gonna do after posting earnings is full of it. straddle options were suggesting about a 4% move. methinks i am on the right side of this trade ~ but i haven't a clue. good luck to the ADBE lomgs.,-0.6401
224,Missed,-0.296
225,high P/E high P/S and high PEG! this will drop at least 6%,-0.1045
226,What is happening? I didn’t see 430 yet???? ,0.2695
227,"Just wait till tomorrow too. After the conference call this will go higher, tomorrow it will go higher. Buy more",0.7521
228,Great day to buy more $appl $adbe $mime $now & $xpo !,0.7242
229,Just got an upgrade by UBS with a PT of $217.,0.0836
230,ADBE always bounced back before close.,0.0758
231,Down -21% nice dip it will come back,0.415
232,"I doubt the stock moves higher be for the Fed rate announcement at 2pm. If they don't cut a quarter point, then the whole market will plummet.",-0.3381
233,$ADBE Most of selling was after hours. Going back up in pre-market without much volume. Good sign this is going back up.,0.7911
234,"Buy, Buy, Buy",0.3739
235,"I can tell you as a cloud user who also has a college student user. Nothing even comes close, Adobe Cloud is the wildcard that unless you use it you will underestimate just how much it's taken off.",-0.3172
236,did they miss???,-0.244
237,"SORRY SHORTS, NOT ON MY WATCH AND NOT THIS STOCK, Thanks for the extra cheap shares.",0.9599
238,Adobe Systems stock price target raised to $290 from $280 at Canaccord11:18 AM ET (MarketWatch)Adobe Systems Is Maintained at Buy by Bank of America,0.0799
239,"$ADBE, $MU traded at bubble level, overbought!!!",0.3326
240,Price will rebound in a few hours,0.2278
241,can't understand why CEO lowers guidance..and some analyst increases bullishness..,-0.1861
242,Is this a good entry point for a long term position? Thanks,0.8673
243,Hmm didn't you wonder why they posted this like it was important...read the methodology section.http://www.businesscomputingworld.co.uk/news-post/adobe-data-shows-cyber-monday-is-largest-online-sales-day-in-history-with-6-59-billion/,0.3033
244,Sold 302,0.0
245,Are we done here? Was expecting $320..,-0.0171
246,"Just curious, does anyone know if adobe is developing a editing software that uses VR?",0.4091
247,green by EOD?,-0.1396
248,ADBE will hit new high next weekSimilar to AMZN last year,0.1692
249,Will be up to new high by Monday!,0.4495
250,I typically sell Microsoft but I have been selling a lot of adobe subscription lately with their monthly pricing model,0.1676
251,"Even though no direct correlation to Apple, the news from them will probably have a ripple effect on overbought high flyers such as ADBE. RSI at 78, it’s overbought",0.7807
252,ADBE is rallying!!! GO ADBE GO!!!,-0.5636
253,ADBE is oversold for market crash!!,-0.4828
254,ADBE acts like an old car: slow but steady!,0.7557
255,buy now before it hits $550 tomorrow...,0.1911
256,$390 by 2021.,0.0141
257,"bought back in today 100 shares, allow the trend to continue now...",0.6864
258,"Based on this earnings report and the upward guidance, I see the price trending towards $500 in the spring and $550 by late summer if the next earnings report is also good.",0.8455
259,SHORT THIS #$%$,-0.4709
260,AP reports that ADBE non-gaaap earning MISSED BY A NICKEL! Now the numbers are $1.83.,0.1134
261,ADBE reached a new All Time High at 219.71,0.3954
262,"Guidance was terrible, as I said yesterday, look for a $15-20 dollar selloff today",-0.494
263,Might see 440 today if whole market stays in a sell off,0.2042
264,"In 2018 Adobe made significant investments across their product portfolio, entered new markets, and made strategic acquisitions which will show up in the company’s performance figures and stock price in the coming years. See: http://alamg.com/report-adobe-systems-inc-adbe-adobe-raised-revenue-and-arr-targets-for-fiscal-year-16.html",0.7445
265,"EARNINGS will continue to beat. I just bought my first ""traunch"", hoping it's my last but prepared to average down should opportunity knock again.",0.848
266,Time to buy stocks is now,0.1738
267,I am buying here,0.2321
268,"I'm curious if the adoption of crypto NFTs might be utilized by Adobe to create a fine art market in which the artist can receive royalties on the transfer of ownership in perpetuity. If Adobe were to create this market, it would be so lucrative for them. There's an article on Business Insider that got me thinking about it. I can't share it with you because Yahoo will filter it out.",0.9404
269,Buying opportunity today. Down after great quarter and strong projections!!!!!!!!!,0.9144
270,Less than 1% off 52 week high and people are surprised by a 3% pullback after a great report. We see this time and time again.,0.8935
