,Recent headlines and conversations for KHC,Polarity
54,"not of significance, besides new price target by b of a/merrill, is Yahoo's new rating which is almost 85% ahead of last month. quite significant regardless of source; note even strong buy signals.",0.8372
55,ahh! the smell of fresh shorts being squeezed in the morning,0.2781
56,"Did ok with the covered call play at 35 strike. I doubled down on shares and traded a dollar plus profit per share before earnings buying in 32s and selling at 34. Lowered my basis of common. May roll out options to higher strike or cash out of common, will listen to the call. Leaps I own should be up.",0.9477
57,Been buying since 42 . Great stock easy returns . 50 end of year,0.8719
58,continue to add.thru panic..ty sellers,-0.0173
59,"Interesting situation here. No news today, but entire sector was down sharply, along with the market. I'm getting interested for buy and write purposes.",0.5676
60,$40.00 by years end,-0.024
61,Mr Market is giving new investors a nice gift. RIP current investors though.,0.9099
62,I don't have the patient to wait another 10 years for this stock to go back up ... please help Warren !,0.8258
63,$40’s Coming...,0.0
64,"Like to buy KHC for its dividend, what I am missing any long time investors please sheds some light I am 71",0.8429
65,"Wow: ""Warren Buffett's Plan for His Wife's Inheritance Is a Must Read for Investors""It sure is. He directed that 10% of the value transferred to her should be invested in ultra-liquid, short-term Treasuries, and the other 90% not be placed in Kraft Heinz Company (KHC).Good call.82BusinessInvestor's Business Daily Video•11 minutes ago",0.921
66,KHC didn’t get real sales even during this crisis. Ppl can easily return back all KHC sealed or open products next week! We value our health so much more now!,0.2889
67,This may be a good co. but the stock has gone from 97 to 56.,0.5781
68,sure wish I had gotten some in the 20s,0.6377
69,"About 3.2 billion in annual profits, when taking out paper write downs. With PE of say 15, that is 48B, so about 20% undervalued. It is paying down debt at 1 billion a year. It is just a matter of showing stabilization of sales. At 1.6 % treasury yield you have to take some risk. It should be pretty recession safe.",0.9131
70,just now khc big upgrade,0.373
71,institutional traders not happy with retail. there go their bonuses lolol,0.8495
72,"BOYS...IN AUGUST KHC WAS 25.41. NOW AT 24.77, I WOULD SAY KHC HAS HELD UP NICE. ITS VALUE, PLAIN AND SIMPLE. PLUS. ..WE HAVE BUFFETT AS A BACKSTOP AND A 6% PLUS DIVIDEND. BOYS...KHC IS RIGHT WHERE YOU WANT TO BE, LOOKING FORWARD !!!! GENTLEMEN...THATS WHY THEY CALL ME THE ""GREAT ONE"" AND ""DR COMMON SENSE"". I BREAK THINGS DOWN SO THAT ANYONE CAN UNDERSTAND IT !!!!",0.9933
73,"The Kraft Heinz CEO says that sales are surging, especially Mac & Cheese, during this downturn and pandemic. KHC has bullish indicators, strong sales, a generous dividend, and great brand recognition. Look for the stock to continue higher.",0.9464
74,"div to .20¢ is not a roadblock. will make for more revenue options for 2020. good sign in all respects. if you're on fence and still not adding shares, in my opin only, sell all sh today. we hold many 00,000 sh in trust and of course expected, and welcomed div reduction. should have been done earlier. THS is worth watching again.",0.9409
75,5% dividend NOW isn't until it drops to 32. I can wait a few hours.,0.4648
76,Kraft Heinz is up 4.90% to 38.83,0.1818
77,Gotta love this setup coming into Earnings next week.,0.7604
78,Just about all cos. will be like this one eventually.,0.6132
79,Steady trickle of stealth buying this week....I see huge marketing push in the UK,0.8399
80,I just increased my position in this company! I think the turnaround is going well and there is potential. That and people are loading up on Mac & Cheese for the winter!,0.8897
81,"Heard KHC is starting up a new Venture Businesses Division. Would love to hear the pitch to new companies. ""Come to KHC, so you can witness the complete destruction of your brand and it's people"" Easy prediction - this too will fail.",0.6908
82,"Bill Holden, of Enterprise Fund, has targeted $35 per share asnew target price for KHC. Real Earnings and Growth.",0.7006
83,26 billion in sales .. doesn't sound like a struggling company to me . long term hold should prove beneficial ...,0.766
84,Just goes down down down,-0.5391
85,Once KHC comes out with their own beyond burger version they will squash them like a bug. Stock will be over $35 in the next couple of weeks. Earnings will be better this quarter.,0.7962
86,"here comes 28 , buy as much as you can",0.2606
87,Thats a 47 million dollar move. obvouisly buffett or a fund,0.5525
88,Up to 60,0.1818
89,What day does this garbage stock not fall? It seems to just fall everyday,-0.1523
90,"Once up, Barron's comes",0.3021
91,"KHC filed its annual report today. A firm’s reported earnings vary from their cash flows. That disparity, known as accruals, reflects the calculation of the organization’s future interests. see http://www.financial-education-hub.com/1/KHC. The calculation involves great subjectivity and is susceptible to manipulation, making accruals quality low and difficult to turn into cash. From this perspective, the higher accruals in a firm’s reported earnings, the more likely it will record poor future earnings. If you want to estimate the quality of $KHC ’s earnings to be released, you can calculate its accruals level, and the portion that may not be able to be realized in cash flows. For the method, please see: http://www.financial-education-hub.com/2/KHC.",0.8884
92,Another good day to own a boring food company,0.3635
93,Nothing wrong with the company. They are just spending on means of production... spending a lot actually. When done will pop back to profits again.,0.1459
94,About a billion better on the balance sheet. Assets up about .9b and debt down .1b. You have to subtract out goodwill and intangibles.,0.3674
95,Greatest investment ever...,0.7596
96,"Best of all take away from the Berkshire Hathaway meeting is Warren Buffett did not sell one share of KHC, That should tell you more than anthing",0.9058
97,"Dividend NewsKraft Heinz declares $0.40 dividendFeb. 22, 2019 5:53 AM ET|About: The Kraft Hei... (KHC)Kraft Heinz (NASDAQ:KHC) declares $0.40/share quarterly dividend, -36% decrease from prior dividend of $0.63.Forward yield 3.32%Payable March 22; for shareholders of record March 8; ex-div March",0.6859
98,Great company at a ridiculous price.,0.477
99,Boooooom Breakout !!  ,0.7237
100,Lowest price for Kraft in 50 years!!,-0.4554
101,"Dream about everything being solved by next quarter or the quarter , it maybe can't really be solved people want to pay less , brand names do not mean the same to younger people they have dozens of other ketchup brands they are buying might not even know or care that Heinz is the grandaddy.",0.9236
102,Khc is been down last Thursday Friday this Monday and Tuesday they the to stop,-0.4446
103,"@steve....Patricio has been there since last July...SEVEN MONTHS.BTW, I just sold one of my houses on December 23. It closed on January. Wife transfer in bank. That's 16 total days, but only 9 working days excluding Christmas and. New Year. You talk a lot of nonsense.",0.7039
104,"Unless you can keep buying people to hide this POS business model, it all falls apart. That's what you are seeing today and it's gets worse from here going forward unless they do an acquisition. In the long run, this thing gets busted up and sold off in pieces. Chickens come home to roost.",0.7305
105,"The Coffee Blenders Company announced today that it has signed a co-packing agreement with Gevalia Kaffe, a Kraft Heinz brand to prepare and supply custom package coffee under the Gevalia Kaffe brand.Single serve pour-over coffee is a common and popular brewing method in Asia. The market in Japan alone is estimated to be approximately 2.5 billion cups per year.",0.768
106,Bond Raters are biggest joke; they failed to even catch the shenanigans in the mortgage backed securitiesbond market in 2007 to 2009 period.THEY ARE TREND FOLLOWERS !,0.2663
107,Just need 3G or buffet to buy a little,0.3318
108,Will KHC acts like GME? The pattern seems possible,0.1741
109,Steak and Mac and Cheese tonight!,0.3512
110,This should be soaring with low rates and everything they make flying off the shelves!,-0.1317
111,"Big mistake if selling into this stock rally. Khc will be back to mid 50’s before Q1. If you can’t wait 3 months, then any stock you buy is not worth being in your portfolio. At these price I don’t doubt a competitor like Nestle is buying",0.7234
112,"BOYS...I LOADED THE BOAT AT 27.45. BUFFETT IS PUTTING IN A FLOOR ON THIS STOCK. BUFFETTS BUYIN WHILE OTHERS ARE IN PANIC MODE. PLUS, THE CUT IN DIVIDEND SCARE IS HISTORY !!! THERE IS TOO MUCH VALUE HERE TO PASS UP, AND GUESS WHAT. I DONT GIVE A HILL OF BEANS ABOUT WHAT THE ECONOMY DOES....BECAUSE PEOPLE WILL EAT REGARDLESS. HUGE UPSIDE OVER THE NEXT YEAR AND DOWNSIDE IS QUITE MINIMAL !!!",0.9061
113,"I hold a large position in KHC. I bought based on my analysis of their financial statements. I won’t bore you with the details. Last week, out of curiosity, I purchased a generic competitor of kraft ketchup. One person’s empirical observation does not make a market, I grant that; but I assure you, I’ll never buy that generic brand again.",0.8574
114,I always say. Patience is a virtue. We are going to get KHC under $28 tomorrow yielding 5.7+%. This is awesome. Feel sorry for all those in at $60+. Hope it gets back there soon.,0.9024
115,What is Buffet up to I wonder? I’m sitting with to much imo. He is supposedly adding. Wish I had never gotten involved. Sure think there are better investments out there than processed food companies.,0.9426
116,Wait til people find out Buffet has bailed. Stock will drop another 20%!!!!!!,0.5655
117,"The people who are disgruntled at KHC are hilarious. This is just a speed bump. Yes, millennials are buying healthier expensive food products instead of processed foods. However, when the next economic slowdown occurs, they will transition to the cheaper alternative every time...Seen it in '99 and '08.",0.7325
118,in the future when we get to 33.50..look out..hope it grinds higher to that number,0.3277
119,This stock will be over $40 by months end ,0.0029
120,"First Kraft and Heinz should have not merged , second selling control to someone from Brazil with no experience in managing a company like Kraft and Heinz . Fund managers not interested in innovation only how to squeeze a business of its cash to fill their pockets. Fund managers are not suited to grow and innovate . Why a company like this has over $32 billion in debt ?",0.9128
121,Awesome day! ,0.6773
122,KHC has been diving since 2017 and has absolutely been spinning it's wheels for the past year. It currently sits near the low end of valuation for a 52 week cycle. Its bond credit rating has just been reduced to junk.I can't find the sunshine and rainbows so many on this board see. I just can't.,0.0672
123,Kraft Heinz shares are trading lower on continued momentum from yesterday after the company reported worse-than-expected Q4 sales results. Also hearing that Fitch downgraded the stock to Junk.,-0.1312
124,Look good stocks don't lose over 65% from the top. Amzn buying whole foods was the start of the end.,0.8032
125,"""Sales fell about 2.2% year over year on a comparable basis."" Been hearing the same thing from KHC for years now and they cant stop it. Thats not a small decline either. 6x-9x max for KHC. $17.10-25.65 price target.",0.342
126,3G could be raising cash for a deal or part of a deal might include 3G having less ownership. Lots of acquisition targets don't like the 3G approach to management.,0.6689
127,COMPANY NEWS14m agoCompetition Bureau won't oppose Parmalat's $1.6B purchase of Kraft Heinz cheese,0.5507
128,"KHC's sugar daddies will be buying another food company and melding it into KHC. The combined entity might even have a different name, but KHC 's internal operating management will have little to do with what is acquired and who stays and who go's. Will be interesting!",0.7843
129,notice how positive news gets no outlet..no barons or wsj or times..only when bad news to fit into their sgenda,0.4681
130,Sales are still falling.. even boomers are switching to newer tastier healthier brands,0.0148
131,Need new Mgmt team,0.604
132,https://finance.yahoo.com/news/why-kraft-heinz-company-nasdaq-130835913.html,0.0
133,There is a DIVIDEND coming next week . Get in on Monday or miss out. This stock is goin UP.,0.6424
134,tomorrow is exactly 1 month from big drop.,0.0835
135,amusing. bunny will tune into motley and alpha for sage advice. read those posts for amusement only.,0.8564
136,good to see them selling off lessor units..reduce debt and focus on winners like heinz,0.7605
137,"Looks like all of Warren Buffett stocks have CROOKED management. I would no buy any of them , GM was killing their own customers with a faulty switch they knew about for years , but said nothing, WFC what a mess, Now KHC cooked the books , JPM has some going to jail for manipulating the silver market and the overseas crooked deals",-0.6583
138,If the market holds up we should hit $34 in June sometime.,0.1927
139,60 end of year . Watch just watch and see !,0.4533
140,Their product lines are badly out of step with consumer demand. They completely missed the low fat craze and now the natural foods trend.,-0.3779
141,"khc , one thing to consider it can never be like last quarter with the 11B dollar write-off . Before the results Thursay morning before the market opens there seem to be a lot of high priced puts out there take 30.00 strike Mar its worth a lot of money if the earnings are ok causing puts will dive through the floor put causing holders lots of cash. Expect it to be volatile mon to wed.",0.6837
142,If I get that job driving the hot dog. Van am I allowed to smoke weed in it ?,0.0293
143,Be a Buffett. Buy at 15 bucks.,0.4403
144,Mutual funds need a couple of days to unload their positions.,0.0378
145,Warren Buffet and 3G's millennial CFO was such a great idea! LOL! Has anyone checked Warren Buffet for Alzheimer's lately?,0.933
146,near 34 by weeks end....new coming!!,0.3383
147,"I want to buy in, however financials don’t look good. I know this company will recover, but there needs to be some adjustments. That being said, if it goes back to 25 I’ll be like f it I’m in.",0.8048
148,I hope this keeps dropping so i can buy more!,0.6007
149,just left grocery store..watching all the unhealthy food people we're loading their carts with...khc has nothing to worry about...plenty of people still eating there food and my wife bought phily cream cheese again..great product,0.1079
150,Scott's a baggy at 50. He will tell you want you want to hear. Plan is sell your shares and take the loss. You will be happier in the long run. Mistakes happen look at Scott!,0.8512
151,"Surreal that it takes 4 teams of accountants (SEC, forensic auditor, PwC, KHC staff) to make insignificant changes to reported periods. I assume the Keystone cops are getting paid for this fiasco.",-0.8072
152,Why is this tanking today?,-0.4243
153,earnings beat and short hammering..could happen,-0.2339
154,Ppl selling tech and getting into pkg food.. this could trade back to 30 before the virus passes.,0.568
155,"Went to the grocery store and actually examined what a ""Lunchable"" was....TRUE STORY....Consisted of some bagged fruit flavored drink, what appeared to be Ritz crackers with some processed meat and cheese between them, and. a Reeses peanut butter cup. Wow. I cannot imagine any conscientious adult providing that to their child and believing they are doing a ""good thing"". Kraft might as well stick a cigarette in there. Everything else is tragic. It would just complete the tableau.",0.9032
156,KHC needs some viagara,0.108
157,Lets go baby!! lol,0.6576
158,Lower lows but it’s a still a great bargain on this stock.,0.8655
159,"cutting dividend could be in play: with OVER 17 Trillion in global national debt (read bonds) it is no wonder a cash flow public company with a good div rate can afford to cut % rate to almost nothing. in my opin, er guidance continues to deleverage and i'd cut div to 1.2% for few good reasons.",0.6588
160,"Huge tumble....buy before Buffett speaks on Monday...although with the release of his letter this weekend, you may already be too late.",0.844
161,Lower taxes coupled with massive deregulation = an explosive economy! Enjoy ,0.5916
162,"Warren Buffett to appear on Squawk Box, bright and early, on Monday morning. He'll likely tell everybody ta' simma', Simma' Down now, Ya'll just Simmer Down. This is a BUYING OPPORTUNITY, I look forward to him pointing that out, at the beginning of next week.",0.9078
163,I think one more panic sell if they cut dividend..but need to to right the ship long term..may get one more chance at cheap price,0.7408
164,Good time to own food stocks. Store shelves are void of product.,0.4593
165,A close over 36.33 on volume confirms the break-out is just starting. GLTA,0.7342
166,Bam Bam!,0.6289
167,PPS now higher than it was before COVID-19 struck! Go figure. Might be all for naught if rumors about a dividend cut persist. Congrats to all who bought around $20. That's a handsome profit in less than 90 days.,0.8531
168,Bought 150 shares today . Wish me luck !,0.8174
169,"Until they completely remove the dividend, this will continue to sink. They are not serious about the $31 billion in debt.",-0.4932
170,KHC needs to evolve like GIS .,0.3463
171,sometimes you just gotta like solid dependable brands,0.6936
172,not finding any news,0.2721
173,7 days straight more buying than selling volume. Dividend coming up soon as well.,0.8163
174,Target is upgraded to 46.,-0.0794
175,Tomorrow may give me a chance at increasing my position. I will keep my bid active.,0.7369
176,Markets are all down big time but KHC is up. What's that tell you. Can you say way oversold?,0.51
177,Warren Buffet is the King. KHC will be okay. Believe in royalty. Believe in Warren Buffet.,0.7563
178,they keep dividend. and paid 98 mill debt.,0.4036
179,We could slowly make our way back to $30 in 2 months or so.,-0.1977
180,Looks like ER will be on thursday August 1st. And most likely dividend date announcement also.,0.7752
181,"in 3 months kraft numbers are coming it will fall further. Can people's food choices be changed from fresh , wholesome back to bottled ,salt sugar with vitamines added.",0.6004
182,I suspect this will drift to 32 or less in the coming weeks to months based on percent change in the dividend. To achieve a 5% dividend or higher at 1.60 a year would equal $32 or less stock price.,0.6268
183,"Omg! Epic! Buffett just bought KR not KHC! Ppl here just try all kinds of effort, including silly lies!",0.469
184,According to what I read and believe the dividend will not be cut. But if it was cut for some reason imo the stock would also pop because they could grow the business. Either way a win win absolute floor imho is the 25 area.,0.9571
185,KHC exploded and I missed out because I wasn’t listening to the great folks over at (http://Fairstox.com). The next big winner won’t miss me. Don’t let it miss you either. Join them now,0.848
186,Nothing to worry about here. Many companies have cut their dividend only to return it to previous levels a couple of quarters down the line. $KMI $COTY Buy this bad boy if you have the funds.,-0.6957
187,"52 week low....when does this find a bottom? Looks like it is here based on PAST chart....but, seems like lower is possible.",0.484
188,"I like Kraft because dividend, and I think they can turn around. But Nordstrom is probably better. Kraft is probably a good retirement stock tho, but it now and hold for the next 20 years. Reinvest div.",0.8941
189,"There wasn't the usual options action that occurs prior to major stock moves. There has been more negativity towards the prospects for this company. Whether this is a technically driven move off extreme oversold conditions or something fundamental is afoot that hasn't hit the airwaves remains to be seen. Regardless, I don't think anyone that is long can argue with a little relief at this point. Maybe next week we could see another point or two. Take whatever is given and be glad its up instead of down....",0.8683
190,4 analysts have upgraded KHC at the Analysts section of Yahoo.,0.2975
191,Time to buy! ,0.22
192,"Yes i posted to the other one: Will Ferrell SNL doing the Heinz ketchup toot at thanksgiving dinner skit. but wait, then ""dad"" gets the new ""Heinz Relax"" ketchup bottle. no more toot. but, new sounds. check it out at you tube. you'll earn a laugh and now be thinking how many billions of world wide free advertising Heinz just got ""Relaxing"" and not doing much else. thank you SNL and Will Ferrell. why didn't i think of this",0.9812
193,Markets are optimistic and is rising based on real growth. All thanks to Allah!Trump 2020!,0.8991
194,gonna be roller coaster for some time,0.4952
195,blah blah blah..hold long,0.2814
196,Seeking Alpha: Kraft Heinz Stock Decline May Be Nearing End.https://seekingalpha.com/article/4235504-kraft-heinz-stock-decline-may-nearing-end,0.0823
197,WOW they were sure buying on the close in KHC LOL someone sure wanted to make sure they did not loses there shares LOL,0.9663
198,"BOYS.....YOURMONEY....AINT VERY SMART. I GAVE YOU ALL THE WINNERS, BUT IF YOU IGNORE THEM...ITS ON YOU !!!! FWD PE ON GILD IS 9...... 23 BILLION IN CASH. WBA 17% INSIDERS, KL IS THE MOST EFFICIENT AND FINANCIALLY STRONG GOLD MINER ON THE PLANET...{AND GOLD IS GOING UP}, KHC WITH BUFFETT OWNING 25% IS ALL YOU NEED TO KNOW, MPLX AND MPC GROWTH RATES ARE SUPERB IN AN INDUSTRY THAT HAS STRUGGLED. TRENDS CHANGE, AND THESE TWO STOCKS WILL BENEFIT....BIG TIME !!!!",0.9911
199,Boy....there is a great deal of negativity on this board. Good earnings! Look at the yield!,0.7788
200,If this one soars enough tomorrow I can leave my job,0.2854
201,New CEO and management turning this around6 month chart is beautifulHeading higher,0.6838
202,"Don’t worry everyone, mgmt will still get paid #goldenparachute",-0.2277
203,"3G Global Food Holdings LP 2 CHECK THE APPROPRIATE BOX IF A MEMBEROF A GROUP just filed a ""Statement of acquisition of beneficial ownership"", which is also known as a 13G. In the filing, it appears as though 3G Global Food Holdings LP 2 CHECK THE APPROPRIATE BOX IF A MEMBEROF A GROUP claims to own 570,470,868 shares. This represents 46.7% of The Kraft Heinz Company.",0.9728
204,"While Kraft still faces headwinds, the company still appears to be an attractive security, especially in the highly valued market we have today. Kraft is trading 27.5% under its book value, which is reflective of the $15.4 billion in write-downs. Furthermore, Kraft has lost significantly more market value than it has total revenue stream. It's worth noting that a solid portion of Kraft's revenue declines were due to currency weaknesses and negative pricing. However, currency weaknesses are quite variable, and Kraft has already stated that its new pricing strategy has turned pricing positive. Furthermore, Kraft is producing free cash flow figures that are near the company's all-time highs. Kraft cut its dividend by more than a third and still offers a dividend yield of 5.28%, which is more than sustainable with Kraft's cash flows. While Kraft may still have its work cut out for it, its shares are worth a strong consideration at current market prices.",0.9745
205,"UPDATE: CFRA Maintains Hold On Kraft Heinz Lowers Target To $32 Notes 'While debt reduction seems to be progressing as planned, we think KHC should focus on stabilizing profits in '20",0.5371
206,"Prepacked food has heavy competition. I buy some Kraft or Heinz products at the 99 cents only stores, and the same with Campbells.. I prefer Best Foods for Mayo and Walmart Organic for Ketchup, even if it cost more. Whatever products are offered have to be competitive in price and quality.",0.8327
207,40 cent dividend to shareholder on record by Aug 21 2019 Looks like $1.44 is not to bad for a stock trading this lower,0.3275
208,"Welcome new baggees who bought on yesterday's pop. And you thought ""It just can't go lower""LOLIt can!!!!",0.7816
209,I own a binch. Worried. Cramer says stock has no mojo. Wondering whether I should take my losses and exit here.,-0.6088
210,Put my tenants security deposit in KHC stock for my one property. Glad I did it. I know I should put it in escrow but this makes much more sense,0.6031
211,My guess is that KHC will finish this week around $37.50... what do you all say ?,0.0431
212,This stock is rising,0.6597
213,divvy 5.33% Warren Buffett owns 325 million shares. maybe he will take private at $80,0.669
214,Kraft baggees dining on ketchup and velveeta this weekend... I'll be having lobster and a wonderfully crisp chilled rose wine.,0.6494
215,All three of the ssam sauces sold out already!,0.2578
216,"Hi guys,I have been buying Kraft Heinz after doing some research. For those of you who are interested in my analysishttps://www.youtube.com/watch?v=k6iEb-taynA&t=329s",0.7785
217,"Like I said, do the opposite of what Creamer says and you will be fine. What an jdiot",0.5573
218,@Jan Andersen. Still awaiting your educating me about the virtues of KHC. You certainly had all the mouth before.I figured your genius should be shared across the board.,0.8382
219,Warren Buffett...HELP!,0.1946
220,To think that this stock is finished is madness . This is a notorious food stock with signature goods . Never going away !,-0.2927
221,KHC filed an incomplete prospectus showing no value for the unsecured bond offering or % rate.Why file it then?Is there a deal to buy someone?,0.3428
222,GS is famous for posting nonsense like this then a month later issuing a buy recommendation. Yet somehow the markets always over react to anything they say.,0.5462
223,"Just bought 5,000 at $35.05... Buffet is not selling his shares.",0.4841
224,nice 40!,0.4753
