,Recent headlines and conversations for PCG,Polarity
28,In March. Over 50% of the US population will be vaccinated. March PCG raises rates by 8%. 2022 electrical car sales increase by 50% rather than gas. All liabilities are passed them once the final stock are sold from the BK suit. We are probably looking at $18 by year end.,0.5285
29,"Wow! ""PG&E puts cost of judge's wildfire plan at up to $150 billion""Can we get Mexico to pay for it?",0.7561
30,"""(Bloomberg) -- PG&E Corp. shares rallied after hours Thursday after a California Public Utilities Commission official told investors on a conference call that the agency doesn’t want PG&E to go into bankruptcy, according to a person familiar with the matter."" see Yahoo news. thought on shorts tomorrow. strong assets, Silicon Valley and Bay Area are customer base without an alternative. rain is coming on Wed.",0.8808
31,https://www.businesswire.com/news/home/20191212005917/en/PGE-Files-Amended-Plan-Reorganization-Remains-Track/,0.0
32,LOL; My attempted $14.15 500 share Short only got partially filled I got a whole 13 Shares Short in that Pump Bid How funny is that?!,0.6671
33,Im holding pcg for almost a year and it’s barely moves. I wish if they didn’t emerge from bankruptcy. Before that the stock was volatile and it performance was way much better compared to the last year. Even I remember during the bad times of COVID-19 last year it was moving from 10.30-13.x in one week.Now few months stuck on $1-2 range.I don’t know for how long I’m going to hold it. It’s really bad to stuck for longer period of time.,0.7115
34,You guys bashing Warren think you know better? Lol. OK. Good luck. Look at earnings and number of shares and debt. Not sustainable.,0.9343
35,"JUDGE IN PG&E CORP BANKRUPTCY POSTPONES HEARING ON BONDHOLDERS' MOTION TO TERMINATE COMPANY'S PERIOD FOR FILING REORGANIZATION PLAN* JUDGE SAYS HEARING ON MOTION, WHICH MAY OPEN DOOR TO BONDHOLDERS FILING REORGANIZATION PLAN FOR PG&E, WILL BE HELD AUG. 13* HEARING POSTPONED AFTER CALIFORNIA GOVERNOR, PG&E'S ( PCG Loading...Loading...) STATE REGULATOR URGE DELAY TO NEGOTIATE PROTOCOL FOR FILING COMPETING REORGANIZATION PLANS Source text for Eikon: Further company coverage: (Reporting by Jim Christie; Editing by David Gregorio)",0.9709
36,"If you thought they wouldn't shake the tree to see what falls you have no business playing with a stock that's clearly meant for the aggressive investor. I mean, do you put down large amounts of chips on one number at the roulette table? Yet someone always does and when it lands its happy days are here again. Hey guys, I told you yesterday a correction was forthcoming. What? Did you expect it to climb continuously without correction? Do your other stocks climb indefinitely? Oh I know. Your other stocks aren't pcg, and that's why those conservative positions gain little more than the bank interest rate. Already you can read the posts of those jumping ship over such a small downturn. Didnt you figure it would happen eventually so the big boys could learn up on the weak. Look, two weeks ago it feel to 15.50 a share and will the weak dumped as fast as they could, the big boys purchased them at a 1.50 plus per share profit. It happen once, what makes you think a repeat isn't going to occur again and again. They are laughing while controlling the puppets",0.9916
37,Has the dilution ratio been reported/forecast? Something like 5 or 7 to 1? Longs you do realize that best case you are going to be dramatically diluted?,0.872
38,This is the pre-market tape painting mentioned yesterday. Get excited about an ER.,0.7815
39,"Momentary rally early today, then retreating back to the $10's.",0.0068
40,not doing much today,0.1339
41,I ran out of popcorn currently eating kernels,0.0623
42,Kincade fire is extinguished ... stock to rally tomorrow.https://finance.yahoo.com/news/years-most-destructive-california-wildfire-024233239.html,-0.2565
43,PCG accepts their equipment caused the fire but how are they criminally negligent?,-0.5255
44,"PG&E Stock Is Rallying Because a Mediator Is Getting Involved in its Bankruptcy -- Barrons.comToday 1:36 PM ET (Dow Jones)PrintBy Alexandra ScaggsPG&E stock rallied 21% on Tuesday, even as wildfires continued to burn throughout California. The gains came as the judge overseeing the utility's bankruptcy appointed an official to mediate negotiations between two groups of investors vying for control of the company.Judge Dennis Montali of the Northern District of California appointed retired judge Randall Newsome to facilitate negotiations between the bankruptcy's competing factions in an order published late Monday.PG&E has proposed a reorganization plan that would retain some value for the company's shareholders, and reached an $11 billion settlement agreement with investors and insurers who own insurance claims covering wildfire losses. A coalition of bondholders and wildfire victims have proposed an alternate restructuring plan, which would render the current shares more or less worthless.Montali also ordered ""the principal parties to make a good-faith effort to mediate whatever issues can be identified with the help of...[an] experienced mediator."" His court is based in San Francisco.Elsewhere in the state, wildfires continued to spread. Northern California's Kincade Fire was 15% contained on Tuesday morning, according to the state's fire agency.PG&E warned residents that it plans to turn off power to nearly 600,000 customers starting Tuesday in an attempt to prevent wildfires. The utility shut down power to 970,000 customers over the weekend. It filed an incident report last week highlighting an issue with a transmission line near the ignition point of the Kincade Fire, which is still burning.The fire has grown to 75,415 acres but the reported damage has been relatively light thus far; Cal Fire counts two injuries. The agency says 124 buildings were destroyed and 23 more were damaged, but the Sacramento Bee reports that 90,000 buildings are threatened by the fire. About 180,000 Californians faced evacuation orders over the weekend because of the Kincade Fire.Even with Tuesday's gains, the stock is still down about 40% over the past two weeks.",-0.9187
45,May have to wait for earnings to see a rise in share price. i.m.o,0.5045
46,Energy really good today.,0.649
47,"One thing to note is that if the bankruptcy court eventually finds out that PG&E is insolvent (debt greater than assets), then that's when the stock becomes worthless and there's a good chance they'll cancel the stock and issue new stock via an IPO, and offer new stock to debt holders. For Sept, 2018, PG&E noted there was $71.4 billion in assets and $51.7 billion in liabilities. As of Sept, 2019, that figure has changed to $85.7 billion assets and $76.7 billion in liabilities. The difference changed from $19.7 billion stockholder's equity as of Sept, 2018 to just $9 billion in stockholder's equality a year later. Bankruptcy is not scheduled to be completed until June, 2020, so it depends what they can rack up on liabilities between now and then.",0.8863
48,"PG&E Receives State Approval for Investments Aimed at Improving Safety, Reducing Wildfire Risk and Building a Stronger Energy System for the Future11:35 am ET December 3, 2020 (BusinessWire) Print--Investments Include Efforts to Further Reduce Customer Impacts of Public Safety Power Shutoffs--Company Proposes Cost Savings Initiatives to Help Reduce Customer CostsToday, the California Public Utilities Commission (CPUC) approved most aspects of a multi-party settlement agreement between Pacific Gas and Electric Company (PG&E or the Utility) and customer advocacy, labor and safety groups that resolved PG&E's 2020-2022 General Rate Case (GRC), which includes the Utility's ongoing efforts to reduce wildfire risk and to continue delivering safe and reliable service to customers.The GRC decision enables necessary investment in PG&E's electric and gas distribution systems and power generation infrastructure, including investments to reduce the risk of catastrophic wildfires through electric system hardening, enhanced vegetation management, system automation, and asset inspection and repair.The GRC also enables PG&E to continue its efforts to make Public Safety Power Shutoff (PSPS) events smaller in size, shorter in duration and smarter in execution. Those efforts include devices that limit the size of outages to impact fewer customers; temporary generators to provide power to essential services and communities that would otherwise be shut off for safety; crews for inspection and restoration efforts; and customer notifications in 13 languages that provide estimates about when power will be shut off and restored.""The safety of our customers and communities we are privileged to serve is where everything begins for PG&E. It's our most important responsibility. We want to work to exceed our customers' expectations when it comes to safely and reliably delivering clean energy, reducing wildfire risk in an ever-changing climate, and building a safe and sustainable energy system. We are pleased that today's action by the Commission approves much of the negotiated multi-party settlement, which allows us to continue those efforts and underscores our commitment to the 16 million people we serve,"" said Robert Kenney, PG&E Vice President, Regulatory and External Affairs.",0.9979
49,Will PCG be responsible for post fire mudslides?Whats that likely to cost?,-0.2169
50,A week str8 of losses. It's down 20% from it's high 13$ just some weeks ago. Something is wrong?,-0.507
51,"IT'S ALL OVER WITH NOW. ZERO CHANCE JUST THIS ALONE SAYS SELL & SHORT TO $1.00 Maybee; READ:,U.S. District Judge William Alsup found PG&E Corp. PCG -2.29% in violation of its criminal probation AND There is one very clear-cut pattern here, and that’s that PG&E is starting these fires,” Judge Alsup said.Okay, there you have it(; NOW STOP THE INSANITY",-0.8693
52,If PCG amended plan goes through I hope the bond holders (pimco and elliot) are offered 10cents on the dollar for their bond holdings. In BK reorganization pain should be shared by everyone. Shareholders already took some hot.,0.0905
53,I know it sounds crazy but if it goes lower I am buying. this company going nowhere no one can take them over. I missed my opportunity at 5.00 watch and see how low it goes them buy for the long term. this is a large company we can buy into cheap,0.85
54,"Last year, November and December were good months for PCG. Let's hope this year is no different!",0.5621
55,This is for long term holders that want to x4 their investments.,0.5069
56,"Within the next hour, this will start moving back closer to yesterday's closing price. People realize this stock is likely days away from receiving bankruptcy exit approval and they likely don't want to wait until that approval is announced.",0.7515
57,Bailout to come over the weekend strong strong BUY!,0.8315
58,"SAN FRANCISCO (CBS SF) — The Pacific Gas and Electric board of directors voted late Monday evening to file for Chapter 11 bankruptcy protection.PG&E said it would officially file at midnight Tuesday.Earlier Monday, at a noisy meeting punctuated by protests, the California Public Utilities Commission in San Francisco voted to allow PG&E Co. to borrow up to $10 billion to pay for operations during its expected bankruptcy",0.4068
59,i'm tempted to buy 1 share at 6.76 to see what happens,0.418
60,Alright only up from here I hope.,0.7283
61,"Expect CPUC to approve the Plan this week. Dilution is overblown. The market knew about dilution for a long time so that was already built into the stock price. With people staying inside, electric usage is only going to increase. As soon as they exit, we are going to see a huge upside.",0.9372
62,SEC...HALT THE STOCK! Pending investigation!,-0.2253
63,"Judge in PG&E bankruptcy case says 'time has come' to confirm an exit planThe federal judge overseeing the PG&E Corp. bankruptcy case has said that January 29 will be the end-date of a ""confirmation status conference"" that is set to begin Tuesday and lead to a final confirmation of either PG&E or a bondholder group's plan for the company's exit from bankruptcy proceedings.",-0.2429
64,"Banks takeover the company Tues, Shareholders of common get nothing.",0.5146
65,Today is the last chance to buy in the 17's,0.3299
66,Announcement out of BK within 90 days...then pop to 18. pretty simple,0.437
67,I wonder if we win any prize if we can guess where pcg price will end up to be today. Vegas need to open some lines,0.9071
68,gonna be a slow way back but this company is a solid investment for the long term,0.8349
69,will je bounce back like pcg did.just energy only has 43 million shares.most of those shares are held.and pimco and Patterson wouldn't be selling here .they would be buying,0.8616
70,Short covering will push us to 20,-0.5683
71,"Honestly kind of disappointed in the volume today, only 50 million shares traded?! The big boys didn’t sell a share today...",0.7709
72,"people stay calm, the extension is a great sign, deep down Gavin will never hand over PCG to wall street billionaires.",0.8193
73,"If big institutional investors believed PGE wasn't worth holding, they would dumped months ago, the company would not have gotten the financial committments from investment firms, forcing PGE to declare bankruptcy and to sell off the assets, forcing the FUBAR state of California to take control of managing the electric grid, I recall an interview a month or so ago with some honcho of a big investment firm saying the company was on track to get final approval of its BK plan, and that it was a good buy and to not be too concerned about the wobbly stock changes. I'm holding, not folding to satisfy the shorts's desire to panic all the longs into selling so they can pick up shares on the cheap. PG&E is the largest utility in the country. It will clear BK and the price will steadily rise.",0.9389
74,Gap has been filled. Next stop is test mid-Jan high of $20. If we get a close above $20 then the next objective is to fill the gap from early Jan back to the $22.50 to $25.00 range. This chart setup is super bullish.,0.8088
75,"Lawyers for victims and insurance companies, lawyers for bond holders and shareholders. And of course lawyers for PG&E Its a lawyers bonanza thats where the real fire is at.",-0.5101
76,20 Plus Today.,0.4623
77,risky,-0.2023
78,Im New To This But Im Seeing Green Already Ill Continue To Purchase.. in at around 10.90-11,-0.3065
79,Markets strongly red but pcg green on no news? Trying to generate that lost momentum.,-0.6296
80,"Is this Clifford Rechtschaffen of CPUC? Smart. Princeton undergraduate. Yale Law School.Author :""Environmental Justice""""Environmental justice: law, policy & regulation""""Reinventing environmental enforcement and the state/federal relationship"""" My fundamental hope is that we can completely wean the state off fossil-fueled transportation as soon as possible. More immediately, I hope we can meet and exceed the 5,000,000 electric vehicles by 2030 goal set by Governor Brown’s 2018 Executive Order. We currently have half a million electric cars on the road in California—an excellent accomplishment–but a lot remains to be done by 2030. To meet the 2030 target, I will be working to ensure that electricity rapidly increases as the fuel of choice for transportation, that disbursement of subsidies and expansion of transportation electricity infrastructure prioritizes low-income and disadvantaged communities, and that sectors such as transit, school buses, and heavy-duty vehicles are a big part of this transformation.""""to ensure that electricity rapidly increases as fuel of choice for transportation""Where does he think most (and most reliable) electricity comes from? There won't be enough rare earth metals in the world when he gets through with his plan.Why in the hell did he wait to spring a 2 Billion dollar fine proposal on PCG until after the voting had already started? Well i'm mad as hell about that for sure. To say the least: it's fishy.",0.9656
81,I am down 81k but will not sell,-0.0328
82,Jerry Hill’s Bill will wither on the vine. CA has no money. Bk will finalize Tuesday.,-0.5352
83,Smartrend is even saying that after the 1.93% sell off it will rebound. They were right about the buying opportunities when it was 5 dollars. It’s amazing to me when people on here try to push someone’s opinions in order to better themselves with no facts to back it.,0.9216
84,anyone here live in CA and have pcg as Services,0.0137
85,"So, let's say PCG doesn't declare BK... Not that I think it's gonna happen. They are waiting for the 15 days to pass, but let's just pretend. PCG has liquidity. They had a draw on their line of credit of $3B. They aren't paying bondholders and they had cash, but they are getting sued and can't borrow since they have junk credit. Can't use DIP since that is BK contingent money. Judgments come in. The bondholders don't get paid and force PCG into BK by declaring default. So, it's an involuntary bankruptcy then. The company has to pay $30B plus principal and interest on bonds that will mature as time goes by. PCG has less than $3B available. Maybe way less? So, at some point, they run out of cash while paying the judgments. I don't get Blue Mountain's argument since they have cash now but it will start running out fast once those lawsuits start running and legal fees skyrocket. PCG will do the most logical thing, file for BK and emerge out of it within 2 years... Most of the employees will keep their jobs, insurance companies will take a haircut since they will not get as much in subrogation, the insureds got paid... Consumer is not affected since the wiping out of the equity plus bondholders getting some NEW PCG stock post BK will clear up this problem.",0.9372
86,"Victim's fund is overseen by a trustee, which controls the fund and releases it to the victims. Part of the BK emergence deal was the trustee 'promised' that any sell from the fund would not negatively impact share price. As I understand it, the shares unlock on Oct 1 (90 days after July 1, BK emergence) but the trustee won't distribute to the victims until later in the year, likely December. What we need to get is a statement by the trustee that they won't advise selling and that they will uphold their promise not to adversely affect share price.Lastly, options pull in December will bring this closer to $12. Long PCG.",0.9421
87,Today's volume is 38.29 MM. The volume till the last 30 minutes was only 9 Million. Did some shares change hands privately? The next two weeks leading up to the shareholder's meeting will be very interesting.,0.8906
88,Let us see what the market thinks after the CC. This morning is all noise,0.3274
89,"Why is everybody freaking out about this? The share offering was $9.50. $5.5B went in at that price. It's going to hover around there for a while. Plus, that's a lot of money that has been bet that it's going to go up from there (nobody buys at $9.50 unless they expect it to go higher). You've essentially got a $5.5B insurance policy that says it will go higher than $9.50.",0.7405
90,just imagine if pimco declares that they decided they will walk away from the deal. that remains to be seen but let's not count our eggs before we get to the store,0.3573
91,"Until there is an absolute certainty that PCG will emerge from BK before June 30, it's not very attractive to those wanting a fast return. Although arguably this is a great time to buy the stock at a discount below $11. Typically when equities are rising fast elsewhere these widows & orphans stocks tend to be unattractive anyway. Once PCG does emerge from BK there should definitely be an upside rise rather quickly to at least $14-$15 levels since a lot of the risk will be removed. Long term this stock will bounce around and be north of $20 before anyone really noticed that it doubled from where it is now.",0.9667
92,"If this pump was real, We would have traded 20 million plus shares by now, and it would be trading up not down.4 pm is 7 hours away. I say single digit.Hold and find out.",0.8696
93,I just read on Stocktwits we now have a $22.00 price target.,0.5654
94,https://www.google.com/amp/s/www.seattletimes.com/business/regulators-waive-200m-fine-on-pge-for-causing-deadly-fires/%3famp=1,0.0
95,Heck of a recovery on insane volume. Hopefully a sign of good things to come.,0.7092
96,$16.50 after the news.,0.0318
97,slow trickle down.,-0.4526
98,Where’s Bobdole with his technical analysis?,0.0214
99,"Hey fire victims, don’t take your anger out on pg&e anymore. They paid the trust handsomely. Point your anger towards your trust. They’re being greedy hoping it grows by sitting on the money and stock. The powers that be will keep the stock down forever if they need to. YOU ARENT GOING TO GET $14 A SHARE EVER! Liquidate now and pay your victims",0.4473
100,"Why is there no pre market, is it already suspended due to earnings",-0.288
101,1.7 million shares were purchased expect a jump!,0.5599
102,New to the board. Can anyone tell if PG&E has emerged from Chapter 11? If yes why the stock symbol is still same ? Thanks,0.8263
103,"So while most on here believe that PCG stock price will crater to 0, I am convinced it will not drop below $6. More than that, the stock will NOT get delisted, and will continue to trade on the NYSE, contrary to what most on here believe.The idea that the massive volume and stock price climbing up to 14 in the past 2 weeks is a combination of MM games and big money manipulation is bogus. No way can they drive the price of an almost-bankrupt company to those levels. No one has seen that before.I think the fact the PCG is a utility, with guaranteed clients, and a guranteed business, and guaranteed monopoly on the area they serve, make it fundamentally different even if bankrupt. To compare it to Enron / GM / other bankruptcies is a big mistake.Thoughts?",0.4077
104,All aboard! Hoping we're on Apollo 11 and not the Challenger.,0.6047
105,"Fire season is over, PCG received a good stock upgrade from a prominent utility analyst (Wolfe), and institutionals are dropping 13Fs left and right buying up millions of shares. Plenty of good news!",0.9236
106,"yes Sammy when you short an electrical circuit you get shocked, time to short PCG was in the mid to hi teensand cover the short in single digits",-0.847
107,West Coast brokers are just now getting their Lattes,0.5155
108,where is Bloomberg now with good news,0.6478
109,ch 11 is only for the lawsuit to be stoped.as for as income .there projection is strong .bet you see pcg shares jump to $20+today,0.8551
110,"Come Monday/Tuesday, there will be big losers and big winners on this board. For everyone who wins big, please remember the the awful circumstances that made this opportunity and consider making a big donation to the relief efforts for the fire.",0.887
111,"This won’t go above $20 for at least 3 years, long term hold",0.6418
112,The judge is supporting the plan but the parties are squabbling over the interest rate and who gets what cut. Either way the settlement is going through.,0.9125
113,CLEARED ANOTHER HURDLE!!!,0.3766
114,"Even after Judge issues a memorandum of the confirmation order tomorrow, we are not going to see any jump. Now the main driving force for this stock is what the market values the equity offering. It may be a few months after the effective date before we see a run up. We will see a run up but it is not a matter of if but when.",0.8125
115,6 month chart continues to tell us PCG is headed for low 10's during last two weeks of May.,-0.0833
116,"Now that people are actually holding onto their shares instead of panic selling, we're getting to the actual price.",0.5393
117,"DO NOT FORGET THE HUGE UPCOMING FIRES IN 2019 and 2020. These fires are the ""new normal"". HUGE FIRES ON THE WAY.",0.7711
118,Are you guys seeing that flying chicken wing pattern developing?,0.172
119,"First 3.5 billion, then 4 billion not enough then 6 billion no dice then $10 billion all to no avail. PG&E lost the fight. It's just a name not a company anymore",-0.7722
120,the last dividend of this company was 0.53. 8.48% yield. just realize the future earning potential of this company. it was a well covered dividend too. this event will eventually pass,0.7809
121,Bill Text - AB-1054 Public utilities: wildfires and employee protection.https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB1054,-0.1884
122,"the company will have to restructured, after a bk stock the will become worthless and likely not traded shareholders will get to trade the otc for maybe a year but in the end if anything like dynegy was you will lose all but MAYBE 1% of whatever the current share price is after court approval. Total waste of time and hope.",0.9193
123,There won't be a recovery until the people whose lives they destroyed are restored.,-0.1419
124,"Need it to be slow and steady, overall it will be in the teens by year end.",0.2391
125,This is easily a $50 stock by Friday,0.5504
126,i own 30K shares avg of $8.3 i hope this goes to $40maybe my first time luck ever.,0.8847
127,"Short interest is 76.8 million shares, or 5.3% of float. If PCG gets approval from the IRS on Wednesday we could see PCG really start a move to $15-$17 in the near term as it handles all their debt and covers the final payment to the Fire Victims Trust. Increased monthly rates on customers and wildfire mitigation support from California will also help reduce investor fear during fire season",0.8042
128,"Hey shorties, how are you making out lately?",0.4574
129,"Look at it this way: If you're a PCG shareholder and have GEICO, you still save 15% on car insurance.",0.6006
130,I’m not sure if newsome is trying to get recalled or what he takes Pge money he takes union money he hasn’t done anything but increase CA budget and he left San Francisco in a mess. Went to sportsman show this weekend and longest line was to sign his recall petition.... I waited in line to sign,0.562
131,FOCUS ON THE BOTTOM LINE FACTSPGE OWES AT LEAST: $15- $199 BILLIONPGE Has $2.25 Absolute value & cash PCG is MOST CERTAINLY BANKRUPTWhether declared or realized; your shares are not worth A PLUG NICKEL,0.8883
132,What happened to Syrus? Hope he’s okay,0.6011
133,"Once the big brokers have sold their inventory of shares, They will drop this to single digits.",0.1309
134,"Sigh.... there is NO NEWS. Everybody expected them to emerge from BK and get this settlement approved, for months. The price will sit here until PG&E shows they can now take the football and run with it. The have to do what any company does - show earnings, show corporate stability, stay out of trouble with the law - and then the stock will go up. Yes, there is a lot of potential upside to a big utility like this selling for only 10 bucks. But it won't go up because of emerging from bankruptcy. That was just a necessary first rung on the ladder for the company and the shares to even survive. You're not crazy if you're long. But you need to be a lot more patient than ""June"" or ""July"".",0.9638
135,"Here’s a fact about most chapter 11 cases, creditors are typically paid in stock. The wildfire victims are crying about half of the settlement their lawyers agreed to being in stock. If they vote no, there are really only a few possible paths:1) Judge crams it down anyway2) bankruptcy exit is delayed, setting off sale of company and likely far less compensation to victims. If another big wildfire happens before they’re out of bankruptcy, previous wildfire victims will get pennies on the dollar.It’s a pretty tough choice isn’t it? There is no option to not get PGE out of bankruptcy as it will make things 10X worse for all parties",0.1019
136,Thought we would see a big jump today,0.4334
137,"FEMA's claim will be reduced from nearly $4 billion to $1 billion and fire victims will need to be paid in full before the agency gets a cent, an attorney for the PG&E fire victims' committee just told reporters",0.156
138,Ca may have an incredible dry year. Think there won’t be some fires? Who will get blamed and sued. The stock price will never improve.,0.4103
139,The King Of The Street Billionaire NYC Hedge Fund just purchased million shares for $17.80 Buy High and Sell Low?,0.6475
140,Back to 11.50 for tomorrow late morning,-0.171
141,Margin calls for longs by tomorrow.,-0.0052
142,The big news is about to be released !!!,0.439
143,"All the funds are selling around $9. The mm's are involved to keep the price as high as possible. (Mm's can buy and sell from eachother at no costs)Once all funds are out....the mm's stop their action and then the stock can go to ""ch11"" levels.One should know that this stock is (was) bought by many funds. So not sure if they all can get out today.I wouldn't touch this with a stick.",0.7765
144,"I understand that whoever bought tesla, amazon, microsoft is now selling to cash out..But the PCG investor, why is he selling? :)) he is ""cashing out""?:)) the stock is basically flat",0.7132
145,Either way this plays out the residents that have PG&E as their utility will be paying MUCH more for their power.....,0.4795
146,Someone perform CPR over here.,0.1209
147,"Someone on the board noted yesterday that institutions which held 93% of PCG sold millions of shares and now held only 25%. You only have to look at the Holders of the shares to see that almost 84% of the shares are held by institutions and mutual funds, the big boys. Does it look they're selling? I don't know who is selling but don't really care. PG&E is a monopoly. They can raise their rates and the CPUC will have to oblige them for the most part, especially since PG&E is expected to make grid safe. The SP will start to rise at some point. If ESP on the 30th is poor, it's to be expected, with all the debt and payouts incurred. Maybe many of the wildfire victims will unload their shares when the 90 day waiting period expires, so what? More shares for those in for the long haul.",0.8341
148,Very interesting price action today... have a feeling this will either explode up before close or open with a big gap up tomorrow... :),0.9043
149,Only problem this is California. More than likely there will be more lawsuits. Seems to be the California way. Let’s hope not,0.0876
150,no profit taking here until $32,0.172
151,come on 18,0.0541
152,"Don’t worry Longs. Just buy Puts Incase Newsome caves to the crooked Bond Holders. Who in all fairness, don’t deserve to lose their money. On the other hand VICTIMS COME FIRST PERIOD. ITS the risks you have to face if you want to make lots of money. They could have bought Puts just like anyone else. Let’s not feel too sorry for them.",0.1873
153,"Get ready to see $18 tomorrow, nothing but good news!",0.7864
154,Wouldn't be buying this but congrats to those who gambled and won. No expert here but I think the whole drive for the bankruptcy filing was based on the 2018 fires not the 2017. Who knows really I am just watching the show.,0.9204
155,The shorts seem extra worried all of the sudden. Wonder why? (sarcasm). See you guys at $12 on Monday.,0.0159
156,"California Governor Gavin Newsom has threatened a state takeover of PG&E Corp. if the bankrupt utility giant doesn’t shape up. Now he has a framework to do it.State Senator Scott Wiener will introduce a bill as early as Monday that would kick off a process by which the state assumes control over PG&E by buying its stock, according to his staff.The utility would be run by a municipal board -- enabling access to cheap tax-free financing -- but operated by a public benefit corporation, a private entity that would allow PG&E workers to avoid being subject to government employment rules. Municipal bonds paid back over time by ratepayers would finance the transaction.“PG&E operates a monopoly as a privilege granted by the state of California, and that privilege can be revoked,” Wiener, a San Francisco Democrat, said in an interview. “I support public ownership of PG&E.”",0.9834
157,https://www.google.com/amp/s/www.sfchronicle.com/business/amp/Cal-Fire-takes-PG-E-equipment-as-it-investigates-15635099.php,0.0
158,https://www.benzinga.com/analyst-ratings/analyst-color/20/01/15200268/mizuho-upgrades-pg-e-expects-bankruptcy-deal-by-june-deadline I also expect the deal to be done by June ... PCG could be $17.50 by then ...that would be Fantastic !,0.6939
159,The price is the same as it was last Thursday $14,0.0462
