,Recent headlines and conversations for BIIB,Polarity
17,"AC Immune Partner Life Molecular Imaging Presents New Clinical Study Results for Tau PET-Tracer 18F-PI-2620. $ACIU, $BIIB, $RHHBY*** Study confirms the good performance of tau PET-tracer 18F-PI-2620 in detecting and quantifying tau deposition, a key pathological feature of Alzheimer's disease*** Results presented at the 11th Clinical Trials on Alzheimer's Disease Conference (CTAD) in Barcelona, Spain, October 24-27th 2018*** Global clinical trial supply network of 18F-labeled Tau PET imaging agent 18F-PI-2620 further expanded including several sites in the USLausanne, Switzerland, October 29, 2018 - AC Immune SA (ACIU), a Swiss-based, clinical-stage biopharmaceutical company focused on neurodegenerative diseases, today announced that its partner Life Molecular Imaging (LMI, formerly Piramal Imaging) has presented new clinical study results for 18F-PI-2620, a novel tau PET-tracer, allowing further extension of tau PET investigations with this compound in therapeutic clinical trials[1]. These results were presented at the 11th Clinical Trials on Alzheimer's disease Conference (CTAD) that occurred October 24-27th in Barcelona, Spain.Intracellular tau deposition is a key pathologic feature of Alzheimer's disease (AD) and other neurodegenerative disorders. The results of the Test-Retest study for 18F-PI-2620 in AD and non-demented controls (NDC) demonstrated favorable kinetics, high target specificity with low off-target binding and high signal in regions of expected tau pathology.https://finance.yahoo.com/news/ac-immune-partner-life-molecular-100106930.html",0.9972
18,"PBYI running like MYO did yesterday, short squeeze shorts have no way out PBYI￼",0.0886
19,Golden opportunity to add more shares now.,0.8111
20,I told you six months ago BIIB would hit three hundred!!!!!!!!!!!!,0.388
21,Why not just put your money on ACOR... BIIB is doing it. ACORDA 2 approved drugs 65 million cash in hand.,0.7919
22,I'd say rather tepid reaction in pre-market /hopefully once we open we'll see a bit more positive reaction. this is lame!,0.3043
23,everyone is selling on pop tommorow. who will buy ? will watch my 80 shares get crushed again tommorow,0.012
24,BUY MNK,0.1332
25,What's going on this these BIVV shares? I'm down almost 6.5% since they spinoff on those shares!,0.7679
26,THIS REOPENS BELOW $100 WHEN FDA SAYS NOPE!,0.4346
27,Be careful shorting; can whiplash back over 300 in a New York minute.,0.2033
28,Again we totally missed a huge market rally,-0.0261
29,This could be of interest here. Biogen currently has one anti synuclein drug BIIB054 (anti-α-synuclein) in p2 trials. [The findings showed that PBT434 passed the blood-brain barrier and inhibited the alpha-synuclein protein which when aggregated in the brain is a pathological hallmark of Parkinsonian conditions and is considered an important biologic target for treating these neurodegenerative diseases.]This was just released from a P1 being run by ATHE,0.6799
30,we need JOE BIDEN - under Trump the market has been so narrow that the returns of a few skewed the market where most were down..... VOTE JOE,0.9067
31,"Amyloid hypothesis is not dead. Aducanumab will be resurrected when anti-neuroinflammatory drugs are combined with it for AD therapy. Amyloid-beta in its precursor form or plaque form induce, or is generated by, inflammation. For memory loss disruption of blood-brain-barrier plays a critical role. This disruption also induces inflammation through infection by leaking virus. Inflammation damages synaptic junctions and even kills neurons. To reverse this process, therapy must include anti-inflammatory drugs and amyloid neutralizer.",-0.6631
32,Why are they even presenting if there is nothing in the data?,0.2353
33,Nice dip I must resist buying now very hard not to add more . Might just go ahead and do it...,0.7588
34,Drop below 200 soon!,-0.4977
35,damn.. tis bad,-0.5423
36,CVS Health and the CVS Health Foundation Building Healthier Communities across the Country with Nearly $3 Million in New Grants to Free Clinics,0.869
37,"Yes,,, i bought $225 and wait.!! Will yah.?",-0.2098
38,So far this year they retired about 15 millions shares already. At this pace they will retire about 25% if its shares in two years. Take a look at RH I bought them at $40 and not even three years later they traded at $180 because of shares buying back and earning keeps going up.,0.8939
39,Jump on ATHX our phase 2 study passed,0.5636
40,Shorts getting torn apart on fantastic news,0.3523
41,Why spend $5 billion on buybacks and not on research..Seems a little short sighted...,-0.3188
42,Will BIIB pull a SAGE and drop $93 today?,-0.1718
43,why are we down premarket,-0.1795
44,Markets are out of touch... You can see how they are so tied to FANG stocks that they can't see the forest for the trees. Totally ludicrous. Boolean,-0.2534
45,"Lots of focus on the drop in Tecfidera sales to the generics but this doesn't factor in the recent approval in China, etc. The generic story seems to be a bit overplayed.",0.9141
46,"Won’t drop much, already gave some back from spike.No one knows what’s going to happen, but history says they will have another meeting before approval date in March.That’s why they put approval date out that far.Usual stuff for significant drug reviews.Panic and you’ll make money for someone else.",0.962
47,"Raymond James analyst is irresponsible, unethical, and borderline criminal...0% chance of approval??? Are you kidding me. Most of the views are it will get approval. Talk about pushing your agenda.",0.7661
48,CFRA analysts are silly. They maintain NEUTRAL but increased TP from $271 to $385. I believe we will reach $385 following the ADCOM!,-0.6159
49,"If Alexis is worth so much, the biogen minister be worth at least 400 dollars a share",0.6115
50,pay-tience kids pay-tience...PAYS....like the civil war...wait until you see the whites of their eyes....this stock is OVERSOLD and within 37 minutes will be a perfect BUY POINT. Boolean,0.763
51,bagholders...assemble!!!,0.0
52,Congrats to all that suffer from MS things are looking better for them all with the approval that BIOGEN got today,0.7533
53,"Scare tactic this is a value play here the same way they pounded Apple and the media was all sounding it's death knell at 142 , YAWN , in this inflated market Biogen is an epic steal down here",-0.7767
54,Sold half of my position but definitely want to be long some shares. Doesn’t pay a dividend but a very good valuation.,0.9534
55,"If FDA approves this drug, it will prove fraud on FDA part!!! Can’t approve a drug and potentially risk millions of elderly people with side effects of the drug has not show consistent benefit on multiple studies! This is trader’s play! Sell and secure profit!!!",0.9705
56,"will add more at 310 and eventually 300, this corona BS is fraud, will see in a few months",-0.5471
57,Finally green! Keep going!,0.3631
58,"BIIB only hope is to buy AVXL, who actually has the only working drug for Alzheimer’s, Parkinson’s, and Rhetts Syndrome.",0.7726
59,https://www.forbes.com/sites/elliekincaid/2018/07/25/biogen-and-eisai-present-positive-results-for-experimental-alzheimers-drug/#665bc5ee5cc9,0.0
60,"IBB 100.........all biotechs getting slammed....I think people fear price cuts coming for drugs. That said, BIIB has something like $26/eps???",-0.3319
61,doesn't really change anything. approval still a coin flip.,0.3364
62,Just read that this could sink as much as 10% when futures begin trading. Yikes!,0.2453
63,"Over 10 billion in market cap gained overnight... yeah this isn't going to hold. Only the Fed can create money out of thin air, BIIB is going to give half these gains up shortly.",0.7732
64,$137 price target,0.0069
65,Biogen (NASDAQ:BIIB) PT Raised to $249.00 at Royal Bank of Canada This is quoted from Marketbeat website.Biogen (NASDAQ:BIIB) PT Raised to $249.00 at Royal Bank of CanadaBiogen (NASDAQ:BIIB) PT Raised to $249.00 at Ro,-0.4483
66,AGN was way up in price look at it now.... hit fib retracement at 125 I know different company but they all do it. looks like BIO out of favor right now also. Hey I made mistake buying this I don't mind admitting mistakes.,0.9722
67,Owning this stock is enough to turn a healthy person into a gibbering idiot.,0.1323
68,The 8 Best Space Stocks To Buy Right Now! Visit (http://bestspace-stox.online),0.6761
69,"In order for BIIB to support their stock price, they need to start paying a dividend. This stock has been in free fall for over a year. Time to stop the decline. They have excess cash on the balance sheet and this is no longer a growth stock.",0.7897
70,this is going to be huge.,0.3384
71,$300+ this is a big news....,0.139
72,Hate to say it but Biib will hit 200 by Monday. Analysts downgrades are coming and price targets dropping like flies. I just don’t understand why pull the plug when first 2 phase were good. Can’t they work from the point of good trail?,0.9404
73,Is it time to buy BIIB now ? Or will still fall tomorrow ?,-0.1996
74,Obviously someone knows somethingAlzheimer’s trial fail my guess,0.4299
75,Do you think BIIB will buyout SAVA?,0.1773
76,"Aducanumab demonstrated......""modest benefits"".....and.....""risk of swelling and bleeding in the brain""....and some of you are ""shocked"" or ""surprised"" of the 8 to 1 Adcom vote ? Give me a break ! Out of BIIB and into SAVA, ladies and gentlemen....",0.3017
77,"Estimates raised by Oppenheimer. Piper Jaffray, Svb Leerink, and William Blair.",0.7071
78,"It may reach the $200 level, but may be a good price at that point. But I won't touch it until that price.",0.8321
79,Long BiiB keeping an eye on VTGN with anti depressant Drugs!,0.5272
80,Anyone catch BIIB ER and news? Impressive ER. Total blowout. Sure would love to be holding some of their shares.,0.9741
81,Bristol Myer paid $74 billions for Celgene while Biogen worth less than $43 billions. It’s cheap. Big drug companies should buy Biogen,0.8263
82,Buying now,0.2963
83,Likely resting at $28 50 this week. No issues. No Dr. Su has the pipeline in order as discussed. Fundamentals right where we want them. $MU still reeling from the Cowen report and looking to avoid 5%-8% drop in 2Q. $SNAP still on high for year and looking stronger. $TSLA the speculative pick with SNAP. Both have exciting leadership.Avoiding more losses in the energy traps. $TVIX crushed. As did $UGAZ.Went in with a buy on $BIIB yesterday at $233. Solid large cap pharma buy with promising pipeline.My little d goes back in the basket today and we are having a late breakfast at Costco!Ring a Ding Ding!!,0.9514
84,"There's many reason why BIIB is going down lately. Firstly as Morgan Stanley points it out there won't be buyouts, secondly and the most investors concerning about is a new MS drug that will eating away Biogen MS franchise and thirdly the Biotech sector cannot break out of the doldrums. But for Biogen the next earning report will give a clearer picture how much new drug takes its market share and how much royalty they get and their Spinraza drug sale progress. Biogen gave a great guidance for 2017 earnings which is more than $20 per share and they bested in the first quarter. A lot of Analysts still very bullish about Biogen but few are very skeptical. Next Earnings will clear this up. I think there are a lot of things going for Biogen in the long term (1 to 2 yrs) investors will be very well rewarded.",0.9944
85,CNBC reporting possible approval if even vote is no,0.721
86,For biotech : check out OMCL (omnicell inc),0.3389
87,Bloomberg article is casting doubt on the fda approval. More manipulation. That you can count on!,0.721
88,Total blood bath today across the board! Hopefully we'll get past this Sept. FOMC meeting and get that rate hike out of the way! Its causing misery to the market. FUD!!,-0.7371
89,I'm selling my put at open this this hasn't gone under 200 in 5 years and I don't think it will this is the bottom,-0.1188
90,"Monday will be very tough day for us investors in BIIB. But, remember Alzheimer’s drug that failed is disappointing. But, BIIB is a extremely strong company with many, many drugs for:Multiple sclerosis Spinal muscular astrophyPlaque psoriasisSupports other drugs like humiraNon-Hodgkin’s lymphoma, leukemia, arthritis And many moreIt is an extremely impressive company. Further stock was already from from $374 to $243 in the year before sudden raise from $240s to $350s last week. Monday will still be bad due to Alzheimer’s drug failure. But, should be down 10 or 20%%. ",0.6778
91,"Every time I sell, then it goes up , what the hell",-0.5551
92,What are good reasons to buy Biogen ?,0.5474
93,Is new partnership for AD therapy an admission BIIB is not confident in Aducanumab?,0.9167
94,If Alzheimers thing goes well... this will easily scale $400...,0.2197
95,Shorters is testing the $226 level,0.2551
96,So...how’s that BIIB AD efficacy going!It doesn’t work to even try to solve the AD problem. SAVA...just a hint at the best solution. The Prestigious NIH has funded the development so far. Cassava sciences is an AD company with the best of breed formula. It’s a 15X bagger in the soon making!,0.9665
97,Have said for many years the best way to invest in this sector is ETF's just too risky for individual picks.,0.6316
98,"Stock is up after hours, wondering if Wall Street knows the numbers for tomorrow??? It was up in early hours this morning? I’ve been a long time buyer, picked up some yesterday... this stock will give people a heart attack.... Any thoughts?",0.8929
99,Tomorrow take off,0.0331
100,Nice! FDA approved?,0.8458
101,"Yes, I am moving over to AVXL too. Alzheimers, Parkinsons, Rhett ,and safe.",0.788
102,"Biogen, AbbVie withdraw multiple sclerosis drug Zinbryta. CELGENE OZANIMOD NEEDS TO HURRY UP AND GET APPROVED AFTER PAPER WORK IS CORRECT.",0.6459
103,20 billion lost in market cap ? stop losses kicked in. no way it was recovering today.,-0.8954
104,the daily drop,-0.3561
105,Biogen reached a 52 Week low at 230.82,-0.1464
106,"This will spike to 320 before earnings in July, load up calls for after earnings and you will be happy, could easily scalp 50 to 70% when it gets to 320.",0.8715
107,Dayum!! 2013 price levels...wowza!! That's gotta hurt!!,-0.6429
108,"Great Profitable Co.....WAY OVERSOLD.....should be around 235-240....will be there next week,...Buy here at the lowsCNBC analyst said now BIIB will likely go shopping for gene therapy co. to acquire.....disclosure: I bot 1k shs at 126.77",0.9539
109,very very small chance this is approved without a huge amount of scrutiny.....no one wants to pay 200K a year for a drug that slows the decline by a small percentage and prolongs the misery of a patient...strike 2 for Biogen....smacks of desperation,-0.042
110,"Thin pipeline, no CEO, waek leadership team... bring back Jim!",0.8343
111,"Can anyone tell me of any time, ever, when the FDA did not follow the advice of an advisory board?￼",0.578
112,https://www.nasdaq.com/article/assessing-impact-of-biogen-biib-news-cm1118024/amp,0.0
113,"Northlands global sales target of $1B for Lefamulin so buyout of $2B this early possible $ABBV $PFE $BIIB and Roivant should pull the trigger, Lefamulin being a new class of ABx makes it very valuable, more indications coming",0.698
114,Almost to the limit of my patience. ,0.0696
115,"What happened with SAVA is most similar to what happened to Immunomedics with its drug Trodelvy.Basically the same revenue potential. Gilead Science bought out Immunodeics for $21 Billion. 13x from current share price. Add SavaDX for early, reliably diagnosis. Now add Parkinson’s, Huntington’s, Creutzfeldt-Jakob, cystic fibrosis, Gaucher’s disease, and possibly even Down syndrome. What should SAVA worth?$BIIB, $AMGN, $REGN, $GILD",0.9047
116,$ACRX got FDA approval today for a drug the DOD already has a large order for. Will be a blockbuster. Check out Dsuvia.,0.9457
117,Eliminates the shorts...that's for sure!,0.3758
118,Best opportunity to buy BIIB before Alzheimer's drug filing or more data from the phase 3 is available .This will be first drug to be approved and the first to be in the line of treatment and can take BIIB to $600 - $700 range .This is going to be the cheapest you can buy .Risk reward is really good .,0.9814
119,Are they still having the conference meeting tomorrow?,0.5313
120,The BIIB shares price dropped following news that ABBVIE stop testing a drug that treat a rare brain disease called PSP which BIIB also testing a drug that treats the same disease. Hope it recovers and rally with the market.,0.927
121,That's much better. Did everyone one wait to see if the market would sell off ??,0.7402
122,"So nice to see that ROBERT W. PANGIA, a Director, sold $2MM worth of stock on March 17 at $328. Sooooo nice to use that insider information to bail!!!",0.8951
123,"If halfway through a two horse race, neither horse is winning, there is a good chance the race will end a tie. What to do? Extend the race! Hope that your horse will win out at the end.",0.9714
124,I'm beginning to understand why our grandparents stashed money under their mattresses!,0.1313
125,"Lauren, did you misspell the URL name or is it done on purpose lol?",0.5873
126,Anyone have any thoughts of effects on current share price from this lawsuit? What's the full potential impact if this thing goes through?,0.6428
127,Wow!!!,0.6884
128,One more thing. This market reminds me of the dot bomb period. One at a time stocks were take out to the wood shed and stripped till the emperor had no clothes so to speak.,-0.2136
129,"Below Howie R posted on StockTwits, May 26th, 8:18 am:$IONS $BIIB “We think ASOs are the most advanced genetically based approach for targeting neurological diseases,” alzforum.org/news/conferenc...People who are on the forefront of applying RNA drugs for human clinical trials have all gravitated to IONS; Biogen, Novartis, GlaxoSmithKline, Roche, Bayer, Janssen (Johnson & Johnson) and many more. These companies are not blindly pouring in billions of dollars to IONS drugs, there are clear scientific reasons, they know better than us. Cranium, in his Seeking Alpha article explicitly detailed these, I've posted a number of messages on this board expounding item by item, why IONS approaches are superior.",0.9776
130,They trapped all the Longs with the halt... now no one can get out before Monday after the Adcom committee votes down. Big Pharm playing games again...,-0.437
131,$500 stock!!!!,0.0
132,Feels like IPO day.,0.5861
133,Incoming pre earning pump,0.2057
134,Buy or no?,-0.1811
135,I'm not pleased. The stock was halted all day Friday despite the voting clearly going the wrong way before 3P ET. I had 270 PUTs that expired worthless. Not sure how to appeal this but definitely got screwed.,0.3038
136,"No matter how I look at my DCF analysis, Biogen seems to be a massive bargain right now. Something is wrong here...",-0.5497
137,Needs to buy a clinical Alzheimer drug Co,0.6921
138,Data being presented on brain swelling soon.,0.1374
139,It's traded up bid up to this range and they will let it drop like a hot potato soon .. garbage ,0.4615
140,$7.15! $6.98 adjusted.,0.0
141,Wonder who is buying in the after market hours,0.1979
142,IHS Markit = ,0.0
143,"What do you guys think Monday stock price will be?. Only a miracle can save us. But 20 or 30% down?. Note BIIB is a strong company with other approved drugs. So, it should not go down all that much. Probably 30 to 60 dollars down?.It will be very painful for me. And 1000s of investors I was naive. But, with 8 votes against and 1 as for, there is no path for FDA to approve this drug. 1. What do ppl. Think on a Monday stock price2. Is there any hope for approval?",0.9831
144,Is there any indication that the meeting will be over before the market closes?....,-0.0622
145,It's GOOD entry point !,0.622
146,"The share buyback is a foolish waste of the companies cash. Might as well burn the money. BIIB needs growth and could have put that cash to work. 5 billion could have bought one or two smaller companies with established drugs and pipelines. Or BIIB could have taken over a mid cap company for more than 5 billion. If the company was accretive it would have paid for itself if BIIB needed to use debt. Or BIIB could have diluted. In some instances dilution can make sense. If BIIB has the cash flow to repurchase shares why not pay a decent dividend?? At $27 or $28 in 2020 earnings BIIB could easily return cash to shareholders. I bet many of the shares bought back will be given out in stock options for the directors, this is a ploy often used by companies.",0.9258
147,The whole company will have to be restructured... Sell now,0.087
148,Unbelievable how badly this performs regardless of its low valuation. I wonder if they paid a dividend if it would help the stock price.,0.4696
149,any comments? selling off hard,-0.0838
150,"With a forward PE of 13, BIIB is so cheap. Can’t believe this is under $400.",0.6189
151,Seems like a huge battle trying to regain $300 share price again!,0.728
152,"OK, who was short today? Just wanna say thank you.",0.5439
153,MBRX needs to increase product supply because clinicals are doing that good for tumor reduction,0.3958
154,"Not sure why Biogen is down today? I suppose the investors / traders are putting their $ others areas and figure it's going to be awhile before Biogen gets approval ( within 6 months - could be anytime sooner). So honestly, just my opinion it's a good morning time to start acquiring shares because Biogen is going to do very well. Honestly should be trading so much higher, 350-370 range actually higher. This is going to bring on huge revenue... So acquire now guy you'll be in great shape when goes up to 600",0.9856
155,Buy BIIB because the baby boomers getting old will have more brain diseases. Buy BIIB stock because nowadays more pressure on work and more depressions link to brain diseases. Buy before it rises again.,0.3243
156,Nice rebound off the lows. Especially nice given all the ANALysts downgrades.,0.5695
157,LABU on SALE !!! Grab some thank me later,0.7825
158,This is ridiculous. Still halted!,-0.548
159,remeber Rituxan ?,0.0
160,"What’s Analysts price target now? HCW price target of $51 is for 6M potential users, the new target for potential users about 60M now Plus AMRN’s Vascepa have outsourced trials for Alzheimer’s, Diabetics and Cancer, I really think BP needs to partner here.$PFE $NVS $GSK $AMGN $GILD $BIIB , who’s it gonna be?",0.8467
161,Overdue for breakout.,0.545
162,"Biden will approve this himself, he is going to need a hefty daily dose to survivevhis first year in office. I am surprised he knew he was running for president, at one time had said he was running for Senate lol",0.8872
163,"""If you want to have a better performance than the crowd, you must do things differently from the crowd"" Sir John Templeton. Boolean",0.6362
164,"If you're a trader, today is a dream come true. If you're an investor, it's not fun.",0.8439
165,Run like hell!,-0.3765
166,Definitely taking the Mrs. to Golden Corral tonight!,0.6698
167,AMGN should takeover Biogen. How about 1.5 shares of AMGN for 1 share of BIIB. $360. AMGN can easily get the AD drug approved faster than BIIB.,0.9213
168,"I'm in a quandary. When BIIB closed at $216.71 on Mar 22nd (based on the Alzheimer drug fail), the stock bounced back to close at $240.28 just 10 trading days later (April 5). So should I wait a week to 10 days to sell at a better price or take my lumps now? Opinions anyone?",0.8475
169,Amyloid plaques is not the root cause of Alzheimer’s. As a recent press release from NIH said mitochandria dysfunction of brain cells due to NAD+ depletion is the root cause. Nicotinamide Riboside (Niagen) supplementation reversed and prevented axon damage. CDXC holds the answer for Alzheimer’s and all age related diseases. As noted by the national Institute of Aging “NAD+ depletion is a fundamental feature of aging”,-0.2755
170,"BIIB will soar as Biden steps in WH. Stupid Orange supports oil price but drug's, what is the logic? Because oil backs his election.",-0.411
171,They are thinking about renaming to 'SELL Ogen ' !HEE HEE HEE,0.4199
172,"[...[Others] think the agency may approve the drug, including BTIG’s Thomas Shrader—who rates Biogen at Neutral—and Canaccord Genuity’s Sumant Kulkarni—who sticks to his Buy rating and $393 price target. “[T]he ball is now firmly in the FDA’s court on approval,” the Canaccord analyst wrote in a Saturday note. He believes the advocacy by patients and their families may press the agency to allow the drug, while requiring Biogen to continue trials after approval.]]https://www.barrons.com/articles/biogen-stock-gave-back-last-weeks-gains-whats-next-51604963396?siteid=yhoof2",0.9426
173,"[[ .. Geoffrey Porges at SVB Leerink, ever the Biogen bull, praised the “carefully curated and scripted” presentation as “masterful” and maintained that approval is likely....]]https://endpts.com/skeptics-pounce-as-biogen-details-positive-subgroup-analysis-on-aducanumab-and-both-sides-are-digging-in/",0.8664
174,Why this is up today any news?,0.4228
175,The Amyloid theory of AD is now dead.Anavex has the better theory and trial results.,0.8074
176,announce some good news...,0.6606
177,"cheap, well managed, just need to pay out dividend.. pplease",0.626
178,BIIB probably spent all $5 billions in buying back its shares in last few days. Its shares are cheap now.,0.7994
179,this is trading like someone knows something.,0.5586
180,Good beat down lol.,0.6751
181,$450/share by tomorrow !!!,0.2358
182,If this stuff doesn't work they'll cut it in half. Lots of broken promises.,0.2875
183,Victim of poor management delivery at ER followed by a lousy cc imo. If these guys just got out of the way the stock would probably soar.,0.6947
184,If BIIB fall big on Monday Biogen new 5 billions shares buying back will kick in last 5 billions buying back took 9 months. If the shares buying back continued for next three years they can retire 30 to 40% of outstanding shares plus they just report very positive phase 2 with Lupus drug. FDA will approve AD drug. FDA have their own opinions vs ADCOM opinions and seem like FDA already makes up their mind before they released their comment about the drug before ADCOM meeting. Sleep tight!,0.9944
185,Slightly better than placebo... Is that good enough ????,0.7985
186,when is the meeting.,0.0444
187,Only chance for this company is to shoot the pig with lipstick and buy a license for Anavex 2-73 Blacarsemine,0.0638
188,"SA article on a potential Cognition drug that mentions Aducanumab's failure, Apabetalone is in Phase 3 and the primary endpoint will be on MACE reduction with Cognition and Kidney function being secondary:https://seekingalpha.com/instablog/15663412-joe_retail/5302150-resverlogix-keeps-climbing-high-can-go",0.7903
189,Buffet took new positions in Kroger and Biogen.,0.1938
190,I believe Biogen will be smart and buy Regenex bio which has a big stake in Zolgensma drug which cures with gene therapy Spinal Muscular Atrophy that is currently served for $7 Million per patient by Biogen Spinraza. Current market cap. of Regenex bio is only 2 billion and gets big Zolgensma stake and about 130 other other Gene therapy products in development bt Rgegenex bio= RGNX. There is an article on Regenex bio on Barrons weekly magazine on March 4 2019 page 22. Good read,0.9937
191,Look at volume indicators....like On Balance...not showing and fear selling....I remain bullish on outlook for continued review and promise of aducanumab...this is just noise not a SELL SIGN TODAY. Boolean,0.7033
192,Good buy next Monday for a 10% return...,0.5171
193,"I expect that we will get a very nice lift after earnings. Concerned that the recent drop offs of $INTC and drag of $MU might dampen the bounce. INTC remains a puzzle. If you read the reports, the troubles were known internally at least. We investors in the dark. Pleased with Elon's approach to SEC matters and still view $TSLA as a good speculative pick. $SNAP and Evan continue to impress as business model and user growth continues.$TVIX and $GUSH may be so depressed it might be time to look at again. Losses significant.$BIIB very happy with Biogen as a long term large cap pharma pick, Bought at the bottom and see it as a 8 month hold for 12%-20%. Pharma can be fickle as we know.Sharing because it may be of help to you.Ring a Ding Ding!!",0.9489
194,I bought @ share at 231. I just started investing 1 week back and I have made a profit of 85$. Don’t call me a nub. I have seen everyone bullish but I am scared that it will fall I have a feeling,-0.2234
195,https://www.bloomberg.com/news/articles/2020-03-12/biogen-outbreak-makes-boston-a-case-study-in-coronavirus-spread,0.0
196,"Brian Skorney needs to have a better understanding of dosing....to put it simple terms for him...think of a recipe...it is set amounts to attain a specific outcome. If you alter that ""dosing"" of the recipe it alters it good or bad according to the expertise of the chef. When dosing was adjusted the outcome of aducanumab produced a better recipe and a better outcome. If you look at the massive cost of Alzheimer's you see the aligned need to treat it. SO - to stop a drug that has shown the type of improvement shown in this study is just not feasible or likely in my opinion. And, you are seeing that in the action of the stock with On Balance Volume and the like uplifting. I believe the Brian is lost in the forest of his mind - he is not open to what is there because his belief is to rigid and non-malleable that it does not allow him cognitively to reassess and reconstruct his point of view as it is .....lock down. Not Good Bri Bri.... Boolean",0.9858
197,Great news Mother died of Alzheimer’s will support any drug that might help those afflicted.Bought shares this am could be the greatest discovery for all generations.......everyone is affected by this disease....naysayers go away.,0.9517
198,Sad to see investors lose money in this company but even more disappointing to see the failure in the effort to see progress in the Alzheimer field.,-0.8689
199,everyone relax -- only dropped 88 pts.,0.3811
200,One year chart RSI is 83. I think it is pretty safe to buy now,0.9139
201,Only up $1???,0.4009
202,Are we at $300 yet?,0.0037
203,How long are they going to pump this Alzheimer drug?,0.6678
204,Aducanamab does not address pTau,0.0888
205,"Regarding the BIIB / Roche news... I can't imagine that had any play today. The press release is kind of misleading on who is to blame, but it kind of points the finger at Roche. Roche blames BIIB. If people though BIIB caused it, this thing would have tanked -50 in its current condition. If people thought Roche did it and the drug would be pulled or something, BIIB would have been up a lot more then +5.",0.6253
206,Looks like no one wants to believe them.,0.3087
207,Can anyone tell why it dropped $45 in the after hour trading?,-0.1672
208,I have a friend with serve memory loss problems hope this can help her.,0.5085
209,"Biogen Inc.’s experimental Alzheimer’s disease therapy failed to gain support from a panel of U.S. Food and Drug Administration advisers on Friday, putting the drug at a crossroads as the agency weighs approval.The outside experts voted 8 to 1, with 2 undecided, that data from a single clinical trial with positive results was insufficient to show Biogen’s drug works. They also voted 10 to 0, with 1 undecided, that the positive study shouldn’t be considered primary proof the drug works in light of conflicting evidence from a different trial.The votes contradict a report FDA reviewers prepared ahead of the meeting that supported the efficacy of the drug, called aducanumab, though there was dissent in the agency. The FDA will continue the review process with a decision by March 7, 2021.",0.9891
210,I think BIIB might have reached its upward limit and that a pullback may be possible. Do you guys find it difficult to know when to buy or sell something? I prefer to get my stocks from awe-someSTOCKS.,0.7128
211,"aducanumab, is this the weekend? after hours we have some suspicion that something is up",0.0629
212,"Fujifilm Holdings Corp said on Tuesday it is buying a subsidiary of Biogen Inc , Biogen Denmark Manufacturing ApS, for around $890million to bolster its healthcare business. The acquisition is expected to be completed in August thisyear, it said. The Japanese company last year announced that it would buytwo biotechnology units of Japan's JXTG Holdings Inc for about $800 million.",0.6873
213,From $300 to $290. SOS,0.0564
