,Recent headlines and conversations for PGR,Polarity
34,Its been about 7 years since last split and is in the range to do so.,0.1833
35,why this selloff ...? agoust report so disaster?,-0.674
36,Crossing 50 day,0.0447
37,"Put 20k into this stock today. Best balance sheet/growth/cash flow/P/E ive seen.14%yoy growth yeilding 5%, at 11p/e? Load the boat.",0.8888
38,"These Insurance companies are loaded with cash. Homes, Cars and Businesses still need to be insured, not sure why all these companies are tanking. Gotta be manipulation by the big boys.",-0.4807
39,PGR reached a 52 Week low at 65.51,-0.1464
40,#PGR has been showing support at 58.30 and resistance at 62.30. Technical indicators are looking bullish at stoxline.,0.5433
41,nice pop this morning,0.5142
42,PGR reached a new All Time High at 58.85,0.3954
43,"With America shutting down, there should be a lot less driving over the next several weeks. Would this not benefit auto insurance companies like Progressive? Less accidents will lower loss ratio.",-0.5605
44,PGR reached an all time high at 78.12,0.3228
45,Progressive is down 4.92% to 88.36,-0.2462
46,https://closeoutexplosion.com/products/business-insurance-for-retail-and-wholesale-businesses,0.0
47,Why does the dividen yeild say 5%? Isn't it .4%,0.0374
48,I’m hoping for the best. I knew we’d go back over 90 sooner or later.,0.8364
49,Progressive might be cheap but you better hope you NEVER have to file a claim,0.9604
50,Progressive turned out to be more expensive then my other choices. Go figure.,0.4498
51,get in after hours it will pop next week.,-0.0443
52,Progressive reached an all time high at 85.85,0.3228
53,PGR is down 4.95% to 74.10,-0.2462
54,Progressive is down 4.95% to 74.10,-0.2462
55,What happened to the PGR company? big oversold on RSI.,0.6697
56,Arguably the most undervalued stock in the whole market. Under $10 P/E ratio?! Banana land  let’s go to the moon folks,-0.3481
57,seriously no dividend?,-0.3338
58,Progressive figured out they could make a lot more money if they sold insurance cheaper and then just screwed their policy holders any time there was a claim. They will short the claim by an amount that they know you will not sue them for due to the time and money required to recover the difference. Anybody who buys Progressive insurance is an idiot.,-0.7701
59,PGR is up 5.72% to 73.95,0.1818
60,PGR is up 6.25% to 76.88,0.1818
61,PGR reached a new All Time High at 61.30,0.3954
62,Oh yea,0.0954
63,PGR is down 6.26% to 70.41,-0.2462
64,"Do STUPID, IGNORANT, DUMB television commercials sell??This one was a 25 dollar stock before all the nonsense came out, so there must be a lot of STUPID people out there....",-0.9085
65,PGR is down 13.46% to 67.56,-0.2462
66,Smiling!,0.5093
67,Will the stockholders be rewarded for putting their money into PGR? A good quarter should prod the board into raising the dividend. We deserve it.,0.878
68,why does yahoo show earnings 12/10 .. seems too early. is this a mistake,-0.0361
69,"Hey Barnacle B, where ya at Bra? Been a little quiet lately.",0.6016
70,If it drops today after earnings...as always...buy and hold for 8 points in 2 weeks. as constant as sun rises.,0.1316
71,"I have been watching the final 20 minutes of trading. The volume perked up as the last minutes of buying or selling selling before earnings are reported. I expected this flurry of activity but, I expected the price to rise. But the sellers have been active and I don't think that bodes well for the earnings report.",0.9055
72,PGR is down 6.06% to 64.14,-0.2462
73,'ghostbusters' rated one of the WORST insurance ads everFlo just keeps on burning up that Cleveland cash.LOL,-0.5007
74,"Liberty Mutual just canceled the Laura Ingram show, wonder who Michael will be able to line up to insure his double wide?",0.8452
75,"great numbers, so glag I didn't sell",0.5991
76,Awesome buy,0.6829
77,Most weird thing. There are no news with this stock yet is down big time on an almost record day in the markets,0.0496
78,Progressive Insurance is great for saving you a few bucks UNTIL YOU FILE A CLAIM and then you will wish you had bought real insurance!!!,0.9343
79,Progressive is down 13.46% to 67.56,-0.2462
80,Under 95 is a discount,0.0877
81,"Combined ratio increased by 12.6% to 96......Combined ratio is single largest factor on earnings.This would partly be explained by return to normal miles driven.Regardless, I see the drop as an over-reaction, and have taken advantage of the sale price.PGR frequently does this after earnings. If it's like the typical overreaction we will just smile in a few days.If you don't understand what Combined ratio is you need to look it up....",0.751
82,Progressive reached an all time high at 100.91,0.3228
83,Progressive is up 5.64% to 73.55,0.1818
84,PGR is up 5.64% to 73.55,0.1818
85,PGR is down 5.74% to 72.85,-0.2462
86,"Talking boxes and Flo, horrible wasted money on ads If my teamed owned this laggard, I would lead a stockholder revolt against the hideous waste of money this organization turns over to advertisers. I laugh in your faces.",-0.7655
87,PGR is up 4.97% to $69.53,0.1818
88,PGR is down 4.90% to $68.08,-0.2462
89,I wish we could tell Jamie with Progressive Insurance to go lick door knobs.,0.2164
90,"This stock is cheap at this levels if you want to be long.It was in the 60s on January of 2016 while their revenue was half and their earnings per share were three times less what they are now. Great balance sheet. Increasing revenue, increasing profit margins. Markets are a bit beaten down due to the uncertainty of the election for for next year this will correct itself to above 110.",0.8707
91,"At first glance April results look grim with $316m in GAAP earnings, down 67% y/y. But PGR received $200m in cash premiums not reported on income statement and didn’t pay out $700m in losses reported, which means FCF was $900m higher than reported earnings. Not so grim? Also policies sold up double digits across the board— seems to me to have been a great month",0.505
92,PGR is down 5.80% to 75.85,-0.2462
93,Flo and Box where are the Harvey reserves ? You bundle dolts !,0.1958
94,pgr record earnings. buy and make a fortune by next summer.,0.3456
95,dividend is a DISGRACE!,-0.5714
96,This is just STUPID!,-0.6017
97,is this a good buy for a long term value play ?,0.881
98,Dividend coming in Jan $2.25 annual and .10 for the quarter and some call the dividend a disgrace !!!,0.5345
99,"Churn baby Churn! Flo is a very costly ad campaign, and now PGR is raising rates!LOL",0.4983
100,PGR is up 5.82% to 70.94,0.1818
101,"PGR worries me, as a long. They do pay an awesome dividend, so I will stick around, but it seems like the high is about $93, but is this stock overvalued?",0.8196
102,Somebody say something.,0.0685
103,"ANYBODY, why for two days does this company or is it mgmt. team act so badly?????",0.8225
104,PGR reached an all time high at 74.55,0.3228
105,nice,0.4215
106,"Why isn't PGR rising on fewer auto claims? People will continue to own cars in the ""new normal."" People will continue to want and pay for auto insurance. I see nothing but up!",-0.1225
107,"Any truth to this being an indirect, Soros backed company?",0.4185
108,PGR reached a new All Time High at 69.71,0.3954
109,"Beats on earnings goes down, misses on earnings goes down, goes up when some want it to",-0.0933
110,PGR is up 5.01% to 75.88,0.1818
111,What is wrong with this stock? Why so hated?,-0.7466
112,I thought rising interest rates are a positive for insurance companies.,0.867
113,Progressive is down 7.53% to 74.41,-0.2462
114,PGR is down 6.83% to 69.85,-0.2462
115,Now that’s a funny dividend,0.547
116,"Never buy insurance from a company that throws millions upon millions of dollars down the drain on on STUPID, IDIOTIC, LUNATIC commercials....",-0.928
117,Over 5 Million in volume today - wow,0.6689
118,PGR is up 4.90% to 77.25,0.1818
119,Almost all the real insurance companies have a criminally low P/E. Meanwhile LMND hemorrhages money and is going vertical from Motley Fool articles. PGR literally prints money.,-0.5372
120,Progressive reached a 52 Week high at 85.43,0.3561
121,PGR is up 4.90% to $73.20,0.1818
122,target for the end of the week?? someone knows????,0.2418
123,Looks like a good beat. My 2 coppers worth believes PGR stock value will pull at least 3%+ and may accelerate if shorts get squeezed enough to snowball.,0.8989
124,"I've been waiting for a decline in Insurance stocks and the one-two punch of Hurricanes ""Harvey"" and ""Irma"" have provided that buying opportunity. Up until this year, I would have been on the doorstep of Travelers as I (was) a customer of theirs, but after being a Travelers customer for most of this decade, I tired of their uncompetitive rate hikes for unblemished multi-policy holders, like myself. After much research and comparisons, I chose to make my insurance needs (Home & Auto) commitment, and now investment commitment with Progressive. Bought in with my initial position at yesterday's close. I think the price weakens is near the end as much of Harvey and Irma has been taken out of the stock price already. Should there be any more pullbacks, I'll just treat them as buying opportunities for my cash.",0.9821
125,"Adam, I don't think many heard about the $2.25 dividend. And, the quarter had lots of positive results. They just need to control non-claim expenses. Dividend will be paid to all stockholders as of January 7. Good opportunity!!!",0.9163
126,I have been in PGR for 40+ years and thru many splits. The last 3 years it has gone up but since has hit its high point and now just fluctuates between 70-80. The only way to make money now is to buy the dips and sell higher. It sucks to watch every week it go up then down consistently.,0.9122
127,Maybe something to do with employee pay raises,0.1288
128,"Flo and Box better find a big fat check book to pay tons of Texas claims on flooded cars, destroyed RVs and wrecked boats.Bundle baby !!",0.3699
129,good luck longs,0.7096
130,"Just found this stock. Is this too good to be true? 11 p/e 4.5% payout ratio, and a 5% dividend, 14yoy growth? Good lord is this a joke?",0.9568
131,I'm getting seasick!!,0.0
132,Great earnings report!,0.7462
133,Can you spell double jeopardy ? Double jeopardy occurs when you spends billions of dollars over 15 years building an advertising campaign so that you can attract the last marginal online customers and then lose billions of dollars on their claims from Harvey and Irma. Flo and box are just plain genius !,0.4832
134,Yahoo's previous earnings date for the stock was for December 12th... it was not that date. beware Yahoo finance sucks for accuracy.,-0.0658
135,Do you guys think the earnings report will be positive,0.6894
136,Progressive reached an all time high at 94.85,0.3228
137,"Consistent money maker, increasing profits, increasing policies,.....when us this a takeover target?",0.6972
138,Progressive reached an all time high at 99.01,0.3228
139,Progressive is down 4.92% to 100.77,-0.2462
140,The company will return One Billion Dollars to policy holders due to fewer claims than expected. who are these stock traders who are driving the stock price down? Manipulaters? My logic only shouts bigger profits for PGR.,0.5066
141,PGR is up 4.97% to 80.25,0.1818
142,a raising stock. I need an airplane to fly,0.3379
143,This stock rocks!!! Long PGR,0.6858
144,bundle,0.0
145,When are earnings? Today or Jan 28th?,0.3607
146,They are paying out a $4.46 a share div. and the stock price is down $4.50 robbing Peter to pay Paul.,0.3342
147,A friend of mine got in a minor accident with no injuries and < $5000 of damage. PGR doubled her rate to almost $600 for 6 months.,-0.6762
148,"Road rage, text distracted drivers, negative interest rates, and hundreds of millions wasted on FLO advertising. LOL",-0.6757
149,Dropped Progressive insurance today. Get into politics Reap what happens progressive.,-0.2127
150,Here we go again!,0.0882
151,"38,000 fatal car crashes a year in the US. 4.4M additional injury crashes in the US each year. Average Auto Insurance claim is $17k. 87% drivers insured. PGR has 11% market share. Urban areas are seeing reduction in crashes somewhere between 50-75% during Covid shutdown. Imagine the savings over 2 months...",-0.6964
152,Why is this stock so volatile?,-0.0005
153,"This analyst says get out while you still can:""In our view, Progressive Insurance (NYSE:PGR) appears to be fully valued based on its current stock multiple. Our analysis of this data indicates that loss cost trends are plateauing, pricing is flat to down and repair costs are going up — partially offset by declining bodily injury costs. We might be at the peak of this cycle and results might be flattish from here. Hence, we would consider lightening up on personal-auto-predominant stocks based on valuation.""https://www.twst.com/interview/commercial-lines-among-the-most-favorable-insurance-subsectors",0.4678
154,12 over priced,-0.1061
155,PGR is down 4.90% to 73.21,-0.2462
156,watch PGR performance on Harvey claims,0.074
157,"Consumer Reports says Progressive received a sub par rating for their premium rates in their most recent survey, while Amica Mutual Group got high marks for rates and service.",0.595
158,Earnings beat estimates by 20+% and the stock price falls. Only in PGR World.,0.5478
159,Progressive is down 4.93% to 87.20,-0.2462
160,Progressive reached an all time high at 89.32,0.3228
161,I bought car insurance through a broker and Progressive was the least expensive insurance that I could find. Hard to believe!,-0.3689
162,Share your reaction,0.2427
163,I am new to PGR. Any word on the dividend? How does that work,0.4224
164,Aging FLO being replaced by a card board box. I guess he works cheaper and no make up budget.,0.3897
165,"number is good, why selloff??",0.549
166,Upppp,0.0
167,PGR is up 4.91% to 76.75,0.1818
168,Progressive is down 6.26% to 70.41,-0.2462
169,"No reason for this to continue to fall, but reason doesn't seem to be in play in the markets!!",0.2522
170,All I can think of is a big investor selling.,0.1105
171,"9 days till earnings. My plan is to dump this dog just before, or just after the earnings. See ya, I'm blowing the disaster.",-0.5036
172,Up $2. What does that say about earnings tommorrow? Give me another dollar and you can have my shares today.,0.7546
173,"Florida is going to pound Flo and box with big time Irma claims. This is an incredibly stupid organization. Just think, billions spent on Flo and box just to see the newly acquired clients with RVs, boats, motorycles, and cars face massive storm damages.",-0.4448
174,extremely overvalued,-0.25
175,I hope this company goes belly-up and takes their STUPID commercials with them. Hello Jaimie??? Are you listening? What kind of company does a parody of an employee calling themselves about their band and singing? Has NOTHING to do with insurance. REAL DUMB!,-0.637
176,PGR is up 5.65% to 70.31,0.1818
177,This is very positive stock,0.6639
178,Progressive is up 4.93% to 81.05,0.1818
179,This stock is finally starting to move in a way that agrees with its financial statements. Go Progressive!!,0.6093
180,As soon as the rest of the market goes up Progressive goes down and vice versa. Acts more like the Vix!,0.7625
181,Did anyone see the commercial Progressive made making fun of the current work from home situation?? 350k people have died from this disease. This company sickens me!!,0.3662
182,PGR is up 5.48% to 77.00,0.1818
