,Recent headlines and conversations for MMM,Polarity
38,Nice to see MMM back above the pivotal 200 dollar point!! We've had a 26% correction top to bottom (Bear Market). That is quite enough in my book. MMM is now a much safer long term investment (1-2 years). This of course portends that the overall Market continues to slowly go back to its all time highs!!,0.8974
39,"if 3M can respond to meet or exceed the current need of PPE, health care products, filtration and cleaning products, it is the best PR this company could ever wish for. Much more effective than the current string of commercials talking about how great their science capabilities may be. OK 3M, bring that science to life, make stuff that people need NOW!",0.9878
40,Down $70 from its 2017 high.,0.0852
41,drop drop drop 150,-0.6486
42,233 close?,-0.0726
43,"As a Canadian, and one with several doctors in the family, I hope this act isn’t implemented - apparently our N95 masks are heavily reliant on 3M. When we were taking the Prime Ministers orders to stay home very seriously, Americans were still going to the beaches for spring break, walking around shopping in NYC. Now that America finally realizes its serious they put up middle fingers to rest of the world and want to hoard their supplies. I hope Trudeau lives up to his words and stops shipments of respirators, gonna, and nurses in US.",0.9657
44,What happened? This stock should be $200,0.3009
45,Market Correction 2020,-0.2669
46,We’re the dividend payout today?,0.6164
47,MMM: stock market is likely DOWN on the day after FED meetingDoes not matter rate change or NOT,-0.374
48,"You should never buy a stock because you think it will go up. There’s no disputing that many bought MMM because of the media/gubbermint corona scam. They like the mask sales deriving from the covid scam. But what’s left when the gubbermint can no longer fool the people into believing in the scam? Or when the gubbermint moves on to its next scam?Where will these corona/covid scam followers put their money and who will replace them? I don’t see the money flow going anywheres but precious metals. After all, the whole reason for the scam was to keep the central bankers and the gubbermint from taking the blame for the incipient economic/currency collapses.",-0.9811
49,"3M seems to be fairly valued at this current price. I like the accordion nature of this company, along with the strong returns on R+D and sales channels. This is a solid business.",0.8805
50,"I owe 3m stocks for 30 yrs. It was a great stock to own for the long term, not anymore to much in house obstacles. I'm out at 180.",0.7956
51,https://www.kbtx.com/2021/03/16/sounding-off-veterans-say-their-standard-issue-earplugs-caused-hearing-loss/,0.0
52,I wonder if mask sales are up?,0.2193
53,Well below 200 DMA...any good news and this will have a big pop up.,0.7207
54,"EXCERPT. Case 1:18-cv-03215-JMF Document 18 Filed 07/09/18Vaccine injury lawyer Robert F. Kennedy Jr.,& Del Bigtree, producer of the suppressed anti-vaccine documentary, Vaxxed and the Informed Consent Action Network (ICAN) are credited with this victory. They demanded the relevant government documents proving that all federally approved vaccines had been tested for quality over the past 32 years — and there were none.Here are the huge legal and practical implications in this legal victory for the American people:A recent US court case revealed there has been no quality control over vaccines manufactured by big-pharma for at least 32 years. Autism rates are excepted to drop ramatically now that parents can stop the poison being injected into their kidso This means that the US Department of Health and Human Services and all vaccine makers have been lying to the American people for over 30 years about the effectiveness and safety of vaccines; this mayultimately mean that continuing the existence — at least in their current form — of five US “healthcare” agencies are now in doubt: the CDC, the FDA, the IOM, the NIH and the “Health” part of DHHS itself;this may also threaten the existence of state medical boards and exclusive medical guilds like the AMA:o This means that vaccine makers have been fraudulently exempt from what all other pharmaceutical drug makers have been forced to do concerning biannual recertification for quality and effectiveness — meaning that that their vaccines have never been tested for quality and have had no proven safety or effectiveness for over 30 years;o This case can now be legally cited by all parents fraudulently mandated by any government/organizational regulation/requirements that they must vaccinate their children for school or any other activity to stopthe forced vaccination of their children;o This case can now be legally cited by all employees being mandated by their employers to be vaccinated in order to retain their jobs;o This case can now be legally cited by all those who seek compensation for vaccine injury, making it likely that the pharmacidical vaccine industry can in the near future be legally bankrupted out of existence, like Bayer-Monsanto after the landmark legal victory won by the dying landscaper in San Francisco several weeks ago, as well as their stock value plummeting precipitously ...",0.9974
55,Negative posts being removed! 3M has a history of unethical behaviors. Being sued by technical employees. Keeping a slush fund of millions for executive bonuses. Selling defective ear plugs to our military service putting our soldiers in harm's way. Holding back promotions of white middle aged males when deserved and promoting female managers under diversity into positions they lacked skills to perform.,-0.5542
56,https://www.whitehouse.gov/presidential-actions/memorandum-order-defense-production-act-regarding-3m-company/,0.0
57,Lowe’s is tanking huge ah as is Kohl’s target etc Mmm will be rocked today imo..,0.3028
58,"For goodness sake, split this thing. It's now over $220 a share and the last split was nearly 15 years ago. Surely it's under consideration by management at this point.",0.8283
59,"Thus stock is down around 47% from its highs when priced in dollars. When priced in gold, it is down 65%. Why people keep there shares in the face of a monetary collapse is beyond me. The liberals want to spend another $3T through inflation while production is grinding to a halt and while we’re looking at a $10T deficit this year. If this is not a recipe for disaster, I don’t know what is.",-0.8529
60,"Strange that earlier today I got flash news that MMM share price was rising, so I promptly bought some shares.",0.8043
61,"hmmmmmmmmmNordson Corporation (NDSN) 113.89-11.23 (-8.98%)Nordson Corporation engineers, manufactures, and markets products and systems to dispense, apply, and control adhesives, coatings, polymers, sealants, biomaterials, and other fluids. Its Adhesive Dispensing Systems segment provides dispensing, coating, and laminating systems for applying adhesives, lotions, liquids, and fibers to disposable products and continuous roll goods; and assembling plastic, metal, and wood products in paper and paperboard converting applications, as well as manufacturing continuous roll goods. This segment also offers automated adhesive dispensing systems for packaged goods industries; and components and systems used in the thermoplastic melt stream. The companys Advanced Technology Systems segment offers automated dispensing systems for attachment, protection, and coating of fluids, as well as related gas plasma treatment systems for cleaning and conditioning surfaces prior to dispense; precision manual and semi-automated dispensers, plastic molded syringes, cartridges, tips, fluid connection components, tubing, and catheters to apply and control the flow of adhesives, sealants, lubricants, and biomaterials; and bond testing, and automated optical and X-ray inspection systems for use in the electronics, medical, and related industries. Its Industrial Coating Systems segment provides automated and manual dispensing products and systems to apply multiple component adhesive and sealant materials; dispensing and curing systems to coat and cure containers; systems to apply liquid paints and coatings to consumer and industrial products; and systems to apply powder paints and coatings to metal, plastic, and wood products, as well as ultraviolet equipment for use in curing and drying operations for specialty coatings",0.9791
62,"Long term bullish on $MMM, really want a nice drop over earnings to pick up more shares for the long term. $170-$180 ",0.9018
63,Is 3 m a unionized company?,0.0544
64,Do you know who is the shining star in this whole economic/police state mess?Kristi Noem. Have not heard of her eh? That’s because your a mass-media educated fool. She’s the libertarian/constitutional governor of South Dakota. She let the citizens of S.D. make their own decisions. A true American who knows her job is to protect individual liberty. And when you do that — coupled with no income taxes on individuals or businesses — you get the only State in the black. Plus people are free to carry guns everywhere. Let’s make her President in 2024.,0.8975
65,MMM reached a 52 Week low at 161.69,-0.1464
66,"The initial Trump Effect drove the Market up, up and away and Fools (Hopefully the Day Traders) rushed in where wise People feared to go!! The latest Trump Effect drove the Market down, down and away and Fools hurting (Hopefully the Day Traders) !!. this is the Worst 2nd Quarter Start to the Market since the great Depression which I was born into and suffer from by missing out on on the Fools Rush and getting out $126 in Nov,2013 instead of at $256 before the Drop, which would be a Gain more than I have ever won from playing the Lottery, bur not enough to make Me a Multi Millionaire like buying Ford a $1 in 2009 and selling at $19 a few years later. So let's all wait to see what survives for the next Cycle and has a Future and buy, buy!! For Young Investors get a Roth IRA and put in the Max allowed and buy at the lowest prices and sell at the Max with NO Capital Gain Tax, the best Gift ever given to Tax Payers!! Look it up!! I always thought Facebook was a Stupid Idea and doomed to Failure when Everybody quits It!! But should have bought it ,again in a Roth (like Ford at a $1) and sold at the Max before the Fiasco!! In the meantime buy a Mega Million and Powerball Ticket and Hope to win, then Game over and to Hell with the Stock Market which is like a Casino!!",0.9339
67,Taking a risk but think it's an incredible opportunity to Buy. My opinion but of course.,0.83
68,"This companies strength was its diversityBy streamlining products, Roman has weakened 3MThe BOD needs to act and fast",0.7565
69,MMM is down 5.52% to 118.00,-0.2462
70,"Having a feeling, MMM has put in a bottom of 160 last week. The latest product is likely going to be blockbuster for retail eCommerce packaging along with easier comps to lap by 2H of this year. Valuation hasn't been this cheap since 2011 when we had the global geopolitical turmoil last time. Curious to hear from other long-term holders in 3M stock...",0.8908
71,Wow feeling pretty proud of myself for picking near bottom at $136!,0.902
72,Why is this stock falling behind the Dow? I just don’t get it?,0.2967
73,MMM about to double ? video at HOTSTOCKTRADE (Google them),0.3203
74,"$250 coming very soon, lets make it there before next ER.",0.6275
75,going under ? ...,-0.0616
76,Mute Jason,0.0
77,MMM PE too high ...,0.4717
78,"The number of confirmed cases of COVID-19 soared 30% over the weekend as testing capacity has been expanded and outbreaks have worsened in Germany, Italy, Spain and the U.S. very soon they will recover. Here more updates: http://investor.social/PotentialUndervaluedMarkets",-0.7811
79,"My friend tells me that yesterday 3M sent out a memo to its employees about a new dress code. How silly and stupid. Not one word about the virus , work from home options, how they are addressing keeping their employees safe, travel guideline.. what’s going on. Has HR taken over this once great company. We need leadership and currently very little is Visible to the investors, employees and the general public. Sad isn’t it..",0.9247
80,"Like most companies, the global pandemic has hit this company square in the face. Their largest business is industrial and not much going on there. Their consumer business has been rocked with face to face school sessions being postponed in some areas. Two businesses that should be doing well however are health care and safety. Both offer solutions that everyone needs no matter where you live. I would add 3M markets filtration products so that should be trending up as well. Unfortunately none of these are big enough to fill the void of industrial which 3M has struggled with even prior to the pandemic. I believe the company is in need of a leadership change and business model change across many of their businesses. The pandemic has made things worse no doubt but this company has been slumping for years.",0.2892
81,"So I told you all. The libs are off and running. They are staging shootings at a rate of every week now. I thought they’d do them every month or so. But no, they want more. They take an oath to support and defend the Constitution, but then do everything they can to wreck it.",-0.2728
82,Slow and steady! Up we go! 230!,0.6415
83,"Just saw a piece on the Savanah Gutry networks. They showed the 3M masks being actually made. There was a small segment where someone complained that the public should resist buying masks. This alone will cause many to buy these. They will ask themselves, if they work for docs, they will surely work for me.",0.7115
84,I have been searching for a site that will send me extra income producing stock tips and I think ive finally found it. If you are like me and in need of stock tips that produce good monthly income then you need to go to https://topgainingstockstoday.blogspot.com/ now! .,0.847
85,Pence just mentioned they are visiting 3M facility tomorrow. Should skyrocket!!,0.752
86,He sold out the USA,0.478
87,Weak dividend increase.,-0.0185
88,Also see Goldman Sachs hitting new lows every day and J.P. Morgan very close What do they know ?,0.4467
89,"$MMM down 3%, $APT up 6% LOL",0.5108
90,Up trend confirmed. Add more after pull back,0.6453
91,"MMM: Doing a GE swan dive. The new CEO: ""Jeff Immelt II"" FUBAR",-0.851
92,This stock is quite fairly valued right now. This fact make this stock a steal in the current market.,0.3873
93,https://www.youtube.com/watch?v=EGB3I9x5Ivc&t=157sMy thoughts on the value of 3M stock.,0.4877
94,"Dump all the stock on this company, they are traitors",-0.1081
95,"How many think we should stop letting mothers protect their children? We can do so by making vaccines mandatory. Easily done, even in the land of the free. Heck, they did it in the State if fruits and nuts. If you agree to remove the maternal protection, give me an up vote. If you want motherly protection, vote down.",0.8968
96,I think they should lower there dividend. I know they’re the “dividend king” but that’s millions of dollars a year they could use for this “reconstruction”,0.2276
97,"Shortages of N-95 masks for the USAAs a retired Manufacturing/Tool & Die Engineer mainly on high speed progressive Dies, my work experience makes me qualified to have an expert opinion on the lack of effort from 3M and Honeywell Inc.I know for a fact that these simple #$%$embly machines for making these masks could have been reproduced in short order. It is a disgrace that these CEO?s sat on their hands let our great country down. To start with I would have circled the wagons of my Engineering departments and any and all of our Machine shop resources. These many resources would then be tasked with working around the clock making the machine parts need to duplicate the old machines that we have blue prints for.The 2 companies I mentioned have tens of thousands of employees, they have these resources no doubt. Not to utilize these resources is criminal in nature (people are dying). Any and all other work in these machines shops would be put aside until these machines were reproduced. While all this #$%$ is going on for the first wave of new machines I would instruct my purchasing and tooling engineers to send out prints to all of our best outside Tool shop vendors. I would instruct these vendors to drop other projects we have going on and start the machine work needed to add even more machines to be made. This would be the second wave of added capacity needed to make these life safeing masks. Note- For the electronics needed for these machines the same efforts would be in progress to mirror what the Tool shops and Machine vendors were doing. Instead it has been over 4 months and 3M and Honeywell have done nothing the proof is you can?t find these masks anywhere in any store. All we hear from them is excuses! What a disgrace, our World War 2 workers would be appalled!! Sad!In World War 2 Liberty ships were being completed every 10 days and Sherman Tanks were made at a rate of 40 a week. Aircraft fighters and bombers flood the skies!",0.5279
98,"First bellwether trial begins March 29, 2021.￼",0.626
99,Great dividend pick here,0.7291
100,"Nice day for 3M and many other stocks. With a partial trade deal, next week could be interesting!",0.5859
101,Art of the can't close the deal.,-0.1432
102,"Maybe becuase it is an election year ,Trump is being too nice to 3M. If I was President, I would had nationalized 3M and put the Army Corp of Engineers in charge until the crisis is over",0.1196
103,MMM is down 5.10% to 130.50,-0.2462
104,"Yahoo! removed my post that showed the massive numbers the votes were taken from Trump and third party candidates in the Minnesota 2020 election!Did you know that the MN Secretary of State data says 400,000 more people voted in Minnesota in 2020, when compared to 2016? Believe that and I’ve got some ocean front property in AZ to sell you. I’ll even throw in the Golden Gate Bridge for free.",0.8462
105,"This sounds like a good strategy to me, a conservative and former MMM employee. 3-4 weeks of masks and we could knock down this virus BS and get the state back to work.",0.8624
106,MMM belongs above 200$ in this market,0.2956
107,Good Americans out there hand sewing masks because you let us down,0.7784
108,Low volume buyers beware..first one out gets paid first,0.2094
109,"Gold blasts through $2,000 per ounce overnight. The rich don’t want to let the gubbermint and the member banks of the Federal Reserve system to confiscate their wealth. What will you do? Keep a DJIA or NASDAQ stock that isn’t going anywheres in USD, much less when priced in gold, or will you realize covid 19 is a scam and do what you really need to do to protect yourself from government? It time to choose people. Who will it be Timmy Waltz or Ludwig von Mises? Or wear a mask or be an adult. Fool or real man? Poosay or brave. Or will you get involved in one of the gubbermint’s latest divide and conquer strategies and join BLM and protest for compulsory vaccinations?",0.8584
110,Next stop in the low 120's. Feel sorry for the 3M employees who were loading up their 401k accounts when it was over 200. Not getting back there anytime soon.,-0.3672
111,What do you mean Paul?,0.1132
112,MMM reached a 52 Week low at 175.09,-0.1464
113,"Check out INTC today. If 3M did this and hired Doug Baker former CEO of EcoLab to turn company around, stock would go up $20",0.6885
114,Well my calls are looking pretty dull right now. I will wait before i add,0.5975
115,Who is loving this Administration and their trade policies including tariffs wars ?,0.1831
116,Super duper stock. Been long since 151.00. Seems silly to go long no?,0.8628
117,3M hates America. Shareholders of 3M also hate America.,-0.7519
118,I bet they be first in line looking for relief too.,0.5566
119,"Sold a few shares today, will be glad when I'm out completely....it's a dog, lame stock.",0.6305
120,"When it hits 165.00 dump,it will not get any higher or play it long if your 30.",0.7408
121,Buy under 150,0.0725
122,Good profit from 3M said it will cut its capital spending plans in order to prioritize dividends in 2020. Easy 6% upside today.. and back to 190 soon ,0.8505
123,I miss Obama. Just saying.,-0.1694
124,205+ any day now,0.0974
125,Don't even see a mention that the Motely Fool Stock Advisor just recommended this stock as their strong buy pick. Usually that alone will send a stock 5% higher. I've never owned any stock in this company before today. I see a lot of upside from here.,0.8939
126,"Tomorrow it should go up, $176",0.2508
127,CAT she still up after a horrible earning,-0.2428
128,Divlennials are cwying,0.0
129,I hope this company eats their Wheaties soon and start jumping some hurdles.,0.5951
130,Yesterday I ordered 3M n95 masks and then bought 3M stock … so far up 5%.,0.4509
131,pumped high,0.238
132,"I was watching this stock to start a long position,...Based on this news, Ill wait till the new dumping of the stock finishes and they get their distributors in check!",0.6109
133,"Not too high P/E, solid dividend, stable company, I have ZERO doubt that 3M will return to the 200$ price tag this year. ZERO doubt.",0.1344
134,"""3M has been included on Ethisphere’s list of the World’s Most Ethical Companies for six straight years"".They are highly regarded by a globalist, communist organization. Ethisphere, what an FN joke.",0.8392
135,3m up again its going to 200. Get in it or miss the ride.,0.3788
136,JP Morgan Reversed and is tanking !Goldman Sachs is Tanking !since 95% of Trumps cabinet comes from Goldman that is something to consider..Do you agree ?,-0.3166
137,Just ignore the strong dollar.......great short at $212.....look at chart.,-0.1132
138,"A trade war is not your warm, fuzzy, little friend.",0.1241
139,"If what they're saying is true, that 3M is selling their mask to foreign countries before the US, the CEO Michael F. Roman is disgrace!",0.5313
140,taken to the woodshed...wow. I don't own it anymore but it does show how the market is surly right now...and hammers the heck out of positions for any reason. Boolean,0.0843
141,You don't know Trump derangement until he hits you with the bat.,0.0469
142,"Lots of right-wing, knee-jerk cry-babies posting against 3M's excellent team of managers. Sounds like I should take a look and buy some MMM!After all, I made lots of dough buying NYT after Trump claimed they were failing. I've also made lots of dough buying TGT after the right-wing boycott. The list goes on - - it pays to buy when Trump's knee-jerk reactionaries put up a hissy-fit.",0.9075
143,Why do liberal democrats support evil baby killing abortion? Jesus would never support that.,-0.3947
144,"They are aligned and manage the company as they have the last 100 years. A lot of layers and high priced support staff that have little to do with customers. Their portfolio doesn’t warrant this type of structure and although their model has worked over the years, its now time for a major revamp. Companies just cannot operate as they did years ago if they want to be successful. I am afraid 3M management just doesn’t grasp this or simply doesn’t want to because change is not easy.",0.9476
145,Has 3 M Management lost its ability to manage the company?? Currently down 40% from is historical high!!!!,-0.3927
146,buckle your seatbelts,-0.0156
147,Pence plugged 3M. This should give the stock price a nice boost on Monday.,0.787
148,"http://inphormative.com/the-potential-impact-of-2019-ncov-the-corona-virus-on-global-commerce-and-food-supply-chains/Today’s blog update is about Human Nature. The WHO and the US Surgeon General both are calling upon Americans and global citizens to stop buying up all the Personal Protective Equipment (PPE) on the global markets; because it’s needed for healthcare workers and their (infected) patients. This sounds like some very poor planning on the part of governments, hospitals and global health agencies. Yes, it would be the noble thing to do: not buying the PPE and presumably reserving the gear (masks, goggles, suits, etc..) for the healthcare workers and the sick; but, have you met your fellow humans yet?! Our basic instinct for survival is overwhelming. You’d have a better odds of convincing a male dog not to lick his balls. Let’s just hope this virus is not that deadly, and that we plan much better if or when its more lethal sibling (mutated version) comes knocking on the door in the future.",0.9906
149,"This one falls under the category: Fire the CEO, as he will do something stupid again.",-0.2068
150,"The Prez: “Anybody making less than 400,000 will not pay a single penny in income taxes.”He was serious when he said it. He elaborated for another minute or two. It is on video. Well ... I guess they won’t be needing to recruit that army of IRS agents they’ve been talking about.",0.6869
151,Any rumors of MMM stock split soon?,0.3407
152,"Tomorrow you will see just how controlled the price of gold is in the commodities markets. If it does not go up > $200 per ounce, then it’s price is fixed just as bad as our elections. The Jesuits and the Freemasons are terrible people. They are like communist and socialists: they ruin everything they touch.",-0.6771
153,plain manipulation,-0.3363
154,Decent people are leaving Minneapolis.,0.1788
155,"Cleared Engineering Candidates!TS/SCI/CI w/Poly/FSPWhen your mission success depends on hiring highly cleared talent, turn to the connected leader of the industry. Using cleared sites to source talent is one thing, running ads repeatedly is another, funding recruiters and their tools is yet another. AeroWorx Global is your best solution to providing cleared engineers through its specialized proprietary network which is “no pun intended “Top Secret. So, let AeroWorx Global become your trusted partner today. Contact: Joe Tuminello joe@aeroworxglobal.com",0.9896
156,"Minnesota’s Governor needs to be committed to an insane asylum. He’s issuing an order, telling Minnesota families how many people they can invite over for Thanksgiving! KSTP reports: ""The governor will limit gatherings to a maximum of 10 people, regardless of whether the gathering is indoors or outdoors. Those gatherings will also be limited to people from a maximum of three households.""The vote in 2018 had to be rigged too. Minnesotans could not possibly have been so dumb as to have voted for a lunatic then.",-0.5911
157,overvalued MMM,-0.25
158,"been in it for a long while have enjoyed the price rise over time and the great dividends but have DUMPED it lately as the possible UNLIMITED Liability in Lawsuits from groundwater contamination. The lawsuit claims that the polluted water is the result of the manufacture and use of perfluorinated chemicals, a group of more than 4,000 compounds collectively known as PFAS. Cramer even said this may not be a big a issue as Asbestos but is damn close. I say dump till they get the issue cleared",-0.9314
159,I am south Korea doctor.Everyone's N95 mask is more better than shutdown. 3m must make 300 million n95 mask per day in usa.Korea do not have shutdown because everyone have kf94 mask.,-0.3642
160,"The Home Depot, Inc. (HD) 151.70-3.78 (-2.43%)Bed Bath & Beyond Inc. (BBBY) 29.451-4.29 (-12.71%",0.4645
161,"MMM: Doing a Jeff Immelt GE dive of 30% in 3 months.Explain please. Is Jeff the new CEO, or did MMM bring in the former ENRON CEO?",0.0311
162,Crooks,0.0
163,I warned you how ridiculously frothy this market has become like the Dutch tulip mania now investor sentiment is finally changing coiled with tariffs and fed raising rates,0.1083
164,3M just filed for chapter 11 bankruptcy,-0.2898
165,Time to short this P.O.S. !!!!!!!!Big boys are coming in to bring down in the ground !!!!!!!under $200 tomorrow !!!!!!!!Short and get rich rich fast !!!!!!$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$,0.5926
166,"anybody know anything about GNBT partnership. Out of Miramar, Fla....",0.7023
167,"so glad I got in yesterday, though only a tiny amount.",0.6596
168,"TEVA rebounded from 52wk low today, cheers!",0.5904
169,Down $10 in the last day and a half. 5% decrease on top of the poor year it is already having.,-0.5391
