,Recent headlines and conversations for MCD,Polarity
84,Tried to use the bathroom at my local MCD. I think they use poop to clean it. Anyone ever work there who can confirm or deny that?,0.3225
85,How could Americans realize this is junk food?,-0.2114
86,I am amazed by the performance of McDonalds.,0.5686
87,"who woulda thought I'd have over a double in the venerable Dow30 stalwart MCD, not counting divs, in <4 years? That's an Average gain of >18% annually! Just goes to show, you can't beat the originator and master of fast-food. With the best real-estate worldwide, and decades of increasing dividends... it's a keeper!",0.9436
88,Mueller Witch Hut On Russian Collusion is still a big nothing Burger ,-0.3491
89,Who really wants to eat their. Now my Sister was an exception but she passed away. Hum,0.2959
90,What a trash this turnout to be,-0.1361
91,insane market,-0.4161
92,Buying this all the way down,0.0104
93,Reason for dip is JP Morgan cautions on US same store sales growth. Buying opportunity. Long MCD.,0.8957
94,"They better not give this trash stock bail out money, they wasted billions on buybacks .. Make the executives give back the money they made pumping and dumping this overblown buyback trash whale !",-0.1938
95,what has to happen here Mc Donalds has some 900 stores in Fl and they are all closed no business no income,-0.6206
96,I ate breakfast at MacDonalds today,0.4372
97,HMNY just lowered their prices for MoviePass!!!wow!!!!,-0.2982
98,"16 points above the 50 dmaand it always goes above, below, above, below",0.5603
99,Should hit $203.00 easy this month!!!!,0.6505
100,Am an old fart who bought MCD many many years ago. Recently elected dividend payout to buy toys and travel. MCD is as steady and solid a company as they come. I read the aggregate real estate holdings have appreciated greatly and are now worth a bunch... that’s good for the MCD stock price.,0.9656
101,I had McDs at $159 and panicked and sold. Should I buy again at current price?,-0.1879
102,McDonald's is down 11.93% to 156.00,-0.2462
103,MCD better hurry up and start selling BYND stuff,0.6569
104,MCD is $2 higher this morning. So the market think $1 $2 $3 Dollar Menu is a good idea. It looks to me they copy the idea from Denny's.,0.6927
105,"Just sold my stock, what idiots they are for alienating 1/2 the country..... good riddance, made a few bucks though",0.6019
106,New format sucks,-0.2855
107,That was not a good report at all. I should have sold before the close yesterday. Slowing sales and it's only going to get worst. I think we go to $110 before next qtr. We shall see. I will buy more just under $112,0.1973
108,@Anonymous Are you on crack?,-0.2218
109,Vegans love MCD so much that they're trying to put something on the menu that's for them. And this consumer base has proven to pay the premium if it points to better health.,0.8776
110,Today is your chance to cover..take your profits and wait for another entry..this could be up $3 tomorrow,0.775
111,"In the short term you may lose, but long term you will never lose. Solid fundamentals, high yields, it will be bought back some times soon. Next deal will be Pokemon Stop with Niantic then will generate more revenue, more sales. Take a look at long term VIEW!",0.2369
112,MCD will open inside the White House if Trump is re-elected..!,-0.3337
113,"went to pizza hut at dinner time2 people were there besides myselfmyself and someon else got the $8 pizza online2 people working thereRed Lobster was busytoo expensive though, lobster is $32 a pound, but it cost that much in grocery stores",0.3352
114,"Thinking about MCD's team up with AARP? Not me. I am remain positive, both technical and fundamental. In retirement myself, I prefer the Mac Breakfast, over the other menu items. Senior coffee is also great. It helps to know the taste of your investments' coffee, when possible.",0.9606
115,PLEASE JUST BUY BUY BUY...YELLEN WILL FIX EVERTHING ....RUN THIS MARKET UP NEVER SELL....BUY BUY,0.7015
116,"Great buy this morning ! Takeout, pickup, drive-thru and delivery ALL open and surging. With the COVID out there drive thru's will be packed.",0.9235
117,Anything under $210 I will pound the table,-0.3028
118,"what happened today was threefold first the dividend date was yesterday for record so people sell the day after second the bad news with the tariffs third RBC downgraded it to $170 from 190, which means this has a 15% upside this year. that's really not bad news if you think about it at this point. do you think Buffett would sell his stock if he owned McDonald's today, definitely not.",0.7616
119,"Time to short this PIG, overvalued stock again....they will crash after this earnings report.....revenues keep declining.....they will NOT be able to prop up with share repurchase and cost cutting forever!",-0.6276
120,I don't like how the stock closed at the low today.,-0.4751
121,Missed the high by .92 cents.,-0.0663
122,"The country sinks into a depression while Americans wait at home for selfish, unpatriotic companies like McDonalds to shut down. Untested people should not be making other people's food!!! ""Leaders"" continues to let this pandemic grow worse by not shutting down companies putting Americans at risk. Sad sad times!",-0.9422
123,"Open the restaurants, Covid death rate only 1/2%.",-0.5673
124,"MARGIN SELLING TOMORROW...see you at $135!!!!!!!Up every week since 1/1/17.....only a moron would buy this here!!! Heck, almost EVERY target price by every analyst is BELOW where it is now!!! Just a low VIX and computers chasing....when it breaks it will be violent and swift!!!!!!!! Also, MACD line ready to cross to the downside!!!!!",-0.9262
125,Should go down in the afternoon like it always does,0.3275
126,IMF just downgraded Germanynot good for MCD,-0.3168
127,This is the cheapest stock in the restaurant industry and the very best; good food at reasonable prices and all the restaurants are very busy; the new beef is great and selling quickly,0.9549
128,"For those in the restaurant space willing to take a little risk, check out BFI (Burger Fi), a rapidly growing burger chain in Florida and Saudi Arabia. Great reviews, they handled COVID well (kept revenues flat) by expanding to delivery and more takeout, and are poised for growth (see their press releases). No dividend however. But a multi year play on a well run restaurant company.$BFI $DRI $EAT $SBUX $MCD $WEN $CMG",0.9638
129,"This guy Joey keeps saying it’s gunna drop but we end green every time, with all these upgrades I expect to be at 220 very soon",-0.0001
130,OVER SOLD,-0.1061
131,Yes this new format sucks!! Why change this stuff it worked fine and everybody knew where to look for stuff....!!,0.724
132,I'M LOVIN' IT! ,0.376
133,"50 dma 177100 dma 168presently they both appear to be moving up, but that may stop as soon as todayhttp://bigcharts.marketwatch.com/advchart/frames/frames.asp?show=&insttype=Stock&symb=mcd&time=10&startdate=1%2F4%2F1999&enddate=12%2F13%2F2018&freq=1&compidx=aaaaa%3A0&comptemptext=&comp=none&ma=3&maval=50&uf=0&lf=1&lf2=4&lf3=2&type=4&style=320&size=4&x=43&y=13&timeFrameToggle=false&compareToToggle=false&indicatorsToggle=false&chartStyleToggle=false&state=11",0.0644
134,"in 3 years the debt is up around $9 billiongross profit up 3.28% per year during that period PE 27, I believe, seems a bit stretched",0.6242
135,"when did MCD start serving fresh, rather than frozen, burgers?",0.4301
136,Bought this morning for the first time!!! Wohooo!! What a screaming bargain opportunity!! Ready for the ride! GLTA!,0.8905
137,"insidershaving mcd borrow money to buyback shares, while they sell shares",0.6869
138,My advanced Modigliani analysis is still showing 265. Shorts need to be cautioned,0.0708
139,As the markets of foreign countries collapse funds will flow into our markets and MCD will be a major beneficiary because they are well known Worldwide. Obviously that has already started and this slight pullback is only temporary. JMHO,0.7289
140,what happened?,0.0337
141,"If $195 doesn't hold, it could test $189.",-0.1072
142,WITH A PE AROUND 10 THE STOCK IS WORTH ABOUT $60.,0.7135
143,Does Trade war with china effect MCD stock?,-0.0928
144,Too much debt on the balance sheet for me.,-0.4717
145,anybody know when the next earning date is? I'm guessing February,0.0435
146,Unbelievable. It might go to 100,0.2539
147,"My $8K investment is now worth $42K, am keeping my MCD shares but will start taking dividend payouts to buy some stuff. So glad I bought MCD and reinvested the Divs.",0.9083
148,http://www.investopedia.com/news/mcdonalds-stock-price-no-bargain/?partner=YahooSA&yptr=yahoo,0.0
149,Bring back the Grand Mac!!!,0.7165
150,"Dividend investing? BUYSTWD, INVH, NEE, DON, PEP, CATH, SCHD AIEQ, TMFC, SCHG,this a well rounded portfolio that is not risky. AND IT PAYS OUT all the time.",0.9016
151,I went to McDonald’s today and the place was nonstop. Cars pulled up every 10 seconds. I even seen a guy eating an egg McMuffin on his bike.,0.2091
152,#FakeFood if you can't pronounce the ingredients what does it do to your children's body?? Got Steroids?,0.1949
153,up and over 200 nice,0.4967
154,What is going on with MCD? Why is it dropping so much?,0.2513
155,Up $10.59,0.1862
156,If conf call cannot get you to $200....we retrace mid $180's,0.0619
157,MCD is down -100.00% to 0.00,-0.2462
158,"No customers at any of the five local McD's, but who needs customers when we have bailouts! Stonks to the moon! No profits, no problem!",-0.5946
159,More money will come to safer stock like MCD,0.7034
160,"this is trading like mcd is going bankrupt- some manipulators want longs to sell out- hold on , it will pass 200 , no reason to be down.",-0.37
161,Earnings for today $MCD $BYND $ZI $RNG $XP https://www.transparenttradersblackbox.com/how-it-works/?afmc=6c,0.169
162,I thought the CEO l’s challenge was around chicken and not beef.,0.1751
163,"$MCD should get th Big Mac taste put into a tube and sold as a grocery item. Could spread on crackers, etc. like a cheese spread. Would be worth $10/share",0.8908
164,Panic buying in progress,0.1143
165,"net assets are negative $8.8 billion in one quartercheck that 8.8/ 164B market cap => 5.4%the PE is 28.11/28.1 = .035 , that is 3.5% earningsseems like they are spending too much on buybacks and dividends in an attempt to control the stock price, but building excessive debt in the process",-0.5504
166,www,0.0
167,How high does MCD have to go before it gets to a 2 for one or three for one split???,0.699
168,What happened with MCD Friday as the DOW was up over $300.00 and MCD went down $274.00. The good news also was the raising of the dividend to $5.00,0.6256
169,Mcd hiring 260000 people for the summer,-0.0109
170,"Stopped at a Mc Donalds in Sullivan , Indiana went in and they had one cash register working a line to door so decided to go thru drive thru. Ordered a Hamburger Happy Meal for my son when I got home all he got was a hamburger in a sack and a small coke. This McDonalds is the pits it takes forever to get waited on and then never get order right. Someone in Cooperateneeds to check them out. I did go to Burger King across the street and asked then how there business was doing and they said there business was way up ever since the McDonalds remodeled",0.9553
171,What the heck is happening to MCD when the market Is up and MCD has fallen again???,-0.2683
172,Buy or add MCD here is phi beta kappa,0.2231
173,"Quick everybody head to the lifeboats, we will be sinking shortly.",0.1033
174,MCD. My dog...,0.0372
175,"My local MCD is fully open, even the lobby.What's wrong with these people? Is Coronavirus real or not?",-0.3208
176,"From TA perspectives, there is a gap jumping from $149 to $156 nine months ago. Now it is reversed. We will see flash crash on MCD from $156 to $149 very fast. It is the reason why some people willing to sell at $153.09 in pre-market.",0.2481
177,Like the free cash flow ,0.7058
178,so disappointing,-0.4939
179,damn $148 now.,-0.3814
180,199 by Friday. Can’t see a bull run above 200 just yet. But this market is very optimistic,0.6734
181,Wendy's has much tastier breakfast. MCD share price is not even worth $120.,0.7311
182,Good time to buy. They had just short of 5% growth in sales and invested in tech revamp at the point of sale. This will make better than 5% soon.,0.7597
183,"type in gurufocus mcd6 warning signs with mcdnot a member, me neither",-0.3056
184,"People are so short sighted its funny! long term, i'll be a winner while they made a few bucks on a short.",0.7013
185,If/WHEN this breaks the 50 day average it is going to crash down to $130's!!!!!!!!,-0.7377
186,McD should benefit when all this shakes out,0.6083
187,MCD in process of duplicating Chic Fil A sandwich .250.00 end of 2018,0.0664
188,"the MMs might take it down to buy they have an excusepremarketon the other hand, look at the 52 week low, but the 10 year was paying more a year ago, hard to figure",0.3704
189,McDonald's has the cleanest bath-rooms in the country. U can eat off the porcelain bowls in the Johns. That's why McDonald's is the best quick-service restaurant in the country.,0.7837
190,"I got a Buy One Get One coupon so I went to McDonald's this morning. At 8:30, I am the only customer buying beside two sat and ate their breakfast. When they just had breakfast all day, it is easy to have one hundred people inside at any hour. This quarter they will have the worst earnings ever because all day breakfast kill their business. Now people are tried of their breakfast.",0.9072
191,"Trumps tweets brings market down again! Mcd stock took a real beating today and I am wondering why since they had good earnings. Must be waiting for fed chairman to lower rates, can’t think of any good reason for it going down so far today..any guesses?",0.0957
192,Lots of hit pieces out and bashers are in full force. Buy as much as possible.,0.4047
193,$DSX $SB $TOPS $EGLE $DRYS $FB $AMZN $AAPL $MCD $PZZA This Week In TrendSmasher. Satire Alert!https://www.trendsmasher.com/blog/this-week-in-trendsmasher-twit,0.0977
194,In 2008/9 MCD total annual sales declined for only 4 quarters since MCD sales have declined for the 19 quarters This shows how most on this board are like lemmings just before the big crash as everyone tries to exit all at the same time,0.3655
195,Somebody does not want this stock to rally. It just fell 1.30 on one trade. 4th time this has happened in last 5 trading days as the stock hits near high of the day.,0.7797
196,Largest US Drive in Restaurant SONIC is tanking HUGE !Chilis Parent is tanking also !SONCEATLook I dare you !This is due to warnings about next quarter !Cramer said this could happen to mcd also see article !SONC 21.59-4.90 (-18.50%)As of 10:35 AM EDT. Market open.,-0.5511
197,McPlant will be a good source of revenue soon ... I can't wait to get it. Let's hope it tastes like Impossible or better compared to Beyond,0.8735
198,wow....nice day for Mickey D's....,0.0549
199,what just happened?,0.1404
200,Anyone think they will focus on increasing labor costs at the conference call? Millennial tastes? I can't wait to hear.,0.3376
201,https://seekingalpha.com/article/4129051-mcdonalds-get-caught-holding-bag,0.0
202,"on the road, I am driving several thousand miles in Texas, Arizona, Colorado, New Mexico.. All the MCDONALD'S I have seen are busy.",0.4966
203,MCD is down 6.92% to 137.41,-0.2462
204,$10 Big Mac coming to you soon,0.4456
205,Drivethru cannot prevent customers from getting Covid 19. Ask In N Out employees and customers. Employees of two locations in Colorado ALL get Covid 19. One hundred forty of them.,0.5008
206,MCD was plenty too high before todaymaybe it will go red yet today with the down down 390 points,-0.2634
207,"CHASERS WILL BURN IN THIS STOCK BUBBLE!The US Stocks are EXTREMELY OVERVALUED and OVERBOUGHT!SELL ALL US Stocks in this TULIP MANIA BUBBLE! The Valuations are ABSURD and IMPOSSIBLE TO JUSTIFY!INFLATION IS SKYROCKETING as the FED continues to PUMP the Price of everything, stocks, oil, gold, home, land, commodities, utilities, food prices and everything!The World Economy is Collapsing, people are starving, but the US Market Makers are too busy in printing money and PUMPING the Stock prices Artificially to make insiders trillionaire without working!Enjoy Free Capital Gains in the US Stock Market while the Corporate Revenues are tanking and the Economy is Collapsing! US Stock Market is a “GET QUICK RICH” Scheme!Dow Jones Industrial Average (^DJI) was 17,000 in 2016, with better economic fundamentals and higher corporate earnings. However, thanks to the Collapsing Economy, Coronavirus Pandemic, Tanking Corporate revenues and earnings, Skyrocketing unemployment, Trade Wars, Record INFLATION levels, and Heavy Stock Dilutions, Dow Jones Industrial Average (^DJI) BUBBLE has almost Doubled! S&P 500 (^GSPC) was at 1600.00 with better fundamentals and higher corporate earnings in 2016. Now it is sitting at ABSURD 3800.00 with TERRIBLE Fundamentals, Collapsing Economy, HEAVIER Corporate and National Debt and way lower corporate revenues and earnings!The World Countries are refusing to accept the US Dollar as international reserve currency due to the HEAVY Dollar PRINTING!US Stocks are INSANELY OVERVALUED and OVERBOUGHT! US Stock Market is a MEGA BUBBLE right now!!!https://edition.cnn.com/2020/05/01/investing/stock-market-recession-coronavirus/index.html$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $ZM $XPEV $QS",-0.9898
208,"Look like money is running to safe havens now. MCD and SBUX and I suspect investors see the writing on the wall, blow out spending, with little growth, so we have an inefficient economy that may rationalize at some point. MCD is offering a quality prodcut at a great price... how novel.",0.8926
209,Cheesecake factory warned huge tanking huge !This is a re-occuring theme and mcd is hugely overpriced by any historical measure !,-0.2065
210,Tomorrow ,0.0024
211,sell MCD buy JACK,0.4407
212,"MCD is way too highthe dividend is pretty good, but you lose if the stock drops 20%or 10%160 or so is the moving averagerevenue fallinggrowing at 3%PE 27",0.6921
213,"Should have read ""breakdown 5-8%"".",-0.0748
214,"Took some profits, still have a nice position for the $MCD deal when they announce in the future.",0.8749
215,"Proverbs 11:1 dishonest scales are an abomination to the LORD , but an accurate weight is his delight .",0.4056
216,Great buying opportunity at $211.75. I just put my money where my mouth is.,0.87
217,McD is Top Dog. Best burgers in the USA - no question. Also cleanest bathrooms of any franchised restaurant in the country. Do your business there. Also one of the best Corporations in the world. I like the dividend and I'm in for the long haul.,0.9684
218,Overbought now...210 coming soon,0.0594
219,They sold out of the Pokemon happy meals in my city already,0.7112
220,"Have been a long time MCD holders. Like the stock, but current PE and PEG are too high for me to add more positions.",0.8255
221,"look at how much they spend doing buybacksand how much they spend on dividendsits propped up like the US economyUS economy30 trillion GDPearnings 3 trillion or lessinterest on the debt $600 Binterest is 20% of the earningsthe military, not including veterans admin etc is also 20%duh",0.6413
222,"everyone will tel you its franchising and its goodbut look at the liabilities up $2B or so per year as wellThey do buybacks in a big way. I think that MCD is a lot weaker than Wall Street wants you to believeat some point, lower and lower revenues matters",-0.4029
223,$2.58 div is very safe for this held forever,0.4447
224,"Boomers, GenX, Millenials, Zoomers, everyone likes McDonalds. It is cultural heritage. There should be a national holiday named after this landmark company.",0.8313
225,Pop and drops..no buying into earnings?,0.4328
226,McDonald's picked a bad day to miss expectations because this is a risk on market. $MCD,-0.716
227,I knew it would be a short time before MCD was >$200 again. Those lines wrapped around even during the worst of the virus..,-0.7895
228,How did it go down when earnings are good? It’s a crazy market.,-0.0115
229,I think I saw Mario Gabelli in a $MCD drive thru in Appleton this morning. What would he be doing here?,0.4892
230,I owned McDonald’s for decades and hear gloom n doom from time to time. It’s a solid well run company that no one should count them out.,0.053
231,"Maybe this isn't the time to explain this but;Revenue's are down again (3)%Massive cost cutting still didn't help, but they did cut cost greatlyWhat people should be looking at is, MCD's dumped 6 million shares in this latest qtr., if you average it out at 140-145 as share that's 840-860 million dollars. Remove that from the qtr and you have a very large earning decline as well.The economy is still contracting across the board and the market keeps running up? When will it pop?",0.8373
232,"115 per share 2 years ago? seriously ?how fast us earnings growing, as fast as they can make it look with",0.5712
233,Does anyone think MCD is a good current buy for long term ? Wish I bought 6 months ago,0.8457
234,Under $210 soon. Stick has been pumped up way too much. What worried me is how much better can it really get??,0.4342
235,Expected to hit $190.00,-0.023
