,Recent headlines and conversations for GOOGL,Polarity
110,"Lennar Corp, Ringcentral, Apple, Amazon and Google highlighted as Zacks Bull and Bear of the Day",0.2042
111,"T-Mobile US Winding Down TV Services, Will Offer Alphabet's YouTube TV",0.2908
112,Google Aims to Be the Anti-Amazon of E-Commerce. It Has a Long Way to Go.,0.425
113,"Alphabet (GOOGL) to Invest $7B, Add New Facilities Across U.S.",0.0743
114,Better Buy: Baidu vs. Alphabet,0.4911
115,Better Buy: Alphabet vs. Pinterest,0.4911
116,Apple TV app and streaming service available on Chromecast with Google TVMike Snider,0.3867
117,Alphabet Stock Is Estimated To Be Modestly Overvalued,-0.0636
118,"Google Doodle celebrates poet, civil rights activist Audre Lorde's 87th birthdayCoral Murphy Marcos",0.6581
119,"TikTok gets more competition: Google is launching YouTube Shorts, a short-form video featureAnders Bylund",0.0531
120,"Alphabet could hit new all-time high by mid-April, chart analyst says",0.7476
121,"LastPass to limit its free password manager. Here are other options, including Apple, GoogleRob Pegoraro",0.6041
122,"Meet Laela Sturdy, the underdog who became one of the top investors at Alphabet's CapitalG",0.3081
123,"News24.com | Facebook, Google CEOs blasted in Congress over apps for kids",-0.2537
124,Alphabet Inc. (GOOG) Gains As Market Dips: What You Should Know,0.5293
125,"Alibaba, Amazon, Palantir, Google, Takeda, Unity — What Cathie Wood's Ark Bought And Sold On Thursday",0.2575
126,Google Maps will let you pay for parking or transit fares within the appBrett Molina,0.0017
127,"Google, Facebook, Twitter CEOs accused of cashing in at kids’ expense in heated hearing",-0.1556
128,"Buy, Sell, or Hold the Latest From Dick's Sporting Goods and Google Nest?",0.2149
129,What Are the Best Reopening Stocks for 2021? Why Uber and Alphabet Fit the Bill.,0.7843
130,Alphabet (GOOGL) Gains But Lags Market: What You Should Know,-0.0695
131,Alphabet Stock Appears To Be Modestly Overvalued,-0.0636
132,Google Docs upgrades comments feature to make collaboration easierCoral Murphy Marcos,0.6041
133,"Top Stock Reports for Alphabet, Facebook & The Home Depot",0.5566
134,Cramer says investors using Covid stimulus checks on stocks should buy Google-parent Alphabet,0.1588
135,Google doubles down on office space despite the rise in remote work,0.2599
136,"World Wide Web inventor Tim Berners-Lee takes on Google, Facebook, Amazon to fix the internetMichael Braga",0.5683
137,"Ford, Google deal means car tech upgrades for drivers: Google apps in the vehiclePhoebe Wall Howard",0.6873
138,SEB Extends Google Cloud Partnership to Accelerate Digitization,0.5084
139,Alphabet's Google Slashes App Store Fees,-0.21
140,Alphabet CFO on women in workforce: ‘Society isn’t where it needs to be’,0.1788
141,"Google, Facebook undertake appeasement campaigns before Thursday CEO showdown in House",0.1019
142,"The Zacks Analyst Blog Highlights: Google, Facebook, Home Depot, Starbucks and HSBC Holdings",0.3148
143,Alphabet (GOOGL) to Serve App Developers' Interest With Fee Cut,0.1261
144,"Alphabet Inc. Cl A stock rises Monday, still underperforms market",-0.0272
145,"How Covid-19 Supercharged the Advertising 'Triopoly' of Google, Facebook and Amazon",0.4294
146,Google to Cut Commission it Charges Play Store App Developers — 3rd Update,-0.2275
147,"The Zacks Analyst Blog Highlights: Apple, Google, Amazon and Gramin",0.3781
148,"Trade Desk Faces Off With Google, Quantcast In $150B Market",-0.09
149,Google Invests $7 Billion Across U.S. as it Bets on the Post-Pandemic Office,0.0702
150,What Google's Announcement Means for The Trade Desk and Magnite,0.0292
151,Five Things We Know About Google's Ad Changes After Cookies,0.1096
152,Google Invests $7 Billion Across U.S. as It Bets on the Post-Pandemic Office — Update,0.0689
153,Google Pledges $7 Billion Investment to Create Jobs in U.S.,0.2838
154,Google to Invest $7 Billion in Bet on Post-Pandemic Office,0.3323
155,"Google will spend $7 billion and add 10,000+ jobs in 2021: Alphabet CFO Ruth Porat",0.3446
156,Google to Cut Commission It Charges Play Store App Developers — 3rd Update,-0.2275
157,"Booking a Covid-19 Vaccine? More Tools and Tips, Plus Help From Apple, Facebook and Google",0.9139
158,Google CFO on equality in the workplace: ‘Society isn’t where it needs to be’,0.1638
159,"Dow Jones Futures: No Crystal Ball For This Market Rally; Facebook, Google, Apple Supplier Near Buy Points",0.4435
160,"DOJ probe of Google's completed Fitbit deal is still ongoing, though currently on hold",-0.1652
161,Google and Microsoft are in a public feud,-0.3808
162,BRIEF-Australia's ACCC Responds To Google Open Letter,0.4113
