,Recent headlines and conversations for MA,Polarity
90,"Market does seem to be getting frothy. The price I paid for MA and V was about 27 times current earnings. They are trading at a valuation much higher than that. I do like them both long-term, but buying at today's prices would be calling for trouble.",0.2637
91,"Awesome MA late sesson recovery from the bowels of the gallows!- What an amazing MA recovery -- I wonder how many retail investors survived today's wild ride, or; had the courage of their conviction, to buy MA stok in the depths of the valley of dispair.",0.9017
92,"The Potato is making the Stock Market Great Again. Raising taxes, Green ""New"" Deal, and buying foreign oil are a great way to help people's investments.",0.9301
93,the stock floats like crazy before earnings every quarter,0.3063
94,"if you can hold it to next month, it will take off again. it is not time yet. just be patient.",0.496
95,There was all this excitement about MA getting into China and now somebody posts that China already has Unionpay which is bigger and better than mastercard so they don't really give a toss about mastercard because they have their own thang.Nobody was saying this last week.,0.9115
96,Green Futures!,0.1153
97,Sold my ma and v this morning. Need the money plus valuations are too high,0.6006
98,Bought Visa for around 20$ per share and now we are rapidly closing on the MA price range.Soon we shall over take and humble you.,0.0062
99,It’s been moving like a powerful machine and gaining momentum. A must own stock for next 5 years. We are only scratching the service of this juggernaut,0.9026
100,U buy here not sell,0.2039
101,Stock hit major support into capitulation its ma peopleBuyIts been a pandemic aheesh,0.4453
102,MA is down 4.91% to 308.73,-0.4608
103,Mastercard is up 4.94% to 367.73,0.1818
104,I was waiting 30% drop so I I can truck load up more instead it keeping going up,0.6743
105,Moving much higher after earnings.,0.5172
106,Today is nothing but a great buying opportunity.,0.9267
107,Big worries on how to pay for Thanksgiving and Christmas expenses let alone other bills. Delinquencies will rise.,-0.2673
108,MA reached an all time high at 261.46,0.0757
109,Raymond James set Target to $244. BUY signal.,0.4631
110,Master Card Dont leave home with out it,0.4335
111,The streak of continuous gains looks to be coming to an end. That’s okay. Can’t go up everyday. I think there will be a nice bounce back tomorrow. MA to new highs.,0.7386
112,first entry into this today.,0.1693
113,Wondering if it’ll hit $300 before the new year?,0.1026
114,Bought at 308.5 earlier. Long term it’s gold,0.3507
115,BIOA going up,0.1862
116,I’m down huge. I thought Cramer said going to 200,0.1027
117,if we have a correction in the market tomorrow or next week it will test 200MA thats when i am going to buy,-0.0663
118,Look up in the sky it's super money. ,0.8217
119,This or paypal?,0.1814
120,What’s going on with MA?,-0.1867
121,Raymond James raised its PT to $428,0.0448
122,MA struggling now for sure. I think $380 will be resting place for a while.,-0.2289
123,Starting to show signs of life.,0.1762
124,MA will close at $ 215 today!!!,-0.5022
125,"I will be adding more at $182, which was the low back in October when dropped.",-0.5283
126,If the market goes down So does MAStand your ground and you will be rewarded,0.2369
127,"I first bought MA in the 140’s, and sold in the 170’s. Bad move on my part. I’ve been waiting for a dip to re-enter, but that dip never came. I bought back in yesterday with an average price of 191.68. I have to admit, the valuation is pretty rich, I’m almost hoping it’ll drop so I can add some more. 15x revenue is a pretty high multiple, I think that’s even higher than NVDA.Regardless, I need to learn to never sell MA or V. They keep crushing it, and I see no reason for that to change.",0.969
128,I dont know but I want some at 270,0.3639
129,Unfortunately it still has another dollar to drop before support level is reached.,0.2471
130,Buying opportunity,0.5993
131,pump is almost over. almost entirely institution owned. take some off the table or you'll be sorry,-0.0518
132,That's the craziest thing I've seen in a while. Down $10 for what?,-0.1067
133,Mastercard declares $0.40 dividend (which is 21.2% increase from prior dividend of $0.33!)https://seekingalpha.com/news/3523502-mastercard-declares-0_40-dividend?dr=1&utm_medium=email&utm_source=seeking_alpha#email_link,0.5816
134,"If Chipotle stock is over $1000, why can't MA be there. Seems like MA can generate more revenue than burritos.",0.6773
135,Bought more today. I started buying at 100. This is a no brainer. Just money in the bank.,0.2382
136,187 I'd start to nibble,-0.496
137,All time high. Shorted 1000 shares at 364.MA is definitely overvalued when it has higher PE multiples than FB. LOL,0.8957
138,I bought in and hopping a BIG DEAL comes throughs.,0.5074
139,Anyone foresee something exciting coming from the shareholders meeting tomorrow?,0.6147
140,wow I wanted 315 to buy back after selling for profit there we go. maybe we can get it lower,0.804
141,MA beats on revenues and earnings!!! Another excellent quarter for MA!!! GO MA GO!!!,-0.4896
142,"CHASERS WILL BURN IN THIS STOCK BUBBLE!The US Stocks are EXTREMELY OVERVALUED and OVERBOUGHT!SELL ALL US Stocks in this TULIP MANIA BUBBLE! The Valuations are ABSURD and IMPOSSIBLE TO JUSTIFY!INFLATION IS SKYROCKETING as the FED continues to PUMP the Price of everything, stocks, oil, gold, home, land, commodities, utilities, food prices and everything!The World Economy is Collapsing, people are starving, but the US Market Makers are too busy in printing money and PUMPING the Stock prices Artificially to make insiders trillionaire without working!Enjoy Free Capital Gains in the US Stock Market while the Corporate Revenues are tanking and the Economy is Collapsing! US Stock Market is a “GET QUICK RICH” Scheme!Dow Jones Industrial Average (^DJI) was 17,000 in 2016, with better economic fundamentals and higher corporate earnings. However, thanks to the Collapsing Economy, Coronavirus Pandemic, Tanking Corporate revenues and earnings, Skyrocketing unemployment, Trade Wars, Record INFLATION levels, and Heavy Stock Dilutions, Dow Jones Industrial Average (^DJI) BUBBLE has almost Doubled! S&P 500 (^GSPC) was at 1600.00 with better fundamentals and higher corporate earnings in 2016. Now it is sitting at ABSURD 3800.00 with TERRIBLE Fundamentals, Collapsing Economy, HEAVIER Corporate and National Debt and way lower corporate revenues and earnings!The World Countries are refusing to accept the US Dollar as international reserve currency due to the HEAVY Dollar PRINTING!US Stocks are INSANELY OVERVALUED and OVERBOUGHT! US Stock Market is a MEGA BUBBLE right now!!!https://edition.cnn.com/2020/05/01/investing/stock-market-recession-coronavirus/index.html$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $ZM $XPEV $QS",-0.9898
143,huge gains before earnings is usually a bad sign. probably going to tank 15%,0.0444
144,MA trading at a “ginormous bargain” — similar to the “false panic” back in January!,-0.2829
145,I have had multiple comments removed on the MA Board.... I am removing Verizion Fios as my internnet provider and switching my phone service.... Verizion owns Yahoo and supports the Left ..... Bye Bye Verizion !,0.1916
146,"World's largest White Castle is openRead the last sentence: Customers can order a maximum of 60 sliders each trip, although White Castle anticipates boosting that in the future, as well as PROVIDING AN ONLINE PLATFORM TO ORDER. Note, this innovative online platform comes via $REKR and $MAhttps://www.today.com/food/world-s-largest-white-castle-officially-open-business-t217276",0.9491
147,Motley Fool has MasterCard as their top pick to buy now. Onwards to $250 amigos.,0.5933
148,Once again sellers are selling into strength on MA. Good thing the market is up over 300 or we be red lol,0.7838
149,So I am down 30K in two days. I think this is known as a crash. Good buying opportunity.If I hadn't loaded up last week. Nothing left to invest.,0.2641
150,Keep on buying this has nothing to do with CHINA . It’s a US CARD,0.6318
151,"Will load once it touches 200.Long term bullish, short term pain.",-0.5433
152,no worries...people will buy online if they stay indoors... even use their cc more,0.0754
153,Officially took out the pre-pandemic high today. What a monster run since March. The best is yet to come MA longs and the opposite for MA shorts. Long MA and V forever.,0.8581
154,"I am afraid it has just started. 50,000 people in my city Richmond were told today we are closed for business. Including county employees.",0.2992
155,"Reuters) - Mastercard Inc said on Wednesday it was planning to offer support for some cryptocurrencies on its network this year, joining a string of big-ticket firms that have pledged similar support.The credit-card giant's announcement comes days after Elon Musk's Tesla Inc revealed it had purchased $1.5 billion of bitcoin and would soon accept it as a form of payment.Asset manager BlackRock Inc and payments companies Square and PayPal have also recently backed cryptocurrencies.Mastercard already offers customers cards that allow people to transact using their cryptocurrencies, although without going through its network.""Doing this work will create a lot more possibilities for shoppers and merchants, allowing them to transact in an entirely new form of payment. This change may open merchants up to new customers who are already flocking to digital assets,"" Mastercard said. (https://mstr.cd/3tLaPZM)Mastercard specified that not all cryptocurrencies will be supported on its network, adding that many of the hundreds of digital assets in circulation still need to tighten their compliance measures.Many cryptocurrencies have struggled to win the trust of mainstream investors and the general public due to their speculative nature and potential for money laundering.(Reporting by Noor Zainab Hussain in Bengaluru; Editing by Ramakrishnan M.)",0.9867
156,Run people run. This is only the beginning run take your money and run,0.7104
157,"got 3/4 of IRA in MA.... a 3 to 5 yr. money cow.1/4 in WA...TRASH...THEY make 70% of their money on renting dumpsters to businesses. 10% easy money. keep 50,000 cash in fidelity making 1.96% money market. enough to live on for 2 yrs. if the wheels fall off.",0.6505
158,V & MA are now trading in the extreme bargain zone — for two of the best and most profitable global businesses of our time!,0.7072
159,MA IS ACTING VERY BULLISH!!! POWELL IS SUGGESTING A RATE CUT AT THE FED MEETING!!!,-0.5467
160,bought in at $172 Wed.,-0.0197
161,"No worries, all safe & sound. I never once even began to worry about MA, V or PYPL. Super safe companies. Easy to ride with the cashless contactless payment trend.",0.8663
162,MMs manipulated this stock before their earnings,-0.0403
163,It's only off 8 1/2% from ATH!,0.8246
164,What’s with yahoo premarket. Is the stock up or down?,0.2718
165,Jump on this folks. This is pure kneejerk stupidity selling.,-0.2321
166,im still holding. New records high in the way. forever stock,0.7299
167,Huge buying opportunity!!!,0.795
168,XLF seriously depends on JACKSON'S HOLE. I guess JANET YELLEN will come out and say something which is positive to the market. Don't forget that Fed always side with the market. They don't want to shake the fragile market. They just want the market to run smooth in orderly. Bank sector is coming back so they will pamper the financial sector in order to make country back from 2008.,0.9278
169,"Man, this board goes dead when we're in the red.",-0.6708
170,Ouch!,-0.5801
171,"You should gobble up MA on sale, before it rockets up again next week",0.587
172,You can all thank Trump for Mastercard getting into China. His tough China trade stance did it. He got alot of slack from Dems but it's paying off. No word on Visa but I assume it's a foregone conclusion that they will be getting in soon as part of the trade deal.,0.4144
173,"If a stock like Mastercard is sold, you know the big money wants to get out of the market and that the economy faces a serious slowdown.Its one of the best companies in the world, so every weakness you see here is a really bad sign for the stock market in general.",0.6629
174,"This is ridiculous to be down $25 (8%) today.....I fear after Visa reports MA may drop further if Visa says anything negative. The charts show we are around support, if breaks into $280's we can repeat March trend dip.This needs to turn around, the worries about more Covid shutdowns is killing my MA position.",-0.963
175,Another great earnings report from Mastercard! ,0.7774
176,Having a hard time maintaining upward momentum....,0.2529
177,https://finance.yahoo.com/m/e7f38992-9de8-36bd-abed-843a0b34dfda/mastercard-stock-rises-after.html,0.0
178,"What a joke.....I had a very fair post that just disappeared for no good reason, obviously someone does not understand so I will repost. Try reading the whole post vs taking one word and report it to take it down.",0.724
179,I'm still afloat is the good thing,0.4803
180,Look like Sell off at the end.,0.3316
181,MA is resilient! ,-0.1354
182,short squeeze,-0.3894
183,$200 Next for me ,0.0019
184,Big trouble,-0.3061
185,"MA hits high today in high VIX. I believe MA will BREAK OUT right away, because XLF is keeping higher high.",0.227
186,Why it’s in red when market is in green,-0.2244
187,"We were in the $340s early this year. When. The economy turns around next year, we will fly.",-0.1689
188,Institutions of trying to force a down market. Down 600 one day up 500 next day down 400 next day. Makes absolutely no sense at all other than they're trying to create panic in the market. It does not bother me because I am all in. MA is worth a fortune long term. It is a steal under $200.,-0.8605
189,ATH today!,0.8024
190,Buy Algorithms beginning to kick in the final 45 minutes of the trading session!,0.2942
191,The markets are rocking!!!,-0.2351
192,Same as it ever was. Great day today!,0.7296
193,$FTOC $FTOCW Mastercard $MA joins forces with Payoneer for Cross Border Payments (with eye on Business Payments). Business Payments is a 20 Trillion dollar industry.,0.7096
194,Why V up big and MA drop?Don't make sense,0.1426
195,"PE ratio of 42 or so, which is where we are now, appears to be an upper limit for MA. It's not nearly the same multiple of SQ or Paypal, but it's on the high end of its historic range. Which makes me think we won't see a significant move upward until earnings growth starts to push the ratio down at this price OR we get some additional news - dividend increase, increased buyback, etc. and those are extremely unlikely right now.Bummer - MA has been on a great run and I've been overweight for many many years on it and it's hard to see it sit still while AAPL and the other tech stocks continue to rip higher.",0.985
196,Bought more shares today ,0.3621
197,MA ready for pullback.,0.3787
198,"This is going to get worse. Buy the dip. but you know this isn't the dip of the dip. Be patient folks, more opportunities to come.....",0.8807
199,Long term yes. You can buy now at discount prices and hold around all this volatility.,0.6958
200,I hope this has the same reaction as Google's earnings release,0.5519
201,anyone know why MA is down almost $5 today?,-0.328
202,The big guys sell. Then the small guys panic sell. Then the big guys buy your small guys shares back cheap! I’m holding my shares. MA is a money maker.,0.7884
203,Start a position at $200 this week,0.2893
204,Do you think these ding dongs know what a ponzi scheme is?,0.272
205,$MA and $V will thrive in the post corona world .. both will double in 5-10 years,0.1293
206,Beast stock!,0.6385
207,Mastercard is Masterbeting,0.0
208,...just sold some...so it should boom the remainder of the day for the rest of you :-),0.8339
209,Congats to the investors here! Nothing but net!,0.236
210,Better than expected = Love those words!,0.8406
211,So frustrating..you hear so many good things about MA but upward momentum seems to be stalled. Pops 8-9 bucks one day followed by three days that take it all away. It's becoming a pattern.,0.494
212,Hey folks... Will the price of the share go up to 300-400 later,0.6057
213,MasterCard will open over $210 tomorrow morning.,-0.2395
214,"Once Powell stops talking about how terrible the economy, market should go back up. He is killing any sort of rally today",-0.6662
215,Selling time,-0.0093
216,Not today!!!!!!,0.3305
217,I ask the same question.Why drop?MA is much better than Visa.Hopefully MA will add another $10 dollars tomorrow when market open,0.4357
218,there will be a lot of visa and MasterCard default payment which the bank is claiming which means there will be a lot of cards out of commission. and the lockdown will hurt both MasterCard and visa earning. it will retest the lows.,-0.7762
219,Fingers crossed.,0.0
220,Very weak stock. Better sell now and put your money in something better performing,0.6684
221,going up Monday?,0.1645
222,HMNY has left the train station..They just lowered their prices for MoviePass!!! WOW!!!!,0.3329
223,Pricy even at $300,-0.0302
224,Nut case shorts are scared!,-0.3399
225,"Visa beat estimates late Tuesday, as payment volumes topped pre-pandemic levels. Meanwhile, Mastercard reports early Thursday.*** Awesome news for the “dynamic duo” , and MA stock could top and surpass the $400 barrier by Friday!!!",0.8603
226,$90 stock the most.,0.175
227,SANTA SELL OFF!!!,0.2863
228,WEEEEEEEEEEEEEEEEEEEEEEE this is fun.,0.5249
229,MA is up 4.93% to $196.99,-0.08
230,Target price $345,0.0069
231,MA is up $ 5.54. GO AMZN GO!!!,-0.5637
232,355 gap fill,-0.051
233,"Market looks really rough. Was hoping for $260 or $270 to make big profits on June 2019 $240 calls, but not sure if this will hit that before expiration.",0.7075
234,added some at $291.20,0.1013
235,Affirm has been around since 2012. Just sayin'.,0.0441
236,Can’t seem to maintain forward momentum,-0.1014
237,MasterCard will go up! Do not worry. It will skyrocket.,0.3509
238,Now MA TIME TO SHINE!,0.3032
239,Ya Thur! All time high baby!,0.582
240,stock is flat in AM....?? why? earning went well as far i understand.....,0.5517
241,Gosh another down day,-0.0764
242,buy buy buy buy buy,0.5577
243,Is it Europe/Asia? Noticed that MA commonly jumps in the morning and fades in the afternoon. Does Europe/Asia like it more than the US?,0.3247
244,We have had some good days since ER. This little dip is no big deal. Christmas sales have already started.,0.876
245,buy any dip when possible. go Ma,0.3061
246,Just a reminder that buying point $305,0.2435
247,Mastercard reached an all time high at 355.84,0.3228
248,People would have begged for a one day 8% crash a month ago. Take it,-0.0272
249,Just have to sit back and wait! As always with a recession or fall back you have to wait and be patient. It’s going to take months for this to come back but it’s a long term stock! Stay the course and gains will come back!,0.9135
250,this stock is overbought here and should see some selling after earnings.,0.3387
251,If the DOJ cant get trump out the Fed will,-0.405
252,Fear - - > buy,-0.3979
253,Great stock ... any chance of a SPLIT coming?,0.857
254,hot 209...,0.0891
255,Nice. Needed some bad news. Was looking for a better entry point. All companies are going to be affected by China. Hopefully we will get a chance to buy under $300,0.816
256,GNPX 9700 traded so far today ...now Level 2 $4.45/$4.44$BA $MA $AMZN $T $RTN,0.4539
257,"MA, the quite assassin. Shorts are bled slowly. The day of reckoning is coming, the shorts will be weak and short of cash to pay, the buying will explode, some will need to write an I O U......",-0.5813
258,A Bi Polar couple of days,-0.0509
259,GO MA GO!!! Excellent Company!!!,0.3772
260,The folks in this board only want to hear good news. That is a dangerous way to invest.,0.4911
261,Cramer was pumping this a week or so ago. Then he switched to Visa. Now...he's silent.Would be great to throw a fried egg in his face. Egg on face!!!!,0.635
262,$MA Target Raised by Wells Fargo Overweight USD 350 » USD 400 2021-01-04Reiterated by Barclays Buy USD 320 2020-12-22Initiates Coverage On Seaport Global Buy USD 370 2020-12-07Target Lowered by KeyBanc Overweight USD 365 » USD 325 2020-11-02Maintains Morgan Stanley Overweight USD 359 » USD 353 2020-10-30Target Lowered by RBC Capital Overweight USD 350 » USD 372 2020-10-29Target Lowered by JPMorgan Chase Overweight USD 372 » USD 342 2020-10-29Maintains BMO Capital Markets Outperform USD 345 » USD 333 2020-10-29Target Lowered by Citigroup Outperform USD 384 » USD 355 2020-10-29Target Raised by KeyBanc Overweight USD 340 » USD 365 2020-10-27,-0.9876
263,It was waaaaay oversold. Sanity returns. :)),0.4628
264,This should be flying,0.088
265,Buy below 269 Sell when it goes up to 290 . rinse and repeat,0.5889
266,"@FAANG_BUBBLE - You sound angry. Everyone is free to trade any stock they want.. If you think those stocks are bubbles, you can short them. But please back off with the angry comments.",-0.1017
267,Why are we running so counter to the market these days?,-0.0137
268,Thank God I'm finally about to break even after an entire year!,0.5055
269,MA is holding up very well on such a horrible day. 11 point bounce already.,0.1699
270,This is really getting hit super hard. Not looking good into earnings at all. They may know something that we don’t.,0.8283
271,Yea! hit 300. only 41 off where I bought in.,0.238
272,I'm really frustrated how market is behaving with ma and v. these are companies that is free from almost all the risks we are currently discussing. these companies have huge space to grow. every day economies are moving from cash to plastic money. and you cannot survive without spending! people what do you want?! I know what you want. master card need to say all its share holders need not to repay credit card bills.. ever. does that work people?!,0.8914
273,Look at MA rally!!! GO MA GO!!!,-0.8098
274,Trending down like V. Looks like a double top that failed to overtake the last high. Not a good sign.,0.8021
275,Pump and dump. Stock overvalued.,-0.3902
276,just got 25 shares. will add 20 more to avrg down if necessary.,0.3723
277,"BOYCOTT AMAZON. Jeff Bezos lies in bed thinking of some business they can announce getting into and then the next day, sits in his office watching the stocks in that industry dropping. WE DON'T NEED AMAZON.",0.6238
278,"To the moon baby! Thanks Gary01 for changing my mind, so glad I’m here to be with you guys now!!! Lol",0.924
279,$177 on deck,0.0273
280,new high baby,0.5099
281,online shopping surged pre black Friday.. it'll be a massive spending day.. with the economy getting weaker people are using their cards more.. all good signs,0.4108
282,predictions how long to recover?,0.4307
283,"MA financial numbers justifies, Tesla is priced from a dream.",0.0696
284,NICE,0.4215
285,All the analysts putting the $375 consensus PT on MA have known about Affirm for a long time.,0.0625
286,Anybody have a thought why Visa and MasterCard are down today?,-0.0965
287,Today’s positive U.S. Economic data is a bullish confirmation that MA will be firing on all cylinders as the Economy starts opening up into the rest of FY 2021 and beyond!,0.4136
288,The MA rebound could take off as early as tomorrow’s opening bell .*** It will sure make those who had the courage and conviction to buy into today’s “opportunistic dip”.,0.6765
289,"Buy @ $210 if holds above that price. Buy more if ‘Guidance’ is positive, end of Jan.",0.8266
290,800 shares of this and I’m getting rocked. My gosh.,0.4187
291,Ok this stock is just pathetic. Literally the entire market is going up and MA continues to trend down. It’s just sad to see.,-0.4812
292,"TIME FOR ME TO SNAP IT UP... I like the 309 to 310 for me that is where I want to buy, but who knows right?",0.4042
293,#ma dumbasc againhttps://metrouk2.files.wordpress.com/2017/01/trump-wall-comp.jpg?quality=80&strip=all&strip=all,0.0
294,"I am adding on this awesome bargain — MA will report a great Q4 earnings in the pre-Market opening tomorrow, and MA will be off to a “mother of a rally” that could take the stock to new highs.*** So, the current unloading of weakest hands is setting the stage for a powerful rebound rally to new high and beyond —for one of the great businesses of our time.",0.9576
295,Australia refusing to use MasterCard and Visa. It’s only beginning. Strong Sell.,0.3581
296,15 more minutes before goofball takes charge,0.1294
297,This year with everything slowly going back to normal This should be 430 at years end,0.0024
298,This one going down. If your betting on cards VIsa is better. We have a recession coming up and this guy is going to get burned. (Just look how MA does during precious ones ),0.5125
299,"Bounced off 200. If it goes under, look out below...",0.0705
300,290 is possible this week ofcourse but yeah... 28.000 people recovered. That’s a lot and that number will grow and the fear will go away. Ebola was worse.,-0.8511
301,MA is down 8.84% to 245.91,-0.4608
302,Do you expect a climb when this hit 200 MA at $318?,0.1631
303,ma $200 dollars,-0.0757
304,https://www.google.com/amp/s/www.theglobeandmail.com/amp/business/article-mastercard-and-visa-raise-tap-limits-to-250-so-fewer-consumers-need/,0.0
305,"Big inverse head and shoulders on the 6 month, and MACD about to crossover, big run upward coming",0.4253
306,"I've owned since IPO, will never sell.",0.335
