,Recent headlines and conversations for UA,Polarity
54,"Insider selling to be investigated:Plank last sold Under Armour shares amounting to 1.05 million in a series of transactions from Apr. 21 to Apr. 29 last year. The sales were well-timed. Jut six months later,Under Armour's red-hot growth came to a screeching halt in the third quarter amid a freshwave of department store closures and the bankruptcy of The Sports Authority. In effect,those harsh new realities removed vital places for Under Armour to hawk compression shirtsand joggers and led to a groundswell of discounted inventory at off-price channels such asTJX Companies (TJX) . Under Armour's lackluster third quarter along with a major long-termprofit warning sent shares plunging by over 20% on Oct. 25.",-0.6954
55,See you after lunch.. Be ready to ride up to the sky....BUY now or you will regret,0.4316
56,have you seen this http://dailyalerts.zohosites.com/ .,0.1136
57,"They've been cooking the books for years. Stashing inventory at distant warehouses using a shell company and counting the unsold inventory as sales. It's about time the SEC woke up and did something. Stick a fork in this, it's going south.",-0.7822
58,UA getting sued how can this be good news. We just checking this one out. Why are you people wasting your $$ in this stock. It is over stick a fork in it and flick it away...,0.2392
59,Thank you for this short Mr. Plank. You’ve made me a happy man,0.5883
60,Why is this dropping after a great 1Q and upgrades?,0.6383
61,Spitting on Americans and America is not such a good idea as UA and Nike are learning. When Planck trashed Trump he trashed his own company imo. Bad move.,0.3957
62,Pay attention to Nike's earnings report today. UA stock goes down every time Nike has weak sales revenues in North America.,0.2354
63,"I told you to unload while you still can in the $19.'s,now I'm telling you to unload in the $18.'s before their gone too!",-0.2391
64,Capitalism is the worst thing that happened to mankind,-0.6197
65,going in on underarmor moved my position from Nike. should short Nike.,-0.1986
66,Hey guys what's up with UA sudden plunge this morning?,-0.0798
67,UAA is down 4.90% to 23.27,-0.2462
68,"I havent seen a better buying opportunity like this in over 20 years of investing. Its simple, if NKE is worth $87 Billion (mkt cap) do you really belive UAA is only worth $7 Billion (mkt cap)? Lets just assume UAA is only worth 25% of NKE. That puts a valuation of $22Billion on UAA which places the value around triple the current value. Do NOT over think this! Grand Slam if ive ever seen one!",0.9733
69,UA is strong brand,0.5673
70,Joke street,0.3725
71,Company needs to figure out a way to drastically grow their sneakers sales in the us...nike has over 50 percent from footwear.,0.2082
72,Guys UA Is only $4.42 worth. Don’t buy UA,0.4293
73,"Under Armour management, I stop by about every six months with idea for you to fix company but your ceo does not get the message.Your dry shorts, with the deep pockets and most lightest best looking shorts for what about 35. your number one on those, long and baggy to the knees.Your socks and the shirts that go with the shorts, everything is just ok.Ok now what you need, sell shoes and they must specify the weight by website, stick to about 7 8 or 9 ounce shoes, running shoes, walking shoes but go even softer than boost 20's. Nike claims more bost or same as adidas but so far not close. Until you do this you will never catch nike. I worked for pepsi at 20 to 23, from 2000 to 2020 pepsi was less than half the shelf space and less than half the market cap. Now 20 yrs later they are equal to them and they could have done it sooner. They needed to put out a just pepsi energy drink, not thick, just extra caffeine, they needed to invent new flavors or by them, put 2 liter bottles of pink lemonade in every grocery store, strawberry lime, and berry lemonade, a cola flavor like the old jolt flavor but they just wanted to do same old, same old, like you. I'll be back in 6 months when your 5 or 6 a share or less because your shoes have always sucked. buy wtrh you want to make money, not this stock for future bagholders.",0.9949
74,Good bounce.,0.4542
75,Seriously has this stock been down everyday for 2 weeks?,-0.2198
76,$5SP OCT PUTS ARE AT $0.07!!,-0.5236
77,Why did UA just fall by 15%??,-0.1707
78,"I won’t buy anything but tech, look at pins, 40% pop, would been 10k payday for me",0.4007
79,DKS just threw Under Armour under the bus today. They blamed them for the short fall in earnings today. Not good!!,-0.5551
80,like I said month ago this company going to bought out ..I think by Amazon ... going up b/c speculation on earning from Christmas or whisper word on floor being hostel take over ..we will see,0.8944
81,Nice work Kev. You managed to shave another 5% off the stock with that announcement. As shareholders we have to go to bed every night hoping you don't say something stupid the next morning. For God's sake shut up and get a better PR team.,0.9516
82,Let me make this real simple ..... UA Shirt $59 .... Champion Shirt $19 ..... Target Shirt $14 The best part .... The Champion and Target Shirt have better quality and fit than UA. ... That's all !,0.9509
83,I think UA would do best to stay out of politics and keep partnering with celebrities,0.7896
84,Everyone needs to remember MLB contract More colleges coming on and it's football season . If this is not a buy then we all should not invest in the market. For sure this stock based on numbers is 20 dollar stock. I'm going in big and holding,0.8688
85,which is a better buy UAA or UA,0.5054
86,"Since UA has a newfound dependence on foreign sales, how are they going to pay for all the new tariffs that Europe announced this afternoon. How are Europeans going to pay for their products. Face it longs, you are screwed.",-0.4556
87,dead cat bounces?,-0.6486
88,Don't see this really doing much damage. No one really cares anymore it's the new normal,0.021
89,should get a good spike tomorrow with Zion blowing out his Nike on the court with cameras on him.hhaahahahahahhhh,0.8096
90,Sam Poser tracks shoe and sports stores? He should be covering fast food stocks as he looks to fit that role well.,0.6701
91,Sell off for tax write off. Pretty sad when a stock goes there!!!,0.5882
92,UA is up 18.68% to $19.95,0.1818
93,"I spoke to my financial advisor yesterday. He said ... ""While you are waiting for Under Armour to rebound over the next few years, why not buy a high yielding consumer discreationary(COH) that is already in it's upswing.""https://finance.yahoo.com/quote/COH?p=COH",0.7387
94,Professionals buy at $6 and sell at $6.25 amateurs buy at $6 and want to sell at $20 and end up selling at $5 don’t be so greedy hello,0.2335
95,I'm glad to see alot of people will no longer support Under Armour. It's overpriced anyway.,0.61
96,"Far as I see it, there's no reason for the sudden downturn other than profit grabbing and a known shorting opportunity following the just as sudden upturn. Fundamentals and market opportunities for this stock are plenty strong, and there is zero denying it's been oversold over the past few months. I could've taken my 15% profit and ran, but I see this stock easily hitting $25 by year's end - ESPECIALLY after next quarter earnings and seeing the uptick in shoe sales after the company's recent arrangements and efforts to globalize take effect. Has everyone NOT been seeing UA all over the world of sports lately???I'm still in the black on this but if this drops past $19 I'm just going to back the truck up, as they say, and do some more loading. GLTA longs.",0.9836
97,"It’s going up and nothing can stop it, Nike is finished",0.0501
98,Take your Profits it was a nice day yesterday dont be greedy!!,0.6989
99,Timber!!!!,0.0
100,Hahahah - Walmart puts UA 25% on sale so they are slashing the prices. Do you not understand how retail works? Just because Walmart put the clothing 25% off doesn't mean the stock price is going to drop 25% again.,0.4202
101,All of Nike's stores are now open again in China and South Korea. 1.35 million shares traded yesterday in the dark pool exchanges.,-0.3865
102,Nobody sees the amount of debt UAA carries on their balance sheet now? How margins have shrunk? It doesn’t matter if you’re sold out of some of your product if at the end you have little to no profit on them.,0.2183
103,https://investorplace.com/2018/03/under-armour-stock-9-foot-pole/#.WqArsTZlCUA,0.0
104,Lol UA is over give it up. This will never beat Nike,0.601
105,"Ppl, all I know, is that I got burnt bad, twice on UA, when they kept posting how good they thought it was going to do, they beat estimates and still went down after. I’ll take my money now, before it happens again, and you should too, can’t lose taking any profit!!",0.441
106,well no kidding duh... you know anyone wearing this garbagr besides Curry and The Rock? lol,0.7977
107,Hedgies knocking it down again?,-0.205
108,UA is assumed to go under at this price ... hope not,0.495
109,just got in at 15.88. How low will this go before a surge,0.0551
110,That's part of the problem. They keep giving them away.,0.0647
111,Goldman Sach upgraded UAA to 28 bucks..,0.0408
112,So 5 years ago this had a $90 billion market cap?,-0.5024
113,Big difference between buying when other are fearful and buying when decline is justified! Justice will be served as UA will continue it's slide after relief rally!,0.7607
114,Under Armour will fill the Gap to 28 bucks before the month is over. just my opinion and advice to the nieve shorts. I'm holding 80 call contracts that expire on different months through Jan. 2020.,0.4665
115,13.00 in a month I have no holdings and don't plan to buy.,-0.4685
116,Lyon and Saini also cut their price target to $20 from $44! That's generous as Piper Jaffrey has the Price Target @ $17. So your buying @ $19. for a $1. ROI?,0.7232
117,UA is a takeover target kss or target will have a bidding war,-0.1654
118,shorts be careful.. It could fly to 25 today itself.I doubt though but hopefully see close around 24.529 in 4 weeks is doable. IMO,0.5486
119,UA is down -5.03% to 18.32,-0.2462
120,"I think UAA is due for a pullback. What are your thoughts? check out awe-someSTOCKS, its a pretty reliable service. of course you have to do your own due diligence, but they generally point you in the right direction.",0.6472
121,Looking like a dead cat bounce early.,-0.393
122,Y down 7% in premarket?,-0.28
123,This stock was $41/$42 bucks just in the last couple of years. Plank screwed investors big time. Apologies are in order to anyone still drowning in this big loser.,-0.3412
124,"Pe 55, no thanks!",0.3009
125,Hope all of you pessimistic wannabe analysts sold yesterday.,0.174
126,"Wherever I go, Gym, schools, shopping I see the Under Armour brand. I think that they'll figure it out...How to market the brand better. JMHO",0.7233
127,this is much like LL back a few years ago. sell it here and wait,0.7592
128,Who will buy UA? adidas?,0.1726
129,I think UA will get alot of attention soon. They have the 10 year contract to outfit the MLB in 2019. Their cleats were prominent at the Superbowl. Their Phantom running shoes are selling well and Jeffries took notice. Hopefully they had a strong holiday season. KSS had strong holiday sales. I'm sure much of that was due to UA in their stores.,0.9666
130,This is as big as when Steve Ballmer resigned as Microsoft's CEO!Hopefully we'll get the same results with UA's stock price!,0.4956
131,Nba and nfl need to take civics class. They must be the dumbest sob on the planet,-0.4598
132,Snap will be going higher now and so is UAA. UAA recent stock movement just confirmed the uptrend with the decline couple days and big bounce the day after.,0.6443
133,"Wife and some of her walking friends have went HOVR. These women walk religiously twice a day. They swear they will never walk in anything else. UA has made some mistakes, but I really do think they got it right with these HOVRs.",0.4902
134,Under Armour has repositioned itself and will have a awesome quarter as more States open up under $20 is a gift you should take advantage of. This has much more to run the estimates are to low WE KNOW,0.8931
135,Upgrade Today up 23,0.3858
136,http://www.businessinsider.com/teens-say-under-armour-isnt-cool-2018-4,0.0
137,Who says UAA isn't poised for potentially massive upward movement? have you guys heard of awesom-eSTOCKS. i started receiving their allerts and so far i am happy.,0.7793
138,Kevin needs to walk the Plank !!!,-0.3119
139,This has to be the worst POS stock in the entire universe.How many out there are bagholders on this POS like me? How can we get Kevin Plank fired? That POS is the reason why this POS stock is down so much.Kevin Plank - one message for you if you are reading this message board - you are a POS.,-0.1574
140,I’m holding this stock since it first IPO in 2015,0.6976
141,"Under armor using augmented reality to market their brand would be a gamechanger imo...IPNFF stock is up 75% today while the market bleeds, this company pushing AR and their imaginear website looks like the future is here",0.7318
142,Can UA become profitable within the next 16-24 months? Does an investor here know?,0.4334
143,SEC Says that UA Illegally put themselves in a more favorable position,0.5574
144,https://finance.yahoo.com/video/retail-analyst-under-armour-expect-172800209.html,0.0
145,"Come on UA, Let's crush the shorts like NFLX did back in 2012 after a gigantic drop in 2011.",-0.0106
146,102mln followers and not one item sold out? Phenomenal isnt it?,0.7203
147,This stock is going to jump a few dollars in the next week. New price rating of 28 and the shoes are hot hot hot. Everyone should be all in.,0.6992
148,like I have always said ..it all about emotion...not hard figures ...sounds like vraiphil needs to invest in junk stores,0.3768
149,Is it $100 yet?,-0.0092
150,24.5-25 would be nice... TODAYI'm running out of selling my 22.5 call(s) and have just few left,0.4382
151,Are you longs adding more here? Just wondering how much pain you want to inflict on yourself! $15.'s Short Short Short!,-0.8992
152,uaa is down 3% other retail stock 5 to 15 percent,0.1713
153,"I'm glad I sold my UA-C shares instantly and bought regular UA shares. I am not quite sure why there is such a disparity between the two types of shares prices but my reasoning was that these are the shares that Planck would manipulate for various corporate purposes, while he would not mess with the regular shares that give him control of the company. I think this turned out to be the case.T3",0.901
154,Don't sell ... shorts trapped,-0.5919
155,One can only hope it stops at $25/share. Anyone see it going lower?,0.3494
156,Revenue falls. But buy because of accounting gimmicks. LOL. Bagholders Paradise.,0.8868
157,#$%$ after-hours down 4 percent????????,-0.5444
158,UA proving it is a pos on a day by day basis. CEO needs to step down.,-0.0042
159,After investors take in everything and reset their outlook Under Armour is going sky high. Seriously under valued here.,0.6064
160,Why I invested in UA? Schools will re-open soon all over USA and the World - Exercise is a new life style - Sports will fully start again - Quality and designs are great - Summer will spike sales - Best stock price compared with competitors.....I think this company has potential. Bought and holding!!!,0.9594
161,SELL SELL SELL :),0.7917
162,Just as I sold yesterday.,0.1667
163,next week over 20,-0.0752
164,"RUN , don't walk from this flawed, failed, fraud of a company. Just sell and don't look back, chalk it up to another loss.Please, everyone,,, sell now and forget about this troubled clothing company. The Trump import tax initiative will force it into bankruptcy. I am short UA and have lots in puts... so if it continues down, I can pay-off my $41,000.00 swimming pool!",-0.9299
165,Is anybody taking part of the class action lawsuit against UAA & UA?,-0.269
166,In at $18. Will it ever get back to that or should I just take the loss and move on?Thoughts ? Thanks in advance.,0.4976
167,Under Armour is up 5.33% to 19.17,0.1223
168,"I only subscribe to a few sites, but ULTIMATSTOKCALERTS is one of them. very good trade suggestions. .",0.7517
169,Glad I sold this at $98.50.....I thought it was in trouble,0.0323
170,Every dad I know got UA shirts for Father's Day. What is wrong with this stock?,-0.1663
171,Who buys this brand in 2020,0.1138
172,For all the people hereThis will be the big windfall soon,0.0194
173,"Wish UAA would announce a stock but back. But then again, Kevin Plank is now over his head running this company.",0.5859
174,Najarian sleazebag brothers touting on CNBC,0.2197
175,Why up .45 after hours? Wait until Golden State wins the title this stock will pop,0.8582
176,another day on the same pattern. Opening bell buyers on lighter overall daily volume levels bid it up on some beliefs of greatness in earnings ahead that is waiting to be taken back by afternoon. US continues to dredge along the bottom of the ramp price range and even on Christmas ahead and $30 targets and an idiotic CEO call for strong international growth where the globe is tanking. Will today be the same as all other days by closing bell?,0.884
177,John - how much did you lose with this stock? You have spent several months bashing it. What happened?,-0.1278
178,this board is so comical ! first of all why dog a stock if you bought it in the first place .. Really geeeze ! everyone talks about profit /loss etc ..CMon Mo's Mo's ..the market reacts on news .. upgrade and down grade ..no one gives a dam about profit and loss ..I'm in at 19 bucks and I'm not worrying at all b/c I think Amazon going to buy the company or Addidas maybe LuLumon ... remember when Netflix fell to 88 bucks from a 110 b/c they missed the market expectations..the market simply reacted on a expected number WAKE Up ..we call it news !! now Netflix is over 250 the redeemed themselves and UA will do the same !! be patient everyone..blast off is in the future,0.967
179,Absolutely by far the worse interview a CEO has ever done on Cramer. Scars are cool??? Only reason UA has scars is because Spanky decided to include politics with business...,0.5776
180,Overreaction from algo traders.,-0.1608
181,18.6-19.2 close today possible. IMO,0.1867
182,Look at my comments from a couple of days ago. I could sense this was coming. This is only the first of many upgrades to come. The time to buy more is NOW. Going much higher from here.,0.5364
183,"Don?t be fooooooooooled by big money and all these fake articles. Just trying to make everyone sell and lose money, don?t be so emotional when trading stocks the bottom line is that UA is a great company and product with criminals always saying #$%$ about it. This will be a good future investment.",0.7007
184,Ua we are going to finish the year strong means- q3 is horrible but what else can we say,0.1111
185,"Thanks UAA!!! Added also CNAT, 300% upside based on the average analyst's Price Target on Yahoo Finance, CNAT reporting deadly Cirrhosis Phase 2b/3 results """"any day"" NO FDA approved treatment. $DRYS active today too",0.9584
186,Local Marshall's received very large shipment of closeout UA sneakers. Appear to be the dark color palettes that were shipped to all of the Kohls in the fall. In the last 6 months UA and Nike seem to have the most real close out inventory of athletic footwear dumped at discount retailers.,-0.7952
187,investorplace and Canaccord Genuity (Camilo?) these two sources should be banned by yahoo,0.0318
188,"Not 1 insider buy, not even at levels. That tells you something. Are people not wearing UA anymore? Makes no sense on why we are getting punished. Meanwhile all these stocks that got hit even after earnings warning continue to go up. Just frustrating.",-0.6688
189,2 upgrades this month and it still sluggish...WTH???,0.27
190,Ua is growing fast in europe...time will tell if it can overcome the stagnation in the states,-0.4769
191,Can somebody tell me if UA and UAA combined market cap is around 7 or 14B? I don't understand the two trading symbols. I know one has voting rights and the other doesn't.,-0.2346
192,"Curry and Copeland don't need a job in Maryland, but the people who live here do. Mr. Plank, keep up the good work for Maryland and let Curry and his tude take a hike in somebody else's shoes.",0.807
193,"This is a screaming buy and hold IMHO.With high institutional ownership, more are vert likely going to increase their holdings this week.Insiders also hold 15.5% per yahoo.Short shares decreased by 2 mil last month.Company has $200+ mil free cash, I would bet on a buyback of shares soon.Looking ahead, Under Armour said it expects to earn between 19 cents and 22 cents a share for the fourth quarter, up from its previous outlook between 16 cents and 19 cents. Lanceman2468",0.9646
194,That yahoo finance news video on UA earnings hurts my head... John and the women in that clip would get alone well,-0.0999
195,Should I buy this or..?,0.2121
196,I look around and see more people wearing UA gear versus Nike. This leads me to believe this stock has to move up again.,0.6112
197,Keeeeeeep holdinggggg. We are Spartaaaaa,0.0282
198,UA seems like dead meat. Going nowhere and starting to stink.,-0.7313
199,Think a lot of people here are going to be surprised after earnings...,0.1707
200,Buy low! Do not forget that mantra no matter what analysts say. Free advice is not really free!,0.649
201,"Look...$UA is growing like crazy and analysts can't seem to get it. While the stock goes down slightly, I'm banking with this fitness stock right now: http://finance.yahoo.com/news/exolifestyle-inc-pleased-announce-rogue-113000593.html So far I'm looking at it for a short term flip but could have no problem holding some if they keep putting out news like this",0.7456
202,"This guy is obviously being paid to downgrade this stock and pressure the share price down. I listened to his Nov 7 analysis when bumped the share price up from $11 to $15. He did not give a good reason why the share price should be lifted $4 other than that is looks like a bottom and based on the way the business was going that it justifies the $15 share price. Now, 2 months later, he downgrades the stock to a sell and says that it should be at $11. His reason is that UA is selling to discounter like Kohls and DWS, and its branding is staying with the athletic and not expanding towards leisure. So in essence, he is saying that nothing's changed in the last 2 months since his upgrade. He's all about negative now, even confirming that the PE is too high. In his opinion, UA is doing everything wrong now.",0.9414
203,increasing sales and improving margins. Buying opportunity.,0.7779
204,They need to focus on clothing and walking shoes ...get out of athletic shoes,0.3155
205,i think it has potential to reach $45,0.2132
206,What people fail to realize is that you can love a company but hate the stock price. This is still overvalued.,-0.5308
207,We need Brady back on the team,0.4792
208,Looks bottomy to me. I have started to pick in here. It may take some time but I think they will rebound some,0.5812
209,"I think its unbelievable the hovr got sold out instantly and the curry 4 in a few colors. The sales are better than kdx shoes. 2/3 of nikes revenue comes from their shoe business, under armour needs to work on this. Their designs are ugly, hovr is ok but in general ugly shoes and still they sell what is unbelievable.",0.1053
210,Dead Cat Bounce! That's All!,-0.7086
211,Look...UAA's PEG is still 8. This thing is WAYYYYY overvalued.,-0.3354
212,"Be and industry leader, only print shoe sizes in US sizing. 1 world 1 people 1 system, respect.",0.7428
213,still a buy at this price...,0.1899
214,in 17.88 out 18.44 ... not bad - now average price is lowered,-0.3593
215,Its time to bring in Curry Shoes Advertisement while Golden states still plays at the Finals...,0.6314
216,"More and more investors are now becoming Day traders because companies like Under Armour have no loyalty to investors, and by nature, Day traders have no loyalty to the companies they trade...me included. I invest in real estate, but I trade stocks. Under Armour executives still get paid full salaries while they run the company into the ground...so the incentive to care about shareholders is tempered by this fact. In 2017 and on, buying and holding stock is a sucker's game. Trade Under Armour Short or Long, but don't invest in them unless you want to lose money.",0.9756
217,I want this thing to go back up some tomorrow so I can sell and move on. I'm already losing with Macy's big time. Dont need this to fail too.,0.0915
218,averaging down on UA worked,-0.2168
219,OUCH!!,-0.6187
220,"Earnings coming out will be interesting to watch. The mask is a $20m program at best, but it is additive. Massive reduction in investment (people, marketing, partnerships, infrastructure) will help bottom line, but my guess is top line will be challenged. Very little energy to drive the top of the funnel. Plus, Piper Jaffrey survey wasn't helpful either..Teens apparel spend down 11% and footwear spend 6% in that group.",0.9655
221,This year there will be a lot of retailers etc. going bankrutpcy imho,0.3808
222,This stock is under a short attack.,-0.6866
223,Large block trades (buys) coming through this morning.,-0.3743
224,"They're changing UA-C to UA to try to prop up demand for the C shares. A shares to change to UAA. Kinda like Google, which made their original symbol GOOG class C, and a new symbol GOOGL as class A.",0.6139
225,Bought at 15.01 today hope we've seen the bottom and it's on the up,0.4873
226,I would like to know what UA did to the Motley Fools to #$%$ them off so bad they go out of their way to bash the UAA stock futures. They do their best to keep the stock prices down. They should be investigated by the SEC.,0.7704
227,"As an investor, I am tired of seeing UAA on the wrong side of issues. Advertising on Hannity's show? Tisk, tisk.",-0.5922
228,Just noticed Under Armour is the #2 thing trending on Ebay right now. Curry?,0.1012
229,"Beat or Miss ? Vote up if you think beat, down if you think miss (or Hardly meet)",0.5059
230,"great buy, read carefully the report, revenue decline just because they were forced to closed so many stores , once those stores reopen revenue claim back immediately one of the best risk awa\rd in the market today",0.8473
231,run.. junk,-0.3495
232,Going to 7,-0.0046
233,Remember only g-ays and school teachers where Under Armour.....,0.1817
234,Kevin Plank should have shut his mouth and stayed out of Politics. He alienated the conservative base and the looney leftists all in 1 week. Meanwhile UAA pays millions to idiot athletes who seem to do nothing but alienate more people.,-0.2488
235,Wow,0.5859
236,This company will be around for a long time. MLB is all in and the fact of the matter is they make a good product. Forget the daily scare tactics...buy and hold.,0.2031
237,what has changed???,0.1707
238,UA reached a 52 Week low at 12.72,-0.1464
239,i averaged down today on it ..,-0.1337
240,"I dun has been tellin everyone from hear to there to buy this dam stock at forty five. I dun tole them northurn aggressionisters to pay forty five and not a penny lesss, them dam fools. Fool me once and fool me twice and then fool me forty five times I dun was a teacher down here and now my students is all hanging around the Walmart parking lot looking for work or so they say. Alls I see is clouds of smoke and bunch of Under Wears hanging out of their pants. Oh lawd, I love money!!! Gimme Money!!! Make every dam thing in Bangle Desh!!!",0.683
241,Pre market trending up. Why? Because they are eliminating workforce in their growing international market. That makes sense! When I want to grow I eliminate staff too.,0.7212
242,Here comes the sell off. Sad.,-0.4546
243,$8 today!,0.1522
244,Good luck to all longs. I've took a profit of 16%. Possibly should have waited a little longer but happy all the same. Bought opd. Good luck all,0.9559
245,Watching this closely. I would have assumed that this stock would be stronger as people are buying ‘stay at home’ wear,0.765
246,"Being pumped, will tumble for lower entry.",-0.6518
247,Why such downfall? Earnings missed a bit with EPS even topping expectations... doesn’t make sense...,-0.0508
248,hahaha jon,0.5574
249,They will have a great quarter,0.6194
250,"No one knew how complicated this health care stuff is, I mean it's really, really complicated. Your president is a moron.",-0.3422
251,"Been a long time since I posted on a board but feel inclined to share a simple thought. Are you asking the right question before inititing a stock position long or short. The First question should always be when to buy or sell not so much what. I had no intention of buying under armour until yesterday.. felt and looked like blood on the street. Never intended to short oil but when it was over 100/ bbrrl and all the macro initiatives solar, wind, higher mandates on MPG on new vehicles, fracking etc... never expcted to buying corning years ago..but when it traded below book value under $10 and gorrilla glass emerging as standard I went long. Wait for extremes don't force anything.",0.9587
252,"Funny how the government can go after Under armor for accounting, but can't look into Trump Businesses???????",0.3037
253,I just bought a pair of the new HOVR shoes. By far the best pair of athletic training shoes I haveever wore. The Nike shoes I have previously wore do not even come close in terms of quality and comfort. Hope this is just the beginning of great new products coming down the pipeline. Kudos to UA!,0.9649
254,You shorties are cute...,0.0772
255,16.5-16.8 today pop.. either ways; 16 is key support.,0.4341
256,It will reach a new 52 week low tomorrow. Who knows after that.,-0.2235
257,UAA is up 5.49% to 25.19,0.1818
