,Recent headlines and conversations for VZ,Polarity
63,"Top Research Reports for JPMorgan, Verizon & Chevron",0.5538
64,Verizon Communications (VZ) Gains As Market Dips: What You Should Know,0.5067
65,Verizon Communications Stock Shows Every Sign Of Being Fairly Valued,0.6415
66,T-Mobile Still Has a Big Spectrum Advantage Over Verizon and AT&T,0.8154
67,Verizon Stock Might Be a Steal After Expanding 5G Spectrum,0.5714
68,Verizon Communications (VZ) Gains But Lags Market: What You Should Know,-0.0695
69,Why Do Millennials Hate Verizon Stock?,-0.398
70,Better Buy: Verizon Communications vs. T-Mobile,0.4911
71,"Verizon Media to Caption all New Videos, Donate $5M to Advance Accessibility",0.4554
72,Verizon Cloud Unlimited: the one stop shop for your data backup needs,0.1806
73,Why Did Warren Buffett Buy Verizon Stock?,0.6473
74,Verizon Response: Severe weather in the South,-0.7288
