,Recent headlines and conversations for CSCO,Polarity
100,"Obama has never been quiet and worked DJTs entire term to undermine him. So stuff your comments in your arzz, Danny boy.",0.4076
101,"Oh look, the cat got into don jrs stash........",-0.0642
102,"The Democratic Party has created quite the mess in the U.S.They have a history of doing that and continue to do so, on a grand scale.- Thy Willby Dunn",0.6142
103,The Latinos say they love speedy Gonzales and they are not at all offended What will demtard cancel culture do ??,0.4544
104,The video that sums up Texas' problems: Arkansas side of Stateline Road is plowed while Texas side ISN'T due to lack of snow plow investment - as ANOTHER storm hits and one million are still without power,0.8799
105,Are we building back better yet?,0.6443
106,Half the country doesn’t even acknowledge Joe as president lmaoJoe is a failure loved by broke failures Nothing more,0.269
107,"John Kerry: ‘We Have Nine Years’ Until Climate Crisis — ‘There’s No Room for B.S. Anymore’------------------------------------------------------------------Understand SnowRooms......YOU....have 9 years (ignore Bill Gates 30 years statement on 60 minutes). All you have to do is replace the 365 billion barrels of oil and the 8 trillion tons of coal the world uses each year.Start building those, wind, solar, battery farms NOW....I'm retired....I'll watch...your turn to do the heavy lifting...",-0.7755
108,Bidet is bringing us a 10-20% correctionall take and no give will do that,-0.2961
109,what is the best fake scriptgame stock or bitcoin?,0.6119
110,Gaso went up 10+% overnightTAXAGEDDON is on the way,0.1873
111,This would not be a good time to buy the dips. Might want to jump to cash. If it will be worth anything.,0.7959
112,"Reconciliation can be used for any spending Bill. For Instance, if Republicans try to obstruct again, Schumer can steam roll them on Infrastructure",-0.2698
113,Dem Joe Markets are Screaming Higher!,0.452
114,Great job! Keep it up!,0.7883
115,"Joe: "" we have put together I think the most extensive and inclusive voter fraud organization in the history of American politics""",-0.1379
116,Scientists all agree that Joe has no plan to tackle the pandemic.,0.7011
117,how much do you think her weave weighs ???,0.2702
118,Is fox news a political party?,0.3667
119,Outstanding Dow FuturesGod Bless,0.7783
120,You guys know the real definition of socialism??I want what you have but I’m too lazy to work for it so you have to give it to me,-0.2206
121,chip is mostly cash.... chip could buy and sale wreekin,0.6125
122,Way off topic...maybewatch the current episode of The Residentspoiler alertblack surgeon kills a white patient and the other black surgeon blames it on systemic racismI SWEAR TO GOD the brainwashing is everywhere,-0.686
123,Will Nike and Gucci outlets have enough inventory for the next round of PEACEFUL PROTEST Roflmao,0.6098
124,Ds HID for over 6 months after hildawg lostwe show you how to be a MAN,-0.1437
125,People are saying we could see 7 or 8% GDP! Don’t be left behind!,-0.5348
126,mars46 seconds agoOT: You are aware that Democrat Governor wanna be dictators doubled the UE rate yes?,0.2915
127,I am a buyer of $csco at $40,-0.2322
128,"Been in and out of CSCO for 20yrs, we all know it’s a dog.I see more downside after earnings. This run the past few days is to soften blow after earnings tomorrow. Back to the low $40’s tomorrow after hours .",0.0384
129,2022 the House and Senate turn RED. How will Plugs and the Ho deal with their impeachments?,-0.2729
130,RUMP INDICTMENTS WILL SOON START FLYING -- HAHAHAHA HAHAHAHA HAHAHAHA HAHAHAHA,0.866
131,0 for 2. She just can't stop losing...,0.5019
132,tRUMP won’t be released from prison in time to run in 2024.....well at least run for president........he may be only running from justice.,0.6365
133,"True, oil is plunging. Too much supply",0.3118
134,"Joe: Folks, we're going back to ""America Last""",0.5773
135,"Does Joe have any vaccines administered yet? He did come up with a great plan to use the Military to assist with the vaccines... oh wait, my bad, that was TRUMPS PLAN.",0.9165
136,Guest on Michael berry says cartels are making over 300 million a year smuggling illegals into the US,-0.5775
137,Hunter is the self appointed drug czar.,0.2287
138,JPM says CSCO goes to $55. They are very smart guys. I wouldn't bet against them.,0.5394
139,"UK quarantine violators face heavy fines, up to 10 years in jailmeanwhilebidet has the invaders heading here again",-0.7034
140,Markets dropping faster than Wreeekie at the sound of a zipper and a quarter hitting the floor!,-0.2213
141,CSCO is grinding higher. Just like our Presidents Approval Rating,0.7754
142,Covid deaths on the rise thanks to byedung’s inauguration covid super spreader event. Lock him up.,0.8336
143,Reeeeking is getting his weekly enema this morning. Might take some time and a cess pool pumping truck with a long hose.,0.8222
144,Lawfirms scaring people out of pre booming stocks.,0.1504
145,Warlock and Ashat ...does it get any worse?,-0.4261
146,Is joe somewhere again calling Calamity the potus?YIKES,0.4557
147,Did the biased media attempt to destroy Obama with false stories every day for several years?,-0.7327
148,"The main thing is, he’s gone. Done. Yesterday’s news. Just a bad memory.",-0.4739
149,Dims only want law and order when they're in power.,0.8176
150,We need to appoint a democratic committee to make sure white face masks are not more effective than non white face masks.,0.3991
151,The Stimulus will Pay for itself!,-0.4211
152,How many RepubliQins will vote for Joe’s Stimulus?,0.1001
153,dumping into the close really sad what joe has done to our market,-0.2315
154,Mares the organ grinder needs some help bad!!! You can make good tips in the park!,0.7176
155,Why are they purging every conservative voice on social media? Is this really the America you want to live in? Because you will be next.,0.7518
156,"@Dear Leader, how do you make time between this message board and your multi million dollar logging business? Oh, and your options trading as well? Hahaha.",0.8912
157,Democrats have shown the world that the 2020 US election was a sham!,-0.1205
158,Cy Cal10 minutes agoFl..A controversial bill related to public protests and demonstrations would enhance penalties for violent protestors and for people who vandalize or destroy property.Make America's Streets Safe Againcy there are reports of a new bill that would make it legal to drive through protestors blocking city streets and highways,-0.8363
159,HiJoe Won.Markets up.,0.1862
160,A United Airlines 747 as in Orlando - dropping tourists off for DisneyWorldProbably confused you .,0.2292
161,"An estimated 40,000 illegals have stormed through the border without being caught in February.Wide open borders and closed schools and businesses. This must be the Democrat vision.",-0.1055
162,"True, 401K statements will look great!",0.764
163,Hey libtirds keep looking up. Some heavy hard things are coming down!!!!,0.4782
164,"Ron thought he was meeting a minor for sects, instead...",-0.0201
165,Joe knows how to get stuff done!,0.6985
166,The Bi Partisan Commission will follow the money. Regardless of where it takes them.,0.0025
167,I am glad you demtards are stuck in poverty generation after generation. I'm also glad Joe isn't doing anything to help you like he promised he would. lolz.,0.9541
168,Nice selfie Mares!!!,0.5684
169,dow - 5 mares it's on cnbc what is wrong with you ?????,-0.3829
170,Hey Joey you sound like you're part of the cancel culture,0.3308
171,"Demtards are happy about the increase in the market, but fail to realize their purchasing power has been reduced by twice as much. Haha.",0.8679
172,Mares sometimes I be thinking Yahoo don't be likes you vera MUCH!!! HUH UH?,-0.6807
173,"Joe will put Xi Jinping on the $100 bill. Or, he will dump the USD entirely and put us on the RMB.",0.0293
174,No mask for Bidung? He is a Covid super spreader.,0.4961
175,Stock market is redder than chicago streets after a peaceful druve-by,0.5673
176,Pelosi says unaccompanied children arriving at U.S.-Mexico border is a ‘humanitarian crisis’. THANKS JOE,0.8456
177,Dats Right He Is!!!,0.3184
178,"Biden blocks $1,400 stimulus checks for 16M Americans after tightening income eligibility",-0.5567
179,sum ting wong is mares new butz buddie,0.1109
180,Have you noticed that as we get more 'diversity' in congresswe go from a CAN DO peopleto a can't do nuffin about it people?,0.5101
181,"Now that they are opening schools, the markets will go higher.i don't know what took so long.Actually i do.",-0.0895
182,7 Trillion in 4 Years! Wow!,0.6405
183,GOP CAVE MAN Rep Votes No On Early Education: Mothers Shouldn't 'Come Out Of The Home',0.4642
184,joe ruined our country and destroyed out record stock market lock him up,0.4482
185,The 'Fed' is available to all President.Cheers!,-0.1135
186,"Joe, did the Managers live up to your expectations?",0.671
187,When the Demtard starts responding to his own posts under a different ID that spells mental illness.,0.3839
188,This market is his going away gift to everybody Republican and Democrat he doesn't care who gets hurt,-0.4977
189,San Francisco sues its own school district to reopen classesjust reopen schools with college TAs who want to work,0.1814
190,"The diabolical left NEEDED religion out of schoolHow's THAT working out for you , nowadays?",0.4283
191,Did Joe end racism? Did Joe cancel your student debt? Did Joe solve the crisis at our southern border?,0.1969
192,Norway called Greg Abbott to discuss wind turbines... it ended poorly,-0.0651
193,Let's talk the guys who pumped Gamestop into pumping CSCO.,0.1678
194,free money free foodfree housing free transportation free education but somehow white e and statues are to blame roflmao,0.8819
195,Ronna mcdaniel blasting dems on Face the Nationmargret scared,-0.6227
196,It's very profitable shorting Joes stock market. lolz.,0.8062
197,48.08+0.83 (+1.76%)At close: 4:00PM EST49.50 +1.42 (2.95%)After hours: 7:59PM ESTAny news?,0.0347
198,Yours be covuhed up with beeg rolls of blubbah aint dat right Mares?,0.1885
199,"Hong Kong rounds up 53 pro-democracy activists. Where's Big Daddy? On the golf course, watching himself on Faux News, or planning his getaway?",0.6504
200,Bill Clinton admitted to having an affair. What a poor example of a leader.,-0.1953
201,Markets as red as the opening between Mario’s cheeks.,-0.2127
202,"The electric-car revolutions needs more plugsAn urgent need for reliable charging stations.Bradley Wilkinson, owner of a 2017 Chevy Bolt, recent road trip from Tampa, Fla to Fort Carson, Colo took 58 hours. In a gas powered vehicle, the 1,900 mile trip would take about 30 hrs. With the Chevy Bolt the trip took the additional 28 hrs due to ‘power up time’ needed to ‘fast’ charge his batteries.Unintended consequences of going ‘green’",0.5656
203,A report out from the White House says the 1400.00 stimulus check will cover bills for millions of families until July ????? What ????Who they hell can live on less than 300.00 per month ??That wouldn’t cover one gold toof,-0.5647
204,Bidick doesn’t get credit for the over 20 million vaccines given by the end of January per CDC count. Joe the shmoe needs over a 120 million done by May 1st to meet his goal of 100 million in his first 100 days. Has Joe even started his vaccine program yet?,0.9525
205,Love how you keep going away.,0.7077
206,"Wreekie Boobbie, mars, mario, Stan, Stolen Robert ID, all WILLIAM.Laugh accordingly.",-0.308
207,"Cisco is just a Old man...Did not move much and EVEN COULD NOT GET UP when the whole market, SPY, NAS, and DOW rebounded earlier...Sorry!",0.7311
208,The left has full and forever ownership of Cancel Culture mentality. Enjoy!,0.7345
209,"How will Joe create jobs? He is killing the stock market, which will cause companies to lay off millions!",0.3329
210,The latest of Joe Biden’s THIRTY SEVEN executive orders signed in the first week of his presidency states that the term ‘Chinese virus’ or ‘China virus’ is now banned.What a maroon,0.5522
211,"CSCO down in light tradingSo... to my Houston neighbors that ratted me out, Heidi is coming for you",0.2119
212,"Mexico has stopped accepting the return of most migrants caught at the U.S. border, prompting U.S. officials to release them into the United States, according to the Washington Post.making America worry again",-0.428
213,When this market falls on it's axe and it will you will be nowhere to be found reeeekie.,-0.2053
214,Mario....Whatta DWEEB!!!,0.0
215,Life jess aint what it be CRACKED up to be is it Tweekie?,0.4391
216,$csco will buy them.,0.0458
217,"Cisco has some great offerings out there. They acquired Thousandeyes but also has a product called IWO. it allows you to manage and right size workloads in public, private, and hybrid cloud environments. Pretty cool!",0.9193
218,Rush was buried Wednesday at the Bellefontaine Cemetery at 4947 West Florissant Avenue in north St. Louis. The line to P on his grave stretches down Florissant to Maple Street and than left on Orchard Ave. Wait time is approximately 3hrs.,0.8517
219,DEA says fentanyl coming in faster then they can track it Theres going to be a lot of overdose deaths this year Really sad actually,0.4976
220,Hunter got a job at the DEA. He handles the inventory of confiscated drugs.,0.603
221,Jay Jay forget the 15.00 MW When the illegals come in we can fire the American workers and hire illegals for 5.00hr cash I won’t have to match SS and Medicaid benefits and no workmans comp insurance Cha Ching baby,-0.5504
222,The great picks don’t drop right in your lap every week unless you have the right access. The only place I know that gives winning access is (http://Fairstox.com). Get your access now.,0.7437
223,looks like bond investors aren't buying Powell's bs which Joe forced him to say.,0.1839
224,Constipated? Reeeking can help. Lots of oral traction!!! FOR FREE!!!,0.874
225,Disney now warns 'The Muppets' are offensive...You know what is offensive? Disney is offensive.,-0.7409
226,Leader of the free World? Lololololololololol,0.6547
227,Recession? With $2.9 Trillion about to be unleashed? I doubt it,-0.6412
228,mares2 minutes agoAmerica is justice.Have a super dayMaybe you didn’t understand the question What exactly do you want justice for ????,0.8833
229,Notorious antisemite Robert Malley joining Biden team as special Iran envoycensorship on Sathow not see,0.6493
230,Mario must have the day off today from stocking shelves at Walmart.,0.4079
231,"Once bitten, twice shyis still truer thanboys will be boys (in today's world)LOL",0.3987
232,CY2 minutes agoCuomo may share a cell with Cosbylooks that wayi thought cosby was dead ?? maybe thats just the way they look ???,0.3173
233,bob he is just doing the maga thingon loan from Q,0.26
234,"Since our new CIC opened the Mexican border wide open, Texas is having to send national guard members and state troopers to guard our border. He really created a mess.- Thy Willby Dunn",0.4864
235,I don't think they like you very much either Mares. Tsk tsk,-0.2094
236,Do you know a guy that can no longer construct and speak whole sentences...Now controls the Nuclear Codes...Think about that.,-0.0571
237,"“A democracy cannot exist as a permanent form of government. It can only exist until the majority discovers it can vote itself largess out of the public treasury. After that, the majority always votes for the candidate promising the most benefits with the result the democracy collapses because of the loose fiscal policy ensuing, always to be followed by a dictatorship, then a monarchy.""even kids get $600",0.1563
238,Joe doesn't even know what the internet is.,0.5759
239,Governor Abbott’s political career is finished.,-0.117
240,Cisco needs to concentrate on producing hi quality hardware and software and their operations in the Indian subcontinent don’t just do that. They should bring back hi tech stuff back to North America’s and Europe and leave the Indians to do the boring and reparative jobs.,0.6637
241,Gaso already up .50 in 5 weekswith another .9M due to be unemployed this weeksowhere's the demand?,-0.0526
242,Mars is making money.Cheers!,-0.1757
243,1/25/2021-----JPM raises the price target of CSCO from $44 to $50.,0.0398
244,hey guys.....eddie is about to stick it to the left.....OK eddie GO!,0.35
245,"Ahh, the mythical eddieI had to put ron and masa on ignore for wasting my timeiykwim",-0.6307
246,CONservatives at the QPAC.........,-0.0225
247,"The incoming regime has no vision, only desire. Desire to rule us, regulate us, take away precious traditions and stomp on our rights. - Thy Willby Dunn",0.888
248,Very strong day in the markets today!,0.5934
249,I guess everybody didn't know that Texas is powered by windmills and not gas.Makes perfect Mar a Lago sense.,0.7191
250,glad biden is doing such a great job with managing the covid crisis new infections below 100000 .... vaccine distribution improved,0.8045
251,"Which demographic is a small percentage of the US population, but also the largest percentage of the prison population? Asking for a friend.",0.634
252,Migrant caravan: Guatemala blocks thousands bound for USbe is ever so humbleYOUR home IS your home,0.4293
253,Posts about bidet's border CRISIS get removedyetall lies were permitted for 4 years,-0.8099
254,1800 carjackings already this year Guess where ???That right chicongo Roflmao,0.7108
255,Leader of the free world is a laughing  stock of the world ,0.848
256,LISTEN: RNC lawyer makes admission to Supreme Court Justices that GOP needs voter suppression laws to win,0.9351
257,when joe said dark days are coming he already knew he was not going to do any work,0.6137
258,Cy2 minutes agohow many id's does kevin have?i think it is around 6 or 7i doubt you can count over 10 so we'll leave it there snicker,-0.3296
259,"In America, corporations can market their products as they pleaseIt doesnt matter to them what mouth breathers think.How about that NASDAQ????",0.3081
260,"CHASERS WILL BURN IN THIS STOCK BUBBLE!The US Stocks are EXTREMELY OVERVALUED and OVERBOUGHT!SELL ALL US Stocks in this TULIP MANIA BUBBLE! The Valuations are ABSURD and IMPOSSIBLE TO JUSTIFY!INFLATION IS SKYROCKETING as the FED continues to PUMP the Price of everything, stocks, oil, gold, home, land, commodities, utilities, food prices and everything!The World Economy is Collapsing, people are starving, but the US Market Makers are too busy in printing money and PUMPING the Stock prices Artificially to make insiders trillionaire without working!Enjoy Free Capital Gains in the US Stock Market while the Corporate Revenues are tanking and the Economy is Collapsing! US Stock Market is a “GET QUICK RICH” Scheme!Dow Jones Industrial Average (^DJI) was 17,000 in 2016, with better economic fundamentals and higher corporate earnings. However, thanks to the Collapsing Economy, Coronavirus Pandemic, Tanking Corporate revenues and earnings, Skyrocketing unemployment, Trade Wars, Record INFLATION levels, and Heavy Stock Dilutions, Dow Jones Industrial Average (^DJI) BUBBLE has almost Doubled! S&P 500 (^GSPC) was at 1600.00 with better fundamentals and higher corporate earnings in 2016. Now it is sitting at ABSURD 3800.00 with TERRIBLE Fundamentals, Collapsing Economy, HEAVIER Corporate and National Debt and way lower corporate revenues and earnings!The World Countries are refusing to accept the US Dollar as international reserve currency due to the HEAVY Dollar PRINTING!US Stocks are INSANELY OVERVALUED and OVERBOUGHT! US Stock Market is a MEGA BUBBLE right now!!!https://www.reuters.com/article/markets-survey-bofa-int/bitcoin-us-tech-stocks-seen-as-biggest-market-bubbles-investor-surveys-idUSKBN29O0UE$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $ZM $XPEV $QS",-0.9898
261,Is Joe giving everyone the 2000????,0.8111
262,DJT failed strongly.This is reality.,-0.625
263,"Free college? More like, since govt pays for college, your kids must adopt marxism otherwise the govt won't pay for their college!",0.7418
264,"Shameful Yahoo doesn't effectively enforce it's own ""terms of service"" against nonsense posters.",-0.8139
265,He is playing shuffleboard in Florida.,0.6566
266,"The good thing about Joe, is he's too old to even remember the nuclear codes.",0.7877
267,Dan Crenshaw has been spotted.........,0.5836
268,John Berman: 'We Know He Lost The Election. It Is Fair To Ask Whether He's Lost His Mind',-0.0753
269,"Alleged voter fraud is being exposed in southern Texas.Four people were arrested on Feb. 11 after being indicted by a Bandera County Grand Jury for multiple counts of voter fraud-related crimes, according to WOAI-TV",-0.6773
270,"Democrats reject efforts to prevent stimulus checks from going to prisoners, illegal immigrantsSenate Democrats rejected efforts on Saturday to keep the forthcoming pandemic-related economic stimulus out of the hands of imprisoned criminals and immigrants who are living in the United Stated illegally.------------------------------------------------------------and you SnowRooms will be picking up the tab….and we’ll get cheap labor, Dems’ didn’t pass the $15 min wage either.You SnowRooms have a lot to pay for…$1,400 for me, the wife, illegals, etc. $17 trillion for the “Green Plan”, National Debt, etc…..keep up the good work.The ultra-liberal political elites (who own the dems) also want to thank you for all the cheap labor…",-0.603
271,ISIS loves joe Byedung!,0.8311
