,Recent headlines and conversations for GS,Polarity
14,Nothing is sacred anymore...https://www-nbcnews-com.cdn.ampproject.org/v/s/www.nbcnews.com/news/amp/ncna1125026?amp_js_v=a3&amp_gsa=1&usqp=mq331AQCKAE%3D#aoh=15820430613860&referrer=https%3A%2F%2Fwww.google.com&amp_tf=From%20%251%24s&ampshare=https%3A%2F%2Fwww.nbcnews.com%2Fnews%2Fus-news%2Fboy-scouts-america-hobbled-multiple-sex-abuse-lawsuits-declares-bankruptcy-n1125026,0.114
15,"PALS TAKE NOTICEWhen you play the What-If? game, look for things that make you feel better. There is never a situation in which there is not a way out—but, out of habit, most people continue to choose the “lack” perspective until they eventually find themselves where it seems that there are no more choices. But as you hold to your intention to look for evidence of Well-Being and thriving and success and happiness, you will tune yourself to the vibrations of those things—and so those kinds of good-feeling experiences will dominate your life.Excerpted from Money and the Law of Attraction on 8/31/08Our Love,Esther",0.9595
16,The e-mails are now reporting that the Hilly campaign is asking CNN to show favoritism towards her. Proof there is full collusion between who owns the media and our political parties.Is this not what brought the man with the funny mustache forward? Not to mention the banking scammers and just about everybody else who belongs to their chosen group.,0.9254
17,$NIOStill waiting for season 2https://www.youtube.com/watch?v=whlzFWwVv98,0.066
18,"Could the market drop 1,000 points today ahead of the last weekend before The Election? We have maximum uncertainty. Markets hate uncertainty.",-0.8643
19,"FWIW, the Michael and ASMDI Clans have both been tasked to help try to bring the Chinese Trade Negotiations to a Positive and Amicable Conclusion...",0.8755
20,Should be already $210.00 easy,0.54
21,Iran cannot be mentioned on this board and I know why,0.3411
22,Analyst targets are mid to high 200's. On what basis?,0.3583
23,NEW FLOOR BROKERS MANIPULATING GS STOCK,-0.116
24,"I get the grim stress test, virus news, and recovery prospects on $GS today (down 6% early). I am curious about how low the experienced GS watchers here think the stock is likely to go. You know more than I do about GS.",0.3376
25,Let's be reminded what GS has done.https://en.wikipedia.org/wiki/Goldman_Sachs#Controversies_and_legal_issues,0.0394
26,5 mil buyback and a dividend raise. great news for GS. Undervalued here near 52 week low.,0.8791
27,Boiler rooms operation is going on by Wall Street Mafia to make all the weekly options bought in anticipation of good earnings before the earnings.,0.652
28,Bond prices falling even when stocks are having a very bad day. That is soooo not a good sign!,-0.261
29,"Unemployment rates edged up year over year in Mississippi, Arizona, North Carolina, Indiana, South Carolina, Kansas, Missouri and Nebraska, according to the latest numbers from the Bureau of Labor Statistics.All eight states went to Trump in 2016.",-0.6672
30,"Stephen Moore, Trump’s pick for Fed, has $75,000 lien for unpaid taxes. ONE OF THE SAME",-0.1364
31,52 week low coming..,-0.2375
32,"It may be too late to reverse course but the UNHRC's call for a boycott of business which do business with Israrli Settlements may have just cost the Pals nearly $3 Billion in Outside Investments in a West Bank Economic Free Trade Zone Industrial Complex, for which the Pals would have been the greatest beneficiaries. Good job UN, keep up the good work. When the Pals realize how badly this proposed new boycott has backfired on themselves, they can maybe just send a delegation to Iran and ask Iran to provide the job creating investment money instead...",0.9762
33,see we asked twenty seven rabbis what is the most important lesson of the Talmud???????,0.4303
34,GO EAGLES !!!!!Soar High above the PatsYear of the NFC,-0.6355
35,"WE CREATE OUR CIRCUMSTANCESPhilosophers have long struggled with the great question of our freedom of choice on the one hand, and our belief in a higher destiny on the other. Is life determined by fate, or do we enjoy genuine freedom?Generally, Judaism would seem to subscribe to a personal freedom in matters of morality, faith and the ethical choices we make in life. But when it comes to things like life and death, and even health and wealth, much as we would like to think we are in the driver’s seat, we do seem to be subject to forces beyond our control. Where we live, how long we will live, how comfortably we will live—these are all in G‑d’s hands. Where we can and must choose is what kind of life we will lead. Whether it will be a G‑dly, righteous, upstanding, decent and honest life—this is up to us, and us alone. G‑d steps back to grant us the freedom to determine how good, how kind and how Jewish we will, or will not, be.And Jacob lifted his feet and went on his way (Genesis 29:1). This verse from our Parshah tells of Jacob’s journey in his escape from the wrath of Esau. He was en route to Haran, where he would eventually establish his family and lay the foundations for the Jewish people. But why the curious language, “And Jacob lifted his feet”? Does the Torah really need to tell us that in order to move, we have to first lift our feet? Was he stuck in a swamp or something?So many of us look at our circumstances and shrug our shoulders, “Nu, what can you do?” If we were born into poverty or raised in a less-than-privileged environment, we resign ourselves to being doomed to failure. So many people have told me that they were part of the “lost generation” of Jews who had no Jewish education or upbringing. Their immigrant parents were so busy surviving in a new world that they had no time or headspace to raise their children with the Jewish value system they themselves had back in Europe. Tragically, these individuals felt that, Jewishly, they were lost forever.Rabbi Jonathan Sacks (Chief Rabbi of the United Kingdom) tells the story of how, as a young philosophy student at Cambridge, he traveled the world visiting great leaders. When he came to see the Lubavitcher Rebbe, the Rebbe asked him what he was doing for the Jewish students at Cambridge. He began by saying, “In the circumstances I currently find myself . . .” whereupon the Rebbe interrupted him and said, “No one ‘finds himself’ in circumstances. We create our own circumstances.”Of course, there are times when we will find ourselves in circumstances beyond our control; but throughout life, we will find ample scope and opportunities to improve our own circumstances. G‑d gives each of us our own unique qualities, talents and potential, and it is up to us to use and develop these gifts. Life is full of inspiring examples of individuals who have overcome disabilities and disadvantages of one kind or another. In the Jewish world, many have risen to prominence from the humblest beginnings. The Torah is the birthright of every Jew. We just have to go out and claim it.The words of our Parshah are quite deliberate and well-chosen after all. “Jacob lifted his feet and went on his way.” Some people follow their feet wherever they will take them. No matter the direction, they simply coast along, allowing their feet to lead them.Not so Jacob. He was master of his feet and master of his circumstances. He set his feet on the right road, and became master of his destiny.",0.9986
36,"The D' Party Couldn't Have Been More Logically Inconsistent At The Years Convention If They Tried. Out Of One Side Of Their Mouths They Called For 'Civility' But Out Of The Other Side They Continued To Attack President Trump. Ok, What's Fair Is Fair. Let's See What Happens When BLM Get's Woke And Realizes That The Democrat Party Has Been Directly Responsible For The Unnecessary Termination Of 20Million Black Babies Since 1973 R v. W. Is There Such A Thing As Abortion Holocaust Reparations?",0.7638
37,"All Politicians who speak out like Maxine Waters has done should be in my opinion kicked out of Congress and held responsible for any damage to property or life by what they say, you can't go around saying thing's that could create a riot or worse. Maxine as been spreading her hate speech for year's now and should be held accountable, IMPEACH MAXINE MEMBERS OF CONGRESS IF YOU HAVE ANY HONESTY AND INTEGRITY LEFT IN DC. Investor's need to find other investment's instead of only in the Market, CASE CLOSED. God Bless The USA.",0.8989
38,"JMO, but without access to the latest Commercial (not Military) U.S. Chip technologies China could not maintain even its' favorable current position in consumer electronics manufacturing, let alone growth into new areas. One of the possible examples of U.S. leverage over Chinese Trade Negotiation Policy could be future access to 5G Chip technology which China does not now possess in sufficient volume to become a major factor into in the Consumer Electronics market.",0.9627
39,"""Let he who is without sin cast the first stone"". I vote yes on Kavanaugh!",0.3756
40,"Down over 2%, Good. Couldn't happen to a better company.",-0.1679
41,"Yes, Vice Premier Liu is ""Coming to make a deal""...Have already ""backtracked"" on everything...The Chinese know MORE about trading and negotiating...Than Donnie will ever knowSame as his Art of the DealAnd LOSING 1.7 BillionDonnie's ego doesn't realize it...But he is being played...By the MASTER TRADERS and NEGOTIATORSDonnie will BLINK...So he can say...I WONROFLMAO",-0.2904
42,Maybe this will give some boost to Bank stocks and give GS a platform to rally from this $240 support level on Monday ... Monday will be an interesting day to see the reaction to this ... GLTAhttps://www.cnbc.com/2018/04/29/china-eases-restrictions-on-foreign-ownership-of-securities-ventures.html,0.8806
43,is this really trading below book value?,0.2511
44,"Time to add, big brokerages always have some sort of post-election snapback rally!",0.4713
45,-$7 from high already? What’s going on,0.3864
46,EPS 18$...... Growing like Snowflake....,0.4939
47,Debt repayments for your children and grandchildren for decades to come.,-0.3048
48,"Trump's trade policy and that nut job Navarro are gonna cost him the election. Been sayin' it for two years. Everything else pales when you lose farmers, steelworkers, miners, auto workers. That's Ohio, Michigan Pennsylvania and probably Florida. The cracks in his Wall St. support are also starting to emerge, w/many fearing Trump would pursue a ""scorched earth"" trade policy in his second term w/no election overhang facing him at that point. You think Trump is unbridled now.......................... And every interview Navarro gives betrays the fact he is completely off the rails. The only question is who fails to use his inner voice more between the two of them. I remember well when Trudeau questioned Trump's trade policy and Navarro's retort was that a ""special place in hell"" was being reserved for him.",-0.4259
49,Powell to the rescue...Donnie ZERO...Jerome TWOCongress MINUS TEN,0.3204
50,Biden will raise taxes and this company thinks that's ok. They are in the can with Biden. What a joke,0.69
51,A record 20.5 million jobs were lost in April as unemployment rate jumps to 14.7% WHERE IS TRUMP ON THE EMPLOYMENT. REMENBER HIM THE 3.5,-0.8044
52,Can someone explain why with good earnings and high volume. Thus stock ended today with 2 plus changes? Brought this morning at 220. Hope for a better day tomorrow.,0.9501
53,Another day to SHORT the openLETS GO,-0.6512
54,"What Goldman Sachs really needs to do to accelerate its growth rate and strengthen its technology leadership in the investment industry is to buy this fast-growing semi-conductor company that has products with high demand made by cutting-edge technologies and with its stock trading at dirt cheap level, making it a steal and great fit for GS (and a great contribution to the U.S.). Even if GS just got 25% ownership of the company, it already has the right to get a couple seats in the board and participate in daily operations to see these world leading technologies and top-notch manufacturing process in their own eyes and have a say in this company's major moves in the future. It would be similar to American companies' and institutions' ownership in ASML, one of the most important semiconductor company in the world.Rumor is that some big suitors are already getting their hands on this global high-tech gem. This small super tech may double in price in a swift (it already has since we started covering it one year ago), closing the opportunity of cheap buyout soon. Read our last analysis and you’ll see.https://seekingalpha.com/instablog/40777835-gathon-capital/5529995-united-state-is-losing-golden-opportunity-to-be-major-shareholder-of-worlds-best-tech-companyhttps://seekingalpha.com/instablog/40777835-gathon-capital/5519600-big-investors-swarm-nvidia-ge-of-china-after-astonishing-profit-growth-in-q2-and-q3https://seekingalpha.com/instablog/40777835-gathon-capital/5495008-ge-qualcomm-ti-apple-should-acquire-ge-of-china-for-dirt-cheap-price-nowhttps://seekingalpha.com/instablog/40777835-gathon-capital/5490372-ge-of-china-enjoyed-strong-profit-and-growth-amid-corona-virus-outbreak",0.9934
55,"Breaking: Not only has the Impeachment Chaos backfired against D's, but, are you ready for this... ... President Trumps National Approval Rating has just jumped to 63+%, the highest level since it was first monitored...",0.9258
56,long,0.447
57,"GS trading revenue must love the increased volatility. At the end of the day, I believe that it is calling the shot. Increased earnings next quarter for sure. The question is by how much? Merger acquisitions will be hot with repatriated money",0.8352
58,"SHAME WHAT IS GOING ON IN THIS MARKET, A SHAME OF MANIPULATIONS BY HEDGE FUNDS",-0.8122
59,"If the Senate passes that tax reform bill without scoring it I will have lost what remaining respect I had for Congress. So, the Senate would allow the deficit to spiral out of control so it would raise taxes later? I'm not buying it.",0.0933
60,"JimmyOnce again not much will happen, GS is far and beyond the best financial company out there. Earnings proved that. With so many ETFs created GS has to run with the banking /financial sector. The sector is going to flip flop and not dona whole lot till you see economy recovery signs, it’s also based on a vaccine and consumer spending. Once all that comes together the financials will take off. For now it’s going to trade in a range. Don’t know what else to tell you, it’s all about the Economy for the financials.There will be a strong sector rotation into GS eventually.Everyone like you will break even or sell at a loss, and within a month or two after you sell you’ll look back and see GS at $265 and wonder why the hell did I sell. Human nature that’s why.",0.9402
61,"A readRabbi, you might say, the entire notion of a “Chosen Religion” might be true if G-d did indeed appear at Sinai. But can you prove that he did?The Sinai episode is an article of faith, yet I suggest that you give honest consideration to the following thought. Billions of people throughout the world heard about Sinai from their parents. These parents heard it from their parents, who in turn heard about it from their own parents. This chain of tradition goes back thousands of years, but it had to originate somewhere.Is it reasonable to assume that at some point in history a group of scholars persuaded an entire generation to accept a hitherto unheard of tale of fantasy? Is it reasonable to assume that not a single voice of dissent was heard at that time? If there was dissent it would surely have been recorded.By contrast, is it any less reasonable to assume that the original transmitters of this tradition believed it because they experienced it themselves? (3)Footnotes 1.Genesis 12: 1. See also Genesis 12: 4. See Nachmanidies on Genesis 12: 2. 2.recorded in many midrashic sources including Bereishit Rabbah and Pirkei D’r. Eliezer. 3.This essay is partially based on Likutei Sichos v. XXV p.48 and Shaarei Emunah p 52 (R. Menachem M Schneerson, Rebbe of Lubavitch, NY, 1902-1994).",0.9896
62,"The 60+ disrespectful Democrats do not know what it is to be an American.They ask for: TOLERANCE - and they are the most intolerant.They ask for: PEACE - but they are the 1st to organize paid agitators.They ask for: CIVIL RIGHTS - but they are the 1st to oppose dissenting rights.They ask for: RESPECT - but they are the 1st to insult any other opinion.They ask for: EQUAL RIGHTS - but they are the first to DEMAND special rights.They get Special Rights: Like NAACP and they use it to organize anti white sentiment.They ask for Justice: - but they are unable to deal fairly with anyone not of their party.They ask for OPPORTUNITY: - but when they have a President of their choice, they still make excuses.They ask for Patriotism : - but they are UNPATRIOTIC, DISRESPECTFUL to the Office of the President.",0.979
63,"I'm waiting for this huge short squeeze, built very strong support at roughly 170 after a miserable week. this week we'll see who are the weak hands and who will actually make money",0.2436
64,Donnie to hold Press Conference at 3 pm...You know what that means...Double up on Morning short positions,0.4266
65,The Deporter In Chief is heavily campaigning for Jumpin Joe in Florida. Does he think High Spanic memories are as poor as Joe’s?,0.639
66,Goldman nears it 52 week low of 210Lots of money lost in gs stock in 2018..More losses coming...,-0.6734
67,Malaysia files Criminal Suit against Goldman Sachs..Breaking News!,-0.6159
68,"They are OUT enmasse...Pushing Donnie's economic and employment REBOUND hopesMnuchin, Kudlow, Hassert...Only Hassert is staying on safe ground...Not making PREDICTIONSNo one addressing the low participation rate...Take that into account...And April was already at 20%...And May will most likely be in 25-23% range...And THESE don't include folks who are ON PAYROLL...Because taxpayers are footing the bill....Like Airlines and PPP programsMnuchin and Kudlow peddling the ""expect to be re-hired"" in next 6 months...Have they talked to employers...Who are not saying anything...About massive return to work anytime soon...Or even in next 6 monthsOn top of that...Come October 1...MASSIVE firings by Airlines...As their 6-mo deal with Mnuchin is up...Expect same from many othersAnd then there is the possibility...Of return of the virus in the Fall...And NEW LOCKDOWNSJUST IN TIME FOR ELECTIONS TOO",0.9375
69,President Trump Is The Most ProLife President In U.S. History; Everything Else Is Commentary...,-0.395
70,"The same software which was found to have incorrectly flipped 6000 votes to Biden-Harris and away from Trump-Pence, has now also been found to have incorrectly flipped votes in the Connecticut 90th District to the D' House candidate and away from the Republican House Candidate. The error in Conn. was discovered in enough time to be corrected and surprise, surprise, surprise, it flipped Connecticut's House race in that District to the R' Candidate, who is now in the lead...",-0.5374
71,"W.S RUMORS 2 HEDGE FUNDS ARE MANIPULATING TESLA STOCK, WHERE IS THE SEC",-0.2522
72,Stock optimism swells #$%$&P 500 hits most overbought level in 22 years,0.7481
73,"PEOPLE GOT NO JOBS, NO MONEY TO PAY RENT, OR TO EAT BUY CLOTH, HOW CAN THIS MARKET GOING UP. SOME ONE TELL ME",-0.0151
74,Fast : (& loose with the facts):The Pals have made their own bed choosing eternal jihad ...Israel & American Js have poured millions into improving Pals lot.They turned over thriving businesses in Gaza to pals who in turned shuttered them to open weapons factories ..Israel  has provided Pals good paying jobs with companies like soda stream who opened in industrial zones in disputed territories.However your ilk boycotted and Soda stream moved their factories and plays lost their jobs.Truly I understand your zeal to foment hate against the Js state. It’s who you are. However I must insist the facts be presented ...,-0.7746
75,Bail Out CORPORATE AMERICA...The Airline Industry has had record profits...Year after year...For over the last 10+ years...So let them take a los...That is what Business is about...Not for the GOPhers obviously...They need to BAIL the corporations...With taxpayer moneySaving GM was about the ripple effects...Of the entire Auto industry...And its not like...GM had lots of profits eitherLets help the INDIVIDUALS who are directly affected...With handouts...And small business with interest free loans...Not Corporate America...Shareholders can pay,0.8368
76,JUST HOW ACCURATE IS THIS SIX MILLION FIGURE?????????????????????,0.3602
77,$GS BUY THE DIP. WAY OVERSOLD,0.3645
78,"May 3rd, i bought at 228 ... and was scared",-0.389
79,THANKS GS FOR THE 300 SHS I BOUGHT AT $188.23,0.4315
80,makes 0 sense why sacks is down this big today a tad bit sure but $4 somethings up,0.4595
81,"SEARING INDICTMENT The man charged with bribery, fraud and breach of trust has nothing to sell other than disseminated lies and slung mud,"" Gantz tweeted about Netanyahu a week before the election. ""Israel needs a full-time prime minister.""But while Blue and White has talked up Gantz's military background, Likud has sought to portray their opponent as soft on Iran and too conciliatory towards the Palestinians.Gayil Talshir, a Hebrew University political scientist, said Israel still appeared to be split, reflecting the inconclusive outcome of elections in April and September last year in which neither party could form a ruling coalition.Blue and White led Likud in opinion polls for weeks during this campaign but recent surveys have shown Likud pulling slightly ahead.""The trial is super-important... the centre and left in Israel is going against Netanyahu,"" Talshir said. ""But his (Netanyahu's) own base is rallying around Netanyahu.""'PROPER CONDUCT'Tall and athletic, with a fondness for folk singing and motorcycle riding, Gantz was a consensus figure for Israelis when chief of the conscript military between 2011 and 2015.But what he would do in power is not entirely clear, as he has sent mixed messages.He casts himself as more diplomatically accommodating than Netanyahu, urging redoubled efforts to restart peace talks.But while Palestinians may prefer Gantz to Netanyahu, there is little fondness for him after two wars in the Gaza Strip, a self-governing Palestinian enclave, while Gantz was in charge of the Israeli military. About 2,300 Palestinians were killed in the fighting.He has also publicly embraced U.S. President Donald Tr",0.9815
82,PROBLEM WITH THE PALS IS QUITE SIMPLE THEY HAVE FIRE IN THE BELLY CAN BE OFFSET BY CREATING GOOD WILL AND AT THE SAME TIME USE OF ILL WILL CHECK WITH YOUR SOCIAL SCIENCE EXPERTS AND LEARN,-0.0323
83,Buffet is in GS!Load up!Just purchased!Fiona,0.2958
84,The leader of Hamas was just in Iran bragging about how his missiles could hit anywhere in Israel. My guess is he wasn’t bragging about how he pleaded and was granted the admission of his family to Israeli hospitals.,0.6606
85,"Rabbi Michael LernerTranscript of Selected Parts of the DiscussionML: I am a strong supporter of the right of Israel to exist within secure borders, those that existed before the 1967 wars… and the Palestinians having a state of their own with their capitol in East Jerusalem. A reasonable compromise that would satisfy the fundamental needs of both peoples…. However, none of this is going to happen until the United States is willing to take a much stronger stance…[which] might well include doing to Israel what was done to Cuba, namely an embargo and preventing trade until Israel is willing to abandon its current policies and negotiate a reasonable settlement for both peoples.",0.9644
86,Upside down on that car loan? No problem we'll just add it to your next car loan! Hahaha!,0.5056
87,I just received a fundraising letter from President Obola seeking money for Penetrator Joe’s campaign. If no money comes in Joe’s out.,0.5857
88,"Suppose the market is telling us the $350B SBA loan forgiveness program (PPP) is running like a well-oiled machine, lol",0.8193
89,Goldhttps://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/49324975,0.0
90,$240 by end of next week (July 27th) .. its all there in the options,0.0547
91,"For those that have early stage dementia it is useful to have certain ""helping words or phrases"" that serve as springboard or prompt to starting a sentence or recalling scripted lines and talking points. So when he starts to get a little lost Biden uses words or phrases like: ""Look"", ""Folks"", ""Here's the Deal"", ""C'mon"" or ""C'mon, man"". ""all Americans"".",0.701
92,"First Son-in-Law proclaims...Virus containment a ""Success Story""Guess he must be right...After all, Same category as- Taj Mahal casino- Trump Airways- Trump University, etcALL HUGELY SUCCESSFUL",0.9194
93,ANY ONE HERE KNOWS WHO IS MANIPULATING GS,-0.1694
94,"Unfortunately, the proposed stimulus package will do very little. It isn't even a half-step. For most, it will simply prolong the inevitable---both individually and for small business (i.e. restaurants and anything indoor or in enclosed spaces). 40% of America will be dancing around default and bankruptcy over the next 6-9 months.",-0.8528
95,M.S HEDGE FUNDS ARE PROTECTING THE DOW STOCKS WITH BUYS. TO KEEP THE GAME GOING,0.1068
96,Been a massive short squeeze over the last month and a half. JPM rallying strongly too. The banks are wide awake right now and that includes the regionals too. Shorts need to get out of these names now if they want to save the money they made in March.,0.6369
97,Convalescent plasma is not working poor trump 5 in a row,-0.4871
98,"Stop blaming. victims , make penance and accept responsibility...",-0.5947
99,GS-PA is up 6.37% to 17.29,0.1818
100,There goes the PRE-MARKET bounce...Goldie in RED DRESS...Looks CHARMING,0.6143
101,"Barry says he’ll take vaccine on tv, but what will really be in the syringe?",0.4169
102,$GS Barclays lifts the target to $420 from $392www.stocktargetadvisor.com/blog/barclays-raises-target-on-goldman-sachs-groupgsnye-to-420-from-392/,-0.0342
103,"Kurds helping Allies in WW 2....By 1942, the Iraq Levies consisted of a Headquarters, a Depot, Specialist Assyrian companies, 40 service companies and the 1st Parachute Company, which consisted of 75% Assyrian and 25% Kurd. The new Iraq Levies Disciplinary Code was based largely on the Indian Army Act.By 1943 the Iraq Levies strength stood at 166 British officers controlling 44 companies; 22 Assyrian, five Mixed Assyrian/Yizidi, ten Kurdish, four Marsh Arabs, and three Baluchi. Eleven Assyrian companies served in Palestine and another four served in Cyprus. The Parachute Company was attached to the Royal Marine Commando and were active in Albania, Italy and Greece. In 1943/1944 the Iraq Levies were renamed the Royal Air Force Levies.Another HISTORY LESSON for the Dumb Donnie",-0.7847
104,BREAKING! Trump advisor Larry Kudlow saying that the impact from the virus has been “contained.”,0.1345
105,Here is famed Bank analyst Bove saying stay away from GoldieAnd the class-action lawsuits are now beginning to PILE UP toohttps://finance.yahoo.com/m/704b3b9f-09a6-3bd2-aaa4-972310308ee3/stay-away-from-this-one.html,0.5063
106,How can Goldman be down with the market up 180?,-0.0279
107,$NIO should be $20. Buy now b4 u miss the spike $!,0.2296
108,WEST BANK WHO IT REALLY BELONGS TO?????????????????????NOT THE ANCIENT PEOPLES,0.4031
109,"Wells Fargo analyst Mike Mayo said in a note that Goldman's two consecutive strong quarters in asset management, investment banking and investment and lending outweigh concerns about some softness in the firm's performance in equity trading. ""We believe that management can address shortfalls in trading to close the gap with U.S. peers,"" Mayo wrote. ""Operating leverage and capital returns via buybacks augment growth.""",0.8404
110,"30 days to $FSR earnings. (May 27th) And when $GS announces SELL rating on a stock, it jumps during the earnings. Because it hasnt started to price in yet....",0.616
111,"Almost exactly 3 months ago, Jim Cramer said GS should go up. On June 15, GS closed at 206. Today, 3 months later, its 200. Maybe the only way to reduce the number of bad calls he makes, is to make fewer calls. Kinda like Bumblin Biden. In order to have him say fewer gaffes, order him to say fewer things.",0.8088
112,New COVID-19 cases are the inevitable outcome of reopening by Trump Serial Killer too quickly: Doctor Uché,-0.7187
113,"Shthole yahoo deletes my posts after closing the $NIO board. Corrupt thieves working for sure together with $GS crooks. Yahoo acts like the brother of Kim Jong Un, and his name is Ya Hoo.$KNDI, $NKLA, $KODK, $WKHS etc. Are scam.",0.0395
114,International Banking Norms Could Change on 29 Mar 2019 When the BIS (Bank of International Settlements) in Basel is Expected to Go Back On The Gold Standard. This Same Date Appears To Be A Key Date For Deciding About th Intermediate BREXIT Outcome...,0.5474
115,AAPL offer for NFLX is $410 cashAnd stock this week. News pending!! The question is will GOOG upthe offer to $425,0.4891
116,"CROWN 613 ALL LIES BY TRUMP W.H. Company president Yutaka Katada said Friday he believes the flying objects seen by the sailors could have been bullets. He denied any possibility of mines or torpedoes because the damage was above the ship's waterline. He called reports of a mine attack ""false.""",-0.8417
117,ARE WE ALLOWED SAY MERRY CHRISTMAS?????????????,0.6848
118,"No Donnie...Wasn't Lawmakers who created this trade deficitWas the same corporationsWho went to China because of CHEAP laborAppliances and ElectronicsThat you are now targeting for tariffsIts the American consumer that losesAnd Chinese tariffs...Hit American supply chain...a million US jobs at stakeIts America that losesEspecially the States that voted for youYou want to ""Art of the Deal"" with XiYOU LOSE EVERY DAYChinese people don't voteAnd government has enough cash to keep them happyAmericans voteAnd government will have to BORROW more moneyFurther negating any benefits of tax cutsLIVE and LEARN",0.182
119,Goldman Sachs the Luckin Coffee of the USA. Use this for their new nickname. It fits them,0.4014
120,Trump Is a Super-Spreader of Disinformation - The Atlantic,-0.0362
121,"Why SENS now from DEXCOM user.As a Type 1 Diabetic this is an absolutely revolutionary piece of technology.Non-diabetics might not understand the full importance of something like this kind of technology. Managing our blood sugars is a full time job, that requires you to make decisions that will ultimately affect your life and well-being.There’s an estimated 422 million people with diabetes. Of those 422mil only 6% receive the proper care and are in range with their sugars. Sugars that are too high on a day to day basis have a significant compounding effect that leads to:- Pancreatic Cancer- Blindness- Loss of limbs- Heart attack and heart disease- StrokesCurrently, CGM’s are a luxury that few can afford because of the monthly costs to change their CGM every few weeks. With a long term implantable CGM this totally changes the game and makes it a lot more accessible to EVERYONE.Truly a remarkable company, product, and vision. If I had to guess I think it will be a DIRECT competitor to Dexcom and Abbots FreeStyle Libre.Enjoy the ride everyone this has tremendous room for growth. ",0.9904
122,Hey LT are the Proud Boys from the Emerald Isle?,0.4641
123,"SHADES OF Peace Now to the High Court: Stop the cash flow to Amana!12.2.19Following the exposure of the annual transfer of tens of millions of shekels to Amana from various settlement authorities, Peace Now is petitioning the High Court of Justice to close the money tap. The demand to end the flow of funds to Amana is based on the facts that Amana is a private for-profit entity ineligible to receive these funds, construction in the occupied territories is not one of the Ministry of the Interior’s criterion for allocation of these funds, and that Amana uses the money to build illegal outposts.Last July, Peace Now published information on the Mateh Binyamin Regional Council’s subsidies after a long legal battle, due to the council’s attempts to conceal the matter. The information revealed that one of Amana’s most significant sources of funding, which amounts to tens of millions of shekels per year, are the funds transferred to it by various authorities in the West Bank.As published in the Israeli media, from the years 2013-2015 Amana received over NIS 94 million from various authorities in the West Bank, contrary to regulations and against the law. For more information on financial support transferred to Amana, read here.",0.9902
