,Recent headlines and conversations for GE,Polarity
80,Are You Looking for a High-Growth Dividend Stock? Portland General Electric (POR) Could Be a Great Choice,0.8101
81,GE Aims to Slash Debt by 35% by 2023,-0.5436
82,Is GE Stock A Buy After Biggest Deal In Turnaround Era?,0.2977
83,GE Sells Aircraft-Leasing Unit to AerCap: What It Means for Investors,0.4019
84,"General Electric (GE) Provides Outlook for FY21, Announces Deal",-0.0148
85,"GE Says Momentum Is Building for 2021, and Sets a Reverse Stock Split",0.395
86,Use the Recent Bounce in GE Stock to Sell into Strength,0.6606
87,"Zacks.com featured highlights include: Fortune Brands Home & Security, Crown Holdings, Mr. Cooper Group, Callon Petroleum and Portland General Electric",0.7568
88,What Investors Learned From GE's Investor Outlook Meeting,-0.0101
89,Why General Electric Stock Got Demoted Today,0.0512
90,Boeing Reportedly Nearing Huge Southwest Order,0.5956
91,Why General Electric Stock Is Down Today,0.0599
92,General Electric Goes for Growth in Renewable Energy,0.553
93,"Thinking About Buying Stock In Xpeng, GE, Tesla Or Apple?",0.5677
94,2 Big Takeaways From GE's Investor Day,0.2195
95,Is GE Stock Ready for a Turnaround?,0.541
96,Do Not Buy General Electric Stock. Period.,0.4067
97,Holding Slovenske elektrarne d.o.o. -- Moody's affirms HSE's Ba1 ratings; changes outlook to positive,0.687
98,GE signs 1GW Spanish framework deal,-0.3621
99,GE Nears Deal to Combine Air Leasing Unit With AerCap,0.4279
