,Recent headlines and conversations for IBM,Polarity
48,Rometty has done a good job. She should retire and give someone else a chance to lead the company from here on. A new vision is needed.,0.8226
49,Why does it not buy it shares back like intel has! Show some support for the shareholders if you believe what your doing is right Mr. CEO and board,0.9112
50,There is only so far u can go by trolling your antiquated patents..The only dept that is growing within IBM is the legal department raising & fighting law suits..,0.3953
51,Wealth Destruction 101: Lesson 1 - Buy IBM stock. Lesson 2 - Hold long term.Lesson 3 - Buy more as price drops.,0.6886
52,"i think IBM will be around for a long time but, as a much smaller company. No longer a machine company. imho",-0.0592
53,DO NOT STEP ON THIS PUMPED UP LAND-MINE EITHER UP OR DOWN TODAY - WAIT UNTIL WEDNESDAY.,0.3257
54,"IBM is not Sustainable - Ginni Rometty needs to go! For those buying for the dividend, note your share loss.https://www.forbes.com/sites/petercohan/2018/04/18/dont-buy-ibm-it-lacks-sustainable-competitive-advantage/#5eaa84b8e408",0.5545
55,"??split?? Not likely. IBM casts a wide product net and pays a dividend to boot. A spin-off of pertinent subsets to,on say, CERN or VEEV for example. My short term target (From 121) is 155, by Jun.",-0.5802
56,George Harrison would have been proud.,0.5464
57,"Why is IBM still giving Ginny Rometty bonuses of $4.25M a year when she literally destroyed thousands of employees' livelihood and made major strategic blunders for her entire tenure? Stop this nonsense and remove her from the Executive Chairman role. Give her bonus money to the legal team that has to fight her age discrimination layoff practices that she pushed while CEO.Mrs. Rometty’s bonus for 2020 was $4.25M, which represents 85% of her target bonus for the year and is in line with the Company incentive score. The Committee considered Mrs. Rometty’s efforts in ensuring a successful transition to Mr. Krishna throughout 2020 in recommending this bonus. Key accomplishments included: • Mentored CEO on Board matters and transitioned key government, client and investor relationships. • Led the Board, including continued Board refreshment with the naming of one new director. Average Board tenure is now 6 years (below S&P 500 average of 8 years). • Continued to represent IBM as a leading voice on policy matters and in forums such as the Business Round Table, Business Council, China Development Forum, Singapore Advisory Board, Business Executives for National Security, and France Tech for Good.As disclosed by the Company in December 2020, the Board approved certain arrangements in connection with Mrs. Rometty’s retirement from the Company effective December 31, 2020. The arrangements approved by the Board included a post-retirement consulting arrangement for a three-year period following her retirement for services that the Company may ask her to provide from time to time, as an independent contractor. The fee for such services would be $20,000 per day for each day she provides 4 or more hours of services, and $10,000 for each day that she provides less than four hours. To help facilitate these services, the Board also agreed to provide continued use of IBM office space and an IBM assistant during this three-year consulting arrangement.",0.9967
58,Does purchase tomorrow 11/6 get you the divi in December?,0.6347
59,The sleeping giant has awakened,0.1344
60,Just bought some more. Looking good.. thanks for the dip!,0.7118
61,Falling today..2+ points already... How many more people will get the axe to make next quarters number?,-0.2249
62,"Even Nvda js now 3 times the size of IBM. Nvda was a mere graphic cards players, a small niche market, as recent #$%$ years ago.",0.2612
63,"All I want for Christmas is to hear an announcement from IBM that Rometty will be gone effective January 1, 2020.I can't wait for that announcement to be made.",0.7408
64,"This is a great deal for RH shareholders, but terrible for everyone else. RH employees will want to start polishing up their resumes because they will practically be volunteers after IBM's beancounters start looking at their compensation.",0.0205
65,Glad I got a small profit out on this Friday. I have a feeling this is going to be a really bad week for the market.,0.6533
66,"Buffet buying over 24,000,000 shares in about 3,2,1...",0.5285
67,Yahoo filtering........ beware,-0.009
68,"Without question, IBM will pick up market share of the cloud from AMZN and MSFT with better data storage and processing and with better security.IBM is introducig two new mainframe systems, the z14 Model ZR1 and the LinuxONE Rockhopper II. Both systems come in a 19-inch single-frame design, so they can be placed into any cloud data center or private cloud environment with ease. These smaller mainframe systems, what IBM calls a ""data center in a box,"" could help breathe new life into this decades-old technology.",0.9591
69,"- All three brands in Systems – IBM Z, Power and Storage – grew in 4Q, up 32%- IBMcloud revenue was up 27% in 4Q with an exit run rate of $10.3B- Each of the 10 largest global banks, 9 of the top 10 retailers and 8 of the top 10 airlines are IBMCloud-as-a-Service clients-$IBM continues to make progress in emerging areas like #blockchain, engaging in projects with 100s of clients & collaborating on 35 active networks w/ clients including CLS, Everledger, London Stock Exchange",0.8644
70,shorts: sayonara. welcome to the mid 21st century. IBM and Nvidia run it.,0.6325
71,Until IBM changes it's CEO and Sr. Mgt. IBM will continue to fade into history.,-0.0262
72,Thinking of buying some IBM shares I like there dividend. Is the dividend solid and how low do you think this stock will go?,0.853
73,thank god for trump,0.556
74,"The market was super green, IBM was red all day and Ginni Rometty tried really buying few shares back to push it 3 cents in green with the rest of the market otherwise it looks very awkward. Wait for the market turn red, you will see IBM has nowhere to go but the rabbit hole.",0.4467
75,I see IBM at $140+++++ nextweek,-0.0086
76,Massive news with palantir!,0.21
77,IBM holds the key of blockchain with its blockchain database that allows reporting of information and detect discrepancy and tempering. So simple and yet crtical piece of the building block to allow increase throughput in a distributed environment,0.6206
78,If you are a IBM shareholder vote 'NO' on all Board of Directors on the bsllot. Vote them out!!We almost got them last year...53%-47%,0.7152
79,IBM down almost 6 in after market. The currency market gave IBM a 3% boost earning wise..Now down 7,-0.2509
80,Why are you guys investing in this stock? This thing hasn't moved in 5+ years and has virtually no upside moving forward. You may want to consider dumping it and buying a stock that can actually net you a profit.,0.8912
81,"Big partnership with IBM on AI datacenters and enterprise clients not just cloud!IBM's own Power processors is at the core of $ibm artificial intelligence initiative called Watson. BUT...nVidia is charging A LOT for their GPUs. Basically it means that nVidia forces IBM to give them a lot of profits plus they charging way more for their GPUs making everything way more expensive than otherwise could allow selling way more for more use cases!Attached is how department IBM is now on nVidia and using nVidia NVLink. This is coming to an end. IBM moving into BIG AI partnership using AMD's future datacenters GPUs, 7nm+ Arcturus. This is why suddenly a Power processors lead architect was hired at AMD to work on tight integration between CPUs and GPUs! Not just AMD's CPUs. IBM's future Power too cutting nVidia out. Drivers already released to allow AMD's GPUs use with IBM's Power processors but it's the beginning. Such news alone if out will considerably jump AMD's PPS as IBM IS the corporate king of IT!https://www.ibm.com/it-infrastructure/power/nvidia",0.9752
82,IBM should be first to recover because of increasing income and very low P/E ratio.,-0.4984
83,Just bought some. Nice divy!,0.7878
84,"IBM is a value stock with double digit growth just starting in 2018 !! Growing divisions in AI, Cloud, Quantum, Blockchain and high end servers (i.e. Z14) ! PE is so low and valuations are so low that expectations are minimum. ANY good news and stock will pop $10 and continue to $200 price target.",0.9299
85,"IBMI'm well aware that IBM (NYSE:IBM) is viewed as a tech dinosaur on Wall Street, but you're going to struggle to find a more profitable tech stock valued at less than 10 times forward earnings.The downside of IBM is that the company waited far too long to switch from legacy hardware and software to the cloud. It's been paying for this lack of vision for much of the past decade, with sales declining on a fairly persistent year-over-year basis since 2012.But there's good news. Slowly but surely, IBM's cloud-based revenue as a percentage of total sales is climbing. Legacy software and services remain challenged, but total cloud revenue jumped 10% to $7.5 billion in the fourth quarter of 2020. This works out to 37% of the company's total revenue during the quarter. The company's cloud and cognitive software profit margins nearly hit 80% in Q4 2020. That's light-years ahead of every other IBM operating segment. As cloud continues to grow into a larger percentage of IBM's sales, its operating cash flow will expand much more quickly. What's more, IBM hasn't been shy about making accretive purchases. Last year, it bought seven companies that specialize in the hybrid cloud or artificial intelligence. Look for IBM to continue leaning on inorganic growth to bolster its highest-margin operating segment.",0.9863
86,"IBM is back,going forward there the company u want",0.2353
87,Maybe change needs to start with the STOCKHOLDERS voting out the old BOD and replacing them with ones that will force changes at IBM.,0.6022
88,"IBM $180, AAPL $150, enjoy WB...",0.4939
89,Congrats to all the longs. Sorry for your loss shorts. Ray Charles could see the writing on the wall. Buy at will!,0.5239
90,Several block chain companies are soaring double digits while IBM sinks. Block chain technology isnt going to save IBM just like Watson failed to do so...,0.2014
91,"seems that nobody here love money, everybody just like to work…If you work more for the same money, that’s better…but how much your $100 really worth when you invest in some of the stocks like this down there…? prices taken today in the middle trade session…AMD, EPS $0,30, price $57,75, return on $100 = $0,52NFLX, EPS $4,13, price $442, return on $100 = $0,93AMZN, EPS $23,01 price: $2417, return on $100 = $0,95MSFT, EPS $5,74, price $178, return on $100 = $3,22AAPL, EPS $12,6, price $281, return on $100 = $4,48IBM, EPS $10,57, price $120, return on $100 = $8,80this IBM definite earn too much for his revenue…down with him…burn him before he sets ladder inevitably too high…!",0.9582
92,"Cleveland Clinic just the first to partner with IBM on quantum computing. While the street continues to chew on the news, buy as much as you can below$150. The sky is now the limit.",0.9299
93,"Never seen this stock do well, the ousting of that witch outweighs anything negative that could happen to this company.",-0.3622
94,Where is the bull market in ibm,-0.0984
95,Sold my IBM for a 20% loss. Don't trust management. They had a deal to work with RED HAT. Why pay a 50% premium for the company.,-0.6677
96,"where are all these analyst who claimed this was a 150+ stock, this stock is a struggle at 134 now with 14 million shares,, this is sad the scam they ran on the longs out here,,I think i am the only one long.. then today a few come out and reiterate their BUY,, well at 142 it was a buy till earnings came out then it drops 10 points,, this is a scam",-0.1353
97,IBM stock has done nothing but lose money over the last 4 to 5 years.,-0.5748
98,the only thing ibm excels at is creative accounting,0.6709
99,Two words for IBMs Board: 1) Awake; 2) Immelt,0.1565
100,"We will be back to new highs within 2 weeks. Sell off is without merit. Mostly related to one time charge. What is important is acceleration of sales into cloud, AI, Blockchain which will be GROWTH DRIVERS.",0.8286
101,"It is not just Wall Street now. Notice the falling revenue even in the midst of what is supposed to be the golden era of high tech, the revenue is falling? That means even the customers are losing faith. That said I do not think it is fair to blame the current CEO, the Titanic was already sinking half way when he took control.",0.3261
102,"IBM is way oversold,by biying redhat,ibm gets thounds of more customers,so does redhat,its a super marriage",0.5898
103,So now it looks like ibm is giving up on blockchain. This company seems to be a shell game. I’ve been sitting on mine forever and as everyone here knows it’s lost money for the last nine years. What a disaster.,0.1579
104,Great IBM result is coming!,0.6852
105,If your trading account looks anything like mine months ago you should do something about it. Since I joined (http://Multistockalerts.com) my account has been sizzling. Join them today…,0.8085
106,Rise of the machine 2019,-0.0081
107,"The move is great and every cloud user is a customer of IBM including microsoft, amazon and google.",0.5793
108,"IBM is partnering with UBS and ZF autonomous car sharing payment platform with blockchain, another example of IBM is leading with so many partners.",0.7866
109,she sure looked desperate,0.2268
110,"When Red Hat kicks in, IBM will sky-rocket out of the stratosphere.",-0.132
111,"If the board of directors fails to take the actions needed to stop IBM from becoming a GE valued stock. VOTE THEM OUT when you vote your shares. If the BOD refuses to take action, the shareholders must!",0.9066
112,"Lets see if my teachers theory holds true. I remember arguing with him in class about this. Per his ideology, IBM share price should not experience any loss from the cash being let go for the deal because in turn they are essentially acquiring an asset that is supposedly equivalent value. I firmly disagree. I think he’s also a big proponent of the efficient market theory. This is a bad move on IBMs part, and a fantastic win for RedHat shareholders. This stock will see sub 100’s because of this deal.",0.9454
113,Everyone knows this giant does not have feet of clay. It will be back to the top of the 5 day chart very quickly.,0.5234
114,New Ceo very confident in the cc for the future of IBM.,0.6182
115,"HUGE Debt means dividend will be cut. The sooner the better. Otherwise, credit downgrades will force the cut but by then the stock will be $80.",0.1702
116,"The SCO v. IBM lawsuit was filed on March 6, 2003 ...Dear members: Today, the lawsuit is 16 years old! See https://groups.google.com/forum/?hl=en#!topic/alt.os.linux.caldera/3sMzqhHNrQM All the best, DDT",0.4491
117,"After years of failed management, a purchase at the top of he market...is management capableof anything besides destroying shareholder value?",0.0386
118,"On the surface returning the company's cockpit to an engineer sounds good. The engineer being a 30 years insider is not so interesting because the IBM way is all he knows (unless he is way past his prime years). Focusing on the cloud at this juncture might sound good but the pony left the barn a long way back on that one and making it the new focus is gearing up to fight the last war. I would like to see main focus on new endeavors such as AI, Quantum computing, Biotech/healthcare before investing in IBM. Hoping to hear more about it from the new lead dog before investing in the company.Irrespective, dumping Ginny was long overdue and hopefully it's not too late. She's arguably the worst leader ever for this Enterprise and she is leaving old big blue severely bruised and now looking more like black and blue.",0.9337
119,I have been a tech M&A advisor for over 30 years and this is by far the most ridiculous price I have ever seen. This deal will finally cost Ginni her job which is about 5 years too late for IBM shareholders.,-0.231
120,https://www.nasdaq.com/press-release/dmg-blockchain-to-develop-blockchain-solutions-for-global-supply-chain-management-20181004-00907,0.0
121,Wondering why anybody would sell IBM at the current level? future looking better. Mr. Krishna imo is doing a great job! and like the Ceo of Microsoft has a background in engineering. Difference is according to Yahoo Finance MSFT is trading at 31 times forward earnings and IBM under 10.,0.9349
122,Marked improvement now that the skirt is no longer ruining things at IBM. This country and IBM are both in better hands now that Ginni and Fat Donnie are gone. Go play golf!,0.8088
123,"Interesting, IBM up and BOX CEO right now and others playing up the deal with Red Hat and how great this will be for IBM. I am long this stock and will remain that way for years to come. Also interesting to see the CNBC folks bail on the stock (Jim L) and it goes up???? Some say do the opposite of what the talking heads say. I say, do your own homework and chose wisely. However, IBM has been a thorn in my side lately. Next big move, new leadership perhaps. #1 hybrid cloud player going forward per CEO Ginny R?? Not sure about that statement, but willing to eat my words !!!! Good luck LONGS!!!!",0.9847
124,"Groundhog Day...market up, IBM down. Wait 24 hours, repeat.",0.0413
125,BOOM!,0.3164
126,The management structure is WAY over past bloated with do nothing middle managers who drive people like slaves so they get their stock awards.,0.5969
127,Shipping company ##### next qtr=== I THINK it will be good. add to that news PLEASE main Frame Z is a winner,0.9119
128,HFTs trying desperately pre-market to keep us contained. It will fail. IBM is moving swiftly into the lead on quantum computing -- the holy grail of big data. Buy the lights out below $150 imo.,0.4215
129,If ROMETTY walked out the door up 6-8 on that alone.,0.0121
130,When is EX-dividend date?,0.4917
131,Just shorted at 148.90 !! Met lowered REVENUE guidance which keeps going lower and lower? NO WAY IT CONTNIUES UPWARD CLIMB. EASY SHORT,0.2797
132,"IBM releases new Power 10 CPU. Perhaps some customer upgrades rolling out in the next few quaters, this and the Coke contact are good signs for IBM.",0.7235
133,"I have owned IBM stock sine 1996 so I am in the green, but I am in only one more Q and if the CEO cannot show growth in the restructured initiatives I am out. There is no reason on God's green earth IBM should not be a dominant provider for Cloud services, for one. AI is still years away from becoming a real profit center. Quantum computing will be a home run, but again, they aren't there yet. SAS is there but laggardly. I need to see quantum computing very near roll out and solid increases in SAS, Cloud and blockchain to stick around. Just my two cents.",0.9718
134,BULLISH on IBM. Good day to be long.,0.8239
135,"IBM will be at $200 by end of 2018. IBM is doing all the right things now and focusing on the cloud, AI, Quantum servers, and blockchain methodology. Its a winner at a P/E of 10 !",0.3515
136,"No worries lot of kick backs in that 34 billions, that is what happens in all take overs, buy outs etc etc etc and etc.There is lot of, lot of and lot of money in this world.",0.3621
137,IBM JUST PUT UP FEW QUARTERS OF GROWTH THEN $200 IN NO TIME,0.6172
138,IBM will not see a daylight anymore. Learn from Warren Buffet to act accordingly.,0.5473
139,"Is there any chance IBM will beat, or are we in for yet another $4 to $10 drop?",0.2385
140,I need a confirmation that this is not just a dream,0.2341
141,maybe we can get more then DIVIDENDS going forward,0.1875
142,"Nice beat. Still, selling part at 140",0.5762
143,"Given thrump fued with Amazon, IBM has an excellent chance to win pantagon cloud bit. however this can not be the reason for the spike. perhaps mm knows something pushing it up!",0.9283
144,Target $180!,-0.1487
145,Here’s to $145 by April 18th!,0.0846
146,"Yesterday's ""HUGE"" jump was just too much for it to handle. Back to reality...",0.5809
147,No bottom.Could be the next GE,-0.3117
148,"IBM's largest revenue/sector is Financial Services and Financial Services is postponing spending,, Watch for new lows before jumping in.",0.0041
149,"If you invested IBM in 2000, you gained nothing. Upper and mid management should be replaced by young and innovative people.",0.8672
150,Heading back to $140 soon,0.054
151,IBM hits a new low in corporate responsibility. In a clear sign of desperation they have halted all matching grants for employee/retiree donations to arts and educational charitable organizations among others.Pinching every penny while their execs and BoD continue to rape the stockholders.,-0.0339
152,Overreacting. Not horrible earnings. I think everyone was just hoping for a blowout.,0.3775
153,Its a buy under 120...I buy on these dips and just collect a nice dividend while you wait....Stephanie Link likes it and she is sharp as a tack.....,0.864
154,Its funny IBM is not a chip company.and they came out with a golden nugget,0.8179
155,IBM said they are not buying back stock and they prioritize to reduce debt instead. At times where rates are at the lowest ever and cost of debt is abt 1% buying back stock is like investing money at 1% return while the shares are returning 10% profit!!! something is wrong there..,0.7674
156,"Stock up $4 on the news that Buffet reduced IBM holdings by 94% and only has 2 million shared left. Daily volume near 6 million, so the 2 million left can no longer be pressure on the stock.Thank you Jesus.stochttps://finance.yahoo.com/news/berkshire-buys-teva-bites-more-220536130.html",0.6928
157,"Go ask the best investor of century Warren Buffet to see if he dare to touch this disgusting IBM stock again. Go... if he does then you should hold or buy, if not, leave it as soon as possible.",0.7443
158,IBM is very cheap undervalued company in contrast to MSFT/ intc / Uber,0.3543
159,https://medium.com/futuresin/cloud-wars-forcing-irrational-open-source-takeovers-1ce096c53b19,0.0
160,"Australia Working with IBM on National Blockchain – Australia is working on a national blockchain that small businesses can use as part of the digital economy revolution. The government through its science research division Data61 has engaged the services of tech giant IBM (NYSE:IBM) and law firm Herbert Smith Freehills to work on the proposed blockchain. IBM, which has forged a string of partnerships and helped a number of companies come up with blockchain innovations, to work o blockchain itself. The blockchain is geared towards making it easy for small businesses to transition away from paper-based systems, in addition to helping them carry transactions out on smart legal contracts. Read more: https://marketexclusive.com/australia-working-ibm-national-blockchain/2018/09/",0.9843
161,Ex div on Friday.,0.2267
162,Love that new chip!,0.7783
163,Ok I will chuckle at this lawsuit filed...IMB has been around for more years than three whipper snappers combined!!! Good luck with saying they did not start it first if your know anything about IBM is they came before MSFT!!! Close to the time of the creation of the Abacus and Pascal...,0.9192
164,Why can't IBM ove up like the general market? Is this company going bankrupt soon like Sears and the likes ?,0.5508
165,"Even with the dividend, IBM isn't worth it. Consider that even with dividends reinvested, IBM still lags in returns vs the S&P. Over the past 11 years, IBM has lagged the S&P in all but 3 of those years. Meaning that if you were to instead invest in SPY or VTI, you would earn more money and experience less draw-downs. If we back the clock up to 1990, the S&P returns around 10% per year while IBM returns around 7% (with dividends reinvested). Without reinvesting dividends, this stock barely moves. There doesn't seem to be a path forward for IBM. Use caution if you invest in this for the long-term.",0.739
166,"THIS DISASTER IS A RESULT OF THE CEO, VOTE HER OUT WHEN WE GET OUR PROXIES",-0.2293
167,If IBM didn’t do well in this bull run they never will. I’m so disgusted with the CEO.,0.1178
168,"For those who continue to point out the bad, that was all factored into the price before the news/numbers came out after market close. The NEW information blew away expectations (current price at close today) and show the new CEO had them on right track to return to growth and apparently explosive growth in the future. I don’t know where this will settle out tomorrow, the next day, week or months, but it is clear the turnaround is underway",0.8811
169,They keep losing money. This is very concerning problem with IBM.,-0.5201
170,The Old Bag CEO took over with the stock at $200/share and it's been ugly ever since,-0.2417
171,"I will soon be adding a little more to my IBM investment. But it will be one to take advantage od the regular October season rut. Thia coming report in a couple of weeks time will be the second one by new ceo AK. There will be no post covid bump , no vacinne boost for IBM, we are supposes to have seen our revenue skyrocketted in 2020 as IBM is supposed to be an IT company. It clearly did not . But hopefully this time, IBM cloud division cam continue to deliver growth enoigh revenue decline. Once that happen , the price will stop declining and makes the dividend worth it.",0.9491
172,"why is it allowed that BMO brokerage can yell to the world they have a $152 price target on IBM, they dont tell us what they do behind the scenes so why are they allowed to tell a target number.should be illegal,,",0.4554
173,Ibm authorizes an additional 4 billion repurchase,0.5636
174,Careful here folks. The IBM dividend is about as safe as a 55 year old employee at IBM.,0.6197
175,Rommety made out with a nice paycheck. A hire within this failing company to replace her is just as bad. Whitehurst seems to not have earned $IBM trust yet even though cloud is clearly the way to go.,0.7315
176,"Who's up for a shareholder revolt to STOP the acquisition? Yeah we'll have to pay a near-billion dollar breakup fee, but it's better than being on the hook for 33 Billion. Thumbs up if yes, thumbs down if no.",0.8147
