,Recent headlines and conversations for BA,Polarity
25,"Travel is returning quickly. We didn't have a single day above 1+ million passengers from March 2020 to October 2020....January 2021 we had 3x 1+million days, February we had 7x 1+million days, March we had 26 1+ million days, April we are at 26 consecutive 1+ million days......normal travel numbers pre-pandemic were consistently between 2.2 million and 2.5 million.International travel will take longer but as long as domestic flights are picking up in multiple countries airlines will feel more comfortable buying new planes. Not just because they want new planes, but the 737 Max is 8% more cost effective. That doesn't sound like much, but when it saves $500,000 per year per plane on fuel (calculated using estimated mileage for a commercial jet per year and fuel prices)....that adds up when margins are extremely tight and you run 100+ jets. Fuel costs are also rising again from their pandemic lows as consumption ramps up.",0.9924
26,"Foxitis sufferers are blaming jb for inflation. Yup getting vaccines out and the economy back on track, terrible!",-0.8551
27,Buy Now!,0.2298
28,"For people upset about sports applying political pressure on states, it appears they’ve forgotten the only reason Atlanta even *has* a baseball team is because in 1965 the city agreed to integrate seating at Fulton County Stadium as a condition for the Milwaukee Braves to move.",0.4327
29,https://www.counton2.com/news/local-news/charleston-county-news/dispatch-crews-responding-to-structure-fire-at-boeing-plant-in-north-charleston/,0.0
30,I am new to Boeing and wanted to ask for your opinion if this is a good entry point to build the position as economy is reopening and Boeing has started to get the business back. Thanks in advance for your kind suggestions. GLTA!,0.944
31,Flying beats walking any day of the week,0.0871
32,uh oh spaghetti-o's! Boeing discloses new problem with 737 MAX jetsSouthwest Airlines is grounding the jets after Boeing revealed that a wiring problem affects planes used by 16 of its customers.,-0.8582
33,"With so many planes grounded, including the ones that were grounded globally after engine issues, Boeing is looking at huge sums to compensate airlines for loss of revenue!",0.4289
34,Air Lease Corporation Announces Delivery of First of Five New Boeing 737-8 Aircraft to Belavia,0.6134
35,$GNPK in partnership with Boeing Space $BA have delivered their solar arrays to NASA Kennedy in readiness for deployment to the space station.GNPK is about to explode AH$SFTW $HOL $VACQ $NSH $CCIV $STPK,0.8899
36,Remember the whole market is down big time. Not just Boeing. Boeing is way over sold right now and any good news and it will go back up 10 to 15 dollars The way Biden is handling the economy I could see more loses in the Market before it turns,0.1816
37,"TSA yesterday....bigger than prior Friday....1,743,515",0.039
38,"Cargo airline ASL to borrow more than #$%$100m for 20 Boeing jetsASL originally ordered 10 aircraft from the US manufacturer with an option to buy a further 10. Cargo airline ASL Aviation Holdings will borrow up to #$%$105 million from US bank Goldman Sachs to help pay for 20 Boeing jets the carrier is buying.Dublin-based ASL recently confirmed it would add a total of 20 new Boeing 737 800 planes, converted to carry freight, to its fleet as part of an overall replacement programme.Boeing will deliver the 20 jets to ASL by the end of 2022. The airline has received the first three while four more are due later this month.",0.9007
39,"Update: WH and FAA not happy the way Boeing disclosed the issue:“ U.S. Transportation Secretary Pete Buttigieg said regulators wanted to ensure ""full confidence"" in the planes forced to halt flights on Friday, before they could fly again.LATE NIGHT SCRAMBLEAlthough dozens of flights had to be canceled, Friday's fallout was tiny compared to the global outcry following two 737 MAX crashes that killed 346 people in 2018 and 2019.But Boeing's reaction to the fault underscored how much is at stake as it tries to rebuild confidence in its benchmark jet.It scrambled late Thursday to brief staff, regulators and airlines on the issue, people familiar with the matter said.It is seen as keen to demonstrate transparency after criticism for its initial defensive reaction to the cockpit safety issue that led to the 737 MAX grounding in 2019. The U.S. Federal Aviation Administration (FAA) said it would ensure the issue was addressed.”",-0.6011
40,I can't wait until this stock hits $500. It will be here sooner than you think.,0.3206
41,Ok Volume is extremely low. Not good. Come Monday we give up today’s gain if it lasts,0.8515
42,"Historically, Alaska Airlines is known for taking all of its options. Those will be transformative for the airline. If Alaska continues that trend with taking all of its options, it will certainly have a sizable fleet of the planes that could go toward replacing some older Boeing 737 Next Generation aircraft.Alaska’s fleet planThe Boeing 737 MAX 9s are part of Alaska’s fleet modernization and simplification plan. After merging with Virgin America, Alaska Airlines operated a dual fleet of Boeing 737 and Airbus A320 family aircraft. The long-term goal was always for Alaska Airlines to move away from an Airbus fleet",0.8007
43,Boeing confirmed to Forbes that the new electrical system issue is not related to the software system problems that were partly blamed for the two deadly crashes more than two years ago that led to the 737 MAX grounding.,-0.7879
44,JB setting a 200 million dose target for first 100 days. States opening up vaccines to all adults. Way to go. Far cry from DJT promising 20 million and delivering 4 million.,0.5259
45,"Wow, Dow near 300 point up and BA can't move above $252! Hedge funds are brutal!",-0.305
46,"On Sunday morning, a contract between Boeing and Teamsters Local 174 was officially ratified after a tentative agreement had been reached Saturday, avoiding a strike.According to Boeing, “We’re pleased that our employees represented by the Teamsters ratified a new four-year contract. The agreement is a comprehensive package that recognizes the contributions of our employees and supports our business",0.9161
47,"Not a bad day ,",-0.4834
48,https://simpleflying.com/boeing-777x-coming-soon/,0.0
49,We all know BA will be right back.,0.0074
50,279 _----->229 in two months,-0.0397
51,"@GP or Bust, here is the link:https://www.flightglobal.com/airframers/faa-to-require-airlines-replace-fuel-system-units-on-737-max/143172.article",-0.1321
52,Coco the clown is panicking lol.,0.0717
53,Keep the plane orders coming and ill be counting all my gains,0.0909
54,"Question: Does the CEO of Boeing have Downs Syndrome? If he does, it’s nice  to do, BUT they should hire someone more appropriate",0.8922
55,Get ready for some upgrades $350 next month,0.4826
56,$242 again tomorrow.,0.0337
57,Boeing got 1.6 billion Poseidon contract,-0.3163
58,"1,000,000+ at the TSA checkpoints, and this with half the world still playing the lock-down quarantine travel restrictions game. Only 12,000,000 vaccinated to date. Next we will experience a travel-demand like the world has never seen",0.6064
59,So sick and tired of this. Wait. That means the manipulators endless propagandic barrage of the same negative information is having the desired effect. BUY!!,-0.6167
60,"Holy Cow! No support at all! Market recovering, BA going downhill...Seems like US watchdog found holes in FAA's recertification of Max 737!!!!",0.5139
61,"Boeing shares have gained more than 17% so far this year and 65% in the past 12 months, compared with gains of 9% and 47% for the S&P 500 index SPX, 0.23% in the same periods.",0.7506
62,"Packing the court, citizens for all undocumented aliens, 62 executive orders, go alone on 10.7 trillions spending of your children future money, I intend to prove I’m the best radical socialist out there. My plan is to bankrupt the United States of America",0.7178
63, Record setting job numbers 200 million vaccines Child poverty cut in half COVID deaths cut in half America’s image restored Thank you Mr. President!,0.5448
64,Anybody know what the tax rates going to be?,-0.076
65,The travel summer surge is really happening quickly. This will help out big time.,0.6504
66,RALLY ! I love Thos 45 degrees bull run s,0.6297
67,"What the hell is going on with lord faucet?First noMask then 1, 2, 3 masks and now back to no mask. On top of that I’m plagued with crises that I don’t know what to do. I wish we didn’t cheat to win. They told me that I’m nice but slow. I might be stupid but I am the most socialist progressive P you ever had. Russia cyber attack us. China scolded us for supporting blm. As a result. I reward 28 billions to build wing turbines in Ohio with the blade .a size of a football filed, is manufactured in China. Great more dependent on China. Iran rockets fly nonstop to Israel. So many many migrants walk freely to be fed and housed by us. All the sudden, inflation is running rampant. The world is laughing at us. I might need to fake a couple heart scares and get the hell out",0.9456
68,What a beating it’s been for longs from $278 to $220$! My gosh-day after day!,-0.4784
69,"""But on Monday, O’Leary said Boeing had not delivered 14 aircraft expected in April and May, accusing the US company of mishandling its relationships with safety regulators — a particularly sensitive issue following the crashes.Boeing paused deliveries of the Max in April over an electrical issue, and promised to catch up on deliveries through the rest of the year. “I think it’s disappointing and unacceptable. Certainly, if they’re treating the regulator with the same radio silence that they’re treating customers, I’d be very worried about the durability of the aircraft,” O’Leary said on a company results call on Monday.""LOL",0.7334
70,https://simpleflying.com/turkish-airlines-737-max-return/,0.0
71,it is going to jump up to $246 within three weeks from today,0.5046
72,Air Canada buys 40 max planes!!!,-0.2395
73,$300 in 3 weeks. Put this one on your fridge.,0.2894
74,"Breaking “ Boeing resumes 787 deliveries as widespread inspections loomEric M. JohnsonFri, March 26, 2021, 5:5”",-0.398
75,"OMG ""Reuters-Exclusive-Boeing faces new hurdle in 737 MAX electrical grounding issue -sources""",-0.3759
76,"OMG, again -Breaking “ WASHINGTON, May 03, (Reuters) - The U.S. Federal Aviation Administration (FAA) said it is auditing Boeing Co's process for making minor design changes across its product line after a 737 MAX manufacturing issue grounded dozens of planes.The FAA said it is also investigating the origin of the electrical manufacturing issue disclosed on April 7 that led to the grounding of 109 Boeing 737 MAX aircraft worldwide. The FAA said the audit's goal is to identify ""areas where the company can improve its processes."" (Reporting by David Shepardson Editing by Chizu Nomiyama)”",-0.8462
77,"$Ba — TODAY — On delivery to Southwest Airlines is Boeing 737 MAX 8, N8814K, from Boeing Field",0.5831
78,"In conclusion, Calhoooon will be running and destroying BA till 2028. No $300 till 2028.",-0.6642
79,I love the stock but won’t take a flight in a Boeing,0.3816
80,fed has no choice but to buy BA shares,0.4587
81,"Sinking nicely!!....Love how it blows right thru whole numbers 229,228,227,226...LOL comes so easy!!",0.7246
82,Down 2.00 in 10 minutes...LOL THIS IS GREAT!!!!,-0.354
83,"WASHINGTON—Boeing resumed 787 deliveries March 26 following FAA’s sign-off, a major step in clearing a backlog of more than 80 aircraft in Washington State and South Carolina held up by needed post-production inspections. “We have resumed 787 deliveries, following several months of engineering...",0.5053
84,so many problems with the 737max should just unveil another plane to replace it already so we can climb back up,0.7412
85,Federal Reserve Chair Powell said yesterday he expected to see a very strong economic recovery later this year. Wow !,0.7965
86,Thank you short. I was able to add more shares! Let's go BA!,0.6457
87,New 52 week high by tomorrow,0.3636
88,"The $64,0000 question is when will BA hit $500? Travel keeps increasing. It can't be that far off?",-0.4598
89,"Why It’s Important: On Monday, BofA Securities analyst Andrew Didora said domestic leisure air travel bookings were down just 22.4% in the most recent week compared to 2019 levels, the first time leisure bookings were down less than 30% since the beginning of the pandemic.“The combination of further progress on vaccine distribution, the re-opening of states, the relaxation of quarantines (NY domestic travel quarantine goes away April 1), and the start of peak leisure travel season should continue to drive positive travel headlines over the coming weeks,” the analyst said.",0.9119
90,BA is very strong upward momentum. Air travel is increasing,0.5565
91,$230 please,0.3182
92,Did I thank the shorts again. This next run I will buy a A 63 bought and paid fir the shorts again on ba. 2 yr wait here in Canada will put a order this weekend. How awesome,0.9261
93,"@Jin, no disrespect intended, but your obsession with unrealistic price targets lead me believe that you are one of those long term investors who got caught in the coronavirus financial meltdown and originally bought over $400, and can’t get out now. GL to you!",0.6053
94,Reuters needs to be shut down along with the hedge funds they cater to daily!!,-0.598
95,"Have a good and safe weekend, everyone!",0.7881
96,Will comeback,0.156
97,I guess the market says Boeing is not a reopening stock,0.3193
98,"Where is UrMoney today? You know, the one that has th vocabulary of a 4 year old. I expected him to be scribbling today about how BA is a bad investment. Good thing I didn't listen to him when he told me to sell at $96 because it was going to $25.He should look at himself in the mirror with his cute little hat on, and let that handsome look sink in.",0.8613
99,The space program should add billions to profits on the military side,0.5891
100,RED DOW JONES means BUY BOEING!,-0.2054
101,Tomorrow is another day and BA will begin to rise again like it has for the past 14 months. We are only half way to where it should be. Travel demand is increasing every day.,0.4801
102,Makes you think insiders have better info on a day like this,0.8097
103,"$250 tomorrow, yes I think so.",0.4248
104,"Travel rebound and war escalated but this is still in red. It has to reach 244 to enter buy zone. Reuters is a pimp whose intention is to do as much damage as possible to Boeing . China is entering the jet market this year. This stock is stuck in a mud , moving 4 steps ahead and coming 3 steps back. There is hardly any week when there is no negative news",-0.44
105,uhh ohh noooooooo!!!!...LOL!,0.4402
106,Last gasp for shorts here.,-0.3777
107,"$350 by Memorial Day, Stand tall, stand proud. Boeing is the only stock on Wall St that we all know with certainty will increase sales over the next year.",0.8753
108,"congrats Dave your only down 3.00 this week...LOL , Still gonna be 9 RED Weeks in a row From 278.00..LOL!",0.1459
109,UrU R so complicated. Is it going up or down tomorrow ?Inquiry minds want to know,-0.4206
110,Boeing rocket stage on way to NASA from Stennis Space CenterStennis refurbishment complete following flawless test fire,0.0349
111,"Boeing ! upgraded , as Top pick for 2021",0.4489
112,"Boeing delivers first F15 of 144 on 10 March 2011. Boeing and India discuss large military aircraft order. Meanwhile, who knew it, Boeing jets are quickly in demand and the back order is above 4100 Jets",0.7257
113,How did Joe B. even get in? Everything is falling apart.,0.0231
114,Thank you Shorts,0.4813
115,People don’t get it: like it’s not just the 737: I see Amazon and many others expanding their air cargo fleet.,0.5393
116,"BA is the best deal on Wall St today. Travel is BACK! TSA checkpoints with 1,600,000+ again.",0.8546
117,Once again reiterating to Jin and associates that nothing burger quick fix electrical issues are the key now to Boeing!,0.3286
118,My sentiment has changed from neutral to Buy.....I also see a demand not only for Commercial but Boeing Military side as global tension is Very High.,-0.2654
119,Invested we become enablers to corporate crime. MCAS WIRING and nepotism inside corporate crimes which includes the FAA and gov. Who gets punished “Investors” as we are piece milled the crimes over months and years.,-0.9036
120,We have upgraded Boeing to Buy from neutral with a $310 pps target. We also have maintained a Buy rating on XOM and AT&T.,0.4335
121,Back to $270 quickly.,0.0188
122,"WASHINGTON (Reuters) - The U.S. State Department said on Monday it will boost its ""Do Not Travel"" guidance to about 80% of countries worldwide, citing ""unprecedented risk to travelers"" from the COVID-19 pandemic.""This update will result in a significant increase in the number of countries at Level 4: Do Not Travel, to approximately 80% of countries worldwide,"" the department said in a statement.",0.6937
123,Travel is increasing every day. BUY!!!,0.4754
124,https://www.seattletimes.com/business/boeing-aerospace/boeing-wins-orders-and-resumes-787-deliveries-as-march-hints-at-positive-momentum/,0.0
125,"Great news on orders and future orders for BA, there is only 2 options for planes and BA is the US company airlines will go with for planes. This should easily get back to recent high $278 on this news. Once ER reinforces positive orders in the future easily over $300.Its about time!!!!",0.9737
126,Lufthansa See’s USA Flight Bookings Soar https://www.paddleyourownkanoo.com/2021/05/18/lufthansa-sees-usa-flight-bookings-soar-even-though-most-europeans-are-banned/,0.5294
127,"DUOPOLY with an increasing travel demand day by day, enough said.",0.0134
128,Where you shorts at.? You sure we’re heading to 200 again. Cmon guys short it I need someone to cover to 300 soon,0.4602
129,"Alright boys, you’ve had your fun. Earnings call next week and the great re-opening has begun. Place your chips on the table and make your bests, see you at $350 for Fourth of July!",0.8979
130,"$250 by Friday, you heard it here.",0.1213
131,Real value of BA today: no less than $290,0.1579
132,Our problem is Boeing doesn't pay a Dividend and frankly to many problems with the company.,-0.6451
133,SP not moving up fast enough.,0.3584
134,Not sure why the $10 share reversal this morning but sure am happy to see it,0.886
135,Jinny was out in full force yesterday when it was green and then ended red. Poor Jinny. And today it will be red by $5.00,-0.5366
136,"Chief executives of big companies in the U.S. now make, on average, 320 times as much as the typical worker. In 1989, that ratio was 61 to 1. Boeing CEO Calhoun was awarded $21,100,000 last year. Boeing lost $12B.",-0.3064
137,"Last 3 months Market up 5%, BA down 20% .... Last 3 years market up 40% BA down 50%Just the Facts!",-0.322
138,https://www.seattletimes.com/business/boeing-aerospace/boeing-sticks-with-ceo-calhoun-as-potential-successor-exits/,0.0
139,https://www.msn.com/en-us/money/companies/boeing-finds-electrical-issue-in-new-areas-of-max-cockpit/ar-BB1fJF5c,0.0
140,https://www.cnbc.com/2021/04/28/boeing-ba-q1-2021-earnings.html,0.0
141,"$NVDA $WIMI $BA At present, with the development of science and technology and the demand of the market, holographic projection technology is undoubtedly a breakthrough progress in various technical bottlenecks.",0.8535
142,GOING GREEN!,0.1153
143,BA $415 - $455 . 12 months.,0.0
144,"Again, up 1% a day is fine. Over the course of time, those gains become exponential. Just Hold.",0.6662
145,3rd time posting this taking out initials and names since the liberal yahoo censors don't wanna hear the truth and let us hear the truth: The current administration's economy is soon to run on it's own and not on the previous administration's coat tails. Gas prices are already higher than at any time in the previous administration. It's going back to the prices pre-2017. And our grocery prices are higher. Isn't life grand,0.7518
146,"Breaking “ Boeing’s Latest 737 MAX Problem Spurs FAA AuditAgency is reviewing how a minor change in Boeing production led to a new safety issue for the jet, following a nearly two-year grounding”",-0.1582
147,my question is when to sell before it starts to fall ?,-0.3147
148,Did you all see johnn panic today? Small taste of what’s coming.,-0.4134
149,"$BA - - TSA screened 1,703,267 people at security checkpoints yesterday, Friday, May 7th. It is the first time since the pandemic hit that passenger volume has topped 1.7 million in a single day and the highest checkpoint throughput since March 12, 2020$GE $JETS $LUV",0.7243
150,Why the volume is so low ?,-0.0938
151,"It is about time to get a new CEO with strong engineering background and corporate integrity! The corporate changes be within 6 months before it is too late. Don't keep dragging a good company down to the ground, please!",0.5642
152,Somebody knows something wow nice reversal,0.7405
153,*Boeing Company (The) - Consensus Indicates Potential 8.2% Upside - DirectorsTalk Interviews*https://www.directorstalkinterviews.com/boeing-company-the---consensus-indicates-potential-8.2-upside/412984498,0.4467
154,"Xiamen Airlines told the Global Times that it is modifying its Boeing 737 MAX jets after Boeing issued technical guidelines for the carrier, a necessary preparation before the planes return to service.The comment came after reports circulated online that Xiamen Airlines is preparing to return its 737 MAX fleet to service after years of being grounded.Bloomberg reported on April 1 that state-owned China Eastern is negotiating with Boeing over a potential Max order.",0.7787
155,After March numbers come out we go straight up to $275 any minute now,0.4516
156,"Their 737 MAX Project has been a catastrophic failure by all accounts. In the same amount of time and at fewer costs, they could have developed a new, state-of-the-art, single-aisle aircraft; instead, they cut corners to push out a ""remodel"" of a 1960's aircraft. The consequence has resulted in the death of priceless human lives, the loss of billions of dollars and of a world-class safety reputation built over +40 years. BOEING will have a long way to go to recoup what was lost in their decision to push this aircraft onto the market. All power to the innovators and ""newer"" manufacturers (largely supersonic jet) seeking to dethroned this government-subsidized legacy business!",-0.4058
157,Jeffries maintained a buy rating at 300 with a best case scenario upgrade to 375. They see FCF by 2023 of 13B.,0.7799
158,"From article below ""Calhoun indicated Tuesday that Boeing’s era of shoveling cash to shareholders is long gone.When Boeing returns to generating cash, its first priority will be investing in its business and repaying debt, he said. "" Suggest people waiting for the divy invest in utilities.",0.7308
159,cnbcGoldman Sachs named Boeing a top pick into earnings.,0.4172
160,"If you’re a day trader, you should definitely check out (http://Pick-stocks.com). They send a watchlist covering the top pre-market movers every day before the open. It’s a great way to pick out potential trades for the day.",0.942
161,"Big boys slowly taking their money out to get it down to where they want it to buy it back cheaper, all in the BA casino, house always wins",0.7377
162,UrMoney is going to sell his little bonnet cap tonight for a sandwich.,-0.5365
163,Boeing management pushed the company off a cliff. New game plan make Calhoun out like a hero,0.868
164,I sit here and wonder is it this week we bust Thru 300:or next week,0.323
165,Back to $253 tomorrow!,0.1297
166,"Instant money, buy!",0.3805
167,"No matter what good news comes, until China approves it's not going anywhere. Probably the next catalyst will be earning report. But that will also be short term boost. If China approves , it's going straight to 320 atleast.",0.888
168,We should start seeing the ascend tomorrow and throughout summer. This is going to be fun watching BA stock climb week after week. Shorts will be hurting hard.,0.6672
169,46 is Great,0.6249
170,Great day for BA! Tomorrow RED but next week and Summer look to be good.,0.708
171,https://www.ndtv.com/india-news/indias-domestic-aviation-market-likely-to-double-by-2030-be-4-fold-by-2039-boeing-2408283,0.0
172,One poor excuse as to why BA is dropping.https://timesnewsexpress.com/news/finance/stock-market/boeing-shakes-up-investors-with-management-changes/,-0.1904
173,Jin after buying cheap shares everyday:,0.6609
174,I predicted the market would turn around nicely after Fed Chair's speech and I was Right!,0.098
175,Coco for cocoa puffs is going to be busy today... ,-0.029
176,"Lol, Jin, who has outrageous targets in the range of $500 to $4000, is begging for $242; what a beating this has been for longs!",-0.5412
177,"https://dubaiaerospace.com/2021/04/20/dae-orders-15-boeing-737-max-airplanes/Dubai, U.A.E., 20 April 2021 – Dubai Aerospace Enterprise (DAE) Ltd. today announced that it had entered into an agreement to acquire 15 Boeing 737 MAX 8 aircraft from Boeing. The order is valued at approximately US$1.8 billion at list prices.",0.9322
178,Can this stock go without negative news for 6 months. Very disappointed.,-0.6641
179,It is on the rise!,-0.0881
180,"been enough downside the past couple of weeks, i think ba is about to head to a new high",0.0343
181,"Washing out short term profit traders, we higher, I still say we close at or above 255.An hour into the trading day and we have a 6.90 $ swing in the trading range.Wait until the WEST COAST fully wakes up.22 million shares traded today, will push BOEING to the 255 price target.",0.8972
182,Boeing will be under $200 before May guaranteed,-0.0685
183,"Space, the final frontier. Boeing part of new space spac",0.2706
184,"Too many people think that what is going on in Israel will have an affect on the Boeing company. It doesn't. Most Palestinians would not have wanted to militarily assault Israel, but, a lot of foreign actors would have wanted exactly that and would have armed and paid Hamas to do it and take the blame for it. Or rather, have all Palestinians take the blame for it. Even Israel knows they will lose face if they keep whaling on those people.",-0.8231
185,"Pitbull formation, look at the volume",-0.1156
186,"short this,buy puts this stock is dead money!",-0.7706
187,Our rentals in Alaska are getting booked pretty full. Suspect BIG summer. Travel will be up and airlines will suddenly realize they need planes.,0.7756
188,$WIMI $BA give me a gap down on those tomorrow please,0.2219
189,BA MU TSLA MRNA are looking awesome!,0.6588
190,Why is Boeing down???,-0.3282
191,Ba is a buy.....End of story.....,-0.0079
192,Thursday morning Boeing trivia: WHAT FALLS FASTER: Boeing BA stock or Boeing planes  out of the sky? Honest answers only please. Thank you  in advance.,0.9255
193,"Iam breaks out jake and Eric today, two of his older favorites.",0.367
194,"1 billion people have been vaccinated.The number of flights is increasing every day.Flightradar24 is a global flight tracking service that provides you with real-time information about thousands of aircraft around the world.Planes fly everywhere, no matter what the news is written. See for yourself.",0.2288
195,BA is about to turn for the moon.,0.1466
196,"I sell put on options $220 May 21, 2021 for $5.15 premium income",0.1804
197,last year nasdaq was going up and this stock got left behind. This year S&P and dow has been going up and this stock still got left behind.,0.6248
198,BOEING GOOD!,0.4926
199,"Boeing, where are you? PR dept? CEO? WOW!",0.8869
200,Wouldn't be at all surprised to see this stock sitting at $475-$525 in a year from now.,0.4573
201,Good news has started flowing in. Watch for more repair news and order flows.,0.7983
202,Boeing Posts Q1 Revenue $15.22B vs Street Est of $15.079B Boeing Posts Q1 Loss $-1.53 vs Street Est of $-1.07,0.6619
203,Fantastic news coming from Boeing . Expect BA to kit $300 near term,0.7007
204,Any guesses on BA closing price? I'd say $248...,-0.1036
205,Please stay down. Want to pick up a little more in the morning when some funds clear.,0.7244
206,"Order to buy 1000 @ $235, will sell at $240. easy $5k. Airlines down 10 days in a row.",0.5862
207,CoCo Nut does not have a drivers license,0.0842
208,"Calhoun Must have said 2023-2024 , 30 times during the CC......LOL!ie; nothing is changing for the better anytime soon...= Short!!",-0.2211
209,"Johnn, so does toyota,gm,drug , tobacco companies, your drug dealer down the street does it on purpose, etc. Accedents are going to happen. If man made it it will break, so get a grip are just hide in your house until you think it's safe for you to come out!",0.811
210,Can't wait for $500.,-0.0954
211,On know its turning Purple NowThe sky is falling,0.4946
212,BA Longs,0.0
213,Ya ba,0.0147
214,What? BA is green! Someone is taking the day off. Nice to see for a change.,0.6372
215,buy buy buy buy. increase capital gain tax does not matter to investors with big gains. sill make money,0.8812
216,"ATTN passengers: The load Coordinator has just informed me we are overweight and need to shed some dead weight. Please cover your nose and plug your ears as the maniacal Shorts disembark the Boeing 777-300er. After that, we will begin pushback and prepare for take off. Thank you!Captain Charlie Boeing 777-300er",-0.6304
217,"Zacks Equity ResearchTue, May 18, 2021, 6:21 AMCUK+2.74%Carnival Corporation & plc CCL recently announced that its seven cruise line brands — AIDA Cruises, Costa Cruises, Cunard, Holland America Line, Princess Cruises, Seabourn and P&O Cruises (UK) — will resume sailing from global ports in Europe and the Caribbean this summer.",0.7526
218,Coco seeing this up ......and it hurting you so much ..... really just makes everybody buy more!,0.3869
219,As the 737 Max inventory reduces Boeing will be able to set the price higher for the 737's. Airlines have to replace their planes so what is it going to be Boeing or Airbus. I believe it will be Boeing and there is the China deal coming out within the next month. Long and strong Boeing.,0.9149
220,It may go high due to J&J news.,0.4051
221,$WIMI $BA $NIO I believe this stock will give an opportunity on Monday to enter at a good price. Just my speculation not recommendation or advice.,0.8572
222,"Masks are allowed off out of nowhere? lol. What happened? This crumbling leadership is too see-through. This will be great for Boeing, the airlines, and travel though!!",0.8867
223,"Another downgrade by Ferry, Jorgensen and Hearn on Boeing just now!!!",-0.2242
224,"Too much emphasis was put on the latest top management changes. You don't fire the top guy who's only been in the job a year and inherited a mess and is making progress in fixing a lot of problems with Boeing. Secondly, restoring a dividend isn't practical and anyone factoring it into future price projections is deluding themselves. Thirdly, maybe it would have been better if the CFO could have stayed another year but at least the company will have him through the transition to a new financial chief that the market can have respect for. Fourthly there are more sophisticated investors betting against the stock. There was someone today that bought 480 June 180 puts. Bottomline I love the stock and am long. I just would like to see things calm down a bit.",0.9876
225,TRAVEL SURGE!,0.3313
226,Over 280 soon.Good news from China,0.324
227,"US airlines expect travel to return almost to normal levels by the summer, with the largest airlines expected to offer as many seats this July as they did in July 2019, by one estimate. The industry plans to call back thousands of employees and hire hundreds of pilots.",0.8413
228,BarronsBuy Airline Stocks. A ‘Golden Age’ of Travel Is Coming.,0.0317
229,Added 1000 at 234,-0.0068
230,"BA heading to $300 by the end of 2021, early 2022. Good price right now to add some shares bit by bit.",0.7697
231,"New Purchase: Boeing Co (BA)HHR Asset Management, LLC initiated holding in Boeing Co. The purchase prices were between $194.03 and $269.19, with an estimated average price of $222.08. The stock is now traded at around $224.880000. The impact to a portfolio due to this purchase was 4.72%. The holding were 206,100 shares as of 2021-03-31.",0.953
232,Why does smart money know the news well before general market,0.6909
233,Despite the somewhat anemic response of BA to the SW news this is a huge win for Boeing since SW was considering an Airbus plane.,0.8313
234,Wake me up when BA hits $813.77.,0.4267
