,Recent headlines and conversations for COST,Polarity
54,"five-star analyst Rupesh Parikh at Oppenheimer ramped up the stock’s price target to $355 (12% upside potential) from $335 and maintained a Buy rating, saying that shares have lagged since the March market lows, but that he sees the potential for a catch up trade from here.",0.7712
55,Hair bag power hr looking good today,0.7686
56,It's not normal,0.1565
57,Under 200 soon. MM'S will take it there. Typical Manipulation,-0.2891
58,China sold out! America 80% stores sold out great company don’t fool yourself the market will take a dive and Costco will be skyrocketing,0.3438
59,TTM sales 178 billion. Market cap 138 billion. PE ratio of ~31. Am I missing something here? I feel the need to load up on calls with this one.,-0.1873
60,"60K shares at a $cost avg of $1.52... If I pick up another 15K at $1.25, then avg drops to $1.47. 75K is probably the max shares i'm looking to own. I feel pretty confident in that position...",0.9457
61,ty for the cheap shares chumps lol,0.8405
62,I hate seeing an annoy voicing their opinion. Costco stock is doing good. Kirkwood brand very good.,0.0803
63,"WHY ARE ALMOST THE COMMENTS THEY SAVE IN THE LISTING ALL FAIRLY POSSITIVE ? ""THE STOCK IS A GREAT BUY NOW ETC."" IT'LL BE A GREATER BUY AT 270 TO. BRILLIANT LOGIC. MGT IS NOTDOING ITS PART. SPLIT THE STOCK 4:1 GIVE BACK DIVIDEND. BUY BACK SHARES... FOR STARTERS. THIS STOCK SHOULT BE AT 350 NOT HEADING TOWARDS 300",0.9855
64,Have BUY orders ready........................................,0.3199
65,Told you BUY THE SILLY DIPS...................................,0.3803
66,"Time to break one way or the other, below 387 and see ya, above 341 and we are money...",0.3065
67,I am selling all shares tomorrow ahead of earnings. Sell on the news is always a trigger for this stock. Will buy back in after the crash,0.2249
68,Dont get hopes up. It went flat last time,0.5698
69,"clobbered? The whole market was clobbered, lol.",0.4144
70,Hmm this company doesn't really care about shareholders.,-0.3789
71,need some support from fund managers here. decline too long.,0.6585
72,I heard late August for the special dividend.,0.2975
73,Surprised that there hasn't been a bigger gain since earnings beat.,0.2527
74,Come on Costco...give me 321,0.0541
75,"does anybody think the dems politicos got the message from the American People: open border, free health care , housing , college , vaccine shots and checks for illegals ( like 30 million of them )",0.9449
76,"Like I said, support is at 189, I’ll keep buying puts till then",0.7598
77,bought 1000 shares,0.296
78,No wonder why Costco sent out the apology letter to all shareholders for lower guidance last week.,0.1576
79,should be a good ER,0.7525
80,"whats funny,,,,,no ,atter what the stock does someone is always buying and selling,,so it plunges,,,some one scoops it up,,it runs,,,someone chases it",0.6743
81,I like the idea that it has pulled back prior to earnings.,0.4353
82,way to go Bob,-0.0163
83,What does COST have to do with TRUMP tariffs ??????NOTHING absolutely nothing.................................,-0.4639
84,Last year went to 143 at this same time and went 185. Nothing wrong with that,0.4165
85,"The entire market has loudly stated they feel the stock is WAY over value. They aren't relating it to Amazon, the comps speak for that. Sales are flying and Costco has entire states that they have yet to venture to. Not to mention the possibilities overseas. If Costco stops with special dividends every couple of years, and splits the stock like the past, the market will embrace the darling w renewed vigor.",0.9465
86,"On the Personal level, I shop locally at COSTCO, once a moon year I shop at Amazon. The Amazon product I bought last year was a solar light, that stopped working in two weeks. Retuning cost was more expansive so I just stopped buy at Amazon. Costco is always for me.",0.9285
87,Retail is just out of favor in this money rotation,0.5558
88,"Well Grimmikins, you certainly don't disappoint when it comes to displaying your idiocy on this board.I just loved your most recent posts where you say ""Shop Rite is taking Costco's business away"".Tell me, my little sailor-suited sissy, how many Shop Rite stores are there in Canada, Australia, Mexico, Europe, Taiwan, Japan and the UK?You're not content being a ridiculous little man, but feel the need to prove it almost every day.You're doing a great job, Grimbelina.",0.9462
89,Slow but steady wins race,0.9366
90,Membership numbers up 7% in the middle of a pandemic. Damn good.,0.1358
91,They borrowed money to pay the $7 dividend. It is all smoke and mirrors. They have to pay interest on the borrowed money. That make no sense.,0.1029
92,"Costco shoppers like myself, are a totally different breed of shopper than WFM shoppers. This merger will not hurt Costco at all in the long run. As for the stock, I bought in bulk on Thursday, and expect it to rise after all the fuss dies down. Nothing to see here...",0.7844
93,"Expert on CNBC news says COSTCO ""is recession proof""! Hmm another reason to own this baby. My grandchildren will thank me.",0.6479
94,Great value! Bought more today. Costco is a beast and always will be.,0.8833
95,"Costco will have blowout earnings and future guidance will be higher cause everyone is cleaning out the stores to prepare for virus, even my costco barely has anythin",0.7801
96,Did not panic and dump my shares! Will hold through earnings and hopefully the QE and pandemic buying will keep share price up!,0.4518
97,What’s the numbers?,-0.0157
98,I'm not invested in Costco but I don't get why Amzn buying WFM affects this company negatively? I'm a costco member and it's a different shopping experience. Now is Amzn got into physical warehouse shopping game...maybe.,0.8659
99,DIVI. increased shorts better cover soon.,0.8339
100,Trump walking ALL OVER Sleepy Joe........,-0.4604
101,Easy easy buy here. No doubt,0.3496
102,"Big selloff before the bell, a lot of nervousness for no reason at all...",-0.5054
103,300 at open,-0.0794
104,"From 2012, Costco has paid $19/shr for special dividends. Those special dividends have only marginally helped the stock price. If Costco just used that money to increase the regular dividend, say from 2.00 to 2.20/yr and increase stock buy back, the stock price would go up considerably.Better still, if Costco increases the dividend and announces stock split, the stock price will be over $200 within a week.",0.9698
105,Cramerlook for fresh new highs...........................,0.399
106,"listen to Chicken, Cost will pass $300 next week",0.3123
107,"I was waiting for cost to go under 300, the day it did I overslept and missed it. Never smoking that stuff at night anymore!",0.418
108,only thing im buying are Puts,0.5161
109,"Nothing wrong with Costco as a business. Nothing wrong with the model. However, they have a number of lot of high profit stores in South Korea, Japan and Taiwan. Japan has just announced that their entire school system will be closing down for a month. Asians are terrified and are making every effort to minimize their public exposure to potential infection in large areas. Costco, where people sample food, hang out and are so congested that people bump into one another with shopping carts and where lineups are so tight that seniors sneeze all over one another, is probably a store that is experiencing a marked slowdown in Asian traffic.I, myself, am attempting to limit my Costco visits for a bit. The daily mail in the UK reports that 14% of infected persons with coronavirus, after getting better, maintain viral loads in their system. At least 2 confirmed cases in Japan and China are online indicating that persons got sick again after getting better. So, this ain't the ordinary flu bug in terms of its ability to stick in the human body. Costco is fine, but the current macro environment for mass market destinations is not.",-0.0964
110,Easiest $3 profit in my trading career. I said. $160 before 154 when it was 157. Out. Next trade,0.7865
111,collapses to 250 to get its p/e more reasonable,-0.2676
112,One more minute.,0.0972
113,buy costco for raining day,0.186
114,Im concerned that Costco is starting to only stock the items that makes them biggest margins which means im seeing the quality items that are slightly pricier head out door never to appear again and the lower end take that space. For well to do that irks me it may make sense for company as a whole but im shopping in one of their highest end area stores and if trend continues will be a big problem for me. don't want this to turn into a slightly upscaled sams club that would be a disaster. other ominous clouds are their fresh products go bad super fast in my experience. also preprepared foods are awful. again I get it they are kowtowing to lowest common denominator who like huge bulk low price screw the top quality. just not good for me.,0.8875
115,Retailers up up up..............................................COST is cheap at these levels.,0.6003
116,"President Trump will be mad about Costco opening store in ChinaAlso Chinese president XI will be mad US company CostcoSo, wait for them to restrict Costco somehow..",-0.8549
117,What times the report,0.1776
118,what is going on here??? I am toast,-0.6543
119,I keep hearing how store traffic is down..but I'll bet online orders are more,0.6037
120,new 52wk soon,0.0901
121,Very Bullish on Costco. https://cweb.com/2018/03/16/costco-is-back-and-possible-dividend-ahead-cweb-com/,0.2228
122,Look at the quick snap back from today's low! U see.... this will rocket back up in no time! People panic for nothing lol. Long term this is a guarantee bet at these levels. A sure thing!!!,0.8164
123,"Undervalued, have you seen the growth?",0.4392
124,"Price drop can only be described as reactionary and RIDICULOUS.Once the frightened sheeple and chickens stop to catch their breath, they're going to realize that the value play here is COSTCO. NOTHING can prevent Costco from going into the next day delivery business on their own or likewise with an eager partner. They already have a ""distribution center"" based network 5x the size of Wholefoods. If anything, COST management are the smart players who will let AMZN charge in and take the risks on redefining the consumers shopping behaviour and if and when successful, there's not doubt in my mind that Costco will follow suit and with a newfound success that can't be replicated by Bezos and Amazon. Blaze the trail Bezos, after you finish digging the roads , bridges and Tunnels, COSTCO will be there just in time to eat your lunch!",0.9815
125,typical costco stock...jumps up nice..then will crash back to $300,-0.2406
126,"Glad I sold, their 60 -40, Covid-19 vs business",0.4148
127,Getting near 52week high,0.3599
128,what a manipulated stock.... wow,0.325
129,"Does the share price drop $10 per share after the Special Dividend is paid, just as a normal quarterly dividend?",0.8102
130,Costco Will Be a Winner as the Economy Reopenshttps://www.fool.com/investing/2020/06/21/costco-will-be-a-winner-as-the-economy-reopens.aspx,0.4199
131,Looks good for tomorrow. Very small AH trades. 265 PT and they just killed earnings. Small rev miss of 30 mil.. Thats like a month of sales in ONE Store. This stock has been very resilient. It will soar tomorrow morning. 240!,0.8907
132,Nike saw a 13% boost after earnings today. I expect at least 10% from costco,0.5256
133,Costco CFO made a perfect remark about Amazon on the Earnings call. Don't see anything wrong with his remark. No idea why it was misinterpreted. Costco business seems to be doing just fine. Its Amazon that needs to worry about profitability.,0.8235
134,"When you see Costco's in Japan, with the number of people that shop there, then you've won the game. Long and strong baby!",0.9469
135,"A hearty congratulations, Grimmikins. You're now officially $50 per share underwater on your imaginary short at $113.The simple fact that you won't acknowledge your folly simply proves my point over and over and over........You're a fibbin', l'il sissy...........",0.5054
136,"GOLD = PUTS right now....NOW AY this goes above targets of $250......in fact, after options expiration this Friday watch market selloff into midterms! tHIS IS SO overbought IT IS obscene......STOCKS always RETRACE TO THEIR MOVING AVERAGES.....AND THE 50 DAY IS $22 BELOW!!!!!!",0.7077
137,"WOO HOO, and another raises PT. to $330 yes!!!!!!Analyst Actions: Loop Capital Raises Price Target for Costco Wholesale to $330 From $305, Reiterates Buy Rating",0.876
138,Only about 13k shares exchanged afterhours so far... My guess is it paints more red tomorrow. Just being par for the course isn't good enough for this kind of valuation.,0.0277
139,Do you guys know if they are before or After the market on Thursday? Thank you,0.5269
140,Markets will TANK with Biden.,-0.5411
141,look for dips as BUY opp.,0.3804
142,"Wall Street concerned with Costco PE of 27 and says not a word about Amazon with a PE of 270, seems to be a disconnect. Costco is simply a buy and hold, still adding stores and customers.",0.6758
143,Anyone who bothers to waste money on an Echo has too much money to spend. The only things the only person I know that has one uses it for is a kitchen timer and to play music for the dog when they leave the house. My dogs can enjoy the quiet and be listening for me to come home and I have a cheap kitchen timer that I can walk from room to room or outside holding which I like very much. I love sitting on my front deck with a glass of wine and the timer in hand to know when dinner is ready.,0.9812
144,"a few months ago when costco was doing good I remember a guy buying in at $321...and then the stock started to tank..he was worried about getting his money back....I told him not to worry, he would have gains in no time...that poor guy may never get his money back",0.2344
145,It will sharply up after BJ’s ER at 6:45am,0.3479
146,"whats funny is i turned on the scam show CNBC,,they cry like the sky now is falling and everyone should sell,,,they go short and long yet never fully disclose what they have when they talk smack,,,, very funny show,,its a timeshare game they play,,,nothing they say will have any value yet someone will believe the sales poitch",0.7954
147,"FAUCI getting paid $$$ under the table from DEMOCRAPS , to make Trump look bad.",-0.6082
148,"To me it looks like this share is trading in a sideways 290 USD - 315 USD trading range. I guess it could be nice for peolpe who don't like fluctuation and dividends. I'm neutral on it, I don't hold COST and I think for me to invest in this company there has to be a major discount. - Do your own research -",0.9002
149,Costco Q2 2021 Earnings Call and February Sales link. It is live now.https://edge.media-server.com/mmc/p/srfeazdx/dmediaset/audio,0.3338
150,"costco has been around for a long time and so has amazon,,,both can make it quite well,,now traditional grocery stores will destroy one another to the bottom,,but costco has customers who pay a fee to shop there,,thats whats amazing",0.7541
151,BUY andHold here .,0.2682
152,Listening to people at work complain about Monday morning & lousy starshits coffee.,-0.6783
153,I should of bought more. Where else are you going to stock up during a pandemic?,0.4581
154,I guess next week 100$,0.1585
155,After close today will hit 52 wks high...,-0.1591
156,Nothing but Bernstein helping weekly Options Mafia for this Friday.,0.734
157,Bought a boat load on that$20ps down day. booyah. If you didn't buy then you need a broker.,0.4233
158,"From analysts: They estimate that the Sam's Clubs Walmart is closing generate annual sales between $4 billion and $4.5 billion , meaning that if Costco can capture between 30% and 50% of that business, it could lift comparable sales between 50 and 100 basis points, and add as many as 600,000 new members.Can you say ""chaching"".... GLTA",0.8935
159,You can't ignore the fact that almost everyone I know loves Costco. Keep the good job!,0.8764
160,Past due for a split.,0.2465
161,I want an entry point so bad,-0.4676
162,Just a wholesome good bang for your buck company. Shoppers all smiling when they check out. My happy place. Shop every two weeks. Often over bought then give to food bank. Why not? Giving more bless than receiving,0.972
163,No increase in Corporate tax rates while the GOP controls the senate.,-0.527
164,28 PE too high stock should be 150,0.6217
165,"look a the looooooogg lines at Costco, it definitely benefitting from COVID-19.",0.6726
166,"this stock should be soring, Lines around the block literally for 2 weeks straight and are getting longer.",-0.174
167,shouldnt be a dip here...should just be a steady green day up around $10 after the nice earnings,0.7627
168,costco has what the consumer needs every day . the consumer is strong and costco will roll to new highs,0.3876
169,Would appreciate your thoughts on the following... At what multiple does COST deserve to trade at and why? Full disclosure... I don't currently own shares and haven't for a few years now. I sold in the mid-$150's in 2015. Some might say that was early and I wouldn't argue (decision still made sense for me). I will consider buying again if/when it gets closer to a share price I feel is justified. Cheers!,0.9345
170,Steady climber as I said,0.5528
171,"UP, up she goes !",0.6592
172,"Costco will be 250-255 sometime in January, 2019.",-0.1295
173,"Finally broke the $200 threshold, can it close over $200?",-0.6253
174,COST is up 4.99% to 297.32,-0.0083
175,er 1.90 more than 19 cents as expexted,0.4435
176,Interesting play on the $1.9T stimulus and infrastructure spending bill Look  at Houston Wire and Cable (HWCC). Market cap around $60M. Reduced long term debt from over $90M to under $15M. Largest shareholder and activist investor Nierenberg wants company sold to unlock value.,0.4108
177,https://www.globenewswire.com/news-release/2020/05/28/2040570/0/en/Costco-Wholesale-Corporation-Reports-Third-Quarter-and-Year-To-Date-Operating-Results-for-Fiscal-2020.html,0.0
178,Costco to open 200 stores in China,0.1612
179,I think this has been red for 2 months straight now. What is the bottom? $250? $200? Lower?,-0.5659
180,Up almost $20 in just 3 days. Who cares about pensions. Cost is the best stock for retirement lol.,0.9154
181,"Dead money for a long time. I got out yesterday, wish I had a limit that would have been triggered. Didn't like the market. Now that the Amazon/whole foods news of the discounts start Monday, there is NO way to tell how it will affect them for months to come. Monthly sales, maybe, but not for a couple months. The big thing will also be memberships. You will not know this for many months. Those 2 things will keep this stock down. It's PE is also too big for a retailer. I'm glad I bailed when I did. If it gets cheap enough, I'll buy back in. It turns out I made just a tiny bit with everything factored in. Enough for a $10 pizza and a chicken bake. I'd be down all that, and then some if I held. Got nervous when it couldn't break $160. I know something was up. I may get out of Google as well. That can't get over $130, bad feeling. I will bail on that as well if it hits that number again.",0.9765
182,Inverted head and shoulders...............better cover soon shorties.,-0.1364
183,"did the stocks get halted,?",-0.0044
184,Did the earnings report tank ? Never goes down this much,-0.3498
185,Cramer.........................BBBBUUUUYYYYYYYY,0.0
186,Look for the silly dips as opportunity to get back in.,0.4314
187,once this gets greern..it will steamroll,0.0617
188,down from here. to 113 ha...........................,-0.2317
189,"One of the only one open , and making money and it’s not moving up much? I don’t get it .",0.716
190,"let me tell you one case where i find very impressive. long term buyer and long term stock holder.rarely shop in supermarkets anymore .one time i had a problem with a food item (i leave that one out to be generic because i suspect they will know who i am). i find the quality in the bag of these things not consistent. even took pics to show them. the store folks give me the expected usual reception. not happy about it. asked for manager, not happy about the way it went. called corporate, got in contact with a group that deals with this item specifically. they listened extremely carefully and within one week a team of 2 flew into another city where the food was harvested and processed. they end up learning more about the process and came away better educated. they followed up with me on their findings. all in all, i am very impressed that the corp folks really take pride in their work and sourcing. Don't get me wrong, the local store guys are very pro all the time already. awesome american success story, like amzn, like apple, ummm, help me out guys lol",0.9966
191,Sales will rise further cause people will be forced once again to stay at home... mark my words,-0.4369
192,semi-weak movement,0.1014
193,"I really worry about America. If this kind of virus every few years comes a time, economy will be failed so terrible, so harmful. it brings unstable stock market. Many people waste in here is really unwisely. For good economy, we should consider a better system without getting harm from any tangible or intangible. Take down this stock market for ever.",-0.8527
194,"There were 3 lines from the check-out all the way back to the meat department at Waterfront Costco near Pittsburgh, PA, this morning just after the store opened at 10 AM. The lines moved quickly and I'm guessing they probably broke their one-day record sales at that store. Costco is clearly a top-notch operation with strong demand...plus they have pharmacies on site...adding to their status as an ""essential"" business.",0.8172
195,Next step is $160.9,-0.1214
196,If there was going to be a big drop it would’ve happened after hours. Fb dropped 20% in after hours last year,-0.4442
197,"The greenhouse industry is hot and fresh produce keeps increasing in demand. I’ve been adding to my $GRF position, Greenrise Foods and $APPH. They own almost 100 acres of greenhouses in Leamington. They bought all of Mastronardi Produce (Sunset Brand) greenhouses as well as another 30 acres last month. They have Major distribution channels like $WMT & $KR . Their peers are trading around $30 while this stock is still at ground level. Time to load up!",0.9141
198,"People I bought this so called POS for $15.00 in 1990 and participated in the DRIP . So what I am saying is don’t listen to the haters know what you own and invest away . Costco is only getting g started , ok opening stores all over the world. Right now only 1 store in China, can you imagine 10Years from now they have 100 stores . So invest away in Costco for the Longterm . I originally bought 2500 shares and you can only imagine what I own now with all the dividends being reinvested . Buffet would be proud of me lol",0.9425
199,What does COST have to do with Trump trade wars?,-0.5911
200,"dow futures down...probably gunna lose $8 ,tomorrow",-0.4278
201,"Can some one explain me the dividend! I bought yesturday 80 shares, will I get dividend and how much?",0.6841
202,Profit margins of 2.7% is pretty discouraging,0.4887
203,May test 140 soon!!,-0.2192
204,"The greenhouse industry is hot and fresh produce keeps increasing in demand. I’ve been adding to my $GRF position, Greenrise Foods and $APPH. They own almost 100 acres of greenhouses in Leamington. They bought all of Mastronardi Produce (Sunset Brand) greenhouses as well as another 30 acres last month. They have Major distribution channels like $WMT & $KR $COST .Their peers are trading around $30 while this stock is still at ground level. Time to load up!",0.9141
205,"Here it is. COST. LONG. Slow, steady and stable .Own some.",0.809
206,"Still Overbought, Overpriced. Worth about 190 at best.",0.755
207,Overreaction. Costco still have one of the best prices in retail shopping. I don't see how the takeover affect the Costco Enterprise.,0.8533
208,"Oh man, what is going on? Upgrade and target raised 2 days in a row yet COST goes red.",-0.2792
209,This is my best stock by a country mile. All of my other stocks are in a bear market.,0.7213
210,"Visiting Costco store later, it will bounce back no probs. These investors are chickening out too bad.",-0.5526
211,"My best stock by far, keeps making new highs. Too bad no special div",0.5541
212,Trump does it again!https://finance.yahoo.com/news/costco-misses-2q-profit-forecasts-212518528.html,-0.0792
213,"should settle around 173-174 today and within weeks back up to 180s. those who cannot afford the fee increase should not go to cost in the first place. it is not a place for cheap products. it is a place for great products at a reasonable price. it is not easy to find great products at reasonable price anymore. that is why cost continues to have a strong niche, something even amzn cannot take away. people enjoy driving somewhere to get something. other times, they can online shop",0.987
214,TGT went down too.so sad...,-0.0538
215,Both costco near me have been packed even in between flyers sale cycles. Parking lot filled and has been this way for months now. Im a buyer at 295.,0.2888
216,Tanks for the 303.00 buy order,0.4716
217,"Whoa, what just happened? I don't see any news?",0.4012
218,"Overall, Costco's same-store sales jumped 11.5% last month, above the 7.5% forecast by Consensus Metrix. Same-store sales in the U.S. climbed 11%, beating estimates for a 7.6% gain. Those sales were up 8.4% in Canada and 18% in other international locations, also topping forecasts.Costco e-commerce same-store sales spiked 85.8%.Target $450!",0.7761
219,"wow,,,a 6% drop,,,,,,or 10 bucks a share,,,,,,,really,,,what happened BULLS,,,did you all get scared,,,so the bears have crushed all you longs by getting you to sell as they shorted ,,,,,weak longs ,,,where is the so called run,,, 160 wlll be the best for 2017,,",0.6262
220,Institutions loading up on COST......................,0.2119
221,picked up 25 more shares before the close today,0.4577
222,Adding 25 shares this is a steal.,-0.2291
223,here comes red. time to exit,-0.398
224,"thanks for 152.80. got filled , adding on any weakness here.",0.0447
225,https://www.fool.com/investing/2017/10/06/7-metrics-from-costco-wholesale-corporations-crush.aspx,0.0
226,triple bottom,0.0627
227,"Costco Wholesale Q3 EPS $2.05 Beats $1.82 Estimate, Sales $34.74B Beat $34.67B Estimate, Total Comparable Sales Up 5.5% WITH US COMPS UP 7% !! HELOO",0.9
228,"Analyst Actions: JPMorgan Adjusts Costco Wholesale's Price Target to $405 From $365, Reiterates Overweight Rating.Got to love it, another calling for $400 or better.Long and strong, more money for the grandchildren :-)",0.8771
229,pain.,-0.5106
230,Look at Nike Stock good example when people were selling it I bought bought more and it went higher made new highs so when people sell buy add more to your position it will pay off....,0.816
231,Just need to break even at 295 so I can buy AVGO on the low end.,-0.3212
232,"Keep shaking the tree, then run!!!",0.329
233,Bad numbers?? Red AH,-0.481
234,"Yahoo Finance has silenced its critics long enough!""Our goal is to create a safe and engaging place for users to connect over interests and passions. In order to improve our community experience, we are temporarily suspending article commenting."" Temporary???That was 5 months ago. Yahoo Finance has been parked in its ""safe space"" long enough. Quit treating us like citizens of China! Free speech has been quarantined.",0.9851
235,The market cant make up its mind whether its a virus stock or not.,0.5156
236,LOW LOW Volume on this pullback !positive ..............................290.00 I start buying,0.5229
237,"Costco is expected to report its March sales results, for the five weeks ending April 5, on April 8.",0.1962
238,did earnings release?,0.1872
239,"Today, I went out for an errand and stop by Costco for some smoke salmon. I ended up buying whole bunch of stuff. Head and Shoulder Shampoo is $3.50 off, Mochi ice cream is $3.00 off, King crab corn chowder is off $3.00, Garlic Shrimp is off $3.00 and Cold Pressed Green Juice is $2.00 off. Do I need all these discounted items? No. I already have plenty of Shampoo at home and the rest were just food that I could consumed but my fridge and freezer are quite full. I just could not resist stuff that are on sale at Costco. I seldom order from Costco online other than some meats. I used to buy Grass Fed Steaks from the online store. I like to walk around Costco and check if there are something that I could use as I know Costco would offer a very competitive price. I have tried so many different foods because there were on sale. While the selections in Costco is not much but the prices are always good. Last month, I ordered some items online from Costco. What triggered me to search the online store is I remembered the report that Costco’s online sales went up. I started to explore the online store. I checked items that I were going to purchase from Home Depot and Amazon. I purchased an air cleaner, a faucet and a garbage disposal. These items (the ones that I wanted) were usually not at the Costco stores. While Amazon has the most selections but Costco has the best price. Home Depot sometimes do have great prices when on sale. I do think Costco has a good potential to grow the online sales. I for one is now checking Costco online store before ordering from Amazon or popping into a Home Depot.",0.9976
240,i hear COST may spilt,0.0029
241,THRERE IT IS,0.0086
242,Why is WMT and AMZN up but COST down? It should be the other way around.,-0.3145
243,"EVERYTHING GREEN...well, almost everything!!!!!!!",-0.4545
244,I get 1b10 number on my calculator when I tried to figure the math out on the loss of value today can’t get number it’s to big for my calculator,0.7669
245,Inflation is when a company pays their people more than the average worker which in turn makes them pay more taxes but then they increase fees to purchase their products. That's what liberal outfits do. No one wins.,0.8709
246,loading up ..........................low 150.000 will NOT last for long.............................,0.2901
247,I don’t know who but buffet is making his whale size acquisition,0.3891
248,Beat or fail ?,-0.4066
