,Recent headlines and conversations for K,Polarity
27,COSTCO IS DISCOUNTING KELLOGGS RAISIN BY $2.50 A BOX....BIG DISCOUNT....I WILL NOT BUY ANYMORE OF THEIR PRODUCTS...ALL ARE BAD FOR KIDS ESPECIALLY.....CREATES DIABETES IN ADULTS.....TOO MUCH SUGAR...THE PERVERT MANAGEMENT WILL BE REMOVED......,-0.0168
28,"I just bought in , I think this is a solid company",0.3121
29,So sad over One Million children will not have a Merry Christmas next year because of Planned Parenthood...baby killing Abortion. Jesus must be very disappointed in the US Supreme Court decision years ago I sure was. I hope president Trump defunds Planned Parenthood.Shame on all you liberal left wing people who support abortion can look at yourself in the mirror...!!!,0.8689
30,4- years of conservative Supreme Court judges under President Trump. That should help fix a lot of the liberal mess Obama made the past eight years.,0.8092
31,Just got news report of man #$%$ all over the machinery used in rice Krispies its all over the news!,0.4799
32, President Trumps doing a great job now has the lowest unemployment in 16 years 4.4% everybody's 401(k)s are about 15 to 20% since he was elected. He's reducing illegals coming across the border cutting back on Muslim terrorists from entering the country. I plan to vote for him again in 2020  mares vote for Trump in 2020 become a winner .,0.6817
33,World's largest gold nugget Rnx,-0.0426
34,put volume moving. read up. debt on top of that. lurking for much lower accumulation opening.,0.6653
35,Trump proven successful business man versus Obama proven community organizing failure never ran anything except our government into the toilet.,-0.3112
36,Why did the Clintons have so many perverts surrounding them like dirt bag Anthony Weiner??? https://m.youtube.com/watch?v=34vjzKUpodo,-0.7043
37,Now Off to JAIL Rated Pervert Anthony Weiner democrat poster boys for democrat new hall of shame. And Democrats wonder why they keep losing elections with Democrat perverts like this in office. Loser democrats full of dirt bags. Yep http://nypost.com/2016/08/28/anthony-weiner-sexted-busty-brunette-while-his-son-was-in-bed-with-him/,-0.7993
38,President Trump made me richer again this week with a record January stock market close. Nice ,0.8223
39,K is down 8.61% to $65.67,-0.2462
40,$57???? Yes please,0.7149
41,kan sumwun gives me a break?https://www.youtube.com/watch?v=yXY28nnxuh8,0.0
42,Hey liberal democrat California voters please tell me how Maxine Waters can buy a $4.3 Million dollar house in Congress women’s salary. https://m.youtube.com/watch?v=cg-1E2AoE_w,0.3392
43,"How long till their market cap is down a few billion and CEO forced to resign? With the new video showing man urinating on the cereal production line and identity politics at top levels, this company is headed South IMO. RIP $K",-0.2082
44,LOL! You will if you watch video.  Rachel Maddow gets roasted watch the video. LOL! At the Queen of Fake News. https://m.youtube.com/watch?v=Jg3aIby3QiQ,0.809
45,2.9B in goodwill. if they sold 100% of keebler then theres a big loss in 2019.,-0.0663
46,Yes Obama told the biggest 2 lies of any President in History. If you like your health insurance and Doctor under Obamacare you can keep them. He told the lie 26 times on TV and the liberal media gave him a free pass.,0.8154
47,another missed opportunity for K?? Taco Bell announced a deeper partnership with Beyond Meat today. I liked the announcement of the partnership with Dunkin Donuts early last week but... K is moving glacially slow with these partnerships compared with the competition.,0.9193
48,$K Target Lowered by Jefferies Underperform » Hold USD 69 » USD 65www.stocktargetadvisor.com/stock/USA/NYE/K#analyst-rating-tab,-0.7313
49,Double bottom here folks,0.0541
50,Fritz --Sorry liberals try as You may but you can't fix stupid Watch the video below as proof. Donald Trumps victory wipes the smile off Rachel Maddow's face https://www.youtube.com/watch?v=Ut0TaegQ-kw,0.8504
51,Great buy under $60,0.6577
52,Price is Holding up very well on down turns. New base forming. Great news about debt buy back. All this and a dividend. 5 year hold should pay well.,0.9218
53,"We do not take our money, our social status, our worldly power into the next world; but we do take the quality of our love. You might consider doing an examination of conscience at the end of each day, and use as your criteria for living each day",0.9222
54,"Momentum building, finally beginning to outperform. Under $60 won't last much longer, grab your coffee and take a gander at the cup and handle...",0.696
55,Composite operator still aiming to accumulate shares under 60 before the breakout but the volume is struggling... hey buddy... time to give it up...,0.7871
56,K reached a 52 Week low at $55.83,-0.1464
57,Just 13 days and we get a proven successful businessman as our 45th president of the United States and the community organizer is sent packing to his rental property.,0.8471
58,Do any of you guysknow what happened toThe Crooked Foundation?,0.2267
59,delist this trash. take it private and stop ripping off retail investors,-0.5966
60,Anyone else think K is a buyout target for Pepsi?,0.1066
61,http://www.thecompassnews.org/2016/05/health-care-not-privilege/,0.0
62,http://nypost.com/2016/07/30/melania-trump-like-youve-never-seen-her-before/,0.0
63,Mr. Magoo says- try as You may but you can't fix stupid Watch the video below as proof. Donald Trumps victory wipes the smile off Rachel Maddow's face https://www.youtube.com/watch?v=Ut0TaegQ-kw,0.8536
64,Wow K is getting dropped like a bad habit but look at that divy lawdd... my retirement will be good,0.8127
65,Buy Buy Buy,0.3739
66,Can’t wait until it hits $57.00 again...going to add more,0.3055
67,Trump started the Exodus from Breitbart when he said he wouldn't support any groups with racist ties. Stock is at a good entry point now!,-0.0887
68,SmRtly praying for a quick pullback from the earnings would love to add 200 shares with a divy yield above 4percent,0.9563
69,Lying Obama / Hillary and democrats did mass coverup. Liberal lying press gave corrupt Obama a free pass.https://reclaimourrepublic.wordpress.com/2017/02/16/video-new-docs-mb-obama-hillary-knew-benghazi-attack-not-caused-by-protests/,-0.7016
70,"Remember senile Hillary - 21 OUT 25 TIMES, I CAN'T RECALL, SAY WHAT ? Thank God dishonest Clinton lost,http://www.dailymail.co.uk/news/article-3837382/Clinton-says-recall-key-details-email-server.html",0.3409
71,Breakout close over $60 coming Thursday. Major rotation into value stocks as the market enters its parabolic phase.,0.8106
72,Democrat politicians have promised more viruses and variants and lockdowns from time to time.. just load up on pkg food stocks,0.748
73,Is she mentally ill or just getting senile now. Watch video you decidehttps://m.youtube.com/watch?v=UtJ8hU_zgL0&itct=CA8QpDAYAiITCJ746qeUs9ICFQX3qgodjbELfDIHcmVsYXRlZEiOztaF2snouTk%3D,0.1264
74,Chumps selling now at bottom before a bounce over next few days.,-0.2631
75,"Here is a great example of how we should reduce the amount of government intrusion in society by eliminating programs that generate city state revenue to expand government, but ultimately a waste of resources with respect to making our lives better and in many cases make it worse.http://thefederalist.com/2017/03/31/one-simple-change-traffic-laws-can-reduce-police-brutality/",0.727
76,4- black OBAMA -CLINTON SUPPORTERS BEAT HANDICAPPED MAN. Made him say he hated Trump and made him drink toilet water. Will Obama call this hate crime? If not what is it? Pure evil  President Obama said look for the silver lining in what happened. I can't find it.http://www.cnn.com/2017/01/04/us/chicago-facebook-live-beating/index.html,-0.9365
77,"House Democrats like Nancy Pelosi what windfall tax on retirement accounts so they can redistribute the money to illegal aliens and unemployed poor and are also taking aim at State retirement plans for workers who have none, including California's model plan that is a joke.Here is a primary example of the Out of touch Democrat Party chipping away at anything that is beneficial for the working man and woman. Absolutely disgraceful. (Remember - Liberal democrats are the ones who are always shouting ""State's Rights!""). Nancy Pelosi wants to redistribute your retirement gains to people who have no retirement. She senile or insane?",-0.4267
78,"Kellogg Company (K), 10% Owner, Kellogg Foundation Trust, Filled Form 4, on 04/12/2021, Disposed 83,333 shares, at Price $63.22 worth $5,268,412 Follow On Instagram, https://www.instagram.com/money_insider_stocknews/Facebook, https://www.facebook.com/Earnegy/For Stocks Inside News and Details.",0.846
79,Liberal reporter gets bodyslamed by Republican and the Republican wins the election. Democrats can't win elections anymore. Poor Democrat party of losers and the map says it all. https://m.youtube.com/watch?v=zZuPfs2DtWI&itct=CAwQpDAYBSITCMqitqjt8tMCFZYqqgodyWMPmDIHcmVsYXRlZEir8M7OrIez2vQB,-0.7846
80,"Firing Moberg lifts profits by about 400$K per year which is 25%.I say, lay Russell to waste and increase profits 50%.What does that say about value of Aware leadership?",0.7662
81,Had some BB,0.3283
82,"Hypocrite Michelle Obama Don't you just love it when Hollywood actors and politicians, who terrify little children with propaganda that CO2 from daddy's car will destroy the planet, emit thousands of tons of CO2 flying on private jets half way around the world to get into private limos that drive them to private yachts to enjoy warm temperatures?http://www.dailymail.co.uk/news/article-4416814/Barack-Michelle-Obama-pose-superyacht-Tahiti.html",-0.7885
83," Yes indeed a plurality of voters think Barack Obama is the worst president since World War II, a new Yahoo poll says.According to a Quinnipiac University poll released Wednesday, 33 percent of voters think the current president is the worst since 1945. I agree and Ronald Reagan was rated the best president since World War II.",-0.6339
84,Solid investment.,0.4448
85,fritz- Watch Trump victory wash the smirk off Rachel Maddow's face.You just can't fix stupid bias hate filled liberals https://www.youtube.com/watch?v=Ut0TaegQ-kw,0.5735
86,Buy buy buy,0.3739
87,4- black teen OBAMA - CLINTON SUPPORTERS BEAT HANDICAPPED MAN. Made him say he hated Trump and made him drink toilet water. Will Obama call this hate crime? If not what is it? Pure evil  President Obama said look for the silver lining in what happened. I can't find it.http://www.cnn.com/2017/01/04/us/chicago-facebook-live-beating/index.html,-0.9365
88,VOTE OUT ALL DIRECTORS AND MANAGEMENT!!!POLITICS HAVE NO PLACE IN THE MARKET!!!,0.351
89,i am officially short and told my kids that we wont stop eating Kellogg.they did not like it first but once i explained the situation they understood and will deal with itenough is enough i fight liberalism wherever i can since it does not make sence,0.0216
90,I in at 57$ I think this is one of the best value stocks to have in portfolio right now,0.8273
91,It’s pretty funny how K and GIS pretty much own most of the products I buy in wegmans from pringles to eggo to progresso and yet the stocks trade at a steep discount to the overall market. 15x earnings. 3+% dividends. Simple inflation protected businesses and yet all anyone wants to do is catch the falling knives in the biotech and tech names. At some point the reopening trades end and if you’re patient today I’d imagine the safety stocks like K and GIS and TR take the baton from the reopening stocks,0.9708
92,I would sure sell any kellogg stock before their 4th quarter report. The boycott is going hit their earnings big time. I used to buy kellogg's products before I realized they were anti America!,0.5455
93,Kellogg Company & MTV hate's White America. Why spend your Money's on company's who hate you and your family,-0.2554
94,"Be savvy use your reason, respect your hard earning dollars. Kelloggs is overvalued, KO is not going to buy out Kelloggs at it's current very high valuation. it is far overpriced KO management is far to prudent then this, they have a reputation to maintain they are not going to pay far more for any company they acquire then it is worth. As well K is desperately trying to uplift sales, this is not a company KO would buy, until they see a turnaround plan potentially working. As well if an agreement was being discussed the Kelloggs Trust would not be selling shares as they just did, 8,000,000 million dollars worth. K also has very high debt of 7.9 billion approx meaning financing a buyout would be challenging. Plus the Kelloggs Trust I believe the largest shareholder would be an obstacle to buying K.",0.9865
95,President Trump approval today 51% In spite of liberal fake news hammering him every single day,-0.4723
96,"Reminder Fritz- your just another angry sore loser democrat. Try harder in 2020.So very sorry liberals but it is over Hillary Lost. And all your crying, whining and complaining and posting baloney will not change a thing. Now get on Trump Train and make money.https://www.youtube.com/watch?v=jJJyWbC7AMc",-0.9347
97,No buyers and a stall will reverse action lower,-0.7083
98,Thank you President Trump for all you're doing to make America great again. We are all with you and love you! Go Trump!,0.9265
99,You should have bought General Mills instead.,0.2878
100,$61.00 would be a great entry,0.6865
101,"Dump this stock along with FB, TWTR, and AMZN. They take your money and use it against you.",-0.1748
102,"Why aren't Bernie Sanders and Elizabeth Warren down in Venezuela singing the praises of the Socialist/Communist governance they so fervently embrace? Why hasn't Barrack Obama stepped up to endorsed the politics of El Presidente Maduro like he did for the Champagne Socialist Macron of France? And where the heck are Michael Moore, Sean Penn and the Hollywood icons who loved the Socialist/Communist utopia in Venezuela and sang its praises as they trashed the USA?",0.9658
103,Hillary caught cheating but we all New she was dishonest liar.https://m.youtube.com/watch?v=14GvS9O0zhY&itct=CBEQpDAYACITCI6yh57zstICFcOuqgodGxsJtTIHcmVsYXRlZEiOztaF2snouTk%3D,-0.6437
104,Solid Rocket,0.4644
105,"Again the same talk on this board. It is like a venting board for longs and shorts. This reminds me of the internet days where everyone was trying to get there two cents in. I love it when there is good talk and informative talk. But when the venting comes it is really just out of hand. There is know one who knows OPKO's destiny. Whether it fails and trades to the 8-7-6-5-4-3-2-1. I read threw a couple of smart cats on this board and then can't believe they post all day about doomsday. The doomsday you all should be thinning about is where this country is going to be in 4 years from now after the election. Dr. Frost has made mistakes. But I would love to have his money. So people can bash all they want about HIM, not the stock, and wonder what it would be like to have unlimited funds to spend. Have you ever passed his home on the water in Florida? The biggest blunder he made with OPKO was to obtain BRLI. It diluted this stock very badly. Very badly. But OPKO will get pass that, bash all you want and possibly have a great future. What is one of the biggest things you learn in investing? That losses are on paper. If the stock has traded down to levels of the past, paper loss. I feel as I have said before that OPK is trading where it should be. It got out of hand. Without there own revenue from drugs that may be approved, it will sit here. With 600M shares OS, it will sit here. As I have said before, if you where long and made a good trade at higher prices, great. If you where short and made a good trade then great. Who the F$$K cares about anything else. We invest and trade. Hold long or short. And are all in it to make MONEY. So I say good luck to everyone and I mean it.",0.9984
106,Kellogg is up 5.07% to 61.14,0.1818
107,Added more,0.0
108,K is down 4.98% to 57.98,-0.2462
109,Hmmmm...Looks like people are pulling the plug on this one. Must not like the company values!,0.855
110,have your cake and keto too - haha I like it! there's some creative juices flowing inside Kellogg this year for sure. A nice set of new product announcements just in January alone. And we'll be seeing a Kellogg's ad in the SuperBowl in Feb 7. This in a year when Pepsi Coke and Bud are all sitting out.,0.9566
111,didn't pop like i thought it would. hmmm,-0.3367
112,Must be open season which runs from 1/1 to 12/31http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170415-story.html,-0.0203
113,Fritz you voted for a loser. She sure looks like hell without her make up. Poor Hillary 2 time loser and aging fast https://m.youtube.com/watch?v=OXOiTaC1pw4,-0.8224
114,"trumps budget really says low wage workers are losersand losers deserve their low walmart wages and no healthcare and hungry childrenso that the very wealthy can get big tax cuts.The the very wealthy can stack up more money is off shore accounts in the Cayman islands.and low wage Americans will have less to buy cars with or refrigerators or houses or groceriesand then other Americans will get laid off and then become undeserving , not working 'bad' people.isn't it great that trump & tea reward the waltons and ceos and etc with big tax cutswhile cutting spending on the low wage people doing the work at walmart.... and they havethe gall to tell those working people to get a job ? trump is going to end their health insurance and children's food stamps... all to give the rich a big tax cut.... and they pretend it's all about the work ethic.Because these workers are paid so little, they are increasingly turning to government aid programs such as food stamps to keep them from dire poverty, the study found.http://www.cbsnews.com/news/how-low-wage-employers-cost-taxpayers-153-billion-a-year/http://www.cbsnews.com/news/how-low-wage-employers-cost-taxpayers-153-billion-a-year/",0.236
115,fat fingers trade? bid/ask is in the $58 range.. no news,-0.2244
116,"ALL ON WELFARE, JUST PUTTING ENORMOUS FINANCIAL STRAIN ON THIS COUNTRY, WHY OBAMA WHY ? THEY DONT WANT TO ADAPT TO OUR BELEIFS. https://www.youtube.com/watch?v=IaB81JdlGpU",0.8925
117,Political opinions are very expensive to the share holder.,0.0777
118,#NEVERKELLOGG - I'm SICK OF bigoted liberal limousine CEO's trying to ram their LEFTIST AGENDA down the throats of AMERICA !,-0.7715
119,"Nobody EVER, and I mean EVER, steps on the Tiger's toes,.",0.4201
120,OBAMA AND CLINTON ARE NOT IN JAIL BUT THEY WILL PAY THE ULTIMATE PRICE.http://theblacksphere.net/2016/01/why-obama-and-clinton-should-be-in-jail/,-0.6973
121,I'm going to tell you guys a secret.I voted for Donald Trump.,0.0563
122,Bill saw ghost of his sinful past.some of the women he raped and took advantage of and Hillary let himhttps://m.youtube.com/watch?v=4PEqFQXZoFk,-0.8126
123,"Warren should have bought Kellogg. It will be fine, just needs to make some changes here and there.",0.5504
124,sales are down. They are planning more interracial commercials to improve sales.,0.2083
125,"Headed toward $55.55 sorry to say Who would disagree ,and why?",-0.2914
126,Did Bryant go to Harvard? Is this guy another Obama buddy? Why is the stock down for the year when the market is up almost 1000 points. Time for a new board and new CEO!,0.7608
127,Thought I'd drop in to see how stockholders felt about Kellogg smooching up to dims,-0.123
128,"CBS has now had two special reports in the last week interrupting early morning shows when they think they have dirt on Trump. Anybody remember all those times they did that with Obama during his 8 years? Neither do I. What a disgusting, and disingenuous company.",-0.2858
129,K is up 4.90% to 61.08,0.1818
130,Barrons Bump LOL wow people are suckers,0.6341
131,Sold all my shares...........I will never buy any product from Kellogg's again.,0.2599
132,K is down 5.05% to 60.00,-0.2462
133,Should Kellogg's IPO or spin off Morningstar Farms as it's true value is not reflected in Kellogg's market cap and stock price with plant based foods being a niche.,0.7042
134,"5 year chart facts...$82.71 high to current $58.03, decline of $24.68 per share! The 4% yield does not matter when it's a downward trend. The is similar to MO, not a long hold play!",0.9029
135,"Boycott the fake lying liberal news networks. ABC, MSNBC,NBC,CNN, CBS. Pack of liberal lying bias fools",-0.8537
136,Have you hugged your boyfriend today?,0.5201
137,Democrat -liberals loser try as You may but you can't fix stupid Watch video below as president Trumps win wipes the smirk off Rachel Maddow's face https://www.youtube.com/watch?v=Ut0TaegQ-kw,0.6043
138,Mi flavorit club!http://www.chicagotribune.com/news/nationworld/ct-cincinnati-nightclub-shooting-20170326-story.html,0.0
139,To be 100% honestThere s ONE thing I do like about Trumpand that's his BIG HANDS!,0.7851
140,Bought 3000 shares today.,0.3621
141,"Fritz - Still have One last question for liberal spammers like you what happened to all those Madame president postings they disappeared November 9, 2016.",-0.0893
142,Still a struggling business.. cereal space got too crowded,-0.5386
143,Obama - America's first president to openly hate America. His wife's hatred may be even worse.Liberal Grubers should have their heads examined.,-0.8482
144,Added K to my portfolio today,0.2281
145,Down -18.6% WOW !,0.5939
146," Lying corrupt Obama's  are coming home to roost. The US ""fake news"" can't protect him forever. New FBI soon will investigate him and Hillary.http://www.dailymail.co.uk/news/article-4538846/NSA-spied-Americans-Internet-data-illegally.html",-0.8254
147,"Well still one of Yahoo posting boards mysteries?? What happened to all the Madam President postings on Nov. 9, 2016? They all vanished. Who deleted them? Embarrassed liberals or liberal Yahoo do it?",0.5617
148,Steve Bannon is my hero.Trump?He's a VERY close 2nd.,0.0397
149,yesterday I was in Wegmans and noticed they are discontinuing all Kellogs cereal - why??,-0.2681
150,"Funny I bought this know this should happen but wasn’t expecting it would.. what, with all market manipulation and gamification... wish I bought more",0.5561
151,$K $TSN should form pact with BYND,0.1025
152,"K reports Before mkt opens. expect not much save for tax juggles and other accounting contrivance that i shall not understand. am patient, and will start at 56. you know better, of course.",0.7882
153,Open season runs from Jan 1st to Dec 31sthttp://abc7chicago.com/news/5-killed-14-wounded-in-weekend-shootings-across-chicago/1798012/,0.1462
154,Stock going up up up with all the free advertising Does anyone know if SNL is publicly traded?,0.8647
155,I love this video.https://www.youtube.com/watch?v=e22Mun9fdl0,0.6473
156,This has been hammered. No one buys cereal and groceries anymore? Can’t wait for their earnings blowout,0.3685
157,I have noticed: Liberal people complain because God put thorns on roseswhile others praise Him for putting roses among thorns.,0.5934
158,Another company on my long and growing list of companies that think teeing off half the consumer base is a good idea. Good-bye K. Don't need you either.,0.9013
159,what a green day... say it aint so,0.1406
160,Not your tsla nkla pltr type stock,0.3124
161,tea hypocrites whined when Michele obama wore a $2000 dresshttp://www.mercurynews.com/2017/05/26/melania-trumps-51000-flower-jacket-could-pay-salary-for-a-teacher-police-officer-coal-miner-trump-organization-assistant/,-0.2302
162,The last time K did something like this it blew up. have you guys heard of awesomeS-TOCKS. i started receiving their allerts and so far i am happy.,0.8414
163,K is down 5.48% to 52.75,-0.2462
164,Politics and business do not mix. Boycott Kellogg products. fire the CEO now!,-0.3915
165,Two things the dumbayses at Kellogg's need to learn: Never mix politics and religion with BUSINESS!,0.4862
166,"Need to reduce sugar in their foods, people are very health conscious now.",-0.0247
167,I hopes day fount my foo stamps!https://www.youtube.com/watch?v=cZgksYpx814,0.5283
168,This company is run by America HATING PERVERTS. See their ties to Black Lies Matter and the Soros Tides Center.,-0.8335
169,K has just seen the last of the selling. Looks like a potential push higher is in store. have you guys heard of awesomeSTO-CKS. i started receiving their allerts and so far i am happy.,0.837
170,"If trump took a dump on his desk,nutjob trumpers would defend it.",-0.5009
171,The key is that share repurchases are resuming. Even management believe that K is currently under intrinsic value. Do you DD tho pls,0.789
172,KELLOGG PRODUCTS ARE POISON.....TOO MUCH SUGAR...CAUSES DIABETES....ALL BREAKFAST CEREALS ESPECIALLY...AND POP TARTS....GARBAGE,0.4579
173,When it all shakes out food & water a must have.,0.0824
174,Go Trump,-0.0138
175,Not convinced by K recent bounce. Might get dragged back down after ER. Basing this off GIS recent earnings and stock price movement,0.8362
176,"Cramer bashing K, does he not watch ""Stranger Things"" ? Just sayin, no horse in this race.",0.5043
177,"Congrats Kellogg. You now join Target, Starbucks and Macys in my 'Do Not Buy' list.",0.8382
178,Never forget liberal bias press gave Obama and Hillary a free pass....Lying former President Obama / Hillary and democrats did mass coverup. Liberal lying press gave corrupt Obama a free pass. That is a fact and 4 Brave American's died https://reclaimourrepublic.wordpress.com/2017/02/16/video-new-docs-mb-obama-hillary-knew-benghazi-attack-not-caused-by-protests/,0.0535
179, CNN caught lying and and has to admit it. https://m.youtube.com/watch?v=rSzYc_gSx44&itct=CBEQpDAYACITCKmZgNDc09ICFZdwqgod46AAvTIGcmVsbWZ1SIqj_Kv2o_GhRA%3D%3D,-0.096
180,Michelle Obama hates America. https://m.youtube.com/watch?v=UoTV6Fpupew&itct=CA0QpDAYBCITCPmfobqZ0tICFQaCTgodaUwPIzIHcmVsYXRlZEiX2cHjgPXxm3k%3D,-0.5376
181,"Kellogg's is well positioned for the evolving consumer dietary trends with a large variety of plant based offerings, Morningstar, Kashi, etc. etc.. They have shown an ability to innovate and made divestment and acquisitions to target revenue growth as well. Compared to the current valuation of consumer defensive stocks like PEP, MDLZ, PG, etc., I think that Kelloggs is one of the best options to buy right now.",0.9605
182,Kellogg reached a 52 Week high at 72.28,0.3561
183,I would love Trumps health care plan if I was not dead broke and living in moms spare bedroom.,0.5262
184,trading patters looks like insiders are dumping before the bad news comes out then the retired people will lose their nest egg like KHC did.,-0.413
185,"Liberal obama lovers? WHY DID OBAMA TRY TO MAKE AMERICA LOOK LIKE THIS WHILE HE PROTECTS HIMSELF WITH BODY GUARDS, FENCES AND ENORMOUS SECURITY.http://thegutta.com/2016/12/disturbing-video-dearborn-michigan-transformed-muslim-crime-haven-video-will-wake/",0.9225
186,"Kellog to buy Tofutti Brands, Inc. (TOFB)?",0.1636
187,What a beautiful stock! Solid dividend ,0.802
188,"Sold my shares in after hours trading today.....I no longer want to support this company through ownership, and I don't think I am alone.",0.7401
189,K is down 5.14% to 58.52,-0.2462
190,GP Investments upgrades Kellogg to Strong Buy,0.682
191,Kellogg is up 4.95% to 66.19,0.1818
192,If we have a government shutdown it'll be all the Democrats fault. The democrat party of hate and angry sore losers.,-0.9342
193,Predictions for tomorrow?,0.0125
194,$80.00 value by year end..Many new products and lower debt,-0.2003
195, I do feel sorry for screwed up Obama he came from a screwed up family. https://m.youtube.com/watch?v=UMUlWbO1rhk&itct=CBAQpDAYASITCNz0tLrf09ICFY_2qgodGM8IDDIHcmVsYXRlZEir8PGl88L0qOAB,-0.5426
196,Loser troll paid spammer wrecking posting board. Just another democrat liberal paid MoveOn.org lying nasty spammer. Report to Yahoo.,-0.919
197,Fritz- is correct Trump is the best president since Ronald Reagan,0.6261
198,Mr. Magoo says- why did Hillary lie so much. Could be why she lost the Midwest blue wall. https://m.youtube.com/watch?v=14GvS9O0zhY&itct=CBAQpDAYASITCO_Dp-XqxNICFYO5qgod6BsMsTIHcmVsYXRlZEiOztaF2snouTk%3D,-0.3286
199,Can anyone tell me why did Valerie Jarrett move in with Obama? Sure seems a little bazaar. https://m.youtube.com/watch?v=GzKnoOlncnE&itct=CBEQpDAYACITCLbm0s3Y0dICFYRkqgodxhcMczIHcmVsYXRlZEiJ7L2O47HBtLsB,0.4102
200,"You can purchase this companies stock if you are looking for some consisent dividend revenue, but if you are looking for growth, move on.",0.8232
201,Republicans need to keep all their donors and get more Democrat donors to switch and become Republicans after seeing how great Trump is doing fixing to mess Obama made. http://www.townhallmail.com/owlgtpvkggrdtkgkdktjvdcllqdllkqvmmjpntrtfzmqfll_tvlzmvphwmcklvvzpplmww.html,0.2086
