,Recent headlines and conversations for COST,Polarity
165,Monday and friday..usually not good days for Cost stock,0.5952
166,Anyone else notice the large blocks of 10/16 call options bought at a $460 strike price?? It’s at $345 pre earnings.. Am I crazy or is that real?,-0.4317
167,Moving past 400 soon,0.4139
168,"Wow $GRF Greenrise Foods greenhouse stock owns 70 acres of greenhouses in Leamington, ties with Sunset Brand who sells produce to $COST. $GRF actually owns and operates 30 acres of Sunset greenhouses (grows, sells to them and they sell to Costco)",0.7795
169,I’ll be buying at $275 next week,0.2996
170,"Option pinning, youd be crazy not to get in for calls for next week going right back to 350.",-0.1515
171,Will buy some shares today. ..well managed company,0.5128
172,355 by call time.,0.1218
173,Is it on ?,0.0359
174,"costco shares are not to be compared to what the company does,,,fools chase price of stock,,the company has no give a damn about the stock because they sold it already to you a long time ago",0.6628
175,on target for $200.,-0.0375
176,"Realistically, Costco deserves a multiple of about 10. Single digit sales growth, low margins and some union labor are the reason.",-0.2283
177,"Costco makes the majority of its money from membership fees. They barely skim profits off from goods sold, and thus customers are likely able to realize ROI from their membership fees in just a few trips. Even if they bump up the price by a few bucks for the first time in several years, that won’t change.Their renewal rate is 90%. With that kind of loyalty, I doubt such a move would be dangerous at all.Honestly, as both a member and an investor, I kind of hope they go through with the increase.",0.9273
178,Do you guys know if they are before or After the market on Thursday? Thank you,0.5269
179,going green SOON.,0.2251
180,Why is COSTCO going down at all. Makes no sense.,-0.5334
181,Up today,0.259
182,This company will continue to grow into its valuation as it might be the best manage company out there. I have watched it for far to long and right now is as good as it gets for buying.,0.9409
183,costco er will b huge ..... 308 peaked and we r down from peak .....hop so post er it will jump 320 approx,0.701
184,"An increase of 6.9% for August, 7.0% for the fourth quarter, and 7.9% for the fiscal 2019 year in sales over 2018.",0.1396
185,I’d rather be invested in a company that cares about there employees. But I guess I’m just built different. Stock go up and down. These people worked everyday as did I. Yet I make a lot more $ then them. They deserved a raise!,0.8559
186,Costco reports after market close today. Should be welcome news,0.5247
187,Costco goes to $300 by July.,0.0095
188,No special dividend!,0.3227
189,Needs to double the dividend,0.395
190,So glad i was buying the dip in late Feb & early March :),0.7735
191,"COST can pump up membership to 60-70 million memberships within a 5 years. The number that I assume is very possible. COST makes profit around 14 %, I guess COST will beat WMT in a few years.",0.3608
192,"Backed up the truck and loaded the bed with more COST shares. Will back the truck up again if there is an earnings selloff. COST is dirt cheap in the lower 300s. TGT and WMT are also at bargain levels right now. Own all 3 and the big e commerce names and discount retailers. These sections of commerce are what will last long into the future, unlike traditional brick and mortar retailers that aren't discount places or are traditional shopping centers like department stores. I have been taking full advantage of the rates temper tantrum and loading the coffers on every dip. Long term COST will go back to 400 and then take out 500. These bargain prices won't last forever folks so take advantage while you have time.",0.9628
193,"https://www.marketwatch.com/story/2633-instead-of-1599-a-case-costco-shows-seattle-customers-just-how-much-soda-tax-costs-them-2018-01-10I like this A LOT. Smart company, smart management. I am a member, don't own the shares, but no reason not too.",0.1595
194,The shorts did have a point ,0.0335
195,It’s hanging on $338 for over 2 hours now. At least it did not continue to drop. Solid at $338 . In no time it will turn back to 350,-0.5912
196,look at the costco chart. Very clear that it has bottomed. I see 160 in a month,0.4403
197,"Well, Costco share sale is over, if you didn't buy too bad.Yes $400 this yr. is easy if you consider last yr. gains at all.Darn I love my Costco Stock!",0.9385
198,COST is above 400 next month! We’ll see 360 today!,0.3854
199,the earnings call is at 5 Eastern. anyone saying they know the earnings is a lying short,-0.6603
200,Long line ups outside with shopping buggies discourages many shoppers; limits on who comes in; low volume in the warehouses. This is all priced in already.,0.4371
201,"Low risk, moderate reward. A can’t lose stock. You just need patience.",0.3099
202,"Viral video clip in China, drove the stock to hit 300. Another great month sales number ensures that Cost will hit 320 before Oct 3rd. Picture is worth 1000 words, If COST's PR goes get a few more clips from China, sends it out the few network. If Oct 3rd, COST has any plan to open up store in China, jus2 a month. I bet you that COST will hit 350 by year end,.",0.9418
203,"Costco is great!! the only issue is that its way too expensive for me, Augmented Reality is the future and IPNFF is a Gem, it'll keep popping and end up like NEXCF because they're the only two companies in the market that sell AR as a product, GLTA know what you own.",0.9512
204,"""Costco May sales rise 7.5% to nearly $13 billion, online sales double""Here we go... this is a shot Costco stock needed. A little reassurance that they are flying high. OH, lets here those naysayer's say something about negative Costco's online sales now , LOL. Can you looses say ""DOUBLE IN SALES ONLINE""?""Costco May sales rise 7.5% to nearly $13 billion, online sales double""",0.9018
205,"Earnings will be good, I bet ya the stock will go down initially though, it seems to be the trend this quarter",0.6185
206,Did COST crash a plane?,-0.5263
207,Started working for Costco this year. Met the CEO last month. Great company. Very well run . Our most is wide.,0.8393
208,"And just like that......in just 2 trading days, Cost is up over $8 lol. Gotta love that lol",0.9308
209,$20 special dividend coming.,0.5325
210,You can see COST weakening...it cannot get back above $267.20....I think the top is in....just waiting for over valued PG to finally give it up.,0.4511
211,have BUY orders ready soon..........................,0.5869
212,"Cowen rates Costco shares outperform and, in a rare move these days, raised its price target to $360 from $350.",0.6143
213,everytime I check into this..it gets worse..pure crab,-0.178
214,Largest foot traffic increase this weekend at my COSTCO !!!!!!!!!!!!!!!!!!!!!!!!!!!!its just like CHRISTMAS.........................................,0.8202
215,COST target price is listed at $400 on yahoo finance based on the average estimate of 26 professional analysts. I would go by that before I went by an estimate by anyone on this message board!,0.651
216,shopping at Costco is still the top choice for most people.,0.6643
217,I bought in at $390...and then is crashed...come get me..I. at the 390 intersection,-0.0918
218,never sell this gem.,0.4924
219,Gone up daily for a week now...I see no problems ahead. Also agree with the parking lots always filled which only means good news for investors. Stop by sometimes just for the rotisserie chicken..Best Buy anywhere.,0.3023
220,"Expansion in China alone will need over 200 to 300 stores to open just to start to handle their demand. This stock will, will continue to keep doing well and eventually reach 400 or higher in the future",0.7484
221,"Now we know how in the world the price was taking a hit after good news last months/quaters, the big boy has been dumping it all. Bye Warren.",0.529
222,Hey Balls- just sell the GD stock and be done with it already. These are unprecedented times we’ve gone through in the last four months so either sell it or take an extra pill.￼,0.6743
223,When Buffett sold i realized I needed to get out and thankfully did. Love Costco as a store but sold on the premise you should never fall in love with your stocks. Costco is overpriced when you look at it's earnings. I'm doing great in Under Armour and you would think with all the sales Costco has done during the pandemic it wouldn't be falling off the cliff. I'll look to buy again when it drops to a more reasonable 200 to 260,0.9689
224,Do you suppose Costco directors forgot the div meeting?,0.2045
225,"$400 by 2020, they rule China. One billion new members.",0.6805
226,"Guys. Time to buy cosmetics COTY, vaccine will be approved very soon, huge upside.",0.9152
227,Makes no sense...,-0.296
228,Mark this post. $10.50 special divi will be announced,0.6652
229,"Still Overbought, Overpriced. Worth about 190 at best.",0.755
230,Stock price turns on a dime. Why so turbulent?,0.4227
231,"Costco Wholesale (COST) PT Raised to $230 at BofA/Merrill Lynch on Q1 Report; 'Accelerating Traffic, Comps & Membership Growth' Source: streetinsider dot com",0.8215
232,$315 next week?,0.0313
233,Up or down after earnings and what price are y'all estimating?,0.094
234,"How is it that we have strong earnings albeit at a slight slower month to month level yet beating expectations and now for the last 3 days more than $10 have been wiped off share price. So much for the $10 ""special"" dividend. It should be renamed Special Stick Price Eraser. we announce $10 and it cost shareholders $20.",0.8956
235,Investment firm D A Davidson new rating has COST as neutral. Says its membership has top out.,0.7791
236,This is a good stock. See the 300's soon,0.5682
237,"I am curious, how many who post on this board have Prime? I assume everyone who posts here own Costco stock, but I am curious how many shop on Prime.",0.8982
238,It went through the 300 mark like butter.Perhaps a 3 for 1 split is coming and a nice payout?,0.8501
239,two back to back green days a rarity here,0.1055
240,"this is gonna keep flying, Costco in China a huge success with hopes to add more.....how can you go wrong with Costco",0.8686
241,"AHHHH THE ETERNAL OPTIMISTS !!! Everyone appears to be happy the stock is nearing 300, as it presents another 'great ' opportunity to buy. interesting logic. would imagine if it went to 200 you'd be estactic. let me ask this, you think Mgt is doing a wonderful job ? is there ANYTHING you might suggest they do to improve performance ? I mean, they went crazy over raising employee wages. is there anything you might suggest that they could influence the price of the stock ? say, oh, i don't know, maybe purchase back shares ? stock split ? dividend grant ? is there anything they could do to curtail the selling short that seems to be wrecking havoc on this stock. i mean, thats a 70 point drop in less than 11 weeks ANY SUGGESTIONS ?",0.987
242,Targets are now all in the400+++,-0.034
243,Overpay the workers = increase in ur membership fees,0.3883
244,How about a 4 to 1 split so the small guy can buy some shares?,0.6612
245,354.77 today. Last time I bought was 352. $355 is also a great deal. In the long run a few dollars would not make a big dif.,0.8935
246,Costco is international and whole food is limited to the US plus their prices are ridiculous. Wall street exuberance . Buying opportunity,0.4353
247,Dead Stock on a day w a 600 point rise,-0.556
248,Costco has crushed the expectations qtr after qtr for the last decade. Anyone who doubts them is not too bright. Every single time I go to Costco they have 15 check out stands with a line of 4-6 full carts at all times....,0.7167
249,earning out,0.139
250,Ready for takeoff ?????,0.7937
251,Burnnnnnnnnnnnnnn Burnnnnnnnnnnnnnnnnn SHORTS...................,0.0
252,costco makes most of the money from membership fees. the money i saved at their gas station along already pays the membership. long live costco.,0.837
253,"'Comparable-store sales, excluding the impact of fuel and currency changes, rose 7.5 percent for the first quarter ended Nov. 25, well above analysts' average estimate of 5.8 percent'...this is the best news! Earnings in-line, rev up, but positive comps...the big news!",0.9355
254,"Good ER in bad market, it will not go up for weeks",0.4754
255,Nice volume .....................................shorts better cover................................. or get burned.,0.6537
256,drum roll !!!,-0.4269
257,I bought in at $352..a few months ago. and thought it was coming back around..and now this out of no where.,0.0154
258,almost new 52 wk high. its like watching fireworks,0.6284
259,I'm anti businesses donating my actions. We were great Costco fans. Out until the mask order is lifted. They make decisions and so do customers. If only 10 percent of customers are liked us they will see serious declines.,0.8337
260,"Costco is allowing people in line outside to be one on top of another ! Unlike Trader Joes, they spread out 6 feet apart with lines. Nobody wears a mask inside and out. The Virus is spreading throughout these stores. Just a matter of time the governor mandates a mask for entry or else, you get the boot ! I refuse to shop at any Costco until they regulate this rule.",0.9184
261,companies that take care of employee do command respect..,0.4767
262,Praying that it opens flat tomorrow so I can load up on puts to ride it to 270 by next Friday,0.7923
263,"Costco on line is open for non-essential items, also we can shop online for produce and grocery's Costco best deal on the glove, did I hear they're opening a second Costco in China?Oh oh! I hope they'll do social distancing.",0.92
264,"COST and AAPLjust ""own it"" dont trade it !",0.166
265,"Normal nervousness before the quarterly report due on 28th.Everyone, including Walmart, Home depot, target, has reported solid numbers.Costco will do even better, a great time to buy a bunch!!",0.9128
266,Still pretty high hopes that COST is going to rise. Anyways the price/sale number looking nice :)https://wallmine.com/screener?d=d&e=NYSE%2CNASDAQ%2CNYSEMKT&o=m&r=v&s=COST%2C,0.8346
267,I just bought at the bottom. Why would this even go down?,-0.2774
268,March sales numbers coming out tomorrow,0.1943
