,Recent headlines and conversations for NOV,Polarity
39,"I was speaking to a trader this morning, things are too quiet for gold. A woof in sheep's cloathing. America has the last word on North Korea.",0.7143
40,NOV is down 5.77% to 21.38,-0.4368
41,crazy... Moodies! downgrade to bbb2! and stock goes up. I guess options squeeze.,0.4878
42,"Why not a Buy out, at this price levels before it goes higher",0.5648
43,"I think the new tax law impacted NOV's first quarter. The new tax law allows immediate expensing of capital equipment purchases, effective January 1st. If companies were thinking about ordering equipment from NOV in November or December, they obviouslywould have held off to see if they would have gotten a way bigger tax deal in 2018, and they did.So, if orders from November/December were pushed to January/February, NOV wouldn't have had enoughtime to build that equipment and book it as revenue in Q1. I also think those delays will just add to pent-up demand and compound the orders into 2018. Indeed, NOV's CEO characterized the dearth of revenue as a temporary thing, consistent with what I'msuggesting.",0.5823
44,why the big drop afterhours?,-0.1396
45,National Oilwell Varco is down 25.89% to 11.62,-0.0238
46,"I must be The only bag holder. This has broken the old low, I think we may test, or come close to the low at the end of the energy crash. This completely sux!!",-0.896
47,Added some more at $11.25. I suspect the selloff is based on some short term nonsense. I look at 12 - 24 month time range and the fact that NOV generated $380 billion in operating cash flow in the worst quarter ever for the oil industry. You will easily see double from these levels if you just have patience and look at the longer term.,-0.7366
48,"I sold this, but the play should have been sell at $24-$25, buy in the $21's, repeat, repeat, repeat....",0.6461
49,"This sort of revenue pre-announcement is always rough and comes on the heels of a not so good previous quarter.To my way of thinking, NOV is famous for being ultra-informative. The revenue miss is bad but it is likely that people are more upset about the ""Opaque"" statement - The truth sucks but it isn't the end of the world.Perhaps a mistake, but I am staying long; this money may be locked up for a while, but this does not seem to be a case of NOV losing to an emerging competitor.If I owned BHGE (which has held up this morning), I would be selling them right @#$^* now. I wonder what their put premiums look like.",0.699
50,"Please sell the company, make an aquisition, or raise the dividend. I'm officially sick of being a bag holder.",0.0486
51,Expect A Big Quarter Ahead From National Oilwell Varco $NOVhttps://seekingalpha.com/article/4180369,0.225
52,Oil hitting yearly highs and NOV is consolidating???,-0.5976
53,NOV is up 5.21% to 24.22,-0.0466
54,NOV is up 4.94% to $36.85,-0.0466
55,"this guy ""sandor"" is fetching you thin heads to earn replies. he has more than one account, and follows the same tactic. reply to him for stuff and giggles only. he will not evidence his holds or even an account. probably buys fractionalized shares of tesla.",0.9096
56,NOV is down 25.89% to 11.62,-0.4368
57,"In the next few years, we should see Oilprices finally Stabilize. This will great for NOV",0.6669
58,National Oilwell Varco is up 14.56% to 10.31,0.3834
59,This stock is soooo predictable...it hits a newer high and rolls right back down into $1150 - $12.50 range...,0.2677
60,Fire the Board!,-0.2911
61,"The 3 analyst who updated their view following the report, have an average price target of $15. So why are people selling at half the price? This market is crazy bearish - lost all connection to reality.",-0.8058
62,"The analyst had his so-wrong with X, and are still trying to predict lower ESP. Buy, SLB, and NOV are going to be popping, could squeeze",-0.2795
63,"In the call, outlook for 3rd and 4th Q to decline. Hence the drop!",-0.5422
64,"New global oil discoveries are at 70 year lows. Oil companies are coming up far, far short of replacing the depletion they are experiencing out of their existing reserves. When this oil glut ends, it's going to end with a bang, and once it does, it's going to take years for new drilling to bring new supplies up and running to replace continued depletion. This glut is like water rising behind a cracking dam. The higher the water rises as the glut continues, the bigger the flood is going to be once it breaks. The longer the glut persists, the more a company like National Oilwell Varco will benefit once it breaks... and the break is inevitable.",0.8322
65,National Oilwell Varco is down 6.14% to 16.96,-0.0238
66,"BASX (Basic energy services) The market cap of this company is mind boggling at 6.5mil with the stock trading at .29 compared to what’s its actually worth. Just the 860 million NOL (carry forward losses for tax purpose) would save a larger company like $SLB $NOV $BHGE 180 million alone plus the almost 60 million in cash and their water midstream unit is worth at least 350 plus million.They are expected to be cash flow positive this quarter of about 5-8 million which is the total market cap right now! Capex ex is minimal going forward. Never in my life have I’ve never seen such a disparity between market cap and what the company should be trading at and NOT a measly 6.5 mill market cap make ZERO sense. 850 million plus in revenues and been signing big contracts in last few weeks with oil rising Add recent sale of unprofitable biz between 40-75 mil which is outstanding, potentially another $3-5 mil buyback new CEO which is second to none in industry This should be $7.00-$9.00 Plus a share easy.",0.9914
67,cmon NOV,0.205
68,National Oilwell Varco is down 15.23% to 8.63,-0.0238
69,NOV is up 4.96% to 22.45,-0.0466
70,"Yes, nice pull back. Good luck to all new longs",0.905
71,Sometimes I think that I will never get out of this one. Been stuck with it tons higher. If I ever break even I will be thrilled.,0.4228
72,Bk coming?,-0.1287
73,NOV reached a new 52 Week High at 39.98,0.2323
74,got a long way to go back to $40,0.4727
75,"facts are, NOV stands out in the energy crowd. can't be persuaded and should they even give back some dividend, that would cause my opin to change. meanwhile, you posters are all buyers. you're smarter than most. yeah, of course.",0.8472
76,"BAS (Basic energy services) The market cap of this company is mind boggling at 6.5mil with the stock trading at .29 compared to what’s its actually worth. Just the 860 million NOL (carry forward losses for tax purpose) would save a larger company like $SLB $NOV $BHGE 180 million alone plus the almost 60 million in cash and their water midstream unit is worth at least 350 plus million.They are expected to be cash flow positive this quarter of about 5-8 million which is the total market cap right now! Capex ex is minimal going forward. Never in my life have I’ve never seen such a disparity between market cap and what the company should be trading at and NOT a measly 6.5 mill market cap make ZERO sense. 850 million plus in revenues and been signing big contracts in last few weeks with oil rising Add recent sale of unprofitable biz between 40-75 mil which is outstanding, potentially another $3-5 mil buyback new CEO which is second to none in industry This should be $7.00-$9.00 Plus a share easy 1",0.9914
77,Cowen raises price target to $16.,0.0023
78,NOV reached a 52 Week low at 21.41,-0.3548
79,"this has to be one of the most hated oils out there. none of the upside, all of the downside in the oil soap opera.",-0.5582
80,"Nice upgrade today by Barclays, pt raised by $6 to $18.",0.5612
81,NOV is down 9.26% to 10.97,-0.4368
82,NOV is down 5.32% to 19.62,-0.4368
83,Do they get all their parts in China? why is this tanking?,-0.3198
84,Nice move 11/6.,0.4773
85,NOV is down 5.10% to 21.95,-0.4368
86,They shook a lot of weak hands out. Watch as they run this back up into $29 the next few days. The institutions playing amateur investors like a fiddle on this one.,0.7716
87,So I googled hurricane stocks and NOv made big gains last hurricane. Is it hurricane season yet?,0.6059
88,NOV reached a 52 Week low at 18.50,-0.3548
89,Perhaps a short-term pull back is more likely before the next rally on NOV? the other week awesomesto-cks alerted this company i think. google them .,-0.159
90,"Starting to peruse nov. If,when, and doubtful, however, and After first tranche, will post. prematurity will slap you here. belief that usual comments here may bear fruit, is nonsense.",-0.7067
91,NOV is up 9.88% to 9.73,-0.0466
92,A very quiet board im seeing. watching this stock take off the last couple days. just wondering ones thoughts that has stayed long?,0.8299
93,NOV is up 4.96% to 44.63,-0.0466
94,NOV reached a 52 Week low at 23.79,-0.3548
95,"I made a ton of money buying NOV over the years, so when the price dropped I told my younger brother to buy it. That was at 42, he does bring that loss up a lot at family gatherings. Sorry bro.",0.3681
96,chapter 11 on the horizon,-0.1416
97,Hopefully bottomed out,0.5076
98,"Based on the graph, it's the same price as it was in 2008. That's pathetic.",-0.584
99,How is this worth 10% gain on 21 million in profit for a 18 billion company??? insane,0.7644
100,"WOW! I can,t believe what a buying situation we have. I didn't think we would see 42 again, at this price and the pick up in oil production,$55 is not far away.",0.8568
101,When it hit's 52 week low I'm in,-0.2313
102,"It appears to me that US is at Cold War II w China and Russia and the main tool is oil prices... so prepare for a ride. Before Iraq war we clearly saw end of oil, now we clearly see only horizon... meanwhile gasoline prices are same.",-0.5912
103,getting interesting. may do this one.,0.594
104,NOV reached a 52 Week low at $28.26,-0.3548
105,total collapse... https://www.eia.gov/todayinenergy/detail.php?id=43796,0.0985
106,#NOV in play. Target: 56.06 at stoxline.,0.2334
107,xom may also buy nov,0.2349
108,NOV reached a 52 Week low at 9.62,-0.3548
109,article on ge again should buy nov i agree $50.00 or higher,0.7373
110,This company is a hot mess.. stay away.,0.1495
111,NOV is up 8.44% to 12.08,-0.0466
112,I think this company has finally has turned the corner. 2022 is the breakout year!,0.7345
113,Do SOMETHING with the cash!!!!!!!!!!!!!!!!!!,0.5324
114,STRONG BUY $NOV 12.33 / 11.43 . comming wave 3 Weekly,0.5321
115,Q2 will be a shamble and probably the bottom of this downturn.,-0.4406
116,this is going up!!!!,0.3086
117,NOV is up 7.98% to 24.63,-0.0466
118,nov is the godzilla well supplier best in sector,0.8341
119,dipping my toes in here$27.14,-0.0024
120,I am not sure how much value this management team is willing to lose without the board of director doing something about it. They are sure not working for investors. Too bad....,0.8955
121,NOV is down 4.93% to 26.52,-0.4368
122,UGH...Another great day for people like me who are still stuck with this.. Holding...But painful ..,0.5429
123,I continue to not understand NOV share price. They have an excellent balance sheet compared to competitors whose prices are sky rocketing. This is a very well managed company being punished for some reason.,0.8081
124,NOV GAPPING HIGHER TAKING OFF,0.3814
125,APA Apache oil and gas earnings soon bynd really cheap today zm,0.4043
126,NOV is down 4.91% to $36.92,-0.4368
127,I gave up. Bot at 50 mid '15.Finally dumped it Friday.Thanks for the write off.,0.2631
128,Great buying opportunity going to 30.00 within 90 days,0.8421
129,"If this stock goes down today,with oil up a couple of dollars, I am not going to be a happy camper.",0.5731
130,"I would punch myself in the nuts for buying this, but I've already suffered so much pain.",-0.8148
131,NOV reached a 52 Week low at 11.69,-0.3548
132,NOV is down 5.27% to 22.91,-0.4368
133,"The big boys have this all figured out. The stock is half price. Better get on board for the ride up.This company is not a long term loser. As soon as the oil business is back to normal, it will take off like a rocket. That is why hedgies are accumulating it.",0.9219
134,NOV is up 5.83% to 19.80,-0.0466
135,National Oilwell Varco is down 8.41% to 10.75,-0.0238
136,NOV is up 6.68% to 22.36,-0.0466
137,what's wrong with this pig?,-0.5983
138,https://finance.yahoo.com/news/nov-announces-joint-venture-saudi-104500031.html,0.0
139,21 hours ago someone wrote that this stock will pop out... and it will be big time. Thanks man. :))) You should be ordained as priest.,0.7652
140,"Just bought back into good, old, All American, no nonsense, NOV!! I've been waiting patiently for a bottom to form. Dollar appears to have more weakness going forward and oil looks like it want to continue to rally. NOV has a nice chunk of King Cash on its balance sheet. Stock is worth a minimum of 35 bucks. Nice entry point today around 27.30.",-0.2509
141,"mindful, NOV doesn't do divs as long as no payouts keeps their shirts on NOV's back. investor shirts, well that's another story. grasp fact newb, buying oil patch is dicey, and especially now. buying the patch and not even earning a dividend for the very risky long hold, is bonkers. comments here are for amusement only.",0.9062
142,going to be ugly today after the pre announcement,-0.2683
143,still nothing from this lousy board of directors! And now the math has changed again for the worse with the price of oil down 5%. wonder what they are waiting for? we need activist investors to throw this board of directors out restructure the company. the cost structure is insane!,-0.82
144,I hope they are buying back shares under 30.,0.7468
145,NOV is down 4.93% to 21.60,-0.4368
146,"The drop in the dollar should lift oil. Not sure it's a 100% correlation with NOV, but it seems like it is.",0.4308
147,"$700 million in FCF in 2020 - that's the takeaway number from the earnings report. That means that in the worst year for the industry on record, NOV generated $700 million in free cash flow, a number that will only grow as the industry recovers over the next year. That means improved balance sheet, improved liquidity and financial and operational flexibility. NOV is currently trading at around 7 x FCF - dirt cheap.",0.722
148,Earning missed expectations. Outlook dismal. Same old strategy to pump the price up during after hour and pre-market trading while the volume is light.,-0.2728
149,any idea who is looking to buyout NOV. Rumor has the bid for NOV at $43. Does not seem like enough to me,0.5037
150,capex comentary from hal and slb not good for nov,0.4316
151,"Even during the most horrendous quarter for the oil industry, NOV generated $380 in operating cash flow! That bodes very well for the future when the industry recovers. NOV is on my list of stocks that will double within 1 -2 years. I recommended it when it was trading at $12. Additional potential doubles: HP, BP, PBF (the latter I recommended a smaller than average position because of its leverage and higher risk).",0.7419
152,Where are the earnings?,0.0623
153,NOV is down 5.68% to 20.41,-0.4368
154,Been a roller coaster been making out on puts and calls on this one!,0.6677
155,I sold a quarter of my position at $17.7 - even though I do believe we will see $20+ before the end of the year. Just being cautious. Oil services stocks are now overbought - we were at $13 less than a month ago. If you are a long term investors you shouldn't care.,0.4628
156,Finally!!! Let's hope it's finally turned the corner and heads back up above $50,0.8202
157,I’m baking up the truck at $0.50. -0.05 EPS last I checked. OTC NOV. Here we come.,0.4913
158,Looks like they want to run this back up into the $29 range this week. Institutions wanted your shares CHEAPPPPPPPPPPP,0.7928
159,Disruption in oil supply and price goes up.... I guess I need to support Iran :),0.5442
160,National Oilwell Varco is up 8.88% to 11.95,0.3834
161,National Oilwell Varco reached a 52 Week low at 10.78,0.0819
162,Warned you guys...,-0.2023
163,NOV is down 15.23% to 8.63,-0.4368
164,If we finish the year at a similar sp to the start of the year I feel the bear trend in the sp has ended so with all the chopping and changing within the organization I believe the sp has hit the floor and hopefully price of oil shall start on an upward trend in 2020 pulling the NOV sp with it lots of potential for the future.,0.6086
165,What wrong with this stock? up one day and down for the next 4 days?,-0.1423
166,https://seekingalpha.com/news/3510679-national-oilwell-says-q3-strongest-cash-flow-quarter-three-years?source=cnbc,0.0
167,Why the big pop?,0.2295
168,NOV is up 11.87% to 10.46,-0.0466
169,NOV is up 8.74% to 9.46,-0.0466
170,National Oilwell Varco is up 8.74% to 9.46,0.3834
171,One more junk stock a broker got me into. I'll never use a broker again. I do better on my own. At least if I make a mistake I cut the stock loose before it does too much damage.,-0.5663
172,NOV reached a 52 Week low at $25.97,-0.3548
173,Do SOMETHING with the cash.,0.2532
174,"management owns less than 1% of this company. why is that? why did management get 100% bonuses last year? the annual meeting is next tues may 28th. if you want to see what a fat and happy board of directors looks like, then attend this meeting. YOU WILL NOT BE DISAPPOINTED! they are using the company's piggy bank and stock to enrich themselves while taking on no risk themselves! UH HOUSTON, WE HAVE A PROBLEM! BLACKROCK, get off your rear end and start putting pressure on these guys. there needs to be some urgency here. compare the cost structure to their competitors and you will be astonished at how out of whack NOV's is.",0.9167
175,upper 50 dollar range my opinion,-0.124
176,$21 Tomorrow,0.0024
177,"18 Million+ shares on the buy side, $58 target seems low. Can't wait for the rig count!!!!",-0.4429
178,Rumors of a buyout!!!!,-0.2956
179,NOV should not be reacting to the price of oil each day. What a joke.The company is off and running now and drillers are drilling.,0.3553
180,"Bought yesterday and will buy more over time. Do me a favor next time you drive your car, or get something delivered, or run your electricity, or lather your hair with shampoo or pack the kids lunch in tupperware or apply mascara, etc, try doing it without oil and oil byproducts. We all work for big oil in one way or another. Buy while the hipster apocalypse has everyone believing in absolute rubbish.",0.945
181,NOV reached a new 52 Week High at 41.84,0.2323
182,https://www.eia.gov/dnav/ng/hist/e_ertrro_xr0_nus_cm.htmhttps://www.eia.gov/dnav/ng/hist/e_ertrr0_xr0_rusof_cm.htmhttps://www.eia.gov/dnav/ng/hist/e_ertrr0_xr0_nus_cm.htm.... I lost too much on this one... from 70 to 13. And not willing to wait.,0.0615
183,I finally gave up and sold out of this pig. Took the money and moved it to XOM.,0.2023
184,"Strong cash flow, improved balance sheet, increasing rig count - why are people even selling? This stock will easily be $25+ in a couple of years.",0.797
185,$NBL $NOV $CVX STOCK @federalreservehttps://youtu.be/K3DSRATf7DA,0.3574
186,NOV is up 4.94% to 38.04,-0.0466
187,"NOV will go BK. Change of Directors and hiring of New Management Consulting firm is what to look for.Usually 16 Months after public knowledge of these simple actions, BK filing will be initiated and accepted.Not even worth selling so we'll all go down together.I wish I knew what merger could happen but that usually ends up the same way. For example ESV.",0.5283
188,"If you are watching this today, the range is staying tight between $12.10 and $11.95 which is good. Over the holiday weekend come Tuesday, there will be good demand from oil being talked about and other good positive influences for getting the economy on track. Who knows I would not be surprised if the stock finished around $12.25 today. Then that gives me more confidence that come Tuesday ...we see it hit $13.00",0.972
189,Wow look at MU now after falling so much. We need to keep on keeping on,0.5535
190,"$1.20 away from $14 Not much distance. This stock can do it in 1 day...Looking to sell tomorrow maybe....bad thing is oil report will be out after 4:00pm and then in the am on Thursday for the EIA. Since this stock has been running erratic, but fairly predictable. I am thinking it could hit 14 and drop back. One of these days there will be a run up of at least $5 and I would hate to miss that. It seems like NOV and BKR are running in tandem. Kind of weird",-0.158
191,"I am looking forward to when the pendulum swings back to normalcy here in America, when the police are told to ""do whatever you need to do"", and BLM and Antifa are relegated to the dustbin of history.#Nov 3rd#Trump2020",0.2053
192,DVN is also looking really good at this level as well.,0.7808
193,National Oilwell Varco is up 6.19% to 8.92,0.3834
194,NOV reached a 52 Week low at 8.42,-0.3548
195,"Here are the results of the OPEC agreement today:They have agreed to cut production by 1.2 million barrels a day, beginningin January. Translation: They will be producing like a bat-outta-hell all through December. There are no provisions to ensure compliance. Translation: They'll all produce whatever the hell they want to producebeginning in January.Every ""cut"" that OPEC has ever enacted has been followed up on withreports estimating how much they're all cheating on the cuts. EVERYTHING that OPEC does is designed to jawbone oil prices higher.Show me one time that OPEC has ever actually cut production, aside fromthe late 1970s, and I'll eat my gas cap.",-0.6995
196,"Big Volume yesterday, up on a day the market too a beating. hopefully a continues uptrend into the 50's. Looking for a great earnings report with an increase in the backlog orders",0.9433
197,National Oilwell Varco reached a 52 Week low at 11.69,0.0819
198,NOV and FANG are coming back strong. Keep going!,0.5697
199,I guess hurracains are good for NOV... :),0.7536
200,"I know a guy who knows a guy, that works at McDonald's in Omaha. He serves Buffet every morning. He said they had a conversation and he thinks Buffet is buying NOV.",0.6392
201,dead money until 2021,-0.6558
202,"Jack what other oil stocks do you like, tell me when your going to buy this or move to another oil stock neeed help",0.8105
203,looking for a good gain to start the week off. Oil is up and so is the DOW in futures trading. Could be looking at a $1.45 pps gain day.,0.8879
204,National Oilwell Varco reached a 52 Week low at 17.33,0.0819
205,"Management change needed urgently! I have spent years analyzing companies and can tell you with certainty that NOV's cost structure is way out of whack. the stock is at a multi-year low yet management shows no urgency to implement the hard changes that need to be taken. The board of directors needs to do its job and fire top management and replace them with guys who are filled with bs! Urgency needs to be shown yesterday, yet we keep getting a bunch of nothing! If the board of directors cannot act quickly on this, then we need to replace the board of directors. It's that simple. this used to be a viable company, but not anymore. With facility consolidation and a 20% headcount reduction, we can bring the cost structure back in line and return this company to meaningful profitability. I understand that the market is a bit soft for their products right now but that notwithstanding, this company should be consistently profitable. Management is getting fat and happy on our dime. Time to throw them out!",0.9863
206,full alert. WFT,0.5859
207,NOV will start moving soon as all these rigs are starting to fall apart and need new parts.,-0.243
208,"Nice move up today, I hope we see more of it tomorrow!",0.815
209,"At $12.5 NOV is once again a BUY. As long as WTI stays above $50, the industry should recover nicely and so will NOV.",0.8622
210,"NOV is one of the few energy stocks that has quite of upside left, just to catch up with its peers. It should be trading at $18 - $20, just to catch up in the short term, if oil prices remain stable around $60. I recently turned neutral and even bearish on some of the oil stocks that have overshot and become overbought/overpriced for this stage in the recovery. NOV is not one of them. Still bullish short term.",-0.7514
211,"Look at the one year chart, beating thru the 50 day and 200 day moving average. Chart the high and low trend lines. Have a nice weekend !!!!!",0.879
212,NOV is up 8.61% to 23.77,-0.0466
213,NOV is down 4.94% to 23.67,-0.4368
214,$25.00 tomorrow,0.0024
215,NOV is down 5.78% to 22.65,-0.4368
216,NOV reached a 52 Week low at 22.33,-0.3548
217,NOV is up 11.18% to 10.84,-0.0466
218,The plan is to try to cover the current backlog as incoming is exploding with demand.,0.5226
219,10 year low - ouch!,-0.7047
220,"For an industry that has been increasing demand steadily for the last 7 months and whose price has been increasing for the last 7 months, it's strange that NOV and oil and general would be so volatile.",-0.2903
221,Look at the Normalized EBITDA on the financials. This company was in trouble long before Covid.,0.045
222,"Woooooow, what a turnaround from where it opened (and yesterday in AH trading!!). Must be combo oil down 3%, plus something they said on conference call.",0.886
223,http://www.drillingcontractor.org/nov-saudi-aramco-announce-joint-venture-saudi-arabia-42925,0.0
224,NOV is down 11.68% to 8.32,-0.4368
225,"This professional portfolio manager is very excited about $NOV:""We recently took a position in National Oilwell Varco (NYSE:$NOV), which is a provider of capital equipment for oil and gas exploration. And National Oilwell Varco has really been consolidating the industry over the past decade-plus. They are really the one big player in a couple of other end markets, and one of those is rig technologies, which is really equipment packages for offshore and land-based drilling rigs.""https://www.twst.com/interview/taking-the-emotion-out-of-the-investing-process",0.9469
226,Just like clock work....price dropped from the morning highs around 1130am and hovered through lunch time....and then retraced on a steady climb back up. Looking good!,0.89
227,NOV is down -5.33% to 38.74,-0.4368
228,"Thought WTI was going back to 55 bucks. That looks unlikely at this juncture so just got back into good, old, NOV!! If I'm wrong about oil (could be if the dollar rallies, or if Venezuala starts producing again, or if frackers pump even more oil), then oil will collapse down to 50 or 55 bucks, and I double down on NOV. Can't lose, Can't lose!!!",-0.8055
229,"Does anyone have any idea why NOV is up over 7% today? I'm not complaining, I just can't find any reason why. Thanks.",0.4566
230,made a lot of money shorting this pig,-0.2427
231,"Let's hope no news is good news, something must of been said on the call, I wasn't listening. Anybody that was please reply!",0.8781
232,NOV is up 12.34% to 12.24,-0.0466
233,graph had been looking solid. let's break through $50,-0.215
234,"Patient investors might find BOARF of interest at its current price. SEI Investments holds 275,000,000 sharesper Yahoo ""Holders"" column.",0.6079
235,NOV and USG should both start paying that div again and then I'm in.,-0.0808
236,This should open up 10% on these earnings.,0.3037
237,This is crazy. What is the board of director doing? THEY HAVE TO CUT COST!,-0.3457
238,NOV reached a 52 Week low at 10.78,-0.3548
239,There is an outside chance NOV will get delisted as TSLA gets enlisted. I guess it would be a changing of the guard and we're all about the cheap marketing stunt these days.,0.5016
240,NOV is up 4.90% to 21.83,-0.0466
241,Fire the board and CEO. Sell this company now.,0.1858
242,Brutal day.,-0.6029
243,"the weak first qtr is already in the stock. the stock is greatly lagging the recent upturn in oil from $50 to $60. This stock is about to pop big time. 1st qtr conference call is going to be very bullish. NOV has a great balance sheet, is buying back stock, and has a great opportunity with Saudi Arabia that will begin to ramp up big time as the year progresses. The stock is being left for dead but the fundamentals have already turned. it's classic Wall Street. buy it on the cheap today!",0.9529
244,"Saudi Oil Minister proclaims: #$%$ Y**, Iran. Produce whatever the hell youwant to and we'll pump full-out too and just SEE how your sanction-free productionholds up once Donald Trump gets through with feeding your deal with Obamathrough his Shredmaster (TM) brand paper shredder.The only thing that's more rare than OPEC agreeing to production cuts isOPEC actually ABIDING by cuts, once they've pledged them...... something that has never actually happened.",0.1518
245,NOV is down 6.14% to 16.96,-0.4368
246,if nov is overvalued the whole oil service sector should bow down to nov,-0.6271
247,NOV reached a new 52 Week High at 45.73,0.2323
248,I believe an 11 year low.,-0.2213
249,THE CEO OF NOV NEEDS TO CONTROL COST OR THIS STOCK WILL NEVER GO UP IN VALUE. WE ARE LOWER TODAY THAN IN 2016. CRAZY!,-0.329
250,This stock just keeps falling. Will it ever rebound again?,0.3754
251,National Oilwell Varco is down 10.47% to 11.63,-0.0238
252,"NOV CHEAP,CHEAP AND MORE CHEAP!!!! Look at 5 yr chart^^",-0.3587
253,Top Gainers for U.S. Stocks | Week 4 | April 2021https://chart-analysis.tools/Top-Market-Gainers,-0.0163
254,"When will insiders start buying shares? How much time will it take for this ""Cycle"" to end? Getting impatient. Time for an outsider to come in, get a seat on the board and have the company sold. Seems like they are not buying any companies, and just cutting costs and waiting for the cycle to end. That's not a pro growth strategy. Would like to see some positive action, and insider buying to show support.",0.9706
255,NOV is up 5.24% to 21.77,-0.0466
256,"you want another Big Oil stock check out reconnaissance energy Africa LTD. Junior oil company has 8 million Acres over in nambia own 90% And just prove their first well. I made $50,000 off of it in less than a year.",0.8392
257,best of breed hal or ge possible buyers,0.8525
258,11 year low,-0.2705
259,NOV reached a new 52 Week High at 46.48,0.2323
260,Seeing some pickup.,0.3727
261,These guys give free jars and massive discounts On there products  junk company and Not a short btw!! Lol,0.5327
262,National Oilwell Varco reached a 52 Week low at 7.78,0.0819
263,NOV didn't fall nearly as much as many of the big oil plays did today. Seems like a good sign.,0.7718
264,"Put yourself up for sale already. This stock has done nothing but lose money for shareholders. In fact, it has done nothing for shareholders. Only self interest. For the board. Garbage!",0.7437
265,NOV is headed back to $60+ in the next year. If Venezuela gets squeezed out maybe $80. Lots of rigs will be updated or replaced.,-0.0285
266,NOV is up 5.16% to 20.16,-0.0466
267,"not in it...but familiar with company...2011 to 2015 they where indispencsible in the bakken.... I'm thinking the margins have goten so tight on the production side, it is killing the services players.....want to filter in some ..but don't trust the div. till E÷P come back...",-0.6363
268,Does this stock ever go up? It is a serious drag on my portfolio.,0.3022
269,"Between oil declining today and the shorter who are going to hammer this down I'd be cautious with the current PPS, inflated and comes down twice as fast as it goes up",-0.1194
