,Recent headlines and conversations for AAPL,Polarity
60,"Capital Asset Advisory Services LLC Buys Apple Inc, Amazon. ...",0.646
61,"National Asset Management, Inc. Buys Apple Inc, iShares Core S&P 500 ETF, Microsoft Corp, ...",0.6891
62,Apple engineer leaves company after employees speak out about his 'misogynistic' past comments,0.3533
63,3 Stocks That Could Be Worth More Than Apple by 2035,0.4359
64,"Apple stock bounces back above the 200-day moving average, like it did 13 months ago",0.8594
65,"Elmwood Wealth Management, Inc. Buys Apple Inc, Vanguard Short-Term Inflation-Protected ...",0.7433
66,"Apple stock slips, but has bounced sharply off 200-day moving average",0.5455
67,"TRB Advisors LP Buys Union Pacific Corp, Microsoft Corp, Apple Inc, Sells Amazon. ...",0.2455
68,"As Epic nears conclusion of case, Apple pushes back at experts",0.4115
69,"Mercer Global Advisors Inc Buys Apple Inc, S&P 500 ETF TRUST ETF, Schwab International ...",0.648
70,"Apple To See Revenue Growth Ahead Of Street Expectations Through 2025, Munster Estimates: What You Need To Know",0.5943
71,"Y-Intercept (Hong Kong) Ltd Buys Apple Inc, Baxter International Inc, VMware Inc, Sells DuPont ...",0.4953
72,"Golden State Equity Partners Buys Apple Inc, WisdomTree Yield Enhanced U.S. ...",0.485
73,Apple pushes back against Epic claims to defend app-payment system,-0.5213
74,Apple Says Ads Engineer Leaves Company After Comments Draw Fire,-0.2321
75,"Thinking about trading options or stock in Apple, Freeport-McMoRan, General Electric, AT&T, or American Airlines?",0.429
76,Apple's stock closes below 200-day moving average for the first time in 13 months,0.4157
77,Corning (GLW) Boosts iPhone Glass Production with Apple Funds,0.6619
78,"Fisher Asset Management Buys Apple, Microsoft, Amazon",0.6246
79,"On CNBC's ""Fast Money Halftime Report,"" Kevin O'Leary picked Apple Inc (NASDAQ: AAPL) as his final trade. He said its only fault is that everybody already owns it.",0.4718
80,"Ethic Inc. Buys Apple Inc, Microsoft Corp, Amazon. ...",0.4468
81,Apple Powers Ahead in New Renewable Energy Solutions With Over 110 Suppliers,0.4159
82,Apple just increased the maximum amount you can get for trading in your old iPhone,0.7062
83,"The Zacks Analyst Blog Highlights: Apple, NVIDIA, Micron Technology, Applied Materials and Analog Devices",0.1205
84,Apple Says More Than 110 Suppliers Transitioning to Renewable Energy,0.4557
85,"Top Stock Reports for Apple, Alibaba & AT&T",0.5027
86,"The Zacks Analyst Blog Highlights: Apple, Alibaba Group, AT&T, Intuitive Surgical and Zoetis",0.4108
87,"Zacks Earnings Trends Highlights: Exxon, Chevron, Ford, Apple and JPMorgan",0.6289
88,Apple Is Building a Massive Battery Storage Project Using Tesla Megapack Batteries,0.5417
89,"Apple Arcade Launches its Biggest Expansion Yet, Growing its Award-Winning Catalog to More Than 180 Games",0.7286
90,"Thinking about trading options or stock in ChargePoint, General Electric, Apple, Pacific Biosciences of California, or Blink Charging?",0.334
91,"Thinking about trading options or stock in BioNTech, Apple, Moderna, General Motors, or Nio?",0.464
92,"Is Now The Time To Buy Stock In Nio, Apple, Bank Of America Or Sundial Growers?",0.3882
93,Apple (AAPL) Leads $50M Investment Round for UnitedMasters,0.3855
94,"The smartphone market is a two-horse race between Apple and Samsung, and LG is the latest casualty",0.4124
95,"Lennar Corp, Ringcentral, Apple, Amazon and Google highlighted as Zacks Bull and Bear of the Day",0.2042
96,"Cook has been leading Apple for just shy of a decade. In another 10 years he's unlikely to still be running the show: ""10 years is a long time.""",0.6363
97,Apple reportedly considers buying a stake in bankrupt radio group iHeartMediaSaheli Roy Choudhury,0.1991
98,Apple dips on news of DoJ antitrust probe,-0.2838
99,Apple Stock: Wall Street Sees Strong Growth In The Quarter,0.8167
100,Apple Stock: This Is Not A Buying Opportunity,0.7642
101,"Top American brands: Apple, Amazon, Pinterest score highest in consumer surveyPaul Ausick",0.6099
102,Apple will no longer make Siri's voice female by default,0.0252
103,This Apple Chipmaker Is Primed for a Rebound in April,0.3896
104,"Koshinski Asset Management, Inc. Buys Apple Inc, AbbVie Inc, Vanguard Dividend Appreciation ...",0.8661
105,"Apple Stock: 30% Downside Risk, Explained",-0.1746
106,"Apple (AAPL) Expands Arcade Service, Adds Two New Categories",0.3437
107,Apple faces new competition complaint from Epic Games in global battle over App Store payments,-0.5706
108,Apple to use Tesla battery packs for solar-energy storage facility: report,0.5155
109,Apple CEO Tim Cook says he doesn't expect to be running the company a decade from now,0.6143
110,Apple (AAPL) Outpaces Stock Market Gains: What You Should Know,0.6755
111,"Thinking about trading options or stock in Beam Global, Apple, Workhorse Group, Nio, or AbCellera Biologics?",0.5267
112,Apple (AAPL) Expands Apple TV+ Content With Documentaries,0.4036
113,BUZZ-Apple bulls lead charge through resistance,-0.1066
114,"4 Dow Jones Stocks To Buy And Watch In April 2021: Apple Jumps, Microsoft Is Breaking Out Today",0.3945
115,"At 60, Tim Cook Doubts He’ll Be at Apple for 10 More Years",-0.297
116,Apple (AAPL) to Host Virtual WWDC 2021 Between Jun 7 and 11,0.3282
117,Apple Stock And Jim Cramer’s Tale Of Two FANGs,0.3579
118,Apple Stock Gives Every Indication Of Being Significantly Overvalued,0.0822
119,"Thinking about trading options or stock in Apple, Inphi Corp, MicroStrategy, Carnival Corp, or American Airlines?",0.5324
120,"Is Now The Time To Buy Stock In Microsoft, Disney, Apple Or Nike?",0.4124
121,"One of the most common questions traders have about stocks is “Why Is It Moving?” That’s why Benzinga created the Why Is It Moving, or WIIM, feature in Benzinga Pro. WIIMs are a one-sentence description as to why that stock is moving. Here’s the latest news and updates for Microsoft, Disney, Apple and Nike.",0.9236
122,"The Zacks Analyst Blog Highlights: iRobot, Microsoft, Apple, NVIDIA and Tivity Health",0.3011
123,"If You Invested $1,000 In Apple Stock One Year Ago, Here's How Much You'd Have Now",0.5628
124,NY Regulator Finds No Fair Lending Violations on Apple Card Applications,-0.2765
125,Apple Watch News: Rugged Model For Extreme Sports Under Consideration,0.0486
126,Apple could finally be making a 'rugged' version of the Apple Watch aimed at runners and outdoorsy types,0.406
127,Apple Is on Its Way to Becoming a Bigger Player in This Market,0.2013
128,Apple (AAPL) Gains But Lags Market: What You Should Know,0.016
129,"The Zacks Analyst Blog Highlights: Dynatrace, NVIDIA, Apple, Cerence and Microsoft",0.222
130,Apple and Amazon prices make sense and more signs from Goldman Sachs that stocks aren't in a bubble,0.5013
131,"Thinking about trading options or stock in Apple, General Electric, Carnival Corp, Plug Power, or Ford Motor?",0.8602
132,"Thinking about trading options or stock in Bank of America, Apple, Tesla, Baidu, or Vipshop Holdings?",0.3895
133,New York Regulator Finds No Fair Lending Violations on Apple Card Applications,-0.276
134,Apple's Move to Block User Tracking Spawns New Digital Ad Strategies,-0.3411
135,"Thinking about trading options or stock in Marathon Digital, Apple, Square, Ford Motor, or Sonos Inc?",0.6387
136,"Apple may launch newer, faster iPad models by April: report",0.5636
137,"Thinking About Buying Stock Or Options In Moderna, Netflix, Boeing, Apple Or Tesla?",0.5628
138,Tim Cook and other Apple executives will testify against Epic in Fortnite trial,0.3499
139,"There's No Stopping Apple's iPhone ""Supercycle,"" Says Analyst",-0.2133
140,Here’s Why Artisan Value Fund Sold Apple Inc. (AAPL),0.5389
141,"Apple, Tesla Trigger Wall Street Dreams of $3 Trillion Valuation",0.5674
142,Here's Why Apple Is a Good Stock to Buy Now,0.7251
143,Analyst Ratings for Apple,0.2637
144,Apple (AAPL) Rumored to Launch New Powerful iPad Pro This April,0.7595
145,Apple's iPhone 13 To Feature Samsung's LTPO Displays: Report,0.5094
146,"Zacks Market Edge Highlights: VOO, Microsoft, Apple, Union Pacific and Bank of America",-0.2124
147,Apple Stock Is Believed To Be Significantly Overvalued,0.1024
148,Battle of Dividend Stocks: Microsoft vs. Apple,-0.1717
149,One Year After The Bear Market Low: Where Apple Stock Stands,-0.122
150,Why Amazon And Apple Are Proof US Equities Aren't In A Bubble,0.5252
151,Analysts have provided the following ratings for Apple (NASDAQ:AAPL) within the last quarter:,0.1849
152,Facebook Could Emerge Stronger After Apple's iOS Privacy Change,0.4149
153,Apple (AAPL) Dips More Than Broader Markets: What You Should Know,0.2102
154,Best Dow Jones Stocks To Buy And Watch In March 2021: Apple Falls,0.7872
155,Apple (AAPL) HomePod Mini Secret Sensor for Smart Home Thermostats,0.923
156,"Booking a Covid-19 Vaccine? More Tools and Tips, Plus Help From Apple, Facebook and Google",0.9139
157,Why I Bought Apple's New AirPods Max Headphones,0.04
158,Facebook stock jumped more than 4% after Mark Zuckerberg downplayed Apple's privacy changes,0.0864
159,"Jefferies Offers Junior Bankers a Peloton Bike, Apple Perks",0.1493
160,"4 Top Stock Trades for Monday: BA, AAPL, NNOX, V",0.3613
161,Apple’s $4.7 Billion Green Bond Spend is Helping to Create 1.2 Gigawatts of Clean Power,0.8615
162,Apple Scores Legal Win in France Over App-Privacy Changes,0.515
163,Apple Scores Legal Win in France Over App-Privacy Changes — 2nd Update,0.5141
164,Apple Scores Legal Win in France Over App-Privacy Changes — Update,0.5141
165,"Thinking about trading options or stock in Cassava Sciences, Apple, ADC Therapeutics, Anheuser Busch, or JPMorgan Chase?",0.6191
166,Apple's Tim Cook and Epic Games' CEO to testify in 'Fortnite' court case,0.3174
167,Apple shares new data about inclusion and diversity in the company,0.5428
168,"Justin Long, the 'I'm a Mac' actor, defects from Apple",0.3965
169,Apple's HomePod Is Dead,-0.6486
170,News24.com | Apple CEO Tim Cook and other senior leaders to testify in Fortnite trial,0.6835
171,"Intel Taps Justin Long, Who Played Mac in Long-Running Apple Ads, to Promote PCs",0.8468
172,Zuckerberg: Facebook may actually be in a 'stronger position' after Apple's iOS 14 privacy changes,0.4794
173,Jury tells Apple to pay $308.5 million for patent infringement,0.8112
174,What Happens if Qualcomm Loses Apple Revenue? Analyst Weighs In,-0.0539
175,"Dow Jones Futures: No Crystal Ball For This Market Rally; Facebook, Google, Apple Supplier Near Buy Points",0.4435
176,"Apple CEO Cook, executives on tentative list of witnesses in Epic Games case",0.6082
177,Facebook stock jumped more than 4% after Mark Zuckerberg said Apple's privacy update will help the social media giant,0.5141
178,"Apple (AAPL) Dominates Wearables Market in Q4, Xiaomi Trails",0.1625
