,Recent headlines and conversations for UNH,Polarity
44,"Traded down and then up on very light volume. No way indicative of which way it will ultimately trade once the regular traders come back to the markets, most likely next week. My bet is down as the momentum players have lost interest. Shorts will rush in on any sign of weakness. I am among them already. No interest in going long until at least a 10% correction.",-0.1477
45,Over $160 before end of this year $$$$$$$$$$$$$$$$$$$$$ GLTA,0.4282
46,Buying tomorrow’s dip,0.4614
47,The price will be depressed because the hedge funds want to buy it low. This stock deserves to be around 260-270 since reported earnings.,-0.4833
48,"The recent sell off was ridiculous, but grateful for the opportunity to add shares! Great stock!",0.9674
49,"I guess they're loving sugary drinks and semis today. All the major Healthcare and biotech ETF's are in decline. XLV, IBB, BIB, this is across the board. Big boys are taking em to the woodshed!",0.8423
50,Low volumes last week...Looks like people stay in wait and see mode for earnings...Let's hope it will pop to 315-ish after earning report...,0.529
51,The seller is relentless here,0.0194
52,Shes swinging.,0.0
53,52 wk high!!!,0.4673
54,"Will there be a ton of buying tomorrow to drive this up, up, up in anticipation of awesome ER only to pull the rug out in after hours and Wednesday?? Or will this just keep heading back up where it belongs?? Heavy hitters love to manipulate stocks. #$%$ me off.",0.9628
55,The stock is up from 208. Just a minor correction?,0.2021
56,Thinking about buying more shares while it’s on sale,0.7145
57,Panic? I would not call it a panic. The selloff started on Monday and will continue for the rest of the week before we know all of the AMZN plans.,-0.1658
58,The junk should go under IMHO,-0.5084
59,"Wow, thanks for unloading, what a buying opportunity",0.895
60,have been expecting a big sell off into close....not yet!,0.2677
61,Sell program in this stock ever day at the open. I mean every day. Unreal,0.2827
62,UNH ridiculously oversold again.,-0.2724
63,"A 50% Fib retracement from it's ATH levels will take us to the 170s. With these drops, it's likely to get there over the next several months. Great buying opportunity is coming, just need to stay patient folks.",0.9474
64,$200 buy coming prior to election,0.1345
65,AMZN can disrupt UNH only when it will have healthcare business established. Medicine selling/shipping business may not be able to compete with UNH's OptumRx,0.6834
66,"Small consolation, the dividend is paid today. Bright side",0.5693
67,Sold at $255 yesterday after getting in at $212 thanks to churn after Q1 earnings.Moved proceeds into MGLN as more near term upside as UNH looks range bound for a while but it will eventually trade on fundamentals and $300 early 2020.,0.4935
68,first time buyer today. been on my radar a while.. was wating for 230.. def got my wish today though I def bought too early today. Bernie the clown won't even win the primary. Democrats are doomed next year. Noone wants these socialist ideals,-0.2928
69,with this rate of drops we'll be in the teens in a couple weeks,-0.1435
70,Stop your fretting.... UNH is as solid as it can be... You'll see.,-0.0527
71,"This should be back up to $270.00 by the end of next week, right? No reason not to go back, is there?",0.256
72,"BUZZ-UnitedHealth's recent letter to drugmakers misunderstood by market - analysts9:45 AM ET, 02/11/2019 - Reuters** Analysts say a letter sent by UnitedHealth Group's OptumRx unit to major drugmakers requesting seven quarters of notice before making list price reductions has been misunderstood** Shares of UNH, Cigna Corp and CVS Health closed down 1-3 pct on Friday** The share move, according to analysts, was in response to a brokerage note that disclosed OptumRx's recent letter** Analysts say the letter raised concerns that recent proposal by the Trump administration to overhaul drug rebate rule could hurt pharmacy benefit managers (PBMs) more than expected** ""We believe the letter merely anticipates the possibility of historically unprecedented drug list price deflation"" - J.P. Morgan analysts** Contrary to reporting, understand that UNH sent the letter in December, before the proposed rebate rule was released - JPM** SVB Leerink analysts say that Friday's sell-off is a buying opportunity after the brokerage's conversation with UNH management",0.9785
73,UNH is down 4.91% to 233.95,-0.2462
74,This stock is sick,-0.3532
75,can we just have one decent fn week???!!!!,0.6954
76,I just saw a headline on FBN about a brokerage lowering their price target on UNH. Anyone else see that?,-0.0511
77,RUN AWAY!,0.2568
78,"They have over $40B in retained earnings, billions more paid out in divs, even more billions paid on exec bonuses, advertising, marketing and administrative expenses.How can sick people possibly support all of this?It's completely upside-down. It's the sick people we should support!",0.751
79,This stock has a lot of grounds to cover to recover what it had lost. Let’s see where it ends from here.,-0.1585
80,"I had to get my right knee replaced and UnitedHealthcare did an awesome thing for me and my family. they let me make payments. additionally the next closest competitor insurance company for healthcare wanted about 20 to $30,000 more for that same surgery. thank God for competitive capitalism in this country. otherwise I'd still be riding one of those little self-propelled wheelchairs at Walmart to buy a gallon of milk. no kidding.",0.9523
81,How do I find earning date of UNH? Thanks,0.4689
82,Does anyone know why we dropped $15?,-0.1399
83,Breaking News: Amazon Berk JPM health plan shutting down...,0.0832
84,will it reach 240 today?,0.0244
85,52 week ath,0.7211
86,PEG still below 2 along with massive moat from Optum given the health insights it gets from patient health habits and healthcare spends. Don't listen to posters who think healthcare for all will happen.,0.666
87,friend at ubs said ---you could see a price target at $350,0.4871
88,"It is so cruel when the market makers press down UNH from $3.74 up in the morning down to less than one point, then accumulate the shares handing it to the big boy. I expect to see UNH 255 by end of the month.",0.2935
89,overpriced,0.0
90,"IMO the houses are intentionally ratcheting down these companies ahead of their earnings reports which start up next week. I've been taking a bath in amgn, regn, biib, nvs, and unh. All will probably knock the sock off when they report and the big boys just want them cheap before they report. This is how they operate!",0.8148
91,Cheap stock. Severely undervalued fair value 310.,0.5964
92,"Monday Market closed, Tuesday earnings wow",0.4515
93,So who won? Guess investors won cause we bought it at 259!! Haha bunch of shorts,0.9282
94,Beat beat raise guidance,0.5522
95,Health Care sector is so safe and conservative. I believe that it will not move lower much than this. It is already go down over 15%.,0.7729
96,just a little correction. don't panic,0.2779
97,Seeing a breakout,0.6681
98,Long and Strong. Bought the May 230's on the close Fridays. The charts in no mans land.......means nothing to me......The fundamentals are what will drive us back to 245 -265 by end of next. all the chatter is simply a buying opportunity for anyone with any foresight. This qtr does Mather and until guidance is truly qtr over qtr stable we be making on the swings.,0.9588
99,Looks like it is trying to bounce back today. Hope it does.,0.7228
100,"lower, lower lower lower. No buyers here. Funds don't want this at $230's",-0.8589
101,"Another day the green., In the long run Fundamentals always come out on top.",0.7721
102,Goldman fraud,-0.5907
103,This stock is bound for $400 this winter.,0.2374
104,Hope they are buying back this stock,0.7372
105,https://finance.yahoo.com/news/fed-rising-costs-big-u-firms-dig-healthcare-100535670--finance.html,0.0
106,https://finance.yahoo.com/news/unitedhealth-says-performing-better-first-141735252.html,0.0
107,"It's companies like HUM, too....The DemRats want full blown socialism and national healthcare....Now, for the first time...they are proud to admit it..",0.8805
108,This stock sucks @$$$$&,-0.1685
109,"I think UNH will reach 260+ by this week when Jay Powell announces that he can be patient. He knows that he screws up the senior retirement account for more than 3 trillions when he set auto pilot program last year. I believe that he will never raise the interest rate this year because he saw the disaster that he created. FDX already feels that the interest rate hurts so many emerging countries which sent the boomerang disaster back to the US. Wait till Trump makes big U-TURN about China Tariffs, we will see Dow 30,000 this year. then Jay can raise the interest rate.",0.9296
110,Totally broken stock. Dow up 210 and this stinking garbage is down again,-0.7694
111,250 250 250 250 coming back,0.1107
112,Any thoughts on new dividend amount?,0.3433
113,UNH beating earnings reports the 20th,-0.4099
114,Surprised this happened again today.,0.343
115,UNH nice breakout over 164 looking strong!!!,0.9009
116,Trump seems to be his own worst enemy in his 2020 reelection attempts. Dems just got another leg up on the back of his latest tariffs. Medicare for All here we come.,-0.7038
117,Just heard on CNBC that Joe Biden is against Medicare For All because it would eliminate private insurance companies. I just bought more of UNH.,0.7085
118,A two and a half percentage point gain and all the whiners are quiet. lol,0.7967
119,UNH is up 5.54% to 232.80,0.1818
120,Must be the Medicare for all effect,0.0534
121,Big rally tomorrow,0.0271
122,"So...........why the weakness? My guess, money is being put to use elsewhere for a while until the next quarterly result gets closer when the stock will be $320ish.",-0.2557
123,What is our catalyst for the next move higher?Analysts mostly agree this is 20% undervalued Medicare FA is in the rear view The recent reporting was solidDoes UNH have Covid?What am I missing?,0.4727
124,Dividend tomorrow ,0.1375
125,The machine learning isn’t so bright.,0.4401
126,Even after raping people on their premiums they still earned less. Just take a look. https://www.unitedhealthgroup.com/content/dam/UHG/PDF/investors/2018/UNH-Q4-2018-Release.pdf,-0.6595
127,Liberals beating the MFA drum again....not sure there are even enough trees to grow all the money they want to spend,0.114
128,UNH is do for a $400+ run up.,0.4023
129,"""UnitedHealth boosts 2019 profit outlook on strength in insurance, pharmacy benefitsUnitedHealth beat estimates for quarterly profit and raised its 2019 earnings forecast on Thursday, buoyed by strength in the largest U.S. health insurer’s pharmacy benefits management business and its insurance plans.The company is the first health insurer to report quarterly results after the Trump administration last week nixed an ambitious proposal that would have required health insurers to pass billions of dollars in rebates they receive from drugmakers to Medicare patients.Sales in UnitedHealth’s main business of selling health insurance plans rose nearly 6% to $48.59 billion in the second quarter.Revenue from the Optum unit, which manages prescription drug benefits and offers healthcare data analytics services, rose 13.4% to $28.03 billion.The company raised its full-year adjusted earnings forecast to between $14.70 and $14.90 per share, from an earlier forecast of between $14.50 and $14.75 per share.Net earnings attributable to shareholders rose to $3.29 billion, or $3.42 per share, in the three months ended June 30, from $2.92 billion, or $2.98 per share, a year earlier.Excluding items, UnitedHealth earned $3.60 per share, beating the average analyst estimate of $3.45, according to IBES data from Refinitiv.Total revenue rose 8% to $60.60 billion, topping estimates of $60.55 billion.Shares of the industry bellwether rose 1.7% to $271.15 in light premarket trading.https://www.cnbc.com/2019/07/18/unitedhealth-earnings-q2-2019.html""",0.9907
130,$350 stock on sale for $300,0.344
131,Testing the mid April low... Hold Fast.,-0.1219
132,240 may be a good entry point.. after the market throws it's little tantrum.,0.0755
133,Lowering my cost basis today. Bought in the 230's originally.,-0.1769
134,Can it go to $234.00 today ?,0.1033
135,"Two notes from Credit Suisse. #1Next Steps in the Courts: Opening briefs were filed with the Court ofAppeals on Monday. Our Washington consultant notes that the court leansquite conservatively. In our consultant’s view, this case will likely go to theSupreme Court on appeal sometime during 2020, where the ACA wouldlikely be upheld. This is consistent with the view of Professor Neil Siegel,who we hosted for a conference call in December. Mr. Siegel was unsureabout how the Court of Appeals will rule, but he believes that this is theweakest court challenge to the ACA to date, and the Supreme Court hasalready upheld the ACA against two previous court challenges. The fivejustices who upheld the ACA (including Chief Justice Roberts) remain onthe court at this point. In fact, Mr. Siegel said that the likelihood of theSupreme Court upholding the District Court’s ruling is “close to zero.”#2.CNC and Some Hospitals Are Most Exposed Among Our CoveredCompanies: Hospitals have not disclosed their ACA exposure in recentyears. However, based on prior disclosures, we estimate low teenspercentage EBITDA exposure to the ACA for CYH (both Medicaidexpansion and public exchanges) and 3-7% EBITDA exposure for UHS,HCA, and THC. Among our covered MCOs, CNC has the largest exposureto the ACA (both public exchanges and Medicaid expansion). MCOs withfairly limited exposure include ANTM (Medicaid expansion and exchanges),CI (modest exchange exposure), and UNH (Medicaid expansion). Weestimate HIX and Medicaid expansion together likely contribute close to40% of earnings for CNC, 3-4% of EPS for ANTM, and less than 1% for CIand UNH. HUM has no meaningful ACA exposure. In addition, the DistrictCourt’s decision would end all other ACA provisions such as closing theMedicare Part D donut hole, as well as the health insurer fee.",-0.9974
136,"Very time Matt and Eric starts bashing, I make money going long.",0.509
137,Tuesday will be big for UNH with earnings and just as important will be forward guidance. If it can go down $12 in a day it could pop up $12 on good earnings and guidance.,0.7853
138,Look at a chart for the last 10 days. Draw a line across the bottom and you will see higher lows hit 4 differant times and the uptrend is in place. Buy the October $240.00 calls,0.3093
139,Finally a new high! Haha,0.7088
140,"Good, up 10 points. I need some of the profit from UNH to pay my healthcare premiums that are ridiculously high.",0.8384
141,Bernie has pulled UNH from $302 back to $277,0.1134
142,Yesterday was a dead cat bounce.,-0.6286
143,UNH is down 7.02% to 227.07,-0.2462
144,Why is this down $18 in the premarket ?!!!!,-0.4784
145,This is just not a good stock. It’s just awful,0.4143
146,"CHASERS WILL BURN IN THIS STOCK BUBBLE!The US Stocks are EXTREMELY OVERVALUED and OVERBOUGHT!SELL ALL US Stocks in this TULIP MANIA BUBBLE! The Valuations are ABSURD and IMPOSSIBLE TO JUSTIFY!INFLATION IS SKYROCKETING as the FED continues to PUMP the Price of everything, stocks, oil, gold, home, land, commodities, utilities, food prices and everything!The World Economy is Collapsing, people are starving, but the US Market Makers are too busy in printing money and PUMPING the Stock prices Artificially to make insiders trillionaire without working!Enjoy Free Capital Gains in the US Stock Market while the Corporate Revenues are tanking and the Economy is Collapsing! US Stock Market is a “GET QUICK RICH” Scheme!Dow Jones Industrial Average (^DJI) was 17,000 in 2016, with better economic fundamentals and higher corporate earnings. However, thanks to the Collapsing Economy, Coronavirus Pandemic, Tanking Corporate revenues and earnings, Skyrocketing unemployment, Trade Wars, Record INFLATION levels, and Heavy Stock Dilutions, Dow Jones Industrial Average (^DJI) BUBBLE has almost Doubled! S&P 500 (^GSPC) was at 1600.00 with better fundamentals and higher corporate earnings in 2016. Now it is sitting at ABSURD 3800.00 with TERRIBLE Fundamentals, Collapsing Economy, HEAVIER Corporate and National Debt and way lower corporate revenues and earnings!The World Countries are refusing to accept the US Dollar as international reserve currency due to the HEAVY Dollar PRINTING!US Stocks are INSANELY OVERVALUED and OVERBOUGHT! US Stock Market is a MEGA BUBBLE right now!!!https://edition.cnn.com/2020/05/01/investing/stock-market-recession-coronavirus/index.html$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $ZM $XPEV $QS",-0.9898
147,really low volume,-0.119
148,Earning 10 and only paying out 1.5 in divy. Dig,0.5954
149,Big SC win by good old Biden...Super Tuesday is super important...Vote for Biden people...,0.8865
150,"$217.40 as I type AH, that is nearly $10 off today's low of $208. Am I the only one bullish on this going into tomorrow? I bought some calls today.",0.7175
151,"As much as I think healthcare for all would socially be great there just isn't anyway this is going to happen anytime soon and maybe never. The federal deficit is already severely under water and there is really only two ways to fix it. Raise taxes... not happening or cut entitlements. We can't grow our way out of this trillion dollar deficit Trump has put in place. So, how in the world can we afford healthcare for all when we can even fund Medicare and Social Security as it exists today. Wake up politicians and stop with the B/S on healthcare.",0.854
152,"UnitedHealth: A Great Buffett-Style Blue Chip BuyApr. 17, 2019 7:00 PM•UNHSummaryI'm a big proponent of buying blue-chip dividend growth stocks when the market hates them most.UnitedHealth recently crashed to a new 52-week low, due to heightened (but likely overblown) regulatory/political risks.While regulatory/political risk is something all healthcare investors need to be comfortable with, UnitedHealth enjoys a wide moat, excellent dividend safety, and world-class management.Today, this level 11 (out of 11) quality SWAN stock is trading at a 1% to 26% discount to fair value and likely to deliver 13% to 20% CAGR total returns over the coming five to 10 years.Just remember that risk management is paramount, so keep your position size and sector exposure to reasonable levels. I and Simply Safe Dividends recommend 5%/25% position/sector caps for most investors.(Source: imgflip)After five years as a professional investment analyst/writer, I've learned a lot about what long-term investing strategies work well, which is why I've shifted my retirement portfolio (where I keep 100% of my life savings) to a pure undervalued blue-chip dividend growth approach.My specific approach is inspired by Warren Buffett's concept of ""fat pitch"" investing. That means only buying quality blue-chip dividend growth stocks, at good to great prices (estimated discount to fair value and preferably near 52-week or even multi-year lows), specifically when Wall Street hates them most.This helps not only minimize the risk of a permanent loss of capital (""rule #1 never lose money, rule #2 never forget about rule #1"") but also maximizes the chance of earning market-beating double-digit returns over time.(Source: Ycharts)Last week UnitedHealth (UNH) popped up on my watchlist after falling near its 52-week low. I set my limit orders and was thrilled to have one of them fill on Monday, April 15th, beginning a $2,000 starter position. During United's post-earnings conference call 10% collapse two more limits filled, tripling my initial stake while reducing my cost basis to $222.66.I would have bought four limits worth, however, that $6,000 investment in United Health raised my healthcare exposure (elevated after a total of $28,000 worth of healthcare deep value blue-chip buys in the last three weeks) to 21%, above my personal 20% sector limit.Thus, I'm now slightly overweight healthcare and will need to dilute down my portfolio with new buys in non-overweight sectors (anything other than energy, REITs or healthcare).So, let's take a look at why I'm such a fan of United Healthcare, especially now that it's 23% off its all-time high. More importantly, learn why Wall Street is so bearish on this blue-chip now, why those fears are likely overblown, and why I consider UnitedHealth a classic Buffett buy now. That's both under his famous advice to ""buy wonderful companies at a fair price rather than fair companies at a wonderful price"" as well as to ""be greedy when others are fearful.""Why The Market Is Worried About United HealthBlue-chips of United's caliber don't fall so hard and fast without the market being afraid of something. So, let's take a look at this health insurer's risk profile, so you can determine whether this dividend growth stock is a good fit for your portfolio.First, let's discuss the elephant in the room, and the cause of United's (and the entire health insurance industry's) big Tuesday intraday plunge. That was the result of what the CEO said during the latest conference call.The wholesale disruption of American health care being discussed in some of these proposals would surely jeopardize the relationship people have with their doctors, destabilize the nation's health system, and limit the ability of clinicians to practice medicine at their best. And the inherent cost burden would surely have a severe impact on the economy and jobs, all without fundamentally increasing access to care. The path forward is to achieve universal coverage and it could be substantially reached through existing public and private platforms. Meaningful progress in health care lives and national and state leaders continuing to work collaboratively with the innovative and proven private sector solutions to achieve the goals we all want, a modern, reliable, informed, and aligned health care system that offers the access, choice, and coverage protections people seek at a fair cost to the individuals and society as a whole."" - David Wichmann (emphasis added)What Wichmann is talking about is Medicare For All, which is the single-payer proposal first outlined by Senator Bernie Sanders in his 2016 presidential bid, but that's now being endorsed by numerous Democratic presidential hopefuls.The impetus for Medicare for All is the belief that if the US government becomes the sole provider of healthcare then it will be able to extract drastic price reductions, either through bulk negotiations or outright price controls. Given tha",0.9997
153,major players not letting this go above 237 for some reason.,0.4142
154,ALL time highs 288 gave up 80 points almost 30% hair cut especially just reporting earnings raising profits guidance for the whole year..this isn't enron. lol I nibbled in some...and will add more over time.,0.3284
155,No Bernie equals big earnings.,-0.109
156,"we have to thank the bozos/democrats for the drop, pure manipulation",-0.2153
157,it held 214. lets see what happens,0.0404
158,"Who's holding for two weeks to get the dividend? You do know the democrat's debate is the day before... That's a double whammy, Ex-Dividend and Medicare for all Free-for-all... lol",0.905
159,I got out to early. Dumb,-0.3951
160,a couple of weeks ago I called this wonderful break out... just check my previous messages. I made an assload of money yesterday no #$%$!,0.3837
161,huge buy opportunity,0.6829
162,Looser stock. Dead money,-0.5439
163,Bought some today after got out of delta and JPM and getting more ahYes let's go up in the am.Charles you have been doing well. Not?sure how your info play went but all others are spot on. Ty for ddAlso got a little gs and maybe Ms tomartow,0.827
164,"Hummm, why the serious retracement with UNH? Understand the market has been dropping since October, so UNH is not immune despite stellar earnings and great guidance?",0.8749
165,down 15???,-0.3624
166,https://finance.yahoo.com/news/elizabeth-warren-vows-first-nominee-140000156.html,0.0
167,UnitedHealth reached an all time high at 366.49,0.3228
168,GO DOWN I NEED MAKE MONEY COME ON,-0.1487
169,This is total horse #$%$. Market is up big and UNH does nothing.,0.454
170,Huge buying opportunity!!!,0.795
171,Looks like UNH will gain what it was really suppose to gain tomorrow,0.8589
172,235 the bottom...hopefully,-0.0157
173,"bought 1k shares unh and sold after close for 1k profit. I will be kicking myself in morning maybe?charles, you like tsm or ms for thur morning?",0.8044
174,"Financially, UNH is doing fine. But, socially and politically, this company has not demonstrated its leadership in American Health Management. Quitting ACA is not an effective answer. From the short term profit point view, this company is well priced. For long term, I am waiting for the vision from this group, including this company.",0.6511
175,Can this go beyond 310 today?,0.2902
176,didnt anyone ask bernie if HE chose medicare? and all the rest of them on the premium health plans government makes available for them....then they can shop around for doctors willing to take medicare as payment.,0.9071
177,all medicines are useless ... if you look at coronavirus ... these pharmars are cheaters,-0.6867
178,"Unh must have company specific issues as the other HMO s have started to stabilize and UNH is accelerating tontje downside. They are now the worst HMO stock. Humana, anthem and Cigna are much much stronger. This is now a broken stock that failed a breakout",0.3235
179,Still gap wide open from 155.18 to 152.85,-0.0041
180,UNH has been in a down trend since December ... Trump can ruin almost everything with his tweets ~,-0.5021
181,Nice lift,0.5679
182,wish idiots would stop clogging up legitimate posts,0.4834
183,Damn day traders tryna cover their profits haha,0.4794
184,Closed at 400.31!!!First ever closed above 400!,-0.4098
185,$254. That is where UNH would jabbed to trade at today to be equal to the move Cigna has made the last 3 days. Cigna up 10.5%. This stock is watered down Dow industrial garbage,0.0262
186,Daniel....get a life dude!!!!!,0.4487
187,WHAT DOES A HEALTH INSURANCE COMPANY DO BESIDES STEAL MONEY FROM POLICY HOLDERS?,-0.5444
188,OPTUM's PBM causes damage to WBA today. It really surprises me that WBA drops 10% premarket. It is a big haircut.,-0.3678
189,Market makers playing options games to pad their pockets. Buying more at a discount.,0.6017
190,Same earnings growth as Microsoft. Crazy it's got a forward pe of 13.,0.2353
191,UnitedHealth reached an all time high at 323.69,0.3228
192,HAHAHAHHAHAHA,0.0
193,UNH reaches new all-time high because the fear of a Democrat winning the presidential election this year is all comfortably gone.,0.8055
194,"Health care has been under fire by trump. Honest opinion, don’t think much can be done about Obama care other than lowering prescription drugs.",0.807
195,It's going to near 210 by the end of the week,0.1117
196,New 52 week high. Nice,0.6426
197,junk run out of steam?,-0.0785
198,Pulled the carpet out at EOD!!!!,0.3945
199,Only the companies that have contributed to the OPIAD mess should have gone down today...….I wouldn't touch UNH as much as I would love to sell the PUTS here...….The IHF ETF is also poison...….I feel bad for the longs in stocks like CVS who got an upgrade today to a $74 stock price......Some justice......,0.4986
200,Looks like its headed to $236 again!,0.46
201,"don't feel bad for the ones that sold , it was only on paper",0.5129
202,nice little day today! hope it continues.,0.7581
203,"If the Republicans had done their jobs over the past 8 years, they could have had a health plan to replace Obamacare. Instead, they did nothing for 10 years(!) and that's how people like Bernie Sanders get so much support. When a family can't afford health insurance for their family, they will vote for the likes of Bernie Sanders. Republicans once again shot themselves in the foot by failing to have a plan for affordable health insurance.",0.9249
204,Why all these #$%$ publishing negative reports?,-0.5549
205,"These goofs aren't scaring me out of healthcare. I don't care how many times Bernie says Medicare for all. None of them have a chance to win or sign any of this into being. Just goes to show you how stupid our country is, people selling on news that kinda maybe perhaps most likely will never happen. wth.",0.5729
206,Nice plug for UNH in Barrons. Could help start next week off in the right direction. https://www.barrons.com/articles/health-insurers-anthem-cigna-humana-cvs-unitedhealth-stocks-look-like-a-buy-51555698489?mod=hp_LEAD_1,0.6244
207,Let's close above 300 today,0.3348
208,"Sanders is a fan of Cuba...just think about what he will do to the US especially if the Democrats can flip the Senate as well. So if he is going to win the nomination, the safe way is to vote Republicans into both houses...",0.9094
209,Bull trap or this is closing at 230 today.,-0.467
210,I bought 1 share with my Medicare refund ,0.3673
211,From a nice gain to a six percent loss? What in the world happened?,0.7061
212,I really wish it goes up! Netflix destroyed me,0.1429
213,"Up 50 a share since the summer, easy bull",0.6993
214,Thinking of just selling my UNH and CI and taking a loss. I'll just buy GOOG instead or CRM.,0.2545
215,"280 is very possible for UNH on Oct 16. The rumor estimate number is way higher than street estimate, plus tax cut will start to show the result making the actual number even higher.",0.7227
216,"Last week's downdraft was the tell that fundamentals are now meaningless. I take no pleasure in saying I was right, but I was. Few institutions want to hold a stock now viewed to be of high risk when there are other, safer places to put their money. THAT IS THE PREVAILING PERCEPTION AND PERCEPTION IS ALL THAT COUNTS.",0.9374
217,"It will turn green today, the market makers did it again. I don't see any reason why UNH will go down deep over one point early in the morning.",-0.3386
218,one day wonder the junk ... LOL i was squeezed,0.4639
