,Recent headlines and conversations for WAB,Polarity
66,WHAT IS THE REAL CONVERTION RATE OF THE SPIN OFFFOR EVERY GE STOCK YOU GET HOW MANY WAB?,0.3875
67,WAB is down 5.27% to 69.20,-0.2462
68,Hey Folks! Let's play WHACKA SPAMMER! It's easy and it's fun. Simply click on the three dots to the right of the SPAM post. Report Abuse. Looks like SPAM. DONE! Spread the word and good hunting! JAM THE SPAM!!! For advanced de-spamming click on the spammers name and take out all their posts. After you log off they will disappear.,-0.4559
69,I work for Ge Transportation.what do wabtec employees think.,0.0744
70,"Joy! I got 2 whole shares from the GE merger - easy street, here I come!!!",0.8889
71,Strong growth ahead that can streamline operations. Smaller company can execute much faster with cheap GE subsidiary purchase,0.8374
72,I was owner of record of GE stock on Feb 14. I still have yet to receive stock???,0.6472
73,WAB reached a 52 Week low at 64.41,-0.1464
74,no bad news today. dropped is good to buy buy,-0.2631
75,"I added today, I thought it was good opportunity to buy under $70.00. I hope it stays under that price for a while and that I can come up with more funds to keep adding.",0.9113
76,Erie has a tentative contract! Up we go!,-0.1513
77,"Up $3, then a TDS sufferer says good news cannot be allowed to stand. So sell just to effect political hatred.",-0.3196
78,Wonder if Wab has looked into relationship with CalAmp (camp) and their strengths in the transportation field hmm?,0.1857
79,80$ stock all day......,0.1702
80,"I'm guessing the stock price is dropping due to everyone dumping their 1-25 shares. In my opinion, what GE did to minor share holder is a joke. Planning to hold my huge 9 share investment until the dumping is over. May save about $40!!!!!!!!",0.9167
81,"Interesting...I sawsome WAB in my portfolio yrsterday, and this morning it disappeared....",0.1967
82,WAB is down 7.05% to 57.18,-0.2462
83,WAB is down -5.10% to 106.40,-0.2462
84,WAB is up 4.91% to 78.27,0.1818
85,"We are reaching a 3 year low for WAB with a top range of 113 and nominal price from the high 70’s to low 80’s. This is prior to the GE acquisition. Pressure on the stock is due to a second round of negotiations with the union and some risk as GE may need proceeds from WAB stock to continue operations. On 6/3 a strike may occur if agreements with the Union are not made. The drop in stock price reflects this event and once the trade deal is set I would expect a 2-3% rise in share price. WAB last quarter was strong, but its too early to tell how long it will take WAB to gain efficiencies of the combined companies. GE transportation was a customer of WAB and there are saving to be expected and redundancies to shave cost. Long term and at these levels WAB is a good buy. Technology in Rail have lagged other areas of transportation such as autonomy but eventually this will have to change and WAB is the leader in train control with products like PTC.",0.9842
86,sorry I sold at 68.75... great value stock...,0.733
87,Westinghouse Air Brake reached a 52 Week low at 60.15,-0.3027
88,is this a legit company all it does is go down?,-0.1905
89,catalyst today is labor contract agreement...,-0.2429
90,Management just did not seem prepared for conference call following earnings. I think it may be time to exit.,0.7798
91,Sell gun stocks always,-0.2196
92,WAB is down 4.93% to $65.16,-0.2462
93,low volume today!,-0.1159
94,Ruff ruff what a dog.,0.085
95,Chart says it goes back to $64,0.2139
96,WAB is up 4.92% to 87.91,0.1818
97,dog days are over...buy now...,0.0514
98,is this company merging or selling?,0.0389
99,Tried selling it...smart..not allowing that!,-0.1031
100,WAB is down 4.99% to 74.58,-0.2462
101,I like this stock for the long term but with a ton of it likely to hit the market in near term from GE and the GE stockholders see no reason to step up at this time.,0.4466
102,I love paying taxes....It means I'm making money!,0.6209
103,WAB is down 5.19% to 74.01,-0.2462
104,hahaha for those whose lost,0.4067
105,I see we have a tentative labor contract Maybe we will have some relief,0.2931
106,Westinghouse Air Brake is down 5.09% to 56.92,-0.3901
107,Westinghouse Air Brake is down 10.83% to 49.00,-0.3901
108,"I'm new to this stock. I hold GE and after the spinoff decided that WAB got the better end of the deal, so I added to my spin-off shares of WAB.As far as I can tell, the Q1 numbers good like a beat. So what am I missing with the market reaction?",0.9259
109,Is good time to buy wab.?,0.5394
110,Westinghouse Air Brake is up 5.75% to 59.40,0.0153
111,GE selling shares messed up a solid quarter for shareholders. That's my take on this swift decline.,0.3205
112,WAB reached a 52 Week low at 47.05,-0.1464
113,I got 11 shares fromGE merger. Wowie !,0.3364
114,Great. got 5 shares of wab...should i sell them?,0.761
115,"Wow, 500 shares of GE and I too got 2 freakin shares of WAB. Is this even worth holding onto?",0.9121
116,All aboard for wab,0.0152
117,wow down down down guess not a good deal for them,0.6057
118,$3 more to drop,-0.2773
119,"i received 48 shares, will this be taxable?",0.2425
120,Sad 2 shares showed up on my brokerage account. Guess I own these shares forever.,0.3924
121,"I got 6 ""free"" shares of WAB this morning! I'm RICH!",0.8047
122,"I said bottom at $60. have you heard me?.. $60 yet?.. not yet, but almost there",0.2364
123,I have one share of WAB I was holding 200 Ge shares. I might sell it and order a pizza.,0.8753
124,"Is the strike over, or still ongoing?",-0.2188
125,WAB reached a 52 Week low at $66.77,-0.1464
126,If you miss earnings in this market your stock will be obliterated.,-0.4046
127,How low can it go?,-0.2467
128,WAB is up 4.94% to 74.61,0.1818
129,Think we hit bottom finally market down 200 and we are up 1%. We will see.,-0.1826
130,"Shutdown the ECN, it’s unfair",-0.6323
131,So does anyone know why this stock is acting like a dog?,0.5969
132,Looks like WAB is somehow still linked w GE formally or informally AND GE will continue to sell WAB stock as needed to raise cash and avoid Bankruptcy. The GE insurance arm is a 10 yr black hole that simply can’t be fixed. I fell into that trap when I sold GE and bought WAB,-0.1034
133,is this worth keeping ?,0.2473
134,"Anonymous, are u saying u have 12,000 shares of GE? If so, nice.",0.6756
135,WAB reached a 52 Week low at 63.35,-0.1464
136,WAB is following the DOW...............................down. DT,0.3192
137,Does this pig do anything except dive and pay a ridiculously low dividend?,-0.783
138,WAB is up 7.07% to 50.00,0.1818
139,Big dip on no news? Looks like an opportunity to add.,0.781
140,Westinghouse Air Brake is down 6.75% to 52.33,-0.3901
141,on the rise,-0.0216
142,Westinghouse Air Brake is up 5.21% to 57.60,0.0153
143,"Are there any longtime WAB holders on this board? If so, please share your reasons for holding the stock, and your evaluation of management. TIA",0.9322
144,Contract passed in Erie!,-0.3995
145,Westinghouse Air Brake reached a 52 Week low at 49.00,-0.3027
146,OUCH! Has this merger overweighted this company. Looks like it's taking on water and sinking fast. We're going to need some life rafts and boats soon. We're hearing a lot of negative feedback concerning the GE spinoff. How much will this new firm impact earnings? We can't find any good answers.,0.4409
147,"come on, you GE bagholders keep selling your bits and pieces. GE will have to sell their chunk. Get this stock price lower.",0.1067
148,WAB reached a new All Time High at 111.22,0.3954
149,WAB reached a 52 Week low at 56.90,-0.1464
150,Westinghouse Air Brake is down 7.05% to 57.18,-0.3901
151,do GE shareholders get shares of WAB?,0.3234
152,WAB is up 5.16% to 56.02,0.1818
153,I just got wabtec shares through Ge spinoff is this is good company should I keep shares or sell it,0.8942
154,is it better now to purchase GE or WAB? for about 6-12 months horizon,0.6433
155,WAB is up 4.99% to 103.11,0.1818
156,I got 1.611 shares of WAB!!!! BOOM!!!,0.7245
157,Why WAB is going down,-0.2037
158,WAB is up 6.22% to 43.57,0.1818
159,Green light buy. Dividends. Low pe. Major parts market with little competition. All foods and industrial products come by train. That is never going away,0.1278
160,I got spin-off of WAB why it is going down what I am missing any long time investor should I buy more Wabtec or Ge,0.2429
161,Stock is beginning to trade like Bitcoin. High short interest +/- 16%. Management what is going on here? Comments appreciated.,0.8778
162,WAB is down 4.91% to 65.01,-0.2462
163,Does any body know the date when the new WAB comes into being?,0.0396
164,1 share was wondering how I got it! Thanks GE!,0.6922
165,WAB is down 4.96% to 71.57,-0.2462
166,I took the free shares as a sign after losing with GE and added to my position. It's turning out to be my best performer. Wish I had more money to buy buy buy.lol,0.9509
167,go baby go,0.2482
168,A good company but the chart is still negative for now.,-0.3679
169,Large insider purchase yesterday 05/13/20. Someone has confidence in their company.,0.7526
170,wabtec just gave us our xmas bonuses and I kidd you not it was umbrellas. Not just any umbrella but a top of line Chinese import.,0.7663
171,So there is a great effort to keep this share price down for some reason.,0.7827
172,"FINALLY, good news!!!!",0.7275
173,buy buy,0.2595
174,"earnings very good, but wab crash, why?????",-0.4977
175,This stock is money.....,0.2115
176,how many weeks have been since the strike started,-0.0814
177,Way too much for the job he's done.BRIEF-Wabtec Says CEO Rafael Santana's FY 2019 Total Compensation Was $7.5 Million - SEC FilingBY Reuters— 2:42 PM ET 04/03/2020,0.5293
178,WAB reached a 52 Week low at 52.19,-0.1464
179,"Well I'm banking this goes up, up, and away once they come to an agreement. Fingers crossed.",0.8215
180,A screaming buy. No way this is not 75. Greatat PE. Dividens. They have little competitive in the locomotive industry,0.2117
181,stock is on the value radar...unsexy consolidated specialized business but did I say not sexy.... an overlooked gem bought in at 64.78... quick shot to 75. and if Gina deal goes thru...rocket to 105. then it will be sexy!,0.9281
182,WAB reached a 52 Week low at 61.33,-0.1464
183,Westinghouse Air Brake is down 4.94% to 64.47,-0.3901
184,The company wants you to sell you one share. That's why they gave it to you.....,0.6498
185,WAB is down 7.24% to 46.53,-0.2462
186,I see a merger between Siemens rail and WABTEC giving the world 3 railroad manufacturers. And if not that WAB should look at buying TRN.,0.6767
187,woof woof woof......what a dog.,0.0514
188,accumulation in progress ..PS. you never buy at the bottom and sell at the top ...nor do you always win in Vegas...,0.9075
189,WAB is up 7.03% to 49.18,0.1818
190,Westinghouse Air Brake is up 5.04% to 64.79,0.0153
191,still so cheap to buy buy,0.5599
192,"BS... This decline is controlled by the more than 90% holdings by WAB itself. They're going after the small investors that paid into the stock. It's so obviously unnatural price movement, I'm surprised we don't start an SEC investigation... As soon as they get more control of the stock by killing the small investors, then the price will spike as usual... Sounds fraudulent to make it go to record lows...",-0.4896
193,WAB is down 5.93% to $84.73,-0.2462
194,"I've got soooo much money now from WAB that I've got enough to splurge today on Happy Hour.......Sonic half off slushes Happy Hour. If I got 10 free shares, I could afford REAL happy hour.",0.9592
195,WAB is down 10.83% to 49.00,-0.2462
196,WAB is down 6.75% to 52.33,-0.2462
197,WAB reached a 52 Week low at $67.91,-0.1464
198,NICE EARNINGS CALLS.. UP SWT BABY,0.7055
199,Just sold my entire position............-1- share.............:o),0.1932
200,"GE investors and GE just made $400,000,000 on the Wabtec merger. Of darn!",0.2036
201,are we buying yet,0.2823
202,$60 is the bottom?. I think so,0.0122
203,Westinghouse Air Brake is up 5.16% to 56.02,0.0153
204,"Is this company same as Westinghouse Air Break technologies, I got this Puppy due to GE.",-0.2513
205,buy buy still overvalue stock,0.2397
206,"I agree 100% regarding top management's pay being very high. I only hope it's tied to performance. If it is then I'm fine with that.I do have a concern regarding strikes. When I left the service and had no job my brother talked me into his job with a roofing company. It was a union shop, paying dues.I never had to work getting dirty but I did. A job is a job while living with my spouse's parents. I had a union card for roofing and sheet metal. In my town the Ford plant, a container plant and GE was on strike. As i went to work daily the workers would be getting warm next to a 55 gallon container keeping warm for over 16 months without pay.The container company closed, then the Ford plant next and finally the GE plant. All due to workers demanding a pay raise during a recession. It was bad timing on their part. Then came our company demanding higher hourly wages. I was happy just to have a damn job to pay my bills. No, I decided along with my brother, to continue working during our strike. I don't regret for a minute crossing lines to keep the company, with it's obligations to complete projects, on time. My dad was a loyal union electrical member all his life. He could work side jobs due to his expertise while on strike.My bottom line is, you have to choose what is right for your families well being. You can stand with your signs and burn wood when it's cold in that 55 gallon metal container. But in the end the company closes shop or moves to another location.The roofing company I worked for, after 75 years of business, folded. End of story",0.8861
207,"Just check my account, I have exactly 1 share of WAB! YEEEE....HAAA!!",0.6495
208,WAB is up 5.89% to 72.32,0.1818
209,Too much upside. From here pe. Dividends and growth,0.6593
210,"the stock is the best buy on the board, after the GE deal a double or more",0.8509
211,"FROM ORIGINAL AGREEMENTUnder the agreement, which has been approved by the Boards of Directors of Wabtec and GE, GE will receive $2.9 billion in cash at closing and GE and its shareholders will receive a 50.1% ownership interest in the combined company, with Wabtec shareholders retaining 49.9% of the combined company. The transaction is expected to be tax free to the companies' respective shareholders.",0.9617
212,Major foreign earnings. Have to think strength of the dollar wil have some negative on reported numbers.,0.0747
213,I swear it's almost impossible to get new info on anything I own. Nobody is even talking on here. Would be nice to know how things are going.,0.7294
214,WAB is down 5.09% to 56.92,-0.2462
215,drop to $60? that's the bottom,-0.4605
216,"Earnings a couple weeks back took WAB to the high-$70's. GE then announced they were selling their shares for $72.50. The stock now trades at $67 or a 14-15% decline. Nothing has changed for WAB since earnings except this GE stock sale. Doesn't make a lot of sense, but that's the market sometimes. Just have to decide if this is the new reality or is this in fact an opportunity.",0.7992
217,"this is already in the sauce, this analyst is a moron firstly but a charlatan. buy at 66.40",-0.0331
218,Looks like a short squeeze this morning! Ouch.,-0.5766
219,"$35 an hour is $70,000 a year, plus benefits, plus overtime results in real cost of over $120,000 per labor employee. That's way too high for a factory worker. $22 an hour is in line with the rest of the world. The union is way out of line on this one and their workforce is going to find itself out of work. I dont blame management for standing firm on this one. Another golden goose killed by unions.",0.9198
220,What’s going on pre market? 4% down.,-0.0242
221,"I have 229 shares of GE, shouldn't I received 10 shares of Wabtec?",0.5257
222,Bearish cover story on RR's in Barron'sSo why is WAB UP?,-0.4172
223,WAB is down 4.94% to 68.31,-0.2462
224,Any progress over the ‘strike’ at the locomotive plant in Pa ?,0.1767
225,So what is the problem here?,-0.4225
226,Does WAB pay a dividend? Looks like it was dropped last year.,0.1268
227,Westinghouse Air Brake is down 5.62% to 74.89,-0.3901
228,WAB is up 6.71% to 45.48,0.1818
229,.12 cents dividend per share. What do you think the Max per share price can be this year?,0.7698
230,WAB is taking off. Why?,0.1285
231,WAB reached a new 52 Week High at 95.27,0.4256
232,World reaction to Trump’s tariffs will hit US industries hard.,-0.2686
233,WAB is down 4.96% to 69.15,-0.2462
234,Westinghouse Air Brake reached a 52 Week low at 52.19,-0.3027
235,Anyone else bullish about battery powered locomotives? Hook up a hydrogen fuel cell car for power behind the locomotive and create the cleanest free running long distance consist in the world!!!,0.9598
236,I have 2000 GE shares. But I received only 10 wabtec shares? It’s 1 wabtec for 25 GE right. Thanks in advance.,0.8653
237,Gina?,0.0
238,"are we buying yet,???",0.4115
239,WAB is up 7.80% to 52.92,0.1818
240,Dang. one share and $49.29....Its actually more pain than its worth....wish they would have just gave us all cash....another cost average for selling my one share...,0.5112
241,WAB is up 4.90% to 72.77,0.1818
242,"4th qtr miss was predictable due to merger transaction expenses, strong US dollar, and RR postponing implementation expense of positive train control. Hopefully mgt put all the bad news in this quarter so they can beat 2017 estimates. Stock will likely be dead money until WAB can report a beat on 2017 quarterly earnings reports.",0.8365
243,"am looking to buy this in the mid 60's. The GE shareholders just got bits and pieces, as GE grabbed 2 billion dollars worth of stock for themselves. They are the big seller.",0.6116
244,Westinghouse Air Brake is up 8.93% to 66.59,0.0153
245,buy buy buy,0.3739
246,This is the ONLY company I can find that's working on a battery powered locomotives (if anyone knows of others let me know)..... The time has come to merge the most efficient form of ground transportation on earth with most efficient form of energy on earth!! I've seen that many North American railways (I own shares in 2 of them) are promoting their goals in reduction of Co2!!!! There isn't a better or more visible way to do this than adding a few electrified/hybrid consists into their operations!!!,0.9537
247,Is it down because the new locomotive factory they just bought went on strike Tuesday?,-0.1191
248,WAB is up 5.21% to $74.73,0.1818
249,I just got my 214 also. It's part of a acquisition. 1 for every 25 shares of GE you had I believe.,0.7002
250,When is WAB going to marry GE's Transportation?,-0.1483
251,Whoa. Quite a pop.,0.3665
252,"Where is WAB applying the ""brakes"" on the stock, or railcars? Low $62-ish a share is the 5-year low for WAB. Why buy now? Railroads are cutting back.",0.1347
253,Back to 80 quick by Friday chap....,0.1734
