,Recent headlines and conversations for DAL,Polarity
48,"Airlines always struggle in down markets. And that’s a normal down market in which there isn’t an inherent hesitance to fly for health purposes. Delta is more prepared to get through this than pretty much any other major airline, but they cut their Q2 flight schedule by 85% and they continue to bleed money because their loan package necessitates that they continue to employ people they can’t actually use. Any way you slice it, the company is going to have exponentially less revenue and exponentially more debt for years to come. Whatever the recovery time is for the good economy as a whole, it will many times longer for any company associated with air travel.",-0.2154
49,Stock will go to the negative today. Most everyone expected the news. Still trouble ahead.,-0.684
50,"I have a big upcoming business trip that I was going to be booking on Delta - but I've revised travel plans. I won't be booking any more flights with Delta until they FIRE Ed Bastian! Delta Stock shares continue their downward spiral as the Massive Boycott of Delta Airlines is taking hold and spreading across the nation, and indeed around the world. The only way that Delta can stop their Stock from crashing into the ground is to FIRE their Hapless and Totally Incompetent CEO Ed Bastian - for his Brain-Dead Decision to bring Partisan Politics into Delta's Business Model and in the process - insulting, distancing, and bashing half of Delta's passenger base. CEOs who bring Partisan Politics into their business models need to Booted Out the Door for GROSS Mismanagement Practices that are Detrimental to their companies!",-0.9845
51,Delta flying high inside info,0.3778
52,"Thought I woul never say this, but I will never fly on Delta again!Despicable",0.2051
53,I’m am in the back of a ambulantce and I can’t stop crying. And I’m not even hurted. Frank and FiFi camed bi with a awesome fruity wine 1.75 liter of californicato’s finest Boon’es Farm white zinfindell and as soon as they pop the cork they BUSTIT the bottle over Jimmy head and stoled our chicken’s we just got from Chip’s Chicken Farm on rout nine near the Singer Sewing Center. So now Jimmy all bustit up and our chicken’s is went AWALL and I’m in a ambulance falling a part I can’t take no more drama. BoDown and Out!,0.7296
54,"Shorts beware, mergers in the Airline Industry may be happening very soon making for a few very strong companies. A major short squeeze is about to happen.",0.3547
55,Noticed that BA turned around today. Expect the same for airlines soon.,-0.0753
56,33% down and what is next? 40%? 50%? $15 bucks a share by close? It's moving down that fast.,0.3741
57,"ER is baked into the stock price IMO. Lunch time is here and it's broken the 25.80 resistance as expected...the fear of the morning's 2 1/2 hrs of knee jerk selling is over. We need to now break 26.50-26.90 gap to keep the momentum going upwards or float sideways in this gap of 25.80 and 26.50 to maintain stability. Hopefully 26 becomes support now and we stay above it for the day. Volatility is still up but slowly falling, meaning bullish buying. Regardless, longs should keep buying in this price range....anything under 30 is a good value for DAL.",0.9482
58,I have feeling the $25b in grants won’t have a 30% repayment when it’s finalized. Airlines will threaten to lay off employees and I don’t think the government will let that happen. I’m not saying the airlines should not have to repay but the congress approved $25b in grants for payroll and an additional $25 in loans. Should be interesting to see how this plays out.,0.8731
59,Passenger air travel up 137%. Air freight steadily raising.,0.0683
60,Government is sending illegals to fly on Delta anywhere they want to go for free within the US. They have not been Covid-19 tested and don't have to go through TSA,0.6042
61,$BA #Boeing #737MAX $AAL $UAL $DAL $LUVThe FAA will recertify the 737MAX very soon (this week). Boeing CEO will never start the production line and say this publically unless he is pretty sure that the certification and ungrounding of the 737MAX is very very imminent.,0.7953
62,Delta predicts 90% revenue decline,-0.325
63,"DAL was added to the Model Portfolio II at Value Line. This portfolio is titled ""stock for Income and Potential Price Appreciation"". DAL is the only airline in any of the 4 model portfolios (about 80 stocks).Not_A_Short",0.6563
64,I will tell you the secret to getting rich. Be greedy when others are fearful and be fearful when others are greedy. warren Buffett.,0.0601
65,This should at least be above 40 by xmas,0.7242
66,FiFi and Jimmy are halving a purse swinging cat fight outside the lake shed and so far FiFi is really bringing grit heavy. He got his Loueyy Vatin knockoff with the Rhine stoned stud’s and he obvious been practicing his swing. I just LOVE being the prize from a cat fight and it seem’s FiFi really want’s me more. May be not. BoOut,0.7489
67,need more bullish news for airlines to breakout. little bored of this trading range,0.6995
68,BA will drive airlines higher next week. Buy under $30!!,0.4926
69,Why is this stock lagging all the other airlines ? Happy with its recent performance but it seems a relative underperformer...,0.64
70,As july Comes with new flight opening i think DAL would start to pick up. People are not afraid anymore.,0.6666
71,DAL did a good job keeping some cash to make payroll. Any decline will be short lived.,-0.5621
72,"Delta and Georgia are open for business- Soon people have to travel no matter what because of jobs, business and social interests. There are no other options available.. load up and with few storms this flight will be to 10000 feet.. Then just sit back and relax to your next destination $DELTA",0.637
73,Thank goodness I did not sold,0.6896
74,BREAKING NEWS: TRUMP WILL MAKE CORONAVIRUS BRIEFING AT 5PM TODAY. EXPECT HUGE PUMP ON AIRLINES STOCKS IN AFTER HOURS. ALSO EXPECT ANNOUNCEMENT REGARDING APPROVAL FOR EU/US TRAVELING . THIS WILL BE MAJOR NEWS IN AFTER HOURS$UAL $DAL $LUV $AAL,0.2166
75,First airline to report Q4 next week,0.2007
76,Very disappointed in wb. You put so much into that speech and tell investors to believe in America and trust in it . You talk about how much we need airlines . Yet you sell out and cause young investors to panic . Good job old man,0.717
77,All pilots are being called back to duties!!! Massive demands for traveling coming!!! Airlines heading to the motherlode in turbo mode... Let the TravelWar begin................#AAL #UAL #BA #LUV #JBLU #DAL #MESA #ALK #SKYW #HA #^DJI #^IXIC #APPL #GOLD,0.3867
78,That's it for this guy... I'm OUT!,0.4153
79,Once it breaks 22 it’s over and this will sink faster than titanic,-0.755
80,The artificial intelligence internet headline reading algorithms are taking the stock lower. Close to 13 billion in market value has been erased. It would be funny to have the company put out some press releases with positive words in the headlines to fool the computers.,0.8892
81,Can we get a comment of someone that’s not trying to pump and dump??,0.1169
82,A bit down withHalf the volume As yesterdayWe are in strong handsThis will start to rally,0.324
83,Back to pre COVID-19 days!!!Buy the Airlines!!!#UAL #AAL #LUV #BA #DAL #JBLU #SKYW #ALK,0.4856
84,Boycott Delta until they support NRA and 2nd Amendment.,0.0532
85,Does anyone know why it keeps going up after hours? Shorts?,0.3746
86,the bottom is in. buy all the dips,-0.1694
87,Airlines will be moving toward cargo. They need to retool faster and start flying planes full of cargo and reduce passenger capacity big time.,0.832
88,No doubt that these Medias and Writers are getting paid to control the stock market direction so who ever pays them can buy cheap shares!!!,0.4865
89,It was stuck at $25 for a long time it jumped to 35 with the bull run on the economy’s reopening and now its levelled out at $30 to 31 I agree with Roy once the airlines and economy’s come back which if you watch the news they are doing this will rise to $40 -45 and only continue to go upwards from there all the airlines stocks are massively under valued at this point they say you don’t make money when you sell you make money when you buy and if you buy the airlines while there this cheap your basically printing money.,0.9772
90,Oh my! retail numbers are just upsetting :(,-0.7197
91,"IN MARCH 2021, TRUMP WILL DO THINGS THAT WILL GIVE DAL LARGE WINGS. THE LIBERALS KNOW THAT HE IS THE GREATEST.",0.6958
92,"Stock weak? Lower volume, many bargain hunters already in, Europe drawng toward close. All will eventuall pass, DAL will recover.",-0.4326
93,"On Wednesday, Delta said it had created a new division to oversee its standards and policies on cleanliness.",0.4222
94,All’s is good. Whoopsie clear. Dildeaux on it’s charging stand. Jimmy snoring  a way. Wait Frank just szexted me. Hear we go agayn. BoOut,0.8044
95,I feel like I'm in a chat room with 12 year old boys. is there anyone here that can actually talk about real business issues?,0.6331
96,$30 tomorrow,0.0024
97,A close friend of mine works for Delta. He tells me that they are indeed preparing for bankruptcy :( GLTA!,0.6041
98,"Here is the article from New York Times for my greedy shorties. “In the United States, researchers just began enrolling around 30,000 volunteers to test Moderna’s vaccine, and more trials are starting every day. Operation Warp Speed has set an ambitious goal of delivering 900 million doses of a safe, effective vaccine by January.” $CCL $NCLH $RCL $DAL $UAL $WFC $C $BAC",0.978
99,DAL is rallying despite the US markets being down; looking forward to $40!,0.0867
100,"GDP growth expected to top 6%. Unemployment is down to pre-pandemic levels. Bookings are going up, people want to fly. Morgan Stanly says DAL will top $80.00. Dividends will be back. STRONG BUY",0.7227
101,DAL is the best stock for Airlines. It will touch 37 in few days. Best price to start buying this stock,0.9099
102,Go woke go broke!,-0.4768
103,DAL should get money from the BA settlement that they will use to update their fleet.,0.5274
104,"Skip this quarter's earnings folks, the truth is in the guidance in a memo to employees from ceo....90% reduction in revenue , with layoffs expected.",0.0135
105,"Lufthansa opened green and went red. They are way cheaper by book value than dal. Still early, but it doesnt look good. Big drop probably coming at open.",0.5472
106,Hope Warren enjoyed today...,0.7701
107,thx premarket bought more,0.359
108,is it time to buy ?,0.1567
109,close 30$ eod,-0.0791
110,This stock was trading at around 60 pre covid. The current travels year over year is around 30%-35% and the company has more debt service than ever. Why would $30 be a good entry point? It seems pretty simple.,0.7248
111,Bankruptcy is very good for the company but not so for us the share holders :(,-0.0201
112,Not flying this cattle cart in the sky again. Keep it for the woke crowd.,0.6012
113,After today’s action I think I need a aspirin and a dividend chaser.. When is the next ex divi date?,0.6406
114,"Finally. YES!!! Jimmy got on both knee's and perposed!!! I'm am ENGAYGED!!! And I sayd YES. Then I said, now that your down there...and the rest was cake!!!I finally will be a kept women!!! Jimmy's been promising this but he got married to Frank for a bout 30 day's and then he said he just KNOWED I""m THE ONE!!!We are planning a June 2031 wedding so we have plenty of time to save!!!Oh I'm sooooo assited!!!!Captain BoFeeling NuptualisticalOUt!!!",0.9216
115,"DAL is up, but why are UAL and AAL not doing well today?",0.6504
116,"“Berkshire Hathaway still owns 58,900,759 shares and is classified as a 10% owner of the company. “ I think that Buffett won’t let it fail. The airline business just has a tough time right now, but it won’t last forever. I bought DAL and LUV and not planning to sell any time soon. It’s really cheap right now.",0.5239
117,BEST in classBEST CEO,0.7668
118,Seems like a few of the trolls are lurking in the weeds with new names?,0.3206
119,If Congress refuses to act to assist the airlines. Trump will do so soon.,-0.0575
120,Feeling a lot better. Delta said they have a $50m per day burn rate. If this goes on for 1 year they will double their debt to about 38b. The stock has been cut by more than half. Almost two thirds. 1 year from now things will look far better. Sure they will have the debt (but at a low rate) and then their rev will come back and they will pay it down with a 5 year glide back to $60. 5 years to triple doesn’t sound bad. I’m holding.,0.6489
121,"Sense it already, doom and gloom phase bottoming and Hedge Fund managers are taking position due vaccines availability announcement any day",-0.319
122,"So many spam here smh, Why can't you guys just leave this alone. If you don't like DAL then sell.If you lost a lot then move on.",-0.8642
123,"I just flew Delta Columbus OH to Los Angeles. Great flight, arrived early. Middle seat still blocked...how nice to have a plane 60% full. Too bad those days are ending....good news for Delta shareholders...bad new for the flying public. Moooo...",0.7659
124,"@ all those naysayers out there.market does not react at confirmation of news & facts that were already known to investors, out there for months.all the boohoo about no travel in 2nd quarter is already factored in today's price, and so is the travel done in july and all the news issued on the future of airlines till date.there is a reason expert expectations exist pre earnings, and there is a reason why surprise in earnings have great impact on investor confidence.only thing to look out today, is the surprise in delta beating the expectation and giving a revised positive guidance for quarter ahead and remaining year.delta, here we go!,take off to thiry two! 32!",0.9531
125,"Well, like I anticipated, it pulled back to $25 range. Nothing is wrong with a pull back after 22% gain in 2 days. I would wait until the end of the day to decide to buy or not. 2 months target is still around $35. Don't worry long.",0.7548
126,Buffet has become a contrarian indicator.,-0.1794
127,"Want make money with an airline? Buy Air Canada. On July 1st, Canada-EU flights will be resumed. There will be a travel ban on the US to EU. US airlines are going to drop big on mondays. Get your piece of Air Canada asap. Foreal. Air Canada has the best cash on hand ratio of any airlines in North America and didn't get any bailout from the government. Solid company.",0.8226
128,Delta to announce bankruptcy tomorrow. GL!,0.4683
129,Boycott #$%$ Delta Airlines who wants to turn USA into a Fascist 3rd world Country by allowing stuffing millions of fake ballots like Georgia's Stacey Abrams bragged about in the last election.Wake Up America! If we we don't stand up to Fascist like Delta Airlines China will own USA and we will no longer be free people.,-0.3005
130,"I couldnt find any related information regarding the earning report on their website. If anyone has info when and what time, please share !?",0.8664
131,You sell at $55 not $30.,0.1865
132,At 50 million per day Delta is mere 57 days way from banruptcy according to their balance sheet. what happens when all flights stop?,-0.1872
133,140k daily corona cases it was 80k back in april we will see some severe restrictions in travel. Expect $DAL $UAL $CCL $RCL to drop %15-25,-0.6352
134,If you don't have enough experience in the market just don't open put options guys you will lose a lot. This stock will recover really really fast. You should ve sold this stock 1 month ago not today. Don't get emotional,-0.0685
135,"Their is a lot of pent up demand to travel, and you will see people go ballistic for travel when the travel ban is lifted.",-0.5661
136,"Delta involuntary furloughs will impact at least 2,850 pilots, as well as 6,920 flight attendants, 2,460 airports operations team members, 2,010 maintenance technicians, 1,400 administrators, 430 contact center employees, 320 catering team members, and 180 network operations center workers. Looks like they are preparing to shut down for good;(",0.83
137,yea airlines bein shorted till they get pumped again until earnings time ill wait and see,0.0184
138,"If this stock continues going down I’m just buying more! Their balance sheet is pretty solid, Buffett’s Berkshire Hathaway invested, and they are a leader in the air travel industry. They might have more debt coming out of this crisis, but I don’t see that affecting stock price too drastically after this pandemic is over. Let’s see what happens!",0.3326
139,I cannot believe some of the comments... why did buffet sold 13 million shares specially after buying at $45? We r staring at Bankruptcy here.,0.3384
140,also very interested to see the carryover if any on the stock price on monday. good comment.,0.8364
141,The CEO of Delta needs to resign immediately. He has no right to involve the company in political matters which can place investors at risk. Kick this bum out know. I will not fly Delta ever again.,-0.7984
142,Buffett sell again?,0.4172
143,I wanna see 1 million TSA numbers! Let’s goooo,0.1523
144,Good news bagholdersDAL does not charge feesOn the bags you are holding,0.7737
145,DAL $28 by Wednesday.,0.0141
146,tomorrow 5% down,-0.2398
147,They still own 59M shares. Relax,0.704
148,"Love the price of this stock,",0.7402
149,Time to buy some...,0.1484
150,Duetche Bank is just bottom of the barrel. I would not bank with them or believe anything they say. Delta and American are both just fine.,0.2985
151,"Time to average in, Fact is, In this second there are people flying on airplanes and buying tickets.",0.5638
152,"Buffet did the same with Ibm, it took months to get rid of his cult followers to finish selling. Buffet is the kiss of death id never buy sth he holds again. He lives to buy and then sell he's actually shortselling",0.7022
153,"See how the shorts tried to so hard to manipulate things with their agenda. Realistically, there was no way it could go below 20....that's crash levels we saw back in March....it's not the same reality today. As I said yesterday, 25 range is the bounce as it was a big support area. Now we're up 5% for the day....creeping up to break 27. With vaccine progress looking very good with GILD and PFE, market confidence is returning as expected. Keep buying and holding. DAL hold goal ---> 50.",0.9631
154,STRONG SELL.$MOMO $DAL $CCL $UBER,0.5106
155,Upgrades and price target increases rolling in. $70 soon.,-0.4973
156,DAL is the only airline insiders are buying since the crash. https://formwhispers.com/s?t=dal,0.0068
157,My shares go on the block at 6:30 Monday morning.,-0.142
158,Do you need an ID to get on a Delta flight? Asking for a friend.,0.8063
159,Earnings next week...still believe these airlines break the lows of 2 weeks ago.,-0.3218
160,"IMO, Delta will recover and see $50 or more again. BK talk is the work of hate-filled types. If you have the patience to buy and hold owning Delta makes perfect sense. Unfortunately, a major recovery for the stock is still some time away and, for that reason, trading Delta makes sense as well.",0.7202
161,"Currently DAL stock seems very cheap, especially compared to LUV. In early Dec, DAL was $60 and LUV was $55. Now LUV has climbed back t0 $55, and DAL is below $48. I'm not trying to pump DAL...actually hoping for pullback to buy DAL...just curious why DAL has fallen out of favor. Delta's earnings, forecasted earnings, and dividend are all better than Southwest's. Why is DAL trading at big discount to LUV? What does the market know that I'm missing?",0.8962
162,Nostra beat up DAL this a.m. ... said it'd close $2-3 lower even after results were announced .... I see he/she deleted their posts ... funny,0.4445
163,"Since Delta has over 14,000 pilots, the pilot cuts aren't nearly as alarming as the market originally reacted. The targeted pilot cuts fit more inline with a solid recovery in traffic demand and far above the levels predicted by the Boeing CEO:Q4'20 - 7,000 pilot cuts - 50% capacityQ3'21 - 3,500 pilot cuts - 75% capacityQ3,21 - 2,500 pilot cuts - 82% capacity",0.9395
164,Airline bailout coming,-0.0199
165,If your trading account looks anything like mine months ago you should do something about it. Since I joined (http://Multistockalerts.com) my account has been sizzling. Join them today…,0.8085
166,"Below $14.00 after Q1 Reports, Below $6.00 after Q2 Reports.",-0.4827
167,Slow climb for the next 3 months,0.0456
168,1407233. TSA. Last year this time. 779631. More flights more money. Things that make you go hum.,0.1235
169,"Doggone I sold yesterday. Oh well, I made enough profits yesterday. If it dips to around $27, I'll buy again. For now I'll just watch and feel happy for you long.",0.9304
170,NEVER thought we would see this under $30 again.,0.2471
171,Why are all airlines suddenly dropping? Isn't vaccine news good for airlines? Newb here someone pls explain so i can learn..,-0.712
172,Airlines will get bailout and come back faster than cruise ships. Technically airlines are still running today too. Cruise ship and casinos have gone up a lot this week but airlines lag. I can’t believe I’m going say this but this might be worth a trade.,0.7583
173,BA will light up the airlines later today and at the close.,0.3455
174,News!!! Airlines sending customers 15 billion in cash refunds..... Share prices will drop at least 20% tomorrow. GLTA,0.5786
175,Warren Buffett will squeeze the shorts,0.5108
176,just keep shorting the bottom guys. you will be fuel for the fire on the way over $36.,-0.3118
177,If they don’t file before market open today it’s so bad they will file chapter 11. No report will be worse than the real report be careful,0.0149
178,"U know as well as I, people will have to fly. As soon as the economy kicks into gear. Trump says people will die. And that's true. But life will have to go on..Practice Social Distancing. Wear a Mask. Wash your hands.",0.044
179,someone's sounding real desperate...thats why never short a stock.,-0.3035
180,Delta Air Lines reached a 52 Week low at 18.79,-0.3469
181,Momma always told me don’t get caught holding the bag on down day. Time to sell today and buy back tomorrow. Big down day,0.4532
182,class action lawsuit for Delta investors.,-0.1694
183,nice boost from boeing lets keep the momentum,0.6982
184,"WHO director-general Adhanom Ghebreyesus said the trial, using the cheap, widely used steroid dexamethasone, marked a “lifesaving scientific breakthrough.”",0.873
185,"I'm from the Netherlands and whenever I fly to th US, I always prefer Delta.",0.205
186,Ready for this? https://www.ttgasia.com/2020/05/07/koreas-lccs-pad-up-jeju-services-on-back-of-robust-domestic-travel-demand/,0.3875
187,nice dip to load up,0.7625
188,20 Billion $ DEBT - take a look,-0.5441
189,Yesterday a distant memory. Planes are filling up.,0.136
190,https://www.bbc.com/news/business-52917118Another vaccine wave on the way. This could pop on Monday on any positive news from the vaccine,0.9384
191,"Its priced for a $2 move, so between $57.50 and $61.50 is what the market makers think.",0.1762
192,Delta management-Please get going on a real plan to make passengers feel SAFE.Cleaning and UV lights is baloney.How about Temperature checks/testing passengers for virus before boarding.Requiring all passengers to wear masks.People that are sneezing or coughing not permitted to board.Middle seat not usable until infection numbers decrease.Flights from cities with high infection rates get extra restrictions.Just off the top of my head-you should be able to come up with much more.,0.9247
193,don't be a market timer......best to dollar cost average......... and be a long term investor,0.3816
194,why the sell off just before earnings?,0.3172
195,"The 3 main reasons not to buy airline stocks are high labor costs, high fuel costs and high equipment costs andthats before there was a Corona Virus.",0.844
196,Buffet buys high and sells low.....is that the new strategy......lol,0.4238
197,Classic mistake he still owns 58 million shares. He will buy again.,0.2588
198,HOLD THE LINES SHORTS ARE SELLING!,0.1095
199,"Jason your days are over here, find new counter",-0.2485
200,Delta employees taking 25 % paycut Eff April 1. Screw employees help shareholders Btw wouldn’t suprise me if delta finance team buys 10 million shares everyday from when it was 20 a share,0.8473
201,DAL reached a 52 Week low at 44.56,-0.1464
202,A lot of puts expiring worthless this week.,-0.3924
203,"Buffet is running scared, Boys. He's scared of his own shadow.",-0.6193
204,"I am suprised about their action on the NRA. DAL roots are down south where hunting, fishing and being patriotic are a way of life.",-0.5107
205,WOW volumes up 6% with even with gov. shutdown and bad weather. Hitting on all cylinders.,0.3761
206,"I have lived my life my wayFor tonight and for todayJust the strongest hearts, they sayAlways surviveAnd I'm fallin' through the yearsAll these dreams disappearsAnd the night is full of tearsI'll be holding onNow this life is etched in blackAnd I won't be looking backThe rain washed out of the tracksI'll never find againI'm still reachin' for the lightI'm still wearin' up the nightAnd you know I'll be alrightI'll be holding onWhen I stand aloneI don't steal no memoriesOf all the ones you knowI'll be holding onI know how it isI know how it will beAll the rest are goneI'll be holding on",0.985
207,will this go to 33 like last week guys? I am holding from 30 days.,0.6142
208,I believe Delta could easily take on 10 billion in LOANS (not equity) from either the Federal Government of consortium of banks. Buffett could also lend a few billion. I believe the rates would be between 2 and 4%. I do not believe Delta is at risk of bankruptcy. Going into the crisis the company had roughly $7.5 billion in long term debt and $18 billion in equity.,-0.4634
209,Soo easy money  can’t believe someone short this at this price when coronavirus is almost over,0.3235
210,S/O to everyone that has had the ￼discipline to hold and not give into the fear. Keep holding until this time next year and then go take your family on a vacation! ,0.2378
211,Me an Jimmy and Panzy is driving to Washington DC of Columbus to show serport for Andrea Conet Barry for his Supremed Court nominals. So assisted to push Aimee over the finished line. We need a cunservative Supremes Court to keep this country from them liberal’s. It’s due’s or die’s time. Captain BoOut,0.7039
212,BREAKING NEWS: BREAKING NEWS: MAJOR EUROPEAN AIRLINES AND US AIRLINES URGE WH AND EU TO RESTORE THE ABILITY TO TRAVEL BETWEEN THE US AND EU-CNBCThis is BULLISH NEWS. Time to load. You know  Trump was waiting for this news just to APPROVE. $LUV $DAL $UAL,0.7968
213,Rumor of Delta warning 2500 pilots about potential furloughs? True?,0.5789
214,you can tell how strong delta is that it didn't flinch from 29.00. UAL suffered a big loss from 36-34.5. shows you that DAL is stronger,0.2092
215,What percent of Delta's clientele in favor of this voter fraud enabling measure have no problem showing ID to get on a plane? Another corporate pander play.,0.1758
216,Bought up some more today. TSA numbers on the rise. I just bought some DAL tickets for our trip in July. Hang in there bulls. Much GREENER days ahead. ,0.4542
217,This is not good for Delta. Continue to get more bag holders.,0.368
218,Delta airline is the only airline doing sanitizing the cabin each flight before boarding. For the safety of the passenger they are using electrostatic spray.,0.4275
219,wow...up 3.5 bucks now almost red...junkster,0.0264
220,no reason at all for DAL to be dropping close to $1.00 a day with the stock trading this low. Once this turns the rise will be fast and furious!!,-0.7643
221,Listen Airlines would be a buy but they are not they are a sell. Delta will go to $10 all the other airline stocks will drop 50% more. Then yes buy then and hold for several years,0.5876
222,Three words: Pent. Up. Demand.,0.0603
223,"I enjoyed voting against management and the Board for their outspoken views on the Georgia voting rights law, Note to management and the Board,,,,if you want to run for political office,,,,don't do it on the shareholder's dime,",0.7705
224,500K+ passing through TSA yesterday. A new record high or roughly 20% increase compared to Thursday last week. This number will keep climbing!,0.8497
225,'Delta may be onto something': Experts describe how the company is winning with customers even though rival airlines can fit more passengers,0.7906
226,No flights from EU for 30 days....ouch! Man I have never seen ANYTHING like this and I've been trading a long time.,0.6652
227,"The difference here is the tremendous federal backing. We are at a much stronger, wealthier position than we were post 9/11, 05,08. The history of airlines only has them more prepared for this. The feds are not letting the airlines go down.",0.8333
228,"You do not have to sell just because Warren did. My guess he did not like having the goverment as a partner. You on the other hand, with your 1000 shares, have no voice, before or after bail out",0.9457
229,good volumes baby!,0.6361
