,Recent headlines and conversations for CSCO,Polarity
46,Great buy. We don’t need analysts anymore they change their minds only to influence the market for their own clients. It’s all fake news. No more selling in May. The investors have change. It’s the common man now. Buy Buy Buy,0.7665
47,Wow I came here to see conversation about cisco not a political war.,-0.1799
48,Upgraded to Buy at Goldman Sachs. Price target $59.,0.1199
49,My wife just showed me a video of Mario cart shooting bananas at Joe Now we know why he slipped on the stairs Lmao,0.8575
50,Buying more here target $8 could copy $CSCO move/ CNBC,0.6313
51,futures green .. csco will be up tomorrowwhere did robert and hi id's go,0.4102
52,MASA seems a little weird,-0.1779
53,How do you get Mares into an elevator? Answer grease the sides and throw in a few Twinkies!!!,0.2337
54,MASA still has a pork chop in its pocket so the dog will play with it.,0.4748
55,mares needs to read the transcript.,0.557
56,CSCO Sure IsTOTING..A LOT OF....TIMMMMMMMMBERRRRRRRRR,0.1443
57,only dementia joe could ruin a perfect market in 2 months,0.5971
58,"One of the costs of DJT's feminine temper tantrum over losing:The Guard’s additional two months will cost $111 million while the initial three months of the mission, from January to March, will cost an estimated $410 million, the National Guard Bureau said in a statement to The Hill on Friday.",-0.5038
59,How many Dims did they catch in South Texas for voter fraud recently Mares? Since you are keeping up with it thought you might know?,-0.7665
60,Corn Poop7 minutes agoPowell Confirms – Fed To Continue Pumping Money Into Economy As It Begins To CollapseWill it be enough to save the failing demtard market??,-0.5048
61,"Only negative here is that Cramer just said buy. Otherwise, buy all you want under $55.",-0.1414
62,"‘I love the Saudis’: said the Florida fella, ""they give me millions of $$""He even bragged to Woodward how he ""saved"" the Saudi Prince, defended him against US intel...The Saudi Prince has bragged of having Jared in his pocket, too.",0.7748
63,"A senior Trump campaign official told Fox News that the campaign, the RNC, and Trump Victory and Trump MAGAC (Make America Great Again Committee) raised $76 million between the kick-off to the convention Monday and President Trump’s formal nomination acceptance Thursday night.BIDEN CAMPAIGN HAULS IN $70 MILLION DURING DEMOCRATIC NATIONAL CONVENTIONThe Trump campaign’s efforts exceeded those of the Biden campaign.Last week, Democratic presidential nominee Joe Biden’s campaign announced that it, the Democratic National Committee, and their joint fundraising committees brought in $70 million in fundraising during the 4-day Democratic convention. The Biden campaign held numerous grassroots and high-dollar fundraising events throughout the week.Meanwhile, the Republican National Convention brought in 147.9 million total views across television and online between Monday and the end of Thursday night's programming, according to a senior campaign official.The DNC convention, as Fox News previously reported, had 122 million total viewers through television and online.WINNING!",0.9886
64,nike reports tonight you know deys spent all deys rent money on a pair of lebrons,-0.2086
65,‘conspiracy case’ 'federal prosecutor''ensnare the president’s family’,-0.0943
66,Hey SnowRooms..... they just changed their price estimate for Exx_0n from $84 to $90....Doesn't look like Bye_den is 'going green' just yet....,0.4456
67,GOP CAVE MAN Rep Votes No On Early Education: Mothers Shouldn't 'Come Out Of The Home',0.4642
68,https://www.foxnews.com/politics/nyc-amazon-catastrophic-job-losses,0.0
69,"See how quickly they pulled the list of scientific laws?do,do,dodo,docan't rewrite dat",0.6686
70,Mares be busy for a bit. Big nurse just brought in the BIG E KIT!!! This might take a while.,0.7498
71,Wow! Consumer Confidence Soars 109.7 vs 96.8 est. Pent Up Demand,0.8929
72,Very strong day in the markets today!,0.5934
73,"Tom1 hour agoWho else but an obamatard would spend 18 hour days, every day of the year, pretending that obama’s market high of 19k is anywhere the 27k of today’s market? I want to thank william for spending an hour proving my point",0.7782
74,"For the left, ""taking the road less traveled""looks more like driving over a cliff",0.1554
75,"44 Days then Obama is OUT... and Hillary Clinton is NOT ""Madam President""Thank You God..!!!",0.3766
76,Do you really want a country Controlled by BLM and ANTICOP? Because that's what will happen if Joe Biden wins.,0.8814
77,I've driven through WVdidn't know people still lived like that,0.2832
78,Resistance 56 but it’s never been 56,0.0708
79,street cred . LOL,0.5978
80,The Democratic Party is doing everything they can to see that it ends poorly for Americans.,0.219
81,"Joe's stock market is right where you'd expect it, in the red.",-0.1675
82,"I've never been thrilled with this stock, but the last week, glad I hold a little. One of the few tech stocks that won't get clobbered as bad, lots of cash on the books.",0.3382
83,"This impeached president is ‘failing the American people’ as a war-time leader, longtime Trump backer Piers Morgan says",0.2897
84,CSCO looking strong today at 52.49,0.5541
85,Futures dropping again Traders selling any little rally in the failing demtard market,-0.5908
86,Didn't you get in trouble for throwing something through the bars at the zoo? Mares? Now tell the truth!,-0.2663
87,"True, S&P is up 17.5% since Joe’s Election",0.5645
88,Nasdaq flat - still looking for a green daycheers!,0.0992
89,TRUMPS job approval rating Rasmussen report higher than the mankeys at the same point hahahahahaha,0.6598
90,"nahhhhhhhhhhhhJune 21, 2018 05:00 AMUpdated June 22, 2018 01:53 PMWASHINGTONPresident Barack Obama separated parents from their children at the border.Obama prosecuted mothers for coming to the United States illegally. He fast tracked deportations. And yes, he housed unaccompanied children in tent cities.For much of the country — and President Donald Trump — the prevailing belief is that Obama was the president who went easier on immigrants.Neither Obama nor Democrats created Trump's zero-tolerance policy, which calls for every illegal border crosser to be prosecuted and leads to their children being detained in separate facilities before being shipped to a shelter and eventually a sponsor family.",0.1043
91,FYI Dr Jill has a doctorate in education. She’s qualified to be a high school principal Nothing more,0.8246
92,This time he goes to jail when he lies about it too.There is no way out.Dow strong,0.1868
93,yawn .... up another $1800 for todayJoe just keeps winning,0.6977
94,"Retailers like Walmart, target, Best Buy’s should see a surge when the checks hit. The multiplier effect will be Huge.",0.9067
95,DAILY REMINDER: ONLY 23 DAYS LEFT FOR THE OBOZO DISASTER.,-0.8317
96,What is happenong after hours?,-0.0263
97,Outrageous CSCO is one of a very few large companies that do not have an Investor Relations Department. I called and they wanted me to go to the web site. An insult beyond belief. They do not have a live person to talk to. It is amazing. Do you have any real ideas whey the stock has stalled and down today?It is time this company got its act together for shareholders.JB,0.7825
98,ceo must go,-0.0063
99,BLUE WAVE BLUE WAVE...COME IN BLUE WAVE...OVER!!....... COME IN BLUE WAVE....OVER!! Hmmmm....no response.....wander where they are???,-0.9253
100,Nasdaq down 10% in two weeks Winning Lmao,0.7336
101,Good things are happening. It’s not important who gets credit.,0.767
102,Trump and McEnany said Trump had to vote by mail because he couldn't be in Florida to do it in person. Wrong. He was there for 2 full early voting days. A voting site was *across the street from his golf club.* He drove past it 6 times.,0.5806
103,"California’s Climate ContradictionsCA’s green policies punish the poor and subsidize the rich. CA’s charted a course to decarbonize it’s economy….at the same time it has among the highest electricity prices in the U.S. CA requires renewables like wind and solar to be 60% of electricity by 2030 and also have backup power when it’s cloudy.The state sometimes has to pay Arizona to take its excess solar power to avoid overloading the grid on some days. Additionally, folks with solar panels get paid for surplus power they don’t use…sometimes at two to three times the rate of wholesale power.-------------------------------So if you can afford solar power for your home and you don’t use it the state will pay you….and send the cost to the people who can’t afford to have solar power…What can I say…it’s ‘liberal think’",0.9899
104,A letter allegedly written by the former Kleagle: “The Klan is needed today as never before and I am anxious to see its rebirth here in West Virginia … It is necessary that the order be promoted immediately and in every state of the Union.“ Biden chose one hell of a mentor.,0.4636
105,Is joe somewhere again calling Calamity the potus?YIKES,0.4557
106,Mario has no backbone. he says Joe is a success regardless of all of his obvious failures!,0.6378
107,It's almost sad to see how clueless some people are with the futures markets.Good thing he is just using play money.,-0.137
108,"Even the simplest life forms on this planet can manage to flourish, yet, certain humans can't find a way to get by without being a parasite to other humans?",0.5619
109,Fruitcakes were up posting in the middle of the night as futures surgeNICE WORK GIRLS,0.3194
110,"Tell Mares to ""Haul Axe"" and she would have to make five trips!!!",0.7342
111,Next they'll ban Charlie Brown due to imagery of the Klan.,-0.6603
112,Welp. Market didn’t drop anywhere near obama levels today either.,-0.2531
113,"Which demographic is a small percentage of the US population, but also the largest percentage of the prison population? Asking for a friend.",0.634
114,Profitable quarter coming up. Beat by at least 3 cents!,0.7181
115,HIldi once sk started a diesel locomitive!!! FACT!!!,0.5822
116,"stock up $5 a share in the last month, what is not to like",0.7395
117,"https://www.wokv.com/video/hot-video/illinois-man-chained-relative-pole-basement-for-weeks-police-say/7DeLi0uKuOJWKLrqZfs35H/""an it was flags and stautes dat made me do it""",-0.0248
118,Karen pence tells her “sonny” to consider resigning now before being embarrassed next November.,-0.4662
119,The handlers assigned to the new POTUS are doing a great job of preventing him from making unscripted public comments.- Thy Willby Dunn,0.6026
120,Minneapolis Hiring Social Media Influencers to Spread City-Approved Narrative During George Floyd Trial. Unbelievable!,0.7623
121,If you go to the DMV without all your paperwork in orderyou are shown the door outit doesn't matter how far you travelled,-0.1111
122,Maintained as Outperform at Raymond James. Price target raised from $50 to $55.,0.5147
123,its on a roll!,-0.2563
124,"Trump Steaks is a discontinued brand of steak and other meats that was owned by Donald Trump. The brand was launched in 2007 and was exclusively sold through The Sharper Image and QVC. Trump Steaks failed to sell well through The Sharper Image, which discontinued sales of the product line after two months.",-0.1418
125,I would dream of snapping him with a towel. I would raise a welt about an inch high!!!,0.8402
126,"New message board format totally blows. Yahoo, put it back!",0.4336
127,a little limp today,0.0783
128,Great hockey game this evening. Dallas beat Colorado 2 - 1. Both teams played really well.,0.8779
129,"BLM founder trained in Marxism buys million dollar homes in wealthy white neighborhoods. I know that story is a few days old, but dang it's still hilarious!",0.779
130,Desantis sues bidet for breaking Fed lawyahoo allowed all manner of lies to post about DJTyetremoves the TRUTH about lawless bidet,-0.5157
131,"I want to buy CSCO stock. It seems cheap, as it is one of the few large cap stocks with more cash than debt, but growth seems stymied. What's the negative that is holding this down? Not a rhetorical question, I would like to know where the land mines are in the company. Thanks",0.6625
132,Is anyone who is interested in CSCO also interested in the future of American Democracy. The mind police here say NO!!!https://www.washingtonpost.com/news/theworldpost/wp/2018/02/21/china-internet/?noredirect=on&utm_term=.57df6a1ec487,0.7948
133,Why would anybody still be going on unemployment?,-0.305
134,"mack knows the mtn wayz..... his husband Art learned fast it gets cold at 10, 000 ft elevation",-0.0418
135,I have your closing remark right here Mares. Guess what I am pointing at!,-0.2159
136,One big pile of worthless rat schiff.Rat party in last throes.,0.2804
137,Today is yet ANOTHER lesson on why futures trading should be left o reality based individuals,0.2478
138,as predicted nasdaq futures red like i said always do the opposite of a demtard maga,0.2222
139,Never made a market call either way mares I simply said nasdaq futures dropped 60 points right after you said buy Again Demtards can lie charts don’t,-0.1547
140,DIMS get so distressed over good economic news and rising equity markets.,0.2548
141,"Once again, a basic look at the timeline shows that the WHO took coronavirus seriously far earlier than Trump himself did. And Trump was actually far more cavalier about the threat of coronavirus spreading out of China than the WHO was: https://washingtonpost.com/opinions/2020/04/15/trumps-ugly-new-blame-shifting-scam-spotlights-his-own-failures/",0.4552
142,Joe doesn't even know what the internet is.,0.5759
143,Couldn't stand looking at it anymore!,-0.1112
144,New Muhlenberg College poll of PA voters finds Trump trailing the 3 leading Dem candidates:Biden 52% Trump 43%Sanders 50% Trump 45%Warren 50% Trump 45%Trump job approval: 40/56%Support/oppose inquiry: 51/47%Support/oppose removal: 49/48%,0.7526
145,"Crossfire Hurricane - April 18, 2020 - 3:03PMGuess what popped up on my bank account today? - I'll be buying myself a new cover for my boat""",0.6735
146,10% for the big guyThat’s 10% of our tax money,-0.0217
147,"Oh, by the easy Wreekie, your Mom said that your Doctor called today to tell you that you have warts on Uranus. She says for you to see him tomorrow.",0.6941
148,It is to late to short more of this stock but support isn't until 41.85 and if it goes through that look out below.,0.2197
149,"until all job losses from the Dempanic are recovered, Joe cannot take credit for creating jobs.",0.2726
150,63 shot in bamo's chicago this weekend....ya I know grubers it was robert e lee's fault....,0.3363
151,"Does our CIC come up with his poor decisions on his own, or does he have help from his fellow party members?- Thy Willby Dunn",0.8507
152,"This site ""upgrade"" is total waste-case. I've been a regular at yahoo Finance (and Finance Message Boards) for a LOOONG time (4 different ""portfolio/watch-lists"") but, looks like this time they really prewed-the-scrooch, time to move on. Plus the long-standing irritation of every time you use language not appropriate for a 3 year old to hear you get censored. Been itching to pull this trigger for a LOOONG time. BuhBye Yahoo !",0.8976
153,earning report today?,0.2251
154,DIMS Election Whine Fest Continues.,-0.4221
155,"Have you ever noticed thatif you loan something to a R, they at least bring it backbutif you loan something to a demyou have to go get or you'll never get it backLOL",0.4348
156,What’s the likelihood of $55?!?!,-0.2982
157,"Dems included a poison pill in the stimulus. The tax credit expires in 2022. Will RepubliQins campaign on renewing it, or letting expire. Letting it expire equals Raising Taxes. Gotcha!",0.5001
158,"Can't argue with demtards, they have no intelligence and can never admit when they are wrong. They are dyp chyts.",0.3577
159,so... March 4 is the Trump inaugurationis it to late to donate,-0.1768
160,Just use college TAs to reopen schoolsandfire the malingerersrocket science for dems?,0.3454
161,"Where are Cuomo & DeBlasio? Helping paint BLM on streets as cops bashed in heads with pipes. They should stand against harm to religious places and statues. “When they're going after Virgin Mary, protest has turned to madness”",-0.6037
162,Every discussion about the stimulus money has people saying they are paying down debtseldom has the word EVERY been used more correctly,-0.3604
163,freddy it;s all good just post the graph thx,0.6558
164,"Trump promised no one would be hired that was a lobbyist. LOLeverything is opposite in Trump's rabbit holeCompared with some of the other events taking place on Capitol Hill this week, Mark Esper’s confirmation as defense secretary on Tuesday was a largely drama-free affair: Esper, a former lobbyist for defense contractor Raytheon, sailed through with a 90–8 vote, ending the longest period without a confirmed secretary in the history of the Defense Department.",0.6502
165,if mares has the guts to show her face please tell her nasdaq futures went red right after her it's time to buy the nasdaq post thanks,0.3019
166,You know who else had a this kind of mustache? Was Charlie Chaplain a Not see?,0.1361
167,Trump was furious when Barr let it slip that the report DOES NOT exonerate Trump.Never mind the fake news fella.,-0.5753
168,my EV stocks are down no one has faith in joes market,-0.1216
169,Upgraded to Overweight at JPMorgan. Price target raised from $50 to $55.,-0.1207
170,Joes Secret Service code name is now SFAF. StumbleFartandFall,0.6203
171,"he's constantly for sale - that wasn't toilet paper on his shoe, it was a price tag",0.4288
172,Was there ANY evidence of Russian collusion?,-0.0367
173,it may be time to buy some csco,0.3077
174,"Interesting long even time friends of Trump, like Howard Stern are endorsing Biden. He certainly has a big audience",0.9483
175,UP (yes only $0.05)......but still up on a BIG market red day. If you don't know what that means you need to find another occupation (or hobby).,0.7111
176,Covid deaths +500k. Other causes of death -500k.,-0.5014
177,The Latinos say they love speedy Gonzales and they are not at all offended What will demtard cancel culture do ??,0.4544
178,"When it comes to 'cultural appropriation' , they've all been stealing from us for centuries",-0.5175
179,If you can't be a MANyou can still be a demoncrat,0.1138
180,Joe is raising taxes.,0.5853
181,How many more mass shootings will Joe authorize in order to justify gun confiscation?,0.1597
182,"3+ years of the most intense investigations ever, and they got Nothing On Trump.Free and Clear.",0.4245
183,"Ugh, poor mares - getting crushed“Thus far, we’ve see no new credible corroboration—no new corroboration at all.”",-0.727
184,"Demtirds lie.President Joe Biden claimed on the campaign trail that he would not raise taxes on individuals making less than $400,000 annually, but his administration now admits that the number could actually be much lower with tax hikes on the horizon.A tax increase is coming for some individuals and for major corporations, just as was expected from Biden and Democrats. The federal government needs more funds to ramp up its planned spending, which includes another round of massive legislation. This opens up a big opportunity for the GOP, but we’ll get to that later.Bloomberg reported this week: “Unlike the $1.9 trillion Covid-19 stimulus act, the next initiative, which is expected to be even bigger, won’t rely just on government debt as a funding source. While it’s been increasingly clear that tax hikes will be a component — Treasury Secretary Janet Yellen has said at least part of the next bill will have to be paid for, and pointed to higher rates — key advisers are now making preparations for a package of measures that could include an increase in both the corporate tax rate and the individual rate for high earners.”",0.9778
185,Forget petty politics. Focus on all the Money you can make off the Economic Recovery!,-0.2713
186,Why can’t we divide the country Republicans / dems It will solve all problems?,0.2067
187,Lets be clear Grampa Hotpockets. Trump has been impeached and is about to be removed.Pelosi is a genius and Trump is a game show host,0.6766
188,"Charlamagne tha God says Biden an 'intricate part' of system that 'needs to be dismantled' : 'What have you done for me, lately?'",0.4738
189,"CSCO uses custom design chip, so they're ordered chips months ahead, everyone think they're using similar chips in auto, take a switch pcb and look",-0.1204
190,CY1 minute agoDopey joe will helpcoyotes scoop up girls in transitdoes joe get first pick ???,0.8819
191,“ But the glaciers are growing.”Lmao,0.0222
192,"""Party before Country"" grubers had no problem when the hag used an illegal, unsecured private server for emailing classified info.",-0.7022
193,Will go + today ,-0.011
194,"Wreekie Bobbie3 minutes agois it time to flush Blue CIities Yearninglol, you’ve flushed me several times It’s not that difficult to figure out the mute feature Maga",-0.0707
195,"Mares is quiet, must be back to stocking shelves at Walmart. Lolz",0.805
196,"Another Saturday night and dems ain't got nobodythey got no money, so they can't get laidoh, how they wish they had someone to talk tothey're in an awful way",0.0578
197,Big selloff in the final hour today. Lolz.,0.7127
198,A preview of the Trump aftermath.https://www.bbc.com/news/technology-47454528$BAC conversation,-0.0863
199,List of scientific laws named after peopleno 'diversity' on that list,0.7552
200,“Stimmy” fever is sweeping the Nation!,-0.2205
201,NEW TARGET IS STILL $57.00...,0.2393
202,muted Robert ID enough,0.856
203,Mares IDs have varied degrees of IQ. They range from hat size to waist size but none over 54.,-0.0987
204,Green screens! CSCO continues to Grind higher.,0.297
205,This stock is languishing and the message board is all abut politics. They probably don't own one share,-0.0683
206,If CSCO could come up with an idea like Zoom has it might make a lot of money?,0.5077
207,"Cisco seems to be taking the brunt of the abuse the last couple days, down 6% on no news and in front of ex divvy day. Seems like panic selling by someone. Bought all that I care to hold and will collect the .35 divvy, even if it goes down a little further with the market, at this price I am ok with my buys.",-0.7647
208,Does anyone on this board talk about Cisco?,0.3824
209,"There isn’t one good thing that comes from the Left. They are the worst of the worst. The progressive left has sought to cancel the beloved children’s author because of alleged racial undertones in his books.On Tuesday, Dr. Seuss Enterprises announced the decision to cease publication and licensing of six Dr. Seuss books: “And To Think That I Saw It on Mulberry Street,” “If I Ran the Zoo,” “McElligot’s Pool,” “On Beyond Zebra!,” “Scrambled Eggs Super!” and “The Cat’s Quizzer.”“These books portray people in ways that are hurtful and wrong,” the organization said in a statement.",0.8141
210,He’s at 31%. From 49%. Lmao. Omg,0.6204
211,"Pelosi: I’m Against Payroll Tax Cut in Next Coronavirus BillOn Monday’s broadcast of CNN’s “Situation Room,” House Speaker Nancy Pelosi (D-CA) said she is opposed to including a payroll tax cut in the next coronavirus relief bill.Host Wolf Blitzer asked, “So, is a payroll tax cut okay from your point of view?”Pelosi responded, “No, it is not.”She added, “First of all, this is all to be related to the coronavirus. We have enormous, enormous costs, much of it incurred because the president was in denial early on, delayed a reaction to it, caused deaths. And so, now, we want to say, okay, that was then. Alright, let’s start now and do things in a positive way. Nobody’s putting anything on the table saying, unless we have this, we’re not doing that. He shouldn’t either.”Pelosi later declined to say whether she would accept a payroll tax cut in exchange for concessions on things Democrats want by saying she didn’t want to negotiate on TV.---------------------------------------------------------------Good for Nancy.....keep those 'middle class tax slaves' in line...why let them keep the money THEY EARNED...!!! The white, wealthy, rich, elites should take from the earners and give to the non-earners...Works for me....as long as they don't touch MY TAX LOOP HOLES...right SnowRooms...",0.8914
212,Been plenty of winning since jan 6!,0.7071
213,looks like I made freddy/mares cry reports of whimpering coming from stall#3 walmart,0.2293
214,Cheap stock with a nice dividend!! Win-win.,0.8061
215,"Report: Ford to Offshore $900M Plant Investment from Ohio to MexicoThe Ford Motor Company, a multinational automaker, is reportedly planning to move a $900 million investment originally intended for an Avon Lake, Ohio plant to a site in Mexico.--------------------------------The multinational's are doing the same thing as they did under 0 bar ma....but then again Bye_den has the same team....Take good jobs move them to other countries....bring in an army of cheap labor....what possibly could go wrong with that plan...",0.9044
216,"CSCO is up 11% in the lasts seven trading days, and nearly +30% in 4.5 months.. still rocking a 3% div yield, still below it's 5 yr. blended P/E avg. (FV). AA- credit rating, only 18% LT debt/cap. Paid and increased divs for 10 years straight.. it's a keeper.",0.6943
217,"Doing so, she noted that former President Barack Obama — and Bill Clinton for that matter — had a better track record.",0.5689
218,https://www.foxnews.com/politics/doctors-raise-alarm-about-health-effects-of-continued-coronavirus-shutdown,0.0
219,They believe a man who confessed on tape to serial sexual assaults is our most saintly president.,-0.5031
220,"What we need is a centrist, not a tea party and not a socialist",0.5763
221,"God bless America, God bless stimulus packages",0.8063
222,https://gellerreport.com/2020/07/watch-jihad-rep-ilhan-omar-calls-for-dismantling-of-americas-economy-and-political-systems.html/SEND HERback to hellmalia,-0.0046
223,bob is wishing Art had worn a rubber?too late now,-0.3624
224,Trump took Air Force One to Rush's funeral.Not really though lol,0.3262
225,$6 Trillion spent on Covid. $4 Trillion by a Republican President and Senate. Just sayin’,-0.266
226,When a loaf of bread and a gallon of gas are both ten bucks you can thank Joe for all he has done for us!!!,0.863
227,3 Debates YOU BET ! Already drinking games being made on Biden's you knows - LMAO !!,0.8775
228,yet another great CALL!ProShares UltraPro Short Dow30 (SDOW)NYSEArca - Nasdaq Real Time Price. Currency in USDAdd to watchlist17.76-0.56 (-3.06%)Poor mares -,0.3327
229,anyone have ANY idea what Robert is trying to say ?,0.4792
230,"DETROIT (Reuters) - U.S. Representative Rashida Tlaib, one of the most visible progressive Democrats in Congress, claimed victory Wednesday in the Democratic primary election against challenger Detroit City Council President Brenda Jones.County elections results showed Tlaib with 63,650 votes to Jones' 32,582 with 89.9% of precincts reporting in the nomination contest",0.3477
231,"I like this CSCO board because one can discuss the company, or venture into politics. The venturing into politics part is always subject to censorship by VERIZON (Exactly like China, believe it or not). Anyway, here goes. Our man in charge and his party came to power with no plan of their own. Their ONLY idea was to literally do everything opposite of the previous guy. See rejoin climate accord, renew appeasement deal with Iran, rejoin the WHO, kill the Keystone pipeline, stop the border wall, ease immigration restrictions, RAISE taxes, and even obsessively wear masks.....As we now know, this single mindedness and biased thinking has led to various ""Issues"". Think border crisis, gas shortages, rampant inflation, etc. My hope is that our leaders do what's best for the country before the market and our nation suffer. PS: To Verizon, this post has no profanity our falsehoods. Please leave it up.",0.9789
232,"mars7 hours ago$CSCO conversation: Looks like you are supposed to sell this open.Look at it getting crushed on the INSY Board, too!LOL!",0.2989
233,"every time nasdaq futures hit 13,000 they get sold off",0.0675
234,"Anthony Scaramucci, who was White House communications director for just 11 days before he was sacked in 2017, said the US president’s behaviour has “got worse” since he last saw him a year ago.In an interview with CTV News on Friday, he said: “He’s in full-blown meltdown; it’s like the episodes of Chernobyl where the reactor’s melting down and people are trying to figure out whether they’re going to cover it up or clean it up.”",0.8724
235,"Gang violence, drugs, etc were never a thing in America until after we became diverse. Coincidence?",-0.3252
