,Recent headlines and conversations for DVA,Polarity
34,Did i call this or what ???? spike near $115 and dropping like a rock see u in the $90's sooooooon BUY FMS much cheaper,0.9027
35,DaVita is up 5.86% to 72.25,0.1818
36,Yahoo ..please stop spamming with price updates many times.,-0.5143
37,Some trading shares sold pre-market at 7:02AM at 56.53 which is higher that it's showing as last trade at 8:15 .26 up from Friday close and can't belivieve China and N Korea news has anything to do with it.AMTD and Yahoo don't show any volume yet premarket.,0.728
38,"Ouch. John Oliver pretty much lampooned the boss, the business model, and the company's ethics on last night's show on HBO.",-0.3265
39,This company is a pure fraud,-0.56
40,I got more yesterday as well.,0.3262
41,"this is crazy, havent been down like this before. Is it time to sell?",-0.162
42,"DO THE NAJARIAN BROTHERS COMMIT FRAUD WHILE THEY ARE ON CNBCONE BUYS AND PUMPS, AND THE OTHER ONE SHORTS, PUTS,,,,,, DAVITAIS IN ON THIS SCAM.",-0.3293
43,DaVita reached an all time high at 119.89,0.3228
44,Good upward moving in last 3days,0.7532
45,THE DAVITA FRAUD IS VERY REAL PEOPLE: THE NAJARIAN BROTHERS AND THE COMPANY ...DAVITA...... HAVE COMMITTED A CALL FRAUD IN DECEMBER THAT DAVITA $66.00 CALL BY JANUARY 2019 THIS IS THE SECOND TIME THE COMPANY COMMITTED...FRAUD....,-0.1063
46,stay long friends...,0.4508
47,"expensive with questionable and agressive forward guidance. Also huge debt, low fcf",-0.4393
48,A buy today under 60(59.42 up 1.44 as I type) and write the Jan 2021 60's at 9.50/10.20 for a guarantee of over 15% in 15 months. Or if there is a dip in the stock maybe buy them back lower for a nice return.Absolute worst case is DVA takes a dive and is below 60 on OE and you have just lowered your 60.00 cost basis by roughly 10.00 which still looks good.No choice on getting Dialysis and it's basically still a duopoly.,0.7024
49,Heading to $40 before June,0.0208
50,"WAITING FOR THE FIRST LITIGATION ATTORNEY TO BRING ..... DAVITA AND THE NAJARIAN BROTHERS TO COURT,,,,,,, FRAUD",-0.714
51,"CLASS ACTION AGAINST DAVITA,,,,,,,, THE FRAUD CALL $66.00 BY 1/15/2019THE NAJARIAN BROTHERS ARE ALSO INVOLVED",-0.2662
52,"DAVITA FRAUD WITHE NAJARIAN BROTHERS IS VERY VERY REAL ,,,,,,, THIS IS THE SECOND TIME DAVITA MADE A FRAUD MOVE,,,,, AND IT PAYS FOR THEM,,,,,,,, AND LOSES FOR YOU........ WAITING FOR THE FIRST LAWYERS IN NEW YORK, TO START A CLASS ACTION LAWSUIT........ DAVITA, NAJARIAN FRAUD",-0.7938
53,No to prop 23 should give a boost.,-0.4584
54,I'm going up buy more... stay long,0.6382
55,DVA Chanos short today closed 59.75 down 1.55 2.53% but some serious options trades!In the ones that expire tomorrow 9/20In the ones that expire on Oct 18And the January 2020'sOverall as usual calls way more than puts.The rest of the OE days not as popular today,0.9138
56,Oops - dang AMTD - I was buying when I thought I was selling!Couple days ago I thought I wrote Jan 65's for 3.50 and AMTD does this weird thing after I choose Sell-to-open then you do the lookup on the options change it CHANGES it to BUY-to-open!I have been bitten by this before!So today I noticed my error and sold for 3.70 - basically a wash.I will likely attempt to rewrote Jan 65's for 4.00 soon.,0.2387
57,So let me get this straight at $113 PETER tells us to buy that it will be a BARN BURNER and will make new highs...at $104 he tells us to BUY AGAIN but makes no mention of his previous advice in which ppl would be down almost $10 !!! DVA is heading to $90 and Peter will tell us let's not buy now ....LOL,-0.3097
58,"DVA has had a history of fraud, and Chanos announced his short in September. Hard to believe DVA was able to significantly beat estimates without some of Chanos' concerns being true. This move up today is overplayed.",-0.2498
59,DVA reached a 52 Week low at 47.02,-0.1464
60,Shorted 2000,0.0972
61,this should break 71 in a week,-0.1731
62,"This #$%$ is so OVERBOUGHT, i see a phony spike to 115 and then back to $90 where it belongs, FMS is cheaper and could rally to $45 !",0.4916
63,DVA is up 8.38% to $75.05,0.1818
64,DVA reached a 52 Week high at 76.75,0.3561
65,"Just covered my 5000 shares @52.60 from 59.25. Made almost 34 grand, thanks longs more stocks to short with money made from this.",0.713
66,"500,000 SHARES LARGE RED SELL OFF..........DAVITA FRAUD",-0.3708
67,DaVita is up 4.92% to 103.47,0.1818
68,"THE DAVITA FRAUD AND THE NAJARIAN BROTHER FRAUD,,,,,, IS A SERIOUS MATTER....... LARGE INVESTORS GETTING OUT....... DARK POOLS ARE IN THE MILLIONS,,,,, DUMPING......THIS IS DAVITA SECOND FRAUD ATTEMPT",-0.8899
69,FMS has climbed over $3 since i posted and DVA is going nowhere but a slow trickle back down to the $90's and perhaps lower. There's a huge lawsuit against DVA and the dollar is getting stronger which benefits FMS !,-0.3671
70,"WALL STREET ON NOTICE,,,,,,,DAVITA, NAJARIAN BROTHER FRAUD",-0.4669
71,Finally broke thru 60 today after bouncing off of it several times. To the point that I sold some common just under 60 but kept Jan calls and other common.Someone was really holding it under 60 - it was almost like an OE Friday and the MM was playing with the price.Can't see how a fed cut that everyone is expecting will directly help DVA. If it had a dividend(and why doesn't it - I think of it like a Utility) that may cause a bump.,0.9702
72,So painful to own this stock for a few years.,-0.1401
73,"I like this company for an earnings play, am going long in a few minutes, expecting an earnings beat and positive guidance going forward. Only going to do 100 shares, because I see risks and headwinds going forward that might reduce the likelihood of a serious pop up even on a good earnings report. CVS looks much better as an earnings play, but this one is good enough for me to put 100 shares at risk to the long side.",0.972
74,Get in on this one. Lots of achievements for a 9 month old cyber security co. LDSR,0.7629
75,"Sold a bunch yesterday in after election bump at 75.55, bough back 1/3 today at 69.75. Will keep buying back in thirds if it continues to fall.Hated to sell but was a very large pop.Buffet's guys are still in here I'd think or the price would really be punished as they pulled out.The competitor had news a few weeks ago.Still few choices if a person needs Dialysis. Buffett's 2 guys still have large holdings, there are worse investments.",-0.5319
76,Just on CNBC Jim Chanos(sp?) shorting DVA for Years and questions Berkshire being involved - they still have 24%.A couple comments. Berkshire doesn't ALWAYS make the best moves. Look at the first time that I know of that they bought a Company with another investor(who is slash n loot) from Brazil with Kraft Heinz. You can see what a mis-step that was.And actually it was Warren's 2 new hires that both had bought DVA that they had to file 10% ownership not long after they had started.Now DVA is at 24% and I believe have a standstill agreement. Which is why I questioned DVA announced a significant buyback not long ago which would increase Berkshire's % ad if that would cause any issues.I am long DVA(common and I had sold some common and bought deep in the money calls that are now up 59%.It will be interesting to hear why it is shorted. We already know that all profits come from the little sliver of private pay for Davita and Frenesius.Capital intensive but a necessary service. And since to me it has a lot of characteristics of a Utility I have always thought they should have a dividend.Let the games begin. I have made decent money trading DVA over Years. Virtually all the common and calls I own are with the House's money.I had wanted this to be one of my 4 largest holdings but it just can't seem to get there!2 folks with WAY more money and information that I will lever have. Time to grab the popcorn and decide if there is an opportunity to make money here.And I have been long BRKB's for a very long time. Although I sold a bunch when their split was announced and shortly after that split.Chenos to be on CNBC shortly but I have to leave so I won't see it.,0.9942
77,everyone has left,0.0127
78,Hit my set sale price so I am out. Good luck kids. Boolean,0.8363
79,Going to be down huge tomorrow lol jk. Its moving less than on a er miss than a regular day.,0.8469
80,"Finally, we're a few days in now trading above the 50 dma and 200 dma.",0.4492
81,DaVita is down 6.88% to 76.21,-0.2462
82,DVA is up 5.81% to 69.56,0.1818
83,"• Italy's death toll and infection rate from coronavirus continuing to slow down • The death toll is now close to 15,000 while 120,000 have been infected with it • But today is the fifth consecutive day in which the number of new cases remained within a range of 4,050-4,782",-0.8254
84,DVA is up 8.26% to 67.60,0.1818
85,"WHAT LITIGATION ATTORNEYS WILL BE FIRST TO FILE A CLASS ACTION LAWSUIT,,,,,,AGAINST DAVITA, FOR THERE FRAUD $66.00 CALLS BY JAN16,2019...... AND WILL THE NAJARIANS BE AT FAULT TOO.",-0.213
86,could I buy more 100 shares or wait after report out? I've been keep track DVA 35 days and it slow move up.....,0.5982
87,https://www.zerohedge.com/political/new-report-reveals-davita-engaged-lobbying-scheme-target-legislation-threatening-billing,0.0
88,DVA is up 6.16% to 59.50,0.1818
89,big insider sales,0.2511
90,any idea why unusually high option trades taking place today & yesterday,0.5762
91,"i shorted another 20,000 shares at 122.88...30,000 shares for an average of $120.65 it should drop to $110 soon.....",0.5557
92,Why is it down so much today?,-0.1123
93,Stable it is today,0.3689
94,Going to get bought out ,0.155
95,DVA is up 5.95% to 76.01,0.1818
96,"$64.00 - Perfect time to back up the truck. CMS put out a press release today: ""CMS examines inappropriate steering of people eligible for Medicare or Medicaid into Marketplace plans"". Dumb money will be selling; DaVita will be buying/probably seek to accelerate the buyback. And, if you follow Warren Buffett, you can be damn sure that his deputy Mr. Weschler is evaluating a takeover bid for the whole company, or he too will be increasing his stake. Gotta love the engineering take down of the shares, allowing insiders to load the boat. Don't be fooled! DVA has at least 50% upside to present value based strong and growing free cash flow, with intrinsic value compounding higher from there.",0.991
97,FMS still up on the DAY...YAY ME BOO Buffet and cowards pete and rob,0.0516
98,DVA reached an all time high at 88.53,0.3228
99,"THE FRAUD WITH DAVITA AND NAJARIAN BROTHERS,,,, COULD BE BIG.....",-0.5522
100,DVA is down 5.89% to 66.16,-0.2462
101,What is the company doing with the 4 billion from UNH?,0.1512
102,Looks like a bunch of Company announced news this morning.From profit % increase to stock buyback.,0.8912
103,DVA is up 5.03% to $75.23,0.1818
104,Let the spin begin. Gonna be interesting to see what they have to say.,0.6002
105,DaVita reached an all time high at 98.94,0.3228
106,WE WILL KNOW IF THE NAJARIANS COMMIT FRAUD DAVITA HAS TILL JANUARY16 OPTION CALLS TO GO TO $67.00.,-0.5978
107,CVS - Anyone have an idea of what they are proposing with in home dialysis through Coram?,0.3794
108,Sold a few trading shares yesterday at 56.45 from an outstanding order.Wasn't worth writing covered calls.If we get close to 60 I'll write some calls.If DVA dips closer to 50 I'll buy more trading shares.Not flashy but still not many alternatives. FMS and small players. No choice on whether to have dialysis or not.,0.6733
109,"DAVITA,,, FRAUD...... THE NAJARIAN BROTHERS CALL JAM 16TH 2019 TO $66.00 IS ANOTHER SECOND ATTEMPT FRAUD WITH DAVITA...... DAVITA FRAUD",-0.8238
110,Bought more. NECESSARY Healthcare in this environment. Can't go wrong!,0.7387
111,Wrote 1 JAN 202 65 call for 3.50 this morning while the stock was just under 57.00. That is a return of 20% if they get called away. And if they get called away all the common I have will be doing very well....Just like last time when I wrote 60's for 4.00 and bought back at 2.00 I may do the same with these as that's what I usually do. But I'm leaning towards never calling these back.I will likely continue to write some calls at different strikes given the chance up to 1/4 of my DVA holdings.For some reason a few hours later this post isn't showing. Luckily I had made a copy of it(because Yahoo is so reliable...)Now DVA has backed off some but still green on the day. Entire market doing well today.,0.9277
112,Any thoughts on taking over KERX ..? One drug AURYXIA ...2 indications,0.4605
113,"THE NAJARIAN AND DAVITA FRAUD CALLS IS VERY REAL,,,,,, AND BEING INVESTIGATED",-0.6878
114,$5 discount anyone?,0.1576
115,DVA should buy Fitbit.,0.1905
116,I have been accumulating when I can. I do believe that the future will be looking bright in the next year.,0.4878
117,FMS exploding over $40 and on its way to$50....Dear Buffet and cowards pete and rob....you bought the wrong dialysis company ...DVA will now be in pergatory stock hell for 5 years $90 to $115 LOL,-0.4751
118,sirf bites,0.0
119,the bs sirf eport is ridiculous and insignificant... people still need dialysis no matter what they say.,-0.4471
120,Manipulation manipulation next week hit the 30dollar bellows,-0.5284
121,"BTW Peter the Wrong...i have also bought the much cheaper and better company in this space at $34.89 see my posts...60,000 im hedging it against this expensive shady management elusive answers on earnings calls..if you look at the chart on this pig it is showing a lower high from January and an H chart pattern both extremely BEARISH but you wouldn't know that because your a sheep and i'm a lion.",0.6303
122,"don't know why this stock has ticked up. dialysis is an incredibly invasive procedure and the science and technology is advancing fast enough so that people with kidney disease will have less invasive, home care options. in the near future. davita is brick and mortar with older technology. I also believe the repeal of Obamacare will have a significant impact on davita profits. a new Healthcare bill could easily cap costs of dialysis treatment. not a smart buy at this valuation.",0.9625
123,"800,000 SEA OF RED DUMP,,,,,,,,,DAVITA FRAUD",-0.7863
124,"Even the CEO sold 3 Million shares of DVA, using valuable cash to buy back shares at 110 not even a great price and blowing thru cash not a smart strategy..",0.9487
125,Where's Robert the Wrong and Peter the sheep ??????????????????? Hiding like COWARDS ????,-0.5014
126,?WHY is this POS stock down 9% today???,0.4641
127,DaVita is up 4.98% to 93.50,0.1818
128,DVA is down 5.67% to 71.75,-0.2462
129,The Feds are now investigating this company. Two investigations ongoing.,-0.3991
130,Hopefully we stay above 50 now.I am rather loaded up with common and Jan 2021 calls.,0.7594
131,Buffett 23% stake in this company,0.5503
132,"Awesome, AWESOME victory in the passage of pro DVA proposition by California voters last night.***Ūber bullish for DVA’s business in the most populous state.- What a DVA bonanza!",0.9346
133,"IF DAVITA WAS NOT SO FRAUD,,,,,, THIS IS THERE SECOND FRAUD MOVE,IF DAVITA DID NOT COMMITTED THERE $66.00 FRAUD CALL, THEY WOULD BE SELLING 1,000,000 SHARES DAILY,,,,,,,BUT THEY DECIDED TO FRAUD CALLTHERE $66.00 CALL BY JAN16,2019......DAVITA FRAUD",0.2591
134,DVA is down 5.10% to 71.41,-0.2462
135,Buffett stock owned company does not stay down long!,0.7016
136,Not seeing any news yet but opened down 4.00 over 5%AMTD and Yahoo no news yet.No ER Due.Anyone else see anything?,0.4695
137,DVA is down 6.88% to 76.21,-0.2462
138,Glad I sold. Management at this company is so corrupt,0.4326
139,DaVita is doing just fine.,0.3001
140,My speculation is that the price is down cause the Investment banker may buy it before the offer from Warren Buffettt in buying the whole DVA,0.7521
141,Great buying opportunity in DVA stock currently trading at a discount on the sell off from all time highs!!,0.9077
142,DaVita is up 5.20% to 86.44,0.1818
143,"$7 away from setting a new all time high,once deal is done with United Health this is an excellent takeover private equity target.$90 a share or so.",0.9189
144,"THE DAVITA FRAUD IS VERY REAL,,,, AND THE NAJARIAN BROTHERS ARE IN ON IT.",-0.5914
145,I see no news on AMTD or here and average volume but up 2.48 to 72.12 and 3.55% today - kind of bizarre.Perhaps we will find out later.Simple chart shows to me - and I'm ahrdly a chart expert - that it should go up or down soon as it's into the middle of the > and I'm not a big enough chart guy to know which way it may go.I still know that Dialysis isn't much of a choice and some big name shorts are in here and Berkshire Hathaway is long like 10% of shares.So based on fundamentals I'm holding all my shares but thinking about cashing in on some trading shares.Can't believe that I see n news. Can't be all about a potential trade war especially with no dividend.,0.9758
146,The only stock in my portfolio thats up...,0.5295
147,"up....$60,000 so far will layer out 10,000 shares at a time every $6 to $8 all the way down to $90's which is still expensive but",0.0676
148,"PEG of 0.6 indicates the growth of DVA will be impressive. Its current metrics of forward P/E under 9.x is very attractive, and its price per book of 2.1 is lower than the peers at 4.4 , and price per sales is only 0.7. Bargain",0.8266
149,HAHAHAHAHAHAHAHAHA.....did you PETER followers buy it at $110 just now ????SUCKERS !!!,0.5054
150,DVA reached a 52 Week high at 72.33,0.3561
151,POS DVA,0.0
152,"Lots of stock movement (mostly down) for a large Company and yet no MB activity?I realize that these MB's have been ""improved"" over the past few years to teh point they have little value but really - this inactive?I realize a lot is institutional.I realize Frenesius has issues and trying to complete the acquisition of NXTM(which I also owned until the buyout was announced).Tax loss selling will likely keep DVA down thru end of Year. I'll likely be buying back the 1/3 left after my recent sale, I already bought 2 chunks back.And I'm likely to add fresh shares. Was looking at calls yesterday too.",0.9418
153,"MY LITIGATION ATTORNEY IN NEW YORK,,,,, ARE ON THE DAVITA COMPANY",0.6396
154,DaVita is up 7.27% to 88.38,0.1818
155,"I've bought back almost all common sold much higher this Year, now 2 options buys as wellYesterday some Jan 60's for 2.50today I piggy backed on the Jan 67.50's at .65The 67.50's the other day just after I had bought back more common one of the pony tail brothers saw the same activity as I had noticed in options at Jan 67.50 and he piggy backed the trade.I had raised cash thus Year especially over the summer and was up to like 20% cash. Being a crazy market I have been buying calls into the new Year more than common as a way to limit risk.Time will tell about the market, and this ""risk less"" but more like gambling(mostly due to time limitation) than true investing to me.I still have a little over 12% cash left.DVA like several stocks I own and follow I have to believe tax loss selling is a large part of the slide. Folks figuring DVA certainly isn't going to go out of Business so it's being oversold for accounting purposes and likely to be bought back.As long as Berkshire isn't selling (the 2 new guys are who bought DVA) and folks need Dialysis I can't see DVA going anywhere.If DVA paid a dividend(and why don't they - as to me almost a utility stock) it wouldn't have gotten beaten up this bad. IMO.""scale in, scale out, online commissions are cheap""Good luck folks!",0.9703
156,Last chance to buy under $64. This will go back to $70s in 6 months,0.2213
157,DVA upgrade to $150 target price today!,0.2929
158,DVA is up 5.07% to 84.58,0.1818
159,PETER the WRONG comes from a long lineage of a breed of ppl that have been wrong for centuries... if you $101 is extreme what will you say about $91 i have CORRECTLY predicted for weeks that this pig is going to $90 while Peter the WRONG has said it will go to NEW HIGHS yes even higher than $125 !!!!!!!!!!All Hail Peter the WRONG,-0.8117
160,DaVita reached an all time high at 109.25,0.3228
161,"was in last week,not even a green day since then...",0.0314
162,DaVita reached an all time high at 91.08,0.3228
163,Sold to Soon obviously....however great gain.,0.8169
164,Does this go to 50 today? maybe,0.2297
165,TEVA rebounding from 52wk low today. Breaking into 14’s now! Get in while you can!,0.2658
166,DVA is down 6.13% to $71.42,-0.2462
167,Buy more tomorrow! Dollar cost averaging for the long haul!,0.7951
168,"this pump and dump fraud goes like this one najarian tells you that on CNBC HE IS BUYING CALLS, and other brother SHORTS and buys PUTS.... SO HERE IS THE DAVITA DUMP.",0.3834
169,Trimmed more common today.Still lots of common and some calls.,0.3261
170,"Great company, but the drop was warranted. California government could really hurt DaVita. This was not a good dip to buy on it was a fundamental change. Risk increased. So why the rally today?",0.2888
171,Chk. it out...Buffet is the biggest holder......YEA!!!,0.3121
172,Buffett just bought,0.4218
173,"be careful america,,, you hard working men and woman,,,,,, the AK STEEL all Americanscrew is coming ,,,,,,,,,,, 4,900,00 shares are sells....... no one is buying and the large blocks selling are getting bigger....... this is going to 1.00........THE AK STEEL DAY SCREW IS YET TO COME, AND YOU HAVE THE 3:45 SCREW",0.7099
174,"ALL FRAUD BY THE NAJARIANS AND DAVITA, IS REAL THE CALL BUY TO $64.00BY JAN 16 TH 2019 IS REAL,,,,,, ONE SHORTS AND PUTS AND THE OTHER BUY CALLS AT LOW BUYS.",0.4579
175,DVA is up 4.94% to 81.39,0.1818
176,SCAM ALERT,-0.3612
177,Any company whose pricing is determined by the government is a poor investment. Hard to believe Warren allowed this stock. CMS keeps lowering prices.,0.1683
178,St. louise post dispatch article,0.5285
179,Dva- over bought,-0.1061
180,I will vote 'Yes' to Prop 8. Need to rein in the cost as it is out of control. See so many ads for No on Prop 8 and it seems like the 'Yes' is winning over. Not good for DVA.,0.1004
181,DaVita is up 4.97% to 107.42,0.1818
182,i wonder how much buffet made with this takeout,0.4399
183,DaVita reached an all time high at 95.45,0.3228
184,"DAVITA, FRAUD...... I ST FRAUD WAS ACCOUNTING FRAUD2 ND DAVITA FRAUD DAVITA NAJARIAN FRAUD 66.00 DOLLAR JAN 16, 2019THIS IS THIRD CALL FRAUD FOR DAVITA,,,,, DO NOT TRUST THIS FRAUD COMPANY...... DAVITA,,,,,,,FRAUD",-0.9544
185,DaVita reached an all time high at 122.47,0.3228
186,DVA is down 5.00% to 75.27,-0.2462
187,isn't the government the payer in over 50% of Davita customers? dont think they are not going to pay. sell off is silly.,0.1807
188,About time to move higher,0.3083
189,classic bs that has been going on for 5 plus years.,0.3356
190,will hit 90 + soon,-0.1051
191,"DAVITA AND NAJARIAN, FRAUD IS KICKING IN, AND WALL STREET IS TAKING NOTICE,,,,,THIS IS DAVITA SECOND FRAUD ATTEMPT TO SCREW PEOPLE.DAVITA FRAUD",-0.9037
192,1 billion Dutch tender with 88 ceiling is the likely top until mid September,-0.0596
193,DVA is down 4.99% to 78.13,-0.2462
194,"Two New Fraud Investigations: 2020 U.S. Attorney New Jersey Investigation: In March 2020, the U.S. Attorney’s Office, District of New Jersey served the Company with a subpoena and a CID relating to an investigation being conducted by that office and the U.S. Attorney’s Office, Eastern District of Pennsylvania. The subpoena and CID request information on several topics, including certain of the Company’s joint venture arrangements with physicians and physician groups, medical director agreements, and compliance with the Corporate Integrity Agreement. The Company is cooperating with the government in this investigation.2020 California Department of Insurance Investigation: In April 2020, the California Department of Insurance sent the Company a Investigative Subpoena relating to an investigation being conducted by that office. The subpoena requests information on a number of topics, including but not limited to the Company’s communications with patients about insurance plans and financial assistance from the American Kidney Fund (AKF), analyses of the potential impact of patients’ decisions to change insurance providers, and documents relating to donations or contributions to the AKF. The Company is cooperating with the California Department of Insurance in this investigation.",0.3476
195,Dva-way over bought,-0.1061
196,DVA is down -5.59% to 68.97,-0.2462
197,"i shorted 40,000 more at 126.01 my average short is now 123.81 and i bought 30,000 of FMS at $38.62...SUCKERS buying DVA are soon going to suffer like Peter the Wrong...or Peter the SHEEP not sure what name i like BEST ,,,,hahahahahahahahaha",0.7949
198,UBS upgrade of DVA today!!!*******Raises price target from $93 to &10!6! ,0.4524
199,"THIS IS NOT THE FIRST TIME DAVITA HAS COMMITED FRAUD,,,,, THIS IS THE SECOND TIME DAVITA HAS FRAUD....",0.1204
200,"DID JON AND PETE NAJARIAN TAKE IN A FRAUD SHORT,,,,,,, WITH DAVITA.ONE BROTHER BUYS CALLS AND THE OTHER BROTHER BUYS PUTTS AND SHORTS........ THIS DAVITA NEEDS A GOOD LOOK AT BY SEC, FEDERAL TRADE COMM.",0.1402
201,davita and najarian fraud ..... being heard on Wall Street,-0.5099
202,DaVita is down 6.41% to 70.07,-0.2462
203,profit taking nothing to worry about...,0.1735
204,Are we heading to 60s by next Friday and $75 in earning?! Any thoughts,0.1808
205,their debt is going down after the sale of medical unit .,0.3179
206,DaVita is up 5.02% to 110.26,0.1818
207,dva >> LNTH,-0.1834
208,Need for transplants and directing patients with the ability to consider home dialysis is not new. What is the big news coming?,0.7738
209,"PETER !!!! What cave have you been living in you CAPTAIN OBVIOUS, Johnny come lately...didn't you see the news that FMS its competitor said the same thing 10 days ago ???? You aren't very smart huh ? LOLYou should keep your ignorant mouth shut, cause you don't know what you are talking about...nobody should ever listen to your idiotic advice...go pack to the UPS truck",0.8042
210,Rollercoaster,0.2136
211,"THE DAVITA FRAUD IS VERY REAL AND REAL AS THE NAJARIANS BROTHERS SHORTING AND PUT BUYING AND BUYING VERY LITTLE CALLS TO PROFIT FROM THERE FRAUD CALL OF DAVITA $66.00 CALL JAN 16, 2019...... THE FRAUD IS REAL",-0.255
212,DVA is up 5.77% to 74.25,0.1818
213,Any thoughts on why down so much today = ANY due to Powell Q&A?By that I mean after the hike was announced things weren't so bad and I had to leave for the day.Tax loss selling is taking it's toll on DVA.But how much is interest rate related? I cna't believe that .25% would cause DVA to be down another 3% basically twice the loss of the market.I'll likely be adding to common and/or calls by the end of the Year.No rush.,0.3493
214,DVA is up 4.95% to 86.85,0.1818
215,RISE DaVita RISE!!!!!,-0.4642
216,Dva dropping to 200 day at 94 maybe lower. Berkshire buying means nothing. Mark my words,0.2384
217,did I see 23% margin,-0.0337
218,"Thinking of writing some Jan 2020'sFor 1/4 of my holdings - and I'm currently overall underwater with shares currently held.At 54.00 looks like JAN 2020's at strike of 60 can be sold for 5.40 which would be 21% return if called away.Writing the JAN 2020 65's at 4.00 would be 27% return in a Year if called away.And the other 3/4 of my holdings would benefit from the stock price runup very nicely if the stock trades up thru the strike price.So collect a premium and if the stock gets called away a return of 20%+ in a Year on those shares. If it doesn't get called away I've just reduced my cost basis. Often when I do this if I can buy the calls back at half the price I collected I buy them back and close out the trade, usually has to do with how much time is left.But 20% in a Year or a lowered cost basis is looking pretty good.Also look at a simple chart for the past Year. Between 65 and 69 that's getting kinda close to the recent high's and I'd likely be selling some of my trading shares in that range anyways.Good luck folks!",0.9876
219,DVA is down 6.36% to 53.00,-0.2462
220,OIG coming soon,0.0548
221,btsc good bitcoin play,0.7514
222,"Buffett's 'Big Mistake' Is Finally Looking Up - realmoney/thestreet/click bait - who wrote headline?If I recall the 2 new guys EACH bought DVA and that is how Berkshire had enough shares that they had to file. WEB had NOTHING to do with it!Which to me, for research writers, is a complete FAIL! To the point I wouldn't trust whatever is in the article.Am I wrong?",-0.7481
223,NAJARIAN BROTHERS SHOULD TURN THEMSELVES IN DAVITA FRAUD,-0.6055
224,"Shorted 5000 shares today at 59.25, heading to 50 by Friday.",0.4861
225,DVA is up 4.91% to 55.13,0.1818
226,"Wonder if Berkshire is adding even more? Both ""new"" guys are who bought DVA shares not WEB himself.I believe they were up to 23% ownership?If THEY liquidate it will be really ugly.In the end I figure DVA will be somewhere between a utility and a tobacco company. They will let them make enough profit to stay in business. Thru taxing(like Tobacco) or in this case Gov't reimbursement of procedures.In the end the service both these big dialysis company's provide is life saving or life extending, the money will be found to pay for it.",0.9227
