,word,polarity
308,stabilizations,2
309,stabilize,2
310,stabilized,2
311,stabilizes,2
312,stabilizing,2
313,stable,2
314,strength,2
315,strengthen,2
316,strengthened,2
317,strengthening,2
318,strengthens,2
319,strengths,2
320,strong,2
321,stronger,2
322,strongest,2
323,succeed,2
324,succeeded,2
325,succeeding,2
326,succeeds,2
327,success,2
328,successes,2
329,successful,2
330,successfully,2
331,superior,2
332,surpass,2
333,surpassed,2
334,surpasses,2
335,surpassing,2
336,transparency,2
337,tremendous,2
338,tremendously,2
339,unmatched,2
340,unparalleled,2
341,unsurpassed,2
342,upturn,2
343,upturns,2
344,valuable,2
345,versatile,2
346,versatility,2
347,vibrancy,2
348,vibrant,2
349,win,2
350,winner,2
351,winners,2
352,winning,2
353,worthy,2
0,abandon,-2
1,abandoned,-2
2,abandoning,-2
3,abandonment,-2
4,abandonments,-2
5,abandons,-2
6,abdicated,-2
7,abdicates,-2
8,abdicating,-2
9,abdication,-2
10,abdications,-2
11,aberrant,-2
12,aberration,-2
13,aberrational,-2
14,aberrations,-2
15,abetting,-2
16,abnormal,-2
17,abnormalities,-2
18,abnormality,-2
19,abnormally,-2
20,abolish,-2
21,abolished,-2
22,abolishes,-2
23,abolishing,-2
24,abrogate,-2
25,abrogated,-2
26,abrogates,-2
27,abrogating,-2
28,abrogation,-2
29,abrogations,-2
30,abrupt,-2
31,abruptly,-2
32,abruptness,-2
33,absence,-2
34,absences,-2
35,absenteeism,-2
36,abuse,-2
37,abused,-2
38,abuses,-2
39,abusing,-2
40,abusive,-2
41,abusively,-2
42,abusiveness,-2
43,accident,-2
44,accidental,-2
45,accidentally,-2
46,accidents,-2
47,accusation,-2
48,accusations,-2
49,accuse,-2
50,accused,-2
51,accuses,-2
52,accusing,-2
53,acquiesce,-2
54,acquiesced,-2
55,acquiesces,-2
56,acquiescing,-2
57,acquit,-2
58,acquits,-2
59,acquittal,-2
60,acquittals,-2
61,acquitted,-2
62,acquitting,-2
63,adulterate,-2
64,adulterated,-2
65,adulterating,-2
66,adulteration,-2
67,adulterations,-2
68,adversarial,-2
69,adversaries,-2
70,adversary,-2
71,adverse,-2
72,adversely,-2
73,adversities,-2
74,adversity,-2
75,aftermath,-2
76,aftermaths,-2
77,against,-2
78,aggravate,-2
79,aggravated,-2
80,aggravates,-2
81,aggravating,-2
82,aggravation,-2
83,aggravations,-2
84,alerted,-2
85,alerting,-2
86,alienate,-2
87,alienated,-2
88,alienates,-2
89,alienating,-2
90,alienation,-2
91,alienations,-2
92,allegation,-2
93,allegations,-2
94,allege,-2
95,alleged,-2
96,allegedly,-2
97,alleges,-2
98,alleging,-2
99,annoy,-2
100,annoyance,-2
101,annoyances,-2
102,annoyed,-2
103,annoying,-2
104,annoys,-2
105,annul,-2
106,annulled,-2
107,annulling,-2
108,annulment,-2
109,annulments,-2
110,annuls,-2
111,anomalies,-2
112,anomalous,-2
113,anomalously,-2
114,anomaly,-2
115,anticompetitive,-2
116,antitrust,-2
117,argue,-2
118,argued,-2
119,arguing,-2
120,argument,-2
121,argumentative,-2
122,arguments,-2
123,arrearage,-2
124,arrearages,-2
125,arrears,-2
126,arrest,-2
127,arrested,-2
128,arrests,-2
129,artificially,-2
130,assault,-2
131,assaulted,-2
132,assaulting,-2
133,assaults,-2
134,assertions,-2
135,attrition,-2
136,aversely,-2
137,backdating,-2
138,bad,-2
139,bail,-2
140,bailout,-2
141,balk,-2
142,balked,-2
143,bankrupt,-2
144,bankruptcies,-2
145,bankruptcy,-2
146,bankrupted,-2
147,bankrupting,-2
148,bankrupts,-2
149,bans,-2
150,barred,-2
151,barrier,-2
152,barriers,-2
153,bottleneck,-2
154,bottlenecks,-2
155,boycott,-2
156,boycotted,-2
157,boycotting,-2
158,boycotts,-2
159,breach,-2
160,breached,-2
161,breaches,-2
162,breaching,-2
163,break,-2
164,breakage,-2
165,breakages,-2
166,breakdown,-2
167,breakdowns,-2
168,breaking,-2
169,breaks,-2
170,bribe,-2
171,bribed,-2
172,briberies,-2
173,bribery,-2
174,bribes,-2
175,bribing,-2
176,bridge,-2
177,broken,-2
178,burden,-2
179,burdened,-2
180,burdening,-2
181,burdens,-2
182,burdensome,-2
183,burned,-2
184,calamities,-2
185,calamitous,-2
186,calamity,-2
187,cancel,-2
188,canceled,-2
189,canceling,-2
190,cancellation,-2
191,cancellations,-2
192,cancelled,-2
193,cancelling,-2
194,cancels,-2
195,careless,-2
196,carelessly,-2
197,carelessness,-2
198,catastrophe,-2
199,catastrophes,-2
200,catastrophic,-2
201,catastrophically,-2
202,caution,-2
203,cautionary,-2
204,cautioned,-2
205,cautioning,-2
206,cautions,-2
207,cease,-2
208,ceased,-2
209,ceases,-2
210,ceasing,-2
211,censure,-2
212,censured,-2
213,censures,-2
214,censuring,-2
215,challenge,-2
216,challenged,-2
217,challenges,-2
218,challenging,-2
219,chargeoffs,-2
220,circumvent,-2
221,circumvented,-2
222,circumventing,-2
223,circumvention,-2
224,circumventions,-2
225,circumvents,-2
226,claiming,-2
227,claims,-2
228,clawback,-2
229,closed,-2
230,closeout,-2
231,closeouts,-2
232,closing,-2
233,closings,-2
234,closure,-2
235,closures,-2
236,coerce,-2
237,coerced,-2
238,coerces,-2
239,coercing,-2
240,coercion,-2
241,coercive,-2
242,collapse,-2
243,collapsed,-2
244,collapses,-2
245,collapsing,-2
246,collision,-2
247,collisions,-2
248,collude,-2
249,colluded,-2
250,colludes,-2
251,colluding,-2
252,collusion,-2
253,collusions,-2
254,collusive,-2
255,complain,-2
256,complained,-2
257,complaining,-2
258,complains,-2
259,complaint,-2
260,complaints,-2
261,complicate,-2
262,complicated,-2
263,complicates,-2
264,complicating,-2
265,complication,-2
266,complications,-2
267,compulsion,-2
268,concealed,-2
269,concealing,-2
270,concede,-2
271,conceded,-2
272,concedes,-2
273,conceding,-2
274,concern,-2
275,concerned,-2
276,concerns,-2
277,conciliating,-2
278,conciliation,-2
279,conciliations,-2
280,condemn,-2
281,condemnation,-2
282,condemnations,-2
283,condemned,-2
284,condemning,-2
285,condemns,-2
286,condone,-2
287,condoned,-2
288,confess,-2
289,confessed,-2
290,confesses,-2
291,confessing,-2
292,confession,-2
293,confine,-2
294,confined,-2
295,confinement,-2
296,confinements,-2
297,confines,-2
298,confining,-2
299,confiscate,-2
300,confiscated,-2
301,confiscates,-2
302,confiscating,-2
303,confiscation,-2
304,confiscations,-2
305,conflict,-2
306,conflicted,-2
307,conflicting,-2
308,conflicts,-2
309,confront,-2
310,confrontation,-2
311,confrontational,-2
312,confrontations,-2
313,confronted,-2
314,confronting,-2
315,confronts,-2
316,confuse,-2
317,confused,-2
318,confuses,-2
319,confusing,-2
320,confusingly,-2
321,confusion,-2
322,conspiracies,-2
323,conspiracy,-2
324,conspirator,-2
325,conspiratorial,-2
326,conspirators,-2
327,conspire,-2
328,conspired,-2
329,conspires,-2
330,conspiring,-2
331,contempt,-2
332,contend,-2
333,contended,-2
334,contending,-2
335,contends,-2
336,contention,-2
337,contentions,-2
338,contentious,-2
339,contentiously,-2
340,contested,-2
341,contesting,-2
342,contraction,-2
343,contractions,-2
344,contradict,-2
345,contradicted,-2
346,contradicting,-2
347,contradiction,-2
348,contradictions,-2
349,contradictory,-2
350,contradicts,-2
351,contrary,-2
352,controversial,-2
353,controversies,-2
354,controversy,-2
355,convict,-2
356,convicted,-2
357,convicting,-2
358,conviction,-2
359,convictions,-2
360,corrected,-2
361,correcting,-2
362,correction,-2
363,corrections,-2
364,corrects,-2
365,corrupt,-2
366,corrupted,-2
367,corrupting,-2
368,corruption,-2
369,corruptions,-2
370,corruptly,-2
371,corruptness,-2
372,costly,-2
373,counterclaim,-2
374,counterclaimed,-2
375,counterclaiming,-2
376,counterclaims,-2
377,counterfeit,-2
378,counterfeited,-2
379,counterfeiter,-2
380,counterfeiters,-2
381,counterfeiting,-2
382,counterfeits,-2
383,countermeasure,-2
384,countermeasures,-2
385,crime,-2
386,crimes,-2
387,criminal,-2
388,criminally,-2
389,criminals,-2
390,crises,-2
391,crisis,-2
392,critical,-2
393,critically,-2
394,criticism,-2
395,criticisms,-2
396,criticize,-2
397,criticized,-2
398,criticizes,-2
399,criticizing,-2
400,crucial,-2
401,crucially,-2
402,culpability,-2
403,culpable,-2
404,culpably,-2
405,cumbersome,-2
406,curtail,-2
407,curtailed,-2
408,curtailing,-2
409,curtailment,-2
410,curtailments,-2
411,curtails,-2
412,cut,-2
413,cutback,-2
414,cutbacks,-2
415,cyberattack,-2
416,cyberattacks,-2
417,cyberbullying,-2
418,cybercrime,-2
419,cybercrimes,-2
420,cybercriminal,-2
421,cybercriminals,-2
422,damage,-2
423,damaged,-2
424,damages,-2
425,damaging,-2
426,dampen,-2
427,dampened,-2
428,danger,-2
429,dangerous,-2
430,dangerously,-2
431,dangers,-2
432,deadlock,-2
433,deadlocked,-2
434,deadlocking,-2
435,deadlocks,-2
436,deadweight,-2
437,deadweights,-2
438,debarment,-2
439,debarments,-2
440,debarred,-2
441,deceased,-2
442,deceit,-2
443,deceitful,-2
444,deceitfulness,-2
445,deceive,-2
446,deceived,-2
447,deceives,-2
448,deceiving,-2
449,deception,-2
450,deceptions,-2
451,deceptive,-2
452,deceptively,-2
453,decline,-2
454,declined,-2
455,declines,-2
456,declining,-2
457,deface,-2
458,defaced,-2
459,defacement,-2
460,defamation,-2
461,defamations,-2
462,defamatory,-2
463,defame,-2
464,defamed,-2
465,defames,-2
466,defaming,-2
467,default,-2
468,defaulted,-2
469,defaulting,-2
470,defaults,-2
471,defeat,-2
472,defeated,-2
473,defeating,-2
474,defeats,-2
475,defect,-2
476,defective,-2
477,defects,-2
478,defend,-2
479,defendant,-2
480,defendants,-2
481,defended,-2
482,defending,-2
483,defends,-2
484,defensive,-2
485,defer,-2
486,deficiencies,-2
487,deficiency,-2
488,deficient,-2
489,deficit,-2
490,deficits,-2
491,defraud,-2
492,defrauded,-2
493,defrauding,-2
494,defrauds,-2
495,defunct,-2
496,degradation,-2
497,degradations,-2
498,degrade,-2
499,degraded,-2
500,degrades,-2
501,degrading,-2
502,delay,-2
503,delayed,-2
504,delaying,-2
505,delays,-2
506,deleterious,-2
507,deliberate,-2
508,deliberated,-2
509,deliberately,-2
510,delinquencies,-2
511,delinquency,-2
512,delinquent,-2
513,delinquently,-2
514,delinquents,-2
515,delist,-2
516,delisted,-2
517,delisting,-2
518,delists,-2
519,demise,-2
520,demised,-2
521,demises,-2
522,demising,-2
523,demolish,-2
524,demolished,-2
525,demolishes,-2
526,demolishing,-2
527,demolition,-2
528,demolitions,-2
529,demote,-2
530,demoted,-2
531,demotes,-2
532,demoting,-2
533,demotion,-2
534,demotions,-2
535,denial,-2
536,denials,-2
537,denied,-2
538,denies,-2
539,denigrate,-2
540,denigrated,-2
541,denigrates,-2
542,denigrating,-2
543,denigration,-2
544,deny,-2
545,denying,-2
546,deplete,-2
547,depleted,-2
548,depletes,-2
549,depleting,-2
550,depletion,-2
551,depletions,-2
552,deprecation,-2
553,depress,-2
554,depressed,-2
555,depresses,-2
556,depressing,-2
557,deprivation,-2
558,deprive,-2
559,deprived,-2
560,deprives,-2
561,depriving,-2
562,derelict,-2
563,dereliction,-2
564,derogatory,-2
565,destabilization,-2
566,destabilize,-2
567,destabilized,-2
568,destabilizing,-2
569,destroy,-2
570,destroyed,-2
571,destroying,-2
572,destroys,-2
573,destruction,-2
574,destructive,-2
575,detain,-2
576,detained,-2
577,detention,-2
578,detentions,-2
579,deter,-2
580,deteriorate,-2
581,deteriorated,-2
582,deteriorates,-2
583,deteriorating,-2
584,deterioration,-2
585,deteriorations,-2
586,deterred,-2
587,deterrence,-2
588,deterrences,-2
589,deterrent,-2
590,deterrents,-2
591,deterring,-2
592,deters,-2
593,detract,-2
594,detracted,-2
595,detracting,-2
596,detriment,-2
597,detrimental,-2
598,detrimentally,-2
599,detriments,-2
600,devalue,-2
601,devalued,-2
602,devalues,-2
603,devaluing,-2
604,devastate,-2
605,devastated,-2
606,devastating,-2
607,devastation,-2
608,deviate,-2
609,deviated,-2
610,deviates,-2
611,deviating,-2
612,deviation,-2
613,deviations,-2
614,devolve,-2
615,devolved,-2
616,devolves,-2
617,devolving,-2
618,difficult,-2
619,difficulties,-2
620,difficultly,-2
621,difficulty,-2
622,diminish,-2
623,diminished,-2
624,diminishes,-2
625,diminishing,-2
626,diminution,-2
627,disadvantage,-2
628,disadvantaged,-2
629,disadvantageous,-2
630,disadvantages,-2
631,disaffiliation,-2
632,disagree,-2
633,disagreeable,-2
634,disagreed,-2
635,disagreeing,-2
636,disagreement,-2
637,disagreements,-2
638,disagrees,-2
639,disallow,-2
640,disallowance,-2
641,disallowances,-2
642,disallowed,-2
643,disallowing,-2
644,disallows,-2
645,disappear,-2
646,disappearance,-2
647,disappearances,-2
648,disappeared,-2
649,disappearing,-2
650,disappears,-2
651,disappoint,-2
652,disappointed,-2
653,disappointing,-2
654,disappointingly,-2
655,disappointment,-2
656,disappointments,-2
657,disappoints,-2
658,disapproval,-2
659,disapprovals,-2
660,disapprove,-2
661,disapproved,-2
662,disapproves,-2
663,disapproving,-2
664,disassociates,-2
665,disassociating,-2
666,disassociation,-2
667,disassociations,-2
668,disaster,-2
669,disasters,-2
670,disastrous,-2
671,disastrously,-2
672,disavow,-2
673,disavowal,-2
674,disavowed,-2
675,disavowing,-2
676,disavows,-2
677,disciplinary,-2
678,disclaim,-2
679,disclaimed,-2
680,disclaimer,-2
681,disclaimers,-2
682,disclaiming,-2
683,disclaims,-2
684,disclose,-2
685,disclosed,-2
686,discloses,-2
687,disclosing,-2
688,discontinuance,-2
689,discontinuances,-2
690,discontinuation,-2
691,discontinuations,-2
692,discontinue,-2
693,discontinued,-2
694,discontinues,-2
695,discontinuing,-2
696,discourage,-2
697,discouraged,-2
698,discourages,-2
699,discouraging,-2
700,discredit,-2
701,discredited,-2
702,discrediting,-2
703,discredits,-2
704,discrepancies,-2
705,discrepancy,-2
706,disfavor,-2
707,disfavored,-2
708,disfavoring,-2
709,disfavors,-2
710,disgorge,-2
711,disgorged,-2
712,disgorgement,-2
713,disgorgements,-2
714,disgorges,-2
715,disgorging,-2
716,disgrace,-2
717,disgraceful,-2
718,disgracefully,-2
719,dishonest,-2
720,dishonestly,-2
721,dishonesty,-2
722,dishonor,-2
723,dishonorable,-2
724,dishonorably,-2
725,dishonored,-2
726,dishonoring,-2
727,dishonors,-2
728,disincentives,-2
729,disinterested,-2
730,disinterestedly,-2
731,disinterestedness,-2
732,disloyal,-2
733,disloyally,-2
734,disloyalty,-2
735,dismal,-2
736,dismally,-2
737,dismiss,-2
738,dismissal,-2
739,dismissals,-2
740,dismissed,-2
741,dismisses,-2
742,dismissing,-2
743,disorderly,-2
744,disparage,-2
745,disparaged,-2
746,disparagement,-2
747,disparagements,-2
748,disparages,-2
749,disparaging,-2
750,disparagingly,-2
751,disparities,-2
752,disparity,-2
753,displace,-2
754,displaced,-2
755,displacement,-2
756,displacements,-2
757,displaces,-2
758,displacing,-2
759,dispose,-2
760,dispossess,-2
761,dispossessed,-2
762,dispossesses,-2
763,dispossessing,-2
764,disproportion,-2
765,disproportional,-2
766,disproportionate,-2
767,disproportionately,-2
768,dispute,-2
769,disputed,-2
770,disputes,-2
771,disputing,-2
772,disqualification,-2
773,disqualifications,-2
774,disqualified,-2
775,disqualifies,-2
776,disqualify,-2
777,disqualifying,-2
778,disregard,-2
779,disregarded,-2
780,disregarding,-2
781,disregards,-2
782,disreputable,-2
783,disrepute,-2
784,disrupt,-2
785,disrupted,-2
786,disrupting,-2
787,disruption,-2
788,disruptions,-2
789,disruptive,-2
790,disrupts,-2
791,dissatisfaction,-2
792,dissatisfied,-2
793,dissent,-2
794,dissented,-2
795,dissenter,-2
796,dissenters,-2
797,dissenting,-2
798,dissents,-2
799,dissident,-2
800,dissidents,-2
801,dissolution,-2
802,dissolutions,-2
803,distort,-2
804,distorted,-2
805,distorting,-2
806,distortion,-2
807,distortions,-2
808,distorts,-2
809,distract,-2
810,distracted,-2
811,distracting,-2
812,distraction,-2
813,distractions,-2
814,distracts,-2
815,distress,-2
816,distressed,-2
817,disturb,-2
818,disturbance,-2
819,disturbances,-2
820,disturbed,-2
821,disturbing,-2
822,disturbs,-2
823,diversion,-2
824,divert,-2
825,diverted,-2
826,diverting,-2
827,diverts,-2
828,divest,-2
829,divested,-2
830,divesting,-2
831,divestiture,-2
832,divestitures,-2
833,divestment,-2
834,divestments,-2
835,divests,-2
836,divorce,-2
837,divorced,-2
838,divulge,-2
839,divulged,-2
840,divulges,-2
841,divulging,-2
842,doubt,-2
843,doubted,-2
844,doubtful,-2
845,doubts,-2
846,downgrade,-2
847,downgraded,-2
848,downgrades,-2
849,downgrading,-2
850,downsize,-2
851,downsized,-2
852,downsizes,-2
853,downsizing,-2
854,downsizings,-2
855,downtime,-2
856,downtimes,-2
857,downturn,-2
858,downturns,-2
859,downward,-2
860,downwards,-2
861,drag,-2
862,drastic,-2
863,drastically,-2
864,drawback,-2
865,drawbacks,-2
866,dropped,-2
867,drought,-2
868,droughts,-2
869,duress,-2
870,dysfunction,-2
871,dysfunctional,-2
872,dysfunctions,-2
873,easing,-2
874,egregious,-2
875,egregiously,-2
876,embargo,-2
877,embargoed,-2
878,embargoes,-2
879,embargoing,-2
880,embarrass,-2
881,embarrassed,-2
882,embarrasses,-2
883,embarrassing,-2
884,embarrassment,-2
885,embarrassments,-2
886,embezzle,-2
887,embezzled,-2
888,embezzlement,-2
889,embezzlements,-2
890,embezzler,-2
891,embezzles,-2
892,embezzling,-2
893,encroach,-2
894,encroached,-2
895,encroaches,-2
896,encroaching,-2
897,encroachment,-2
898,encroachments,-2
899,encumber,-2
900,encumbered,-2
901,encumbering,-2
902,encumbers,-2
903,encumbrance,-2
904,encumbrances,-2
905,endanger,-2
906,endangered,-2
907,endangering,-2
908,endangerment,-2
909,endangers,-2
910,enjoin,-2
911,enjoined,-2
912,enjoining,-2
913,enjoins,-2
914,erode,-2
915,eroded,-2
916,erodes,-2
917,eroding,-2
918,erosion,-2
919,erratic,-2
920,erratically,-2
921,erred,-2
922,erring,-2
923,erroneous,-2
924,erroneously,-2
925,error,-2
926,errors,-2
927,errs,-2
928,escalate,-2
929,escalated,-2
930,escalates,-2
931,escalating,-2
932,evade,-2
933,evaded,-2
934,evades,-2
935,evading,-2
936,evasion,-2
937,evasions,-2
938,evasive,-2
939,evict,-2
940,evicted,-2
941,evicting,-2
942,eviction,-2
943,evictions,-2
944,evicts,-2
945,exacerbate,-2
946,exacerbated,-2
947,exacerbates,-2
948,exacerbating,-2
949,exacerbation,-2
950,exacerbations,-2
951,exaggerate,-2
952,exaggerated,-2
953,exaggerates,-2
954,exaggerating,-2
955,exaggeration,-2
956,excessive,-2
957,excessively,-2
958,exculpate,-2
959,exculpated,-2
960,exculpates,-2
961,exculpating,-2
962,exculpation,-2
963,exculpations,-2
964,exculpatory,-2
965,exonerate,-2
966,exonerated,-2
967,exonerates,-2
968,exonerating,-2
969,exoneration,-2
970,exonerations,-2
971,exploit,-2
972,exploitation,-2
973,exploitations,-2
974,exploitative,-2
975,exploited,-2
976,exploiting,-2
977,exploits,-2
978,expose,-2
979,exposed,-2
980,exposes,-2
981,exposing,-2
982,expropriate,-2
983,expropriated,-2
984,expropriates,-2
985,expropriating,-2
986,expropriation,-2
987,expropriations,-2
988,expulsion,-2
989,expulsions,-2
990,extenuating,-2
991,fail,-2
992,failed,-2
993,failing,-2
994,failings,-2
995,fails,-2
996,failure,-2
997,failures,-2
998,fallout,-2
999,false,-2
1000,falsely,-2
1001,falsification,-2
1002,falsifications,-2
1003,falsified,-2
1004,falsifies,-2
1005,falsify,-2
1006,falsifying,-2
1007,falsity,-2
1008,fatalities,-2
1009,fatality,-2
1010,fatally,-2
1011,fault,-2
1012,faulted,-2
1013,faults,-2
1014,faulty,-2
1015,fear,-2
1016,fears,-2
1017,felonies,-2
1018,felonious,-2
1019,felony,-2
1020,fictitious,-2
1021,fined,-2
1022,fines,-2
1023,fired,-2
1024,firing,-2
1025,flaw,-2
1026,flawed,-2
1027,flaws,-2
1028,forbid,-2
1029,forbidden,-2
1030,forbidding,-2
1031,forbids,-2
1032,force,-2
1033,forced,-2
1034,forcing,-2
1035,foreclose,-2
1036,foreclosed,-2
1037,forecloses,-2
1038,foreclosing,-2
1039,foreclosure,-2
1040,foreclosures,-2
1041,forego,-2
1042,foregoes,-2
1043,foregone,-2
1044,forestall,-2
1045,forestalled,-2
1046,forestalling,-2
1047,forestalls,-2
1048,forfeit,-2
1049,forfeited,-2
1050,forfeiting,-2
1051,forfeits,-2
1052,forfeiture,-2
1053,forfeitures,-2
1054,forgers,-2
1055,forgery,-2
1056,fraud,-2
1057,frauds,-2
1058,fraudulence,-2
1059,fraudulent,-2
1060,fraudulently,-2
1061,frivolous,-2
1062,frivolously,-2
1063,frustrate,-2
1064,frustrated,-2
1065,frustrates,-2
1066,frustrating,-2
1067,frustratingly,-2
1068,frustration,-2
1069,frustrations,-2
1070,fugitive,-2
1071,fugitives,-2
1072,gratuitous,-2
1073,gratuitously,-2
1074,grievance,-2
1075,grievances,-2
1076,grossly,-2
1077,groundless,-2
1078,guilty,-2
1079,halt,-2
1080,halted,-2
1081,hamper,-2
1082,hampered,-2
1083,hampering,-2
1084,hampers,-2
1085,harass,-2
1086,harassed,-2
1087,harassing,-2
1088,harassment,-2
1089,hardship,-2
1090,hardships,-2
1091,harm,-2
1092,harmed,-2
1093,harmful,-2
1094,harmfully,-2
1095,harming,-2
1096,harms,-2
1097,harsh,-2
1098,harsher,-2
1099,harshest,-2
1100,harshly,-2
1101,harshness,-2
1102,hazard,-2
1103,hazardous,-2
1104,hazards,-2
1105,hinder,-2
1106,hindered,-2
1107,hindering,-2
1108,hinders,-2
1109,hindrance,-2
1110,hindrances,-2
1111,hostile,-2
1112,hostility,-2
1113,hurt,-2
1114,hurting,-2
1115,idle,-2
1116,idled,-2
1117,idling,-2
1118,ignore,-2
1119,ignored,-2
1120,ignores,-2
1121,ignoring,-2
1122,ill,-2
1123,illegal,-2
1124,illegalities,-2
1125,illegality,-2
1126,illegally,-2
1127,illegible,-2
1128,illicit,-2
1129,illicitly,-2
1130,illiquid,-2
1131,illiquidity,-2
1132,imbalance,-2
1133,imbalances,-2
1134,immature,-2
1135,immoral,-2
1136,impair,-2
1137,impaired,-2
1138,impairing,-2
1139,impairment,-2
1140,impairments,-2
1141,impairs,-2
1142,impasse,-2
1143,impasses,-2
1144,impede,-2
1145,impeded,-2
1146,impedes,-2
1147,impediment,-2
1148,impediments,-2
1149,impeding,-2
1150,impending,-2
1151,imperative,-2
1152,imperfection,-2
